	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07.1
CLN6	620.67	629.35	381.68	525.39	470.14	665.29	1044.52	536.45	848.22	603.67	432.53	988.12	728.11	599.49	967.76	579.04	444.72	409.15	346.29	0.0
COMTD1	1519.15	279.14	132.44	114.36	133.36	264.03	872.1	217.27	674.59	334.46	164.42	490.14	1037.29	301.33	423.61	273.37	58.3	115.97	43.94	518.15
CORO1B	4704.07	1639.59	2018.8	1551.09	1617.0	2485.67	3690.52	2645.74	4388.98	2434.5	387.02	2485.67	2061.24	2004.85	3768.09	5711.87	447.82	1242.34	255.0	866.07
COX4I1	18052.61	9808.75	11424.74	5292.48	4152.18	6121.9	6294.04	9673.69	12329.98	6079.61	2004.85	8479.89	6250.56	14765.09	9945.68	9673.69	5633.22	5711.87	7642.41	1.39
CYC1	4328.55	2032.85	1369.04	1313.23	1628.26	1963.57	3018.3	2163.77	4450.27	2061.24	708.18	2777.33	1936.53	2133.97	3060.45	3280.18	967.76	1111.82	723.08	1.03
CYHR1	1242.34	796.86	718.08	575.03	854.13	830.75	1259.69	780.44	1340.84	884.29	381.68	1242.34	1151.06	1697.45	2434.5	1051.79	368.65	457.25	132.44	559.28
DAD1	12244.81	6699.25	8598.28	6983.79	6079.61	7537.18	10883.59	7537.18	12329.98	6840.04	2664.15	7642.41	8363.13	6337.83	11267.44	6207.38	8363.13	6079.61	9740.98	0.99
DDX49	733.19	688.78	642.59	450.94	599.49	688.78	808.0	819.3	1304.15	743.43	217.27	708.18	759.08	656.11	1096.5	1088.92	295.11	303.44	262.2	0.52
DGCR2	1963.57	718.08	1008.9	543.96	612.11	1359.57	1674.06	1037.29	1250.98	1191.69	587.13	1023.0	1208.34	1044.52	1417.35	1286.18	616.37	669.92	358.54	0.62
DGCR6L	2855.44	934.76	743.43	490.14	575.03	1111.82	1417.35	1286.18	2384.37	1199.98	291.04	1447.15	866.07	1313.23	2224.63	1819.35	356.05	567.1	94.67	0.51
DHRS4L2	961.07	703.28	540.19	536.45	825.0	796.86	915.51	629.35	1023.0	591.22	329.84	819.3	587.13	981.29	1437.15	981.29	450.94	329.84	450.94	0.42
DNAJC4	981.29	1745.2	1119.56	848.22	1519.15	1331.57	1950.0	1286.18	2627.46	1529.73	507.46	2061.24	1199.98	2224.63	2956.17	2148.82	947.83	346.29	500.46	0.77
DVL1	403.5	384.34	403.5	277.2	316.37	316.37	785.88	231.32	941.27	289.02	150.17	656.11	493.56	743.43	412.0	607.87	108.9	163.28	58.3	1.07
ECE2	162.14	165.57	108.9	74.06	151.22	114.36	209.84	73.54	171.45	121.79	65.26	108.9	97.36	158.79	397.93	134.3	40.07	48.87	59.97	0.09
ECHS1	5112.16	2555.58	2400.97	1963.57	2104.58	1936.53	2956.17	2351.53	4328.55	2148.82	325.29	2796.65	1950.0	2855.44	4239.45	2485.67	1745.2	2061.24	1233.75	0.33
EEF1D	22225.61	13306.94	7589.61	5041.77	5872.48	10014.87	21026.65	10883.59	19892.37	7032.37	6745.86	23820.89	15824.9	16496.96	26431.04	15285.81	2451.44	6207.38	3349.13	934.76
EMID1	890.44	46.5	283.05	16.88	28.86	95.34	116.78	193.01	624.99	417.77	83.45	59.55	264.03	114.36	890.44	423.61	38.12	163.28	17.51	0.57
ESRRA	679.29	497.0	264.03	208.38	253.23	414.87	698.41	500.46	603.67	260.38	102.97	503.95	728.11	463.65	381.68	435.55	175.07	358.54	124.37	0.79
EXOSC4	1242.34	518.15	371.22	334.46	346.29	651.58	1127.35	656.11	954.43	463.65	121.79	785.88	612.11	563.18	1397.83	536.45	122.64	206.94	65.26	0.24
FAM207A	713.11	295.11	220.32	150.17	88.88	348.71	713.11	336.79	397.93	228.13	27.05	389.72	525.39	297.17	397.93	221.86	65.72	142.01	63.45	0.31
FARSA	1628.26	884.29	981.29	802.41	813.63	1081.39	1498.22	1159.07	1896.65	896.64	260.38	1437.15	1457.23	1191.69	1295.13	1551.09	444.72	684.02	217.27	0.0
FBXW9	503.95	228.13	215.77	103.69	189.02	199.85	293.07	217.27	483.38	262.2	97.36	232.94	221.86	211.31	303.44	384.34	81.71	76.71	16.75	0.0
FIBP	2004.85	872.1	1277.29	1551.09	1561.89	1745.2	2240.11	1519.15	2609.3	1909.85	638.15	2193.99	1250.98	1388.16	3060.45	1819.35	796.86	884.29	1008.9	0.39
FITM1	6.67	2.84	10.31	4.98	11.38	8.19	19.68	9.41	23.59	9.2	16.63	5.28	5.59	16.39	6.16	19.82	12.93	5.06	6.06	0.25
FRAT2	323.03	232.94	237.86	199.85	264.03	171.45	329.84	161.02	318.57	226.54	144.01	258.57	189.02	212.78	187.71	208.38	57.08	110.43	159.9	0.41
FUNDC2	4123.49	2895.31	2193.99	2287.2	2573.36	1857.6	1819.35	3491.39	4210.15	2004.85	825.0	3103.19	2573.36	3928.15	4328.55	2133.97	3018.3	2255.7	3639.7	1.01
GADD45GIP1	3235.01	1769.57	1119.56	603.67	595.34	1407.55	1794.29	2018.8	2997.45	961.07	190.34	1819.35	1923.14	1857.6	2163.77	1674.06	180.02	878.17	138.1	0.74
GCDH	967.76	397.93	384.34	307.69	417.77	438.59	460.44	493.56	954.43	417.77	285.03	536.45	423.61	463.65	460.44	521.76	150.17	163.28	124.37	0.13
GLRX5	1447.15	981.29	995.0	995.0	1135.2	934.76	1417.35	961.07	1350.18	1037.29	629.35	1119.56	872.1	1037.29	1639.59	1340.84	1233.75	1088.92	1159.07	0.67
GLTPD1	379.04	334.46	320.8	320.8	381.68	486.75	629.35	334.46	688.78	381.68	80.01	551.56	279.14	444.72	463.65	748.61	127.89	165.57	91.41	0.33
GNB2	10808.41	5633.22	5076.84	2682.69	6121.9	5366.37	6561.36	5041.77	10296.45	6037.61	1359.57	6207.38	5517.27	6079.61	22225.61	10154.69	2485.67	3540.14	1159.07	1.28
GNMT	246.28	27.05	13.03	55.89	45.53	34.02	813.63	29.06	271.48	15.68	9.7	23.42	11.82	84.04	15.8	58.3	28.45	2.53	17.51	0.16
GPT	320.8	44.25	291.04	72.52	27.44	103.69	341.51	31.67	406.31	108.14	68.55	61.68	214.27	211.31	185.11	2.63	45.21	1.48	2.14	0.58
GSDMD	4802.93	1721.16	684.02	1001.93	974.5	1697.45	2148.82	1487.87	2591.27	1331.57	341.51	2303.12	1844.76	1487.87	2018.8	1286.18	384.34	902.89	412.0	146.03
GSTM5	128.79	52.45	22.1	44.25	43.32	10.08	149.12	68.55	96.68	7.28	135.24	26.86	28.24	71.0	21.01	104.42	591.22	157.68	27.84	0.21
GSTT1	2148.82	341.51	866.07	198.47	1709.26	1313.23	2664.15	1991.0	4152.18	0.0	497.0	1183.45	1.58	1896.65	2255.7	2537.92	0.0	796.86	0.0	0.02
GUK1	11189.6	8778.97	5555.65	3349.13	2520.38	4903.87	9215.48	5292.48	8247.98	2758.13	1923.14	5954.47	9606.86	4972.34	8718.32	7642.41	1304.15	1936.53	988.12	1.27
HM13	6745.86	3540.14	3443.31	2758.13	2609.3	4937.99	8247.98	5147.73	6607.01	2895.31	2417.67	3901.01	5076.84	3190.46	5711.87	5517.27	2119.22	2335.28	4328.55	0.42
HSD17B1	191.67	62.56	65.26	26.47	36.53	25.35	107.38	50.27	107.38	51.71	77.79	43.94	132.44	98.73	48.18	61.68	35.76	18.97	10.24	0.61
IPO4	1259.69	473.41	718.08	454.09	559.28	748.61	1950.0	480.04	1066.48	518.15	289.02	915.51	764.36	447.82	854.13	1143.1	281.09	358.54	255.0	0.0
ISOC2	2434.5	1697.45	1322.37	638.15	813.63	1167.14	2319.15	1159.07	1896.65	1081.39	244.57	1151.06	1359.57	1832.01	2148.82	3257.52	371.22	665.29	136.19	0.34
ISYNA1	1832.01	1119.56	780.44	486.75	470.14	633.73	2875.3	693.58	2609.3	1015.93	260.38	2255.7	429.54	896.64	2935.74	2400.97	403.5	620.67	47.84	0.67
KIAA2013	1268.46	759.08	713.11	764.36	688.78	825.0	1008.9	708.18	961.07	633.73	269.6	1143.1	595.34	934.76	878.17	1151.06	463.65	607.87	366.09	0.32
KLHDC3	2047.0	1322.37	941.27	1073.91	1199.98	854.13	1378.57	1250.98	1551.09	1208.34	647.07	1487.87	1199.98	1427.22	2104.58	1870.53	1073.91	819.3	941.27	255.0
KRT32	5.45	1.07	0.6	0.3	0.95	0.92	64.8	4.94	36.01	10.47	0.0	2.53	2.2	0.72	0.87	0.0	11.38	0.0	0.0	0.09
LRP3	780.44	583.07	289.02	291.04	507.46	384.34	780.44	503.95	638.15	529.06	262.2	555.41	387.02	620.67	866.07	409.15	358.54	177.53	49.56	0.83
MB	2758.13	612.11	842.36	223.41	507.46	1397.83	995.0	1242.34	1896.65	1304.15	642.59	624.99	1322.37	718.08	3716.2	1277.29	175.07	0.78	476.71	0.91
MFSD10	2193.99	1991.0	1023.0	878.17	728.11	860.08	1806.78	860.08	1208.34	1159.07	361.04	1135.2	2090.03	1447.15	2032.85	1870.53	454.09	688.78	215.77	1.23
MFSD3	547.75	371.22	395.18	205.5	295.11	463.65	1081.39	454.09	583.07	312.0	126.12	703.28	432.53	563.18	583.07	384.34	78.89	106.63	21.01	0.45
MGMT	1216.75	620.67	444.72	336.79	361.04	346.29	775.05	684.02	819.3	642.59	262.2	457.25	612.11	525.39	1628.26	728.11	246.28	249.73	55.1	0.53
MIIP	406.31	351.14	236.21	248.0	155.5	289.02	329.84	214.27	441.64	195.72	116.78	341.51	289.02	441.64	503.95	373.81	143.01	127.0	96.68	0.77
MOSPD3	759.08	426.57	403.5	215.77	579.04	559.28	629.35	400.71	708.18	563.18	281.09	490.14	447.82	511.0	2451.44	733.19	281.09	307.69	260.38	0.51
MRPL23	2537.92	3257.52	1378.57	1119.56	896.64	1651.0	2796.65	1896.65	2720.15	1417.35	540.19	2485.67	1923.14	1977.24	3235.01	1781.89	423.61	629.35	332.14	0.64
MRPL43	4388.98	1909.85	1529.73	1794.29	1709.26	2193.99	2104.58	2163.77	3372.43	2163.77	1088.92	2319.15	2209.26	2047.0	1757.34	3081.75	1397.83	1066.48	954.43	0.58
MTA1	1369.04	836.53	854.13	825.0	1015.93	1111.82	3257.52	866.07	2133.97	1331.57	733.19	941.27	1051.79	1015.93	2133.97	397.93	423.61	264.03	271.48	1.33
MTTP	1.11	0.68	1.19	0.29	0.6	0.0	6.21	0.3	2.07	0.59	2.53	0.29	0.28	1.06	0.27	0.29	1.71	14.35	0.0	0.0
MYEOV2	6792.79	4268.94	2976.74	2645.74	4181.07	2520.38	5366.37	3395.89	6037.61	4481.23	1295.13	4607.24	2997.45	4388.98	6207.38	5366.37	2555.58	2119.22	2468.49	0.71
NCLN	808.0	693.58	483.38	529.06	620.67	759.08	1030.12	802.41	1001.93	723.08	329.84	713.11	866.07	575.03	1350.18	836.53	327.56	400.71	147.06	0.43
NDUFA7	1896.65	2004.85	1508.65	1662.49	1477.58	2434.5	1909.85	2303.12	3820.7	1769.57	738.29	3018.3	2061.24	2520.38	2701.35	3146.52	1159.07	928.3	708.18	0.52
NDUFS8	3540.14	1508.65	2075.59	1709.26	2351.53	2816.11	5112.16	3103.19	7180.15	2209.26	981.29	3589.58	2061.24	4481.23	4869.99	5913.33	796.86	1340.84	769.69	0.75
NOC4L	599.49	301.33	260.38	234.57	221.86	470.14	493.56	406.31	450.94	387.02	93.35	381.68	490.14	368.65	571.05	511.0	208.38	181.28	76.17	0.58
NOSIP	2075.59	1225.22	703.28	819.3	536.45	1143.1	1208.34	1369.04	1757.34	981.29	521.76	1259.69	1378.57	1167.14	1628.26	1628.26	460.44	688.78	314.17	0.8
NPDC1	2502.97	2271.4	1950.0	1104.13	1674.06	2148.82	4152.18	1923.14	3614.55	2090.03	723.08	4388.98	3639.7	5112.16	3325.99	3081.75	698.41	497.0	157.68	1.07
NUDT16L1	1923.14	1159.07	825.0	808.0	1096.5	796.86	1167.14	954.43	1697.45	813.63	214.27	902.89	860.08	941.27	1304.15	1015.93	195.72	371.22	193.01	0.18
OGFOD3	1081.39	743.43	684.02	381.68	463.65	842.36	738.29	848.22	1135.2	607.87	299.25	915.51	698.41	1359.57	693.58	791.35	269.6	309.83	212.78	0.66
PACSIN3	1467.37	1127.35	503.95	277.2	454.09	490.14	848.22	759.08	1388.16	595.34	381.68	1008.9	708.18	1359.57	1519.15	733.19	88.26	156.59	39.5	0.77
PCBD1	4769.75	1457.23	2351.53	1617.0	2485.67	1639.59	3146.52	2004.85	3614.55	3325.99	1104.13	3419.52	2178.83	3874.05	3372.43	2591.27	1685.71	2351.53	3018.3	0.52
PCK2	1651.0	723.08	981.29	633.73	1059.11	748.61	1322.37	363.56	1331.57	796.86	332.14	1015.93	884.29	1467.37	1909.85	1127.35	194.36	400.71	244.57	0.0
PEX14	438.59	285.03	265.87	253.23	318.57	291.04	373.81	281.09	441.64	226.54	169.07	363.56	314.17	371.22	323.03	384.34	205.5	209.84	89.51	295.11
PF4	2.23	0.0	0.0	1.04	0.0	0.0	2.2	1.08	2.92	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	2.48	4.5	0.0
PFKL	3614.55	1447.15	1540.37	947.83	1167.14	1191.69	3372.43	1617.0	2148.82	1467.37	764.36	1709.26	2004.85	1617.0	2148.82	2303.12	387.02	1359.57	204.07	1.13
PHPT1	2537.92	2104.58	1794.29	1225.22	1369.04	2224.63	3491.39	2537.92	4512.4	1936.53	1167.14	3124.78	3018.3	4481.23	4388.98	4802.93	698.41	660.68	656.11	878.17
POLD2	2555.58	1832.01	1467.37	1709.26	1477.58	1594.73	2468.49	1498.22	2664.15	1991.0	915.51	3081.75	1697.45	2739.08	8538.88	3280.18	1096.5	1104.13	392.44	0.68
POLR2L	7485.11	5995.9	2758.13	3325.99	4038.61	4388.98	10733.74	4639.29	11584.24	4802.93	1001.93	5995.9	5711.87	4836.35	5041.77	5954.47	1407.55	1651.0	303.44	0.54
PPM1G	2209.26	1594.73	1733.13	1199.98	1417.35	1268.46	1651.0	1674.06	2075.59	1639.59	713.11	2271.4	1350.18	1950.0	2627.46	2209.26	679.29	1397.83	1304.15	1119.56
PPP1R16A	1259.69	633.73	854.13	318.57	327.56	525.39	2303.12	529.06	1250.98	507.46	379.04	1143.1	1119.56	947.83	1551.09	656.11	151.22	226.54	42.11	0.78
PRDX5	12502.12	7589.61	4450.27	2555.58	3303.0	4152.18	5872.48	5872.48	9409.14	3768.09	1037.29	7589.61	5555.65	7695.57	12329.98	7537.18	2032.85	5329.3	2739.08	0.59
PTDSS2	583.07	392.44	138.1	175.07	287.01	312.0	551.56	551.56	441.64	323.03	205.5	353.59	373.81	318.57	842.36	366.09	236.21	220.32	178.77	0.73
PUF60	2777.33	2133.97	1844.76	1529.73	1594.73	2303.12	3716.2	1936.53	2915.45	1991.0	656.11	2468.49	2555.58	2133.97	3212.66	2193.99	890.44	1159.07	738.29	1950.0
PXMP2	1066.48	389.72	703.28	348.71	406.31	432.53	647.07	476.71	854.13	559.28	384.34	775.05	518.15	775.05	764.36	738.29	181.28	249.73	409.15	0.06
PYCRL	723.08	258.57	217.27	149.12	224.97	264.03	486.75	229.72	532.74	172.65	125.24	381.68	275.28	285.03	723.08	279.14	53.57	92.05	30.12	0.0
RABAC1	7230.1	9279.58	2816.11	1794.29	2148.82	3467.27	8598.28	3018.3	5147.73	3257.52	575.03	7280.4	7911.95	7331.05	8840.04	7280.4	1286.18	1295.13	860.08	1.23
RABL6	723.08	860.08	780.44	830.75	684.02	981.29	1529.73	954.43	1437.15	928.3	679.29	1233.75	1225.22	1233.75	1487.87	1135.2	397.93	525.39	559.28	277.2
RNPEPL1	1191.69	1167.14	902.89	848.22	759.08	884.29	1350.18	785.88	1159.07	759.08	351.14	1359.57	961.07	1143.1	1551.09	1378.57	361.04	759.08	172.65	0.45
RPL8	39237.98	46986.85	24832.5	22535.88	27363.16	33688.23	64186.29	34876.28	58250.19	34876.28	13033.07	64186.29	42054.3	81244.48	103551.29	36106.23	22380.2	25005.23	19618.49	921.88
RPS19	32315.87	45701.96	27363.16	22850.48	27363.16	39785.74	43840.21	34876.28	56657.31	29531.18	13872.08	51417.5	45701.96	55491.3	64632.75	81244.48	33224.42	24832.5	16269.83	267.73
RPS9	30999.42	26067.14	12076.21	14663.09	16383.0	18178.19	26067.14	28328.16	40904.3	20451.65	10959.3	28132.47	25354.3	49666.0	29943.43	29531.18	13586.57	16496.96	6607.01	6121.9
RRP1	521.76	480.04	409.15	320.8	301.33	406.31	802.41	521.76	536.45	379.04	353.59	521.76	486.75	368.65	392.44	447.82	251.48	205.5	258.57	0.39
RSPH1	1268.46	318.57	251.48	223.41	307.69	178.77	454.09	371.22	679.29	490.14	169.07	540.19	95.34	356.05	376.41	118.43	23.76	368.65	5.68	0.0
RUVBL2	2895.31	1322.37	1151.06	1008.9	764.36	1407.55	1963.57	1605.83	2148.82	1369.04	551.56	2240.11	1313.23	1467.37	2351.53	1159.07	444.72	624.99	307.69	0.35
SCGB1D2	41188.81	202841.44	42054.3	443937.41	358098.26	593956.43	320506.81	1221310.69	440870.9	1019901.63	12943.04	187950.38	1163466.92	5383077.38	561916.97	119776.72	33455.53	5.63	0.0	0.0
SCGB2A2	736332.6	1800541.22	845824.19	938500.81	1318073.06	1163466.92	1238359.56	1788103.97	1751305.3	2279047.19	75280.1	1422501.74	1600397.78	8805660.77	619179.28	1578364.61	104996.83	0.0	0.0	0.0
SCYL1	1051.79	1037.29	1051.79	934.76	995.0	1216.75	3103.19	1233.75	2351.53	1159.07	647.07	2047.0	1832.01	1709.26	2319.15	1639.59	503.95	583.07	373.81	1.1
SDR39U1	1066.48	921.88	693.58	947.83	967.76	1127.35	1322.37	1119.56	1769.57	974.5	743.43	1331.57	1529.73	1437.15	1639.59	1508.65	665.29	532.74	507.46	1.07
SHARPIN	947.83	1073.91	629.35	708.18	743.43	1066.48	1628.26	825.0	1508.65	1081.39	389.72	1135.2	1191.69	1295.13	2119.22	1340.84	438.59	567.1	169.07	285.03
SIPA1	1628.26	764.36	808.0	1167.14	854.13	1030.12	1199.98	884.29	1819.35	988.12	166.73	974.5	848.22	1322.37	2485.67	1583.71	447.82	1104.13	674.59	0.91
SIVA1	3419.52	1304.15	1001.93	981.29	995.0	1529.73	2303.12	1407.55	3349.13	1540.37	318.57	1561.89	1832.01	2018.8	3794.3	2104.58	454.09	656.11	194.36	121.79
SLC1A5	5791.62	2855.44	2796.65	2956.17	1950.0	2400.97	6079.61	2664.15	4769.75	1794.29	595.34	2956.17	2627.46	3039.3	3039.3	1794.29	1350.18	791.35	1757.34	3257.52
SLC25A39	4095.0	2777.33	1794.29	1721.16	2075.59	1936.53	3280.18	2451.44	3124.78	2119.22	1015.93	3103.19	2224.63	3124.78	5517.27	2739.08	848.22	1350.18	872.1	0.92
SLC25A6	3467.27	2287.2	1331.57	1191.69	2997.45	1870.53	2855.44	2351.53	3589.58	1529.73	842.36	2956.17	2287.2	3018.3	4543.8	2400.97	967.76	1963.57	902.89	460.44
SLC39A3	1066.48	836.53	941.27	688.78	693.58	954.43	1175.27	981.29	1175.27	769.69	255.0	981.29	555.41	848.22	1605.83	1119.56	555.41	457.25	368.65	0.0
SLC39A4	1457.23	902.89	518.15	253.23	412.0	70.51	1313.23	599.49	1191.69	665.29	74.06	830.75	866.07	679.29	2627.46	1508.65	271.48	521.76	406.31	0.66
SLC52A2	1561.89	1250.98	785.88	466.88	633.73	854.13	2193.99	780.44	1709.26	808.0	156.59	1322.37	961.07	764.36	2609.3	1467.37	241.19	507.46	199.85	0.54
SOD1	12589.08	8963.45	6652.97	6294.04	4481.23	6337.83	7695.57	10225.32	8778.97	7032.37	1233.75	8963.45	5594.3	9673.69	7130.55	7485.11	4639.29	4769.75	4450.27	1.13
SRM	802.41	1119.56	981.29	583.07	1175.27	1030.12	1819.35	921.88	1977.24	679.29	351.14	1498.22	1001.93	1268.46	1721.16	2047.0	642.59	603.67	902.89	0.02
SSR4	33922.56	30151.71	12160.22	6207.38	5995.9	9344.14	13968.57	13968.57	31215.04	10733.74	1268.46	19482.97	12943.04	19892.37	15075.35	15607.02	5594.3	4298.64	9740.98	1.14
SSSCA1	2032.85	684.02	759.08	825.0	651.58	1540.37	2075.59	1295.13	2061.24	909.17	480.04	1225.22	1508.65	1066.48	1991.0	1081.39	441.64	579.04	161.02	0.67
STK16	1651.0	947.83	988.12	890.44	1073.91	872.1	967.76	947.83	1457.23	1073.91	486.75	1059.11	928.3	947.83	1208.34	854.13	629.35	450.94	441.64	0.46
