	TCGA.LL.A740.01A.21R.A32P.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.BH.A0BZ.01A.31R.A12P.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.X4EP.2926.SM.3P5YQ	GTEX.11EMC.2026.SM.5A5JV	GTEX.13NZ8.0126.SM.5IJCT	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
GABRD	205.5	248.0	152.28	35.0	190.34	7.63	0.88	3.35	11.21	11.82	5.87	13.32	6.94	0.0	0.2
GPC6	73.03	68.07	231.32	112.77	108.9	26.86	223.41	52.82	21.47	15.8	26.86	25.35	75.11	0.0	0.39
GPR19	12.18	6.57	13.83	43.32	25.72	11.04	3.56	10.08	8.71	3.56	2.43	8.65	0.05	0.0	0.17
HAUS1	463.65	303.44	480.04	503.95	842.36	490.14	423.61	460.44	633.73	373.81	293.07	575.03	389.72	0.0	0.31
HCN2	11.04	15.91	52.82	4.17	21.63	2.51	0.44	0.39	0.73	1.28	11.13	1.77	0.64	0.0	0.27
HOPX	486.75	759.08	753.83	764.36	728.11	120.1	73.03	83.45	209.84	204.07	191.67	115.97	157.68	0.0	0.92
KLHL35	258.57	483.38	381.68	42.11	363.56	57.49	12.93	85.82	59.97	70.51	14.67	146.03	26.67	0.0	0.09
KTI12	170.25	197.09	183.82	144.01	224.97	115.16	135.24	127.0	106.63	103.69	147.06	116.78	111.99	0.0	0.0
LOXL1	1991.0	3690.52	3146.52	1857.6	2240.11	974.5	616.37	529.06	587.13	567.1	872.1	836.53	629.35	0.0	0.42
LRRC14	381.68	551.56	595.34	473.41	713.11	392.44	191.67	336.79	329.84	318.57	199.85	358.54	358.54	0.0	0.72
MBOAT7	2855.44	3874.05	1923.14	1991.0	3257.52	1662.49	403.5	1250.98	1794.29	1561.89	1322.37	1447.15	1001.93	2417.67	808.0
MED18	438.59	356.05	389.72	262.2	511.0	314.17	239.52	334.46	353.59	262.2	199.85	267.73	165.57	0.0	0.0
MFSD5	954.43	813.63	1159.07	684.02	1340.84	567.1	583.07	595.34	620.67	395.18	332.14	480.04	583.07	0.0	0.0
MGAT4B	3018.3	2240.11	2032.85	2400.97	3443.31	1883.54	1259.69	1378.57	1745.2	1175.27	1037.29	1427.22	1175.27	0.0	1.0
MRPS23	1572.76	1369.04	2047.0	1277.29	2627.46	967.76	878.17	890.44	1191.69	813.63	660.68	1104.13	571.05	0.0	0.08
MRPS34	3168.41	3820.7	4575.41	4095.0	4972.34	1519.15	521.76	1437.15	1870.53	1104.13	802.41	1059.11	941.27	0.0	0.36
N4BP3	145.02	403.5	384.34	199.85	403.5	106.63	21.47	67.12	78.89	31.0	66.65	89.51	65.26	0.0	0.09
NBPF3	124.37	149.12	157.68	197.09	264.03	148.09	190.34	180.02	176.29	98.04	148.09	289.02	93.35	0.0	0.0
NDUFB9	8778.97	7433.4	13681.08	9215.48	11827.67	4239.45	4575.41	4419.52	4937.99	5329.3	3081.75	4736.79	2664.15	0.0	0.83
NEDD8	6250.56	3491.39	7180.15	6337.83	7032.37	3467.27	4328.55	3820.7	4181.07	5006.93	4481.23	4481.23	4066.71	0.0	0.97
NME3	1709.26	2468.49	2224.63	2193.99	3325.99	974.5	420.68	733.19	915.51	866.07	961.07	1437.15	688.78	0.0	0.99
NME4	4481.23	5555.65	2609.3	4095.0	7749.1	1757.34	3303.0	2119.22	1769.57	1143.1	1819.35	2090.03	1529.73	0.0	0.97
NOMO2	1427.22	1561.89	1331.57	1950.0	1651.0	1286.18	890.44	1313.23	1268.46	1119.56	389.72	934.76	543.96	0.0	0.53
NUDT16L1	1015.93	1322.37	1529.73	1340.84	1277.29	540.19	239.52	529.06	642.59	373.81	305.55	624.99	343.89	0.0	0.18
PCYT2	723.08	718.08	1388.16	674.59	974.5	651.58	620.67	708.18	759.08	392.44	279.14	571.05	353.59	0.0	0.0
PIGU	780.44	684.02	1191.69	1066.48	995.0	435.55	291.04	521.76	514.56	417.77	343.89	624.99	334.46	0.0	0.37
PLXNB3	327.56	808.0	251.48	511.0	595.34	353.59	90.77	511.0	381.68	135.24	63.89	215.77	44.89	0.0	0.93
POMP	2468.49	2417.67	2335.28	3564.78	3564.78	1397.83	2664.15	1277.29	1733.13	1457.23	1639.59	1295.13	1896.65	0.0	0.62
PPP1CA	3901.01	3639.7	6471.02	4575.41	6079.61	2682.69	1277.29	2090.03	2777.33	1286.18	961.07	2555.58	1104.13	3847.29	525.39
PQLC2	356.05	493.56	400.71	226.54	470.14	305.55	147.06	199.85	226.54	258.57	108.9	244.57	190.34	0.0	0.09
PROSER2	323.03	256.78	457.25	273.37	514.56	178.77	75.11	125.24	166.73	217.27	139.07	104.42	256.78	0.0	0.56
PRPF19	2417.67	3395.89	3303.0	4010.71	5441.3	2224.63	1001.93	2004.85	2303.12	2739.08	1639.59	2224.63	1950.0	0.0	0.38
RAB5C	5183.54	3212.66	4210.15	5006.93	5954.47	3060.45	2935.74	3257.52	3168.41	2956.17	2664.15	2645.74	2664.15	4328.55	890.44
RHNO1	660.68	483.38	842.36	1008.9	988.12	575.03	244.57	466.88	669.92	466.88	559.28	587.13	444.72	0.0	0.21
SAP18	4066.71	4481.23	4671.57	7032.37	8479.89	3467.27	5594.3	3564.78	4543.8	4298.64	2875.3	4419.52	5076.84	0.0	0.89
SH3BGRL3	4038.61	5441.3	7230.1	3235.01	4869.99	2915.45	2682.69	2047.0	2400.97	2417.67	2915.45	1721.16	3146.52	0.0	0.72
SHARPIN	1617.0	3103.19	3515.68	2739.08	3372.43	1081.39	684.02	995.0	796.86	890.44	603.67	791.35	872.1	3665.02	285.03
SLC25A39	3794.3	2835.7	3742.05	3820.7	4543.8	2240.11	928.3	1870.53	2224.63	1977.24	1151.06	2163.77	2047.0	0.0	0.92
SLC37A1	476.71	684.02	612.11	669.92	698.41	366.09	55.49	312.0	381.68	287.01	205.5	273.37	205.5	0.0	0.54
SLC50A1	2956.17	2997.45	3639.7	5329.3	4388.98	1794.29	723.08	1781.89	3190.46	967.76	954.43	961.07	674.59	0.0	0.73
SLC52A2	2502.97	3103.19	3540.14	2835.7	3742.05	848.22	234.57	981.29	981.29	476.71	211.31	563.18	303.44	0.0	0.54
SLC6A1	10.63	34.26	24.99	14.67	29.91	10.63	4.31	8.0	3.69	2.76	4.28	5.73	7.0	0.0	0.29
SLX1A	872.1	1733.13	2061.24	351.14	1066.48	226.54	120.94	172.65	206.94	521.76	63.45	140.04	260.38	0.0	0.34
SMARCD2	3280.18	2133.97	2367.9	1651.0	3589.58	1923.14	1183.45	1769.57	2004.85	1721.16	1208.34	2148.82	1447.15	1794.29	248.0
SMG5	1051.79	791.35	1167.14	1175.27	1572.76	825.0	603.67	860.08	796.86	1340.84	1023.0	1059.11	1001.93	753.83	112.77
SRPK3	53.95	441.64	769.69	178.77	381.68	7.75	10.71	7.4	6.41	14.67	1.11	39.79	6.41	0.0	0.64
STIP1	2682.69	2163.77	5292.48	4152.18	4450.27	2075.59	1551.09	2148.82	2485.67	2119.22	1697.45	2335.28	1844.76	0.0	0.0
TACO1	493.56	412.0	708.18	420.68	551.56	353.59	293.07	348.71	397.93	279.14	206.94	307.69	258.57	0.0	0.0
TMCO1	3794.3	3103.19	4972.34	4639.29	5366.37	2739.08	2335.28	2520.38	3614.55	2240.11	2032.85	3103.19	2335.28	3018.3	647.07
TMEM104	264.03	281.09	450.94	265.87	318.57	214.27	114.36	217.27	236.21	162.14	88.26	195.72	125.24	0.0	0.28
TMEM219	3564.78	4152.18	3325.99	4388.98	5366.37	2895.31	3491.39	2895.31	3303.0	3018.3	2319.15	3768.09	2915.45	4095.0	934.76
TSTA3	5329.3	7485.11	9151.82	5594.3	6207.38	1662.49	470.14	1639.59	2004.85	1397.83	780.44	842.36	1175.27	0.0	0.82
VPS25	1923.14	1268.46	3235.01	2061.24	3060.45	1540.37	902.89	1407.55	1745.2	1508.65	915.51	1923.14	961.07	0.0	0.0
ZBED1	237.86	368.65	260.38	289.02	318.57	255.0	244.57	206.94	287.01	202.66	198.47	255.0	141.02	0.0	0.48
ZNF517	193.01	189.02	265.87	287.01	303.44	208.38	57.89	185.11	155.5	143.01	198.47	234.57	128.79	0.0	0.31
ZNF707	358.54	260.38	457.25	460.44	988.12	218.79	77.79	198.47	194.36	138.1	197.09	332.14	78.89	0.0	0.48
ZNF768	915.51	1199.98	1242.34	1175.27	1259.69	698.41	341.51	559.28	660.68	536.45	555.41	890.44	547.75	0.0	0.59
