	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A0HB.01A.11R.A056.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AR.A0TV.01A.21R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E2.A15D.01A.11R.A115.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E2.01A.11R.A056.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A18N.01A.11R.A12D.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.REY6.1226.SM.48FDR
CEP120	98.04	76.71	435.55	205.5	287.01	181.28	176.29	133.36	165.57	275.28	211.31	149.12	190.34	115.97	202.66	161.02	154.42	124.37	223.41	198.47	269.6	115.16	102.97	260.38	163.28	267.73	305.55	176.29	134.3	218.79	120.94	201.25	275.28	353.59	339.14	295.11	154.42	134.3	211.31	164.42	181.28	94.01	124.37	164.42	262.2	265.87	177.53	180.02	165.57	281.09	211.31	147.06	220.32	173.85	336.79	267.73	182.55	246.28	161.02	239.52	426.57	161.02	237.86	332.14	353.59	220.32	150.17	221.86	251.48	211.31	162.14	218.79	379.04	253.23	154.42	218.79	122.64	217.27	144.01	123.5	113.56	111.21	297.17	144.01	98.73	195.72	214.27	175.07	176.29	305.55	202.66	258.57	158.79	312.0	251.48	244.57	164.42	209.84	135.24	147.06	182.55	124.37	327.56	152.28	212.78	204.07	237.86	167.9	432.53	194.36	226.54	339.14	158.79	151.22	149.12	195.72	138.1	35.76	72.52	75.64	43.32	48.18	48.87	43.63	46.5	45.21	55.89	51.71	34.26	47.5	56.68	53.57	31.45	36.53	49.91	47.5	25.72	73.54	100.13	81.14	42.71	48.87	96.01	78.89	28.45	62.56	71.5	108.9	71.5	82.87	51.35	76.71	24.99	78.89
CHIC1	15.91	28.24	97.36	102.25	58.71	58.3	39.22	65.72	75.11	158.79	136.19	48.87	69.03	50.63	62.56	41.52	48.87	66.18	67.59	82.87	76.17	47.5	42.41	123.5	50.27	109.66	95.34	60.39	89.51	129.69	66.18	65.26	60.39	107.38	62.12	123.5	98.73	34.51	82.29	81.71	92.7	82.29	44.57	73.03	70.51	121.79	43.32	82.87	68.55	82.87	48.87	112.77	54.72	105.15	85.22	96.68	64.8	77.25	77.79	167.9	128.79	46.5	111.99	172.65	65.72	116.78	73.54	108.14	123.5	47.5	73.03	78.34	130.6	84.63	69.03	181.28	63.0	92.7	43.94	73.54	59.13	44.25	69.52	45.85	70.01	88.26	81.14	123.5	52.08	108.14	94.01	94.01	102.25	111.21	114.36	59.13	40.93	135.24	78.89	59.97	20.71	98.73	120.1	110.43	64.8	69.52	72.01	82.29	108.9	33.54	101.54	85.22	173.85	55.49	107.38	55.49	27.84	54.72	10.79	24.46	30.34	7.34	4.21	35.5	3.44	10.31	31.0	16.63	3.26	5.11	6.16	25.35	2.03	4.13	6.36	3.59	1.28	3.82	35.25	16.88	8.78	3.17	25.72	6.26	6.52	5.41	19.39	8.38	22.92	14.67	15.0	1.04	8.58	15.68
CNOT4	129.69	122.64	258.57	232.94	287.01	241.19	186.4	206.94	173.85	339.14	392.44	201.25	140.04	232.94	229.72	249.73	279.14	224.97	358.54	327.56	201.25	186.4	121.79	379.04	256.78	363.56	289.02	332.14	275.28	420.68	275.28	248.0	241.19	371.22	229.72	339.14	236.21	229.72	232.94	320.8	305.55	307.69	295.11	208.38	309.83	316.37	255.0	211.31	275.28	289.02	221.86	148.09	217.27	281.09	269.6	366.09	260.38	251.48	273.37	351.14	417.77	303.44	255.0	329.84	264.03	329.84	285.03	414.87	287.01	231.32	212.78	279.14	397.93	341.51	155.5	353.59	231.32	217.27	180.02	279.14	206.94	221.86	438.59	242.88	202.66	229.72	295.11	318.57	186.4	361.04	325.29	307.69	368.65	320.8	373.81	285.03	153.34	426.57	275.28	186.4	244.57	246.28	231.32	332.14	202.66	195.72	297.17	277.2	438.59	242.88	303.44	414.87	295.11	199.85	307.69	218.79	195.72	62.56	190.34	98.73	90.77	127.0	155.5	149.12	145.02	114.36	113.56	111.99	118.43	96.68	187.71	221.86	96.01	108.14	128.79	148.09	120.94	165.57	138.1	127.0	146.03	99.43	151.22	149.12	59.97	110.43	87.03	167.9	122.64	101.54	107.38	47.84	54.33	94.01
COX6C	83528.61	95286.54	168220.2	223512.12	152662.96	256748.15	331809.5	185362.8	158046.64	68793.23	194578.47	209994.66	170568.48	112532.89	176583.6	185362.8	111755.56	152662.96	144427.91	136637.07	114897.47	132900.7	159145.95	72715.74	201440.3	198667.0	221968.2	207103.59	140478.49	128373.58	124863.17	211455.3	112532.89	87681.42	355624.68	92680.9	265802.39	195931.88	190574.09	263966.36	242898.5	127486.83	150561.19	140478.49	144427.91	148488.36	228208.61	202841.44	169390.27	107203.06	186652.11	229795.93	391864.76	118127.7	193234.41	147462.67	116501.39	145432.49	425853.18	125731.67	97965.44	217400.14	127486.83	125731.67	164758.26	107948.72	320506.81	78476.96	170568.48	205673.01	177811.84	117311.73	269512.87	174152.51	160252.91	82378.63	191899.64	152662.96	189257.69	147462.67	89523.81	110216.97	146444.06	208544.12	195931.88	194578.47	130165.62	253213.41	180294.02	94628.34	142439.51	437825.58	527933.71	200048.85	116501.39	133825.1	197294.7	184082.4	228208.61	116501.39	138544.47	145432.49	114897.47	125731.67	286861.53	205673.01	180294.02	118949.35	223512.12	127486.83	158046.64	492579.5	132900.7	204252.32	114897.47	164758.26	118127.7	91404.92	61146.25	11745.96	32767.0	31215.04	32767.0	37121.34	40062.48	59887.86	39785.74	32767.0	37639.55	38430.46	44452.21	41475.31	33688.23	59063.35	34396.12	55877.28	46019.85	28328.16	33224.42	48643.87	37121.34	32540.65	38697.77	55491.3	12589.08	10296.45	9409.14	16045.82	10296.45	15824.9	20030.74	16045.82	9673.69	15392.14
CTDSPL2	101.54	104.42	470.14	376.41	480.04	366.09	231.32	177.53	202.66	454.09	575.03	153.34	205.5	229.72	429.54	206.94	198.47	228.13	392.44	343.89	371.22	147.06	151.22	518.15	156.59	551.56	497.0	237.86	265.87	336.79	260.38	454.09	476.71	733.19	218.79	387.02	368.65	249.73	387.02	228.13	314.17	177.53	176.29	115.16	341.51	432.53	392.44	400.71	212.78	563.18	297.17	236.21	387.02	346.29	256.78	329.84	332.14	348.71	384.34	466.88	728.11	224.97	460.44	435.55	420.68	232.94	346.29	409.15	346.29	444.72	198.47	244.57	447.82	316.37	190.34	872.1	269.6	226.54	277.2	316.37	197.09	100.83	336.79	275.28	149.12	264.03	217.27	206.94	327.56	583.07	273.37	397.93	305.55	395.18	289.02	358.54	267.73	305.55	139.07	114.36	177.53	231.32	341.51	473.41	389.72	660.68	450.94	267.73	480.04	406.31	220.32	195.72	473.41	145.02	389.72	206.94	171.45	56.68	93.35	62.12	47.84	96.01	54.72	59.13	89.51	45.21	67.59	75.64	43.63	50.63	106.63	54.33	46.5	40.93	74.06	88.88	49.21	68.55	114.36	87.03	40.07	64.34	113.56	78.89	37.59	77.25	91.41	81.14	73.54	72.01	40.93	49.21	57.49	65.72
DENND4C	356.05	123.5	327.56	540.19	575.03	497.0	264.03	194.36	256.78	620.67	559.28	137.14	285.03	186.4	269.6	348.71	198.47	202.66	612.11	486.75	293.07	231.32	150.17	579.04	318.57	457.25	684.02	361.04	353.59	429.54	176.29	563.18	476.71	718.08	258.57	460.44	414.87	329.84	368.65	267.73	429.54	242.88	305.55	201.25	318.57	738.29	389.72	329.84	248.0	525.39	395.18	269.6	329.84	583.07	384.34	457.25	291.04	525.39	291.04	660.68	764.36	246.28	571.05	507.46	329.84	285.03	206.94	429.54	353.59	591.22	301.33	329.84	718.08	647.07	241.19	669.92	186.4	171.45	285.03	348.71	209.84	193.01	595.34	228.13	285.03	325.29	376.41	301.33	366.09	417.77	281.09	265.87	199.85	500.46	518.15	379.04	457.25	361.04	269.6	265.87	166.73	381.68	389.72	518.15	423.61	201.25	353.59	223.41	665.29	312.0	356.05	229.72	476.71	269.6	503.95	165.57	136.19	145.02	115.16	103.69	60.82	90.77	72.01	76.71	156.59	60.82	53.95	73.54	74.58	86.43	97.36	115.97	68.07	70.01	71.5	111.21	40.64	93.35	127.89	127.89	42.11	83.45	249.73	55.49	69.03	111.99	133.36	105.89	126.12	111.99	69.03	62.56	62.56	111.21
DPP8	146.03	101.54	466.88	318.57	358.54	231.32	204.07	163.28	291.04	316.37	480.04	166.73	217.27	155.5	358.54	232.94	145.02	185.11	356.05	339.14	327.56	135.24	116.78	406.31	185.11	384.34	373.81	165.57	228.13	273.37	246.28	329.84	343.89	426.57	187.71	327.56	291.04	253.23	228.13	224.97	273.37	202.66	194.36	100.83	412.0	387.02	277.2	285.03	187.71	435.55	297.17	214.27	305.55	336.79	237.86	356.05	297.17	255.0	301.33	406.31	483.38	237.86	368.65	503.95	246.28	176.29	180.02	381.68	343.89	351.14	153.34	198.47	575.03	334.46	229.72	346.29	149.12	291.04	305.55	239.52	172.65	127.0	256.78	185.11	117.6	218.79	348.71	241.19	244.57	397.93	269.6	279.14	283.05	332.14	314.17	253.23	336.79	144.01	226.54	152.28	122.64	186.4	314.17	297.17	275.28	316.37	178.77	199.85	525.39	312.0	218.79	171.45	334.46	205.5	353.59	265.87	107.38	101.54	92.05	68.07	56.28	99.43	49.21	81.14	96.68	59.97	72.52	75.11	65.26	88.26	85.22	75.11	59.55	51.71	70.51	124.37	43.63	78.34	115.97	98.04	35.5	73.03	142.01	78.34	29.7	89.51	61.25	58.3	72.01	84.63	56.28	34.26	57.49	66.18
ESYT2	363.56	182.55	1127.35	1397.83	753.83	825.0	616.37	902.89	656.11	1199.98	1295.13	688.78	595.34	651.58	890.44	825.0	529.06	708.18	1030.12	567.1	890.44	796.86	703.28	1081.39	769.69	961.07	890.44	909.17	669.92	928.3	890.44	1088.92	1008.9	842.36	753.83	1277.29	684.02	780.44	1151.06	1015.93	775.05	656.11	785.88	718.08	669.92	1250.98	1268.46	638.15	669.92	1015.93	713.11	497.0	567.1	1081.39	1216.75	1015.93	890.44	1001.93	848.22	1304.15	1015.93	802.41	579.04	1111.82	753.83	1037.29	961.07	1359.57	1277.29	1498.22	848.22	698.41	1111.82	1135.2	563.18	1388.16	624.99	647.07	808.0	796.86	713.11	785.88	1066.48	591.22	733.19	848.22	848.22	679.29	591.22	1540.37	1051.79	733.19	872.1	1015.93	947.83	1059.11	616.37	616.37	679.29	896.64	679.29	860.08	743.43	693.58	1059.11	775.05	915.51	587.13	1540.37	780.44	1268.46	684.02	665.29	633.73	961.07	791.35	540.19	111.99	397.93	356.05	197.09	348.71	198.47	135.24	363.56	208.38	214.27	318.57	236.21	279.14	353.59	332.14	244.57	170.25	198.47	371.22	212.78	255.0	303.44	336.79	289.02	279.14	358.54	287.01	260.38	381.68	389.72	246.28	312.0	297.17	228.13	400.71	236.21	684.02
FAM13B	103.69	63.89	514.56	353.59	476.71	211.31	256.78	214.27	236.21	579.04	540.19	214.27	197.09	139.07	316.37	256.78	232.94	159.9	403.5	397.93	366.09	164.42	127.89	420.68	346.29	470.14	253.23	214.27	237.86	444.72	201.25	215.77	412.0	454.09	358.54	392.44	260.38	104.42	381.68	180.02	228.13	269.6	194.36	209.84	429.54	327.56	246.28	339.14	279.14	329.84	325.29	189.02	155.5	343.89	307.69	361.04	395.18	358.54	435.55	361.04	728.11	368.65	435.55	493.56	309.83	368.65	209.84	275.28	312.0	303.44	232.94	414.87	571.05	392.44	198.47	287.01	325.29	204.07	166.73	267.73	195.72	260.38	336.79	264.03	165.57	412.0	361.04	316.37	223.41	376.41	346.29	521.76	209.84	414.87	316.37	246.28	264.03	316.37	152.28	117.6	262.2	186.4	551.56	260.38	271.48	273.37	366.09	271.48	518.15	358.54	325.29	182.55	166.73	239.52	320.8	204.07	201.25	42.41	82.29	69.52	26.67	58.71	80.01	70.01	40.93	40.64	38.95	68.55	39.5	45.21	139.07	64.34	26.86	44.57	42.11	46.18	89.51	37.59	96.68	109.66	58.3	47.5	111.21	66.65	21.01	57.89	63.89	57.89	73.54	50.63	48.18	26.1	73.54	52.08
FAM200A	115.97	117.6	187.71	114.36	163.28	114.36	150.17	154.42	62.12	226.54	251.48	156.59	162.14	135.24	195.72	161.02	159.9	127.89	149.12	183.82	139.07	148.09	108.9	208.38	180.02	157.68	120.1	182.55	131.51	181.28	112.77	78.89	181.28	198.47	178.77	226.54	118.43	106.63	118.43	255.0	220.32	54.33	87.65	167.9	134.3	171.45	111.99	113.56	167.9	132.44	244.57	69.52	122.64	134.3	143.01	169.07	121.79	146.03	91.41	159.9	218.79	118.43	94.67	133.36	78.34	170.25	111.21	242.88	176.29	170.25	155.5	180.02	185.11	165.57	199.85	267.73	94.01	80.01	79.45	126.12	117.6	121.79	228.13	182.55	115.16	102.25	182.55	126.12	83.45	145.02	164.42	190.34	164.42	162.14	194.36	146.03	171.45	246.28	104.42	118.43	145.02	120.94	114.36	180.02	147.06	148.09	193.01	130.6	253.23	13.32	205.5	205.5	70.01	120.1	185.11	144.01	178.77	180.02	71.0	27.84	44.57	57.49	48.18	118.43	71.5	63.0	54.33	60.82	27.05	30.12	61.25	60.82	43.02	51.35	48.87	75.64	76.71	82.29	91.41	48.18	50.98	37.59	73.54	69.03	12.64	32.13	23.93	50.63	31.22	24.46	28.24	34.02	22.92	40.93
FAN1	91.41	82.87	525.39	228.13	463.65	214.27	334.46	234.57	211.31	291.04	599.49	258.57	199.85	135.24	275.28	241.19	205.5	154.42	232.94	279.14	432.53	234.57	159.9	320.8	241.19	277.2	447.82	249.73	226.54	332.14	156.59	248.0	316.37	253.23	314.17	395.18	334.46	102.25	246.28	164.42	363.56	307.69	224.97	205.5	212.78	260.38	299.25	316.37	163.28	463.65	363.56	305.55	246.28	303.44	236.21	389.72	248.0	262.2	463.65	403.5	301.33	218.79	295.11	297.17	224.97	208.38	133.36	356.05	525.39	234.57	208.38	323.03	476.71	486.75	172.65	441.64	287.01	185.11	395.18	142.01	165.57	217.27	339.14	175.07	226.54	249.73	332.14	148.09	132.44	316.37	281.09	346.29	249.73	583.07	309.83	166.73	301.33	170.25	269.6	220.32	195.72	244.57	356.05	297.17	277.2	435.55	379.04	253.23	595.34	327.56	301.33	248.0	258.57	234.57	204.07	167.9	120.1	142.01	115.97	49.56	69.03	79.45	119.26	71.0	195.72	87.03	124.37	56.68	105.89	98.04	125.24	159.9	78.34	101.54	96.68	139.07	63.45	96.01	127.0	93.35	75.11	73.54	95.34	158.79	103.69	120.94	68.55	104.42	98.73	95.34	75.11	62.12	32.36	90.14
FSIP1	42.71	16.88	684.02	242.88	571.05	248.0	224.97	71.0	255.0	1857.6	1662.49	384.34	148.09	265.87	109.66	507.46	397.93	547.75	575.03	1242.34	555.41	571.05	351.14	785.88	256.78	343.89	1081.39	743.43	76.17	223.41	154.42	100.13	403.5	1639.59	136.19	842.36	46.84	1167.14	143.01	106.63	607.87	264.03	343.89	808.0	373.81	466.88	620.67	199.85	189.02	753.83	111.21	16.15	353.59	316.37	684.02	28.24	35.25	297.17	22.43	915.51	423.61	703.28	346.29	934.76	438.59	165.57	205.5	536.45	389.72	31.45	178.77	36.53	327.56	132.44	371.22	1015.93	37.05	616.37	67.59	145.02	307.69	136.19	476.71	1304.15	249.73	2133.97	69.52	226.54	105.15	629.35	158.79	1111.82	417.77	264.03	157.68	521.76	480.04	371.22	195.72	173.85	307.69	348.71	89.51	629.35	1583.71	669.92	116.78	316.37	121.79	303.44	318.57	226.54	244.57	1.5	63.89	149.12	518.15	0.39	2.2	4.43	0.82	3.66	0.93	0.37	0.0	1.25	1.83	0.85	1.57	1.87	4.24	1.07	1.2	1.58	5.5	11.73	1.77	0.75	7.0	1.75	3.99	2.18	3.96	8.92	2.34	1.55	2.27	1.62	5.63	5.96	2.23	2.48	0.0	0.75
GCC1	144.01	154.42	368.65	301.33	348.71	403.5	258.57	260.38	170.25	406.31	395.18	303.44	182.55	264.03	314.17	265.87	316.37	198.47	351.14	316.37	277.2	397.93	187.71	395.18	334.46	346.29	318.57	329.84	353.59	309.83	353.59	253.23	339.14	381.68	336.79	490.14	229.72	236.21	339.14	366.09	343.89	305.55	457.25	454.09	463.65	348.71	314.17	258.57	239.52	320.8	299.25	226.54	273.37	269.6	339.14	314.17	412.0	420.68	384.34	400.71	220.32	339.14	273.37	343.89	336.79	381.68	255.0	511.0	476.71	314.17	253.23	209.84	325.29	503.95	287.01	591.22	368.65	258.57	358.54	293.07	262.2	329.84	341.51	198.47	348.71	295.11	267.73	381.68	234.57	409.15	363.56	323.03	361.04	540.19	348.71	297.17	312.0	438.59	241.19	305.55	271.48	325.29	260.38	432.53	256.78	309.83	312.0	289.02	587.13	267.73	262.2	303.44	221.86	353.59	480.04	277.2	191.67	34.75	204.07	149.12	146.03	156.59	125.24	137.14	187.71	143.01	141.02	105.15	121.79	141.02	147.06	177.53	120.94	157.68	165.57	162.14	146.03	128.79	154.42	127.0	124.37	149.12	164.42	107.38	149.12	198.47	162.14	166.73	176.29	127.0	157.68	84.63	131.51	92.7
GPATCH8	147.06	164.42	429.54	454.09	450.94	470.14	242.88	241.19	309.83	414.87	500.46	260.38	305.55	130.6	376.41	197.09	190.34	153.34	202.66	406.31	384.34	158.79	166.73	470.14	279.14	444.72	295.11	329.84	381.68	343.89	176.29	242.88	555.41	497.0	265.87	447.82	320.8	264.03	258.57	183.82	656.11	258.57	237.86	124.37	575.03	361.04	224.97	320.8	264.03	417.77	397.93	234.57	438.59	426.57	438.59	371.22	291.04	341.51	406.31	412.0	460.44	323.03	521.76	470.14	358.54	376.41	291.04	363.56	406.31	412.0	269.6	301.33	536.45	397.93	180.02	559.28	314.17	273.37	231.32	221.86	228.13	220.32	256.78	295.11	138.1	490.14	373.81	287.01	279.14	409.15	371.22	316.37	244.57	368.65	339.14	180.02	423.61	206.94	226.54	193.01	239.52	295.11	420.68	265.87	348.71	316.37	351.14	234.57	412.0	444.72	327.56	260.38	226.54	460.44	279.14	202.66	108.14	14.78	106.63	74.06	67.12	94.67	63.89	80.01	105.89	68.07	61.68	67.12	52.82	74.06	111.21	45.85	57.49	81.14	79.45	88.88	49.91	78.34	191.67	110.43	99.43	89.51	140.04	137.14	51.71	67.12	63.45	66.18	66.18	64.8	48.52	37.85	51.71	58.3
GPR107	301.33	156.59	470.14	738.29	551.56	967.76	633.73	497.0	384.34	1167.14	1167.14	426.57	698.41	514.56	432.53	775.05	454.09	607.87	802.41	1059.11	373.81	389.72	473.41	1127.35	669.92	759.08	802.41	463.65	974.5	743.43	587.13	633.73	1001.93	1151.06	500.46	802.41	748.61	514.56	633.73	642.59	775.05	759.08	571.05	361.04	995.0	802.41	490.14	603.67	532.74	1073.91	665.29	500.46	753.83	1008.9	961.07	974.5	738.29	703.28	728.11	1268.46	1135.2	551.56	759.08	1457.23	397.93	872.1	753.83	860.08	748.61	934.76	514.56	688.78	1088.92	909.17	507.46	490.14	493.56	336.79	353.59	629.35	555.41	514.56	638.15	507.46	555.41	1104.13	607.87	1135.2	447.82	1015.93	571.05	961.07	813.63	454.09	967.76	934.76	848.22	802.41	551.56	616.37	785.88	684.02	540.19	961.07	323.03	603.67	819.3	660.68	967.76	1051.79	718.08	470.14	679.29	620.67	500.46	361.04	144.01	177.53	389.72	143.01	186.4	356.05	151.22	387.02	297.17	220.32	197.09	221.86	318.57	237.86	412.0	356.05	241.19	351.14	253.23	312.0	262.2	193.01	409.15	285.03	169.07	264.03	444.72	295.11	129.69	125.24	115.16	117.6	262.2	123.5	120.1	100.13	72.52	275.28
INO80	172.65	123.5	293.07	341.51	275.28	295.11	255.0	414.87	265.87	318.57	595.34	289.02	287.01	202.66	320.8	195.72	242.88	194.36	267.73	363.56	283.05	221.86	351.14	334.46	283.05	314.17	221.86	205.5	190.34	251.48	166.73	334.46	287.01	397.93	242.88	466.88	301.33	262.2	291.04	208.38	291.04	271.48	289.02	228.13	262.2	314.17	264.03	341.51	206.94	376.41	275.28	275.28	275.28	363.56	223.41	273.37	283.05	303.44	255.0	307.69	287.01	258.57	348.71	384.34	265.87	224.97	275.28	457.25	480.04	228.13	217.27	273.37	167.9	275.28	217.27	417.77	305.55	140.04	356.05	197.09	187.71	201.25	320.8	271.48	148.09	343.89	199.85	182.55	262.2	343.89	279.14	334.46	236.21	291.04	234.57	237.86	314.17	228.13	176.29	215.77	197.09	271.48	228.13	191.67	305.55	529.06	371.22	323.03	463.65	293.07	241.19	262.2	299.25	289.02	283.05	197.09	178.77	33.3	151.22	96.68	113.56	134.3	124.37	57.49	140.04	91.41	135.24	105.89	122.64	122.64	158.79	65.72	138.1	127.89	110.43	158.79	77.25	92.7	204.07	120.94	100.13	189.02	139.07	127.89	80.57	127.0	161.02	87.65	123.5	87.65	84.04	57.08	177.53	151.22
