	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	GTEX.YJ8O.2226.SM.5IFHW	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.11TTK.0826.SM.5N9EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
CYP2U1	197.09	251.48	209.84	368.65	35.76	98.04	63.45	56.68	106.63	104.42	16.88	78.34	108.9	127.89	83.45	75.64	118.43	49.91	98.04	80.57	81.14	107.38	49.56	48.18	53.19	45.85	33.06	57.08	82.87	66.18	53.95	50.98	79.45
DCLK1	1008.9	547.75	559.28	599.49	8.32	46.18	27.84	57.49	264.03	67.59	0.66	607.87	214.27	91.41	69.03	130.6	132.44	35.25	154.42	127.0	164.42	135.24	21.63	43.02	43.02	13.52	59.55	11.13	65.26	37.85	95.34	31.9	49.56
DDR2	2796.65	2255.7	1378.57	3955.48	29.91	223.41	159.9	128.79	525.39	356.05	14.56	599.49	420.68	466.88	206.94	256.78	753.83	95.34	435.55	169.07	253.23	575.03	69.03	65.26	165.57	57.08	84.63	127.89	323.03	78.34	217.27	91.41	154.42
DLC1	2645.74	1159.07	813.63	2303.12	80.01	791.35	249.73	329.84	444.72	518.15	100.83	305.55	397.93	743.43	529.06	392.44	660.68	339.14	665.29	305.55	420.68	536.45	112.77	87.65	301.33	68.55	150.17	214.27	387.02	283.05	493.56	244.57	320.8
EBF1	1216.75	1151.06	866.07	2133.97	13.93	123.5	59.97	73.03	176.29	100.83	18.84	202.66	165.57	162.14	78.34	107.38	137.14	86.43	205.5	100.13	91.41	148.09	36.79	35.25	60.39	26.1	41.81	41.52	116.78	56.28	84.04	80.01	71.0
EFNB2	595.34	463.65	521.76	1685.71	127.0	371.22	198.47	147.06	551.56	363.56	54.33	356.05	358.54	713.11	283.05	164.42	660.68	234.57	246.28	116.78	199.85	307.69	151.22	150.17	327.56	232.94	82.29	208.38	334.46	126.12	255.0	54.72	334.46
ELK3	1359.57	1001.93	1183.45	3928.15	156.59	934.76	397.93	358.54	723.08	780.44	76.71	563.18	551.56	1250.98	466.88	368.65	1159.07	379.04	802.41	579.04	403.5	575.03	406.31	253.23	432.53	283.05	318.57	293.07	555.41	473.41	432.53	307.69	543.96
ERG	848.22	620.67	896.64	1159.07	58.3	305.55	152.28	175.07	228.13	242.88	64.34	316.37	316.37	447.82	155.5	176.29	297.17	221.86	353.59	154.42	189.02	175.07	137.14	61.68	173.85	72.01	72.52	115.97	220.32	140.04	228.13	85.22	170.25
ETS1	2502.97	1437.15	1832.01	2956.17	215.77	1340.84	743.43	624.99	1143.1	1216.75	514.56	896.64	1183.45	1242.34	591.22	563.18	1295.13	866.07	1498.22	476.71	759.08	1008.9	371.22	241.19	954.43	392.44	301.33	473.41	890.44	743.43	941.27	460.44	543.96
FAM129A	674.59	1369.04	1008.9	3349.13	60.82	120.1	47.84	67.59	249.73	75.11	7.94	170.25	87.03	293.07	132.44	88.88	211.31	58.3	187.71	151.22	105.15	163.28	36.01	34.75	39.79	36.01	17.0	31.22	85.82	59.55	62.12	43.02	79.45
FBLN2	6745.86	10225.32	5872.48	12589.08	90.77	647.07	830.75	551.56	2451.44	1551.09	43.02	2739.08	1806.78	3212.66	769.69	1709.26	2178.83	412.0	2384.37	571.05	1685.71	1685.71	231.32	480.04	279.14	486.75	426.57	343.89	1066.48	376.41	1127.35	325.29	616.37
FLI1	796.86	785.88	1119.56	1674.06	133.36	271.48	258.57	132.44	412.0	320.8	32.82	327.56	447.82	423.61	271.48	177.53	395.18	190.34	376.41	226.54	214.27	253.23	215.77	134.3	177.53	112.77	150.17	146.03	293.07	206.94	226.54	130.6	205.5
FRMD6	665.29	708.18	872.1	802.41	29.27	138.1	77.25	99.43	149.12	127.89	41.52	144.01	129.69	376.41	102.25	127.89	195.72	80.57	211.31	116.78	114.36	134.3	53.19	41.81	106.63	50.27	48.87	53.19	98.04	74.06	111.21	78.34	84.63
FSTL1	15715.58	13492.72	9409.14	10883.59	361.04	1498.22	1340.84	1096.5	3982.99	1662.49	647.07	5147.73	2627.46	1819.35	1216.75	1119.56	1697.45	1059.11	3665.02	1175.27	2075.59	2163.77	791.35	684.02	1151.06	1001.93	1030.12	559.28	1540.37	1304.15	1909.85	769.69	693.58
GAS1	1883.54	1427.22	1159.07	435.55	18.7	114.36	275.28	180.02	934.76	185.11	59.13	1135.2	329.84	363.56	127.89	242.88	470.14	35.25	497.0	90.14	348.71	941.27	48.87	112.77	137.14	63.89	128.79	137.14	728.11	170.25	220.32	51.71	182.55
GAS7	825.0	759.08	620.67	660.68	36.27	70.51	69.03	41.81	199.85	59.97	0.27	341.51	167.9	267.73	60.82	76.17	211.31	41.52	260.38	70.01	185.11	82.87	30.34	8.58	24.11	16.15	19.25	15.0	133.36	24.11	109.66	26.86	50.27
GIPC2	116.78	79.45	124.37	540.19	4.03	26.86	8.0	10.88	23.08	36.27	2.07	26.86	28.04	36.01	13.03	12.45	24.99	14.35	34.51	15.11	17.25	27.05	24.63	8.45	8.85	5.32	10.96	8.92	30.56	20.41	16.15	9.06	15.45
GNA12	1127.35	1322.37	1008.9	1369.04	293.07	420.68	389.72	358.54	674.59	476.71	246.28	595.34	629.35	521.76	432.53	379.04	518.15	353.59	571.05	412.0	703.28	518.15	323.03	314.17	312.0	343.89	368.65	269.6	444.72	366.09	511.0	283.05	392.44
GPR124	961.07	1617.0	848.22	1909.85	21.01	220.32	144.01	140.04	358.54	176.29	28.04	236.21	283.05	591.22	241.19	206.94	426.57	162.14	379.04	287.01	251.48	336.79	119.26	63.0	149.12	69.52	71.5	94.01	258.57	140.04	157.68	102.97	323.03
LHFP	4972.34	3901.01	4066.71	3928.15	175.07	1127.35	381.68	480.04	1286.18	866.07	204.07	1322.37	1051.79	1397.83	802.41	759.08	1605.83	633.73	1769.57	836.53	1008.9	1037.29	616.37	348.71	420.68	199.85	366.09	305.55	1183.45	417.77	591.22	660.68	738.29
LRP1	10440.2	8778.97	7966.99	4736.79	503.95	921.88	902.89	928.3	1806.78	1096.5	368.65	2148.82	2178.83	1733.13	1088.92	1605.83	1477.58	802.41	2133.97	915.51	1685.71	1417.35	896.64	536.45	988.12	559.28	409.15	470.14	1388.16	518.15	1322.37	703.28	1015.93
LTBP1	1487.87	1551.09	775.05	3443.31	17.0	117.6	73.54	34.02	368.65	125.24	24.63	339.14	165.57	441.64	141.02	186.4	269.6	42.41	295.11	52.82	95.34	193.01	12.27	14.89	31.0	62.12	35.76	51.35	134.3	52.08	88.88	32.36	103.69
LYPD6	63.45	83.45	87.03	24.11	0.87	5.92	2.14	2.46	7.94	5.23	0.0	13.83	8.85	5.32	2.78	3.66	9.41	2.84	11.73	1.89	6.94	6.21	0.49	1.35	2.43	1.87	3.06	1.11	3.26	0.21	3.92	1.5	2.86
MCC	289.02	239.52	239.52	507.46	11.55	127.89	71.5	58.3	108.9	167.9	15.68	108.9	92.7	156.59	72.52	71.0	244.57	53.19	137.14	65.26	74.58	142.01	36.01	41.22	38.95	32.13	36.79	52.08	116.78	68.07	78.34	32.13	118.43
MTSS1	511.0	660.68	325.29	780.44	84.04	176.29	194.36	128.79	223.41	218.79	33.54	264.03	205.5	217.27	144.01	123.5	275.28	120.1	232.94	118.43	144.01	271.48	45.21	68.07	81.14	100.83	46.5	111.21	256.78	94.67	157.68	92.7	138.1
MYLK	3491.39	8305.36	6471.02	13872.08	46.84	579.04	409.15	409.15	1066.48	503.95	108.9	764.36	995.0	954.43	555.41	529.06	656.11	249.73	665.29	341.51	414.87	791.35	176.29	154.42	209.84	339.14	135.24	232.94	718.08	395.18	325.29	312.0	295.11
NRP1	3081.75	2855.44	2816.11	4095.0	356.05	1757.34	633.73	775.05	1081.39	1529.73	289.02	854.13	1175.27	1733.13	775.05	909.17	1529.73	567.1	1457.23	759.08	884.29	1088.92	518.15	373.81	813.63	316.37	323.03	463.65	775.05	476.71	785.88	376.41	1143.1
PARVA	2875.3	2720.15	2573.36	2520.38	435.55	842.36	633.73	769.69	1159.07	813.63	454.09	961.07	825.0	1015.93	780.44	688.78	896.64	603.67	1066.48	718.08	764.36	738.29	551.56	457.25	693.58	379.04	591.22	529.06	890.44	536.45	796.86	638.15	616.37
PCDHGC3	909.17	713.11	656.11	525.39	70.01	255.0	172.65	115.97	457.25	246.28	56.68	371.22	400.71	435.55	237.86	191.67	299.25	104.42	387.02	221.86	327.56	232.94	87.65	99.43	209.84	100.83	85.22	77.79	356.05	115.97	220.32	92.05	185.11
PCSK5	503.95	356.05	323.03	1111.82	18.7	59.55	53.57	58.71	76.17	112.77	27.44	130.6	110.43	231.32	116.78	108.9	185.11	72.01	153.34	49.21	69.03	125.24	27.84	25.17	55.89	38.95	26.67	37.32	85.82	50.27	57.08	40.07	67.12
PGM5	723.08	1819.35	860.08	4575.41	25.72	327.56	105.89	175.07	332.14	269.6	13.12	400.71	279.14	540.19	236.21	241.19	435.55	119.26	376.41	256.78	291.04	381.68	82.29	145.02	141.02	60.39	167.9	72.01	279.14	170.25	249.73	85.22	214.27
PLCL2	271.48	204.07	205.5	429.54	24.99	186.4	45.53	74.58	111.99	111.99	6.21	87.03	89.51	127.89	77.79	85.22	112.77	55.89	129.69	76.17	85.22	139.07	34.75	24.63	68.07	26.86	44.57	34.75	108.9	56.28	73.54	42.71	79.45
PTGFR	307.69	305.55	141.02	106.63	0.89	5.63	5.54	4.94	25.91	12.36	0.11	43.02	22.43	20.26	7.34	22.75	18.03	4.5	17.64	2.86	15.45	17.0	3.06	1.55	14.35	0.95	7.46	4.03	14.24	4.58	8.71	7.69	2.58
RBMS1	1594.73	1208.34	1151.06	2119.22	164.42	647.07	571.05	540.19	854.13	642.59	285.03	866.07	769.69	607.87	708.18	567.1	595.34	420.68	791.35	450.94	743.43	603.67	373.81	353.59	500.46	343.89	363.56	384.34	457.25	457.25	733.19	414.87	476.71
RGL1	723.08	738.29	559.28	575.03	37.85	218.79	134.3	146.03	293.07	187.71	30.56	275.28	215.77	194.36	134.3	151.22	244.57	131.51	287.01	155.5	248.0	285.03	82.87	48.52	93.35	45.85	63.89	67.12	215.77	86.43	137.14	63.45	146.03
ROR1	85.22	144.01	66.18	368.65	2.03	25.17	6.21	3.92	19.82	15.22	0.83	16.63	13.32	42.11	11.13	5.92	45.85	5.5	41.22	13.42	16.75	12.0	1.79	0.16	0.36	1.5	1.11	1.97	13.12	2.1	6.62	2.58	10.88
RP11-383H13.1	262.2	373.81	104.42	518.15	3.66	93.35	12.93	23.76	74.06	42.11	0.18	68.07	50.98	119.26	40.07	29.27	67.59	36.79	130.6	43.32	48.18	48.87	31.67	6.52	23.42	12.74	14.45	5.54	42.41	8.19	44.57	23.25	37.32
SEMA3G	1794.29	1781.89	2335.28	2935.74	61.25	161.02	161.02	119.26	406.31	353.59	57.89	251.48	281.09	595.34	279.14	134.3	363.56	305.55	271.48	113.56	134.3	264.03	73.03	154.42	115.97	111.99	52.45	157.68	198.47	161.02	185.11	37.85	241.19
SH2B3	432.53	332.14	543.96	575.03	165.57	228.13	164.42	173.85	255.0	281.09	120.94	185.11	186.4	356.05	185.11	201.25	221.86	121.79	265.87	180.02	232.94	195.72	150.17	97.36	180.02	99.43	133.36	81.71	265.87	132.44	157.68	164.42	199.85
SWAP70	1111.82	941.27	1250.98	1183.45	283.05	743.43	633.73	599.49	651.58	688.78	426.57	723.08	642.59	842.36	476.71	575.03	647.07	679.29	947.83	476.71	638.15	669.92	620.67	332.14	532.74	473.41	297.17	447.82	647.07	532.74	708.18	414.87	387.02
SYNPO2	1175.27	3955.48	1295.13	8778.97	13.42	199.85	96.01	85.82	265.87	140.04	26.86	265.87	185.11	279.14	307.69	131.51	215.77	94.67	249.73	117.6	120.94	199.85	82.87	35.25	152.28	32.82	50.63	52.82	156.59	96.01	133.36	93.35	56.68
SYT11	242.88	309.83	269.6	493.56	38.67	85.22	54.33	59.13	150.17	115.16	4.1	78.34	78.34	156.59	83.45	28.86	166.73	37.05	155.5	48.18	58.3	107.38	20.86	30.12	17.0	26.1	14.03	24.63	125.24	32.59	34.51	25.35	69.03
TBC1D9	830.75	698.41	995.0	463.65	93.35	158.79	115.97	90.14	169.07	161.02	27.64	162.14	166.73	194.36	154.42	95.34	153.34	75.11	181.28	97.36	154.42	264.03	70.51	73.54	94.01	102.25	49.56	69.52	211.31	82.29	126.12	81.71	80.01
TEK	599.49	718.08	679.29	1540.37	39.5	305.55	208.38	139.07	301.33	361.04	25.35	251.48	285.03	329.84	193.01	126.12	450.94	175.07	277.2	138.1	199.85	299.25	92.7	110.43	105.15	118.43	94.67	154.42	348.71	215.77	241.19	72.01	264.03
TG	26.47	9.63	2.2	1.0	663619.99	2068278.89	2247670.86	2126426.15	1327240.99	2375828.71	2111737.85	1611529.43	1070607.81	1535204.12	1984025.69	1997825.68	1196176.45	2986448.72	1567462.05	2425749.94	1929772.37	1299926.74	1327240.99	2636147.11	2263304.65	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	2263304.65	2672946.37	1864037.21
TGFBR2	6471.02	5219.6	5711.87	6294.04	351.14	1662.49	947.83	1127.35	2061.24	1551.09	157.68	2104.58	2004.85	1923.14	1225.22	1331.57	2240.11	1143.1	1407.55	854.13	1662.49	2303.12	1119.56	733.19	1295.13	679.29	743.43	842.36	1628.26	1127.35	1540.37	785.88	1183.45
TMEM252	44.57	69.03	32.36	66.18	0.0	7.88	8.99	2.14	10.0	11.73	1.16	23.25	17.0	25.17	11.47	7.28	10.96	3.06	14.24	6.94	12.55	15.22	1.85	2.14	2.39	3.2	7.88	4.35	6.73	4.74	16.39	2.97	5.54
ZEB1	890.44	928.3	684.02	1529.73	40.64	432.53	232.94	185.11	325.29	395.18	70.01	323.03	329.84	620.67	204.07	190.34	571.05	151.22	571.05	161.02	229.72	293.07	114.36	72.01	132.44	123.5	92.7	180.02	231.32	124.37	244.57	126.12	177.53
ZEB2	1331.57	1857.6	1111.82	2119.22	88.88	381.68	185.11	208.38	301.33	241.19	52.45	429.54	379.04	447.82	265.87	221.86	518.15	152.28	403.5	161.02	158.79	432.53	94.67	90.14	255.0	113.56	60.39	103.69	289.02	148.09	229.72	126.12	178.77
ZNF423	332.14	423.61	265.87	1030.12	21.32	95.34	57.89	68.07	159.9	113.56	16.63	119.26	133.36	264.03	115.97	71.0	145.02	66.18	195.72	62.12	120.94	102.25	53.57	36.01	46.5	28.65	42.71	27.05	90.14	63.45	78.89	30.34	93.35
