	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1FU.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FH.11B.42R.A13Q.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.Y5V5.2126.SM.4WWFO	GTEX.1399U.1826.SM.5PNZ1	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S4UY.1426.SM.4AD6Y	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.UPIC.1526.SM.4IHLU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.12WSK.2026.SM.5CVNB	GTEX.Q734.1626.SM.48U1B	GTEX.XYKS.1626.SM.4BRUQ
CASK	223.41	743.43	373.81	406.31	3589.58	928.3	575.03	397.93	251.48	351.14	921.88	483.38	368.65	358.54	429.54	177.53	1015.93	409.15	490.14	323.03	674.59	336.79	211.31	490.14	275.28	521.76	271.48	514.56	825.0	220.32	486.75	341.51	356.05	688.78	902.89	500.46	647.07	665.29	490.14	212.78	332.14	181.28	43.02	591.22	493.56	563.18	432.53	620.67	473.41	547.75	674.59	780.44	470.14	703.28	642.59	559.28	236.21	607.87	493.56	567.1	551.56	665.29	808.0	358.54	1277.29	974.5	679.29	647.07	1119.56	642.59	400.71	514.56	713.11	466.88	981.29	896.64	511.0	612.11	384.34	854.13	371.22	633.73	218.79	674.59	366.09	764.36	146.03	281.09	141.02	273.37	236.21	232.94	218.79	287.01	595.34	95.34	77.79	275.28	708.18	170.25	177.53	163.28
CEP350	157.68	638.15	148.09	105.89	540.19	470.14	432.53	217.27	172.65	429.54	389.72	579.04	187.71	87.65	217.27	191.67	432.53	127.0	146.03	480.04	234.57	289.02	351.14	591.22	241.19	323.03	172.65	287.01	473.41	206.94	297.17	521.76	171.45	236.21	279.14	148.09	246.28	246.28	301.33	72.01	329.84	171.45	262.2	429.54	113.56	224.97	185.11	575.03	217.27	258.57	305.55	432.53	199.85	269.6	373.81	318.57	88.26	275.28	199.85	323.03	198.47	329.84	325.29	144.01	423.61	486.75	486.75	295.11	169.07	309.83	193.01	223.41	275.28	166.73	463.65	420.68	275.28	195.72	143.01	267.73	45.53	193.01	136.19	212.78	102.97	246.28	151.22	142.01	56.28	144.01	156.59	134.3	127.89	122.64	66.18	151.22	101.54	115.16	187.71	187.71	99.43	61.25
CHUK	158.79	414.87	155.5	228.13	429.54	400.71	299.25	287.01	316.37	273.37	221.86	260.38	389.72	258.57	307.69	215.77	346.29	201.25	220.32	368.65	228.13	289.02	251.48	285.03	157.68	236.21	269.6	258.57	647.07	239.52	285.03	314.17	305.55	387.02	249.73	129.69	223.41	309.83	314.17	101.54	295.11	141.02	193.01	379.04	187.71	307.69	314.17	563.18	260.38	376.41	346.29	438.59	283.05	246.28	293.07	320.8	152.28	277.2	314.17	361.04	323.03	429.54	563.18	226.54	246.28	435.55	281.09	348.71	246.28	318.57	384.34	135.24	358.54	392.44	521.76	293.07	193.01	351.14	318.57	381.68	327.56	339.14	244.57	237.86	358.54	253.23	221.86	182.55	178.77	150.17	190.34	205.5	195.72	183.82	130.6	189.02	120.94	198.47	140.04	146.03	172.65	208.38
CSNK2A3	17.51	38.12	7.63	12.64	50.98	48.87	33.3	5.82	18.29	26.47	24.46	37.85	12.55	4.7	18.7	5.23	29.7	4.5	5.87	19.82	11.04	12.83	20.41	49.21	4.54	31.9	7.69	25.91	55.1	10.55	22.26	15.91	17.13	15.0	6.41	12.83	17.25	23.25	16.63	3.2	28.65	8.06	12.18	20.71	8.65	19.39	18.97	35.76	15.0	27.25	18.97	33.06	12.74	28.04	23.08	23.59	13.93	20.71	9.48	17.64	16.75	15.45	24.63	15.34	32.13	42.11	52.45	26.47	22.26	31.0	15.8	13.83	14.78	14.03	8.51	19.97	23.93	10.88	41.52	27.64	4.9	16.27	21.16	8.32	22.26	68.55	10.63	10.47	2.18	8.38	9.34	10.39	5.96	30.34	5.63	11.04	13.93	12.74	12.36	32.36	5.45	10.16
DAAM1	299.25	813.63	273.37	197.09	830.75	1685.71	486.75	463.65	403.5	616.37	269.6	403.5	251.48	289.02	514.56	351.14	444.72	346.29	291.04	607.87	454.09	476.71	460.44	947.83	231.32	656.11	236.21	503.95	1259.69	395.18	435.55	429.54	305.55	486.75	403.5	327.56	490.14	703.28	224.97	204.07	587.13	181.28	281.09	1073.91	291.04	441.64	748.61	1322.37	624.99	633.73	836.53	842.36	441.64	703.28	753.83	684.02	336.79	1001.93	620.67	733.19	723.08	1233.75	1119.56	353.59	1030.12	718.08	507.46	708.18	1832.01	1628.26	423.61	536.45	647.07	295.11	759.08	1242.34	327.56	638.15	483.38	808.0	318.57	1447.15	435.55	1286.18	332.14	684.02	775.05	423.61	80.01	269.6	323.03	432.53	205.5	241.19	143.01	251.48	187.71	412.0	358.54	293.07	236.21	202.66
DDX6	511.0	1685.71	295.11	115.97	1806.78	1936.53	647.07	703.28	633.73	748.61	1059.11	1561.89	441.64	267.73	466.88	532.74	679.29	397.93	395.18	961.07	591.22	1119.56	1151.06	928.3	332.14	921.88	460.44	1044.52	1159.07	525.39	1111.82	941.27	376.41	961.07	896.64	325.29	1088.92	1119.56	941.27	121.79	1427.22	603.67	825.0	1583.71	460.44	860.08	660.68	1639.59	941.27	974.5	1286.18	2090.03	860.08	1369.04	1250.98	1250.98	555.41	988.12	688.78	1191.69	1295.13	1295.13	1467.37	638.15	1769.57	1540.37	708.18	1923.14	1870.53	1322.37	753.83	866.07	1651.0	406.31	1769.57	1487.87	934.76	1277.29	1023.0	1259.69	271.48	2032.85	454.09	2163.77	353.59	2075.59	791.35	555.41	120.1	642.59	669.92	551.56	571.05	435.55	116.78	320.8	299.25	759.08	371.22	307.69	480.04	384.34
DLG1	454.09	1096.5	435.55	249.73	1104.13	684.02	1199.98	629.35	529.06	1051.79	1498.22	1030.12	651.58	246.28	441.64	473.41	708.18	457.25	460.44	802.41	403.5	450.94	723.08	915.51	490.14	819.3	599.49	579.04	934.76	423.61	647.07	878.17	389.72	651.58	1008.9	651.58	718.08	791.35	698.41	197.09	988.12	395.18	551.56	1037.29	389.72	748.61	571.05	1674.06	698.41	698.41	890.44	1268.46	616.37	934.76	1088.92	941.27	426.57	872.1	620.67	813.63	733.19	854.13	967.76	497.0	1073.91	1037.29	791.35	981.29	896.64	1008.9	409.15	713.11	1268.46	785.88	1340.84	669.92	753.83	902.89	301.33	921.88	260.38	1001.93	293.07	796.86	417.77	1143.1	665.29	314.17	341.51	441.64	486.75	483.38	450.94	397.93	217.27	435.55	281.09	543.96	346.29	432.53	256.78	529.06
DPP8	223.41	571.05	170.25	131.51	616.37	441.64	223.41	332.14	232.94	353.59	400.71	301.33	165.57	143.01	214.27	201.25	353.59	173.85	193.01	368.65	119.26	198.47	376.41	412.0	193.01	248.0	202.66	277.2	575.03	212.78	239.52	178.77	121.79	287.01	262.2	80.01	325.29	305.55	341.51	93.35	289.02	127.89	187.71	493.56	145.02	232.94	215.77	563.18	281.09	361.04	363.56	503.95	218.79	334.46	397.93	389.72	132.44	397.93	269.6	325.29	281.09	387.02	503.95	204.07	733.19	493.56	417.77	583.07	599.49	521.76	262.2	316.37	503.95	126.12	521.76	373.81	400.71	447.82	279.14	332.14	107.38	595.34	139.07	447.82	202.66	651.58	228.13	181.28	120.1	206.94	202.66	253.23	176.29	176.29	60.82	212.78	189.02	285.03	175.07	163.28	108.9	101.54
EIF2AK3	555.41	708.18	226.54	178.77	1183.45	551.56	764.36	473.41	381.68	656.11	836.53	860.08	212.78	242.88	361.04	323.03	409.15	329.84	301.33	1167.14	305.55	493.56	708.18	599.49	279.14	1208.34	414.87	629.35	825.0	447.82	551.56	638.15	381.68	536.45	529.06	466.88	483.38	633.73	791.35	138.1	884.29	607.87	559.28	579.04	303.44	366.09	334.46	698.41	444.72	397.93	616.37	642.59	379.04	543.96	638.15	587.13	265.87	438.59	366.09	540.19	497.0	503.95	679.29	403.5	392.44	616.37	466.88	536.45	808.0	587.13	299.25	403.5	579.04	318.57	854.13	514.56	400.71	466.88	638.15	473.41	309.83	802.41	353.59	473.41	358.54	981.29	253.23	454.09	289.02	206.94	239.52	241.19	220.32	265.87	147.06	190.34	144.01	108.9	135.24	87.03	169.07	209.84
EXOC5	239.52	902.89	221.86	150.17	1388.16	1304.15	529.06	339.14	334.46	470.14	1104.13	624.99	287.01	242.88	551.56	253.23	438.59	237.86	295.11	780.44	373.81	555.41	607.87	872.1	223.41	825.0	334.46	334.46	1295.13	281.09	466.88	555.41	376.41	500.46	438.59	341.51	389.72	559.28	551.56	96.01	813.63	301.33	353.59	743.43	242.88	251.48	384.34	878.17	532.74	723.08	587.13	878.17	373.81	651.58	579.04	656.11	212.78	480.04	536.45	629.35	497.0	647.07	1037.29	384.34	830.75	647.07	529.06	599.49	629.35	1008.9	309.83	371.22	575.03	536.45	684.02	587.13	403.5	423.61	525.39	603.67	353.59	878.17	191.67	450.94	269.6	1088.92	514.56	234.57	108.14	316.37	271.48	309.83	265.87	285.03	358.54	325.29	151.22	248.0	303.44	206.94	291.04	312.0
