	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.BT.A20N.01A.11R.A14Y.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.EK.A2R7.01A.11R.A18M.07	TCGA.C5.A1M9.01A.11R.A13Y.07	TCGA.DS.A0VM.01A.11R.A10U.07	TCGA.05.5715.01A.01R.1628.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.11NV4.1126.SM.5HL6J	GTEX.14DAR.0226.SM.5S2PR	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07
CDKN3	108.14	109.66	543.96	947.83	127.0	703.28	52.45	660.68	343.89	68.55	135.24	1119.56	878.17	450.94	232.94	358.54	1001.93	878.17	314.17	497.0	412.0	275.28	186.4	332.14	759.08	647.07	159.9	1769.57	1417.35	1340.84	205.5	540.19	89.51	42.71	50.27	16.75	9.27	19.39	58.71	87.03	22.43	29.06	19.82	23.93	114.36	24.11	51.35	50.63	56.28
CENPA	42.71	38.95	150.17	253.23	70.51	497.0	22.59	182.55	170.25	34.02	65.72	825.0	555.41	285.03	96.01	208.38	599.49	500.46	115.97	218.79	116.78	98.73	52.45	117.6	379.04	366.09	78.34	518.15	884.29	563.18	108.14	169.07	31.22	20.56	17.51	19.68	6.21	6.89	19.25	28.04	4.66	6.06	3.5	5.15	25.72	3.82	13.22	12.0	12.27
CENPF	237.86	107.38	629.35	429.54	234.57	1066.48	40.07	591.22	403.5	87.65	224.97	441.64	536.45	642.59	426.57	429.54	802.41	579.04	813.63	371.22	547.75	381.68	351.14	316.37	941.27	563.18	273.37	2163.77	1304.15	872.1	283.05	146.03	100.13	35.5	42.11	19.68	8.51	6.06	17.38	44.89	18.43	18.29	13.62	9.27	57.89	18.7	25.54	41.81	37.05
CENPI	19.97	13.52	84.63	161.02	19.25	91.41	4.54	54.72	43.02	8.45	14.03	97.36	70.01	89.51	48.52	21.16	111.21	129.69	53.19	77.79	55.49	55.1	16.75	44.57	92.05	147.06	24.63	172.65	138.1	186.4	46.18	61.25	13.62	10.63	8.51	1.03	3.63	6.16	1.81	5.15	8.25	3.23	5.96	1.57	7.63	5.96	3.79	7.0	5.28
CENPW	409.15	148.09	785.88	1167.14	470.14	603.67	191.67	1073.91	988.12	221.86	193.01	1447.15	884.29	890.44	450.94	813.63	1242.34	11112.3	567.1	679.29	860.08	514.56	514.56	529.06	1697.45	1059.11	836.53	1936.53	3039.3	3349.13	295.11	305.55	162.14	483.38	137.14	71.5	105.15	107.38	144.01	244.57	133.36	114.36	109.66	65.26	244.57	163.28	110.43	169.07	86.43
CEP55	74.58	88.88	312.0	183.82	100.83	703.28	22.43	303.44	199.85	70.01	191.67	647.07	358.54	480.04	170.25	204.07	753.83	305.55	172.65	215.77	181.28	189.02	82.29	239.52	373.81	476.71	158.79	791.35	1628.26	995.0	105.15	208.38	56.68	17.77	35.0	17.38	5.87	17.13	22.43	26.47	15.22	11.13	11.04	6.67	33.3	13.52	20.71	23.59	22.1
DEPDC1	15.91	15.68	73.03	108.14	22.43	84.04	4.5	58.71	50.27	10.55	29.06	155.5	60.82	103.69	65.26	82.29	381.68	149.12	94.01	63.89	63.89	57.08	26.47	42.11	224.97	126.12	24.28	264.03	194.36	120.1	63.89	150.17	12.45	7.17	5.59	3.76	3.0	1.36	2.51	4.39	2.2	1.33	1.35	1.58	4.78	1.36	3.82	4.13	5.06
DLGAP5	46.84	44.89	262.2	256.78	64.34	258.57	17.0	147.06	165.57	34.02	100.83	172.65	229.72	334.46	149.12	277.2	642.59	403.5	221.86	182.55	115.16	138.1	71.0	139.07	241.19	303.44	78.34	759.08	579.04	241.19	104.42	264.03	60.82	20.26	20.26	9.34	3.47	4.24	10.24	19.97	11.47	8.65	5.82	5.92	20.41	7.22	10.31	14.03	12.74
EXO1	47.84	15.91	66.18	165.57	35.5	194.36	9.85	120.1	123.5	10.47	37.85	175.07	169.07	149.12	104.42	209.84	314.17	149.12	85.82	80.57	129.69	80.01	49.91	55.89	208.38	253.23	108.9	341.51	307.69	316.37	142.01	87.65	29.27	22.1	15.8	5.23	2.76	4.9	6.16	11.91	5.87	6.46	6.94	3.53	17.25	9.41	8.58	10.31	9.06
EZH2	149.12	57.49	191.67	1073.91	108.14	591.22	74.58	197.09	152.28	87.03	127.89	234.57	318.57	236.21	180.02	297.17	178.77	366.09	228.13	381.68	175.07	242.88	167.9	283.05	346.29	356.05	234.57	629.35	559.28	525.39	166.73	218.79	143.01	103.69	281.09	169.07	20.71	92.7	81.71	73.54	61.68	59.13	25.72	34.75	81.71	57.89	66.18	82.29	71.5
FAM83D	45.21	72.52	264.03	204.07	93.35	406.31	15.22	120.94	104.42	27.84	94.01	409.15	915.51	356.05	165.57	429.54	624.99	555.41	231.32	167.9	221.86	341.51	49.56	444.72	420.68	1066.48	76.17	1628.26	785.88	473.41	118.43	271.48	55.49	4.9	13.03	19.39	33.3	124.37	33.54	21.32	9.93	10.31	1.66	2.84	21.47	4.7	12.0	20.11	15.68
FOXM1	189.02	131.51	500.46	967.76	151.22	1340.84	46.18	441.64	476.71	87.03	307.69	1073.91	759.08	896.64	205.5	583.07	1081.39	1030.12	197.09	624.99	563.18	400.71	169.07	486.75	1088.92	1059.11	312.0	890.44	1242.34	1594.73	363.56	253.23	138.1	32.82	37.32	31.0	10.31	12.93	13.52	48.18	26.47	29.48	40.07	26.67	62.12	33.06	37.05	72.01	52.82
FOXRED2	64.8	231.32	23.25	232.94	112.77	38.67	39.5	279.14	124.37	39.79	106.63	131.51	88.88	108.9	111.99	145.02	351.14	84.04	93.35	256.78	320.8	94.67	55.49	142.01	64.34	246.28	68.07	414.87	543.96	426.57	224.97	50.98	43.02	15.68	34.75	41.22	109.66	94.67	29.06	40.64	68.07	45.53	64.8	41.81	37.05	69.52	48.87	45.85	43.02
GINS1	62.12	62.56	138.1	379.04	96.68	279.14	23.59	113.56	181.28	37.32	116.78	158.79	198.47	244.57	96.68	253.23	237.86	265.87	123.5	309.83	228.13	206.94	49.56	147.06	334.46	791.35	96.68	836.53	376.41	392.44	107.38	153.34	26.67	19.68	14.35	6.73	7.28	6.31	11.64	31.9	18.7	15.11	12.64	7.28	22.59	25.17	19.82	30.12	20.26
GINS3	105.15	57.89	131.51	231.32	122.64	123.5	223.41	130.6	202.66	90.14	46.18	102.25	99.43	204.07	151.22	135.24	249.73	128.79	90.14	90.14	145.02	121.79	88.88	95.34	186.4	212.78	100.83	285.03	346.29	457.25	193.01	127.0	49.56	29.48	19.68	29.7	82.29	28.65	27.05	111.21	88.88	79.45	107.38	37.05	80.01	84.63	66.18	83.45	52.82
GTF2E1	66.65	133.36	97.36	175.07	99.43	90.14	76.71	96.01	108.9	81.71	151.22	83.45	114.36	127.89	138.1	126.12	253.23	114.36	118.43	100.13	149.12	226.54	92.05	166.73	146.03	214.27	109.66	169.07	198.47	108.9	90.14	185.11	110.43	133.36	30.78	45.53	167.9	68.07	76.17	81.14	61.25	47.5	40.07	31.22	58.3	48.18	48.52	64.8	60.39
GTSE1	108.14	42.11	297.17	253.23	78.89	262.2	24.46	221.86	201.25	42.71	54.72	153.34	134.3	373.81	158.79	138.1	316.37	255.0	205.5	236.21	209.84	132.44	113.56	109.66	403.5	356.05	149.12	497.0	476.71	260.38	115.97	111.21	36.79	24.81	13.52	6.06	2.76	5.68	11.38	17.0	10.71	8.65	8.13	3.63	25.35	10.88	10.96	19.68	13.62
IGSF9	432.53	279.14	249.73	1457.23	507.46	397.93	334.46	764.36	414.87	113.56	134.3	115.97	318.57	234.57	256.78	426.57	348.71	182.55	175.07	1001.93	1023.0	954.43	14.56	409.15	435.55	651.58	366.09	197.09	144.01	293.07	309.83	209.84	500.46	73.03	9.06	4.5	4.54	4.13	12.55	176.29	86.43	164.42	96.01	56.68	144.01	96.68	92.7	180.02	128.79
KIAA1524	35.25	35.0	73.54	105.89	31.45	119.26	14.78	64.34	73.03	26.47	60.82	115.16	105.89	163.28	71.0	74.58	217.27	181.28	93.35	54.33	97.36	115.16	46.5	63.89	157.68	175.07	67.59	363.56	361.04	320.8	29.06	115.97	35.76	46.84	19.53	18.16	17.51	12.93	22.43	21.78	29.27	11.13	10.47	9.85	18.03	12.09	10.31	15.8	18.56
KIF11	62.12	51.35	239.52	226.54	71.5	500.46	19.53	153.34	193.01	40.64	140.04	158.79	158.79	414.87	146.03	258.57	447.82	176.29	228.13	135.24	197.09	175.07	88.88	148.09	208.38	366.09	122.64	638.15	660.68	423.61	72.52	81.14	31.9	17.25	34.75	28.86	11.82	13.12	19.53	29.48	23.08	26.86	15.56	15.34	35.0	17.38	21.63	29.91	39.22
KIF15	46.18	38.4	100.83	414.87	43.94	159.9	9.34	125.24	93.35	17.64	51.35	108.9	61.68	205.5	89.51	241.19	305.55	232.94	97.36	108.14	78.89	199.85	36.53	76.17	138.1	363.56	105.15	325.29	575.03	105.89	21.63	112.77	20.86	12.27	8.99	7.88	3.59	3.03	15.0	12.74	12.27	6.94	8.99	4.7	15.56	7.75	10.0	9.78	12.83
KIF18B	78.34	21.32	154.42	289.02	84.04	281.09	13.93	194.36	277.2	27.64	29.48	159.9	141.02	283.05	58.71	151.22	289.02	275.28	143.01	249.73	194.36	176.29	81.14	79.45	532.74	406.31	111.99	397.93	305.55	195.72	65.72	50.27	23.42	8.25	15.11	9.34	0.45	2.27	6.36	7.57	7.17	5.45	2.71	2.97	13.93	3.79	8.06	10.16	7.46
KIF23	86.43	71.5	373.81	387.02	120.1	457.25	39.5	214.27	366.09	62.12	144.01	366.09	176.29	483.38	177.53	229.72	587.13	297.17	242.88	293.07	269.6	166.73	116.78	332.14	420.68	540.19	185.11	825.0	660.68	629.35	125.24	172.65	127.89	34.51	40.07	33.3	33.78	19.97	25.72	32.36	17.51	20.86	9.13	5.54	36.01	10.63	25.54	38.12	21.47
KIF2C	140.04	62.12	441.64	543.96	144.01	647.07	52.45	417.77	323.03	66.65	171.45	651.58	497.0	559.28	224.97	525.39	796.86	660.68	289.02	769.69	361.04	669.92	152.28	246.28	819.3	967.76	264.03	1508.65	1051.79	884.29	162.14	318.57	74.58	34.51	61.68	17.38	6.67	12.36	14.45	39.5	27.44	19.82	13.52	13.42	36.53	18.84	28.04	61.25	23.42
KIF4A	44.89	33.54	172.65	155.5	52.82	366.09	15.91	138.1	124.37	31.22	42.41	253.23	277.2	253.23	112.77	120.1	323.03	356.05	169.07	444.72	164.42	198.47	44.89	182.55	267.73	358.54	106.63	307.69	395.18	497.0	116.78	108.14	26.47	5.5	8.58	4.28	2.81	5.06	7.11	11.55	8.71	8.38	6.89	4.82	14.78	8.85	8.92	15.34	13.12
KIFC1	131.51	92.7	555.41	842.36	182.55	813.63	64.8	379.04	376.41	100.83	197.09	329.84	693.58	603.67	307.69	283.05	540.19	854.13	336.79	406.31	318.57	412.0	154.42	253.23	854.13	708.18	341.51	1437.15	1059.11	1233.75	197.09	269.6	101.54	46.5	59.97	53.57	31.9	44.25	62.12	50.98	30.34	23.93	35.25	22.1	56.68	36.01	36.79	53.95	34.75
KREMEN2	5.45	2.61	14.89	17.13	5.45	2.48	1.64	4.58	3.69	2.2	4.82	10.47	28.24	10.63	8.32	5.87	59.97	12.45	5.82	2.43	2.94	1.66	4.13	1.43	4.06	12.27	5.5	41.52	21.01	11.73	6.11	4.7	1.35	0.0	1.48	0.0	0.0	0.0	0.45	4.21	3.69	1.83	3.26	0.43	4.62	7.75	4.5	4.94	2.34
LMNB1	197.09	152.28	693.58	660.68	327.56	1081.39	110.43	540.19	642.59	158.79	368.65	473.41	743.43	759.08	921.88	1167.14	1096.5	796.86	941.27	507.46	802.41	674.59	265.87	518.15	947.83	1896.65	470.14	2555.58	1605.83	1044.52	320.8	420.68	242.88	291.04	507.46	258.57	214.27	358.54	389.72	158.79	108.9	87.03	115.97	37.32	154.42	109.66	113.56	137.14	128.79
MELK	103.69	52.45	400.71	738.29	49.21	629.35	34.75	127.89	145.02	35.5	156.59	2104.58	493.56	251.48	108.14	199.85	1104.13	559.28	163.28	312.0	332.14	264.03	94.67	417.77	447.82	503.95	128.79	733.19	848.22	607.87	112.77	260.38	37.05	36.01	12.83	21.63	4.9	10.79	30.12	32.82	17.64	9.7	10.71	13.22	23.25	16.88	15.45	38.12	18.7
MKI67	102.97	68.55	540.19	397.93	84.04	1322.37	25.35	406.31	246.28	65.26	281.09	299.25	444.72	500.46	198.47	320.8	624.99	633.73	366.09	389.72	277.2	277.2	134.3	307.69	511.0	575.03	211.31	616.37	1277.29	642.59	147.06	105.89	59.97	30.78	57.49	58.3	5.36	12.18	33.3	23.76	9.2	10.79	11.64	7.63	34.51	9.93	19.53	27.64	24.11
MRPS22	679.29	1096.5	872.1	1313.23	764.36	567.1	961.07	748.61	1066.48	974.5	941.27	718.08	947.83	808.0	1015.93	909.17	1350.18	748.61	848.22	785.88	1143.1	1051.79	1127.35	769.69	1350.18	1508.65	878.17	1794.29	1605.83	1378.57	438.59	1662.49	591.22	466.88	356.05	264.03	995.0	341.51	384.34	728.11	759.08	616.37	555.41	547.75	679.29	753.83	575.03	624.99	595.34
MYBL2	162.14	130.6	591.22	1407.55	234.57	567.1	98.04	460.44	403.5	41.81	223.41	1781.89	2417.67	679.29	208.38	780.44	1331.57	1199.98	376.41	896.64	1183.45	460.44	115.16	591.22	1216.75	2915.45	483.38	1781.89	1781.89	995.0	128.79	334.46	116.78	29.27	120.94	19.39	25.91	17.13	20.71	34.75	11.82	14.56	17.51	4.78	44.57	15.68	21.78	36.27	21.94
NCAPH	85.82	53.19	305.55	172.65	130.6	426.57	44.25	256.78	389.72	64.8	152.28	397.93	400.71	426.57	156.59	329.84	525.39	397.93	229.72	323.03	248.0	123.5	82.87	83.45	551.56	1015.93	167.9	796.86	813.63	532.74	204.07	141.02	75.11	13.03	37.85	61.68	14.78	17.51	19.25	37.59	17.38	8.58	22.43	16.39	43.02	33.78	23.08	38.12	26.1
NEK2	59.13	57.89	277.2	189.02	85.82	514.56	25.35	171.45	155.5	41.81	183.82	454.09	314.17	373.81	275.28	403.5	525.39	353.59	231.32	189.02	389.72	251.48	55.89	143.01	587.13	400.71	101.54	825.0	909.17	718.08	329.84	435.55	49.56	3.96	13.93	7.57	4.86	10.79	10.55	13.22	7.28	5.73	5.87	5.68	26.67	4.82	9.2	15.91	16.63
NRM	836.53	267.73	708.18	1832.01	591.22	796.86	414.87	587.13	785.88	599.49	406.31	2434.5	1733.13	1295.13	514.56	397.93	733.19	1015.93	587.13	967.76	368.65	241.19	514.56	525.39	1096.5	825.0	1044.52	1594.73	1015.93	2935.74	490.14	312.0	389.72	103.69	540.19	713.11	260.38	265.87	629.35	384.34	273.37	368.65	432.53	237.86	420.68	395.18	346.29	417.77	275.28
NUSAP1	209.84	148.09	669.92	1572.76	312.0	1037.29	66.65	493.56	723.08	133.36	251.48	514.56	616.37	1030.12	603.67	607.87	1331.57	748.61	532.74	559.28	551.56	358.54	229.72	429.54	848.22	1135.2	460.44	2720.15	1923.14	1407.55	435.55	819.3	164.42	132.44	88.26	87.65	35.25	92.05	78.89	84.04	64.8	41.52	40.64	26.67	96.68	55.89	61.68	83.45	78.89
OIP5	32.82	28.24	171.45	198.47	65.72	127.89	20.41	89.51	197.09	43.94	67.59	199.85	108.9	152.28	79.45	157.68	223.41	106.63	106.63	139.07	90.77	97.36	22.92	68.55	211.31	244.57	73.03	583.07	395.18	249.73	81.71	155.5	37.05	29.91	6.41	12.83	6.57	8.99	10.55	16.51	7.82	4.54	7.17	7.88	17.13	10.08	9.2	17.0	7.0
ORC1	18.7	12.83	52.08	81.14	26.67	121.79	9.63	38.12	45.85	10.24	28.24	109.66	57.49	102.97	52.45	88.26	145.02	126.12	43.32	77.79	56.28	256.78	20.71	38.67	166.73	246.28	52.82	291.04	275.28	267.73	61.25	75.11	16.51	9.2	13.62	25.35	4.03	4.31	5.92	15.56	11.21	8.51	9.7	5.15	13.32	11.38	6.94	16.15	10.24
PLK1	397.93	159.9	693.58	563.18	241.19	941.27	108.14	591.22	287.01	159.9	123.5	1127.35	1127.35	909.17	414.87	607.87	941.27	1844.76	476.71	536.45	476.71	507.46	234.57	224.97	995.0	1233.75	400.71	1073.91	1572.76	1407.55	334.46	466.88	307.69	40.07	35.5	21.63	17.51	17.51	25.35	68.07	31.45	23.93	15.68	17.9	82.29	16.27	34.02	61.25	36.53
POLQ	24.63	7.75	63.89	65.26	18.56	47.5	5.15	45.53	73.03	13.03	32.36	28.45	24.81	72.01	33.78	40.64	149.12	42.71	47.84	33.06	86.43	55.1	52.08	25.17	69.03	106.63	33.06	215.77	135.24	85.22	11.13	24.99	16.88	3.38	1.87	0.0	0.0	0.43	0.61	3.14	1.83	0.95	1.3	0.62	2.25	1.62	4.31	8.65	1.38
PRC1	423.61	211.31	1037.29	2224.63	571.05	1757.34	133.36	1119.56	995.0	246.28	376.41	1167.14	1175.27	1359.57	483.38	764.36	1662.49	1268.46	802.41	769.69	1008.9	341.51	312.0	1477.58	1369.04	1674.06	638.15	2627.46	2303.12	2915.45	547.75	665.29	599.49	155.5	406.31	299.25	46.18	128.79	187.71	154.42	113.56	114.36	124.37	129.69	217.27	134.3	171.45	173.85	127.0
PRR11	35.5	49.91	146.03	158.79	87.65	423.61	21.47	111.99	120.1	36.79	77.25	414.87	237.86	273.37	100.13	186.4	595.34	555.41	212.78	145.02	223.41	183.82	51.35	132.44	275.28	312.0	92.7	224.97	579.04	283.05	92.7	131.51	34.75	21.16	24.46	20.11	21.63	129.69	21.94	17.25	12.09	6.52	6.62	5.73	13.42	4.66	12.27	10.08	14.35
RACGAP1	106.63	186.4	414.87	543.96	129.69	629.35	57.89	212.78	221.86	94.01	242.88	497.0	395.18	624.99	339.14	708.18	915.51	500.46	400.71	353.59	366.09	620.67	145.02	371.22	511.0	1151.06	197.09	1216.75	1081.39	854.13	414.87	551.56	156.59	99.43	73.03	118.43	122.64	81.14	164.42	83.45	69.52	49.21	39.5	43.02	71.5	33.3	53.19	69.52	80.57
S100A6	569761.05	386469.83	368165.8	373305.21	318292.9	539026.74	311742.51	945028.61	569761.05	345900.08	355624.68	520665.48	520665.48	408505.64	324980.94	350728.68	284880.02	431797.89	400098.69	932018.1	459592.86	386469.83	456418.21	509950.32	466008.55	334117.42	554180.87	208544.12	239554.43	292889.12	336441.4	381149.17	301123.38	408505.64	341137.96	345900.08	373305.21	294926.33	275175.93	265802.39	279017.26	307450.64	253213.41	195931.88	422911.59	443937.41	251464.33	273275.14	309589.14
SF3A3	629.35	769.69	669.92	890.44	674.59	1096.5	656.11	612.11	819.3	660.68	1331.57	1008.9	854.13	909.17	1295.13	1295.13	1487.87	1250.98	854.13	1540.37	713.11	947.83	591.22	1111.82	738.29	2163.77	718.08	1870.53	1259.69	1030.12	1216.75	1457.23	629.35	813.63	412.0	1059.11	1151.06	583.07	878.17	825.0	693.58	665.29	607.87	595.34	775.05	595.34	511.0	738.29	669.92
SGOL2	24.11	22.43	81.71	89.51	35.25	111.99	13.72	84.63	58.71	26.28	40.93	96.68	46.84	94.01	62.12	67.12	209.84	98.04	85.22	54.33	55.89	90.77	26.28	34.26	105.15	125.24	31.22	186.4	193.01	131.51	136.19	85.82	22.43	23.08	17.25	3.03	18.97	13.12	9.41	15.91	19.68	11.64	10.55	3.03	13.32	10.88	11.38	13.52	12.18
