	TCGA.AR.A250.01A.31R.A169.07	TCGA.AR.A0U2.01A.11R.A109.07	TCGA.C8.A1HK.01A.21R.A13Q.07	TCGA.A2.A0CX.01A.21R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.BR.8361.01A.11R.2343.13	TCGA.HU.A4GT.01A.21R.A251.31
RHOH	1909.85	193.01	775.05	674.59	73.54	251.48	47.84	18.43	50.63	42.71	25.91	38.67	111.99	46.18
RPAP3	703.28	1081.39	723.08	476.71	363.56	376.41	198.47	146.03	229.72	165.57	40.07	161.02	463.65	616.37
SBNO1	438.59	647.07	571.05	356.05	181.28	112.77	89.51	64.8	131.51	94.67	42.71	83.45	283.05	312.0
SIX1	583.07	429.54	723.08	432.53	3.26	0.38	0.61	7.75	0.0	0.0	0.0	2.07	17.9	7.4
SRSF1	3639.7	4836.35	3794.3	3395.89	1950.0	2148.82	1359.57	1030.12	1896.65	1088.92	866.07	1159.07	3325.99	3419.52
STX1A	228.13	723.08	249.73	201.25	61.68	43.02	22.1	40.93	49.91	16.63	16.27	10.63	159.9	140.04
SUDS3	775.05	1088.92	612.11	563.18	454.09	536.45	217.27	116.78	267.73	162.14	120.1	173.85	406.31	543.96
SUPT16H	1883.54	2777.33	1963.57	1757.34	1066.48	896.64	571.05	551.56	728.11	511.0	323.03	503.95	1407.55	1295.13
SYNCRIP	1794.29	2209.26	3018.3	2287.2	1819.35	1572.76	599.49	351.14	1001.93	507.46	438.59	476.71	2240.11	1991.0
TDP1	208.38	616.37	387.02	368.65	358.54	187.71	103.69	92.05	131.51	78.34	75.64	77.79	180.02	305.55
TFAP2A	2502.97	1508.65	3349.13	3515.68	1909.85	1397.83	2.97	7.06	7.4	0.75	7.51	2.86	371.22	406.31
TGS1	205.5	351.14	480.04	348.71	130.6	237.86	88.26	82.29	122.64	84.63	19.39	85.22	295.11	334.46
TMEM183A	1417.35	1508.65	2335.28	2319.15	836.53	1135.2	703.28	802.41	728.11	679.29	579.04	563.18	1674.06	2133.97
TWIST1	195.72	73.03	532.74	181.28	5.68	83.45	3.66	6.41	8.19	1.33	2.23	2.43	21.01	72.01
UBQLN1	1769.57	3589.58	2682.69	1628.26	1191.69	915.51	819.3	511.0	1066.48	679.29	660.68	679.29	1950.0	1350.18
USP39	941.27	1551.09	1662.49	1407.55	603.67	909.17	435.55	536.45	435.55	395.18	363.56	329.84	1023.0	995.0
USP7	2047.0	3515.68	2434.5	2075.59	1111.82	890.44	540.19	483.38	802.41	476.71	429.54	432.53	1151.06	1350.18
VPS33A	444.72	785.88	603.67	432.53	204.07	246.28	146.03	194.36	223.41	153.34	159.9	164.42	395.18	299.25
WDHD1	177.53	406.31	212.78	214.27	187.71	100.83	7.17	8.58	58.3	6.94	3.79	3.56	128.79	131.51
YARS2	507.46	529.06	836.53	743.43	291.04	503.95	249.73	392.44	320.8	283.05	249.73	195.72	587.13	638.15
ZNF664	2739.08	4328.55	3467.27	1331.57	674.59	669.92	525.39	291.04	785.88	521.76	368.65	412.0	1437.15	1909.85
