	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0E1.11A.13R.A089.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N5.11A.41R.A14D.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.ZC5H.2626.SM.5J2MG	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
DDX10	435.55	693.58	583.07	463.65	486.75	633.73	571.05	796.86	738.29	759.08	743.43	514.56	684.02	693.58	791.35	647.07	353.59	215.77	305.55	336.79	127.0	218.79	124.37	289.02	182.55	277.2	177.53	209.84	264.03	244.57	204.07	96.01	193.01	190.34	208.38	273.37	0.0	0.47
DIS3L	348.71	624.99	366.09	518.15	547.75	647.07	583.07	429.54	579.04	518.15	595.34	684.02	507.46	536.45	638.15	674.59	323.03	173.85	187.71	414.87	303.44	373.81	400.71	299.25	267.73	285.03	400.71	212.78	242.88	271.48	376.41	389.72	255.0	237.86	303.44	152.28	150.17	591.22
DNAH2	40.36	26.28	28.65	21.63	12.45	26.1	19.39	27.25	29.06	13.83	22.26	33.78	17.13	19.68	63.45	40.64	9.56	1.6	4.03	0.82	2.97	4.86	2.14	2.97	1.43	7.4	1.85	0.35	6.94	5.87	2.53	3.11	3.63	16.15	4.46	0.59	0.0	0.0
DNMT3A	275.28	189.02	277.2	217.27	190.34	366.09	346.29	239.52	205.5	214.27	277.2	293.07	351.14	470.14	323.03	332.14	204.07	50.98	72.52	102.25	75.64	226.54	35.25	100.13	42.41	84.63	90.14	50.63	74.06	106.63	91.41	182.55	237.86	108.14	41.81	15.34	0.0	0.68
DPH2	466.88	392.44	438.59	323.03	309.83	555.41	323.03	334.46	373.81	503.95	444.72	356.05	493.56	612.11	518.15	361.04	379.04	105.89	117.6	202.66	149.12	157.68	133.36	140.04	159.9	177.53	149.12	133.36	166.73	116.78	167.9	141.02	130.6	167.9	159.9	56.28	0.0	0.31
EDC3	473.41	629.35	507.46	371.22	432.53	583.07	595.34	403.5	529.06	511.0	591.22	591.22	536.45	563.18	571.05	476.71	283.05	191.67	165.57	146.03	191.67	180.02	187.71	159.9	144.01	117.6	147.06	126.12	260.38	145.02	190.34	134.3	202.66	148.09	187.71	114.36	0.0	0.21
EPHA7	14.45	107.38	27.44	10.24	8.51	105.15	28.45	17.0	88.26	26.1	32.36	64.8	33.78	39.22	63.0	366.09	1.27	1.97	0.0	0.0	1.43	0.0	3.96	9.93	0.0	3.79	0.0	1.19	2.53	0.58	0.0	6.01	0.58	3.2	0.44	0.0	0.0	0.0
ETAA1	208.38	264.03	221.86	173.85	189.02	249.73	248.0	285.03	312.0	175.07	256.78	299.25	323.03	265.87	293.07	198.47	170.25	115.97	74.06	145.02	110.43	90.77	131.51	101.54	58.71	135.24	38.4	82.87	92.05	80.57	92.7	92.7	66.18	108.9	137.14	35.25	0.0	0.2
EXOSC10	1322.37	1407.55	1242.34	1135.2	1208.34	1340.84	1066.48	1250.98	1286.18	1304.15	1388.16	1350.18	1467.37	1208.34	1832.01	1191.69	884.29	543.96	503.95	497.0	414.87	400.71	409.15	414.87	363.56	559.28	334.46	368.65	579.04	616.37	348.71	575.03	490.14	583.07	825.0	255.0	0.0	1.01
FAM111A	435.55	460.44	466.88	392.44	343.89	463.65	567.1	555.41	819.3	303.44	591.22	629.35	651.58	660.68	599.49	616.37	395.18	114.36	171.45	147.06	144.01	215.77	258.57	202.66	182.55	314.17	154.42	57.89	204.07	287.01	172.65	191.67	248.0	426.57	239.52	69.52	303.44	483.38
FAM81A	63.45	110.43	44.89	27.25	39.79	186.4	72.52	63.45	86.43	96.01	109.66	81.14	71.5	143.01	95.34	82.87	19.97	6.16	0.14	2.73	1.27	14.89	2.16	3.26	14.03	0.16	9.78	0.1	1.31	13.52	9.7	9.34	16.51	43.63	0.57	3.69	0.0	0.0
FAM86B1	209.84	265.87	190.34	164.42	150.17	303.44	291.04	299.25	244.57	476.71	384.34	351.14	332.14	148.09	325.29	177.53	71.0	27.64	22.92	49.91	42.11	21.01	9.85	101.54	38.4	31.45	17.25	31.22	42.41	16.15	48.18	44.25	17.38	43.32	19.97	24.28	0.0	0.3
FAXC	194.36	195.72	182.55	171.45	228.13	332.14	307.69	303.44	353.59	327.56	332.14	241.19	255.0	251.48	463.65	293.07	18.29	0.0	0.0	2.25	0.0	3.56	17.9	19.53	0.0	6.21	0.0	0.22	0.0	7.46	4.98	7.06	0.0	4.06	3.86	0.0	0.0	0.39
FLII	4328.55	3982.99	5006.93	4639.29	5147.73	4543.8	3820.7	4066.71	3443.31	4268.94	3540.14	4066.71	4328.55	5366.37	4298.64	3540.14	3303.0	1583.71	1697.45	1651.0	1127.35	1757.34	1378.57	1529.73	988.12	1427.22	1883.54	2133.97	1583.71	1832.01	1685.71	1883.54	1709.26	1685.71	1806.78	1250.98	0.0	1.39
GPALPP1	384.34	525.39	438.59	343.89	327.56	567.1	503.95	376.41	703.28	384.34	603.67	575.03	551.56	579.04	624.99	543.96	279.14	115.16	145.02	295.11	132.44	229.72	291.04	193.01	161.02	234.57	217.27	68.07	148.09	180.02	164.42	164.42	154.42	239.52	265.87	90.77	0.0	0.4
GPATCH1	167.9	206.94	185.11	165.57	151.22	251.48	201.25	182.55	197.09	165.57	215.77	256.78	293.07	161.02	265.87	211.31	132.44	64.34	81.71	87.65	74.06	58.71	90.14	75.64	55.89	134.3	71.0	57.89	90.77	120.1	49.21	92.7	92.05	96.68	113.56	35.76	0.0	0.52
GTF2H1	656.11	1135.2	934.76	669.92	748.61	842.36	802.41	947.83	1096.5	743.43	884.29	866.07	928.3	842.36	1233.75	954.43	450.94	299.25	175.07	403.5	260.38	343.89	318.57	287.01	193.01	299.25	371.22	191.67	241.19	265.87	218.79	291.04	277.2	417.77	283.05	206.94	0.0	0.49
GTF3C2	1001.93	1183.45	1023.0	753.83	830.75	1119.56	961.07	1151.06	1183.45	866.07	1008.9	974.5	981.29	974.5	1059.11	902.89	728.11	334.46	353.59	389.72	356.05	287.01	384.34	277.2	246.28	591.22	223.41	314.17	432.53	500.46	197.09	387.02	348.71	343.89	599.49	164.42	0.0	0.78
GYLTL1B	684.02	1208.34	518.15	201.25	162.14	769.69	316.37	341.51	536.45	470.14	400.71	262.2	435.55	426.57	934.76	647.07	220.32	2.66	54.72	5.54	409.15	45.53	118.43	92.7	11.47	53.19	7.88	144.01	463.65	371.22	143.01	77.25	173.85	301.33	38.67	236.21	0.0	0.53
HAUS3	201.25	281.09	215.77	191.67	177.53	221.86	260.38	303.44	379.04	190.34	237.86	299.25	271.48	241.19	325.29	246.28	138.1	140.04	66.65	78.89	45.85	70.51	90.77	56.68	79.45	155.5	63.89	44.25	52.08	91.41	31.0	72.01	54.33	108.9	131.51	48.87	0.0	0.43
HAUS6	129.69	299.25	151.22	146.03	122.64	205.5	185.11	186.4	307.69	155.5	202.66	202.66	212.78	228.13	258.57	281.09	110.43	53.19	43.32	94.67	33.78	48.87	58.71	42.11	40.64	59.55	40.93	24.28	52.08	62.56	22.59	50.27	56.68	97.36	76.71	11.47	0.0	0.57
HEPACAM2	112.77	356.05	128.79	60.82	29.7	246.28	102.97	102.97	176.29	221.86	265.87	532.74	316.37	123.5	180.02	1242.34	3.66	3.26	0.15	0.0	0.0	0.0	2.63	0.0	0.0	0.69	4.13	1.08	0.69	2.43	1.35	0.0	0.0	0.59	1.58	0.2	0.0	0.0
IFT172	656.11	753.83	633.73	559.28	514.56	780.44	559.28	909.17	718.08	603.67	579.04	780.44	915.51	599.49	878.17	703.28	483.38	102.25	183.82	77.79	126.12	151.22	316.37	83.45	155.5	493.56	110.43	53.95	86.43	183.82	84.04	86.43	154.42	158.79	208.38	38.12	0.0	0.37
IGSF5	31.9	82.87	13.03	6.16	5.19	63.45	39.5	14.56	42.41	32.13	55.1	40.07	17.0	17.0	58.71	102.97	4.62	0.0	2.97	1.33	0.52	7.63	0.0	0.0	0.0	1.3	4.24	0.0	2.12	0.0	0.0	3.41	0.0	12.0	0.0	3.32	0.0	0.01
IVNS1ABP	1268.46	6471.02	1857.6	1340.84	1066.48	1909.85	2400.97	1857.6	2664.15	2319.15	2032.85	1529.73	2240.11	2468.49	2319.15	1909.85	1044.52	642.59	1216.75	1277.29	332.14	759.08	447.82	775.05	273.37	559.28	1183.45	708.18	305.55	1340.84	242.88	525.39	633.73	591.22	780.44	417.77	0.0	0.11
KDM1A	1159.07	1350.18	1015.93	909.17	1001.93	1427.22	1286.18	1225.22	1417.35	1295.13	1407.55	1286.18	1268.46	1427.22	1397.83	1427.22	693.58	248.0	339.14	587.13	587.13	444.72	392.44	417.77	334.46	591.22	392.44	271.48	226.54	457.25	341.51	361.04	483.38	312.0	395.18	176.29	0.0	1.01
KDM2B	299.25	265.87	381.68	275.28	251.48	409.15	389.72	325.29	358.54	281.09	392.44	376.41	387.02	490.14	414.87	454.09	353.59	92.7	122.64	202.66	151.22	214.27	175.07	101.54	155.5	236.21	251.48	214.27	133.36	412.0	180.02	358.54	327.56	171.45	185.11	244.57	0.0	0.6
KDM3B	759.08	1208.34	967.76	836.53	878.17	1111.82	1059.11	928.3	1208.34	961.07	1119.56	1242.34	1104.13	1037.29	1268.46	1104.13	395.18	154.42	145.02	371.22	185.11	297.17	339.14	138.1	129.69	277.2	283.05	186.4	209.84	199.85	277.2	264.03	94.01	289.02	176.29	82.87	0.0	0.54
KIAA1549	49.56	105.89	88.26	53.19	57.49	103.69	117.6	46.5	98.04	71.0	103.69	108.9	97.36	120.1	74.06	79.45	15.22	0.0	1.46	5.45	3.03	12.27	2.27	4.98	0.0	2.05	21.16	6.11	2.58	8.85	10.16	2.51	5.59	11.3	1.5	5.96	0.0	0.27
KIAA1731	185.11	253.23	226.54	170.25	134.3	253.23	211.31	237.86	343.89	156.59	267.73	291.04	309.83	275.28	403.5	212.78	229.72	55.89	47.17	25.72	31.9	59.97	48.52	41.22	26.67	100.13	30.56	48.52	30.56	76.71	31.22	55.89	48.87	108.9	49.91	16.63	0.0	0.57
KRIT1	543.96	748.61	616.37	529.06	460.44	688.78	647.07	603.67	884.29	507.46	775.05	884.29	860.08	708.18	967.76	674.59	497.0	166.73	140.04	348.71	143.01	265.87	329.84	198.47	212.78	412.0	287.01	165.57	162.14	332.14	191.67	361.04	242.88	325.29	412.0	78.89	0.0	0.54
MSH2	314.17	595.34	397.93	332.14	327.56	543.96	497.0	521.76	825.0	493.56	575.03	563.18	656.11	591.22	693.58	674.59	177.53	59.13	85.22	161.02	46.18	96.01	106.63	87.65	59.97	71.5	81.14	42.41	59.55	79.45	87.65	98.73	65.26	109.66	51.35	23.25	0.0	0.0
MYH15	0.71	0.42	1.41	1.07	1.53	1.81	1.48	0.39	1.87	0.38	1.48	5.06	0.71	10.31	1.08	0.92	1.57	0.38	0.0	0.0	0.0	0.0	0.0	0.44	0.0	1.11	0.48	0.39	0.0	0.0	0.0	0.52	0.44	0.4	0.0	0.0	0.0	0.0
NFAT5	170.25	376.41	325.29	232.94	182.55	305.55	371.22	165.57	703.28	158.79	327.56	518.15	403.5	373.81	438.59	381.68	110.43	26.86	34.26	158.79	49.91	115.16	76.17	35.76	19.39	44.89	80.57	40.64	48.87	63.89	45.21	102.97	63.45	163.28	67.12	9.41	0.0	0.48
NRG3	12.83	40.64	19.53	5.87	10.39	52.45	115.16	17.13	41.81	39.22	55.49	27.44	35.25	66.65	63.89	57.89	18.97	0.0	14.56	12.18	5.82	12.55	2.89	8.38	1.53	15.11	2.97	5.02	0.39	9.7	36.79	26.47	4.58	11.47	10.88	0.48	0.0	0.0
OSGEPL1	202.66	297.17	195.72	165.57	178.77	220.32	195.72	244.57	363.56	178.77	244.57	293.07	256.78	211.31	303.44	273.37	172.65	136.19	112.77	115.97	134.3	119.26	170.25	108.9	142.01	165.57	111.99	82.29	108.9	104.42	103.69	107.38	100.13	116.78	147.06	71.5	0.0	0.0
PDCD11	409.15	450.94	406.31	269.6	295.11	603.67	470.14	287.01	379.04	500.46	493.56	483.38	591.22	575.03	525.39	379.04	373.81	161.02	161.02	189.02	189.02	150.17	214.27	117.6	221.86	258.57	135.24	167.9	248.0	185.11	154.42	132.44	177.53	170.25	209.84	76.17	0.0	0.24
PDPR	301.33	525.39	312.0	351.14	186.4	395.18	483.38	283.05	454.09	293.07	540.19	532.74	389.72	591.22	559.28	842.36	148.09	48.52	22.26	55.89	70.01	150.17	70.51	63.45	74.06	120.1	152.28	84.04	51.35	26.86	49.21	55.1	54.33	91.41	77.25	28.04	0.0	0.37
PLD2	909.17	808.0	1015.93	599.49	656.11	988.12	759.08	785.88	775.05	902.89	947.83	802.41	848.22	961.07	995.0	974.5	490.14	251.48	202.66	93.35	154.42	105.15	110.43	140.04	68.07	92.05	176.29	74.06	112.77	316.37	140.04	273.37	236.21	323.03	234.57	118.43	0.0	0.61
PMS1	231.32	346.29	194.36	229.72	194.36	217.27	289.02	325.29	476.71	242.88	316.37	320.8	381.68	305.55	435.55	260.38	178.77	73.54	100.83	113.56	90.77	64.34	88.26	99.43	64.8	187.71	77.25	58.71	114.36	82.29	59.55	65.72	92.7	116.78	97.36	26.1	0.0	0.21
POU5F1B	19.82	20.71	22.1	6.62	7.51	46.5	20.56	7.46	10.71	26.86	21.16	16.39	22.75	33.3	36.79	24.63	10.16	2.16	4.66	3.11	13.62	3.2	2.12	7.82	2.66	10.47	0.65	1.87	8.0	12.55	1.87	4.35	2.89	8.45	14.35	1.51	0.0	0.09
PREPL	563.18	1096.5	775.05	728.11	633.73	872.1	941.27	612.11	1519.15	753.83	902.89	1096.5	1037.29	860.08	995.0	921.88	450.94	218.79	220.32	525.39	202.66	518.15	368.65	246.28	244.57	417.77	406.31	66.65	228.13	289.02	295.11	255.0	223.41	429.54	318.57	63.0	0.0	0.48
RP4-734P14.4	15.56	19.53	9.63	29.91	18.97	31.67	38.4	21.01	41.81	11.47	25.72	27.05	25.72	27.44	61.25	48.52	7.22	5.36	3.41	8.0	6.01	9.34	20.41	0.0	18.03	8.19	0.0	0.0	7.82	0.0	3.92	0.0	0.0	8.0	14.35	16.39	0.0	0.19
RPAP1	381.68	412.0	387.02	368.65	334.46	483.38	507.46	368.65	351.14	389.72	358.54	329.84	389.72	426.57	417.77	435.55	373.81	121.79	226.54	175.07	194.36	255.0	256.78	144.01	204.07	223.41	223.41	180.02	187.71	178.77	293.07	265.87	139.07	173.85	256.78	143.01	0.0	0.38
RPS6KL1	237.86	108.14	156.59	205.5	87.03	212.78	147.06	115.16	122.64	171.45	229.72	149.12	194.36	320.8	279.14	173.85	113.56	33.06	31.67	60.39	9.85	19.39	3.92	21.78	29.48	18.84	39.22	7.63	18.97	27.25	27.25	26.47	56.68	59.97	10.39	19.11	0.0	0.64
SETD2	500.46	775.05	629.35	521.76	493.56	684.02	703.28	563.18	967.76	532.74	819.3	819.3	785.88	775.05	884.29	928.3	395.18	183.82	217.27	444.72	228.13	366.09	215.77	251.48	134.3	305.55	303.44	175.07	215.77	329.84	273.37	327.56	279.14	297.17	258.57	165.57	0.0	0.64
SLC5A1	759.08	780.44	206.94	172.65	223.41	1199.98	607.87	236.21	890.44	583.07	713.11	785.88	348.71	679.29	1551.09	1936.53	98.04	76.17	253.23	51.71	4.46	161.02	22.1	412.0	6.73	49.56	56.28	4.46	60.39	10.16	10.24	53.57	37.85	52.82	228.13	38.12	0.0	0.0
SYK	167.9	251.48	234.57	165.57	267.73	143.01	182.55	363.56	172.65	130.6	157.68	248.0	164.42	262.2	147.06	476.71	127.0	8.65	31.9	57.89	13.52	148.09	57.08	26.86	17.0	33.06	135.24	38.4	8.0	70.51	162.14	111.21	22.59	40.64	21.16	10.55	0.0	0.13
TP53BP1	426.57	674.59	603.67	447.82	406.31	579.04	723.08	447.82	947.83	400.71	633.73	708.18	698.41	738.29	723.08	698.41	215.77	76.71	85.82	123.5	44.57	137.14	124.37	95.34	47.84	108.9	111.21	74.06	73.54	104.42	110.43	106.63	113.56	131.51	120.1	31.45	0.0	0.39
TRIM16	275.28	435.55	490.14	423.61	389.72	329.84	426.57	429.54	423.61	457.25	438.59	371.22	392.44	435.55	447.82	441.64	309.83	108.9	72.01	68.55	55.89	62.56	248.0	52.45	279.14	90.14	74.58	72.52	94.01	103.69	115.97	67.12	88.26	73.54	115.16	35.25	0.0	0.71
TUBGCP5	228.13	303.44	301.33	205.5	173.85	217.27	223.41	209.84	343.89	182.55	293.07	223.41	303.44	320.8	381.68	206.94	169.07	76.71	101.54	102.25	91.41	94.67	79.45	97.36	84.04	162.14	83.45	72.52	118.43	98.04	71.5	127.89	110.43	149.12	171.45	59.97	0.0	0.03
UBE3B	417.77	563.18	490.14	476.71	444.72	511.0	529.06	454.09	587.13	406.31	483.38	607.87	540.19	450.94	532.74	624.99	336.79	205.5	151.22	229.72	189.02	312.0	303.44	175.07	242.88	305.55	316.37	149.12	212.78	271.48	285.03	327.56	166.73	289.02	193.01	142.01	0.0	0.32
WDR11	567.1	769.69	647.07	536.45	547.75	665.29	738.29	616.37	1008.9	595.34	785.88	813.63	775.05	808.0	703.28	575.03	476.71	329.84	358.54	403.5	343.89	567.1	603.67	271.48	303.44	536.45	447.82	239.52	339.14	381.68	368.65	379.04	265.87	470.14	587.13	197.09	0.0	0.67
WISP3	77.25	53.19	79.45	16.03	95.34	50.27	140.04	66.18	98.73	47.84	51.71	140.04	107.38	25.72	84.04	571.05	2.68	11.3	8.13	5.32	16.27	7.46	11.13	25.91	9.63	17.9	4.21	10.55	20.86	18.84	9.13	18.16	14.89	10.79	6.26	9.78	0.0	0.33
YLPM1	651.58	1001.93	915.51	748.61	723.08	890.44	1059.11	842.36	1167.14	872.1	1037.29	1135.2	1051.79	981.29	1096.5	1208.34	429.54	161.02	206.94	353.59	158.79	262.2	279.14	234.57	115.16	242.88	295.11	106.63	267.73	381.68	279.14	318.57	273.37	283.05	444.72	104.42	0.0	0.73
ZBTB7C	334.46	318.57	381.68	255.0	256.78	262.2	470.14	221.86	255.0	353.59	312.0	241.19	334.46	356.05	325.29	688.78	36.53	44.57	15.0	10.39	11.04	69.52	1.99	8.25	20.26	31.9	22.75	12.09	88.88	8.78	14.03	13.42	6.84	7.82	33.54	4.28	0.0	0.39
ZDHHC17	371.22	497.0	420.68	406.31	305.55	384.34	473.41	414.87	981.29	277.2	579.04	642.59	599.49	384.34	753.83	473.41	232.94	94.67	118.43	212.78	105.15	198.47	178.77	113.56	69.52	194.36	122.64	70.51	109.66	205.5	61.25	156.59	145.02	215.77	166.73	37.32	0.0	0.72
ZKSCAN8	265.87	426.57	271.48	234.57	231.32	361.04	314.17	265.87	483.38	237.86	373.81	497.0	392.44	361.04	457.25	329.84	189.02	74.06	69.03	91.41	70.51	132.44	105.15	48.18	47.17	133.36	92.7	27.44	84.63	96.68	51.35	120.1	64.34	176.29	109.66	13.52	0.0	0.49
ZNF616	107.38	202.66	178.77	108.9	143.01	204.07	194.36	186.4	234.57	176.29	199.85	237.86	211.31	229.72	253.23	395.18	88.26	73.03	43.94	62.56	37.05	78.89	72.01	69.52	43.32	68.07	41.22	30.12	36.27	48.18	58.3	40.36	40.64	47.84	65.72	31.45	0.0	0.13
ZSCAN23	37.32	63.45	62.56	65.26	20.41	41.52	53.19	4.24	67.59	48.87	60.82	83.45	76.71	87.03	92.05	204.07	6.73	9.48	1.69	4.17	3.96	3.79	1.81	0.84	0.0	2.66	10.63	0.0	5.5	2.12	0.0	0.08	0.83	4.94	0.72	0.0	0.0	0.06
ZSCAN29	218.79	273.37	264.03	239.52	198.47	307.69	293.07	217.27	332.14	228.13	299.25	358.54	327.56	343.89	305.55	358.54	190.34	68.55	96.68	103.69	115.97	129.69	101.54	40.36	49.91	88.88	158.79	57.49	105.89	73.03	97.36	95.34	75.64	108.14	153.34	14.56	0.0	0.3
