	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.13NZ8.0126.SM.5IJCT	TCGA.A6.3809.01A.01R.A278.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
RAB4B	981.29	287.01	1073.91	1051.79	708.18	1051.79	890.44	660.68	909.17	748.61	703.28	153.34	0.0	0.68
RGL2	2645.74	988.12	1651.0	3060.45	1457.23	2255.7	2400.97	2075.59	2133.97	1769.57	1806.78	473.41	0.0	0.99
RPP25L	813.63	511.0	647.07	1081.39	406.31	866.07	612.11	559.28	651.58	454.09	389.72	339.14	0.0	0.0
RUSC1	921.88	521.76	1127.35	1175.27	151.22	813.63	532.74	470.14	532.74	221.86	532.74	318.57	0.0	0.85
SEMA7A	164.42	41.81	88.88	135.24	36.01	130.6	78.89	46.18	55.89	62.12	27.64	32.36	0.0	0.2
SH3BP5L	406.31	265.87	426.57	607.87	332.14	466.88	305.55	318.57	339.14	305.55	267.73	185.11	0.0	0.36
SLC27A4	733.19	146.03	934.76	934.76	293.07	536.45	392.44	381.68	514.56	244.57	341.51	92.05	0.0	0.2
SLC9A3R2	3235.01	1015.93	3742.05	7230.1	934.76	4010.71	1781.89	2133.97	1617.0	366.09	3491.39	175.07	1529.73	1183.45
SPINT1	4671.57	1350.18	6699.25	3614.55	1259.69	3901.01	3768.09	3081.75	3491.39	1794.29	1487.87	38.4	0.0	0.07
SSNA1	2335.28	974.5	2758.13	3467.27	547.75	1896.65	1242.34	1088.92	1268.46	915.51	819.3	392.44	0.0	0.26
TFPT	890.44	297.17	1175.27	878.17	189.02	633.73	387.02	255.0	373.81	336.79	373.81	158.79	0.0	0.46
TIGD5	178.77	66.65	191.67	164.42	70.01	178.77	84.63	63.45	68.07	51.35	32.36	23.59	0.0	0.27
TMPRSS9	890.44	0.75	18.29	323.03	1.51	100.83	45.21	38.95	19.82	3.89	5.87	1.17	0.0	0.2
UBE2M	1529.73	616.37	2119.22	1936.53	1135.2	1662.49	1233.75	1175.27	1378.57	1088.92	1662.49	1487.87	921.88	599.49
URM1	1769.57	854.13	2367.9	2255.7	878.17	1651.0	1191.69	1175.27	1191.69	928.3	1127.35	902.89	0.0	0.33
VAMP8	8247.98	4123.49	7485.11	8718.32	5329.3	9409.14	5791.62	5255.91	7382.04	3847.29	3146.52	514.56	0.0	0.73
VASH1	343.89	95.34	295.11	285.03	126.12	211.31	181.28	172.65	108.9	79.45	241.19	69.03	0.0	0.23
VPS18	420.68	156.59	563.18	305.55	186.4	376.41	346.29	258.57	281.09	214.27	190.34	147.06	139.07	90.14
ZNF688	473.41	265.87	529.06	490.14	128.79	409.15	275.28	262.2	239.52	165.57	281.09	82.87	0.0	0.21
ZNF710	713.11	141.02	688.78	429.54	384.34	633.73	599.49	435.55	486.75	218.79	189.02	135.24	0.0	0.69
