	GTEX.11ONC.2026.SM.5HL61	GTEX.YJ8O.1426.SM.5PNV9	GTEX.XUZC.1526.SM.4BRV4	GTEX.139T6.1426.SM.5P9J7	GTEX.OXRL.1426.SM.3NM9E	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11P81.1426.SM.5P9JN	GTEX.11PRG.2026.SM.5GU5F	GTEX.12WSD.2626.SM.5EGJE	GTEX.147JS.2626.SM.5S2UX	GTEX.11P81.1126.SM.5GU5G	GTEX.11EI6.2626.SM.5PNVT	GTEX.13U4I.2426.SM.5LU34	GTEX.145ME.0826.SM.5O9AF	GTEX.13NYB.1326.SM.5K7Y1	GTEX.145MF.1526.SM.5LU95	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZE7O.3026.SM.51MS4	GTEX.11EI6.2426.SM.5PNVS
INSC	82.87	318.57	57.49	52.45	56.68	264.03	37.05	409.15	140.04	134.3	58.71	212.78	59.55	68.07	221.86	76.17	0.82	1.06	0.79	5.15	10.0	1.41	1.2	4.7	0.0	4.1	7.82	1.38	32.59	1.19	15.91	0.38	8.25	5.68	5.45	0.0	0.05	802.41	503.95
JAM2	1350.18	1051.79	325.29	291.04	400.71	1437.15	563.18	1477.58	1167.14	1111.82	733.19	1104.13	490.14	361.04	1208.34	1088.92	52.45	169.07	34.26	55.1	94.01	27.44	24.99	67.59	13.52	29.06	46.5	87.03	115.97	66.65	68.07	78.89	77.25	127.0	71.0	0.0	0.1	5872.48	2796.65
KIRREL3	85.22	127.0	22.75	32.82	23.25	162.14	40.93	191.67	94.67	68.55	33.54	124.37	32.13	32.13	111.21	94.01	6.31	5.36	14.45	2.41	5.77	1.11	0.71	3.82	0.8	0.0	3.63	5.92	16.51	5.11	1.51	0.0	15.91	41.52	4.06	0.0	0.16	381.68	178.77
L1CAM	1044.52	2119.22	591.22	620.67	599.49	2224.63	802.41	2796.65	1508.65	1551.09	743.43	1477.58	497.0	684.02	1781.89	1183.45	3.56	12.09	4.98	18.7	32.82	7.34	11.21	13.22	9.06	23.42	2.23	16.88	44.57	4.31	5.5	13.42	30.12	13.93	2.89	0.0	0.32	10808.41	6250.56
LCTL	7.4	17.25	5.15	0.92	1.43	9.93	1.89	15.45	10.08	9.27	6.73	6.36	3.08	2.46	8.99	1.75	5.28	0.31	0.0	1.14	0.36	3.41	1.01	0.0	1.64	0.0	3.59	1.13	2.05	1.27	1.36	1.13	2.76	2.63	0.0	0.0	0.1	26.86	21.32
LPAR1	1467.37	1639.59	808.0	624.99	638.15	1721.16	785.88	1909.85	1697.45	1104.13	728.11	1331.57	423.61	713.11	1832.01	1819.35	12.36	74.06	43.32	32.36	48.87	25.17	10.96	6.57	1.79	26.47	13.22	70.01	87.03	19.25	9.78	26.86	120.94	61.68	23.59	0.0	0.8	5441.3	4038.61
LRRTM1	81.14	450.94	22.59	35.76	90.77	397.93	43.32	249.73	106.63	116.78	96.68	136.19	51.71	40.93	150.17	75.11	2.68	10.31	1.53	5.36	4.9	2.97	3.86	3.66	0.26	0.22	0.67	4.94	13.62	4.9	8.13	4.54	16.88	14.67	1.25	0.0	0.01	656.11	616.37
MAB21L1	35.0	55.49	30.12	29.7	31.45	55.1	28.45	57.08	37.59	45.21	36.01	32.82	19.82	35.25	81.71	44.25	1.35	1.58	3.35	0.13	2.84	0.47	0.52	0.66	0.14	0.0	0.61	0.58	0.59	0.16	1.25	1.06	4.46	0.49	0.47	0.0	0.0	139.07	127.0
MPZ	633.73	1350.18	314.17	223.41	260.38	1225.22	379.04	1286.18	878.17	802.41	363.56	728.11	381.68	447.82	1199.98	660.68	18.84	10.16	44.57	28.65	72.52	25.17	35.0	19.68	46.5	33.54	13.62	38.12	32.13	24.63	20.11	14.14	15.22	27.05	135.24	0.0	0.6	2739.08	2956.17
NRXN1	241.19	620.67	98.73	109.66	88.26	525.39	151.22	511.0	395.18	327.56	202.66	312.0	136.19	117.6	447.82	316.37	0.82	5.23	3.29	3.89	6.26	0.44	1.58	0.97	0.51	1.57	1.33	1.69	9.34	1.81	3.5	2.78	4.9	3.2	0.44	0.0	0.07	3257.52	1781.89
PAQR6	181.28	244.57	121.79	93.35	116.78	301.33	106.63	293.07	265.87	194.36	99.43	221.86	65.26	133.36	256.78	105.15	67.12	26.28	5.96	42.41	4.9	21.47	8.51	20.71	9.56	18.43	37.32	44.89	5.77	19.97	11.13	12.55	50.27	78.34	20.86	0.0	0.91	947.83	813.63
PCDHA2	4.17	12.27	1.89	3.76	1.57	7.57	1.81	5.45	6.89	6.21	4.58	5.82	1.95	2.43	3.03	5.41	0.0	3.2	4.58	0.0	1.33	0.0	0.0	0.0	1.23	0.0	0.0	2.12	0.0	0.45	0.0	0.0	2.89	4.82	0.0	0.0	0.13	6.21	25.72
PCDHA3	15.45	27.25	9.78	8.58	9.41	18.84	7.0	21.94	27.84	20.41	17.38	18.7	6.06	10.79	3.06	19.39	0.0	2.1	0.97	0.0	0.0	2.94	0.0	0.0	2.14	0.0	0.0	3.44	3.47	2.27	0.0	3.44	6.16	0.0	0.0	0.0	0.1	60.39	17.25
PCSK2	119.26	356.05	92.7	72.52	158.79	441.64	204.07	647.07	503.95	389.72	173.85	260.38	75.11	107.38	1350.18	497.0	0.54	1.6	4.13	1.28	7.34	1.11	1.77	2.68	0.0	1.16	0.97	3.08	4.21	4.78	2.46	0.6	3.44	6.06	1.39	0.0	0.0	1685.71	2591.27
PLP1	1295.13	4038.61	884.29	493.56	825.0	3901.01	941.27	3540.14	2400.97	2090.03	1388.16	2119.22	514.56	718.08	2537.92	1104.13	9.34	7.69	57.89	4.74	34.75	5.59	2.05	9.78	4.31	10.55	3.56	13.62	17.0	57.08	11.91	2.73	7.11	6.62	5.77	0.0	0.33	26986.43	18689.27
PMP22	5555.65	5711.87	4802.93	4575.41	4268.94	5329.3	4736.79	6381.92	5147.73	4328.55	3081.75	4575.41	3372.43	4038.61	7433.4	7485.11	164.42	279.14	287.01	111.21	381.68	96.68	75.11	175.07	187.71	105.15	81.14	220.32	204.07	161.02	223.41	112.77	275.28	172.65	68.07	902.89	281.09	17681.08	9945.68
PNRC2	3716.2	2573.36	1651.0	1721.16	2075.59	2701.35	1508.65	3540.14	2895.31	2367.9	2351.53	2739.08	1350.18	1950.0	3419.52	2468.49	1111.82	1044.52	902.89	532.74	860.08	703.28	616.37	928.3	825.0	567.1	616.37	460.44	860.08	854.13	703.28	559.28	1081.39	723.08	1183.45	0.0	0.21	2816.11	2875.3
PPP2R2B	127.89	185.11	65.26	55.49	93.35	241.19	90.14	148.09	149.12	129.69	116.78	134.3	108.14	68.55	409.15	88.88	3.14	14.03	16.03	8.38	14.35	15.8	10.63	5.77	0.02	8.85	14.35	47.84	22.59	8.32	10.96	9.13	30.56	16.39	3.06	0.0	0.26	693.58	587.13
PRIMA1	651.58	1427.22	532.74	497.0	620.67	1104.13	312.0	1001.93	896.64	808.0	432.53	819.3	423.61	511.0	1697.45	1037.29	2.78	7.51	6.84	3.59	20.41	5.77	2.41	3.96	3.38	0.61	2.78	7.4	32.13	6.67	3.5	3.86	17.9	15.56	4.62	0.0	0.23	8598.28	8658.09
RAB3A	339.14	260.38	113.56	141.02	161.02	287.01	232.94	486.75	267.73	244.57	187.71	178.77	81.14	142.01	647.07	186.4	35.25	78.89	22.26	46.18	46.18	40.64	59.13	42.71	22.59	159.9	59.97	119.26	92.05	31.22	35.5	89.51	39.79	24.99	34.51	0.0	0.27	323.03	429.54
RASGRF1	36.01	55.89	4.06	6.01	3.99	24.46	12.55	28.86	14.35	6.89	26.1	11.38	4.17	13.72	14.35	9.93	14.24	0.45	5.73	13.93	0.52	13.93	1.46	0.53	0.0	0.0	0.47	13.72	0.0	1.87	0.0	1.64	0.38	4.46	0.0	0.0	0.0	36.27	57.89
RUNX1T1	145.02	164.42	111.99	146.03	134.3	173.85	141.02	193.01	141.02	144.01	218.79	112.77	139.07	86.43	392.44	312.0	1.55	17.77	12.45	4.5	13.12	9.7	11.91	13.52	3.89	11.13	5.32	24.28	14.35	10.08	13.03	22.75	45.21	15.45	5.96	0.0	0.38	738.29	529.06
S100B	2090.03	3235.01	872.1	836.53	878.17	4512.4	1561.89	4512.4	3103.19	2148.82	1447.15	2537.92	1417.35	1167.14	4181.07	1963.57	2.03	19.11	132.44	23.76	108.14	24.99	16.39	19.11	75.64	7.57	7.57	102.25	30.34	47.84	50.27	21.01	14.24	24.99	7.34	0.0	0.44	12502.12	9876.98
SEMA6D	134.3	346.29	69.03	76.17	123.5	334.46	148.09	406.31	307.69	204.07	435.55	164.42	133.36	121.79	175.07	177.53	23.08	71.0	47.84	49.91	85.82	58.71	17.25	21.32	39.79	65.72	19.11	44.25	45.85	41.81	57.89	60.39	98.04	33.06	57.49	0.0	0.36	769.69	607.87
SHISA7	2.03	5.15	1.69	1.79	2.18	5.5	2.34	6.01	5.68	3.0	3.44	2.25	1.03	1.22	4.98	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	4.06
SIPA1L2	1111.82	1233.75	543.96	329.84	305.55	878.17	551.56	1322.37	1359.57	848.22	656.11	961.07	651.58	351.14	518.15	454.09	56.68	37.05	169.07	30.56	127.0	72.52	8.51	116.78	76.71	53.95	100.83	29.06	83.45	32.13	54.72	33.3	45.53	92.05	43.63	0.0	0.68	1487.87	1277.29
SLC18A3	6.94	27.44	8.99	16.75	19.25	43.63	7.63	38.12	30.34	24.99	18.03	19.25	5.73	16.03	68.55	19.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.39	46.84
SMIM5	110.43	198.47	74.06	76.17	94.67	211.31	80.57	169.07	147.06	118.43	75.64	142.01	81.14	57.49	167.9	149.12	4.28	3.44	3.0	6.62	5.5	4.66	2.14	6.67	11.47	6.26	4.24	13.52	15.11	3.44	3.35	5.45	5.77	5.15	5.11	0.0	0.39	967.76	713.11
SNX32	42.11	36.79	27.25	16.51	75.64	54.33	33.54	42.71	47.5	53.95	55.89	55.1	37.85	35.5	65.72	37.59	6.11	1.17	5.11	2.63	4.13	6.78	4.66	3.41	10.47	1.87	4.94	3.08	3.11	1.81	3.26	1.62	4.1	13.22	3.76	0.0	0.43	23.76	89.51
SORCS3	5.15	11.3	3.79	5.28	6.52	11.55	10.55	8.32	8.99	9.06	12.0	5.92	5.15	6.06	15.34	6.89	0.0	0.52	0.56	0.0	0.0	0.0	0.46	0.57	0.0	0.0	0.0	0.52	0.52	0.57	0.0	0.52	11.64	1.89	0.0	0.0	0.05	32.36	27.25
SOX8	97.36	162.14	81.14	90.14	66.18	353.59	56.68	212.78	146.03	114.36	57.89	115.97	56.68	105.15	163.28	162.14	2.1	1.07	4.24	3.99	5.5	2.48	0.0	0.0	0.0	18.16	0.26	2.43	6.73	3.23	1.79	3.92	4.1	1.3	0.15	0.0	0.34	854.13	819.3
STK32A	51.35	94.67	31.9	29.27	34.26	88.26	35.0	102.97	59.13	57.08	72.01	75.64	38.4	26.86	166.73	69.52	0.0	9.56	8.65	0.61	9.63	8.58	0.92	1.71	0.21	0.49	3.2	2.56	3.66	2.81	0.0	1.04	22.75	4.21	0.44	0.0	0.39	346.29	363.56
SYN3	60.82	111.99	39.22	21.47	17.51	75.11	32.59	154.42	56.28	18.43	6.89	26.47	8.85	56.28	22.92	9.13	0.0	7.0	1.46	2.41	5.02	0.0	3.5	2.63	0.0	0.0	3.59	5.36	22.92	7.94	1.6	14.78	6.41	10.55	4.9	0.0	0.25	32.13	17.13
SYT11	295.11	356.05	232.94	273.37	248.0	476.71	281.09	579.04	493.56	392.44	320.8	373.81	258.57	323.03	493.56	379.04	15.34	26.28	24.28	3.08	55.89	19.25	5.92	40.36	11.47	16.63	13.03	43.02	41.52	38.12	10.71	17.77	43.32	19.97	23.42	0.0	0.47	728.11	620.67
TAGLN	120609.84	175363.84	97288.74	108699.57	117311.73	141455.6	106462.55	153724.82	194578.47	169390.27	73730.83	163620.18	82951.62	96616.71	190574.09	136637.07	4512.4	5041.77	2271.4	1023.0	7642.41	688.78	2133.97	2271.4	2032.85	1135.2	2720.15	10883.59	2209.26	1151.06	3060.45	3060.45	3081.75	3419.52	902.89	0.0	1.16	70238.75	128373.58
TDRD3	336.79	353.59	246.28	273.37	253.23	356.05	205.5	366.09	309.83	295.11	277.2	297.17	208.38	242.88	325.29	343.89	106.63	206.94	195.72	81.71	189.02	149.12	172.65	193.01	95.34	102.97	111.21	157.68	244.57	145.02	100.83	167.9	224.97	159.9	211.31	0.0	0.18	316.37	457.25
TMEM155	34.02	50.98	6.31	12.09	10.55	54.33	9.48	56.68	57.08	27.84	13.83	45.53	23.08	13.52	41.22	55.49	0.0	17.25	0.43	0.0	3.35	0.97	0.0	0.0	1.2	0.0	0.0	7.82	5.28	0.45	0.0	0.0	0.0	1.79	0.0	0.0	0.0	151.22	96.68
TMEM71	295.11	483.38	66.18	51.71	59.97	567.1	48.18	802.41	571.05	358.54	74.58	624.99	161.02	59.55	387.02	329.84	29.48	52.45	18.7	27.84	30.56	48.87	18.7	17.51	6.41	62.56	49.21	53.57	28.24	20.11	16.63	40.93	81.14	48.18	24.46	0.0	0.53	1378.57	1250.98
TMOD2	289.02	307.69	145.02	99.43	127.0	361.04	143.01	356.05	258.57	273.37	208.38	239.52	177.53	131.51	454.09	329.84	9.13	20.86	24.63	8.32	24.63	8.51	7.88	16.15	8.45	1.11	4.86	18.43	16.27	16.63	11.3	10.55	26.1	23.25	11.04	0.0	0.33	988.12	921.88
TSPAN11	480.04	921.88	171.45	190.34	204.07	1250.98	236.21	1044.52	1023.0	780.44	260.38	785.88	351.14	217.27	551.56	543.96	1.14	6.89	9.78	17.13	58.71	22.59	13.42	5.36	11.04	9.34	7.88	2.97	61.68	11.91	13.83	5.41	20.71	16.15	13.12	0.0	0.16	2682.69	1519.15
TTYH1	130.6	258.57	102.25	98.04	107.38	356.05	100.13	358.54	253.23	218.79	120.94	242.88	92.05	76.71	417.77	232.94	4.24	36.01	55.49	16.75	108.14	25.91	2.78	17.13	8.38	20.71	22.75	21.32	842.36	119.26	45.21	120.1	12.09	3.89	4.06	0.0	0.53	2573.36	2645.74
VSTM2B	6.84	17.25	1.1	0.77	3.59	17.25	0.13	24.46	17.9	13.93	2.1	9.48	3.76	7.22	12.83	7.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.4	34.51
ZNF273	215.77	126.12	125.24	113.56	115.16	149.12	120.94	167.9	138.1	201.25	228.13	189.02	98.04	147.06	303.44	241.19	29.91	18.43	19.68	17.13	13.03	3.53	22.92	42.41	9.85	7.88	12.18	23.59	19.53	16.15	21.94	7.51	29.91	16.75	10.47	0.0	0.0	191.67	265.87
ZNF519	92.05	177.53	115.16	88.88	103.69	133.36	87.03	130.6	139.07	123.5	178.77	134.3	62.12	78.34	177.53	173.85	12.27	22.1	7.34	9.34	23.25	9.63	28.04	8.25	24.81	3.41	30.34	11.73	23.08	0.72	9.13	11.64	35.76	47.17	3.63	0.0	0.29	190.34	161.02
ZNF536	67.59	159.9	48.87	41.81	57.08	131.51	55.89	205.5	92.05	90.14	68.55	105.89	40.64	67.59	102.97	104.42	0.96	2.89	0.66	0.13	1.25	0.0	1.01	1.85	0.13	0.53	0.13	1.68	2.27	0.68	1.35	1.68	2.07	0.0	0.06	0.0	0.0	1216.75	665.29
