	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.145MO.1526.SM.5QGQC	GTEX.U3ZH.1126.SM.4DXUG	GTEX.XQ8I.1626.SM.4BOOI	GTEX.UPK5.1326.SM.4IHLE	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.13O21.1126.SM.5N9EV
FBXL8	154.42	423.61	599.49	802.41	808.0	29.7	34.26	63.45	447.82	312.0	249.73
FLG	3716.2	4.66	10.0	9.63	17.25	1.45	1.3	0.0	2.63	3.76	2.41
GCN1L1	309.83	503.95	748.61	599.49	995.0	262.2	301.33	99.43	320.8	642.59	447.82
GGA3	507.46	543.96	830.75	819.3	854.13	190.34	161.02	58.3	323.03	529.06	414.87
GLIPR1L1	4.58	11.04	4.98	14.03	20.26	0.64	2.51	0.68	2.56	2.92	2.36
GOLGA3	234.57	423.61	579.04	547.75	708.18	131.51	105.89	59.13	318.57	536.45	414.87
HIC2	17.25	25.91	71.0	53.57	87.65	3.89	3.76	9.7	11.64	26.47	24.63
HP1BP3	1662.49	2104.58	3614.55	4575.41	6294.04	974.5	651.58	438.59	2434.5	2367.9	2609.3
IFFO1	6.16	679.29	1015.93	665.29	854.13	77.25	93.35	164.42	166.73	351.14	265.87
INF2	2148.82	1628.26	2777.33	2090.03	2739.08	314.17	532.74	1104.13	753.83	1216.75	1051.79
KANK3	72.52	343.89	470.14	507.46	518.15	48.18	57.08	29.91	112.77	191.67	157.68
KCNIP3	2.05	316.37	441.64	392.44	555.41	4.35	0.39	3.47	182.55	295.11	173.85
KCTD15	202.66	775.05	3280.18	1594.73	2319.15	92.7	13.22	3.56	381.68	698.41	316.37
KDM2A	1378.57	1051.79	1242.34	967.76	1295.13	358.54	325.29	236.21	511.0	872.1	748.61
KIAA0753	79.45	441.64	571.05	444.72	624.99	34.26	46.18	11.47	186.4	199.85	194.36
LPHN1	148.09	518.15	854.13	583.07	866.07	3.59	5.41	0.47	157.68	301.33	143.01
LRFN4	47.17	205.5	518.15	351.14	587.13	10.24	14.03	6.57	119.26	202.66	70.01
LZTS2	384.34	2335.28	3235.01	2468.49	3103.19	88.88	105.89	105.89	1437.15	2032.85	1304.15
MARCH9	571.05	426.57	629.35	371.22	551.56	28.04	28.04	74.06	289.02	291.04	253.23
MED15	1066.48	1457.23	1721.16	1721.16	1477.58	173.85	248.0	202.66	769.69	1313.23	1259.69
METRN	909.17	1216.75	1340.84	1457.23	2224.63	114.36	305.55	514.56	808.0	974.5	521.76
MNT	507.46	438.59	651.58	500.46	540.19	57.89	73.54	74.58	158.79	346.29	201.25
MRPS25	423.61	1870.53	2485.67	2075.59	2502.97	525.39	629.35	1111.82	708.18	1250.98	1073.91
MYO9B	1081.39	1388.16	1498.22	1529.73	1594.73	403.5	267.73	277.2	708.18	995.0	836.53
PABPN1	1605.83	3665.02	4543.8	4972.34	5403.7	1183.45	830.75	1487.87	1832.01	2520.38	1896.65
PANK4	239.52	518.15	753.83	529.06	753.83	211.31	236.21	181.28	376.41	503.95	429.54
PI4KA	476.71	1331.57	1883.54	1639.59	1963.57	559.28	518.15	358.54	819.3	1183.45	1073.91
PIDD	169.07	529.06	555.41	543.96	656.11	71.5	87.65	72.01	253.23	368.65	341.51
PLEC	551.56	2163.77	3928.15	2193.99	2417.67	107.38	163.28	143.01	493.56	1757.34	961.07
PNPLA6	351.14	1277.29	1331.57	2018.8	1819.35	217.27	414.87	332.14	575.03	1088.92	902.89
PPT2	217.27	698.41	934.76	743.43	1081.39	48.52	112.77	293.07	291.04	316.37	412.0
PRPF40B	287.01	669.92	819.3	759.08	934.76	48.52	57.49	38.4	281.09	490.14	486.75
RAB11FIP3	39.22	1277.29	1277.29	1508.65	1286.18	158.79	102.97	113.56	665.29	854.13	738.29
RNF214	221.86	368.65	532.74	536.45	651.58	204.07	125.24	161.02	366.09	323.03	373.81
S100A7	1.38765328462E9	6.01	19.11	6.46	17.9	1.58	0.0	0.0	0.0	0.0	0.0
SAMD1	1127.35	703.28	1388.16	1225.22	1427.22	88.88	112.77	197.09	285.03	651.58	368.65
SIX5	108.14	796.86	1119.56	1096.5	1143.1	82.29	71.0	103.69	406.31	684.02	409.15
SLC25A19	186.4	236.21	277.2	277.2	307.69	64.8	122.64	34.02	102.25	141.02	135.24
SLC25A6	1359.57	9088.59	5183.54	5711.87	7230.1	368.65	532.74	1015.93	4937.99	5872.48	4836.35
SLC38A11	0.0	133.36	159.9	242.88	206.94	48.87	15.56	46.18	84.63	69.03	54.72
SMG5	848.22	1427.22	1359.57	1721.16	1806.78	195.72	444.72	323.03	921.88	974.5	947.83
SRCAP	242.88	703.28	764.36	830.75	1104.13	173.85	215.77	39.5	341.51	466.88	764.36
SSBP4	620.67	1417.35	1844.76	1806.78	2976.74	189.02	204.07	281.09	1242.34	1304.15	866.07
STRN4	995.0	1583.71	1819.35	1340.84	1697.45	197.09	325.29	199.85	1127.35	1175.27	1151.06
STX1A	61.68	356.05	647.07	441.64	713.11	8.85	16.88	4.43	88.26	186.4	115.97
SYNGAP1	105.89	500.46	1044.52	775.05	1350.18	25.72	31.0	10.79	190.34	218.79	193.01
TICRR	30.34	31.45	20.41	29.06	41.52	0.18	0.0	0.0	5.23	17.13	17.77
TMEM184B	435.55	1037.29	1183.45	1151.06	1350.18	99.43	191.67	65.72	432.53	813.63	698.41
TNRC18	172.65	1477.58	2255.7	1733.13	1733.13	136.19	214.27	214.27	595.34	1277.29	915.51
TRIM65	197.09	314.17	507.46	384.34	536.45	60.82	30.56	45.85	224.97	293.07	193.01
USHBP1	10.16	74.58	175.07	231.32	214.27	22.26	48.18	10.71	59.97	56.28	148.09
USP21	318.57	830.75	1059.11	909.17	1233.75	76.17	114.36	53.57	583.07	660.68	693.58
VN1R1	7.17	14.03	59.13	45.21	41.81	0.16	0.09	5.63	12.83	12.09	13.52
WIZ	239.52	981.29	1191.69	1096.5	1242.34	129.69	185.11	182.55	423.61	679.29	521.76
ZBTB7A	1447.15	599.49	723.08	708.18	830.75	110.43	171.45	144.01	177.53	417.77	316.37
ZNF205	215.77	265.87	334.46	312.0	432.53	48.52	77.25	73.03	283.05	291.04	287.01
ZNF558	103.69	543.96	320.8	728.11	595.34	115.16	32.82	23.42	299.25	242.88	277.2
ZNF579	111.21	397.93	595.34	500.46	616.37	25.54	29.7	29.7	156.59	277.2	155.5
ZNF71	3.0	102.25	180.02	143.01	189.02	10.0	18.7	7.17	90.77	84.63	85.82
