	TCGA.G4.6321.01A.11R.1723.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.11EQ9.1526.SM.5PNY7	GTEX.1122O.1526.SM.5N9CL	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.12KS4.2426.SM.5LU8P	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13NYB.1326.SM.5K7Y1	GTEX.11DYG.1926.SM.5H12I	GTEX.13OW6.1626.SM.5IJD5	GTEX.11O72.1926.SM.5PNW1
BICC1	19.25	84.04	45.21	32.13	27.44	21.01	10.55	17.13	24.99	33.54	25.17	25.35	56.68	23.08	35.5	13.62	30.78	63.45	17.0	7.63	83.45	62.56	16.51	12.45	18.29	17.38	22.92	14.45	31.9	17.51	57.89	23.93	21.32	42.41	71.0	26.1	40.07	14.24	17.13	23.76	23.08	147.06	15.91	23.93	46.18	90.14	12.55	57.49	22.92	31.67	71.5	14.89	48.18	15.22	116.78	17.38	42.41	47.84	20.26	32.82	166.73	19.53	53.19	26.28	39.22	84.63	50.98	58.71	57.89	25.17	12.64	212.78	137.14	332.14	232.94
BNIP3	66.18	1044.52	265.87	195.72	217.27	149.12	23.93	96.68	173.85	204.07	134.3	74.58	358.54	60.82	145.02	71.5	180.02	450.94	147.06	42.71	476.71	532.74	88.26	56.28	107.38	65.26	183.82	74.58	119.26	55.1	511.0	52.45	137.14	226.54	703.28	111.99	194.36	58.3	110.43	150.17	164.42	420.68	116.78	115.97	195.72	698.41	97.36	215.77	78.34	212.78	366.09	66.18	131.51	48.87	1127.35	81.71	147.06	169.07	51.35	241.19	435.55	137.14	236.21	84.04	155.5	395.18	406.31	412.0	1001.93	149.12	34.51	967.76	551.56	595.34	2502.97
CACHD1	9.63	100.13	39.22	24.99	35.25	25.35	7.69	29.06	37.59	59.55	16.39	29.48	60.39	24.28	21.94	15.68	24.81	99.43	24.63	8.78	56.68	48.87	23.93	8.78	19.68	22.75	32.59	14.67	30.78	16.75	49.91	13.32	34.51	40.36	57.08	24.99	71.0	25.54	28.65	17.64	33.54	171.45	16.51	29.91	78.34	72.52	15.0	57.49	23.42	28.45	56.28	25.91	30.34	16.63	87.03	16.39	63.89	30.34	22.26	55.49	131.51	15.56	51.35	19.39	50.98	68.07	78.34	36.01	74.58	27.84	14.03	279.14	90.14	358.54	206.94
CEP170	84.63	954.43	142.01	93.35	120.1	83.45	38.4	73.54	97.36	120.1	82.87	69.03	107.38	94.67	102.97	55.49	89.51	209.84	73.03	28.45	139.07	178.77	77.79	44.25	75.11	82.29	96.01	63.0	87.65	87.03	228.13	79.45	91.41	127.0	198.47	100.83	115.97	56.68	66.18	59.13	98.73	358.54	76.17	102.97	115.97	239.52	75.11	136.19	60.82	115.16	172.65	57.49	142.01	75.64	214.27	74.58	150.17	105.15	52.45	197.09	281.09	69.52	111.99	82.87	164.42	212.78	156.59	127.0	248.0	95.34	55.1	497.0	587.13	493.56	563.18
CEP85L	20.86	102.97	35.25	17.77	19.82	19.53	3.86	23.25	19.68	23.93	19.82	19.11	45.85	31.9	18.7	10.63	19.11	46.84	16.88	4.62	33.06	41.81	8.92	13.42	21.78	12.64	26.86	10.39	17.13	19.97	55.1	18.43	22.92	40.07	35.0	17.64	24.99	16.03	8.13	8.06	29.48	79.45	29.06	11.82	29.48	34.26	10.79	42.11	17.9	26.1	34.51	10.24	30.56	13.22	63.0	8.32	25.35	40.07	16.39	71.5	116.78	13.22	33.78	8.99	32.13	69.03	46.84	31.67	55.89	29.91	10.71	154.42	127.0	267.73	102.97
CFLAR	1529.73	1769.57	1477.58	1167.14	947.83	796.86	507.46	1044.52	1059.11	988.12	890.44	1073.91	1119.56	825.0	902.89	836.53	860.08	1322.37	872.1	830.75	1322.37	1277.29	808.0	854.13	884.29	642.59	890.44	1104.13	860.08	896.64	1447.15	1059.11	954.43	1159.07	1378.57	759.08	961.07	728.11	759.08	775.05	1008.9	1781.89	988.12	1216.75	1037.29	1583.71	890.44	1322.37	872.1	1322.37	1066.48	884.29	988.12	1030.12	1923.14	698.41	988.12	1322.37	941.27	1175.27	1870.53	825.0	1340.84	808.0	1066.48	2061.24	1457.23	1331.57	1639.59	1081.39	698.41	2468.49	3467.27	3103.19	3018.3
CLDND1	713.11	1832.01	1023.0	947.83	928.3	775.05	412.0	825.0	928.3	1225.22	825.0	921.88	1216.75	902.89	915.51	647.07	1081.39	1233.75	748.61	454.09	1467.37	1757.34	684.02	656.11	842.36	748.61	830.75	703.28	884.29	825.0	1617.0	902.89	928.3	967.76	1023.0	902.89	1143.1	607.87	713.11	909.17	1023.0	1519.15	836.53	988.12	1127.35	1457.23	830.75	1350.18	819.3	1088.92	1583.71	738.29	1216.75	796.86	2240.11	915.51	1015.93	1104.13	825.0	1388.16	2271.4	813.63	1295.13	842.36	1268.46	1572.76	1447.15	1313.23	1844.76	954.43	753.83	2163.77	1870.53	2701.35	2178.83
CLIP4	26.86	307.69	123.5	80.57	146.03	65.72	12.36	43.32	115.97	134.3	89.51	53.95	92.7	44.57	75.11	45.21	59.13	271.48	43.02	23.76	211.31	336.79	36.53	35.76	34.75	20.41	75.11	29.06	53.57	45.53	293.07	34.02	42.71	131.51	201.25	58.3	113.56	28.04	29.91	24.81	54.33	217.27	44.25	111.99	93.35	295.11	47.17	176.29	30.12	108.14	353.59	40.93	156.59	46.5	170.25	44.89	115.16	84.04	21.32	155.5	232.94	33.3	161.02	63.89	215.77	251.48	120.94	191.67	356.05	60.82	30.34	299.25	444.72	339.14	412.0
CNNM1	1.43	42.11	11.47	7.82	4.9	5.32	1.48	2.25	7.88	8.0	4.86	4.35	11.38	2.32	1.62	1.75	5.45	23.93	6.52	1.93	12.55	10.88	7.34	1.91	3.63	3.38	6.73	4.5	6.89	6.36	9.85	5.02	5.15	7.0	12.0	4.58	9.27	5.02	1.93	1.46	9.56	23.42	2.01	4.1	10.79	10.63	4.66	10.79	5.19	3.44	12.74	3.23	11.64	2.18	20.56	1.19	12.45	4.62	6.62	9.63	22.92	4.7	8.19	3.14	8.58	11.82	10.63	13.42	22.26	7.51	1.79	41.52	52.45	139.07	44.89
CNRIP1	59.97	332.14	246.28	181.28	175.07	128.79	84.04	104.42	189.02	166.73	113.56	96.01	251.48	111.99	152.28	102.25	109.66	397.93	94.01	34.51	307.69	303.44	114.36	76.17	113.56	91.41	191.67	73.03	125.24	94.01	417.77	82.87	129.69	262.2	373.81	173.85	199.85	88.26	107.38	56.28	116.78	748.61	80.57	145.02	223.41	373.81	68.55	295.11	137.14	113.56	301.33	77.79	231.32	59.55	271.48	71.0	202.66	165.57	79.45	291.04	571.05	103.69	228.13	140.04	281.09	316.37	305.55	267.73	521.76	176.29	78.89	713.11	521.76	698.41	703.28
CREB3L2	802.41	529.06	460.44	248.0	332.14	205.5	116.78	301.33	260.38	275.28	241.19	265.87	356.05	264.03	217.27	175.07	237.86	435.55	201.25	67.59	432.53	457.25	183.82	307.69	447.82	182.55	256.78	190.34	195.72	221.86	651.58	149.12	320.8	295.11	363.56	170.25	339.14	223.41	183.82	138.1	343.89	483.38	231.32	299.25	301.33	457.25	146.03	384.34	229.72	356.05	438.59	249.73	323.03	262.2	866.07	157.68	191.67	264.03	307.69	332.14	555.41	164.42	318.57	205.5	384.34	563.18	334.46	406.31	529.06	305.55	121.79	819.3	872.1	1030.12	595.34
CSGALNACT2	110.43	536.45	194.36	106.63	96.01	81.14	30.12	65.72	112.77	128.79	76.71	74.06	141.02	94.67	92.05	72.52	82.87	173.85	85.22	36.01	176.29	251.48	73.54	51.35	77.25	69.03	94.01	68.07	84.63	90.14	194.36	78.89	99.43	144.01	167.9	82.87	140.04	67.59	60.82	48.52	105.89	256.78	74.58	129.69	135.24	256.78	62.12	159.9	75.64	115.97	231.32	64.8	155.5	87.03	297.17	57.08	119.26	97.36	65.72	217.27	303.44	71.0	134.3	90.77	171.45	265.87	146.03	163.28	228.13	98.73	48.87	361.04	450.94	384.34	490.14
CUBN	1.69	11.21	6.94	5.15	1.58	3.53	0.85	4.43	6.31	3.69	4.78	3.5	6.73	3.53	3.23	3.14	3.23	6.62	1.99	1.1	3.53	5.45	2.14	1.77	2.73	2.53	2.18	1.57	2.66	4.82	5.59	3.5	3.17	5.32	7.46	2.23	9.56	1.66	1.38	2.97	4.1	20.11	1.85	3.29	5.77	7.22	3.96	7.57	3.56	3.26	5.82	3.66	9.56	2.43	12.74	3.23	6.94	4.58	1.53	9.56	11.91	2.78	4.58	1.58	8.19	11.3	5.82	7.69	4.86	5.36	1.16	16.03	21.47	26.1	20.56
CYLD	206.94	503.95	361.04	251.48	327.56	176.29	161.02	242.88	211.31	275.28	165.57	258.57	325.29	237.86	246.28	154.42	307.69	329.84	169.07	124.37	318.57	406.31	136.19	143.01	253.23	185.11	287.01	118.43	167.9	242.88	325.29	237.86	295.11	211.31	291.04	173.85	285.03	214.27	173.85	173.85	500.46	480.04	260.38	185.11	361.04	334.46	229.72	329.84	246.28	327.56	387.02	204.07	265.87	271.48	532.74	186.4	341.51	361.04	256.78	698.41	450.94	262.2	363.56	185.11	420.68	476.71	373.81	334.46	450.94	231.32	177.53	409.15	363.56	543.96	414.87
DDX47	540.19	1572.76	660.68	802.41	567.1	591.22	616.37	629.35	718.08	738.29	624.99	583.07	703.28	718.08	674.59	571.05	660.68	1096.5	575.03	361.04	775.05	743.43	507.46	624.99	620.67	603.67	693.58	660.68	607.87	665.29	1096.5	483.38	583.07	718.08	884.29	819.3	693.58	521.76	547.75	587.13	651.58	796.86	624.99	764.36	679.29	915.51	476.71	872.1	629.35	764.36	830.75	547.75	878.17	571.05	1259.69	616.37	733.19	665.29	647.07	890.44	1088.92	599.49	836.53	684.02	769.69	928.3	928.3	836.53	909.17	599.49	698.41	1268.46	1088.92	1143.1	995.0
DFNB31	206.94	483.38	70.01	94.67	47.84	70.51	17.51	38.67	90.77	111.99	52.45	32.36	79.45	26.86	43.94	45.21	53.57	358.54	100.13	76.71	147.06	167.9	30.56	60.82	45.53	77.25	71.5	146.03	37.85	61.68	273.37	81.71	40.07	92.7	68.55	80.57	60.82	22.43	42.71	36.27	85.82	209.84	31.9	106.63	67.59	154.42	99.43	107.38	76.17	97.36	148.09	30.34	100.83	62.56	389.72	76.71	139.07	44.57	57.89	201.25	187.71	48.87	108.9	37.05	118.43	181.28	150.17	145.02	239.52	95.34	59.13	447.82	518.15	878.17	493.56
DHX30	483.38	1709.26	775.05	656.11	500.46	591.22	607.87	723.08	647.07	785.88	642.59	514.56	579.04	511.0	665.29	579.04	674.59	1059.11	500.46	397.93	872.1	723.08	514.56	713.11	493.56	547.75	647.07	514.56	525.39	571.05	961.07	612.11	493.56	785.88	748.61	647.07	540.19	555.41	438.59	532.74	693.58	813.63	620.67	759.08	642.59	791.35	412.0	825.0	603.67	599.49	785.88	518.15	813.63	638.15	743.43	624.99	684.02	599.49	599.49	764.36	796.86	603.67	748.61	679.29	723.08	909.17	830.75	825.0	854.13	559.28	490.14	872.1	1167.14	1081.39	808.0
DIMT1	142.01	444.72	303.44	239.52	226.54	228.13	175.07	273.37	336.79	279.14	221.86	183.82	307.69	262.2	242.88	232.94	293.07	400.71	185.11	132.44	343.89	366.09	214.27	275.28	249.73	224.97	297.17	258.57	194.36	283.05	486.75	173.85	212.78	256.78	457.25	307.69	301.33	172.65	204.07	228.13	260.38	376.41	267.73	316.37	260.38	403.5	166.73	373.81	325.29	251.48	363.56	185.11	339.14	211.31	454.09	258.57	260.38	275.28	248.0	366.09	435.55	215.77	305.55	212.78	356.05	351.14	291.04	387.02	429.54	265.87	169.07	466.88	511.0	447.82	454.09
DKK3	167.9	1651.0	1225.22	633.73	486.75	457.25	341.51	273.37	368.65	902.89	476.71	248.0	723.08	363.56	583.07	264.03	387.02	890.44	555.41	162.14	738.29	896.64	579.04	303.44	376.41	212.78	571.05	318.57	555.41	447.82	1529.73	309.83	473.41	802.41	1023.0	547.75	728.11	323.03	305.55	264.03	373.81	2915.45	264.03	518.15	624.99	1628.26	277.2	1081.39	417.77	314.17	1015.93	403.5	651.58	285.03	1870.53	480.04	567.1	376.41	490.14	733.19	1594.73	218.79	587.13	543.96	928.3	1733.13	723.08	836.53	921.88	423.61	267.73	4268.94	3168.41	3235.01	3103.19
DOCK11	22.92	358.54	125.24	42.11	61.25	38.67	18.03	37.05	54.33	96.68	50.27	37.85	52.45	36.53	49.21	31.22	43.94	142.01	34.02	14.35	98.73	176.29	32.59	20.41	32.36	27.64	70.51	20.71	43.32	42.71	164.42	31.22	52.45	59.55	72.52	41.52	85.82	26.67	22.59	17.25	62.12	154.42	41.52	52.45	64.34	171.45	25.35	171.45	30.56	55.1	157.68	27.64	78.89	32.82	61.68	49.21	77.25	65.26	24.99	152.28	138.1	24.46	86.43	43.02	117.6	169.07	85.22	118.43	215.77	43.32	23.93	262.2	339.14	209.84	242.88
DOCK4	29.48	152.28	122.64	59.97	163.28	41.52	11.04	36.79	80.57	70.01	40.93	34.75	78.89	40.93	34.75	34.51	29.27	113.56	46.84	21.16	91.41	117.6	32.82	13.03	50.98	60.39	50.98	52.82	43.63	58.71	76.71	52.08	68.07	46.84	108.9	61.25	108.9	37.59	29.27	35.0	38.67	271.48	59.97	104.42	84.04	154.42	38.95	120.94	40.64	48.18	91.41	70.51	63.45	88.88	171.45	31.9	82.87	65.26	20.71	127.0	256.78	28.04	116.78	52.82	71.0	76.17	98.73	98.04	123.5	59.55	25.91	480.04	348.71	409.15	351.14
DSE	45.85	226.54	162.14	104.42	129.69	127.89	10.47	75.64	100.83	131.51	83.45	71.0	223.41	85.22	93.35	40.07	74.58	314.17	82.87	26.67	158.79	162.14	64.34	52.82	85.22	43.02	88.88	69.03	127.89	88.88	293.07	72.01	98.73	163.28	241.19	89.51	107.38	35.0	69.52	72.01	96.68	260.38	90.14	102.25	129.69	193.01	47.5	140.04	37.85	138.1	255.0	58.71	114.36	58.71	432.53	37.32	84.63	156.59	46.5	164.42	447.82	74.58	181.28	33.3	90.14	223.41	162.14	152.28	239.52	99.43	87.03	406.31	373.81	438.59	775.05
DUSP26	4.62	74.06	57.49	35.5	31.9	73.54	16.27	35.25	52.45	25.91	16.15	22.1	24.46	13.32	14.45	20.26	15.56	206.94	10.55	21.32	92.05	37.59	30.12	18.16	12.09	25.91	51.71	5.68	16.51	23.25	98.04	8.19	24.46	35.25	55.1	30.56	17.51	24.28	8.25	10.88	14.35	112.77	22.43	26.28	27.05	62.12	12.74	92.7	11.21	55.89	65.72	15.56	58.3	6.06	152.28	16.39	34.26	31.0	14.45	56.68	92.05	16.39	35.25	37.85	108.9	78.89	50.63	81.14	112.77	16.88	13.03	206.94	112.77	136.19	74.58
EIF2B4	708.18	1175.27	866.07	941.27	718.08	669.92	909.17	860.08	921.88	796.86	928.3	703.28	872.1	633.73	866.07	796.86	733.19	1088.92	660.68	612.11	1008.9	947.83	738.29	830.75	738.29	674.59	947.83	674.59	684.02	665.29	1175.27	660.68	688.78	967.76	1030.12	785.88	733.19	775.05	629.35	616.37	775.05	974.5	780.44	825.0	738.29	1066.48	612.11	896.64	759.08	830.75	890.44	603.67	921.88	684.02	1199.98	890.44	808.0	808.0	748.61	981.29	947.83	703.28	928.3	848.22	878.17	1059.11	902.89	896.64	1159.07	733.19	796.86	1096.5	1427.22	1073.91	1467.37
