	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.12WSK.2226.SM.5GCO5	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.OHPM.0526.SM.2YUMJ	GTEX.P4QT.1526.SM.3NMCT	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3AI.01A.11R.A206.07	GTEX.Y111.1926.SM.4SOIS	GTEX.W5X1.0426.SM.3GILB	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
ATP6AP1L	18.43	27.05	30.56	35.5	12.64	4.54	98.04	204.07	187.71	185.11	80.57	53.19	120.94	82.87	202.66	218.79	105.15	150.17	123.5	291.04	82.87	79.45	139.07	206.94	100.83	133.36	74.06	95.34	98.73	131.51	88.26	127.89	104.42	60.39	262.2	297.17	224.97	171.45	180.02	170.25	75.64	156.59	66.18	236.21	157.68	129.69	285.03	82.29	163.28	120.94	53.57	262.2	116.78	90.77	143.01	73.54	71.5	108.9	53.19	79.45	202.66	353.59	71.5	77.25	293.07	183.82	102.97	133.36	212.78	97.36	166.73	171.45	66.65	241.19	63.0
ATPAF2	204.07	232.94	309.83	438.59	267.73	221.86	470.14	1199.98	698.41	518.15	599.49	414.87	551.56	507.46	620.67	769.69	476.71	575.03	620.67	848.22	620.67	426.57	693.58	854.13	473.41	412.0	429.54	579.04	514.56	500.46	358.54	563.18	679.29	476.71	575.03	567.1	718.08	688.78	769.69	753.83	412.0	723.08	555.41	703.28	723.08	603.67	698.41	417.77	669.92	656.11	679.29	808.0	493.56	483.38	764.36	511.0	447.82	480.04	764.36	642.59	688.78	785.88	493.56	529.06	669.92	738.29	624.99	563.18	642.59	753.83	493.56	571.05	503.95	684.02	483.38
BRAT1	260.38	255.0	169.07	275.28	275.28	248.0	529.06	1135.2	780.44	483.38	629.35	466.88	603.67	575.03	647.07	785.88	392.44	575.03	536.45	808.0	423.61	392.44	500.46	733.19	624.99	791.35	536.45	753.83	595.34	629.35	497.0	599.49	567.1	457.25	860.08	698.41	896.64	591.22	583.07	703.28	616.37	830.75	503.95	567.1	708.18	647.07	642.59	571.05	620.67	607.87	624.99	791.35	629.35	470.14	525.39	624.99	381.68	591.22	575.03	476.71	764.36	785.88	698.41	684.02	791.35	698.41	583.07	728.11	656.11	555.41	486.75	769.69	583.07	693.58	500.46
C19orf71	13.22	12.18	23.25	12.27	13.93	7.88	41.81	123.5	183.82	149.12	74.58	53.19	64.34	51.35	244.57	105.15	139.07	136.19	130.6	197.09	44.25	90.14	175.07	221.86	217.27	277.2	41.52	100.13	35.0	66.65	55.49	83.45	81.71	57.89	234.57	281.09	223.41	325.29	84.63	182.55	128.79	237.86	56.68	90.14	83.45	76.17	182.55	80.01	76.71	63.0	59.55	441.64	204.07	34.02	255.0	100.13	30.78	82.87	44.25	50.63	287.01	336.79	104.42	70.01	139.07	169.07	70.01	228.13	70.51	76.71	56.68	242.88	29.7	223.41	71.5
C20orf96	95.34	95.34	113.56	195.72	65.26	96.68	329.84	525.39	813.63	525.39	444.72	336.79	414.87	441.64	647.07	669.92	339.14	518.15	409.15	599.49	273.37	205.5	444.72	733.19	395.18	420.68	305.55	432.53	316.37	490.14	281.09	389.72	397.93	251.48	743.43	688.78	540.19	674.59	417.77	435.55	277.2	684.02	334.46	587.13	403.5	444.72	698.41	336.79	540.19	497.0	460.44	791.35	346.29	325.29	780.44	303.44	226.54	368.65	332.14	346.29	620.67	591.22	358.54	397.93	665.29	866.07	341.51	406.31	525.39	373.81	395.18	981.29	441.64	713.11	387.02
C9orf173	0.0	0.0	0.0	1.17	0.41	0.08	23.59	57.89	44.89	42.11	11.3	4.06	9.06	4.28	39.79	38.95	12.27	12.64	9.41	44.57	2.71	7.88	20.41	35.76	20.86	27.64	4.17	12.55	5.82	11.73	6.16	18.97	12.0	3.69	55.49	85.22	48.87	42.41	17.77	30.34	12.64	47.5	10.79	24.46	12.74	7.75	44.25	12.74	17.25	6.46	6.67	53.95	8.85	7.82	35.76	11.21	1.71	4.17	3.79	6.16	55.49	56.68	7.34	15.34	42.41	36.53	11.38	17.38	30.34	11.73	6.62	34.51	2.51	18.16	4.58
CAPN10	158.79	90.77	100.83	155.5	158.79	155.5	297.17	438.59	486.75	397.93	432.53	287.01	384.34	356.05	532.74	555.41	361.04	318.57	373.81	500.46	173.85	214.27	460.44	559.28	525.39	483.38	336.79	403.5	318.57	444.72	285.03	366.09	366.09	273.37	551.56	620.67	629.35	547.75	356.05	400.71	384.34	591.22	285.03	607.87	403.5	518.15	426.57	379.04	476.71	379.04	389.72	703.28	392.44	320.8	429.54	318.57	260.38	371.22	325.29	316.37	607.87	748.61	356.05	409.15	571.05	441.64	314.17	679.29	466.88	540.19	366.09	483.38	368.65	470.14	242.88
CCBL1	98.04	70.01	59.13	118.43	68.55	76.71	152.28	373.81	265.87	221.86	156.59	129.69	173.85	157.68	242.88	346.29	183.82	197.09	124.37	248.0	166.73	140.04	153.34	283.05	201.25	198.47	217.27	183.82	182.55	208.38	114.36	153.34	205.5	88.88	248.0	220.32	253.23	204.07	275.28	212.78	124.37	239.52	140.04	269.6	275.28	169.07	271.48	148.09	194.36	214.27	281.09	255.0	156.59	142.01	224.97	244.57	102.25	152.28	125.24	162.14	260.38	239.52	397.93	142.01	209.84	285.03	165.57	187.71	277.2	260.38	149.12	202.66	211.31	248.0	142.01
CCDC114	8.71	3.26	5.41	4.06	15.22	0.23	15.8	57.89	38.67	42.11	21.63	21.01	19.97	10.0	72.01	39.5	8.65	19.97	54.33	104.42	13.72	14.89	18.84	85.82	24.46	28.65	26.67	22.43	22.1	44.89	4.98	20.86	20.71	8.58	63.45	55.49	69.52	31.0	57.08	38.12	18.43	50.63	15.91	59.97	36.27	22.59	71.0	21.01	22.26	30.78	26.47	70.01	28.86	22.43	106.63	13.42	23.76	15.91	19.68	22.43	60.39	82.29	35.0	28.24	51.35	127.89	23.25	50.63	23.76	19.82	7.4	92.7	13.42	51.71	9.93
CCDC24	103.69	81.71	135.24	151.22	78.34	135.24	525.39	921.88	1088.92	860.08	651.58	575.03	669.92	583.07	1151.06	1250.98	521.76	759.08	769.69	1417.35	511.0	361.04	665.29	988.12	688.78	713.11	543.96	638.15	532.74	713.11	406.31	624.99	591.22	358.54	1001.93	1183.45	995.0	1111.82	665.29	1119.56	473.41	1001.93	497.0	1208.34	728.11	679.29	1268.46	511.0	679.29	872.1	624.99	1066.48	674.59	438.59	878.17	624.99	417.77	669.92	587.13	483.38	1030.12	1015.93	547.75	764.36	1104.13	872.1	555.41	878.17	1030.12	791.35	607.87	1191.69	507.46	1008.9	493.56
CCDC40	49.91	22.92	96.01	135.24	46.18	87.03	151.22	264.03	206.94	161.02	152.28	123.5	218.79	115.16	483.38	287.01	202.66	248.0	239.52	435.55	72.01	138.1	186.4	183.82	141.02	178.77	116.78	273.37	195.72	185.11	189.02	143.01	178.77	77.79	134.3	180.02	186.4	152.28	158.79	171.45	128.79	397.93	209.84	406.31	108.14	181.28	271.48	153.34	127.0	104.42	183.82	447.82	271.48	127.89	483.38	101.54	88.88	134.3	70.51	212.78	343.89	373.81	186.4	146.03	265.87	612.11	199.85	149.12	316.37	92.05	175.07	325.29	116.78	265.87	148.09
CCDC61	102.97	78.34	123.5	144.01	186.4	123.5	295.11	395.18	353.59	332.14	275.28	246.28	275.28	253.23	366.09	395.18	273.37	314.17	183.82	341.51	195.72	189.02	224.97	460.44	256.78	423.61	307.69	358.54	285.03	339.14	224.97	301.33	303.44	232.94	511.0	441.64	392.44	358.54	389.72	323.03	262.2	376.41	279.14	397.93	305.55	323.03	361.04	224.97	336.79	289.02	281.09	368.65	343.89	229.72	279.14	234.57	239.52	239.52	231.32	279.14	450.94	441.64	289.02	289.02	389.72	414.87	242.88	348.71	351.14	309.83	197.09	389.72	341.51	417.77	239.52
CCHCR1	218.79	151.22	212.78	232.94	61.68	71.0	412.0	780.44	587.13	723.08	470.14	348.71	679.29	249.73	575.03	748.61	283.05	379.04	379.04	808.0	332.14	251.48	698.41	587.13	633.73	438.59	256.78	384.34	323.03	466.88	255.0	281.09	376.41	223.41	947.83	866.07	647.07	743.43	507.46	521.76	466.88	819.3	314.17	693.58	457.25	395.18	854.13	409.15	423.61	334.46	480.04	466.88	429.54	511.0	476.71	346.29	273.37	656.11	246.28	466.88	703.28	836.53	432.53	575.03	656.11	486.75	483.38	638.15	555.41	291.04	483.38	616.37	279.14	718.08	307.69
CCS	848.22	341.51	371.22	607.87	490.14	708.18	1037.29	2032.85	1561.89	1397.83	1407.55	988.12	1225.22	1119.56	1697.45	1651.0	1051.79	1051.79	941.27	1819.35	738.29	941.27	1277.29	1697.45	1340.84	1447.15	1277.29	1286.18	1037.29	1216.75	909.17	1216.75	1259.69	928.3	1709.26	1909.85	1896.65	1583.71	1487.87	1331.57	1088.92	1697.45	1088.92	1870.53	1143.1	1322.37	1685.71	1001.93	1304.15	1487.87	1286.18	1697.45	1304.15	954.43	1477.58	1175.27	860.08	1225.22	1225.22	1151.06	1857.6	2271.4	1457.23	1359.57	1605.83	1561.89	1030.12	1806.78	1617.0	1487.87	1119.56	1745.2	1104.13	1437.15	1030.12
CDK10	361.04	285.03	373.81	571.05	607.87	414.87	2119.22	3690.52	2555.58	2178.83	1991.0	1832.01	2047.0	1605.83	2997.45	3280.18	2502.97	2240.11	2997.45	3443.31	1551.09	1457.23	2997.45	2609.3	2209.26	2271.4	1991.0	2434.5	2075.59	2367.9	1583.71	1388.16	2303.12	995.0	2935.74	3540.14	2997.45	3103.19	2468.49	2047.0	2032.85	3395.89	1685.71	3190.46	2555.58	2468.49	2895.31	2047.0	2240.11	2351.53	2004.85	2701.35	2148.82	1977.24	2915.45	1733.13	1322.37	2384.37	2061.24	2018.8	3103.19	3443.31	1991.0	1950.0	2468.49	2303.12	2400.97	2777.33	2739.08	2537.92	2090.03	3325.99	2178.83	2875.3	1313.23
CDK5RAP3	934.76	1225.22	1051.79	1313.23	547.75	836.53	4123.49	10296.45	5751.61	5147.73	4639.29	3280.18	4512.4	3515.68	5751.61	5147.73	3372.43	1923.14	4152.18	6652.97	3467.27	2701.35	5403.7	6983.79	3564.78	4298.64	4239.45	4298.64	3820.7	3901.01	3589.58	3443.31	4388.98	2645.74	5831.91	6381.92	6652.97	6381.92	5183.54	4181.07	4328.55	6337.83	3146.52	6294.04	3901.01	4450.27	6037.61	4239.45	3901.01	3794.3	3928.15	5954.47	4123.49	3901.01	5041.77	4328.55	3081.75	5255.91	4010.71	3540.14	5403.7	7695.57	3212.66	4704.07	5329.3	5329.3	3190.46	5751.61	4937.99	5147.73	5255.91	5872.48	4298.64	5517.27	3081.75
CELSR3	5.32	3.23	8.38	4.46	2.48	16.39	31.9	25.54	13.03	54.33	9.63	11.64	12.93	16.88	41.52	27.05	17.51	9.48	16.88	33.06	12.27	16.03	19.97	28.04	23.08	46.5	27.84	31.67	19.53	29.91	12.27	27.25	14.89	7.69	28.86	23.76	42.71	26.28	15.56	45.53	13.42	32.36	13.32	40.64	20.26	18.84	45.53	18.97	30.12	18.16	33.06	58.3	20.86	17.13	34.75	16.27	12.93	17.0	15.68	22.26	24.46	41.22	11.13	46.84	43.94	42.41	27.84	15.0	28.86	29.06	21.94	42.41	16.39	28.24	21.78
CENPT	450.94	332.14	183.82	224.97	435.55	587.13	389.72	1183.45	1159.07	819.3	791.35	470.14	629.35	575.03	947.83	1119.56	473.41	753.83	647.07	1467.37	366.09	403.5	866.07	1242.34	796.86	813.63	480.04	830.75	529.06	507.46	480.04	642.59	620.67	351.14	1135.2	1277.29	1304.15	1081.39	656.11	713.11	775.05	1250.98	441.64	981.29	642.59	723.08	1233.75	532.74	764.36	629.35	521.76	1127.35	688.78	447.82	872.1	575.03	348.71	567.1	559.28	536.45	1277.29	1561.89	486.75	529.06	1066.48	1030.12	571.05	796.86	934.76	813.63	866.07	1159.07	624.99	967.76	414.87
CHKB	327.56	366.09	473.41	400.71	271.48	376.41	1806.78	1662.49	2335.28	1605.83	1733.13	1529.73	1883.54	1583.71	2032.85	2777.33	1806.78	974.5	988.12	2645.74	1167.14	988.12	1662.49	2573.36	1628.26	1487.87	1583.71	1950.0	1369.04	1870.53	1378.57	1143.1	1417.35	723.08	1991.0	3018.3	3325.99	2090.03	1225.22	2119.22	1806.78	2163.77	1037.29	2796.65	1674.06	2855.44	2777.33	1407.55	2018.8	2384.37	1437.15	2591.27	1561.89	1397.83	1733.13	1111.82	1350.18	1572.76	2119.22	1639.59	1963.57	3614.55	1199.98	2163.77	2739.08	2178.83	1350.18	2148.82	2163.77	3847.29	1745.2	2997.45	1529.73	2777.33	830.75
CHTF18	48.52	51.35	45.21	36.53	24.99	51.71	50.27	264.03	343.89	269.6	212.78	50.98	146.03	138.1	234.57	343.89	87.03	181.28	169.07	392.44	90.14	122.64	135.24	305.55	180.02	173.85	127.0	217.27	108.14	163.28	99.43	138.1	136.19	56.68	273.37	320.8	384.34	283.05	186.4	246.28	177.53	329.84	127.0	224.97	198.47	187.71	293.07	140.04	209.84	199.85	169.07	323.03	212.78	75.11	244.57	148.09	84.04	119.26	237.86	113.56	327.56	438.59	82.29	166.73	224.97	318.57	171.45	202.66	221.86	136.19	100.83	269.6	98.73	249.73	105.15
COG7	231.32	212.78	248.0	358.54	156.59	251.48	629.35	934.76	591.22	633.73	665.29	514.56	612.11	423.61	909.17	759.08	651.58	444.72	848.22	1037.29	511.0	483.38	775.05	669.92	651.58	603.67	511.0	536.45	547.75	642.59	450.94	571.05	587.13	397.93	571.05	693.58	698.41	656.11	660.68	629.35	563.18	718.08	470.14	878.17	518.15	642.59	703.28	547.75	595.34	616.37	500.46	769.69	543.96	473.41	759.08	624.99	529.06	587.13	555.41	587.13	595.34	1044.52	511.0	551.56	638.15	718.08	514.56	642.59	796.86	587.13	603.67	688.78	612.11	647.07	507.46
CREB3L4	111.99	373.81	197.09	251.48	140.04	90.77	356.05	738.29	612.11	915.51	518.15	275.28	470.14	417.77	480.04	669.92	312.0	387.02	361.04	723.08	633.73	287.01	543.96	638.15	497.0	414.87	432.53	432.53	441.64	406.31	251.48	447.82	536.45	271.48	759.08	848.22	703.28	571.05	723.08	579.04	381.68	651.58	403.5	620.67	563.18	323.03	607.87	358.54	490.14	497.0	536.45	718.08	371.22	429.54	532.74	420.68	339.14	511.0	466.88	376.41	738.29	698.41	633.73	529.06	540.19	748.61	366.09	743.43	575.03	518.15	567.1	603.67	466.88	693.58	381.68
CRIPAK	59.55	32.36	68.55	40.64	18.03	27.84	137.14	189.02	189.02	273.37	144.01	110.43	208.38	134.3	197.09	291.04	206.94	108.14	176.29	381.68	90.77	120.94	154.42	217.27	199.85	198.47	134.3	193.01	128.79	127.89	134.3	157.68	171.45	78.89	161.02	285.03	318.57	373.81	127.0	185.11	232.94	320.8	91.41	175.07	145.02	111.21	226.54	164.42	264.03	204.07	161.02	251.48	279.14	122.64	149.12	122.64	113.56	122.64	173.85	193.01	173.85	195.72	114.36	275.28	205.5	183.82	150.17	239.52	156.59	133.36	163.28	236.21	132.44	171.45	101.54
