	GTEX.14C38.2626.SM.5RQI4	TCGA.KL.8332.11A.01R.2315.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.77.8007.11A.01R.2187.07
MYO1G	638.15	6.89	3.72	167.9	291.04	151.22	511.0	73.54	147.06	356.05	89.51	199.85	40.36	146.03	152.28	113.56	150.17	15.91	92.7	44.25	48.87	59.55	40.64	137.14	45.53	79.45	51.71	74.58	5.19	220.32	18.03	6.06	112.77	16.27	16.88	24.28	26.28	56.28	28.24	127.89	17.25	14.03	63.45	20.56	111.21	15.22	20.86	236.21	49.56	51.71	29.91	52.82	40.07	33.3	46.84	19.11	27.05	31.45	91.41	15.11	759.08	36.27	518.15	591.22	2627.46	2895.31	830.75	1119.56	540.19	102.25	1572.76	358.54	2335.28	1233.75	1023.0	571.05	2468.49	2367.9	423.61	629.35	915.51	866.07	343.89	521.76	91.41	170.25	1233.75
MYO9B	10733.74	140.04	152.28	2895.31	3614.55	2384.37	3372.43	1331.57	1369.04	2148.82	902.89	2701.35	1088.92	2178.83	2720.15	1233.75	2997.45	866.07	1322.37	1467.37	647.07	1199.98	954.43	1662.49	1369.04	1059.11	1015.93	688.78	358.54	2119.22	587.13	1151.06	1388.16	728.11	1225.22	629.35	381.68	961.07	688.78	1498.22	1023.0	525.39	642.59	1250.98	1175.27	718.08	703.28	2090.03	1143.1	791.35	674.59	414.87	361.04	329.84	854.13	759.08	698.41	511.0	708.18	642.59	4512.4	603.67	1322.37	2485.67	4704.07	3768.09	2119.22	2434.5	1467.37	1651.0	1583.71	2148.82	2303.12	2090.03	2520.38	1963.57	3467.27	2271.4	1498.22	1199.98	1359.57	2400.97	2956.17	2573.36	603.67	1242.34	1721.16
NCF4	6516.03	55.49	8.85	660.68	1167.14	854.13	1540.37	363.56	423.61	1037.29	215.77	575.03	265.87	599.49	651.58	412.0	988.12	60.82	285.03	178.77	127.0	181.28	120.94	547.75	74.06	260.38	166.73	269.6	15.45	460.44	93.35	23.42	426.57	90.14	67.12	173.85	62.12	301.33	53.95	307.69	36.01	102.97	69.03	183.82	262.2	46.84	103.69	708.18	209.84	289.02	78.89	27.44	150.17	43.32	320.8	186.4	182.55	172.65	100.13	87.03	1191.69	153.34	1561.89	1909.85	5831.91	1143.1	470.14	866.07	988.12	651.58	5711.87	1216.75	4010.71	3742.05	1923.14	848.22	674.59	2004.85	830.75	1183.45	688.78	1369.04	480.04	2224.63	339.14	334.46	2004.85
NCKAP1L	348.71	12.18	1.53	1037.29	842.36	447.82	1081.39	256.78	373.81	587.13	217.27	884.29	226.54	392.44	738.29	307.69	571.05	21.16	173.85	94.01	63.0	124.37	81.71	190.34	40.07	100.13	60.82	113.56	6.01	361.04	15.0	5.68	361.04	36.01	24.28	26.47	32.82	83.45	48.18	182.55	30.78	19.11	49.21	65.72	128.79	16.63	29.06	698.41	122.64	60.82	43.94	22.92	231.32	49.91	68.07	136.19	164.42	246.28	112.77	74.58	974.5	45.21	928.3	1096.5	10084.54	2816.11	1551.09	1135.2	981.29	281.09	4388.98	529.06	1844.76	1551.09	2104.58	1594.73	2004.85	3690.52	902.89	376.41	2758.13	1340.84	2855.44	1259.69	220.32	205.5	842.36
NDST2	267.73	155.5	78.89	299.25	253.23	169.07	329.84	114.36	165.57	172.65	78.89	244.57	183.82	244.57	295.11	198.47	281.09	159.9	214.27	181.28	195.72	173.85	150.17	218.79	166.73	197.09	102.25	114.36	132.44	269.6	123.5	173.85	226.54	131.51	237.86	150.17	156.59	209.84	197.09	187.71	195.72	127.89	187.71	212.78	265.87	289.02	193.01	255.0	151.22	153.34	139.07	145.02	155.5	109.66	107.38	148.09	182.55	136.19	156.59	154.42	444.72	182.55	329.84	285.03	780.44	339.14	307.69	379.04	500.46	325.29	660.68	371.22	571.05	279.14	392.44	417.77	830.75	518.15	223.41	438.59	339.14	480.04	368.65	400.71	136.19	336.79	403.5
NFKBID	579.04	56.68	13.42	128.79	426.57	540.19	105.89	50.63	71.5	67.59	78.34	75.11	166.73	122.64	341.51	224.97	131.51	35.25	114.36	31.0	152.28	65.72	49.56	87.65	23.76	55.49	51.35	67.12	26.28	214.27	36.53	56.68	154.42	51.35	32.36	43.02	18.97	40.93	15.0	191.67	18.03	45.85	54.33	21.47	90.14	13.93	114.36	78.34	115.16	94.67	56.68	21.94	43.94	27.44	47.84	34.51	106.63	11.64	91.41	14.14	733.19	44.25	128.79	521.76	1059.11	684.02	195.72	373.81	206.94	381.68	320.8	271.48	197.09	176.29	379.04	366.09	490.14	283.05	111.99	226.54	150.17	178.77	204.07	638.15	82.29	197.09	314.17
NLRC5	896.64	90.77	94.67	351.14	384.34	334.46	450.94	444.72	253.23	209.84	154.42	466.88	186.4	249.73	228.13	295.11	166.73	231.32	555.41	743.43	460.44	412.0	182.55	947.83	197.09	441.64	190.34	353.59	121.79	1857.6	208.38	215.77	432.53	291.04	85.82	182.55	144.01	269.6	150.17	373.81	237.86	157.68	142.01	260.38	738.29	86.43	94.67	713.11	559.28	246.28	339.14	120.94	255.0	193.01	463.65	123.5	500.46	88.88	149.12	88.26	954.43	206.94	438.59	339.14	1088.92	420.68	532.74	698.41	341.51	629.35	1216.75	836.53	1167.14	381.68	599.49	532.74	1242.34	1066.48	248.0	909.17	351.14	325.29	642.59	854.13	264.03	301.33	718.08
NOD1	202.66	47.84	79.45	125.24	127.89	145.02	145.02	40.93	55.49	69.52	42.11	88.88	98.73	90.14	151.22	98.04	85.22	40.64	66.18	64.8	49.56	71.5	26.86	71.0	36.53	55.89	40.36	49.91	15.45	108.14	60.39	38.67	79.45	56.68	49.56	43.63	32.82	34.51	56.68	108.14	50.63	21.16	31.45	55.1	92.7	61.25	53.95	148.09	87.65	28.65	38.12	21.16	46.18	21.78	31.9	40.64	68.07	17.9	56.68	21.32	470.14	37.32	223.41	279.14	830.75	1051.79	934.76	376.41	332.14	575.03	143.01	232.94	397.93	429.54	162.14	371.22	947.83	429.54	301.33	567.1	229.72	336.79	490.14	575.03	58.3	189.02	299.25
OGFRL1	166.73	82.87	46.18	559.28	307.69	239.52	249.73	102.97	97.36	64.34	115.97	102.25	109.66	126.12	214.27	420.68	91.41	20.41	59.13	53.57	54.72	38.95	27.64	61.25	23.25	41.81	39.5	45.53	17.9	65.26	19.11	24.46	82.29	62.56	46.18	19.68	29.06	32.36	11.82	59.55	48.18	29.27	47.84	43.94	73.54	28.45	59.13	150.17	40.36	22.92	27.84	33.3	61.68	21.94	40.64	25.35	55.89	72.01	35.0	19.97	327.56	50.63	384.34	277.2	1233.75	921.88	281.09	193.01	273.37	277.2	221.86	198.47	271.48	237.86	253.23	283.05	476.71	76.71	269.6	198.47	214.27	309.83	2271.4	186.4	128.79	172.65	273.37
OSCAR	1991.0	9.78	3.2	603.67	813.63	420.68	1286.18	316.37	381.68	358.54	96.01	255.0	162.14	575.03	460.44	232.94	583.07	7.88	215.77	52.45	47.5	126.12	54.72	130.6	17.77	38.4	22.26	29.48	8.19	149.12	15.22	14.14	48.87	18.7	19.39	11.3	10.79	37.85	14.78	42.41	6.31	11.47	30.56	13.83	52.08	12.45	17.13	444.72	55.1	29.27	18.29	10.47	108.14	16.27	34.02	28.04	54.72	18.43	50.27	26.67	1467.37	39.5	1151.06	2520.38	2835.7	7642.41	1709.26	2090.03	307.69	251.48	9344.14	693.58	3168.41	4268.94	1832.01	346.29	1709.26	5255.91	1350.18	723.08	6381.92	1208.34	1044.52	4450.27	71.5	175.07	796.86
PARVG	532.74	27.64	8.19	941.27	1508.65	1199.98	1745.2	463.65	503.95	941.27	301.33	819.3	450.94	769.69	1191.69	447.82	1378.57	54.33	423.61	173.85	154.42	260.38	162.14	397.93	102.25	229.72	161.02	356.05	16.51	759.08	63.0	33.54	497.0	90.77	59.13	69.03	75.11	194.36	74.58	384.34	41.81	70.01	133.36	111.99	316.37	34.26	98.04	1151.06	205.5	139.07	120.94	63.0	307.69	74.06	264.03	93.35	183.82	269.6	373.81	108.14	1977.24	63.0	947.83	1909.85	2032.85	3395.89	842.36	1477.58	1096.5	258.57	3928.15	2664.15	5594.3	1674.06	1477.58	1407.55	1561.89	2075.59	988.12	1572.76	1639.59	4010.71	1639.59	3395.89	221.86	343.89	1407.55
PCYOX1L	97.36	62.56	74.06	209.84	248.0	226.54	164.42	61.25	127.89	61.25	63.0	111.99	101.54	164.42	132.44	157.68	129.69	89.51	80.57	18.43	31.22	39.5	17.13	55.1	60.82	36.53	60.39	54.33	8.65	50.63	15.11	34.02	40.93	46.5	18.03	53.95	48.52	31.22	37.05	115.16	27.05	6.26	40.93	12.93	81.14	64.8	55.49	81.71	32.59	15.0	20.56	18.03	156.59	26.28	40.36	11.64	11.38	30.34	61.68	2.68	173.85	74.58	132.44	176.29	490.14	185.11	204.07	172.65	178.77	145.02	271.48	163.28	248.0	163.28	101.54	265.87	133.36	293.07	118.43	307.69	185.11	279.14	221.86	209.84	113.56	156.59	173.85
PIK3CG	371.22	8.38	4.5	153.34	40.93	12.45	96.68	11.04	30.12	23.76	15.22	70.01	18.97	17.51	54.72	28.45	26.28	2.68	15.34	12.64	5.02	9.56	5.28	7.94	2.53	5.82	3.35	7.63	4.94	24.63	1.08	0.66	22.75	2.89	1.77	3.47	3.53	3.23	6.73	23.08	4.86	1.1	3.59	6.78	13.62	1.68	1.89	47.17	9.13	5.11	1.73	4.43	3.99	5.63	4.54	6.16	8.85	18.7	12.09	12.0	47.17	7.82	53.95	77.25	363.56	81.71	24.11	161.02	116.78	25.17	102.25	64.8	92.05	42.41	41.81	256.78	267.73	42.71	33.54	80.01	129.69	80.57	363.56	22.1	17.25	24.46	68.55
PLEK	189257.69	41.81	4.21	928.3	1322.37	693.58	1844.76	432.53	629.35	633.73	444.72	1111.82	226.54	447.82	1073.91	674.59	854.13	28.04	325.29	193.01	143.01	320.8	91.41	454.09	81.71	232.94	88.26	140.04	15.0	813.63	27.05	19.25	698.41	51.71	50.63	26.86	57.49	121.79	99.43	199.85	55.89	41.22	62.12	98.73	214.27	35.76	51.35	941.27	189.02	947.83	88.88	63.89	220.32	47.84	248.0	146.03	232.94	267.73	176.29	127.0	1407.55	82.87	2935.74	1104.13	6516.03	1313.23	1044.52	2335.28	587.13	638.15	2193.99	1073.91	1870.53	679.29	1561.89	1001.93	1551.09	708.18	348.71	1651.0	775.05	529.06	748.61	1709.26	414.87	189.02	1936.53
PPP4R1L	981.29	70.01	36.79	107.38	204.07	106.63	65.72	92.7	49.56	45.53	66.65	92.05	69.52	79.45	67.12	162.14	53.95	32.13	25.17	21.32	33.78	61.25	12.18	51.71	1.87	12.36	6.06	23.76	11.21	45.53	29.06	40.64	64.8	90.14	16.27	27.64	31.22	22.43	4.06	53.19	14.14	9.2	2.43	7.57	35.5	9.7	15.22	64.8	61.25	27.25	19.97	10.47	62.12	8.71	12.09	14.78	115.97	9.48	8.71	15.68	149.12	22.92	58.71	102.25	612.11	105.15	178.77	121.79	75.64	209.84	59.13	75.11	100.83	44.57	100.13	143.01	332.14	72.52	61.68	94.01	48.18	53.95	111.21	142.01	76.17	133.36	102.97
RELT	1498.22	26.1	15.34	114.36	293.07	173.85	283.05	80.01	148.09	217.27	70.51	197.09	74.58	167.9	170.25	195.72	148.09	21.63	94.67	41.52	161.02	78.89	37.59	101.54	11.73	47.17	33.78	65.26	9.48	171.45	30.34	17.38	142.01	52.82	15.0	13.72	8.58	38.4	16.03	100.83	16.63	67.59	24.81	24.81	101.54	15.11	31.67	226.54	76.71	98.73	23.93	13.12	50.27	19.97	50.63	35.25	99.43	21.63	18.16	11.47	450.94	148.09	366.09	473.41	791.35	336.79	285.03	305.55	121.79	165.57	371.22	220.32	336.79	181.28	234.57	248.0	454.09	275.28	144.01	258.57	221.86	142.01	305.55	339.14	88.88	178.77	371.22
RNF166	2032.85	137.14	108.9	486.75	698.41	486.75	866.07	358.54	426.57	555.41	190.34	486.75	316.37	571.05	555.41	332.14	665.29	251.48	356.05	234.57	178.77	291.04	194.36	507.46	224.97	454.09	260.38	339.14	198.47	563.18	159.9	249.73	409.15	201.25	185.11	189.02	185.11	221.86	190.34	420.68	260.38	279.14	224.97	316.37	514.56	194.36	297.17	532.74	307.69	373.81	511.0	224.97	309.83	283.05	417.77	239.52	251.48	178.77	329.84	146.03	1135.2	447.82	638.15	1030.12	2104.58	785.88	624.99	616.37	603.67	447.82	612.11	723.08	1304.15	981.29	595.34	909.17	1167.14	669.92	525.39	603.67	384.34	796.86	733.19	981.29	291.04	540.19	928.3
SASH3	591.22	25.17	7.28	967.76	813.63	595.34	1286.18	341.51	441.64	679.29	224.97	1044.52	217.27	493.56	896.64	269.6	842.36	30.78	175.07	128.79	65.26	158.79	111.21	182.55	60.82	149.12	79.45	167.9	8.0	447.82	40.07	19.39	262.2	38.95	34.26	40.64	68.07	103.69	51.71	346.29	26.1	34.26	81.71	44.57	212.78	21.16	45.85	511.0	85.82	53.95	52.45	48.87	186.4	46.18	79.45	70.51	70.01	211.31	170.25	59.13	921.88	74.58	872.1	1242.34	3955.48	1111.82	718.08	1417.35	1073.91	156.59	5112.16	1407.55	4512.4	2796.65	1037.29	679.29	1313.23	3146.52	1008.9	1008.9	1286.18	1487.87	1096.5	1259.69	190.34	220.32	961.07
SHKBP1	4736.79	532.74	463.65	1594.73	1529.73	1519.15	1991.0	2224.63	2209.26	2133.97	1322.37	2935.74	1066.48	1508.65	1819.35	1437.15	1757.34	483.38	1127.35	1350.18	1417.35	1143.1	698.41	1313.23	1167.14	1259.69	1313.23	536.45	507.46	1477.58	1051.79	890.44	995.0	988.12	656.11	1487.87	665.29	941.27	575.03	2047.0	713.11	896.64	909.17	808.0	1044.52	708.18	836.53	1733.13	1059.11	665.29	403.5	260.38	1662.49	441.64	575.03	759.08	775.05	397.93	346.29	660.68	2178.83	2915.45	1896.65	1977.24	4903.87	1639.59	1628.26	1519.15	1572.76	2895.31	4152.18	2119.22	2701.35	2701.35	2367.9	1340.84	1662.49	2895.31	1857.6	1639.59	1540.37	1437.15	1015.93	2075.59	1417.35	2090.03	2133.97
SLA	2255.7	39.22	16.75	1832.01	884.29	718.08	759.08	490.14	273.37	1008.9	158.79	507.46	329.84	486.75	660.68	426.57	460.44	14.67	167.9	96.01	62.56	118.43	61.25	249.73	35.0	107.38	80.01	183.82	10.79	441.64	26.1	9.34	224.97	32.13	38.12	33.54	65.72	91.41	41.52	178.77	24.63	21.78	59.97	67.12	163.28	23.25	25.35	563.18	98.04	514.56	61.25	25.91	176.29	30.78	90.14	68.55	176.29	236.21	52.82	50.98	656.11	36.79	693.58	1030.12	4543.8	1781.89	1697.45	974.5	2451.44	759.08	1709.26	612.11	1909.85	1662.49	1127.35	1923.14	1819.35	3395.89	698.41	660.68	1369.04	1001.93	6935.54	780.44	275.28	193.01	587.13
SPI1	14971.21	91.41	20.56	2240.11	3928.15	2240.11	4836.35	1397.83	1883.54	3081.75	872.1	2609.3	1104.13	1870.53	2796.65	1242.34	3690.52	119.26	872.1	384.34	289.02	723.08	460.44	1331.57	199.85	532.74	351.14	426.57	28.65	1268.46	98.04	33.78	1066.48	275.28	145.02	187.71	120.94	444.72	128.79	579.04	83.45	180.02	215.77	316.37	555.41	65.26	264.03	2664.15	454.09	713.11	218.79	78.34	1088.92	115.97	348.71	438.59	647.07	647.07	180.02	353.59	3103.19	165.57	3103.19	7230.1	31870.96	18431.96	2682.69	3060.45	2591.27	884.29	18178.19	2351.53	12244.81	14262.1	7032.37	2976.74	8363.13	5633.22	4328.55	4328.55	5479.15	6840.04	3690.52	4607.24	575.03	981.29	3060.45
SPOCD1	52.82	1.48	0.0	4.94	76.71	26.86	87.65	15.0	12.93	32.59	31.9	7.51	33.78	15.11	16.15	37.32	3.79	4.1	4.9	4.24	96.01	2.92	7.4	22.92	8.51	5.41	11.3	3.63	4.66	102.25	4.74	7.75	17.51	23.59	2.94	4.24	3.66	11.21	6.01	14.56	1.14	2.71	13.32	2.32	7.69	3.63	71.0	87.03	5.63	0.0	0.82	0.0	6.67	0.89	8.19	0.0	4.62	6.01	0.25	2.97	503.95	46.18	49.21	1088.92	1037.29	3690.52	693.58	299.25	58.71	102.25	244.57	70.01	220.32	199.85	80.57	159.9	185.11	262.2	191.67	327.56	145.02	249.73	339.14	435.55	35.25	94.01	115.97
TAGAP	1407.55	7.82	1.64	603.67	384.34	171.45	334.46	66.65	135.24	107.38	43.32	180.02	63.89	96.68	320.8	159.9	157.68	4.78	50.27	21.94	11.47	29.91	17.77	33.06	16.75	28.86	14.67	44.57	1.81	80.57	5.77	1.16	98.04	5.92	15.11	8.92	12.55	19.25	9.7	79.45	7.4	2.76	17.38	7.51	44.57	4.03	7.69	104.42	56.28	223.41	43.94	31.45	12.18	61.68	88.88	14.67	26.28	42.71	61.25	11.55	293.07	22.43	223.41	212.78	1191.69	423.61	327.56	351.14	387.02	135.24	651.58	332.14	507.46	127.0	698.41	1331.57	301.33	147.06	119.26	186.4	165.57	295.11	361.04	836.53	56.28	58.3	187.71
THEMIS2	2319.15	84.04	18.29	2148.82	2090.03	2627.46	1651.0	395.18	507.46	1331.57	287.01	1519.15	603.67	947.83	1883.54	1709.26	995.0	30.56	406.31	95.34	155.5	248.0	131.51	438.59	58.71	182.55	148.09	420.68	13.93	728.11	47.84	35.0	525.39	81.14	69.03	95.34	103.69	273.37	102.97	503.95	58.3	61.25	72.52	120.94	371.22	37.05	79.45	1015.93	314.17	166.73	155.5	29.06	426.57	96.01	236.21	163.28	389.72	341.51	226.54	118.43	2645.74	85.82	1909.85	4181.07	9808.75	4704.07	5633.22	1250.98	2997.45	860.08	4769.75	2915.45	3955.48	5954.47	2835.7	1498.22	5219.6	5183.54	1757.34	2224.63	2796.65	4639.29	15075.35	1870.53	647.07	559.28	1745.2
TNFRSF1B	3589.58	84.04	54.72	1519.15	1467.37	1111.82	1896.65	540.19	579.04	1529.73	327.56	1378.57	341.51	1059.11	1322.37	1096.5	1350.18	218.79	612.11	392.44	764.36	423.61	432.53	698.41	155.5	457.25	387.02	780.44	423.61	866.07	327.56	211.31	723.08	988.12	103.69	361.04	373.81	373.81	144.01	733.19	178.77	134.3	139.07	241.19	708.18	66.65	242.88	1233.75	825.0	429.54	647.07	185.11	872.1	251.48	426.57	285.03	2816.11	376.41	255.0	329.84	1208.34	173.85	1259.69	1044.52	2935.74	748.61	1127.35	698.41	947.83	476.71	1151.06	961.07	1769.57	872.1	3280.18	1295.13	4210.15	713.11	607.87	1617.0	473.41	612.11	1639.59	1216.75	309.83	435.55	1242.34
TRPV2	470.14	59.55	30.12	848.22	967.76	748.61	1540.37	366.09	679.29	738.29	351.14	633.73	229.72	599.49	669.92	343.89	669.92	116.78	483.38	214.27	127.0	346.29	231.32	473.41	120.1	334.46	228.13	303.44	53.19	693.58	153.34	76.71	1617.0	137.14	114.36	76.17	93.35	211.31	82.29	275.28	65.26	75.64	132.44	194.36	291.04	80.01	587.13	1233.75	202.66	85.82	61.25	121.79	169.07	106.63	182.55	115.16	148.09	118.43	173.85	79.45	1909.85	129.69	1183.45	4268.94	2075.59	12764.83	1044.52	2915.45	607.87	753.83	6079.61	1709.26	2997.45	3874.05	1781.89	1477.58	2976.74	6037.61	1721.16	1781.89	1781.89	2303.12	1225.22	3257.52	389.72	279.14	1295.13
USP4	1268.46	483.38	444.72	1008.9	915.51	848.22	656.11	708.18	397.93	493.56	490.14	493.56	529.06	476.71	559.28	476.71	511.0	314.17	384.34	327.56	571.05	490.14	571.05	674.59	285.03	325.29	376.41	368.65	463.65	403.5	389.72	476.71	463.65	536.45	368.65	525.39	395.18	180.02	318.57	420.68	486.75	379.04	511.0	309.83	376.41	277.2	389.72	567.1	285.03	633.73	490.14	262.2	412.0	275.28	275.28	343.89	872.1	358.54	555.41	327.56	1066.48	400.71	785.88	708.18	2119.22	1135.2	909.17	860.08	703.28	947.83	1023.0	1295.13	1286.18	551.56	718.08	764.36	1051.79	1233.75	669.92	1159.07	830.75	718.08	1135.2	1127.35	543.96	647.07	830.75
WIPF1	902.89	301.33	265.87	1175.27	928.3	708.18	1350.18	343.89	454.09	579.04	476.71	1096.5	988.12	629.35	988.12	813.63	599.49	80.57	267.73	176.29	133.36	212.78	133.36	231.32	83.45	165.57	107.38	231.32	33.06	599.49	41.22	16.51	470.14	89.51	164.42	220.32	104.42	133.36	76.71	432.53	70.01	59.55	104.42	241.19	343.89	54.33	101.54	902.89	221.86	103.69	101.54	146.03	116.78	143.01	172.65	52.08	244.57	175.07	215.77	57.49	1175.27	166.73	1208.34	860.08	3060.45	1259.69	1870.53	1081.39	1143.1	567.1	1709.26	1304.15	1397.83	753.83	1457.23	2319.15	2434.5	813.63	733.19	1242.34	674.59	656.11	2591.27	791.35	457.25	457.25	1268.46
ZNF589	61.25	51.71	87.03	237.86	214.27	164.42	162.14	72.52	84.04	147.06	106.63	97.36	95.34	87.03	100.83	78.34	124.37	62.56	72.52	58.3	80.01	65.72	19.68	142.01	62.12	46.84	44.57	31.45	32.36	137.14	35.5	100.13	234.57	49.91	74.06	40.36	19.82	43.02	73.03	119.26	75.11	67.59	104.42	92.7	78.89	89.51	64.34	194.36	30.56	28.24	7.88	27.25	64.34	34.02	25.72	47.17	47.5	32.82	102.97	29.27	514.56	46.84	114.36	159.9	909.17	961.07	99.43	218.79	323.03	106.63	185.11	567.1	356.05	842.36	115.16	189.02	65.72	166.73	228.13	226.54	185.11	518.15	241.19	476.71	81.71	124.37	152.28
ZYX	5076.84	872.1	693.58	4543.8	6471.02	5954.47	6164.49	3982.99	4704.07	5147.73	1757.34	4802.93	2351.53	5633.22	6426.31	4450.27	5791.62	748.61	5255.91	3081.75	3515.68	4836.35	4298.64	3395.89	4543.8	3928.15	4066.71	2287.2	183.82	4639.29	2193.99	2434.5	2271.4	2816.11	1529.73	4419.52	1437.15	2609.3	457.25	3847.29	1175.27	2591.27	1519.15	1769.57	3146.52	1561.89	2119.22	5672.41	3768.09	842.36	2956.17	1096.5	2537.92	532.74	1066.48	1551.09	1651.0	796.86	703.28	813.63	5711.87	808.0	4736.79	6426.31	17078.76	4769.75	5954.47	4239.45	4481.23	3794.3	4010.71	4388.98	9088.59	8078.22	6164.49	6607.01	15075.35	4066.71	5147.73	5633.22	4972.34	4543.8	5672.41	10225.32	2061.24	4769.75	5219.6
