	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.A2.A0T7.01A.21R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.EW.A1OW.01A.21R.A144.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.A7.A6VV.01A.22R.A33J.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.E2.A15L.01A.11R.A12D.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.E9.A1R3.01A.31R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0AV.01A.31R.A115.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A18I.01A.11R.A12D.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.UF.A7JD.01A.11R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.44.6774.01A.21R.1858.07	GTEX.QV44.0926.SM.2S1RH	GTEX.XQ3S.0926.SM.4BOPI	TCGA.85.6175.01A.11R.1820.07	TCGA.56.6545.01A.11R.1820.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.QN.A5NN.01A.11R.A28V.07	GTEX.POMQ.1226.SM.3P61F
APPL2	651.58	599.49	551.56	400.71	603.67	1359.57	1066.48	1073.91	819.3	718.08	819.3	775.05	884.29	1143.1	612.11	633.73	483.38	2004.85	1183.45	532.74	571.05	329.84	981.29	1015.93	591.22	1059.11	698.41	540.19	825.0	1844.76	967.76	346.29	1199.98	890.44	660.68	555.41	753.83	708.18	1081.39	620.67	575.03	1277.29	571.05	842.36	540.19	764.36	1066.48	1015.93	733.19	1119.56	460.44	743.43	1081.39	728.11	825.0	674.59	669.92	1519.15	2163.77	1191.69	412.0	490.14	409.15	387.02	397.93	368.65	514.56	796.86	981.29	271.48	309.83	444.72	432.53	514.56	297.17	718.08	571.05	205.5	265.87	358.54
ARFIP1	273.37	466.88	447.82	435.55	620.67	890.44	656.11	759.08	651.58	642.59	743.43	808.0	642.59	866.07	624.99	728.11	395.18	1044.52	934.76	529.06	432.53	255.0	825.0	684.02	620.67	769.69	647.07	490.14	503.95	848.22	728.11	226.54	974.5	688.78	830.75	884.29	769.69	995.0	748.61	612.11	490.14	825.0	476.71	713.11	567.1	848.22	743.43	872.1	507.46	791.35	483.38	624.99	579.04	435.55	842.36	493.56	708.18	1104.13	591.22	1073.91	368.65	543.96	384.34	303.44	483.38	497.0	305.55	379.04	511.0	258.57	497.0	480.04	444.72	511.0	246.28	441.64	384.34	287.01	323.03	466.88
ARL6	29.91	59.97	57.08	63.0	110.43	279.14	106.63	142.01	100.13	122.64	220.32	111.99	103.69	130.6	84.63	150.17	76.17	199.85	236.21	123.5	70.01	53.57	149.12	157.68	125.24	151.22	95.34	115.97	191.67	127.0	70.51	44.89	123.5	94.01	126.12	186.4	77.79	151.22	64.8	90.14	108.9	126.12	155.5	113.56	118.43	124.37	91.41	130.6	114.36	164.42	73.54	111.99	82.87	105.89	110.43	109.66	110.43	128.79	127.0	147.06	77.79	68.07	64.8	115.97	67.59	111.21	99.43	64.34	48.87	48.87	81.71	169.07	97.36	217.27	53.57	88.26	68.55	55.1	84.63	101.54
ASB8	170.25	454.09	503.95	234.57	559.28	563.18	571.05	688.78	629.35	511.0	571.05	555.41	503.95	633.73	426.57	525.39	323.03	723.08	669.92	450.94	389.72	318.57	693.58	633.73	483.38	688.78	660.68	450.94	454.09	620.67	595.34	293.07	500.46	587.13	629.35	493.56	679.29	518.15	490.14	507.46	379.04	748.61	642.59	620.67	438.59	656.11	507.46	785.88	480.04	698.41	376.41	483.38	532.74	521.76	651.58	423.61	480.04	954.43	525.39	616.37	371.22	414.87	551.56	329.84	301.33	356.05	262.2	305.55	293.07	303.44	400.71	460.44	426.57	450.94	480.04	423.61	432.53	231.32	224.97	567.1
BBS1	241.19	409.15	327.56	353.59	486.75	791.35	733.19	902.89	718.08	718.08	698.41	684.02	819.3	688.78	529.06	872.1	384.34	638.15	1066.48	397.93	463.65	507.46	587.13	884.29	547.75	769.69	693.58	591.22	669.92	1001.93	647.07	279.14	825.0	723.08	679.29	753.83	595.34	679.29	764.36	293.07	277.2	842.36	878.17	896.64	454.09	854.13	486.75	780.44	497.0	878.17	283.05	674.59	551.56	713.11	713.11	842.36	503.95	1104.13	503.95	651.58	559.28	525.39	297.17	329.84	356.05	373.81	285.03	260.38	314.17	212.78	571.05	447.82	587.13	514.56	346.29	435.55	387.02	178.77	142.01	830.75
BDP1	117.6	140.04	98.04	100.83	305.55	303.44	229.72	285.03	353.59	293.07	361.04	287.01	262.2	325.29	145.02	332.14	173.85	463.65	409.15	173.85	176.29	178.77	412.0	295.11	175.07	275.28	251.48	186.4	198.47	368.65	215.77	102.97	299.25	147.06	373.81	241.19	237.86	384.34	473.41	224.97	224.97	384.34	397.93	295.11	136.19	351.14	264.03	543.96	208.38	368.65	205.5	248.0	289.02	229.72	387.02	172.65	267.73	389.72	159.9	137.14	283.05	211.31	95.34	115.97	94.01	129.69	92.05	157.68	155.5	85.82	186.4	176.29	180.02	187.71	44.57	262.2	134.3	91.41	154.42	136.19
BOD1L1	170.25	314.17	209.84	209.84	412.0	551.56	511.0	400.71	480.04	454.09	583.07	450.94	406.31	647.07	444.72	438.59	327.56	624.99	521.76	366.09	361.04	218.79	323.03	500.46	387.02	412.0	563.18	346.29	395.18	854.13	438.59	148.09	563.18	400.71	656.11	361.04	429.54	423.61	486.75	463.65	368.65	551.56	387.02	429.54	346.29	587.13	395.18	599.49	409.15	555.41	525.39	493.56	514.56	320.8	629.35	435.55	532.74	769.69	429.54	414.87	563.18	420.68	339.14	271.48	269.6	567.1	217.27	466.88	303.44	258.57	332.14	412.0	435.55	231.32	223.41	497.0	358.54	143.01	172.65	325.29
BRD8	366.09	571.05	698.41	412.0	780.44	1199.98	995.0	1073.91	921.88	995.0	1208.34	775.05	1037.29	759.08	583.07	1467.37	466.88	1529.73	1066.48	595.34	819.3	551.56	1183.45	1388.16	1037.29	915.51	974.5	633.73	848.22	2178.83	432.53	819.3	825.0	579.04	1639.59	629.35	1081.39	995.0	915.51	738.29	660.68	1359.57	1175.27	1008.9	660.68	1487.87	1119.56	1183.45	854.13	1167.14	629.35	842.36	813.63	878.17	934.76	1037.29	842.36	1437.15	708.18	909.17	1151.06	954.43	327.56	543.96	480.04	299.25	314.17	417.77	463.65	403.5	674.59	497.0	743.43	954.43	575.03	785.88	748.61	500.46	878.17	748.61
BTRC	97.36	185.11	78.89	75.64	246.28	371.22	363.56	457.25	435.55	251.48	158.79	389.72	223.41	307.69	214.27	395.18	150.17	941.27	297.17	201.25	223.41	101.54	723.08	242.88	796.86	368.65	363.56	155.5	205.5	1832.01	255.0	103.69	466.88	392.44	497.0	194.36	723.08	269.6	503.95	237.86	177.53	336.79	273.37	346.29	158.79	974.5	291.04	429.54	201.25	299.25	301.33	267.73	229.72	181.28	555.41	153.34	197.09	669.92	232.94	177.53	237.86	187.71	172.65	140.04	120.1	183.82	145.02	211.31	221.86	140.04	117.6	130.6	178.77	248.0	64.34	212.78	239.52	137.14	154.42	120.1
C4orf29	44.57	46.18	67.12	59.13	129.69	166.73	90.77	141.02	87.65	100.13	153.34	156.59	111.21	136.19	85.82	143.01	118.43	172.65	115.16	82.29	88.26	75.11	96.01	132.44	96.01	139.07	111.99	82.29	112.77	164.42	102.97	41.22	153.34	89.51	175.07	107.38	106.63	129.69	137.14	96.68	72.01	157.68	83.45	140.04	78.34	170.25	102.97	172.65	67.12	121.79	55.89	123.5	120.1	102.97	150.17	87.65	100.83	132.44	87.03	43.94	158.79	79.45	48.52	98.04	57.89	34.75	43.94	57.89	124.37	63.89	79.45	82.87	105.89	113.56	64.8	92.05	75.11	31.67	35.76	52.82
CARF	33.3	48.18	11.91	57.08	107.38	164.42	77.79	157.68	105.15	74.58	146.03	123.5	90.77	127.0	43.63	109.66	45.53	146.03	152.28	56.28	42.41	42.41	103.69	105.15	95.34	94.01	123.5	81.14	94.67	145.02	89.51	20.41	100.83	74.58	90.77	91.41	82.29	128.79	115.97	78.89	47.84	128.79	94.67	116.78	39.22	142.01	120.1	129.69	88.88	132.44	60.39	87.03	96.01	75.11	80.57	95.34	98.04	269.6	116.78	62.12	77.79	80.01	43.94	21.94	53.57	25.91	30.56	39.22	70.01	28.24	63.89	50.98	56.68	48.52	39.79	96.01	55.89	21.47	10.0	31.67
CBR4	110.43	162.14	194.36	180.02	540.19	616.37	341.51	454.09	285.03	314.17	441.64	316.37	373.81	339.14	316.37	466.88	133.36	387.02	406.31	143.01	314.17	102.97	476.71	318.57	543.96	287.01	301.33	224.97	251.48	642.59	239.52	135.24	432.53	244.57	373.81	208.38	223.41	346.29	579.04	470.14	151.22	603.67	211.31	371.22	166.73	327.56	316.37	444.72	260.38	483.38	110.43	363.56	287.01	159.9	260.38	295.11	348.71	638.15	420.68	273.37	201.25	112.77	206.94	141.02	172.65	100.13	88.88	81.71	307.69	107.38	137.14	211.31	202.66	193.01	138.1	158.79	128.79	126.12	100.13	67.12
CCDC170	18.7	35.25	6.78	19.82	249.73	397.93	108.14	387.02	85.82	129.69	143.01	339.14	232.94	151.22	55.1	283.05	19.97	287.01	153.34	26.1	81.71	12.36	224.97	189.02	327.56	195.72	44.57	88.26	171.45	423.61	95.34	9.2	138.1	94.67	132.44	169.07	163.28	89.51	358.54	44.57	27.84	353.59	339.14	176.29	126.12	248.0	258.57	170.25	199.85	85.82	21.01	106.63	86.43	52.82	156.59	156.59	109.66	2796.65	381.68	346.29	20.86	5.68	7.0	1.99	5.82	30.12	9.06	18.7	14.45	9.27	1.55	26.1	39.22	77.25	28.86	37.05	8.32	2.56	6.89	73.54
CCNG2	215.77	1175.27	591.22	836.53	981.29	3515.68	3564.78	3467.27	1467.37	1119.56	1769.57	2004.85	1508.65	1963.57	1467.37	2537.92	728.11	5366.37	3018.3	796.86	1044.52	629.35	1561.89	2875.3	1733.13	2319.15	3955.48	1709.26	1233.75	5831.91	3395.89	135.24	3982.99	2816.11	2875.3	1127.35	2178.83	2255.7	5366.37	825.0	591.22	3018.3	1322.37	1697.45	981.29	3081.75	1745.2	1519.15	698.41	3491.39	583.07	2468.49	1923.14	1340.84	1794.29	1697.45	1697.45	4607.24	1191.69	551.56	559.28	1216.75	460.44	351.14	244.57	476.71	507.46	493.56	575.03	420.68	1508.65	529.06	759.08	381.68	417.77	1143.1	693.58	242.88	312.0	275.28
CDK17	356.05	273.37	215.77	164.42	426.57	457.25	389.72	403.5	476.71	457.25	379.04	454.09	301.33	679.29	1268.46	483.38	291.04	866.07	389.72	361.04	363.56	149.12	1583.71	450.94	376.41	503.95	1127.35	358.54	420.68	780.44	343.89	121.79	764.36	486.75	567.1	373.81	320.8	353.59	647.07	420.68	397.93	414.87	343.89	460.44	231.32	995.0	395.18	796.86	325.29	500.46	285.03	353.59	480.04	291.04	651.58	301.33	603.67	490.14	244.57	201.25	642.59	432.53	237.86	237.86	212.78	318.57	246.28	371.22	395.18	187.71	231.32	656.11	420.68	414.87	363.56	412.0	450.94	158.79	122.64	341.51
CDS1	23.93	135.24	4.62	273.37	301.33	748.61	241.19	470.14	529.06	275.28	514.56	366.09	301.33	500.46	358.54	305.55	159.9	902.89	273.37	110.43	309.83	109.66	454.09	426.57	423.61	307.69	733.19	275.28	295.11	414.87	406.31	4.24	567.1	289.02	463.65	295.11	444.72	688.78	412.0	241.19	46.84	563.18	228.13	376.41	291.04	368.65	283.05	603.67	98.73	480.04	102.25	215.77	334.46	329.84	540.19	234.57	242.88	289.02	169.07	39.22	5.54	351.14	169.07	129.69	258.57	7.28	47.17	109.66	149.12	277.2	24.63	37.59	138.1	197.09	220.32	139.07	85.82	85.82	49.21	23.42
CDYL2	33.3	67.59	51.71	46.84	103.69	130.6	127.89	334.46	139.07	102.25	194.36	130.6	208.38	248.0	121.79	182.55	40.07	341.51	441.64	134.3	90.77	59.13	299.25	141.02	165.57	366.09	599.49	116.78	167.9	211.31	147.06	84.63	204.07	175.07	191.67	217.27	275.28	202.66	199.85	273.37	97.36	379.04	271.48	153.34	137.14	191.67	195.72	187.71	98.73	244.57	78.34	143.01	166.73	223.41	164.42	142.01	177.53	229.72	114.36	56.68	118.43	74.06	141.02	45.85	33.54	84.63	48.18	102.97	54.33	191.67	6.36	153.34	76.17	92.7	17.64	129.69	212.78	14.35	84.63	59.97
CEP120	115.97	149.12	113.56	124.37	165.57	356.05	183.82	255.0	214.27	224.97	241.19	215.77	148.09	320.8	131.51	262.2	86.43	293.07	269.6	215.77	159.9	82.29	400.71	289.02	165.57	229.72	194.36	181.28	206.94	332.14	182.55	104.42	287.01	198.47	264.03	212.78	217.27	283.05	223.41	190.34	206.94	305.55	283.05	209.84	167.9	307.69	297.17	293.07	152.28	312.0	137.14	190.34	237.86	198.47	269.6	265.87	253.23	423.61	158.79	217.27	246.28	208.38	69.52	97.36	88.26	65.72	97.36	137.14	104.42	73.03	70.51	214.27	154.42	109.66	90.14	193.01	215.77	90.77	118.43	154.42
CLCN3	121.79	493.56	297.17	470.14	521.76	842.36	543.96	802.41	497.0	595.34	764.36	612.11	441.64	1268.46	532.74	656.11	341.51	1135.2	909.17	438.59	334.46	353.59	579.04	718.08	454.09	703.28	1119.56	447.82	414.87	866.07	703.28	126.12	928.3	503.95	713.11	525.39	624.99	819.3	620.67	473.41	334.46	785.88	406.31	684.02	341.51	733.19	514.56	723.08	441.64	684.02	406.31	447.82	796.86	444.72	665.29	536.45	463.65	1477.58	620.67	473.41	381.68	551.56	309.83	279.14	334.46	486.75	191.67	293.07	476.71	264.03	297.17	414.87	403.5	332.14	187.71	486.75	409.15	118.43	138.1	221.86
COL1A2	223512.12	258533.99	37901.36	116501.39	108699.57	65990.84	90773.53	105727.15	61571.56	215898.44	69271.73	85876.94	97965.44	159145.95	119776.72	72715.74	39237.98	57847.82	119776.72	318292.9	100719.65	60304.42	171754.88	83528.61	98646.85	117311.73	135693.24	140478.49	148488.36	53230.77	280957.98	88291.3	104271.56	130165.62	124000.67	123144.13	117311.73	112532.89	73730.83	143430.26	189257.69	113315.62	119776.72	74760.09	267651.2	75280.1	85283.74	115696.65	189257.69	97288.74	101420.22	120609.84	187950.38	146444.06	85283.74	174152.51	182810.84	102836.01	296977.71	506427.83	122293.5	94628.34	159145.95	60304.42	119776.72	214407.12	434801.29	234624.45	108699.57	78476.96	130165.62	51417.5	146444.06	84109.6	61146.25	170568.48	79572.48	36106.23	49666.0	41475.31
