	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.J9.A52B.01A.11R.A26U.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.J9.A8CK.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8SP.01B.11R.A37L.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.N5.A4RD.01A.11R.A28V.07
CCDC28B	1437.15	872.1	703.28	0.0	0.58	63.0	35.0	1088.92	49.91	145.02	92.05	125.24	128.79	66.65	141.02	110.43	68.07	214.27	50.63	74.58	65.26	277.2	105.15	63.45	173.85	111.99	46.5	65.26	59.97	316.37	101.54	76.71	116.78	123.5	130.6	175.07	64.8	164.42	190.34	127.89	204.07	1208.34
CD8B	127.89	764.36	379.04	0.0	0.23	35.0	4.28	400.71	7.75	96.01	30.12	52.08	24.81	16.39	45.53	41.81	13.32	62.12	39.79	19.82	9.2	102.97	30.56	0.69	46.84	57.08	2.66	34.75	59.13	118.43	111.99	14.78	54.72	29.27	36.53	81.14	40.93	72.52	92.05	76.71	43.32	54.33
CELF4	718.08	389.72	334.46	0.0	0.28	1.23	1.43	361.04	17.38	15.8	5.11	46.5	7.75	9.06	7.75	27.44	6.84	29.91	6.46	15.8	6.62	59.55	26.47	0.85	2.36	3.89	25.54	12.55	2.39	47.5	8.19	13.42	15.0	2.16	6.06	14.89	8.13	4.17	12.83	37.05	34.51	81.14
CHD5	120.94	199.85	195.72	0.0	0.26	0.78	0.4	387.02	2.41	14.45	9.48	13.22	5.23	1.17	13.42	7.57	1.31	24.11	2.25	1.53	7.69	50.63	2.81	1.39	4.98	3.66	3.23	3.59	0.82	9.63	2.92	2.89	16.88	8.78	2.23	13.52	1.93	3.92	16.15	15.8	17.25	22.26
CLIP2	583.07	275.28	397.93	0.0	0.61	34.02	18.43	181.28	18.56	202.66	123.5	120.94	92.05	45.21	134.3	148.09	30.12	214.27	87.65	44.25	42.41	126.12	181.28	27.25	112.77	59.13	38.67	60.82	33.78	149.12	49.91	77.79	124.37	57.49	86.43	157.68	66.65	85.82	275.28	204.07	145.02	447.82
CNIH2	2417.67	2573.36	791.35	0.0	0.25	19.53	29.06	521.76	19.11	13.83	15.11	16.51	20.41	12.09	20.11	10.47	27.05	30.12	10.08	8.45	20.26	66.18	27.44	79.45	19.97	18.84	17.77	22.92	4.82	32.82	13.83	13.32	24.99	12.83	42.41	19.25	19.53	18.7	21.32	16.03	13.32	551.56
CNTFR	540.19	197.09	28.65	0.0	0.22	27.25	1.89	373.81	8.71	32.82	82.29	30.12	43.32	21.63	208.38	40.64	23.93	16.39	15.91	22.26	77.25	11.82	136.19	12.18	17.77	57.89	15.8	66.65	8.58	24.99	12.18	5.73	87.65	24.99	5.41	50.63	29.27	15.8	173.85	125.24	175.07	2193.99
COPS7B	1001.93	1104.13	1572.76	0.0	0.57	583.07	616.37	1104.13	518.15	896.64	759.08	854.13	620.67	559.28	660.68	656.11	547.75	718.08	629.35	656.11	555.41	896.64	934.76	693.58	669.92	567.1	454.09	633.73	511.0	884.29	775.05	723.08	728.11	651.58	921.88	866.07	665.29	842.36	753.83	775.05	825.0	1498.22
CPNE9	50.27	111.99	58.3	0.0	0.0	1.95	1.1	15.68	0.0	2.14	2.1	2.86	1.33	1.28	2.2	0.52	0.0	2.56	1.68	0.0	0.0	2.66	0.56	1.19	1.64	0.0	0.56	1.81	4.31	2.14	1.66	1.64	2.81	0.55	2.03	5.02	2.12	1.36	1.79	0.53	1.71	8.25
DLG4	387.02	500.46	909.17	0.0	0.61	73.03	26.67	748.61	30.34	239.52	212.78	269.6	166.73	52.08	234.57	208.38	77.25	281.09	69.03	62.12	78.89	88.26	143.01	38.4	128.79	124.37	78.89	77.79	60.39	334.46	65.72	44.57	175.07	107.38	202.66	199.85	170.25	183.82	397.93	376.41	346.29	656.11
DNM1	1143.1	2537.92	813.63	0.0	0.58	32.82	15.56	447.82	18.84	63.89	89.51	260.38	61.25	58.3	87.65	67.59	26.28	112.77	26.67	37.32	39.5	25.35	130.6	12.36	36.79	37.32	13.32	63.45	12.0	130.6	62.12	38.67	65.26	37.05	75.64	111.99	31.9	35.5	165.57	137.14	121.79	555.41
DOC2A	884.29	262.2	591.22	0.0	0.52	20.71	4.54	69.52	4.94	58.71	26.47	80.57	41.81	1.66	38.12	60.39	15.8	125.24	2.18	9.41	6.46	79.45	41.22	4.9	21.94	5.82	5.19	6.89	39.22	181.28	15.91	11.82	26.67	19.97	67.12	144.01	67.12	42.71	167.9	53.95	74.06	358.54
EFCAB1	94.67	120.94	182.55	0.0	0.0	35.25	2.1	309.83	6.26	74.06	35.25	189.02	57.08	6.73	65.26	93.35	46.84	50.98	14.67	7.06	48.52	12.83	54.72	0.56	36.53	35.0	30.56	36.01	11.04	6.94	37.05	2.39	90.14	7.17	31.67	147.06	24.99	48.87	175.07	201.25	242.88	140.04
ELAVL3	389.72	1.87	35.76	0.0	0.16	0.0	0.6	211.31	0.0	2.84	1.07	1.39	0.73	0.0	0.0	3.72	0.0	0.0	1.04	0.0	0.38	18.97	1.87	0.65	7.57	0.0	0.4	7.34	0.71	4.54	2.03	5.92	2.68	0.39	0.37	4.28	0.38	0.75	8.71	4.43	4.21	33.06
ENO2	6207.38	8538.88	2875.3	723.08	514.56	248.0	84.63	941.27	77.25	559.28	291.04	297.17	171.45	71.5	463.65	190.34	71.5	507.46	148.09	123.5	129.69	1015.93	164.42	102.97	251.48	224.97	62.56	144.01	68.07	866.07	110.43	63.45	224.97	236.21	199.85	277.2	108.14	199.85	406.31	450.94	384.34	3901.01
EXOC3L1	164.42	32.82	156.59	0.0	0.16	70.01	33.54	291.04	44.57	79.45	49.91	48.18	47.84	42.71	75.64	76.71	66.18	81.71	33.78	47.84	56.28	87.03	93.35	76.17	87.03	45.21	40.93	96.68	25.91	95.34	28.45	57.49	57.49	62.12	64.8	111.99	52.45	49.21	121.79	68.07	38.67	373.81
FAM131B	620.67	503.95	353.59	0.0	0.21	2.81	1.62	115.97	0.0	6.26	5.45	11.13	5.82	1.91	3.17	5.02	1.35	12.64	6.73	2.94	0.51	20.41	5.41	0.79	3.23	2.1	0.53	2.46	2.23	4.46	2.92	2.89	8.92	2.03	2.92	4.54	2.32	2.41	15.56	14.78	5.19	96.01
FAM163B	49.21	156.59	59.13	0.0	0.15	0.0	0.0	34.75	0.0	4.74	0.0	1.3	0.0	0.0	3.72	2.71	0.0	3.23	0.0	0.0	4.24	0.88	0.0	0.0	0.0	0.0	9.85	1.43	0.0	9.34	0.0	0.0	0.0	0.0	0.93	0.0	0.97	1.39	6.36	5.23	2.2	77.79
FAM219A	612.11	420.68	518.15	0.0	0.75	178.77	113.56	511.0	180.02	271.48	260.38	242.88	231.32	170.25	248.0	234.57	199.85	258.57	161.02	193.01	199.85	312.0	332.14	127.89	175.07	172.65	161.02	217.27	114.36	262.2	162.14	220.32	267.73	181.28	358.54	323.03	190.34	183.82	303.44	253.23	267.73	329.84
FAM57B	2485.67	1397.83	361.04	0.0	0.31	3.53	6.67	1304.15	2.78	4.24	1.25	3.38	6.31	1.93	3.59	3.0	8.06	28.65	2.66	1.22	2.71	65.26	7.4	14.35	8.06	5.23	6.73	3.26	6.41	154.42	2.61	4.66	4.35	5.06	19.25	11.55	1.62	5.06	5.36	1.17	1.93	127.89
FBXO2	334.46	457.25	555.41	0.0	0.45	104.42	7.51	2163.77	68.55	181.28	105.89	351.14	98.73	44.25	150.17	195.72	27.84	262.2	75.64	35.76	60.39	170.25	86.43	12.55	234.57	76.71	75.11	60.82	38.4	265.87	30.56	18.43	206.94	96.68	75.64	291.04	94.67	80.57	366.09	346.29	223.41	525.39
FMNL1	249.73	339.14	1023.0	0.0	0.85	127.89	73.03	316.37	83.45	214.27	176.29	182.55	157.68	153.34	241.19	197.09	103.69	255.0	88.26	96.01	81.14	387.02	327.56	45.53	175.07	127.89	116.78	169.07	85.82	281.09	150.17	133.36	182.55	154.42	183.82	190.34	176.29	239.52	384.34	279.14	162.14	397.93
GABBR2	40.93	176.29	4.94	0.0	0.09	1.08	0.21	92.05	0.24	1.5	1.17	0.85	1.48	0.0	0.0	4.54	0.0	1.2	0.56	0.56	0.0	9.06	1.55	0.23	0.26	1.58	0.29	0.61	0.26	28.86	0.55	0.0	0.55	0.28	0.55	0.91	1.17	0.28	0.6	2.01	0.27	2.81
GABRR1	14.24	0.58	8.25	0.0	0.2	0.32	0.0	18.43	0.0	0.71	0.35	2.76	2.1	0.0	0.73	2.73	0.39	1.07	0.34	0.34	0.0	6.46	0.0	0.31	0.0	0.0	0.37	0.0	0.0	0.35	3.03	0.33	1.68	0.0	0.67	0.36	0.0	0.0	1.46	0.67	1.04	2.23
GDAP1	1059.11	1277.29	1081.39	0.0	0.28	72.01	61.25	896.64	115.16	142.01	66.65	107.38	120.1	131.51	108.14	182.55	63.89	98.04	80.57	94.67	104.42	187.71	164.42	39.5	80.57	85.22	256.78	118.43	112.77	253.23	119.26	92.7	125.24	100.13	265.87	144.01	81.71	105.15	116.78	126.12	155.5	409.15
GNB5	624.99	830.75	1023.0	0.0	0.45	138.1	39.79	748.61	194.36	466.88	327.56	420.68	249.73	119.26	429.54	414.87	153.34	503.95	217.27	153.34	157.68	493.56	299.25	81.71	255.0	199.85	293.07	153.34	162.14	559.28	212.78	218.79	223.41	202.66	249.73	320.8	224.97	277.2	500.46	540.19	450.94	536.45
GPR153	351.14	148.09	323.03	0.0	0.47	22.59	6.78	201.25	6.73	53.19	71.0	62.56	35.25	29.06	73.54	50.27	22.92	109.66	30.56	24.81	17.0	35.76	76.71	5.28	45.53	24.63	13.72	51.35	13.83	54.33	13.12	17.13	80.01	35.25	33.54	58.3	30.56	23.08	138.1	120.1	66.65	368.65
GPR173	521.76	239.52	507.46	0.0	0.64	3.11	1.69	346.29	0.96	28.65	8.13	20.26	14.89	4.58	24.99	25.54	2.58	77.79	8.85	4.54	5.54	96.01	12.18	3.0	9.06	8.25	2.05	8.19	5.77	253.23	10.71	4.06	13.22	5.28	12.36	35.76	7.28	10.71	46.84	35.76	35.0	348.71
GPRIN1	1277.29	603.67	260.38	0.0	0.28	7.75	12.36	363.56	18.43	6.16	13.42	10.24	8.78	16.39	14.14	13.42	8.45	21.32	16.75	16.63	8.38	38.95	21.32	22.92	27.84	8.71	7.17	15.68	4.21	51.35	9.34	7.34	8.06	14.67	41.52	12.83	7.06	7.69	10.16	7.17	9.7	98.73
HCN4	35.76	29.06	114.36	0.0	0.0	0.0	0.15	21.94	0.0	2.78	0.83	0.51	0.21	0.0	2.53	1.11	0.23	2.48	0.51	0.49	0.52	3.63	0.22	0.16	0.19	0.0	0.56	0.89	0.19	2.43	0.49	0.19	0.19	0.0	0.19	0.21	0.21	0.87	2.48	1.07	2.68	8.0
HRH3	86.43	153.34	988.12	0.0	0.0	0.0	3.82	255.0	2.61	6.94	1.46	10.88	2.89	5.96	3.79	4.9	3.17	44.57	4.21	1.43	2.53	38.4	6.46	0.36	4.46	1.2	0.8	4.58	10.63	42.11	9.63	2.76	2.78	3.38	6.89	10.63	3.59	13.03	2.66	6.62	3.59	32.82
IGLON5	808.0	2.05	651.58	0.0	0.26	0.0	0.37	31.67	1.11	1.68	4.62	4.54	0.84	0.0	0.88	1.22	2.27	3.41	0.43	0.42	1.64	3.03	1.31	0.39	2.78	0.91	0.0	0.89	0.42	11.47	0.8	1.19	0.8	0.45	1.2	1.69	2.48	0.87	1.69	3.63	1.22	902.89
KCNC4	98.73	733.19	104.42	0.0	0.4	24.99	1.31	295.11	13.22	72.01	38.67	46.84	34.75	10.24	53.57	46.84	25.17	70.01	26.86	17.13	17.9	297.17	58.71	22.43	40.36	28.65	14.67	23.59	9.7	111.21	18.97	20.26	49.91	26.86	24.99	88.88	40.64	51.71	103.69	69.03	72.52	153.34
KCNIP3	149.12	217.27	656.11	0.0	0.64	19.11	9.27	199.85	10.47	148.09	87.03	111.99	74.58	18.56	115.97	131.51	13.93	114.36	51.35	27.84	53.57	155.5	121.79	5.73	85.22	38.95	18.43	58.3	32.59	113.56	69.52	39.79	129.69	34.26	54.72	125.24	101.54	88.26	202.66	165.57	139.07	525.39
KCNK3	82.87	872.1	389.72	0.0	0.42	10.88	28.65	764.36	2.36	307.69	58.71	423.61	55.1	30.78	153.34	309.83	6.46	114.36	34.75	22.26	43.94	87.03	50.63	8.19	53.57	45.21	13.52	39.79	108.14	40.07	123.5	13.93	185.11	25.72	441.64	154.42	63.0	59.13	152.28	624.99	275.28	193.01
KCTD17	1350.18	409.15	607.87	0.0	0.56	62.12	15.91	423.61	20.26	239.52	195.72	151.22	150.17	62.12	220.32	152.28	57.08	309.83	126.12	68.07	94.67	253.23	150.17	27.84	201.25	98.73	21.63	124.37	31.22	194.36	74.58	41.81	162.14	85.22	81.14	197.09	68.07	87.03	327.56	271.48	256.78	684.02
KIF21B	248.0	177.53	229.72	0.0	0.57	2.03	0.88	101.54	1.99	9.7	11.64	9.34	7.4	7.17	8.85	8.65	3.99	15.91	2.86	2.86	2.16	12.64	14.56	0.93	4.24	4.74	6.67	5.5	2.84	21.32	3.92	10.47	16.75	4.58	7.82	9.06	8.06	6.52	29.06	24.11	5.96	73.03
KLK2	57.89	0.62	44.57	0.0	0.17	520665.48	150561.19	65990.84	391864.76	242898.5	353168.2	280957.98	324980.94	350728.68	378516.38	269512.87	334117.42	181548.07	341137.96	378516.38	383800.28	204252.32	360589.03	341137.96	443937.41	338781.54	373305.21	419990.32	334117.42	147462.67	355624.68	437825.58	331809.5	375901.76	389157.95	365622.68	383800.28	402881.61	241220.67	263966.36	370726.6	7.06
LRRC16B	193.01	291.04	108.9	0.0	0.4	3.23	2.89	172.65	4.28	8.19	4.31	9.93	4.31	3.0	3.66	7.88	1.55	7.0	2.2	4.62	7.17	32.59	5.87	0.92	4.94	1.08	1.95	3.26	4.94	16.51	4.94	2.94	5.77	1.91	13.03	20.71	2.25	6.21	19.25	19.11	5.54	40.93
LRRC34	116.78	50.98	215.77	0.0	0.26	16.27	5.96	107.38	20.26	36.79	38.95	28.45	36.53	8.92	26.47	45.53	6.62	24.99	13.83	18.97	18.29	16.03	18.16	3.66	13.12	32.82	13.03	14.56	15.45	22.75	16.15	17.13	16.15	17.51	12.18	46.5	11.47	32.82	39.79	31.0	60.39	72.01
LRRC49	309.83	500.46	224.97	0.0	0.3	121.79	129.69	669.92	62.56	171.45	147.06	175.07	142.01	98.04	139.07	142.01	122.64	228.13	108.14	131.51	96.01	279.14	175.07	73.54	143.01	156.59	77.25	84.63	228.13	156.59	147.06	157.68	126.12	164.42	157.68	148.09	136.19	178.77	176.29	183.82	194.36	267.73
LRRN2	309.83	435.55	191.67	0.0	0.36	5.59	4.98	493.56	4.78	42.71	23.93	24.63	25.17	9.56	19.53	20.56	11.47	47.5	8.13	9.85	13.03	85.22	16.88	2.32	14.67	18.84	15.11	15.8	11.21	80.01	19.68	28.04	10.16	16.63	22.1	38.12	9.78	15.56	26.47	22.26	29.7	414.87
LY6H	954.43	57.89	2351.53	0.0	0.0	0.0	0.0	1628.26	0.0	9.41	3.66	14.56	6.31	0.0	2.25	13.32	1.48	26.86	0.97	2.84	0.0	31.9	2.66	11.82	10.96	1.89	0.0	0.0	9.63	8.25	8.92	4.94	11.04	0.0	1.71	16.27	16.15	6.16	15.56	24.99	1.77	2240.11
MAP3K12	314.17	1008.9	780.44	0.0	0.71	58.3	25.54	595.34	49.91	223.41	165.57	176.29	146.03	55.49	172.65	134.3	87.03	228.13	45.85	78.89	120.94	157.68	138.1	69.03	118.43	103.69	43.32	107.38	39.79	258.57	105.15	72.01	158.79	107.38	166.73	155.5	73.54	105.15	269.6	172.65	178.77	620.67
MAPK7	679.29	285.03	483.38	0.0	0.61	161.02	147.06	297.17	146.03	293.07	209.84	215.77	214.27	176.29	234.57	249.73	120.94	246.28	155.5	140.04	169.07	258.57	232.94	136.19	231.32	144.01	120.1	232.94	88.88	231.32	172.65	170.25	190.34	173.85	236.21	400.71	173.85	204.07	295.11	251.48	217.27	547.75
MAPK8IP1	1651.0	1167.14	669.92	0.0	0.39	239.52	323.03	3124.78	444.72	403.5	389.72	293.07	403.5	476.71	387.02	607.87	309.83	954.43	376.41	403.5	336.79	909.17	476.71	406.31	454.09	265.87	358.54	500.46	384.34	511.0	314.17	426.57	406.31	363.56	480.04	426.57	297.17	381.68	348.71	368.65	316.37	674.59
MARCH11	420.68	669.92	76.17	0.0	0.0	0.0	16.88	368.65	0.0	11.82	3.5	62.12	23.25	0.0	0.0	88.88	2.23	68.55	17.38	11.3	0.0	71.0	5.59	0.0	32.36	0.0	0.0	0.0	18.7	191.67	60.82	289.02	1.27	0.0	26.86	17.25	3.86	82.29	1.62	3.89	6.67	14.24
MEGF11	53.19	76.17	291.04	0.0	0.0	0.89	0.51	96.01	0.54	9.85	1.33	3.14	0.96	0.56	12.36	7.4	1.03	5.5	7.75	0.0	1.69	16.63	3.38	1.2	8.58	4.62	2.2	2.2	16.75	8.71	3.08	5.15	5.54	0.59	4.17	6.67	0.96	5.23	8.51	4.5	9.93	52.82
MMP24	336.79	483.38	269.6	0.0	0.06	10.96	3.96	1044.52	7.22	53.19	23.59	18.56	28.45	8.45	37.59	41.81	6.41	29.06	14.03	7.82	14.03	24.63	16.63	6.26	24.46	31.45	6.57	14.35	8.0	18.7	23.42	8.85	20.11	15.34	21.01	28.86	7.4	15.68	28.04	18.29	43.94	66.18
MPPED1	150.17	22.1	44.25	0.0	0.0	0.51	2.41	309.83	3.0	27.84	6.94	12.83	24.11	7.94	9.41	31.0	2.32	46.5	6.41	8.71	5.32	80.57	30.78	0.0	9.78	7.06	0.0	16.51	8.99	105.89	15.22	5.87	18.43	1.79	85.22	40.07	11.82	41.52	26.47	16.63	18.84	40.93
MT3	473.41	314.17	117.6	0.0	0.28	71.5	42.71	1008.9	36.27	114.36	29.7	43.02	66.18	1.71	31.22	102.25	22.59	97.36	29.48	22.26	55.49	125.24	8.99	19.97	69.52	34.75	4.39	5.68	105.15	57.89	92.7	0.0	24.11	73.03	438.59	55.49	92.05	267.73	29.91	54.33	53.95	4038.61
NAPB	246.28	450.94	389.72	0.0	0.54	76.71	75.64	406.31	124.37	138.1	147.06	134.3	112.77	88.88	126.12	100.13	85.82	108.9	66.18	101.54	122.64	104.42	146.03	77.25	74.06	73.03	117.6	112.77	93.35	136.19	115.97	100.83	119.26	119.26	167.9	154.42	115.97	114.36	145.02	117.6	171.45	133.36
NRSN2	1639.59	1561.89	1594.73	0.0	0.73	275.28	29.91	2224.63	490.14	854.13	555.41	728.11	265.87	423.61	334.46	684.02	500.46	909.17	753.83	521.76	432.53	723.08	764.36	137.14	591.22	211.31	463.65	825.0	400.71	764.36	620.67	277.2	529.06	703.28	753.83	866.07	400.71	612.11	679.29	896.64	896.64	1407.55
