	TCGA.44.2668.11A.01R.1758.07	TCGA.50.5933.11A.01R.1755.07	TCGA.44.6145.11A.01R.1858.07	TCGA.44.6147.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.11GSP.0726.SM.5986L	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2709.11A.01R.1820.07	TCGA.56.8082.11A.01R.2247.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07
BAZ1A	775.05	1605.83	775.05	1191.69	591.22	224.97	444.72	285.03	271.48	2047.0	320.8	2319.15	878.17	543.96	435.55	1369.04	379.04	412.0	1191.69	291.04	1508.65	299.25	665.29	660.68	277.2	218.79	320.8	1015.93	397.93	318.57	743.43	718.08	463.65	373.81	242.88	1051.79	507.46	567.1	356.05	669.92	486.75	642.59	780.44	429.54	281.09	303.44	234.57	703.28	299.25	514.56	368.65	909.17	320.8	291.04	403.5	172.65	414.87	190.34	540.19	371.22	896.64	336.79	295.11	336.79	669.92	480.04	1508.65	1015.93	1594.73	915.51	902.89
BCL3	4010.71	7230.1	4268.94	6652.97	3235.01	1073.91	1295.13	2209.26	934.76	7180.15	1508.65	9151.82	3491.39	2816.11	1081.39	6745.86	1733.13	1059.11	3540.14	890.44	7081.29	1081.39	5633.22	2090.03	656.11	728.11	1143.1	6699.25	555.41	1250.98	3303.0	3639.7	507.46	753.83	660.68	5913.33	1977.24	2520.38	1073.91	4512.4	2915.45	1529.73	5183.54	723.08	3146.52	1397.83	579.04	3372.43	660.68	2303.12	1167.14	3847.29	753.83	1561.89	1250.98	954.43	2855.44	612.11	1030.12	2520.38	2997.45	665.29	2520.38	1508.65	1540.37	2061.24	9540.5	6381.92	10659.59	9344.14	6121.9
C11orf96	3443.31	8598.28	5913.33	5913.33	5954.47	1651.0	1721.16	2645.74	703.28	7695.57	3060.45	22850.48	4736.79	5006.93	1709.26	18052.61	2555.58	2047.0	20881.4	1407.55	9606.86	647.07	4736.79	4123.49	571.05	563.18	1008.9	11189.6	426.57	1721.16	3665.02	10368.08	579.04	503.95	878.17	11827.67	2193.99	3018.3	1304.15	4123.49	4210.15	647.07	4575.41	684.02	5329.3	1378.57	406.31	4038.61	511.0	5366.37	1104.13	4268.94	684.02	2664.15	954.43	616.37	3901.01	563.18	753.83	3982.99	5555.65	620.67	1529.73	921.88	2303.12	2520.38	15934.98	7331.05	7485.11	7642.41	10154.69
C17orf96	57.49	75.11	75.11	102.97	74.58	28.65	22.1	36.01	46.18	99.43	44.89	74.58	202.66	73.03	67.12	195.72	16.27	36.53	44.89	25.35	127.0	26.67	99.43	45.21	20.71	14.35	24.63	83.45	19.97	40.64	44.57	112.77	16.88	9.85	9.63	62.56	28.65	49.91	16.39	77.25	24.81	74.58	116.78	40.64	55.49	21.94	35.0	182.55	17.0	15.22	21.16	40.64	28.24	27.84	13.12	21.94	26.28	15.11	31.45	50.27	26.28	18.43	22.59	19.68	38.95	77.25	120.1	53.57	138.1	115.16	81.71
C9orf89	1096.5	738.29	921.88	1183.45	587.13	447.82	688.78	624.99	660.68	2777.33	612.11	2133.97	1008.9	642.59	1023.0	1832.01	490.14	642.59	1037.29	718.08	1883.54	612.11	1127.35	974.5	470.14	403.5	426.57	1143.1	497.0	551.56	890.44	1225.22	503.95	713.11	490.14	1685.71	961.07	579.04	551.56	1359.57	647.07	1529.73	579.04	429.54	775.05	607.87	708.18	1044.52	647.07	775.05	780.44	1008.9	669.92	830.75	791.35	819.3	866.07	507.46	587.13	476.71	1023.0	486.75	638.15	656.11	567.1	607.87	1605.83	1407.55	1286.18	1059.11	884.29
CCL11	103.69	318.57	98.04	199.85	132.44	8.25	16.03	194.36	14.56	616.37	7.63	2664.15	31.22	26.28	8.25	348.71	58.3	9.48	193.01	30.12	688.78	10.55	351.14	217.27	15.56	13.62	3.76	339.14	5.11	21.16	214.27	152.28	9.41	28.04	5.63	555.41	40.64	220.32	32.36	148.09	30.12	44.25	743.43	16.03	22.75	7.28	3.79	387.02	13.22	29.06	11.04	525.39	15.45	19.82	15.22	16.39	12.45	15.91	10.71	52.45	260.38	62.12	22.26	7.63	33.78	260.38	808.0	215.77	1313.23	368.65	379.04
CCL2	10014.87	36864.92	24660.96	38966.94	11345.82	1015.93	7180.15	13968.57	1819.35	25887.07	1233.75	102836.01	4802.93	5441.3	1295.13	28923.41	6699.25	2777.33	17437.64	775.05	33688.23	688.78	35363.15	7230.1	2434.5	1051.79	1051.79	48982.22	529.06	5112.16	17078.76	7803.01	3081.75	884.29	713.11	22850.48	1950.0	18431.96	1819.35	5711.87	8658.09	2468.49	31432.17	836.53	4607.24	2739.08	514.56	26248.46	921.88	8598.28	2664.15	20030.74	872.1	3614.55	1857.6	1104.13	836.53	1001.93	1111.82	13399.51	6381.92	1909.85	4869.99	3982.99	2178.83	10733.74	44761.41	77396.54	110983.6	67377.47	68318.04
CDC37	5041.77	3564.78	4450.27	6699.25	3060.45	3039.3	2956.17	4268.94	3280.18	8840.04	2555.58	9279.58	5006.93	3742.05	2255.7	9409.14	2997.45	2997.45	6207.38	4419.52	9808.75	2855.44	6250.56	3901.01	2255.7	2855.44	2520.38	7642.41	3039.3	3124.78	3901.01	4937.99	1963.57	3614.55	3257.52	4769.75	3794.3	3716.2	3081.75	5913.33	3349.13	3443.31	7081.29	3039.3	3325.99	2796.65	3639.7	5995.9	2555.58	4010.71	3060.45	4903.87	3039.3	3515.68	3039.3	2935.74	3665.02	2591.27	3190.46	2303.12	3742.05	2855.44	3467.27	3081.75	2351.53	3564.78	7485.11	3794.3	5112.16	4903.87	4704.07
CHSY1	921.88	1583.71	1081.39	1295.13	1135.2	361.04	521.76	518.15	547.75	1487.87	503.95	1572.76	1447.15	759.08	275.28	1088.92	262.2	299.25	1529.73	289.02	1844.76	400.71	1340.84	490.14	299.25	309.83	409.15	1870.53	384.34	633.73	884.29	759.08	295.11	214.27	218.79	2664.15	271.48	1023.0	368.65	624.99	571.05	454.09	1628.26	426.57	607.87	353.59	291.04	1388.16	265.87	429.54	379.04	796.86	285.03	432.53	303.44	291.04	327.56	309.83	363.56	587.13	1674.06	208.38	363.56	341.51	718.08	836.53	1617.0	1498.22	1617.0	1745.2	1540.37
CNKSR3	718.08	684.02	518.15	974.5	234.57	98.04	183.82	158.79	119.26	587.13	183.82	1096.5	575.03	190.34	140.04	642.59	143.01	138.1	435.55	81.14	647.07	103.69	1127.35	314.17	166.73	98.73	169.07	612.11	141.02	106.63	244.57	728.11	198.47	83.45	135.24	733.19	191.67	236.21	79.45	397.93	743.43	186.4	343.89	154.42	111.99	153.34	149.12	575.03	162.14	194.36	152.28	450.94	93.35	187.71	143.01	132.44	209.84	76.17	130.6	332.14	473.41	123.5	153.34	100.83	140.04	242.88	928.3	529.06	808.0	1277.29	1151.06
CRISPLD2	2255.7	3665.02	3928.15	3874.05	2224.63	860.08	1159.07	1225.22	1151.06	3794.3	769.69	5555.65	2351.53	1119.56	1023.0	3419.52	120.94	785.88	2240.11	339.14	2485.67	995.0	2816.11	941.27	532.74	1313.23	629.35	2119.22	921.88	2004.85	1277.29	1745.2	743.43	490.14	723.08	6887.62	473.41	1832.01	921.88	2271.4	3018.3	967.76	1832.01	1551.09	1143.1	543.96	665.29	1674.06	480.04	267.73	693.58	733.19	759.08	830.75	813.63	791.35	872.1	1844.76	583.07	1208.34	2915.45	743.43	267.73	708.18	974.5	1651.0	2502.97	2287.2	5479.15	4937.99	3491.39
CSF3	1628.26	29124.6	2075.59	3018.3	2976.74	119.26	325.29	2287.2	102.97	39237.98	808.0	63742.91	1721.16	5112.16	83.45	36357.37	214.27	277.2	4671.57	204.07	20310.37	190.34	39510.91	551.56	178.77	34.51	262.2	3716.2	142.01	170.25	4802.93	14867.79	62.56	125.24	59.55	3540.14	151.22	1359.57	571.05	1037.29	2555.58	387.02	10808.41	55.1	759.08	470.14	131.51	5872.48	226.54	1225.22	199.85	2133.97	56.28	473.41	187.71	74.58	5255.91	109.66	202.66	246.28	1950.0	149.12	193.01	185.11	503.95	1769.57	36357.37	12160.22	17558.94	10014.87	11745.96
DDX21	1467.37	2319.15	1350.18	2915.45	1909.85	483.38	825.0	1322.37	785.88	2384.37	638.15	1963.57	2400.97	941.27	571.05	1508.65	540.19	447.82	2224.63	470.14	1697.45	514.56	2255.7	1447.15	665.29	486.75	738.29	1427.22	555.41	848.22	1447.15	1397.83	780.44	389.72	511.0	1427.22	518.15	1350.18	688.78	1268.46	1250.98	587.13	2835.7	660.68	988.12	595.34	476.71	2468.49	612.11	647.07	713.11	1225.22	444.72	703.28	934.76	412.0	466.88	500.46	551.56	785.88	2004.85	529.06	476.71	728.11	1037.29	2133.97	988.12	1498.22	2682.69	1896.65	2796.65
EIF4A1	19618.49	18052.61	14971.21	21172.91	18304.63	7695.57	11827.67	17558.94	9808.75	21768.19	8718.32	24153.43	18819.27	11267.44	7857.29	21768.19	9606.86	9945.68	25354.3	9151.82	21172.91	8901.53	25887.07	16157.44	8901.53	10440.2	8963.45	20451.65	10296.45	11664.82	13968.57	15607.02	9540.5	7857.29	7485.11	13306.94	10296.45	14971.21	10154.69	16611.71	13492.72	8840.04	31432.17	10154.69	12676.65	7537.18	7911.95	23009.42	7857.29	12329.98	9945.68	16727.26	9088.59	10959.3	13033.07	10585.95	9279.58	8479.89	7331.05	9808.75	18178.19	9474.59	11345.82	10733.74	12589.08	19214.73	15715.58	23492.92	22535.88	21026.65	23820.89
ELL	450.94	490.14	387.02	842.36	384.34	171.45	163.28	215.77	185.11	748.61	217.27	633.73	381.68	193.01	149.12	406.31	150.17	209.84	665.29	166.73	728.11	212.78	343.89	368.65	145.02	142.01	186.4	493.56	201.25	157.68	295.11	269.6	130.6	156.59	172.65	503.95	204.07	253.23	173.85	312.0	314.17	208.38	329.84	157.68	226.54	182.55	181.28	325.29	201.25	237.86	195.72	256.78	194.36	208.38	175.07	132.44	262.2	159.9	182.55	183.82	269.6	167.9	183.82	205.5	201.25	279.14	361.04	454.09	909.17	620.67	591.22
EPT1	124.37	139.07	110.43	133.36	149.12	50.27	75.64	131.51	85.22	307.69	88.26	202.66	356.05	72.01	48.18	199.85	48.87	72.52	212.78	58.71	220.32	72.01	387.02	127.89	73.54	54.72	77.79	113.56	72.52	67.12	138.1	211.31	163.28	60.82	58.3	185.11	135.24	169.07	85.82	312.0	117.6	237.86	218.79	102.97	53.57	56.68	70.51	463.65	82.29	84.63	98.04	403.5	103.69	58.71	60.82	62.56	78.34	65.26	90.14	55.1	825.0	52.45	39.5	162.14	127.89	182.55	182.55	133.36	115.97	126.12	155.5
ETS2	4010.71	10883.59	5255.91	8247.98	6381.92	2935.74	2627.46	3039.3	3820.7	20881.4	4388.98	24153.43	12764.83	6426.31	2004.85	9409.14	2485.67	2163.77	12076.21	1757.34	13681.08	2224.63	8778.97	3419.52	1662.49	1794.29	2240.11	8247.98	1519.15	2240.11	4836.35	6887.62	1963.57	1745.2	1781.89	7537.18	2997.45	3491.39	3515.68	8022.41	4210.15	4268.94	7433.4	2148.82	3982.99	2520.38	2319.15	8022.41	1857.6	4268.94	3103.19	5041.77	1757.34	2148.82	3349.13	1572.76	4736.79	1685.71	1963.57	3614.55	8022.41	2061.24	3212.66	2591.27	5517.27	4869.99	16383.0	6652.97	8658.09	8658.09	6207.38
FOSL1	1427.22	2351.53	1119.56	5872.48	3955.48	32.36	511.0	1388.16	78.34	1832.01	260.38	2645.74	718.08	974.5	71.5	1991.0	78.34	100.83	2915.45	55.89	860.08	51.71	921.88	2417.67	80.01	93.35	63.45	7911.95	35.0	476.71	1359.57	1397.83	163.28	36.53	36.53	764.36	72.52	896.64	45.53	220.32	497.0	17.51	1639.59	57.49	684.02	84.04	18.03	1313.23	55.1	426.57	224.97	371.22	25.72	318.57	260.38	59.13	169.07	43.94	70.51	353.59	854.13	55.1	356.05	156.59	309.83	2367.9	1151.06	2855.44	7331.05	3103.19	3901.01
GABPB1	332.14	551.56	348.71	612.11	435.55	167.9	285.03	316.37	281.09	723.08	220.32	703.28	551.56	237.86	134.3	559.28	249.73	155.5	587.13	211.31	563.18	142.01	503.95	376.41	205.5	138.1	285.03	457.25	181.28	209.84	303.44	450.94	273.37	152.28	163.28	432.53	215.77	346.29	187.71	334.46	289.02	320.8	497.0	175.07	231.32	167.9	187.71	529.06	237.86	241.19	199.85	412.0	166.73	202.66	190.34	164.42	202.66	165.57	212.78	244.57	429.54	183.82	202.66	163.28	262.2	463.65	483.38	540.19	612.11	389.72	486.75
GADD45A	928.3	3212.66	1551.09	4704.07	708.18	684.02	703.28	1073.91	325.29	3614.55	457.25	4328.55	1175.27	1030.12	647.07	3614.55	209.84	642.59	3589.58	521.76	3081.75	236.21	1551.09	902.89	289.02	376.41	476.71	5076.84	353.59	525.39	941.27	2502.97	343.89	343.89	591.22	3257.52	406.31	1104.13	348.71	1639.59	1685.71	441.64	2047.0	414.87	769.69	387.02	500.46	1781.89	327.56	1277.29	547.75	1605.83	423.61	651.58	376.41	466.88	429.54	291.04	555.41	718.08	2240.11	500.46	301.33	339.14	454.09	1111.82	3589.58	2758.13	4181.07	2915.45	2303.12
GFPT2	928.3	1225.22	764.36	1447.15	848.22	124.37	403.5	312.0	145.02	1051.79	88.26	2417.67	1388.16	373.81	110.43	1628.26	34.26	183.82	1540.37	58.3	941.27	101.54	480.04	457.25	106.63	109.66	122.64	1572.76	147.06	802.41	403.5	733.19	155.5	72.52	76.71	1397.83	251.48	403.5	102.97	665.29	500.46	587.13	599.49	155.5	283.05	86.43	63.45	1104.13	125.24	107.38	205.5	339.14	94.67	220.32	211.31	180.02	134.3	120.1	103.69	208.38	603.67	105.15	57.49	119.26	392.44	703.28	376.41	753.83	1628.26	1427.22	1844.76
GJA1	2875.3	5791.62	3901.01	6561.36	20737.16	1250.98	2664.15	2997.45	1096.5	27745.15	4298.64	17197.56	19214.73	11424.74	483.38	3515.68	1617.0	1359.57	31432.17	941.27	24490.61	435.55	23820.89	7749.1	1397.83	1096.5	3325.99	17681.08	1936.53	1183.45	9025.81	8363.13	4095.0	819.3	981.29	12160.22	1477.58	7433.4	981.29	8363.13	5255.91	3768.09	32767.0	902.89	2351.53	1896.65	2335.28	36106.23	2018.8	1709.26	2075.59	6516.03	1277.29	2090.03	2400.97	1745.2	511.0	1745.2	1143.1	11345.82	16496.96	493.56	1378.57	1477.58	5329.3	18819.27	6935.54	5555.65	5366.37	5711.87	4481.23
GNA15	878.17	796.86	642.59	514.56	688.78	486.75	397.93	579.04	206.94	1794.29	316.37	620.67	775.05	486.75	153.34	1923.14	503.95	638.15	703.28	218.79	620.67	579.04	1883.54	693.58	358.54	224.97	343.89	1304.15	138.1	260.38	1487.87	703.28	149.12	303.44	228.13	500.46	587.13	559.28	529.06	486.75	450.94	417.77	660.68	353.59	346.29	332.14	172.65	915.51	221.86	591.22	493.56	764.36	189.02	373.81	575.03	395.18	366.09	244.57	320.8	201.25	878.17	248.0	490.14	265.87	616.37	748.61	954.43	921.88	825.0	884.29	842.36
HAS2	202.66	571.05	409.15	536.45	320.8	7.34	232.94	486.75	28.65	279.14	13.62	1857.6	49.56	145.02	18.29	281.09	27.05	86.43	493.56	6.89	595.34	13.03	277.2	72.01	44.89	108.14	14.78	1119.56	24.99	363.56	80.01	45.85	35.76	18.29	62.56	507.46	19.11	738.29	51.71	21.01	283.05	35.76	414.87	63.45	99.43	17.25	18.29	88.26	43.63	199.85	29.48	85.82	32.59	44.57	25.54	77.79	19.39	108.14	30.12	120.94	95.34	37.32	151.22	16.15	31.22	86.43	169.07	674.59	902.89	1008.9	490.14
