	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8T8.2226.SM.3DB95	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.111CU.0326.SM.5GZXO	GTEX.13O61.0726.SM.5J2MD	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13YAN.1026.SM.5O9CF	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11WQK.1226.SM.5GU5Z	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1
AP4M1	0.0	0.31	373.81	571.05	395.18	1023.0	218.79	559.28	540.19	194.36	429.54	813.63	656.11	679.29	669.92	759.08	163.28	273.37	518.15	447.82	264.03	607.87	587.13	486.75	607.87	186.4	277.2	543.96	460.44	221.86	583.07	708.18	497.0	511.0	447.82	543.96	583.07	575.03	934.76	312.0	954.43	397.93	647.07	327.56	334.46	599.49	595.34	356.05	480.04	819.3	480.04	486.75	323.03	896.64	802.41	759.08	409.15	470.14	514.56	409.15	392.44	181.28	473.41	139.07
ARHGEF33	0.0	0.35	67.12	17.13	4.43	281.09	17.25	50.63	7.69	3.11	16.51	52.45	15.56	35.5	55.49	26.67	3.14	13.42	21.94	76.71	0.0	14.67	74.06	3.63	36.79	4.78	7.57	31.22	10.71	2.01	49.21	31.45	19.53	22.92	4.82	18.43	49.91	26.1	37.85	3.76	195.72	4.21	14.67	2.68	55.1	32.13	11.91	7.94	119.26	52.82	18.97	9.34	3.76	11.04	94.01	40.07	1.38	13.83	8.71	20.11	5.92	4.98	7.94	27.64
ARL6	0.0	0.04	229.72	122.64	170.25	603.67	220.32	209.84	205.5	49.21	283.05	348.71	287.01	209.84	303.44	384.34	78.34	123.5	242.88	258.57	51.35	197.09	395.18	161.02	158.79	83.45	120.94	234.57	249.73	47.17	132.44	262.2	140.04	358.54	78.89	327.56	273.37	190.34	299.25	135.24	543.96	80.57	180.02	106.63	316.37	256.78	186.4	332.14	314.17	336.79	181.28	214.27	108.9	234.57	490.14	271.48	194.36	260.38	209.84	182.55	96.01	127.0	130.6	68.55
ARSD	299.25	194.36	166.73	529.06	559.28	1044.52	429.54	872.1	1030.12	190.34	860.08	373.81	848.22	660.68	647.07	679.29	178.77	356.05	271.48	267.73	202.66	738.29	679.29	616.37	1037.29	612.11	463.65	703.28	1733.13	435.55	490.14	1268.46	624.99	723.08	684.02	1023.0	1662.49	497.0	1030.12	450.94	1286.18	571.05	620.67	1769.57	473.41	521.76	1572.76	813.63	341.51	1437.15	1417.35	764.36	71.5	825.0	934.76	2303.12	967.76	607.87	1583.71	301.33	248.0	45.85	688.78	85.22
ATPIF1	0.0	0.65	7537.18	2451.44	11424.74	19892.37	4802.93	7382.04	7382.04	2573.36	6840.04	5219.6	8538.88	6207.38	8191.0	7382.04	1963.57	2537.92	5913.33	6037.61	2303.12	5555.65	8658.09	4038.61	7382.04	1977.24	3955.48	5751.61	3395.89	3564.78	6037.61	8778.97	6561.36	5006.93	3060.45	7537.18	6983.79	7130.55	14971.21	1331.57	17317.18	3614.55	3589.58	5403.7	12329.98	7280.4	6935.54	14461.21	6516.03	8022.41	6250.56	3443.31	1313.23	4481.23	8778.97	10733.74	5831.91	3901.01	6745.86	2209.26	2997.45	2758.13	2255.7	2609.3
BAD	0.0	0.73	2485.67	2133.97	2434.5	3874.05	718.08	2004.85	3982.99	1175.27	2119.22	1540.37	2335.28	2018.8	3212.66	3768.09	995.0	1044.52	1639.59	2468.49	830.75	2434.5	2645.74	1583.71	1963.57	723.08	1477.58	1757.34	1008.9	1259.69	1733.13	2255.7	1721.16	1508.65	1721.16	2796.65	2468.49	2271.4	3190.46	647.07	5366.37	1757.34	1583.71	2367.9	2555.58	2287.2	2645.74	1733.13	2645.74	2018.8	2104.58	1685.71	1277.29	1417.35	2739.08	1572.76	1674.06	1508.65	1977.24	1883.54	1295.13	1529.73	1081.39	1127.35
BAIAP3	0.0	0.39	497.0	90.77	226.54	2090.03	397.93	540.19	65.72	19.25	202.66	896.64	819.3	693.58	1104.13	400.71	78.89	182.55	490.14	435.55	28.24	145.02	575.03	228.13	769.69	57.08	119.26	209.84	199.85	39.79	981.29	743.43	373.81	525.39	143.01	316.37	241.19	389.72	1540.37	48.87	2224.63	39.79	110.43	438.59	723.08	450.94	395.18	1697.45	1457.23	775.05	273.37	120.94	60.82	1127.35	346.29	384.34	392.44	218.79	229.72	201.25	72.01	71.0	63.89	102.25
BBS9	0.0	0.09	167.9	88.26	214.27	438.59	204.07	423.61	100.83	76.17	152.28	218.79	208.38	371.22	325.29	309.83	101.54	96.01	169.07	269.6	73.54	123.5	460.44	113.56	157.68	279.14	159.9	223.41	150.17	134.3	291.04	152.28	123.5	251.48	121.79	208.38	159.9	253.23	181.28	43.94	551.56	85.82	123.5	102.25	325.29	289.02	251.48	262.2	384.34	175.07	117.6	128.79	122.64	368.65	339.14	155.5	142.01	147.06	120.1	202.66	122.64	117.6	173.85	67.12
BCAS3	0.0	0.41	441.64	190.34	688.78	1561.89	454.09	511.0	543.96	271.48	444.72	713.11	780.44	878.17	1015.93	1088.92	363.56	249.73	336.79	275.28	198.47	438.59	954.43	231.32	764.36	490.14	733.19	514.56	323.03	476.71	1199.98	656.11	579.04	389.72	265.87	587.13	567.1	967.76	878.17	217.27	1250.98	214.27	351.14	473.41	669.92	450.94	532.74	808.0	947.83	1111.82	353.59	368.65	149.12	1159.07	830.75	775.05	366.09	157.68	532.74	205.5	420.68	316.37	486.75	281.09
BCO2	0.0	0.4	218.79	47.17	135.24	1088.92	159.9	277.2	81.71	32.13	158.79	232.94	193.01	111.21	379.04	169.07	130.6	78.89	131.51	536.45	9.34	113.56	309.83	116.78	241.19	24.11	31.9	141.02	77.79	37.32	269.6	175.07	158.79	214.27	50.98	104.42	134.3	147.06	351.14	44.25	825.0	27.05	162.14	99.43	514.56	159.9	169.07	279.14	470.14	346.29	135.24	50.98	52.82	490.14	529.06	242.88	70.01	105.89	133.36	50.98	33.54	55.49	84.04	33.3
C10orf107	0.0	0.0	137.14	190.34	532.74	1909.85	490.14	629.35	403.5	70.01	366.09	842.36	848.22	253.23	511.0	438.59	63.89	241.19	379.04	118.43	3.86	224.97	540.19	218.79	543.96	54.33	90.77	334.46	368.65	22.1	389.72	571.05	249.73	536.45	60.39	454.09	693.58	291.04	995.0	87.03	1583.71	71.5	107.38	120.1	728.11	346.29	339.14	2163.77	454.09	1304.15	237.86	246.28	5.73	698.41	928.3	941.27	438.59	214.27	318.57	73.54	49.21	16.63	127.0	51.71
C10orf95	0.0	0.04	106.63	277.2	371.22	1242.34	142.01	218.79	285.03	22.43	323.03	307.69	961.07	120.94	432.53	267.73	19.11	193.01	368.65	125.24	42.41	218.79	108.9	265.87	373.81	37.85	88.88	140.04	220.32	28.04	291.04	612.11	277.2	249.73	161.02	457.25	320.8	149.12	902.89	64.34	813.63	127.89	177.53	237.86	361.04	361.04	559.28	1167.14	343.89	525.39	223.41	124.37	28.45	348.71	616.37	813.63	314.17	204.07	356.05	90.14	23.08	7.46	75.11	41.22
C11orf74	0.0	0.07	928.3	423.61	679.29	2004.85	346.29	785.88	684.02	74.58	638.15	674.59	836.53	738.29	780.44	620.67	194.36	262.2	343.89	708.18	206.94	483.38	988.12	529.06	688.78	146.03	301.33	595.34	633.73	178.77	409.15	665.29	417.77	791.35	387.02	723.08	665.29	559.28	1023.0	147.06	1709.26	229.72	536.45	532.74	1159.07	866.07	490.14	1277.29	688.78	954.43	540.19	473.41	318.57	656.11	1119.56	1001.93	703.28	728.11	651.58	400.71	273.37	110.43	379.04	105.89
C12orf75	12943.04	470.14	1242.34	320.8	1447.15	4181.07	1437.15	1594.73	813.63	348.71	743.43	1051.79	1127.35	1135.2	1781.89	1073.91	460.44	633.73	693.58	2271.4	43.02	460.44	1819.35	995.0	1662.49	587.13	579.04	1023.0	1135.2	309.83	1135.2	1008.9	738.29	1477.58	264.03	2609.3	1199.98	438.59	2163.77	368.65	3874.05	287.01	703.28	500.46	2351.53	1417.35	1127.35	2555.58	2664.15	2271.4	825.0	603.67	99.43	1216.75	2018.8	2758.13	813.63	723.08	356.05	293.07	447.82	204.07	603.67	329.84
C17orf72	0.0	0.25	366.09	358.54	1059.11	4937.99	1191.69	1259.69	309.83	162.14	486.75	1104.13	1350.18	381.68	2090.03	947.83	229.72	529.06	2104.58	947.83	107.38	529.06	728.11	301.33	1388.16	297.17	285.03	476.71	285.03	153.34	1127.35	830.75	624.99	860.08	221.86	1159.07	529.06	583.07	3060.45	346.29	4268.94	155.5	234.57	718.08	1769.57	884.29	759.08	1909.85	2555.58	1794.29	559.28	217.27	131.51	1896.65	1617.0	1628.26	260.38	267.73	503.95	314.17	178.77	143.01	246.28	358.54
C19orf44	0.0	0.13	115.97	85.22	121.79	262.2	28.24	100.13	119.26	51.71	147.06	130.6	148.09	145.02	96.01	105.15	26.1	47.5	90.77	152.28	105.89	121.79	175.07	67.12	205.5	63.45	57.49	172.65	88.26	52.82	90.77	182.55	87.03	147.06	80.01	138.1	155.5	110.43	214.27	59.55	289.02	82.29	134.3	140.04	123.5	131.51	111.21	86.43	69.03	170.25	128.79	114.36	68.55	136.19	211.31	108.9	65.72	112.77	139.07	118.43	117.6	52.08	94.01	67.12
C21orf58	66.18	1066.48	145.02	134.3	260.38	921.88	110.43	269.6	162.14	24.99	251.48	457.25	417.77	185.11	441.64	285.03	45.21	157.68	297.17	195.72	17.38	177.53	217.27	201.25	423.61	32.36	107.38	199.85	180.02	40.07	339.14	450.94	199.85	318.57	97.36	320.8	291.04	221.86	743.43	70.01	743.43	58.71	128.79	198.47	348.71	291.04	307.69	507.46	387.02	633.73	258.57	152.28	44.89	371.22	438.59	567.1	109.66	158.79	201.25	142.01	109.66	16.75	65.72	49.21
C2ORF15	0.0	0.0	10.24	40.64	43.32	83.45	26.28	29.91	32.82	6.41	70.01	36.01	75.64	34.51	31.9	45.53	32.59	48.52	43.02	44.89	23.59	57.08	50.63	81.14	93.35	31.0	28.65	73.54	75.64	7.88	34.26	86.43	44.25	19.82	69.52	100.83	71.5	43.02	127.0	36.01	45.53	68.07	47.17	45.21	31.22	44.25	64.8	63.0	32.82	62.12	75.11	39.79	7.75	51.71	67.12	125.24	70.51	72.52	60.82	46.84	14.14	9.2	72.52	17.77
C3orf18	0.0	0.18	176.29	84.04	105.89	414.87	34.75	244.57	163.28	47.17	201.25	66.65	221.86	289.02	202.66	466.88	31.67	21.47	40.36	177.53	51.71	167.9	325.29	99.43	320.8	65.26	131.51	305.55	95.34	58.71	161.02	275.28	77.25	180.02	153.34	248.0	236.21	142.01	281.09	45.21	493.56	90.14	148.09	182.55	113.56	206.94	208.38	65.26	119.26	262.2	189.02	249.73	55.49	256.78	145.02	229.72	119.26	100.83	205.5	70.51	122.64	27.64	134.3	16.75
C4orf47	0.0	0.0	167.9	195.72	201.25	848.22	307.69	289.02	147.06	16.03	208.38	305.55	426.57	244.57	303.44	273.37	16.63	176.29	156.59	217.27	31.0	133.36	327.56	169.07	231.32	49.21	47.84	126.12	232.94	9.34	221.86	348.71	249.73	346.29	116.78	320.8	271.48	164.42	743.43	112.77	813.63	59.13	193.01	166.73	406.31	275.28	264.03	507.46	295.11	480.04	267.73	157.68	4.35	320.8	486.75	409.15	185.11	249.73	244.57	147.06	59.13	18.03	116.78	59.55
C5orf55	0.0	0.13	19.82	82.29	101.54	112.77	21.47	63.89	55.89	49.91	94.67	75.64	169.07	86.43	75.11	117.6	21.47	32.82	65.26	57.89	67.59	63.0	99.43	87.03	85.22	36.01	48.52	161.02	96.68	33.78	50.98	152.28	52.82	62.56	68.07	113.56	106.63	67.12	191.67	42.11	193.01	55.49	75.11	94.01	63.0	105.89	97.36	114.36	45.85	177.53	81.71	85.82	24.81	70.01	121.79	76.17	130.6	51.35	135.24	18.56	46.5	17.13	49.21	14.56
C9orf43	0.0	0.04	15.11	7.4	17.64	44.25	14.03	26.47	11.04	7.22	15.68	16.39	21.32	18.97	17.64	15.11	5.02	7.69	14.89	10.47	3.76	15.22	16.27	13.93	16.27	7.4	7.75	14.03	8.78	3.63	16.03	33.78	12.18	18.7	5.96	12.45	18.03	14.78	43.94	4.17	46.84	4.9	5.28	20.71	30.12	14.45	10.55	19.11	24.28	22.43	15.68	6.94	0.92	16.75	29.91	18.97	14.14	7.34	20.26	1.97	2.29	7.06	3.69	3.63
CASC10	0.0	0.03	62.56	11.82	24.63	152.28	12.36	38.67	29.06	3.38	51.71	36.27	35.0	30.78	57.08	54.72	3.56	8.19	15.22	55.89	7.51	11.47	66.65	21.47	30.56	6.06	9.41	29.7	23.25	4.98	39.22	47.5	15.91	25.72	23.25	27.25	21.63	22.75	80.01	10.88	145.02	4.54	18.97	24.28	64.8	47.5	43.63	47.84	84.04	55.1	25.91	32.36	1.48	41.22	69.03	38.67	20.26	26.28	19.25	6.01	9.63	11.91	12.55	2.01
CBY1	0.0	0.34	1001.93	902.89	1208.34	3639.7	368.65	1015.93	1388.16	316.37	1175.27	1685.71	1639.59	1508.65	1369.04	1733.13	412.0	454.09	825.0	866.07	341.51	890.44	1651.0	753.83	1417.35	299.25	890.44	1242.34	743.43	579.04	1023.0	1295.13	915.51	1216.75	802.41	1295.13	1397.83	1369.04	2047.0	400.71	2537.92	642.59	1111.82	995.0	1225.22	1250.98	1088.92	1191.69	1037.29	2209.26	1242.34	1081.39	256.78	1561.89	1936.53	1487.87	1015.93	934.76	954.43	819.3	656.11	260.38	836.53	366.09
CC2D2A	0.0	0.0	603.67	432.53	791.35	2004.85	493.56	693.58	543.96	173.85	591.22	974.5	954.43	688.78	947.83	860.08	237.86	336.79	423.61	651.58	135.24	447.82	748.61	595.34	954.43	249.73	224.97	567.1	808.0	123.5	743.43	753.83	633.73	836.53	363.56	848.22	718.08	521.76	1313.23	208.38	1477.58	273.37	470.14	473.41	1096.5	909.17	802.41	1388.16	961.07	1437.15	540.19	583.07	62.56	915.51	1143.1	1199.98	511.0	473.41	660.68	187.71	110.43	87.65	325.29	145.02
CCDC104	0.0	0.78	1896.65	785.88	1923.14	4543.8	1427.22	1407.55	1519.15	988.12	1059.11	2335.28	1572.76	1457.23	1883.54	1250.98	1127.35	1388.16	1183.45	1369.04	483.38	1340.84	2224.63	802.41	1529.73	1104.13	1037.29	1594.73	1685.71	896.64	2163.77	1857.6	1250.98	1674.06	493.56	1233.75	1769.57	1733.13	2193.99	836.53	4038.61	915.51	1037.29	1225.22	2075.59	1242.34	1313.23	2255.7	1551.09	2193.99	1295.13	808.0	808.0	2004.85	2537.92	2148.82	1437.15	1583.71	1331.57	1313.23	1151.06	738.29	819.3	1167.14
CCDC11	0.0	0.0	215.77	120.1	358.54	1119.56	149.12	320.8	237.86	14.14	303.44	395.18	403.5	223.41	275.28	267.73	29.7	159.9	224.97	305.55	11.47	153.34	295.11	205.5	463.65	43.02	66.18	185.11	291.04	14.67	329.84	493.56	271.48	403.5	62.56	329.84	277.2	211.31	819.3	36.79	791.35	38.4	135.24	175.07	665.29	371.22	389.72	928.3	379.04	575.03	218.79	133.36	17.51	387.02	656.11	595.34	194.36	186.4	281.09	135.24	36.53	25.72	72.01	63.45
CCDC153	0.0	0.0	221.86	271.48	688.78	2193.99	435.55	595.34	244.57	49.91	379.04	514.56	759.08	368.65	738.29	343.89	46.5	264.03	579.04	423.61	36.79	265.87	444.72	279.14	507.46	68.07	108.14	287.01	214.27	49.56	397.93	708.18	339.14	381.68	150.17	595.34	575.03	343.89	1651.0	89.51	1437.15	85.82	264.03	392.44	915.51	591.22	563.18	1104.13	1023.0	878.17	417.77	217.27	10.39	808.0	954.43	974.5	379.04	293.07	463.65	146.03	55.49	63.0	70.01	69.03
CCDC17	0.0	0.17	543.96	414.87	896.64	4736.79	1378.57	995.0	358.54	92.7	518.15	1594.73	1674.06	684.02	1457.23	656.11	68.07	403.5	1388.16	1088.92	30.12	414.87	819.3	400.71	902.89	93.35	117.6	429.54	392.44	30.34	848.22	1001.93	713.11	974.5	289.02	848.22	764.36	486.75	2400.97	122.64	3443.31	121.79	327.56	555.41	2004.85	854.13	981.29	2004.85	2335.28	1909.85	417.77	236.21	50.63	1508.65	2303.12	1151.06	540.19	376.41	679.29	356.05	114.36	74.06	115.97	205.5
CCDC24	0.0	0.16	265.87	264.03	432.53	1697.45	343.89	656.11	277.2	102.97	384.34	567.1	836.53	447.82	884.29	599.49	87.03	273.37	540.19	559.28	80.57	379.04	463.65	312.0	629.35	101.54	144.01	214.27	348.71	124.37	470.14	603.67	343.89	503.95	327.56	497.0	454.09	289.02	1447.15	112.77	1628.26	121.79	281.09	392.44	796.86	532.74	529.06	759.08	738.29	896.64	426.57	249.73	100.13	759.08	1037.29	708.18	318.57	301.33	438.59	220.32	156.59	57.89	154.42	169.07
CCDC34	0.0	0.02	138.1	76.17	130.6	417.77	38.67	154.42	77.79	8.25	133.36	141.02	111.21	150.17	106.63	100.83	44.89	109.66	94.67	163.28	14.35	66.18	246.28	147.06	129.69	35.5	43.02	101.54	218.79	29.91	98.73	92.05	73.03	58.3	86.43	156.59	106.63	97.36	299.25	56.28	307.69	31.67	35.25	77.79	258.57	320.8	121.79	173.85	140.04	255.0	100.83	49.21	32.36	189.02	234.57	221.86	162.14	177.53	69.52	155.5	78.34	28.24	61.25	32.59
