	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.WRHU.0326.SM.3MJFY	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13OVG.1426.SM.5K7VP	TCGA.44.6147.01A.11R.1755.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.X5EB.0426.SM.46MVY	GTEX.XMD2.1026.SM.4WWE8	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	TCGA.56.8628.01A.11R.2403.07
C14orf132	146.03	813.63	221.86	217.27	155.5	144.01	67.12	81.71	228.13	59.55	122.64	158.79	139.07	228.13	132.44	169.07	135.24	185.11	131.51	209.84	130.6	90.14	63.45	139.07	191.67	406.31	206.94	190.34	12.93	33.54	9.34	50.98	51.35	50.63	283.05	348.71	248.0	872.1	571.05	909.17	121.79	176.29
C16orf98	44.25	15.45	4.98	2.1	36.01	4.46	0.43	2.78	4.28	0.0	10.47	8.13	5.36	4.66	7.88	3.96	0.0	18.43	1.75	8.71	5.02	3.96	4.17	5.73	11.3	13.42	17.51	3.53	1.35	2.07	9.7	8.78	0.0	17.38	8.25	6.67	10.39	14.45	32.13	35.25	25.35	17.77
C19orf45	66.18	41.52	2.61	0.0	6.78	2.51	1.33	4.9	1.62	1.62	0.0	7.69	4.39	2.66	3.69	5.23	2.48	16.63	2.71	6.31	1.75	5.32	6.36	1.6	6.46	12.0	30.34	5.15	0.91	1.64	2.03	4.78	0.0	17.25	9.34	18.56	17.77	39.22	29.7	15.0	8.13	14.78
C1orf168	102.25	81.71	0.0	7.11	10.71	67.59	0.45	7.57	0.82	0.42	15.91	0.42	1.99	9.41	38.4	0.39	0.83	11.73	13.12	6.57	0.0	2.03	13.42	1.27	12.74	40.64	61.25	0.43	0.77	21.16	0.0	4.9	11.73	4.35	150.17	84.04	358.54	346.29	95.34	1143.1	116.78	14.24
C20orf195	12.55	40.36	4.58	1.85	13.72	5.45	7.11	1.75	0.91	1.33	6.73	2.56	7.34	5.41	8.38	3.86	0.51	4.82	3.76	2.92	3.17	3.82	5.19	2.23	11.21	13.52	16.63	3.44	1.6	1.83	2.18	3.72	11.04	2.46	78.34	13.12	223.41	150.17	22.26	293.07	87.03	46.5
C21orf58	178.77	134.3	13.52	13.93	18.84	32.82	18.97	12.0	13.42	21.63	33.06	21.78	22.75	26.86	33.78	17.38	17.9	34.51	27.84	22.59	22.92	27.05	21.78	16.39	36.01	48.52	56.68	18.03	6.94	14.67	9.85	12.27	17.13	29.48	423.61	125.24	1745.2	417.77	120.1	743.43	688.78	162.14
C2orf81	249.73	140.04	37.59	31.9	96.68	54.72	15.11	13.32	11.13	9.93	69.03	20.86	32.36	42.41	52.08	33.54	24.11	107.38	35.5	28.65	16.39	17.13	47.17	16.03	36.53	59.55	182.55	24.63	7.82	6.94	5.92	32.82	42.71	37.32	334.46	82.29	1295.13	529.06	116.78	988.12	551.56	157.68
C4orf22	8.06	74.06	2.12	2.05	0.0	4.06	8.25	4.66	4.98	8.0	7.63	9.2	6.84	7.11	2.73	2.48	5.06	4.1	0.0	2.27	6.62	2.34	3.53	0.0	0.0	19.53	3.47	0.54	9.27	0.0	8.58	4.78	21.63	7.34	199.85	7.82	728.11	417.77	63.0	708.18	239.52	8.0
C6orf226	536.45	708.18	277.2	312.0	607.87	414.87	149.12	205.5	218.79	217.27	241.19	323.03	262.2	269.6	275.28	291.04	318.57	242.88	253.23	206.94	229.72	255.0	147.06	183.82	301.33	123.5	429.54	358.54	249.73	133.36	204.07	476.71	291.04	376.41	473.41	353.59	551.56	551.56	785.88	921.88	567.1	473.41
C9orf116	808.0	218.79	75.11	68.55	228.13	194.36	75.11	73.03	32.82	66.18	139.07	95.34	59.97	85.22	94.01	45.53	62.12	167.9	69.03	80.57	53.19	51.35	16.63	17.38	137.14	150.17	127.0	129.69	120.1	37.32	248.0	43.32	63.89	20.56	1447.15	156.59	3820.7	2178.83	206.94	2835.7	2303.12	91.41
C9orf142	3665.02	1378.57	529.06	356.05	1030.12	915.51	279.14	170.25	186.4	318.57	830.75	356.05	400.71	397.93	444.72	392.44	392.44	486.75	299.25	447.82	239.52	361.04	525.39	507.46	934.76	470.14	511.0	361.04	314.17	220.32	169.07	854.13	620.67	1151.06	1447.15	1508.65	1498.22	1268.46	1135.2	2178.83	2133.97	1583.71
C9orf163	28.45	9.78	0.0	0.84	2.97	2.07	1.71	2.01	1.58	0.39	1.79	0.79	0.79	1.3	3.23	0.73	2.41	3.44	0.44	3.5	0.42	1.6	1.75	4.03	5.32	0.73	3.96	1.36	0.39	2.63	1.45	1.64	1.75	0.2	9.2	7.63	25.35	15.8	7.88	13.32	7.17	5.23
C9orf169	94.67	53.95	2.03	8.0	21.32	23.93	5.5	2.23	6.67	5.06	12.36	9.56	15.45	11.3	13.42	5.45	10.96	9.27	4.74	12.18	11.13	8.92	5.77	7.4	11.64	10.63	41.22	3.59	8.51	11.91	10.88	0.99	4.13	2.16	48.18	53.57	83.45	152.28	55.49	708.18	114.36	38.67
CA14	24.46	27.84	3.59	6.62	8.32	6.84	5.06	10.96	1.58	1.58	15.56	6.62	3.5	3.44	17.13	7.17	6.31	25.35	8.65	12.45	3.79	3.2	9.34	1.99	25.72	13.12	29.06	8.25	5.54	17.51	6.46	1.2	9.93	11.04	11.91	14.89	11.04	9.63	43.63	9.48	8.25	16.15
CABYR	206.94	397.93	14.78	53.57	140.04	105.15	19.11	34.51	15.34	32.59	127.0	33.06	15.56	43.94	85.22	22.92	22.1	76.17	43.32	51.71	9.27	25.17	72.52	52.82	36.53	163.28	156.59	46.84	50.27	17.51	15.8	94.67	72.01	35.25	79.45	154.42	105.15	28.04	483.38	21.01	145.02	124.37
CACFD1	866.07	638.15	100.13	111.21	358.54	307.69	81.71	64.8	33.54	66.65	327.56	60.39	115.16	132.44	217.27	73.03	94.67	248.0	72.52	151.22	63.45	88.26	264.03	78.34	339.14	195.72	348.71	134.3	101.54	74.06	72.52	144.01	137.14	412.0	624.99	567.1	612.11	884.29	540.19	791.35	473.41	301.33
CACNA2D2	185.11	476.71	13.93	27.44	55.1	69.03	14.56	11.3	16.63	12.36	55.89	14.35	22.75	31.9	64.8	17.64	15.0	105.89	32.13	36.53	16.75	14.56	28.86	28.65	36.27	72.01	153.34	3.23	12.27	12.83	23.76	14.67	11.04	61.68	314.17	684.02	447.82	7280.4	563.18	1104.13	205.5	223.41
CACTIN	620.67	361.04	205.5	211.31	316.37	376.41	171.45	152.28	187.71	147.06	299.25	185.11	215.77	251.48	223.41	248.0	221.86	224.97	221.86	229.72	180.02	223.41	307.69	166.73	332.14	299.25	301.33	183.82	202.66	195.72	221.86	265.87	403.5	336.79	329.84	381.68	420.68	518.15	289.02	447.82	409.15	555.41
CAMP	62.56	253.23	16.03	1.35	3.08	0.0	3.96	1.3	0.0	0.0	20.11	10.79	2.46	0.0	1.3	1.55	0.89	1.62	1.87	3.63	0.0	2.53	232.94	40.64	7.46	3.96	1.95	6.31	4.46	11.38	0.0	0.39	0.71	0.0	22.92	423.61	94.01	103.69	187.71	156.59	24.46	6.46
CARD16	420.68	2303.12	1159.07	457.25	733.19	830.75	279.14	463.65	473.41	400.71	660.68	587.13	567.1	642.59	397.93	460.44	599.49	327.56	334.46	688.78	555.41	387.02	775.05	878.17	199.85	830.75	785.88	277.2	241.19	368.65	346.29	764.36	279.14	1023.0	665.29	1313.23	1059.11	1175.27	2075.59	2664.15	878.17	1096.5
CBX4	595.34	395.18	143.01	117.6	269.6	271.48	137.14	72.52	53.95	78.34	363.56	94.67	176.29	89.51	255.0	128.79	111.21	312.0	94.01	171.45	107.38	189.02	220.32	82.87	193.01	157.68	356.05	96.68	88.26	77.79	49.56	249.73	114.36	444.72	583.07	629.35	379.04	297.17	371.22	248.0	483.38	356.05
CCDC78	575.03	183.82	0.59	3.47	31.22	12.74	2.1	1.53	0.0	2.39	27.44	6.73	2.36	7.28	2.43	2.63	2.43	67.59	1.66	11.64	2.1	2.43	11.21	0.0	2.2	29.7	91.41	1.62	27.84	0.0	1.85	0.73	22.1	7.22	1674.06	182.55	6207.38	2384.37	232.94	4736.79	3395.89	126.12
CDK2	703.28	1477.58	346.29	490.14	607.87	616.37	363.56	242.88	258.57	214.27	713.11	343.89	358.54	301.33	470.14	305.55	237.86	500.46	376.41	373.81	389.72	226.54	403.5	334.46	341.51	669.92	551.56	348.71	536.45	194.36	361.04	514.56	733.19	599.49	395.18	540.19	543.96	373.81	1286.18	426.57	624.99	1066.48
CELF4	4.21	59.97	4.54	6.94	7.22	7.51	4.03	8.99	8.92	8.13	4.5	5.36	6.89	15.68	3.0	11.13	5.02	12.36	11.21	11.47	10.88	8.65	5.36	1.43	11.91	25.91	32.82	7.75	3.99	0.0	7.82	1.06	11.04	5.06	26.1	14.56	6.06	43.32	52.08	115.97	11.82	49.56
CHST4	6.41	36.27	2.46	2.86	9.48	3.35	0.42	1.95	0.0	1.16	10.24	2.32	8.92	0.85	4.28	0.0	1.19	6.94	2.58	4.5	0.42	0.4	3.92	3.53	2.41	17.38	14.56	2.23	1.6	0.0	1.1	27.44	5.68	2.16	29.06	27.44	98.73	26.86	28.04	33.78	51.71	7.22
CHST6	2.14	13.83	4.82	0.41	0.73	2.34	0.83	0.0	0.39	0.39	6.46	0.39	2.25	2.07	3.86	1.77	0.0	3.99	0.43	1.5	0.0	0.0	10.79	2.92	0.19	1.6	18.43	0.16	0.16	0.24	0.0	0.75	21.16	3.41	226.54	78.34	525.39	226.54	20.56	108.14	323.03	21.63
COLCA1	117.6	379.04	63.0	63.89	70.51	71.0	29.7	34.26	18.29	38.95	100.13	57.08	52.45	45.21	85.82	19.97	48.52	38.67	59.55	43.94	25.35	48.18	24.99	6.11	30.78	215.77	79.45	18.56	3.82	20.56	30.34	11.55	31.67	18.7	120.1	131.51	291.04	624.99	351.14	1081.39	156.59	111.99
CORO2A	336.79	318.57	62.12	65.72	127.89	178.77	11.55	25.91	46.84	21.78	142.01	41.22	61.68	59.13	77.25	39.22	24.28	122.64	39.22	82.87	25.54	26.86	113.56	53.57	44.89	78.89	305.55	44.25	18.97	8.51	127.89	33.06	49.56	301.33	287.01	189.02	327.56	332.14	112.77	224.97	223.41	201.25
CTD-2267D19.3	148.09	215.77	52.82	59.97	125.24	157.68	40.64	44.57	25.17	42.11	117.6	65.72	75.64	52.82	88.26	69.03	53.95	148.09	56.28	61.68	36.01	81.71	30.34	83.45	24.28	115.97	265.87	34.51	26.28	42.71	42.71	79.45	50.63	156.59	123.5	156.59	136.19	158.79	197.09	83.45	148.09	110.43
CYP21A2	114.36	71.0	13.72	8.71	102.97	81.14	5.68	5.32	2.73	5.28	84.04	13.72	18.84	12.55	11.73	11.47	4.5	38.95	6.31	16.63	4.31	4.94	264.03	1.38	25.17	38.12	94.67	11.13	0.0	0.0	0.34	18.29	26.67	6.94	49.21	241.19	57.89	0.8	63.45	52.82	29.91	10.47
DEF6	928.3	417.77	100.83	57.08	332.14	256.78	38.95	37.32	53.57	40.93	323.03	85.22	83.45	62.56	129.69	87.65	76.17	144.01	55.1	132.44	35.0	43.94	92.7	37.32	127.89	260.38	397.93	51.71	61.68	63.0	49.21	127.0	129.69	171.45	633.73	395.18	679.29	1051.79	915.51	759.08	1066.48	1183.45
DKFZP761J1410	802.41	551.56	332.14	262.2	381.68	486.75	218.79	163.28	204.07	161.02	285.03	191.67	237.86	267.73	204.07	395.18	176.29	384.34	162.14	218.79	185.11	206.94	320.8	94.01	406.31	368.65	323.03	208.38	185.11	86.43	77.25	279.14	295.11	303.44	480.04	429.54	551.56	723.08	656.11	624.99	723.08	518.15
DUSP28	198.47	180.02	108.14	109.66	114.36	135.24	100.13	96.01	98.04	97.36	127.0	51.71	93.35	77.79	137.14	56.68	94.01	110.43	101.54	130.6	90.77	96.68	96.68	126.12	98.73	84.63	111.99	92.7	75.64	108.9	118.43	83.45	98.73	115.97	107.38	87.03	143.01	158.79	134.3	173.85	141.02	140.04
EFR3B	15.11	73.54	7.75	8.99	7.57	6.11	10.31	5.5	5.82	5.82	13.42	7.34	13.93	5.92	17.0	10.63	11.64	16.88	8.19	11.3	10.71	15.11	187.71	6.62	17.0	33.3	6.26	4.66	3.5	10.47	0.69	7.88	38.67	8.13	38.67	33.06	10.96	24.81	26.86	62.56	6.26	15.8
EML2	1437.15	974.5	285.03	305.55	791.35	769.69	279.14	255.0	232.94	353.59	921.88	351.14	381.68	346.29	612.11	320.8	389.72	693.58	297.17	518.15	269.6	395.18	674.59	155.5	417.77	493.56	981.29	275.28	239.52	275.28	312.0	555.41	575.03	769.69	961.07	607.87	1378.57	1437.15	961.07	1457.23	1088.92	1259.69
EZR	1674.06	7032.37	698.41	796.86	2178.83	2451.44	457.25	486.75	450.94	316.37	3467.27	583.07	579.04	647.07	1066.48	866.07	579.04	2178.83	583.07	884.29	334.46	607.87	1135.2	624.99	915.51	2351.53	2400.97	642.59	1457.23	928.3	1250.98	775.05	1208.34	3372.43	10154.69	5872.48	10440.2	9215.48	6294.04	7803.01	5147.73	3168.41
FABP4	6887.62	48.18	313910.86	228208.61	134755.94	98646.85	253213.41	322736.12	386469.83	394590.4	104271.56	258533.99	253213.41	348306.01	279017.26	327241.36	358098.26	103551.29	370726.6	263966.36	489177.0	292889.12	716197.51	602247.76	360589.03	102836.01	130165.62	327241.36	558035.51	906531.99	417089.23	1078054.48	1838374.44	636586.81	220.32	2485.67	2004.85	3419.52	2609.3	1662.49	878.17	381.68
FAM110A	890.44	529.06	126.12	72.52	371.22	389.72	47.5	59.55	63.45	49.21	291.04	88.88	107.38	104.42	185.11	92.7	88.88	249.73	64.34	122.64	51.71	82.87	143.01	75.64	231.32	173.85	285.03	145.02	44.89	69.52	45.85	81.14	163.28	190.34	454.09	616.37	444.72	486.75	403.5	450.94	503.95	669.92
FAM174B	759.08	1508.65	140.04	223.41	878.17	890.44	85.82	189.02	114.36	91.41	540.19	157.68	124.37	241.19	454.09	134.3	115.97	555.41	255.0	229.72	185.11	256.78	389.72	175.07	476.71	444.72	642.59	118.43	57.08	202.66	244.57	137.14	403.5	131.51	514.56	775.05	660.68	1037.29	1487.87	2209.26	500.46	384.34
FAM213B	842.36	718.08	246.28	176.29	395.18	470.14	152.28	141.02	126.12	162.14	514.56	177.53	256.78	223.41	309.83	209.84	214.27	426.57	124.37	279.14	158.79	236.21	373.81	209.84	309.83	273.37	842.36	151.22	145.02	139.07	106.63	441.64	536.45	503.95	392.44	470.14	532.74	525.39	470.14	529.06	507.46	571.05
FAM46C	201.25	536.45	42.11	116.78	220.32	182.55	78.89	35.0	42.11	11.38	121.79	36.01	34.02	92.7	173.85	16.51	20.86	114.36	297.17	73.03	58.71	56.68	127.0	45.21	43.02	303.44	414.87	35.25	31.9	17.0	36.01	47.5	91.41	149.12	791.35	144.01	376.41	283.05	551.56	470.14	293.07	131.51
FBP1	2032.85	2701.35	688.78	356.05	1832.01	1870.53	381.68	426.57	277.2	336.79	1059.11	420.68	361.04	536.45	890.44	493.56	381.68	941.27	563.18	595.34	532.74	320.8	1151.06	376.41	1923.14	785.88	1963.57	132.44	260.38	738.29	97.36	182.55	693.58	409.15	1572.76	2287.2	1651.0	1628.26	2119.22	2104.58	1225.22	2193.99
FBXL6	941.27	571.05	136.19	114.36	215.77	214.27	102.25	54.72	101.54	115.97	242.88	97.36	149.12	127.0	137.14	163.28	109.66	204.07	137.14	151.22	118.43	82.29	336.79	78.89	293.07	217.27	118.43	91.41	275.28	244.57	105.15	429.54	543.96	403.5	1051.79	921.88	521.76	607.87	295.11	371.22	503.95	733.19
FGFBP3	25.54	43.94	19.82	31.67	38.67	29.27	16.03	9.48	11.73	16.51	24.81	20.41	17.51	15.8	22.26	21.78	21.16	35.0	21.47	18.16	10.08	11.91	6.52	22.26	5.15	43.32	115.16	15.45	4.06	9.85	9.27	48.18	8.65	31.67	28.86	18.16	39.22	45.21	63.89	49.21	20.71	23.25
FOXH1	29.06	9.63	0.45	2.27	6.89	1.16	0.0	1.33	0.0	1.71	2.32	1.73	0.89	4.1	1.75	2.73	0.49	4.82	0.0	2.1	1.85	0.0	0.87	0.64	4.24	2.58	3.06	0.25	0.0	0.45	1.53	0.39	0.3	17.9	8.85	2.78	2.1	8.06	9.41	1.22	5.32	7.63
FXYD4	5.5	28.24	0.0	3.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36	28.65	26.47	43.32	20.71	172.65	18.84	4.5
GAA	2224.63	2287.2	995.0	780.44	1628.26	1447.15	384.34	547.75	353.59	295.11	1104.13	713.11	1066.48	785.88	703.28	1277.29	743.43	967.76	521.76	808.0	460.44	669.92	995.0	476.71	860.08	791.35	1331.57	674.59	518.15	743.43	209.84	438.59	819.3	536.45	1313.23	2627.46	1250.98	6887.62	1977.24	2193.99	1583.71	2720.15
GLOD5	43.63	45.21	0.0	0.0	12.83	22.92	0.0	4.5	0.0	0.0	25.91	0.0	0.0	0.0	10.24	0.0	0.0	6.41	3.69	4.7	0.0	0.0	0.0	0.0	6.11	8.99	33.06	0.0	0.0	0.0	0.0	0.0	0.0	104.42	21.01	37.85	29.06	190.34	35.76	97.36	26.47	14.67
GPR115	0.36	7.63	0.0	0.0	5.06	0.72	0.0	0.0	0.0	0.0	3.17	0.42	0.0	0.45	0.0	0.0	0.0	2.66	1.33	0.41	0.0	1.6	2.41	0.0	0.69	3.06	0.0	1.11	0.64	0.0	0.23	0.0	0.0	11.47	13.12	36.27	10.16	5.11	5.41	143.01	42.71	52.82
GRM7	5.54	15.11	4.03	11.3	11.04	6.62	2.18	4.03	7.51	2.01	3.63	10.63	3.56	5.19	3.66	2.97	2.46	5.36	1.36	4.31	0.89	2.86	2.03	0.22	6.41	1.69	6.62	4.98	0.43	0.23	3.86	2.84	62.12	1.68	87.03	0.0	155.5	28.86	8.19	33.78	62.56	11.55
GTF3C1	1896.65	1191.69	656.11	896.64	872.1	934.76	575.03	470.14	575.03	575.03	759.08	624.99	638.15	651.58	674.59	620.67	591.22	830.75	620.67	540.19	575.03	529.06	638.15	620.67	890.44	981.29	819.3	547.75	521.76	447.82	529.06	825.0	796.86	693.58	1477.58	1662.49	1605.83	1605.83	1950.0	2061.24	1697.45	1175.27
HAUS8	293.07	318.57	158.79	143.01	191.67	215.77	117.6	104.42	88.88	88.88	185.11	105.15	114.36	114.36	161.02	103.69	125.24	115.97	103.69	116.78	103.69	90.14	78.34	90.77	239.52	144.01	236.21	86.43	92.05	63.89	187.71	75.11	127.89	182.55	262.2	291.04	232.94	271.48	189.02	212.78	267.73	175.07
