	TCGA.GU.A762.01A.11R.A33J.07	TCGA.GU.A766.01A.11R.A32O.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.C5.A0TN.01A.21R.A14Y.07	TCGA.JW.A5VG.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.FU.A40J.01A.11R.A24H.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.AZ.6608.01A.11R.1839.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6511.01A.11R.1736.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
GATA6	20.11	23.25	72.52	73.54	132.44	3.5	102.97	82.87	3.72	248.0	155.5	0.42	214.27	1594.73	2047.0	1286.18	2875.3	1159.07	1119.56	1277.29	3491.39	1709.26	1583.71	3103.19	3491.39	1259.69
GCC1	153.34	190.34	108.14	102.97	167.9	127.0	119.26	100.83	98.73	123.5	125.24	0.0	473.41	314.17	232.94	246.28	212.78	223.41	158.79	169.07	285.03	214.27	186.4	206.94	149.12	161.02
GIF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.58	0.56	0.0	76.17	480.04	151608.43	57448.23	160252.91	84109.6	45072.75	95949.32	233003.78	30151.71	256748.15	290865.98	623486.02	169390.27
ING3	88.26	91.41	124.37	124.37	100.83	96.01	175.07	118.43	118.43	201.25	134.3	0.35	403.5	303.44	336.79	155.5	244.57	353.59	223.41	267.73	325.29	206.94	287.01	191.67	191.67	271.48
KIAA1147	29.27	37.05	176.29	24.63	56.28	52.82	157.68	39.22	47.5	156.59	158.79	0.51	356.05	1073.91	563.18	248.0	417.77	753.83	299.25	429.54	518.15	231.32	275.28	441.64	327.56	195.72
KLHDC10	115.16	145.02	115.16	101.54	131.51	149.12	206.94	141.02	137.14	190.34	217.27	441.64	400.71	483.38	371.22	356.05	248.0	521.76	379.04	348.71	343.89	273.37	206.94	226.54	201.25	262.2
KMT2C	82.29	81.14	169.07	113.56	153.34	167.9	211.31	111.99	211.31	236.21	297.17	176.29	473.41	780.44	679.29	275.28	325.29	656.11	480.04	389.72	473.41	316.37	279.14	334.46	285.03	273.37
KMT2E	85.22	91.41	154.42	155.5	105.15	97.36	271.48	96.01	134.3	316.37	211.31	125.24	563.18	1242.34	1359.57	616.37	470.14	1088.92	764.36	587.13	629.35	536.45	503.95	575.03	660.68	447.82
LMBR1	204.07	231.32	242.88	228.13	186.4	221.86	267.73	170.25	220.32	291.04	307.69	0.53	1051.79	884.29	547.75	511.0	503.95	764.36	521.76	503.95	555.41	356.05	532.74	466.88	521.76	511.0
MKRN1	633.73	748.61	1008.9	638.15	785.88	1127.35	1183.45	753.83	981.29	1286.18	1096.5	0.84	3235.01	2090.03	1233.75	1111.82	921.88	1561.89	1216.75	1135.2	1519.15	1437.15	1159.07	1119.56	1369.04	967.76
MPC2	1259.69	1037.29	1233.75	1199.98	902.89	1073.91	1697.45	1304.15	1250.98	1923.14	2090.03	206.94	2193.99	2417.67	3639.7	7485.11	1923.14	2591.27	4869.99	3124.78	3395.89	2777.33	5255.91	4152.18	3395.89	4972.34
MTPN	414.87	392.44	473.41	518.15	409.15	389.72	497.0	438.59	366.09	395.18	371.22	0.6	1467.37	1794.29	1008.9	1175.27	738.29	928.3	921.88	703.28	934.76	947.83	860.08	688.78	607.87	1088.92
NUDT12	34.75	36.01	56.68	55.89	85.82	139.07	142.01	91.41	150.17	132.44	175.07	0.3	161.02	314.17	332.14	151.22	226.54	503.95	215.77	264.03	420.68	271.48	186.4	182.55	176.29	186.4
PARD3B	33.06	22.92	13.03	10.16	38.67	5.96	53.95	1.69	6.67	58.71	20.71	0.31	136.19	281.09	191.67	83.45	74.06	171.45	138.1	111.21	132.44	96.01	55.89	93.35	98.04	67.12
PGA4	0.0	1.55	2.53	0.0	0.0	1.01	0.0	20.11	0.0	5.06	0.0	0.0	0.0	293.07	2263304.65	5235876.81	4987895.16	2111737.85	6581567.44	9569418.63	1.835920079E7	5128124.01	3028138.0	6446120.72	1.138002091E7	9179599.9
POM121	161.02	208.38	205.5	162.14	158.79	193.01	212.78	137.14	143.01	368.65	409.15	49.56	988.12	1051.79	616.37	738.29	764.36	808.0	674.59	529.06	603.67	624.99	384.34	480.04	466.88	395.18
POM121C	260.38	334.46	279.14	231.32	224.97	226.54	269.6	198.47	229.72	417.77	403.5	0.91	974.5	1015.93	1015.93	780.44	802.41	1313.23	638.15	941.27	785.88	612.11	420.68	532.74	450.94	409.15
RINT1	102.97	134.3	120.94	144.01	133.36	120.1	182.55	148.09	172.65	211.31	194.36	0.53	466.88	351.14	480.04	237.86	389.72	358.54	305.55	271.48	267.73	176.29	293.07	177.53	177.53	275.28
SCML4	53.95	18.16	0.95	4.39	13.42	5.54	23.59	4.1	12.64	25.72	6.73	0.33	187.71	34.75	156.59	46.18	51.35	74.06	56.28	16.88	69.52	165.57	221.86	53.19	88.88	154.42
SEMA6D	2.46	3.32	0.65	7.63	7.69	4.24	4.7	1.28	1.87	5.59	22.1	0.36	60.39	303.44	96.68	19.39	37.05	71.0	97.36	44.89	59.55	307.69	41.52	53.95	22.26	43.02
SLC25A13	126.12	171.45	191.67	151.22	147.06	154.42	223.41	148.09	169.07	264.03	299.25	0.71	791.35	587.13	444.72	1572.76	543.96	638.15	412.0	915.51	441.64	480.04	339.14	279.14	409.15	260.38
SLC9A8	89.51	101.54	141.02	67.59	126.12	118.43	155.5	42.71	101.54	271.48	209.84	0.59	381.68	674.59	339.14	211.31	336.79	441.64	275.28	307.69	285.03	159.9	214.27	206.94	182.55	176.29
SMAD5	85.82	142.01	141.02	130.6	182.55	163.28	169.07	126.12	180.02	191.67	244.57	0.4	332.14	563.18	587.13	348.71	275.28	723.08	332.14	603.67	423.61	303.44	221.86	206.94	289.02	265.87
SMURF1	176.29	158.79	180.02	113.56	146.03	208.38	214.27	115.16	156.59	224.97	223.41	148.09	563.18	514.56	579.04	1417.35	543.96	540.19	273.37	392.44	532.74	287.01	255.0	406.31	295.11	249.73
SRPK2	175.07	150.17	236.21	223.41	236.21	351.14	178.77	220.32	348.71	246.28	217.27	0.64	587.13	575.03	450.94	450.94	305.55	490.14	432.53	376.41	432.53	329.84	379.04	339.14	379.04	368.65
TBL2	379.04	511.0	406.31	334.46	253.23	348.71	414.87	507.46	305.55	483.38	607.87	323.03	1651.0	728.11	532.74	830.75	1111.82	674.59	708.18	511.0	769.69	902.89	629.35	802.41	718.08	928.3
TMEM168	55.89	46.18	181.28	75.64	100.13	119.26	96.68	85.82	158.79	189.02	170.25	0.44	295.11	733.19	490.14	466.88	307.69	688.78	348.71	379.04	271.48	323.03	251.48	195.72	204.07	256.78
TMEM98	438.59	182.55	555.41	1295.13	142.01	155.5	473.41	70.51	118.43	387.02	490.14	0.74	884.29	2645.74	1857.6	3325.99	1508.65	2303.12	1697.45	1923.14	2796.65	3060.45	2303.12	3372.43	2627.46	2520.38
TMTC2	53.95	57.89	164.42	56.28	56.28	46.84	101.54	46.84	47.84	141.02	84.63	0.45	299.25	414.87	373.81	281.09	201.25	275.28	211.31	275.28	327.56	134.3	231.32	198.47	162.14	181.28
TNPO3	183.82	189.02	232.94	189.02	177.53	265.87	232.94	165.57	244.57	363.56	277.2	0.51	780.44	813.63	387.02	629.35	693.58	660.68	486.75	473.41	607.87	525.39	351.14	379.04	387.02	389.72
TRIM24	61.25	71.5	105.15	35.76	106.63	5.77	155.5	71.5	5.59	323.03	161.02	0.39	444.72	289.02	397.93	414.87	339.14	1143.1	438.59	368.65	414.87	212.78	242.88	307.69	297.17	231.32
TRIM56	57.49	81.14	50.98	59.55	90.77	214.27	125.24	45.85	120.1	99.43	120.94	0.4	514.56	684.02	389.72	309.83	332.14	297.17	363.56	133.36	336.79	325.29	239.52	329.84	293.07	201.25
TRRAP	95.34	84.04	112.77	84.04	83.45	88.26	114.36	49.21	82.29	177.53	155.5	0.71	447.82	503.95	316.37	607.87	271.48	351.14	325.29	187.71	221.86	256.78	164.42	186.4	166.73	124.37
WASL	158.79	212.78	291.04	212.78	175.07	265.87	353.59	237.86	281.09	287.01	409.15	88.26	764.36	1111.82	743.43	536.45	543.96	775.05	616.37	703.28	693.58	591.22	414.87	497.0	660.68	406.31
ZC3H12B	0.93	1.51	1.27	0.0	2.81	1.48	8.13	0.84	1.73	10.79	5.28	0.14	30.12	57.08	35.5	19.25	13.62	33.06	17.51	21.16	22.26	13.52	12.18	12.45	7.75	11.73
ZKSCAN5	69.52	71.0	68.07	53.57	85.22	52.45	66.18	72.01	54.33	77.25	81.14	0.14	155.5	150.17	94.67	303.44	90.77	146.03	72.52	109.66	88.88	79.45	94.67	77.79	51.71	87.03
ZNF800	83.45	97.36	101.54	115.97	90.14	72.01	119.26	59.13	88.26	231.32	131.51	0.42	329.84	616.37	397.93	323.03	267.73	525.39	299.25	262.2	341.51	289.02	262.2	234.57	305.55	267.73
ZNF827	28.04	47.5	81.71	48.18	60.82	30.78	87.03	27.25	29.27	101.54	71.5	0.32	152.28	267.73	241.19	142.01	140.04	202.66	237.86	181.28	187.71	172.65	102.97	150.17	115.16	127.89
ZSCAN25	76.17	59.97	85.22	81.71	75.11	75.64	94.01	48.52	90.14	117.6	91.41	0.0	299.25	218.79	120.94	429.54	131.51	129.69	115.97	92.05	139.07	121.79	111.21	91.41	111.99	128.79
