	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.EP.A2KA.01A.11R.A180.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
MGP	998912.34	1139523.1	593956.43	736332.6	363097.14	623486.02	546551.29	569761.05	1196176.45	411347.03	539026.74	443937.41	623486.02	434801.29	402881.61	462789.59	800198.39	598087.73	585779.24	1524599.69	496005.67	565825.41	869603.57	1100706.72	845824.19	496005.67	1308968.45	614902.29	2255.7	1073.91	525.39	567.1	967.76	256.78	3419.52	848.22
MYOF	1175.27	1359.57	884.29	2224.63	2032.85	1709.26	1350.18	1268.46	1605.83	1277.29	830.75	460.44	2224.63	2384.37	647.07	2555.58	2163.77	3419.52	3039.3	2976.74	2835.7	2255.7	2119.22	934.76	2417.67	3081.75	1322.37	2835.7	32.59	44.57	20.41	9.85	26.47	9.13	0.0	0.84
NAALADL2	43.63	173.85	80.01	120.94	303.44	72.52	71.0	96.01	209.84	37.32	73.54	65.26	176.29	307.69	74.06	264.03	236.21	954.43	409.15	503.95	466.88	435.55	473.41	175.07	915.51	688.78	136.19	547.75	13.42	10.47	19.39	3.96	2.89	13.42	0.0	0.14
NFAT5	34.26	94.67	55.49	82.29	171.45	155.5	124.37	47.17	175.07	37.59	167.9	53.19	214.27	234.57	53.57	334.46	220.32	480.04	896.64	444.72	500.46	265.87	119.26	32.13	403.5	514.56	79.45	511.0	5.02	24.28	5.41	18.97	12.27	6.84	0.0	0.48
PMS2	140.04	220.32	211.31	229.72	318.57	149.12	189.02	183.82	229.72	146.03	138.1	123.5	231.32	223.41	161.02	248.0	232.94	426.57	314.17	373.81	244.57	248.0	182.55	162.14	279.14	299.25	167.9	318.57	59.55	100.13	72.52	68.55	32.59	15.56	0.0	0.06
RAB11FIP2	82.87	92.05	85.22	110.43	139.07	127.0	93.35	89.51	98.04	84.63	94.67	63.0	112.77	171.45	64.8	195.72	176.29	223.41	241.19	157.68	142.01	155.5	150.17	88.88	198.47	190.34	118.43	287.01	49.56	47.5	28.45	27.05	61.25	22.26	0.0	0.43
SECISBP2L	217.27	303.44	127.89	314.17	381.68	199.85	283.05	232.94	175.07	148.09	281.09	136.19	323.03	460.44	148.09	480.04	403.5	1023.0	813.63	947.83	693.58	460.44	269.6	143.01	466.88	532.74	148.09	866.07	55.1	93.35	119.26	40.07	63.45	81.14	0.0	0.11
SLC25A12	194.36	312.0	343.89	409.15	480.04	356.05	301.33	229.72	343.89	323.03	432.53	234.57	525.39	423.61	194.36	457.25	470.14	693.58	647.07	551.56	603.67	529.06	518.15	309.83	890.44	743.43	460.44	567.1	46.18	37.05	76.17	81.71	32.36	24.28	0.0	0.31
SLC25A36	358.54	551.56	500.46	830.75	909.17	679.29	825.0	312.0	995.0	457.25	567.1	665.29	866.07	1119.56	368.65	1250.98	872.1	1697.45	1639.59	1896.65	1233.75	1104.13	854.13	329.84	1617.0	1447.15	708.18	1572.76	18.29	215.77	11.47	7.46	16.39	35.25	0.0	0.6
SLC47A2	2.07	3.96	0.6	1.39	16.27	0.39	0.36	1.07	0.0	0.35	4.43	0.96	17.51	7.46	1.08	8.32	11.55	7.88	11.21	23.42	2.07	9.63	7.28	10.31	8.71	14.78	5.28	8.25	0.6	2.86	1.01	0.49	1.48	0.27	0.0	0.16
SPATA7	111.99	102.97	72.52	117.6	193.01	190.34	149.12	124.37	208.38	124.37	106.63	102.25	193.01	197.09	137.14	214.27	239.52	353.59	400.71	309.83	246.28	228.13	172.65	165.57	423.61	363.56	148.09	339.14	90.14	96.01	102.97	43.94	87.03	33.06	0.0	0.29
TCEAL2	5.87	46.5	29.91	32.13	77.79	15.45	4.98	17.9	3.66	5.32	52.08	55.49	206.94	41.81	16.03	191.67	211.31	713.11	63.0	563.18	503.95	279.14	89.51	435.55	237.86	178.77	146.03	117.6	1.36	0.0	1.71	0.0	0.0	3.5	0.0	0.27
TCP11L2	79.45	80.57	56.68	155.5	256.78	147.06	148.09	86.43	144.01	74.58	73.54	64.34	125.24	265.87	46.18	397.93	291.04	384.34	441.64	579.04	371.22	253.23	264.03	62.56	480.04	346.29	198.47	432.53	24.99	48.87	6.06	17.13	16.75	11.47	0.0	0.23
TET2	67.59	155.5	63.45	155.5	163.28	134.3	77.79	156.59	80.57	57.49	88.88	82.87	115.97	152.28	46.5	177.53	140.04	229.72	215.77	198.47	248.0	178.77	162.14	53.95	194.36	297.17	94.01	248.0	8.65	13.72	16.27	7.4	20.41	11.73	0.0	0.47
TRPC1	9.7	42.41	11.73	31.22	82.29	49.91	33.3	20.56	59.55	40.64	47.5	48.18	74.58	74.58	23.76	133.36	116.78	279.14	131.51	153.34	111.99	97.36	53.57	25.17	181.28	53.57	49.56	120.1	15.22	15.56	12.93	5.92	22.1	1.87	0.0	0.47
TUSC3	1051.79	353.59	1417.35	277.2	6079.61	728.11	271.48	1199.98	1697.45	256.78	1844.76	1104.13	2133.97	2047.0	1551.09	1870.53	2193.99	3768.09	5076.84	2209.26	2537.92	1745.2	3564.78	2335.28	1662.49	1225.22	1250.98	6471.02	166.73	30.12	21.47	42.41	41.22	55.49	0.0	0.83
YAP1	728.11	1030.12	295.11	802.41	1073.91	1044.52	981.29	902.89	738.29	363.56	961.07	629.35	1340.84	1477.58	743.43	1832.01	1832.01	2855.44	2875.3	1819.35	1936.53	1143.1	1572.76	808.0	2777.33	2163.77	802.41	2163.77	198.47	169.07	166.73	202.66	212.78	518.15	0.0	0.77
ZBTB38	325.29	624.99	258.57	638.15	718.08	660.68	373.81	406.31	607.87	295.11	521.76	251.48	656.11	842.36	253.23	947.83	693.58	785.88	1378.57	1119.56	1697.45	674.59	656.11	616.37	1508.65	802.41	703.28	1369.04	144.01	63.89	47.84	122.64	111.99	153.34	0.0	0.54
ZDHHC17	177.53	246.28	249.73	241.19	334.46	224.97	209.84	166.73	186.4	143.01	220.32	141.02	318.57	400.71	118.43	536.45	368.65	412.0	684.02	551.56	543.96	500.46	253.23	151.22	547.75	587.13	185.11	684.02	62.56	112.77	66.18	44.25	81.14	38.12	0.0	0.72
