	TCGA.E2.A14P.01A.31R.A12D.07	TCGA.5R.AAAM.01A.12R.A41C.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.55.7570.01A.11R.2039.07	GTEX.144GM.0126.SM.5Q5AX	TCGA.22.4613.01A.01R.1443.07
TLDC1	934.76	72.01	147.06	40.93	9.2	24.28	150.17	102.97	198.47
TMEM18	1216.75	521.76	764.36	366.09	500.46	620.67	723.08	624.99	928.3
TMEM55B	1313.23	656.11	693.58	414.87	297.17	314.17	854.13	684.02	902.89
USB1	4671.57	633.73	1096.5	476.71	412.0	339.14	1639.59	1498.22	1127.35
VPS4A	3060.45	872.1	1037.29	842.36	890.44	819.3	1561.89	1529.73	1977.24
YWHAQ	17437.64	2047.0	3349.13	1322.37	1437.15	1697.45	8840.04	1794.29	7485.11
YY1	2591.27	860.08	1331.57	417.77	738.29	599.49	1685.71	651.58	1572.76
ZNF257	69.03	6.78	16.39	0.0	4.9	0.73	32.13	6.26	107.38
ZNF669	212.78	58.71	46.5	15.34	21.63	24.28	133.36	69.52	162.14
ZNF670	190.34	36.01	53.19	13.32	19.68	26.47	132.44	41.52	104.42
ZNF716	3.11	0.48	1.43	0.0	0.0	0.0	0.3	0.0	5.92
ZNF732	9.41	0.65	0.57	0.0	0.74	0.0	4.39	0.02	23.08
ZNF98	132.44	4.62	2.71	0.0	0.0	0.0	22.26	0.0	41.81
ZNRF1	1023.0	262.2	483.38	343.89	343.89	283.05	830.75	599.49	708.18
