	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
NUDT9	902.89	988.12	1159.07	1417.35	718.08	796.86	825.0	825.0	961.07	785.88	612.11	808.0	1277.29	738.29	1397.83	738.29	872.1	698.41	679.29	775.05	638.15	819.3	708.18	255.0	0.0	0.38
PAPOLA	1844.76	2271.4	1963.57	3847.29	1794.29	2133.97	1467.37	2895.31	1457.23	2224.63	1561.89	1268.46	1896.65	2090.03	1909.85	1757.34	921.88	723.08	1088.92	1191.69	974.5	896.64	1175.27	555.41	0.0	0.8
PCNXL4	392.44	450.94	420.68	698.41	341.51	366.09	241.19	457.25	679.29	483.38	255.0	551.56	583.07	595.34	417.77	305.55	183.82	126.12	147.06	147.06	135.24	154.42	94.01	82.87	0.0	0.34
PFDN4	2240.11	1037.29	967.76	1001.93	830.75	547.75	2609.3	1359.57	934.76	1806.78	890.44	1508.65	1111.82	947.83	1594.73	708.18	353.59	85.22	575.03	295.11	435.55	466.88	389.72	368.65	0.0	0.43
PHF10	738.29	967.76	1081.39	934.76	466.88	656.11	358.54	368.65	1127.35	684.02	511.0	802.41	860.08	703.28	693.58	624.99	555.41	409.15	633.73	583.07	723.08	339.14	406.31	299.25	0.0	0.66
PHF21A	262.2	435.55	249.73	429.54	291.04	332.14	241.19	323.03	309.83	299.25	249.73	579.04	251.48	414.87	567.1	264.03	100.13	45.85	120.1	87.03	111.21	111.99	78.34	164.42	0.0	0.43
POLA2	915.51	457.25	438.59	260.38	323.03	435.55	665.29	336.79	343.89	256.78	299.25	872.1	334.46	769.69	376.41	169.07	104.42	108.14	195.72	42.11	94.01	120.1	44.57	24.11	0.0	0.68
RALGAPA1	358.54	693.58	441.64	785.88	420.68	441.64	236.21	543.96	518.15	403.5	273.37	503.95	813.63	497.0	633.73	341.51	142.01	59.97	155.5	109.66	125.24	145.02	66.18	171.45	0.0	0.78
RCOR1	332.14	460.44	205.5	521.76	262.2	438.59	182.55	426.57	208.38	309.83	180.02	191.67	229.72	579.04	271.48	169.07	97.36	72.52	121.79	130.6	98.04	83.45	58.71	105.89	251.48	265.87
RNF31	1030.12	854.13	1104.13	1977.24	769.69	1096.5	503.95	1313.23	860.08	961.07	642.59	1250.98	1088.92	1159.07	1583.71	1447.15	591.22	500.46	830.75	447.82	423.61	575.03	400.71	616.37	0.0	0.73
SETD3	1030.12	995.0	802.41	1427.22	1023.0	1216.75	521.76	1268.46	624.99	921.88	587.13	559.28	872.1	1331.57	1216.75	967.76	540.19	389.72	587.13	703.28	543.96	642.59	575.03	780.44	0.0	0.71
SLC22A17	909.17	223.41	15.91	1199.98	1008.9	2335.28	131.51	854.13	73.03	366.09	18.03	1397.83	612.11	480.04	1001.93	97.36	38.4	52.45	65.26	44.25	67.59	116.78	8.65	14.67	0.0	0.71
SLC25A29	514.56	954.43	447.82	665.29	567.1	1350.18	237.86	358.54	206.94	409.15	214.27	679.29	358.54	612.11	909.17	1936.53	183.82	93.35	392.44	130.6	147.06	201.25	162.14	108.9	0.0	0.91
SLC4A1AP	403.5	432.53	373.81	470.14	447.82	389.72	409.15	423.61	267.73	497.0	260.38	718.08	490.14	454.09	543.96	341.51	218.79	151.22	255.0	182.55	218.79	209.84	146.03	137.14	563.18	131.51
SNAPC1	106.63	100.83	72.01	161.02	89.51	91.41	59.13	137.14	128.79	127.89	49.91	144.01	144.01	92.05	127.89	71.0	48.18	17.64	48.87	40.64	63.89	47.5	134.3	53.95	0.0	0.36
TIMM9	1216.75	1277.29	1457.23	1819.35	1498.22	1662.49	743.43	1651.0	1757.34	2119.22	1001.93	1498.22	1977.24	1639.59	1417.35	1199.98	791.35	291.04	921.88	785.88	633.73	638.15	507.46	981.29	0.0	0.72
TINF2	1295.13	1175.27	1015.93	1806.78	1369.04	1286.18	603.67	1437.15	769.69	1183.45	896.64	1259.69	1378.57	1350.18	1639.59	988.12	450.94	543.96	748.61	595.34	503.95	688.78	819.3	866.07	0.0	0.57
TM9SF1	2417.67	2178.83	1322.37	2816.11	2004.85	2090.03	1359.57	2816.11	1191.69	1757.34	1508.65	1519.15	2287.2	1963.57	2075.59	2018.8	866.07	967.76	1199.98	802.41	866.07	1051.79	848.22	559.28	0.0	0.53
TMEM260	343.89	466.88	140.04	435.55	195.72	226.54	173.85	249.73	269.6	138.1	128.79	409.15	281.09	206.94	299.25	220.32	109.66	57.49	117.6	85.82	94.67	110.43	62.56	46.5	0.0	0.49
TSSC1	447.82	521.76	447.82	414.87	518.15	583.07	514.56	543.96	299.25	514.56	500.46	753.83	624.99	620.67	902.89	511.0	258.57	339.14	275.28	218.79	255.0	381.68	239.52	260.38	0.0	0.22
TTC13	229.72	204.07	253.23	246.28	182.55	115.16	221.86	229.72	486.75	153.34	202.66	195.72	368.65	327.56	199.85	379.04	62.12	45.21	112.77	59.97	67.12	97.36	20.56	89.51	0.0	0.72
TTC9C	500.46	813.63	656.11	587.13	507.46	1088.92	507.46	551.56	307.69	587.13	595.34	1208.34	785.88	753.83	921.88	571.05	447.82	260.38	356.05	242.88	299.25	204.07	205.5	155.5	0.0	0.44
WDR35	90.77	147.06	163.28	139.07	103.69	126.12	71.0	139.07	114.36	133.36	94.67	249.73	116.78	122.64	201.25	60.82	24.28	13.93	26.28	16.03	18.03	25.17	7.17	9.7	0.0	0.11
WDR88	7.94	9.7	4.43	3.66	2.78	9.41	2.81	8.71	8.0	1.1	5.06	3.06	0.91	4.94	2.32	1.68	0.65	0.55	0.0	0.58	0.61	0.82	1.33	0.0	0.0	0.06
XRCC3	587.13	226.54	214.27	444.72	153.34	275.28	218.79	339.14	173.85	129.69	105.89	217.27	118.43	267.73	269.6	197.09	46.84	42.41	67.59	26.1	33.3	77.79	27.05	20.41	0.0	1.0
ZDHHC17	202.66	323.03	169.07	303.44	176.29	285.03	173.85	228.13	241.19	180.02	212.78	503.95	283.05	248.0	262.2	163.28	91.41	34.02	94.67	70.01	84.63	102.25	37.32	38.12	0.0	0.72
ZNF594	92.7	146.03	74.06	89.51	33.54	99.43	45.53	98.73	77.25	69.03	31.9	105.15	58.71	38.12	108.14	57.89	16.51	1.13	14.03	7.22	11.04	4.66	1.19	3.29	0.0	0.12
ZNHIT6	183.82	323.03	305.55	199.85	229.72	309.83	204.07	915.51	241.19	312.0	366.09	1457.23	220.32	195.72	279.14	140.04	69.52	53.57	97.36	63.0	74.06	65.72	20.86	193.01	0.0	0.36
