	GTEX.11UD2.1526.SM.5EQLQ	GTEX.ZTSS.0626.SM.59867	GTEX.145LV.1326.SM.5S2QI	GTEX.OXRN.1726.SM.3NM9B	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.13PVQ.1826.SM.5L3GU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
CCL5	7.22	40.93	11.55	29.7	31.45	6.73	25.17	819.3	307.69	1427.22	368.65	934.76	172.65	2796.65	181.28	525.39	438.59	72.52	518.15	127.89	80.57	366.09	204.07	66.65	239.52	1037.29	72.52	156.59	1745.2	878.17	163.28	1369.04	1073.91	620.67	332.14	1857.6	529.06	78.34	1757.34	177.53	218.79	113.56	43.32	127.0	126.12	87.03	629.35	802.41	262.2
CD244	5.32	6.16	17.38	9.78	6.89	6.89	0.0	0.0	0.03	18.7	11.73	20.71	1.77	28.24	7.0	11.3	9.41	3.08	19.39	1.81	2.23	8.51	5.68	3.11	3.69	18.43	8.65	0.0	18.56	14.45	9.2	21.47	15.11	4.94	4.7	24.81	8.06	9.7	9.85	3.5	10.0	0.0	2.16	0.58	1.87	1.85	27.64	16.03	4.06
CD247	30.12	30.56	34.02	23.93	49.21	6.67	10.55	0.0	0.28	246.28	51.71	164.42	24.11	217.27	26.47	36.01	91.41	17.0	125.24	34.02	20.11	55.49	66.65	40.93	30.34	163.28	27.25	24.81	190.34	149.12	144.01	211.31	102.25	74.58	31.67	189.02	77.79	38.4	167.9	43.32	64.34	30.56	3.5	15.91	16.27	25.17	197.09	93.35	35.76
CD27	6.52	33.3	4.94	7.63	92.7	19.39	1.48	0.0	0.22	2018.8	204.07	1467.37	769.69	3190.46	312.0	915.51	896.64	84.04	563.18	22.1	177.53	669.92	68.07	143.01	137.14	642.59	204.07	239.52	1208.34	84.63	96.01	1159.07	1104.13	693.58	127.0	808.0	100.13	123.5	961.07	133.36	343.89	70.01	195.72	363.56	307.69	493.56	100.13	698.41	125.24
CD28	5.92	6.36	4.74	1.77	3.5	0.0	5.11	0.0	0.12	25.91	10.71	62.12	0.62	78.89	6.41	13.12	9.48	6.62	8.85	0.64	2.73	13.03	16.15	2.84	2.63	18.16	6.01	3.26	18.7	50.27	8.85	31.9	47.5	15.11	9.7	56.28	8.32	9.34	14.67	11.91	9.34	10.16	4.9	1.31	5.23	3.23	13.42	11.3	8.58
CD300C	4.46	0.0	0.0	9.34	4.74	0.0	9.56	0.0	0.08	42.11	30.56	50.27	50.27	41.81	23.25	29.48	15.0	22.1	26.86	3.17	18.29	31.67	34.26	26.86	20.71	47.5	29.27	44.25	43.32	23.59	27.44	54.72	64.34	40.36	36.01	57.89	30.78	20.11	40.07	26.1	43.94	6.89	11.73	7.28	20.56	38.12	14.89	46.18	37.85
CD5	8.65	15.68	5.23	3.99	17.77	4.86	5.11	0.0	0.09	27.25	8.99	56.28	10.16	146.03	27.05	26.28	13.22	12.74	19.68	7.17	16.03	26.67	10.79	22.43	21.01	42.11	8.32	13.93	34.75	23.08	9.06	40.36	62.56	27.25	27.05	56.28	16.39	17.0	81.14	26.47	21.47	27.64	0.29	5.96	8.65	3.86	76.71	22.92	11.04
CDKN2AIPNL	228.13	231.32	224.97	147.06	246.28	162.14	176.29	0.0	0.28	872.1	854.13	753.83	684.02	567.1	633.73	703.28	902.89	423.61	607.87	651.58	518.15	684.02	612.11	307.69	785.88	743.43	708.18	656.11	660.68	954.43	665.29	665.29	674.59	785.88	693.58	769.69	802.41	674.59	748.61	583.07	587.13	575.03	743.43	848.22	642.59	633.73	718.08	825.0	723.08
CETN3	229.72	483.38	480.04	612.11	406.31	420.68	105.89	0.0	0.0	620.67	842.36	896.64	490.14	866.07	529.06	713.11	890.44	236.21	759.08	583.07	529.06	620.67	518.15	301.33	733.19	791.35	785.88	616.37	723.08	836.53	371.22	698.41	718.08	753.83	647.07	708.18	808.0	583.07	785.88	536.45	813.63	571.05	599.49	392.44	616.37	555.41	563.18	651.58	825.0
CMC1	432.53	463.65	708.18	400.71	460.44	473.41	381.68	0.0	0.66	713.11	1096.5	909.17	612.11	1225.22	575.03	791.35	1073.91	332.14	915.51	547.75	612.11	616.37	463.65	397.93	785.88	928.3	684.02	642.59	647.07	848.22	728.11	909.17	642.59	860.08	759.08	1023.0	995.0	511.0	559.28	551.56	559.28	571.05	521.76	848.22	753.83	698.41	796.86	599.49	703.28
