	GTEX.11UD2.1526.SM.5EQLQ	GTEX.ZTSS.0626.SM.59867	GTEX.145LV.1326.SM.5S2QI	GTEX.OXRN.1726.SM.3NM9B	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.13PVQ.1826.SM.5L3GU	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y111.1926.SM.4SOIS	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
SETD9	50.98	120.1	109.66	68.07	161.02	19.68	70.51	0.0	0.26	187.71	287.01	323.03	205.5	148.09	122.64	199.85	612.11	217.27	271.48	157.68	140.04	217.27	156.59	221.86	193.01	316.37	136.19	111.99	309.83	432.53	316.37	397.93	234.57	473.41	113.56	348.71	412.0	242.88	400.71	115.97	195.72	275.28	297.17	150.17	172.65	242.88	320.8	293.07	348.71
SETMAR	312.0	251.48	246.28	145.02	277.2	107.38	312.0	0.0	0.0	791.35	878.17	780.44	547.75	536.45	454.09	607.87	500.46	275.28	612.11	460.44	463.65	514.56	587.13	343.89	444.72	679.29	674.59	532.74	836.53	713.11	624.99	583.07	551.56	825.0	454.09	616.37	796.86	454.09	642.59	490.14	563.18	480.04	429.54	454.09	738.29	473.41	633.73	595.34	638.15
SF3B14	1477.58	2591.27	2875.3	2335.28	2240.11	2537.92	1806.78	0.0	0.92	2895.31	3419.52	3614.55	2591.27	3564.78	1963.57	3081.75	3716.2	1806.78	3018.3	2609.3	2351.53	2133.97	2148.82	2555.58	2573.36	3081.75	2240.11	2451.44	2319.15	3443.31	2796.65	2384.37	2178.83	3039.3	2976.74	3146.52	3564.78	2537.92	3742.05	1832.01	2627.46	2400.97	2627.46	3081.75	2935.74	2367.9	3443.31	2645.74	2855.44
SH2D1A	11.13	0.44	0.78	2.39	0.8	0.0	12.55	0.0	0.1	76.71	17.38	54.72	5.5	191.67	13.72	14.89	15.45	6.46	32.82	9.56	11.38	19.82	9.34	4.58	15.11	37.05	0.0	4.74	30.12	18.03	18.7	52.82	33.54	20.41	14.03	76.17	22.26	5.59	79.45	16.03	11.13	3.11	3.0	4.7	1.71	6.31	31.9	16.39	4.39
SMIM19	1407.55	836.53	708.18	503.95	780.44	476.71	1008.9	0.0	0.51	2835.7	2573.36	3325.99	2047.0	2287.2	1769.57	2018.8	2664.15	1781.89	2682.69	2591.27	2032.85	1857.6	1388.16	1519.15	1733.13	3257.52	2178.83	2209.26	2163.77	2956.17	2915.45	1781.89	2004.85	2627.46	1794.29	2627.46	2520.38	2075.59	4210.15	1883.54	2018.8	2537.92	2271.4	2796.65	1883.54	1950.0	2485.67	2573.36	3060.45
SMIM7	995.0	1225.22	1378.57	1369.04	1417.35	2178.83	1051.79	1697.45	249.73	3235.01	3690.52	3146.52	2816.11	3690.52	2434.5	3103.19	3280.18	1437.15	2627.46	2148.82	2451.44	2255.7	2119.22	1794.29	2502.97	3280.18	2796.65	2573.36	3039.3	4123.49	3349.13	2875.3	2468.49	3515.68	2255.7	3168.41	3372.43	2319.15	3467.27	2018.8	2609.3	2018.8	2303.12	2645.74	2997.45	2224.63	3280.18	2997.45	2956.17
SMYD2	180.02	503.95	693.58	435.55	651.58	314.17	201.25	0.0	0.25	1331.57	1286.18	1286.18	718.08	1322.37	848.22	1059.11	1519.15	607.87	1183.45	743.43	642.59	665.29	830.75	571.05	642.59	1151.06	1008.9	651.58	1167.14	1277.29	1044.52	1135.2	854.13	1322.37	825.0	1143.1	1350.18	651.58	1183.45	878.17	896.64	607.87	651.58	775.05	769.69	830.75	954.43	1119.56	1030.12
SNRNP25	738.29	400.71	518.15	563.18	435.55	255.0	463.65	0.0	0.33	1477.58	1037.29	1277.29	563.18	1477.58	842.36	1331.57	961.07	842.36	1096.5	708.18	785.88	780.44	791.35	389.72	988.12	1295.13	1151.06	780.44	1268.46	1844.76	1225.22	1417.35	1250.98	1127.35	1001.93	967.76	1397.83	890.44	1322.37	753.83	1015.93	633.73	599.49	928.3	878.17	860.08	1175.27	1540.37	1199.98
SNRPC	738.29	1388.16	1733.13	866.07	1487.87	1015.93	1268.46	0.0	0.45	3146.52	3515.68	2956.17	2915.45	3443.31	2451.44	2935.74	2739.08	2090.03	2682.69	2224.63	2468.49	2319.15	2591.27	1709.26	2816.11	3168.41	2855.44	3060.45	2739.08	3060.45	2739.08	2855.44	2502.97	2915.45	3303.0	3349.13	3018.3	2627.46	2627.46	2271.4	2835.7	2573.36	2303.12	3614.55	2664.15	2645.74	2701.35	2835.7	3168.41
SNRPD3	890.44	2018.8	1467.37	1733.13	1923.14	1127.35	1044.52	0.0	0.8	2468.49	4181.07	3395.89	3124.78	3614.55	1950.0	3820.7	3325.99	1977.24	2591.27	2104.58	1936.53	2133.97	2047.0	2018.8	2384.37	3768.09	2502.97	2287.2	2520.38	3257.52	2777.33	2796.65	3039.3	3018.3	3124.78	2976.74	3564.78	2520.38	2485.67	2090.03	2468.49	2573.36	1832.01	2018.8	2502.97	2224.63	3103.19	2915.45	2976.74
SP140	37.05	21.16	52.08	15.0	46.18	6.36	16.27	0.0	0.39	90.14	29.06	66.65	5.36	217.27	17.13	29.06	34.75	22.92	53.95	7.06	22.43	31.22	23.25	26.86	25.17	71.5	12.18	7.06	106.63	90.14	51.35	157.68	99.43	32.13	13.32	99.43	53.19	15.8	75.11	23.59	20.71	24.81	9.78	10.0	8.85	21.47	38.67	55.1	20.71
SS18L2	285.03	291.04	412.0	363.56	381.68	244.57	251.48	0.0	0.66	775.05	769.69	723.08	579.04	785.88	536.45	571.05	872.1	417.77	791.35	587.13	543.96	567.1	503.95	703.28	529.06	693.58	476.71	612.11	607.87	860.08	718.08	555.41	651.58	896.64	511.0	769.69	836.53	525.39	890.44	470.14	743.43	555.41	490.14	708.18	713.11	551.56	825.0	629.35	620.67
ST8SIA4	22.92	4.82	3.82	6.41	4.82	20.86	4.54	103.69	58.71	69.52	53.95	141.02	25.54	79.45	31.0	43.94	60.82	5.73	44.25	9.13	18.97	39.22	16.39	22.26	14.89	90.14	39.5	23.08	32.13	61.25	38.12	77.25	66.65	55.1	34.75	85.22	83.45	16.88	87.65	27.05	48.52	12.27	16.03	18.16	22.75	39.22	19.82	48.87	50.98
SUMF1	215.77	743.43	842.36	764.36	555.41	1044.52	251.48	0.0	0.42	1104.13	1313.23	1183.45	796.86	1104.13	785.88	1369.04	1250.98	753.83	860.08	713.11	656.11	808.0	791.35	718.08	738.29	1191.69	890.44	896.64	1167.14	1388.16	866.07	1096.5	848.22	1286.18	848.22	1268.46	1159.07	941.27	1127.35	723.08	785.88	769.69	684.02	802.41	981.29	819.3	872.1	967.76	1216.75
SUMO1	1088.92	1175.27	1295.13	1111.82	1183.45	808.0	1331.57	0.0	0.79	3515.68	4419.52	4328.55	2855.44	3928.15	2682.69	3589.58	4481.23	2255.7	3372.43	2451.44	2209.26	2209.26	2367.9	2816.11	2287.2	3614.55	2895.31	2468.49	3212.66	4123.49	3060.45	3039.3	3124.78	3639.7	2796.65	3820.7	4419.52	2468.49	4066.71	2090.03	2739.08	2400.97	2664.15	3325.99	2935.74	2468.49	3614.55	3395.89	3742.05
SUMO2	1870.53	4575.41	3190.46	4607.24	4095.0	2555.58	2287.2	6699.25	4972.34	5147.73	7230.1	7230.1	5292.48	7331.05	4575.41	7280.4	7749.1	4543.8	6037.61	5076.84	4210.15	4038.61	4769.75	4419.52	5076.84	6561.36	5791.62	4210.15	5517.27	6471.02	5751.61	5672.41	6887.62	6840.04	5711.87	6745.86	5831.91	4769.75	5633.22	5219.6	5006.93	4769.75	4481.23	4512.4	4671.57	4481.23	6561.36	6294.04	6652.97
SUPT4H1	551.56	1991.0	1457.23	1447.15	1896.65	1733.13	775.05	0.0	0.88	2335.28	2645.74	2645.74	1991.0	2351.53	1639.59	2664.15	2351.53	1407.55	1721.16	1745.2	1674.06	1745.2	1697.45	1407.55	1909.85	2193.99	2061.24	1936.53	2468.49	2384.37	2018.8	2061.24	2451.44	2287.2	2148.82	2417.67	1950.0	1819.35	2555.58	1745.2	1832.01	1639.59	1561.89	1896.65	2004.85	1832.01	1844.76	2193.99	2119.22
TAGAP	2.66	12.83	9.41	2.73	6.94	1.06	2.1	0.0	0.21	273.37	40.07	137.14	15.45	536.45	55.49	36.27	89.51	9.48	36.53	5.19	5.23	30.56	15.56	9.06	28.24	111.21	24.28	14.67	105.15	38.95	48.52	140.04	61.68	49.56	21.16	121.79	30.78	19.39	97.36	27.05	37.32	16.63	3.26	6.52	12.74	12.93	64.34	36.79	14.14
TBCA	2335.28	3665.02	3190.46	3257.52	3955.48	3716.2	2271.4	0.0	0.92	5594.3	7642.41	7130.55	6935.54	7966.99	4704.07	7749.1	8718.32	4481.23	5672.41	6607.01	5041.77	3768.09	4769.75	4123.49	7081.29	6164.49	5147.73	6164.49	5219.6	8479.89	6121.9	5366.37	5831.91	6516.03	6164.49	6294.04	6792.79	6250.56	5872.48	3280.18	7280.4	5672.41	4607.24	6983.79	7485.11	5555.65	6607.01	6337.83	7081.29
TBX21	2.07	3.17	0.44	1.71	2.89	0.0	1.55	0.0	0.21	32.59	9.2	24.11	7.22	55.49	7.0	5.02	13.03	4.58	14.24	13.72	3.96	20.86	12.64	5.23	5.06	22.26	11.82	13.32	36.53	25.91	15.91	33.78	7.88	23.59	10.79	36.79	22.59	4.86	20.71	2.78	17.25	6.46	2.61	3.82	6.31	6.52	35.0	25.54	4.06
TG	67.12	187.71	66.65	61.68	76.17	20.56	50.98	0.0	0.64	1282030.25	1393227.06	2068278.89	2247670.86	751804.53	2126426.15	1751305.3	2375828.71	2111737.85	1611529.43	1308968.45	1493223.86	1739208.14	1838374.44	857631.47	1997825.68	1535204.12	1984025.69	1997825.68	1984025.69	1196176.45	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	857631.47	1622738.51	1727194.55	1589343.01	1085552.95	2263304.65	2111737.85	1800541.22	3178687.03	3886391.01	2263304.65	2672946.37	1864037.21	1634025.56
TIMM22	104.42	177.53	151.22	120.94	186.4	128.79	134.3	0.0	0.09	265.87	334.46	301.33	248.0	246.28	208.38	273.37	249.73	158.79	217.27	185.11	208.38	228.13	253.23	149.12	218.79	277.2	232.94	231.32	267.73	285.03	183.82	265.87	265.87	253.23	260.38	318.57	265.87	220.32	283.05	220.32	229.72	217.27	215.77	258.57	206.94	237.86	255.0	258.57	295.11
TMEM14A	234.57	921.88	836.53	651.58	540.19	277.2	155.5	0.0	0.22	981.29	1127.35	1277.29	688.78	1233.75	656.11	1037.29	1191.69	281.09	802.41	493.56	620.67	497.0	536.45	191.67	718.08	1111.82	764.36	684.02	836.53	1304.15	743.43	1119.56	703.28	974.5	819.3	1111.82	974.5	633.73	1167.14	529.06	974.5	514.56	612.11	708.18	718.08	624.99	616.37	941.27	1081.39
TMEM14C	1487.87	1832.01	1977.24	1208.34	1498.22	1167.14	2119.22	0.0	0.77	4181.07	4607.24	4869.99	3349.13	4903.87	2915.45	3982.99	5147.73	2591.27	3467.27	3349.13	2997.45	3235.01	2875.3	2255.7	2956.17	4298.64	3928.15	3349.13	3564.78	4736.79	4298.64	4010.71	3395.89	5255.91	3794.3	4298.64	4575.41	3540.14	4671.57	2758.13	3349.13	3039.3	3372.43	3874.05	3820.7	3146.52	4543.8	3716.2	4239.45
TMEM216	262.2	205.5	265.87	223.41	255.0	197.09	118.43	0.0	0.03	583.07	764.36	525.39	387.02	669.92	353.59	532.74	583.07	307.69	536.45	314.17	325.29	438.59	406.31	368.65	466.88	567.1	463.65	444.72	642.59	665.29	466.88	447.82	591.22	518.15	521.76	713.11	638.15	441.64	551.56	384.34	432.53	426.57	423.61	403.5	384.34	412.0	441.64	518.15	463.65
TMEM230	1322.37	941.27	693.58	819.3	995.0	599.49	1745.2	0.0	0.61	4802.93	5441.3	6079.61	3280.18	5041.77	2591.27	4543.8	5479.15	2287.2	3901.01	3081.75	2591.27	3190.46	2720.15	2193.99	3395.89	5403.7	4095.0	3190.46	3665.02	5403.7	4298.64	4298.64	3515.68	4543.8	3665.02	4869.99	6121.9	3325.99	5672.41	2835.7	2855.44	3190.46	3540.14	3190.46	3039.3	2997.45	4268.94	3280.18	5076.84
TMEM251	234.57	264.03	260.38	193.01	265.87	183.82	180.02	0.0	0.0	934.76	961.07	1030.12	571.05	836.53	563.18	808.0	878.17	463.65	698.41	480.04	490.14	551.56	587.13	575.03	575.03	928.3	642.59	738.29	780.44	1008.9	785.88	660.68	764.36	723.08	624.99	934.76	902.89	620.67	854.13	507.46	769.69	536.45	591.22	785.88	638.15	674.59	633.73	808.0	808.0
TMEM5	201.25	195.72	178.77	140.04	172.65	145.02	275.28	0.0	0.28	493.56	587.13	708.18	275.28	587.13	323.03	518.15	651.58	205.5	457.25	281.09	325.29	366.09	287.01	239.52	301.33	536.45	351.14	395.18	567.1	624.99	447.82	463.65	406.31	457.25	356.05	490.14	511.0	289.02	555.41	295.11	432.53	384.34	323.03	297.17	303.44	358.54	417.77	532.74	551.56
TMEM98	753.83	241.19	289.02	466.88	361.04	327.56	521.76	0.0	0.74	2367.9	2240.11	3372.43	1199.98	4639.29	802.41	1936.53	1936.53	723.08	1909.85	1617.0	1277.29	1081.39	1096.5	1447.15	1417.35	2816.11	2075.59	796.86	3103.19	1963.57	1991.0	3212.66	1127.35	3443.31	1286.18	3146.52	2777.33	1369.04	3395.89	1242.34	780.44	1457.23	599.49	1066.48	1059.11	796.86	1572.76	1733.13	1487.87
TOMM6	2417.67	4450.27	4123.49	5831.91	4639.29	5403.7	2758.13	0.0	0.93	7589.61	9606.86	6699.25	5292.48	8421.31	4512.4	7081.29	6935.54	4095.0	6516.03	3955.48	5076.84	4903.87	4038.61	4181.07	5711.87	7433.4	5076.84	5329.3	6079.61	8363.13	6840.04	5751.61	5147.73	6983.79	5711.87	7433.4	8658.09	4937.99	7695.57	3955.48	6121.9	4543.8	4328.55	6294.04	4937.99	4328.55	6745.86	6561.36	6887.62
TRAPPC6A	387.02	595.34	624.99	518.15	599.49	187.71	329.84	0.0	0.36	3614.55	3443.31	2682.69	1447.15	2935.74	1427.22	2976.74	2627.46	1350.18	2609.3	1135.2	1883.54	1794.29	1242.34	995.0	1397.83	3235.01	1870.53	2335.28	2701.35	2591.27	2758.13	2758.13	2319.15	2935.74	1733.13	2816.11	2682.69	1519.15	2537.92	1191.69	1498.22	1143.1	1378.57	2287.2	1498.22	1674.06	2664.15	2976.74	3060.45
TRAT1	1.53	3.26	2.92	0.0	1.51	0.0	0.0	0.0	0.12	17.13	5.11	90.14	3.82	59.13	9.34	11.13	12.74	2.16	3.69	0.99	7.69	13.22	11.38	0.91	7.4	14.78	2.94	6.73	19.97	5.28	4.66	29.27	12.36	10.88	5.06	27.64	5.11	7.06	22.1	1.48	10.31	4.5	0.0	4.58	1.01	0.0	28.04	7.75	1.85
WDR83OS	1923.14	3515.68	4328.55	3419.52	4736.79	3639.7	2434.5	0.0	0.91	8598.28	9025.81	7130.55	6037.61	8538.88	4869.99	7589.61	7966.99	5441.3	6207.38	5006.93	5183.54	5711.87	6792.79	4123.49	6607.01	7911.95	7911.95	5872.48	8022.41	9740.98	7911.95	7803.01	6699.25	8191.0	7180.15	8134.41	7911.95	6840.04	8022.41	4903.87	5711.87	5751.61	6079.61	6561.36	5555.65	5555.65	7230.1	6983.79	8078.22
WRNIP1	698.41	1037.29	928.3	1044.52	1044.52	819.3	540.19	0.0	0.82	1519.15	1594.73	1487.87	1059.11	1331.57	1175.27	1407.55	1540.37	961.07	1350.18	1191.69	1001.93	1175.27	1313.23	1143.1	1175.27	1757.34	1216.75	1242.34	836.53	1498.22	1242.34	1242.34	1369.04	1295.13	1167.14	1350.18	1651.0	1208.34	1359.57	1059.11	1183.45	1277.29	1104.13	1088.92	1268.46	1331.57	1407.55	1250.98	1359.57
XCL2	0.0	12.09	0.0	2.16	0.0	0.0	0.0	0.0	0.0	152.28	16.03	51.71	9.48	297.17	7.46	22.26	17.9	16.88	27.64	7.46	0.0	19.82	0.0	10.16	18.84	28.45	8.99	7.63	53.95	20.26	14.03	49.21	144.01	11.73	28.24	90.14	0.0	0.0	53.19	0.0	34.75	9.78	0.0	6.31	0.0	0.0	45.85	0.0	17.9
YIPF1	708.18	748.61	612.11	493.56	563.18	529.06	633.73	0.0	0.56	1175.27	2591.27	1639.59	1769.57	1628.26	1487.87	1437.15	1605.83	693.58	2240.11	915.51	1508.65	1183.45	1286.18	1030.12	2417.67	1551.09	1151.06	1350.18	934.76	1350.18	1242.34	1143.1	1572.76	1508.65	1143.1	1191.69	1950.0	1304.15	1572.76	934.76	2018.8	1242.34	1313.23	2090.03	1407.55	1572.76	1508.65	1159.07	2224.63
ZMYND12	8.99	4.1	8.0	11.47	5.19	13.22	15.22	0.0	0.0	301.33	339.14	414.87	120.1	289.02	94.67	209.84	283.05	148.09	260.38	145.02	113.56	201.25	63.89	93.35	63.89	279.14	249.73	152.28	275.28	279.14	204.07	312.0	167.9	318.57	132.44	229.72	366.09	96.68	353.59	65.72	118.43	83.45	131.51	148.09	158.79	114.36	165.57	258.57	275.28
ZNF683	1.58	1.16	2.97	0.0	5.59	0.0	0.0	0.0	0.0	137.14	78.34	37.85	5.96	102.97	20.11	30.56	36.01	0.0	46.84	6.73	0.0	14.24	0.0	7.4	9.06	134.3	30.12	0.0	265.87	82.29	24.46	99.43	234.57	130.6	11.47	105.15	115.16	6.67	152.28	0.0	13.62	0.0	7.88	5.73	6.31	4.24	32.13	139.07	26.28
ZNHIT3	423.61	860.08	941.27	551.56	769.69	629.35	547.75	0.0	0.27	1104.13	1233.75	1286.18	995.0	1242.34	708.18	1191.69	1096.5	738.29	866.07	981.29	830.75	928.3	836.53	603.67	825.0	1096.5	1059.11	967.76	1208.34	1369.04	1023.0	1030.12	836.53	1059.11	860.08	1151.06	1268.46	854.13	1199.98	624.99	954.43	1008.9	698.41	848.22	954.43	884.29	915.51	961.07	1088.92
