	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.B8.A8YJ.01A.13R.A39I.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.ET.A3BX.01A.11R.A19O.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.4C.A93U.01A.11R.A39I.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.DE.A4MD.01A.11R.A250.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.12WSB.0726.SM.5N9GD
CCM2L	17.0	567.1	341.51	0.0	175.07	36.53	100.83	175.07	106.63	165.57	303.44	50.98	45.21	105.15	30.34	126.12	124.37	69.52	76.17	248.0	29.48	77.25	40.36	116.78	249.73	150.17	212.78	37.32	75.11	94.01	100.13	37.59	81.71	34.26	77.79	66.18	58.71	73.54	124.37
CD34	134.3	8134.41	4328.55	0.0	1350.18	392.44	693.58	1378.57	1457.23	1844.76	3190.46	599.49	438.59	872.1	232.94	896.64	728.11	540.19	872.1	2417.67	285.03	753.83	348.71	921.88	3303.0	2367.9	2018.8	480.04	647.07	1407.55	1331.57	555.41	974.5	493.56	1259.69	775.05	698.41	612.11	1583.71
CD93	223.41	3614.55	5872.48	212.78	587.13	165.57	277.2	679.29	830.75	785.88	1369.04	234.57	256.78	514.56	165.57	429.54	612.11	320.8	529.06	1191.69	209.84	260.38	275.28	460.44	1457.23	1242.34	728.11	204.07	473.41	808.0	728.11	346.29	791.35	728.11	555.41	271.48	289.02	231.32	480.04
CDH5	80.57	3515.68	3847.29	0.0	633.73	248.0	397.93	759.08	693.58	785.88	1540.37	309.83	361.04	547.75	229.72	525.39	559.28	406.31	633.73	819.3	301.33	361.04	432.53	525.39	1208.34	995.0	988.12	334.46	366.09	674.59	665.29	392.44	599.49	457.25	518.15	379.04	447.82	329.84	490.14
CDKN2C	234.57	397.93	325.29	0.0	208.38	220.32	209.84	368.65	146.03	220.32	563.18	237.86	115.97	214.27	140.04	325.29	206.94	84.04	147.06	490.14	102.97	208.38	163.28	223.41	251.48	389.72	389.72	75.11	177.53	327.56	149.12	214.27	165.57	143.01	205.5	186.4	116.78	166.73	420.68
CHN1	309.83	414.87	698.41	0.0	435.55	145.02	195.72	384.34	493.56	361.04	447.82	220.32	165.57	325.29	129.69	332.14	379.04	178.77	277.2	595.34	161.02	287.01	187.71	412.0	988.12	514.56	332.14	38.12	392.44	368.65	217.27	171.45	432.53	242.88	450.94	242.88	77.25	171.45	414.87
CLEC14A	42.11	3564.78	3081.75	0.0	1015.93	271.48	366.09	825.0	599.49	848.22	1561.89	438.59	318.57	532.74	234.57	642.59	476.71	379.04	642.59	1457.23	217.27	480.04	312.0	656.11	1594.73	1151.06	1208.34	281.09	429.54	842.36	738.29	346.29	624.99	426.57	371.22	536.45	435.55	432.53	256.78
CLEC3B	22.43	4903.87	7280.4	0.0	1572.76	226.54	909.17	1437.15	1250.98	2287.2	2609.3	483.38	301.33	878.17	147.06	1051.79	775.05	275.28	409.15	2645.74	159.9	764.36	348.71	842.36	3589.58	1674.06	2287.2	138.1	967.76	1378.57	1096.5	180.02	417.77	376.41	325.29	860.08	334.46	379.04	1977.24
CNRIP1	64.8	559.28	669.92	0.0	185.11	48.18	124.37	198.47	301.33	242.88	341.51	102.97	84.04	223.41	50.63	202.66	150.17	82.87	102.97	371.22	52.08	144.01	55.49	177.53	616.37	170.25	234.57	39.79	185.11	228.13	137.14	100.83	142.01	87.65	251.48	64.8	93.35	70.51	381.68
COL15A1	358.54	3491.39	3303.0	0.0	629.35	244.57	447.82	981.29	1081.39	848.22	1896.65	275.28	262.2	733.19	152.28	743.43	1427.22	312.0	414.87	1313.23	183.82	339.14	323.03	718.08	2591.27	703.28	759.08	129.69	579.04	521.76	669.92	226.54	647.07	423.61	921.88	316.37	194.36	221.86	825.0
COX4I2	116.78	3716.2	392.44	0.0	607.87	105.89	236.21	738.29	343.89	293.07	718.08	232.94	71.0	387.02	71.0	447.82	186.4	132.44	136.19	915.51	124.37	392.44	111.21	351.14	1199.98	656.11	860.08	38.12	109.66	258.57	563.18	118.43	144.01	231.32	463.65	269.6	169.07	124.37	356.05
CXorf36	50.27	1572.76	1191.69	0.0	325.29	100.13	159.9	339.14	281.09	397.93	665.29	145.02	115.97	215.77	70.01	209.84	202.66	144.01	242.88	503.95	82.29	165.57	131.51	239.52	775.05	353.59	412.0	138.1	180.02	432.53	258.57	134.3	265.87	170.25	249.73	167.9	169.07	177.53	429.54
CYYR1	52.82	1628.26	830.75	0.0	373.81	83.45	129.69	343.89	318.57	384.34	708.18	112.77	131.51	187.71	66.18	269.6	181.28	146.03	236.21	571.05	81.71	151.22	100.13	316.37	780.44	361.04	457.25	96.68	142.01	420.68	244.57	112.77	323.03	142.01	189.02	159.9	236.21	158.79	154.42
DKK2	36.53	82.87	15.11	0.0	33.78	3.26	15.45	10.63	50.27	75.64	45.21	7.94	4.46	22.75	7.75	26.86	54.72	16.51	19.53	45.53	4.06	15.91	22.92	15.68	73.54	89.51	46.18	1.66	10.79	52.08	46.5	9.78	107.38	24.11	28.65	21.47	9.7	1.68	4.86
EBF1	47.17	555.41	435.55	0.0	111.21	14.03	52.45	150.17	169.07	165.57	199.85	50.27	22.92	81.71	12.74	107.38	81.14	54.72	65.72	232.94	29.91	59.13	21.47	128.79	500.46	149.12	154.42	12.36	70.51	138.1	85.82	30.56	91.41	72.01	128.79	38.4	22.43	24.63	209.84
EBF2	2.48	521.76	130.6	0.0	43.63	7.75	36.01	90.14	84.04	98.73	154.42	18.7	7.0	72.01	5.45	43.32	42.11	21.16	26.47	138.1	17.51	27.44	10.79	33.78	239.52	58.71	108.14	8.51	39.22	77.25	47.17	18.16	25.91	18.84	43.94	14.67	19.68	7.17	96.01
EBF3	6.31	450.94	65.72	0.0	84.04	5.19	33.3	62.12	95.34	111.21	137.14	17.0	11.64	44.89	9.13	75.64	33.78	17.64	40.64	123.5	6.01	28.04	24.11	75.64	202.66	31.45	98.73	10.79	44.25	74.06	24.63	14.03	42.71	7.75	46.84	21.63	15.8	16.75	127.0
ECM2	32.59	708.18	1963.57	0.0	183.82	14.03	143.01	214.27	518.15	305.55	384.34	65.26	16.27	281.09	15.11	182.55	232.94	72.52	78.89	348.71	52.08	133.36	36.27	137.14	878.17	279.14	198.47	10.71	201.25	279.14	115.97	100.13	126.12	122.64	249.73	47.17	11.38	25.91	743.43
ECSCR	244.57	6079.61	5292.48	0.0	1628.26	325.29	1030.12	1304.15	1477.58	2193.99	2739.08	521.76	500.46	1111.82	287.01	1030.12	780.44	518.15	718.08	2047.0	329.84	860.08	543.96	1023.0	3515.68	1844.76	1806.78	279.14	802.41	1757.34	947.83	567.1	1135.2	507.46	961.07	708.18	529.06	791.35	1923.14
EDNRB	10.88	3564.78	1721.16	0.0	341.51	90.14	122.64	521.76	221.86	316.37	457.25	123.5	29.7	191.67	100.13	371.22	162.14	167.9	269.6	915.51	66.65	111.99	84.63	176.29	579.04	612.11	559.28	108.9	131.51	679.29	567.1	76.17	277.2	297.17	135.24	99.43	395.18	137.14	141.02
EGFLAM	78.34	329.84	532.74	0.0	125.24	27.44	72.52	215.77	126.12	152.28	265.87	61.68	36.79	110.43	32.13	98.73	102.97	49.91	80.01	379.04	29.27	34.75	61.25	123.5	299.25	218.79	231.32	40.93	111.99	130.6	96.68	71.5	150.17	96.01	139.07	94.67	55.49	44.57	384.34
EMCN	20.11	2004.85	1757.34	71.5	536.45	75.11	226.54	420.68	423.61	503.95	1268.46	195.72	75.64	307.69	111.99	490.14	239.52	204.07	303.44	764.36	91.41	239.52	96.68	376.41	1388.16	312.0	836.53	87.03	231.32	890.44	297.17	105.89	358.54	147.06	327.56	204.07	217.27	129.69	514.56
ENPEP	42.11	1447.15	1286.18	0.0	88.26	13.83	49.91	239.52	78.34	108.14	358.54	50.63	13.03	103.69	10.55	81.71	54.33	44.89	48.18	256.78	30.78	55.89	20.56	26.67	397.93	224.97	215.77	31.0	24.46	107.38	150.17	42.71	96.01	98.73	256.78	27.05	45.85	52.45	115.16
ERG	89.51	1216.75	1059.11	0.0	218.79	47.17	104.42	215.77	215.77	253.23	490.14	84.04	67.59	148.09	50.98	133.36	202.66	90.14	128.79	363.56	42.41	104.42	105.89	165.57	379.04	209.84	307.69	58.71	122.64	199.85	171.45	100.13	175.07	108.9	229.72	78.34	108.9	73.54	348.71
EXOC3L1	44.57	769.69	607.87	0.0	167.9	40.64	87.03	206.94	89.51	154.42	341.51	82.29	31.9	108.9	45.21	126.12	143.01	65.26	82.87	260.38	40.93	141.02	59.55	100.13	111.21	236.21	202.66	46.84	60.82	84.04	138.1	42.41	51.35	82.87	209.84	125.24	53.57	49.91	153.34
FAM13C	11.55	384.34	211.31	0.0	100.13	15.45	49.91	98.73	97.36	147.06	221.86	15.56	20.71	53.57	9.7	71.0	48.52	19.25	53.95	109.66	18.84	22.26	18.7	88.88	236.21	83.45	127.0	14.35	32.13	72.52	37.59	23.59	55.49	44.25	107.38	18.03	15.34	19.53	417.77
FBLN5	72.52	1225.22	3820.7	0.0	743.43	139.07	555.41	540.19	884.29	1135.2	1159.07	289.02	171.45	579.04	206.94	698.41	595.34	264.03	316.37	848.22	169.07	450.94	314.17	688.78	2032.85	1081.39	848.22	146.03	825.0	967.76	567.1	291.04	748.61	353.59	480.04	334.46	265.87	255.0	2468.49
FGD5	90.14	1397.83	921.88	0.0	214.27	82.87	190.34	229.72	283.05	275.28	400.71	132.44	125.24	194.36	70.01	215.77	283.05	105.15	159.9	356.05	72.01	128.79	102.97	195.72	454.09	336.79	293.07	52.45	164.42	244.57	241.19	102.97	177.53	124.37	204.07	119.26	115.97	93.35	236.21
FLT1	90.77	2777.33	1540.37	0.0	320.8	102.25	167.9	332.14	305.55	348.71	813.63	123.5	208.38	242.88	136.19	255.0	208.38	241.19	209.84	708.18	152.28	100.13	149.12	269.6	563.18	698.41	603.67	316.37	139.07	529.06	341.51	226.54	406.31	197.09	325.29	138.1	232.94	208.38	134.3
FLT4	28.04	1936.53	1437.15	0.0	191.67	52.45	186.4	307.69	138.1	323.03	638.15	122.64	78.89	193.01	71.0	178.77	163.28	120.94	178.77	543.96	74.06	87.65	117.6	155.5	275.28	255.0	426.57	62.12	92.05	186.4	232.94	87.65	173.85	146.03	183.82	116.78	136.19	75.11	808.0
FN1	489177.0	17437.64	57448.23	114897.47	322736.12	209994.66	296977.71	233003.78	301123.38	202841.44	117311.73	456418.21	303217.87	292889.12	207103.59	271387.49	301123.38	284880.02	313910.86	77396.54	358098.26	506427.83	233003.78	450134.56	394590.4	453265.5	138544.47	338781.54	375901.76	408505.64	453265.5	299043.36	450134.56	397335.0	353168.2	286861.53	414208.18	311742.51	5650706.18
FOLH1	17.77	503.95	854.13	0.0	112.77	40.07	30.34	100.13	44.57	67.59	217.27	54.33	32.13	92.7	35.0	40.07	42.41	41.81	98.04	176.29	23.93	17.51	46.18	58.71	121.79	214.27	157.68	98.04	24.46	85.82	120.94	73.54	130.6	141.02	89.51	99.43	56.28	88.88	28.24
FOXS1	81.71	248.0	878.17	0.0	193.01	25.17	91.41	287.01	70.51	221.86	607.87	108.9	10.08	143.01	13.42	129.69	148.09	22.1	26.47	397.93	17.13	119.26	29.48	31.22	262.2	104.42	234.57	7.11	46.18	40.36	76.71	35.76	35.5	20.26	112.77	77.25	13.83	6.36	199.85
FZD4	35.25	2004.85	1151.06	47.5	224.97	109.66	161.02	299.25	223.41	343.89	493.56	77.79	94.01	194.36	127.89	178.77	186.4	167.9	162.14	450.94	128.79	111.99	126.12	181.28	417.77	289.02	301.33	61.25	142.01	232.94	204.07	129.69	182.55	98.04	199.85	123.5	120.94	122.64	563.18
GABRD	4.46	854.13	476.71	0.0	93.35	12.0	57.89	142.01	44.25	105.89	314.17	67.12	6.52	85.22	37.05	138.1	87.03	37.85	96.01	620.67	23.42	67.59	33.06	26.47	116.78	172.65	303.44	11.64	27.84	94.67	169.07	23.25	68.07	29.91	142.01	86.43	50.27	19.11	37.59
GATA2	11.73	303.44	490.14	0.0	142.01	30.56	70.01	123.5	82.87	172.65	293.07	45.53	34.75	71.0	33.3	87.65	82.87	52.82	45.53	211.31	27.64	59.55	48.87	65.72	113.56	68.55	178.77	28.86	42.11	77.79	74.58	39.22	67.12	38.12	41.81	55.1	33.54	34.26	101.54
GDF3	0.0	14.56	34.75	0.0	19.97	1.77	10.0	4.74	6.78	10.39	14.14	6.62	2.18	3.63	2.51	1.89	10.55	4.82	7.0	14.45	0.46	8.13	4.13	7.22	7.46	26.67	16.51	0.45	10.71	5.32	1.85	3.5	6.94	0.0	1.35	3.79	9.56	4.17	4.21
GIMAP8	46.5	1175.27	595.34	0.0	165.57	41.52	102.97	198.47	98.04	218.79	299.25	64.34	69.03	100.83	49.56	157.68	208.38	49.56	127.0	373.81	37.85	71.0	80.01	193.01	309.83	144.01	220.32	34.26	125.24	185.11	137.14	57.08	118.43	72.01	69.52	98.04	68.07	82.29	323.03
GIPC3	8.99	371.22	346.29	0.0	81.71	21.32	38.4	109.66	50.63	65.26	147.06	39.5	29.48	54.72	19.68	54.72	50.63	36.79	46.18	138.1	19.53	30.34	27.44	47.17	130.6	111.99	133.36	24.28	26.67	54.33	70.01	35.76	50.98	42.11	55.89	29.7	43.02	28.65	70.01
GNG11	181.28	1572.76	1477.58	0.0	429.54	92.05	256.78	400.71	395.18	450.94	928.3	183.82	143.01	287.01	78.89	353.59	190.34	120.1	255.0	633.73	84.04	285.03	84.04	291.04	928.3	409.15	480.04	125.24	185.11	368.65	305.55	129.69	303.44	131.51	279.14	205.5	134.3	175.07	860.08
GPR116	88.26	2976.74	3742.05	0.0	1159.07	525.39	866.07	988.12	1551.09	1674.06	1745.2	830.75	660.68	1073.91	358.54	543.96	1407.55	1769.57	1250.98	1051.79	1151.06	764.36	287.01	466.88	1143.1	2434.5	825.0	221.86	967.76	1467.37	660.68	1216.75	780.44	543.96	928.3	974.5	532.74	285.03	1242.34
GPR124	117.6	1498.22	1617.0	0.0	237.86	40.64	132.44	381.68	361.04	339.14	656.11	115.97	34.02	237.86	36.27	178.77	258.57	99.43	142.01	435.55	67.12	121.79	60.39	155.5	656.11	412.0	356.05	31.0	218.79	267.73	236.21	103.69	132.44	157.68	379.04	84.63	52.45	48.18	813.63
GPR21	1.58	22.1	15.91	0.0	7.63	0.93	4.5	10.16	3.53	18.7	21.16	2.05	0.0	8.06	4.7	6.62	5.36	4.58	7.34	14.45	2.73	3.23	5.63	3.72	4.9	21.47	15.68	1.5	6.16	3.96	3.99	2.56	7.69	5.23	8.19	4.1	3.76	1.5	8.85
GPR4	76.17	2976.74	1540.37	0.0	450.94	114.36	178.77	536.45	420.68	356.05	902.89	275.28	116.78	314.17	96.01	187.71	237.86	267.73	256.78	866.07	206.94	114.36	133.36	287.01	769.69	674.59	738.29	171.45	113.56	536.45	420.68	215.77	255.0	409.15	432.53	182.55	212.78	167.9	146.03
GRAP	31.9	406.31	543.96	0.0	116.78	34.51	64.8	98.04	79.45	96.68	212.78	59.97	47.84	79.45	40.36	95.34	114.36	36.27	68.55	325.29	21.32	94.01	46.18	108.14	153.34	82.29	136.19	37.59	68.55	99.43	80.57	45.85	66.65	61.68	85.82	84.04	38.12	45.85	221.86
GRASP	107.38	2434.5	2417.67	0.0	363.56	84.04	185.11	460.44	665.29	503.95	616.37	154.42	115.16	295.11	48.52	363.56	249.73	178.77	157.68	718.08	69.03	368.65	102.97	299.25	579.04	813.63	466.88	62.56	209.84	275.28	559.28	98.04	205.5	260.38	441.64	201.25	94.67	122.64	206.94
GRB10	507.46	6337.83	2875.3	0.0	713.11	229.72	483.38	988.12	607.87	842.36	1313.23	444.72	297.17	603.67	497.0	536.45	507.46	511.0	599.49	1191.69	409.15	447.82	490.14	400.71	890.44	808.0	1066.48	414.87	551.56	974.5	753.83	444.72	571.05	669.92	748.61	483.38	447.82	423.61	819.3
GRM8	6.26	121.79	60.39	0.0	18.56	0.85	11.04	14.24	13.12	8.06	11.82	2.86	3.79	12.83	1.41	7.06	10.55	10.16	1.17	33.78	2.66	3.89	3.99	8.19	38.4	25.17	7.63	0.21	2.41	14.45	15.34	5.73	13.83	14.24	15.91	9.63	5.15	0.87	4.54
HEYL	134.3	1745.2	3768.09	0.0	295.11	67.59	218.79	669.92	669.92	493.56	1051.79	193.01	82.87	587.13	148.09	197.09	376.41	150.17	275.28	684.02	130.6	195.72	91.41	141.02	769.69	599.49	460.44	29.7	251.48	575.03	518.15	154.42	251.48	314.17	559.28	181.28	105.15	112.77	409.15
HLX	147.06	954.43	334.46	113.56	303.44	83.45	209.84	289.02	271.48	299.25	403.5	127.89	155.5	205.5	55.1	325.29	303.44	115.97	143.01	764.36	95.34	249.73	105.89	182.55	373.81	217.27	483.38	72.52	206.94	152.28	232.94	150.17	106.63	87.65	267.73	162.14	77.25	82.29	277.2
HOXA4	12.0	514.56	165.57	0.0	53.95	11.47	19.11	68.55	85.82	119.26	57.89	32.13	2.1	30.56	2.03	47.17	44.25	24.11	22.43	80.57	14.67	47.5	12.74	63.89	140.04	47.17	69.03	10.47	39.22	78.89	24.28	17.64	24.81	12.55	64.34	12.18	22.43	13.22	91.41
HOXD3	16.27	351.14	189.02	0.0	29.06	10.96	13.03	25.17	33.54	34.75	24.46	13.93	10.88	24.11	8.71	12.27	19.11	8.92	10.31	51.35	5.82	13.32	11.55	21.16	39.22	52.08	34.51	14.56	8.0	26.67	22.75	8.38	17.38	13.32	12.36	12.45	10.31	21.47	24.11
HOXD8	22.26	872.1	518.15	0.0	128.79	44.57	60.82	97.36	140.04	110.43	88.26	56.68	42.41	64.8	18.84	62.12	53.19	52.08	83.45	214.27	49.91	55.89	37.85	100.83	283.05	156.59	162.14	55.89	52.08	105.89	82.29	63.45	85.82	74.06	88.88	51.71	44.57	102.97	53.19
