	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.A2.A4RY.01A.31R.A266.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.KC.A4BL.01A.31R.A250.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83J.11A.11R.A36G.07
DBNDD2	1540.37	1183.45	283.05	153.34	2935.74	397.93	287.01	208.38	143.01	218.79	532.74	543.96	212.78	269.6	140.04	211.31	49.56	130.6	205.5	148.09	162.14	201.25	656.11	162.14	96.01	155.5	470.14	101.54	264.03	117.6	132.44	146.03	47.5	61.25	194.36	1023.0	1594.73	708.18	1477.58	934.76	1111.82	947.83	1044.52	679.29	1208.34
DDX31	287.01	275.28	85.82	78.89	234.57	158.79	181.28	132.44	177.53	105.15	127.0	132.44	115.97	106.63	98.73	104.42	86.43	74.06	83.45	89.51	127.89	81.14	105.15	56.28	108.14	127.89	156.59	124.37	54.33	87.65	156.59	67.12	68.07	27.64	76.71	220.32	231.32	249.73	195.72	128.79	217.27	223.41	185.11	204.07	287.01
DDX39A	3081.75	1745.2	325.29	529.06	2997.45	1674.06	1572.76	575.03	1127.35	713.11	1023.0	1359.57	961.07	684.02	429.54	486.75	412.0	511.0	559.28	543.96	633.73	559.28	579.04	384.34	384.34	909.17	947.83	591.22	251.48	423.61	679.29	376.41	426.57	195.72	656.11	1081.39	1467.37	825.0	1313.23	1340.84	1457.23	1313.23	1111.82	1216.75	941.27
DNAL4	1044.52	679.29	189.02	173.85	381.68	205.5	204.07	231.32	271.48	183.82	329.84	214.27	187.71	249.73	159.9	190.34	154.42	136.19	180.02	151.22	105.89	189.02	241.19	56.68	48.52	186.4	285.03	76.71	118.43	107.38	157.68	98.04	170.25	125.24	134.3	674.59	616.37	466.88	651.58	503.95	713.11	723.08	616.37	796.86	591.22
DPF2	2367.9	954.43	684.02	229.72	1295.13	511.0	470.14	371.22	368.65	397.93	435.55	435.55	392.44	348.71	208.38	334.46	232.94	241.19	379.04	206.94	231.32	293.07	432.53	159.9	229.72	242.88	343.89	182.55	305.55	164.42	181.28	199.85	195.72	100.83	305.55	1104.13	1304.15	728.11	1073.91	947.83	1111.82	1286.18	1111.82	1135.2	1037.29
DVL3	2163.77	1183.45	571.05	366.09	1662.49	507.46	532.74	599.49	483.38	450.94	532.74	454.09	603.67	420.68	329.84	379.04	327.56	361.04	460.44	305.55	395.18	275.28	483.38	242.88	249.73	356.05	392.44	417.77	353.59	384.34	201.25	301.33	314.17	127.89	329.84	1001.93	1143.1	693.58	961.07	967.76	1151.06	1191.69	866.07	1437.15	1073.91
EED	420.68	392.44	221.86	149.12	629.35	229.72	253.23	236.21	220.32	206.94	237.86	229.72	287.01	195.72	131.51	159.9	105.15	155.5	163.28	113.56	173.85	169.07	208.38	119.26	125.24	170.25	201.25	92.7	108.14	97.36	124.37	93.35	151.22	49.21	205.5	334.46	567.1	228.13	435.55	387.02	454.09	470.14	426.57	358.54	397.93
EHMT2	6337.83	1697.45	409.15	271.48	2090.03	612.11	536.45	366.09	571.05	373.81	599.49	511.0	599.49	371.22	332.14	336.79	249.73	283.05	376.41	271.48	205.5	258.57	480.04	139.07	156.59	303.44	327.56	123.5	264.03	148.09	190.34	153.34	249.73	139.07	417.77	1175.27	1397.83	775.05	1447.15	1151.06	1259.69	1781.89	1259.69	1250.98	1208.34
FAM219A	612.11	258.57	144.01	84.63	518.15	190.34	186.4	89.51	145.02	154.42	161.02	273.37	167.9	126.12	69.03	120.94	47.5	77.79	104.42	69.52	87.65	71.0	89.51	61.25	45.85	92.7	178.77	72.52	66.18	82.87	73.54	64.8	73.03	56.28	92.7	275.28	287.01	154.42	277.2	295.11	256.78	293.07	246.28	323.03	303.44
FGF13	848.22	273.37	1250.98	13.52	107.38	133.36	80.57	55.1	31.45	39.22	146.03	158.79	25.54	90.14	21.32	21.94	9.63	11.3	33.78	20.41	45.85	28.04	239.52	19.11	20.86	9.7	52.45	11.47	21.47	13.22	38.4	4.5	13.72	8.99	70.01	493.56	348.71	796.86	536.45	915.51	532.74	780.44	1066.48	579.04	351.14
GTF3C2	1066.48	1037.29	579.04	336.79	1159.07	536.45	457.25	521.76	463.65	547.75	529.06	400.71	426.57	426.57	334.46	412.0	356.05	373.81	438.59	351.14	397.93	351.14	358.54	265.87	275.28	395.18	414.87	343.89	208.38	316.37	323.03	323.03	356.05	164.42	371.22	830.75	967.76	703.28	988.12	813.63	1073.91	928.3	884.29	1096.5	759.08
HIST2H4A	447.82	928.3	82.29	64.8	1111.82	161.02	332.14	441.64	197.09	171.45	199.85	336.79	141.02	218.79	123.5	63.89	32.13	20.56	189.02	45.21	67.59	112.77	231.32	99.43	15.8	307.69	74.06	86.43	59.55	74.06	61.25	51.71	198.47	63.45	232.94	909.17	791.35	414.87	688.78	316.37	480.04	1277.29	651.58	1427.22	674.59
IL17D	441.64	78.89	115.97	8.19	400.71	31.45	145.02	7.75	32.13	8.45	39.22	84.04	13.32	9.56	15.68	6.16	7.94	8.0	14.56	10.96	8.51	25.17	17.38	6.06	2.76	21.32	6.36	2.56	9.7	1.87	2.92	6.41	3.66	0.13	6.78	93.35	204.07	91.41	120.1	144.01	152.28	287.01	127.89	111.21	95.34
IP6K2	4388.98	4066.71	1709.26	638.15	2417.67	1111.82	1001.93	1111.82	941.27	981.29	1304.15	1369.04	1037.29	896.64	567.1	718.08	521.76	647.07	825.0	525.39	441.64	567.1	934.76	447.82	483.38	884.29	769.69	616.37	759.08	381.68	536.45	450.94	656.11	457.25	759.08	3124.78	3349.13	2255.7	2875.3	2271.4	3257.52	4671.57	2682.69	3982.99	2915.45
KCNH4	65.72	4.7	7.69	1.17	30.78	12.18	6.89	1.03	1.43	1.2	2.86	4.74	1.41	1.69	0.0	0.0	0.0	0.0	0.59	0.0	1.13	1.2	4.94	0.0	1.2	0.32	3.06	0.39	0.0	0.35	0.39	0.0	0.0	0.46	0.35	11.73	3.86	2.29	7.17	4.98	5.82	6.01	4.06	2.32	12.64
LRRC37B	441.64	332.14	96.01	27.44	265.87	110.43	69.52	66.18	64.34	75.11	88.26	117.6	118.43	66.65	32.82	63.89	39.22	35.76	77.79	27.84	36.27	24.99	77.25	7.11	26.47	29.27	44.89	20.26	38.12	22.43	47.5	23.59	41.52	22.26	50.98	242.88	334.46	189.02	214.27	301.33	255.0	341.51	244.57	285.03	231.32
MAPK12	1268.46	153.34	122.64	39.5	587.13	403.5	54.33	115.97	47.5	92.05	72.01	211.31	90.14	44.89	55.1	54.72	10.55	31.67	47.5	54.72	42.41	41.52	314.17	15.34	14.03	46.84	69.03	16.51	47.17	26.67	19.39	33.54	23.25	10.47	87.03	256.78	341.51	269.6	305.55	483.38	214.27	941.27	460.44	536.45	212.78
MED22	698.41	583.07	183.82	83.45	555.41	291.04	241.19	189.02	147.06	161.02	264.03	289.02	180.02	163.28	76.17	141.02	101.54	99.43	161.02	104.42	108.9	67.12	163.28	92.05	101.54	129.69	167.9	119.26	116.78	70.51	94.67	108.14	100.83	26.47	129.69	595.34	470.14	368.65	514.56	503.95	490.14	511.0	379.04	575.03	529.06
MED27	902.89	423.61	334.46	161.02	748.61	246.28	318.57	185.11	202.66	224.97	318.57	267.73	197.09	215.77	159.9	181.28	127.89	144.01	182.55	143.01	167.9	180.02	208.38	159.9	256.78	190.34	271.48	212.78	198.47	271.48	206.94	229.72	144.01	108.9	147.06	412.0	389.72	343.89	444.72	420.68	497.0	429.54	400.71	429.54	432.53
METTL3	1437.15	1277.29	400.71	283.05	1407.55	836.53	529.06	435.55	414.87	473.41	438.59	638.15	540.19	387.02	258.57	303.44	251.48	220.32	368.65	249.73	273.37	260.38	463.65	193.01	186.4	327.56	400.71	226.54	285.03	149.12	234.57	204.07	307.69	142.01	339.14	1167.14	1417.35	995.0	1286.18	1015.93	1216.75	1119.56	1081.39	1457.23	1030.12
MSI1	656.11	49.91	4.7	1.87	241.19	185.11	102.25	23.59	33.3	14.56	13.42	163.28	0.68	3.0	0.0	8.45	1.1	3.66	5.82	3.76	4.43	4.13	55.49	8.38	9.7	0.0	5.36	0.0	1.04	5.68	0.0	0.18	4.46	1.73	6.78	156.59	129.69	135.24	117.6	197.09	177.53	234.57	150.17	220.32	135.24
PIAS3	733.19	1806.78	318.57	119.26	1447.15	293.07	232.94	181.28	122.64	205.5	332.14	303.44	236.21	151.22	126.12	152.28	58.71	102.25	162.14	102.25	127.89	95.34	277.2	78.89	80.01	131.51	142.01	51.35	126.12	84.63	58.71	111.99	110.43	28.24	132.44	854.13	1250.98	563.18	1104.13	854.13	961.07	665.29	738.29	718.08	808.0
PKN1	4038.61	1977.24	981.29	529.06	2720.15	1551.09	1216.75	703.28	1051.79	679.29	1388.16	1051.79	954.43	785.88	540.19	808.0	438.59	583.07	743.43	514.56	540.19	532.74	1359.57	262.2	273.37	323.03	1066.48	212.78	447.82	463.65	329.84	320.8	316.37	271.48	866.07	2032.85	2193.99	1806.78	1685.71	2537.92	1950.0	2664.15	2287.2	1832.01	1447.15
PYGO2	2555.58	988.12	490.14	209.84	1119.56	624.99	423.61	361.04	412.0	323.03	420.68	486.75	454.09	346.29	241.19	285.03	228.13	253.23	279.14	198.47	198.47	215.77	318.57	114.36	208.38	318.57	366.09	111.99	232.94	119.26	190.34	102.97	209.84	171.45	281.09	775.05	819.3	607.87	728.11	785.88	830.75	890.44	791.35	928.3	638.15
R3HCC1L	198.47	244.57	150.17	75.11	189.02	113.56	115.16	154.42	115.97	98.73	158.79	109.66	116.78	144.01	95.34	96.01	52.82	76.71	120.94	67.59	103.69	71.0	132.44	55.89	85.22	95.34	84.63	68.07	73.54	55.49	57.08	59.97	70.51	35.25	80.01	212.78	205.5	182.55	163.28	186.4	183.82	176.29	189.02	186.4	199.85
RHOF	197.09	206.94	27.64	35.5	353.59	128.79	71.5	60.39	45.21	9.06	140.04	90.77	99.43	63.45	17.25	33.06	22.75	36.79	77.79	38.67	51.71	33.54	149.12	31.9	22.43	26.86	60.39	44.25	113.56	29.91	3.79	24.28	32.82	8.25	60.39	209.84	180.02	100.83	169.07	363.56	139.07	176.29	162.14	183.82	175.07
RNF44	1059.11	1066.48	226.54	198.47	1378.57	358.54	334.46	244.57	387.02	255.0	392.44	397.93	332.14	323.03	166.73	204.07	151.22	171.45	273.37	122.64	220.32	180.02	438.59	70.51	108.9	189.02	198.47	109.66	132.44	134.3	123.5	73.54	116.78	142.01	251.48	638.15	878.17	583.07	748.61	1008.9	698.41	1066.48	665.29	738.29	825.0
SAA1	0.0	13492.72	2068278.89	1290947.48	148.09	978355.0	711250.37	2343119.96	1715263.94	1668359.93	365622.68	561916.97	912837.43	2845004.48	4194303.0	2126426.15	520665.48	1221310.69	789181.81	2011721.67	3336720.86	3178687.03	783730.52	998912.34	1070607.81	1775752.63	1255646.43	1204496.53	2097151.0	875652.15	1535204.12	1229805.58	1364554.84	789181.81	1327240.99	392.44	373.81	307.69	209.84	447.82	118.43	16.88	915.51	117.6	412.0
SCNM1	2224.63	1111.82	595.34	417.77	1745.2	1359.57	775.05	718.08	624.99	536.45	713.11	1304.15	518.15	480.04	389.72	447.82	316.37	379.04	473.41	381.68	361.04	423.61	733.19	356.05	239.52	476.71	629.35	320.8	351.14	316.37	327.56	309.83	381.68	119.26	409.15	941.27	1175.27	638.15	915.51	1066.48	860.08	954.43	890.44	884.29	902.89
SUPT20H	651.58	974.5	297.17	194.36	1340.84	381.68	285.03	265.87	281.09	253.23	406.31	275.28	332.14	249.73	173.85	271.48	142.01	156.59	246.28	150.17	198.47	182.55	273.37	142.01	131.51	152.28	242.88	138.1	186.4	98.04	129.69	145.02	197.09	63.45	198.47	607.87	651.58	457.25	656.11	698.41	728.11	796.86	647.07	665.29	660.68
TANC2	180.02	256.78	93.35	16.75	114.36	24.81	20.71	18.03	13.32	27.05	39.5	20.56	23.59	21.94	22.75	25.72	4.86	18.7	12.64	7.28	27.64	16.39	25.35	5.06	3.72	10.0	26.67	0.88	4.98	5.96	6.84	24.81	2.25	22.92	18.16	126.12	143.01	185.11	87.03	106.63	122.64	60.39	172.65	127.89	131.51
TP53BP1	595.34	665.29	189.02	119.26	723.08	165.57	136.19	127.89	118.43	153.34	242.88	149.12	152.28	147.06	115.16	130.6	63.89	107.38	135.24	92.05	115.97	88.26	194.36	50.27	84.63	114.36	189.02	31.9	61.25	33.3	103.69	56.68	109.66	31.45	105.89	473.41	543.96	454.09	450.94	470.14	571.05	587.13	438.59	486.75	551.56
TSNARE1	444.72	651.58	141.02	88.88	563.18	579.04	172.65	236.21	281.09	175.07	256.78	381.68	190.34	132.44	127.0	209.84	162.14	98.04	149.12	136.19	106.63	78.34	214.27	69.52	52.82	115.16	108.9	122.64	123.5	155.5	84.04	173.85	140.04	149.12	121.79	511.0	579.04	281.09	563.18	529.06	532.74	511.0	642.59	500.46	612.11
USP21	1561.89	1066.48	332.14	115.97	1233.75	435.55	318.57	291.04	224.97	163.28	301.33	281.09	332.14	195.72	108.14	191.67	120.1	142.01	224.97	169.07	157.68	167.9	264.03	90.14	114.36	211.31	220.32	115.97	155.5	73.03	92.05	82.87	181.28	53.57	218.79	733.19	866.07	583.07	633.73	669.92	860.08	830.75	620.67	723.08	693.58
VPS72	3257.52	1127.35	633.73	373.81	1721.16	1015.93	836.53	591.22	490.14	454.09	684.02	819.3	497.0	473.41	403.5	417.77	387.02	406.31	493.56	343.89	412.0	389.72	616.37	406.31	343.89	547.75	642.59	325.29	423.61	392.44	356.05	361.04	343.89	220.32	536.45	1015.93	1088.92	878.17	1030.12	1023.0	1088.92	1417.35	1051.79	1111.82	961.07
ZBED5	884.29	866.07	358.54	130.6	902.89	256.78	244.57	173.85	134.3	183.82	301.33	226.54	241.19	202.66	117.6	226.54	77.25	102.25	178.77	105.89	128.79	127.89	197.09	73.54	108.14	139.07	185.11	80.01	166.73	100.83	77.79	88.88	131.51	29.91	139.07	733.19	1088.92	567.1	1015.93	791.35	813.63	733.19	669.92	665.29	708.18
ZBTB12	1561.89	182.55	36.79	7.88	441.64	27.25	26.28	16.27	37.59	17.9	45.53	18.43	66.18	20.11	10.47	19.97	8.85	14.03	18.29	9.7	11.38	21.63	34.75	4.03	9.85	16.63	21.78	8.19	10.88	0.52	3.56	2.32	12.45	3.41	19.82	117.6	169.07	87.65	149.12	108.14	170.25	301.33	162.14	148.09	144.01
ZFP62	854.13	551.56	212.78	76.71	518.15	211.31	175.07	212.78	195.72	156.59	220.32	236.21	202.66	127.89	116.78	167.9	78.34	79.45	180.02	92.05	113.56	115.97	187.71	33.54	53.57	111.99	115.97	44.25	93.35	47.5	74.06	46.84	106.63	51.35	111.21	497.0	633.73	529.06	587.13	470.14	603.67	842.36	693.58	642.59	518.15
ZNF337	212.78	435.55	212.78	76.71	775.05	150.17	122.64	105.15	127.89	120.1	176.29	166.73	183.82	115.16	60.82	106.63	47.5	74.06	108.9	70.01	83.45	77.25	117.6	23.59	50.63	80.01	108.14	53.95	39.5	36.01	74.58	29.48	60.39	26.28	57.89	406.31	536.45	185.11	543.96	215.77	444.72	559.28	307.69	607.87	470.14
ZNF554	265.87	96.68	82.87	30.34	57.89	49.21	55.89	59.55	49.21	45.53	46.84	35.76	72.01	36.27	37.05	50.27	37.85	31.0	54.33	24.63	29.27	28.24	37.32	20.71	34.02	47.5	20.86	31.45	43.02	44.25	30.12	24.81	37.85	31.0	28.65	87.65	132.44	80.01	99.43	111.21	101.54	113.56	86.43	115.16	87.65
ZNF74	591.22	195.72	50.98	43.32	201.25	80.57	68.55	59.97	55.89	38.67	72.01	70.51	64.34	46.18	34.02	47.84	29.27	26.67	66.65	38.12	32.36	38.95	60.82	15.68	33.54	48.18	38.4	17.51	30.12	14.89	25.72	26.1	26.67	20.41	44.25	176.29	183.82	190.34	165.57	158.79	182.55	336.79	201.25	239.52	150.17
ZSCAN9	738.29	429.54	127.89	80.57	343.89	132.44	128.79	92.05	99.43	112.77	149.12	139.07	262.2	102.97	72.01	71.0	57.49	62.56	98.04	63.89	89.51	81.14	120.94	46.84	48.87	88.26	71.5	52.08	48.52	50.63	49.56	50.27	54.72	21.94	90.14	246.28	441.64	206.94	409.15	289.02	316.37	334.46	295.11	289.02	242.88
