	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.MT.A51X.01A.11R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.IQ.A61E.01A.22R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.Y111.1026.SM.4TT22	GTEX.OXRN.0526.SM.2I5EN	GTEX.X585.1026.SM.46MW6	GTEX.11EI6.0826.SM.5985V	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZYT6.0526.SM.5GIEA	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	TCGA.33.4589.01A.01R.1443.07
C1QTNF7	1.95	3.56	1.3	11.55	1.81	0.0	1.95	1.17	2.66	2.25	4.24	0.47	0.0	0.0	170.25	764.36	642.59	190.34	571.05	1437.15	142.01	1015.93	301.33	1617.0	1340.84	36.79	521.76	409.15	825.0	138.1	239.52	43.02	255.0	67.12	343.89	4.46	674.59	86.43	366.09	420.68	764.36	218.79	769.69	334.46	89.51	209.84	0.89
C1orf101	2.92	0.88	5.92	10.24	1.45	1.77	5.36	2.66	0.55	5.36	0.96	10.88	0.0	0.15	16.63	8.78	20.56	16.63	27.25	15.34	6.84	11.82	7.63	39.22	21.78	9.56	12.36	8.38	31.9	3.35	19.97	11.64	13.32	5.36	9.34	1.5	29.06	8.58	12.45	20.56	22.26	12.36	48.87	10.0	10.88	9.06	7.94
CCDC175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.17	0.16	0.72	6.31	2.14	0.39	1.55	1.75	5.5	1.5	3.2	2.2	1.87	4.06	1.28	3.76	4.86	1.25	0.0	2.25	0.0	2.68	0.16	3.72	2.61	3.5	1.11	0.95	1.41	4.17	0.16	0.0
CCDC68	8.78	31.9	63.45	21.94	2.36	57.08	72.52	68.07	49.91	2.01	2.2	7.0	0.0	0.47	486.75	480.04	444.72	665.29	2075.59	2193.99	139.07	665.29	128.79	1896.65	2485.67	126.12	656.11	575.03	684.02	134.3	1286.18	101.54	780.44	262.2	384.34	69.03	1127.35	133.36	79.45	603.67	1159.07	165.57	267.73	323.03	403.5	178.77	1.69
CCM2L	22.75	28.65	35.0	8.71	13.12	9.2	28.65	1.6	21.01	15.91	16.39	5.11	0.0	0.04	277.2	525.39	412.0	389.72	813.63	813.63	73.03	460.44	224.97	684.02	947.83	31.45	299.25	299.25	543.96	63.89	158.79	273.37	460.44	47.84	187.71	66.65	656.11	126.12	336.79	441.64	457.25	224.97	291.04	130.6	48.87	208.38	4.1
CLCN4	6.78	8.58	16.15	5.32	1.31	3.17	18.84	0.83	2.25	14.14	1.25	4.46	0.0	0.17	77.25	327.56	123.5	45.85	186.4	253.23	13.32	112.77	38.95	403.5	77.79	5.28	42.41	54.72	94.01	67.59	303.44	87.03	339.14	122.64	62.12	32.82	255.0	47.17	71.0	92.05	202.66	130.6	208.38	37.32	43.63	52.45	0.83
CYP2U1	10.71	32.82	34.51	8.32	3.69	6.52	28.04	6.84	5.68	10.0	14.78	26.67	0.0	0.12	85.82	175.07	171.45	53.57	346.29	373.81	42.41	248.0	77.79	373.81	303.44	25.35	151.22	144.01	239.52	64.34	148.09	105.89	201.25	37.85	55.89	5.68	256.78	74.06	89.51	201.25	164.42	167.9	135.24	78.89	46.84	39.22	7.17
DIXDC1	28.04	22.59	20.11	37.85	24.99	33.54	29.91	25.91	24.28	53.19	23.93	101.54	0.0	0.16	320.8	371.22	366.09	169.07	392.44	693.58	190.34	529.06	223.41	842.36	503.95	51.35	351.14	336.79	444.72	93.35	438.59	126.12	269.6	108.9	197.09	55.49	457.25	105.89	197.09	346.29	536.45	183.82	476.71	242.88	158.79	204.07	15.22
DNAJC27	18.29	22.59	18.7	33.78	21.01	16.15	15.8	13.72	16.75	26.1	9.34	31.22	0.0	0.26	61.25	82.29	84.63	66.18	127.89	87.03	76.71	115.16	76.17	232.94	166.73	24.99	75.64	101.54	89.51	82.29	77.25	75.64	88.26	43.32	69.52	56.28	122.64	66.18	47.17	96.01	108.9	77.79	82.29	59.97	48.52	50.27	12.18
DPEP2	71.0	39.79	62.12	12.18	10.55	5.54	25.54	4.58	8.32	28.65	24.99	13.83	0.0	0.17	974.5	748.61	764.36	684.02	1073.91	2351.53	379.04	830.75	591.22	1628.26	1191.69	214.27	490.14	587.13	620.67	159.9	450.94	186.4	660.68	193.01	277.2	44.89	1883.54	463.65	878.17	909.17	1001.93	339.14	842.36	273.37	113.56	507.46	29.06
ETV1	16.39	26.1	34.51	22.1	20.26	28.86	24.81	12.0	25.35	11.3	25.35	14.67	0.0	0.33	808.0	2935.74	1662.49	281.09	1304.15	2664.15	131.51	1096.5	341.51	2555.58	2075.59	215.77	890.44	1135.2	921.88	825.0	1447.15	244.57	2104.58	1498.22	536.45	32.36	1359.57	361.04	796.86	2148.82	1066.48	866.07	842.36	432.53	327.56	295.11	9.85
FAXDC2	10.39	75.11	25.17	21.47	43.94	19.39	35.76	18.16	27.84	165.57	38.4	15.8	0.0	0.46	2193.99	5995.9	4972.34	1508.65	3467.27	5791.62	830.75	10585.95	2701.35	6337.83	4543.8	98.04	3280.18	2796.65	3665.02	175.07	2835.7	234.57	4095.0	698.41	1721.16	79.45	3540.14	769.69	2434.5	5366.37	5292.48	2573.36	2720.15	1277.29	353.59	785.88	15.22
FBXO21	130.6	224.97	137.14	204.07	185.11	244.57	193.01	202.66	217.27	198.47	231.32	271.48	0.0	0.25	616.37	629.35	447.82	450.94	563.18	679.29	295.11	447.82	316.37	974.5	435.55	309.83	1304.15	660.68	423.61	587.13	1936.53	366.09	571.05	723.08	603.67	232.94	567.1	575.03	389.72	480.04	909.17	460.44	974.5	511.0	500.46	521.76	134.3
FZD1	128.79	173.85	115.97	120.1	180.02	348.71	249.73	92.05	164.42	169.07	205.5	187.71	0.0	0.37	723.08	909.17	583.07	279.14	1104.13	1594.73	208.38	2119.22	629.35	2163.77	2303.12	295.11	1143.1	624.99	866.07	299.25	1066.48	301.33	703.28	113.56	376.41	198.47	1295.13	248.0	348.71	1340.84	571.05	518.15	713.11	320.8	348.71	264.03	246.28
FZD8	7.75	21.47	7.11	12.55	4.28	48.18	50.27	74.58	21.94	38.95	55.1	38.95	0.0	0.22	96.01	384.34	127.0	127.0	426.57	603.67	74.06	303.44	42.71	381.68	358.54	61.68	389.72	190.34	125.24	139.07	126.12	256.78	633.73	167.9	80.01	92.05	438.59	99.43	199.85	133.36	242.88	381.68	514.56	32.13	100.13	89.51	8.25
GIMAP1	40.36	60.39	116.78	9.2	11.73	10.16	36.27	3.32	17.77	19.53	13.83	16.63	0.0	0.35	511.0	348.71	291.04	256.78	260.38	1191.69	103.69	414.87	83.45	656.11	256.78	518.15	656.11	140.04	293.07	189.02	629.35	316.37	620.67	209.84	379.04	78.34	312.0	642.59	71.5	323.03	595.34	165.57	237.86	314.17	320.8	961.07	14.03
GIMAP2	113.56	226.54	291.04	167.9	64.8	69.03	199.85	21.16	81.14	69.03	97.36	133.36	0.0	0.45	2502.97	287.01	866.07	476.71	896.64	4607.24	1242.34	575.03	540.19	1594.73	974.5	540.19	791.35	108.9	1119.56	135.24	571.05	551.56	825.0	309.83	297.17	872.1	825.0	500.46	76.71	1662.49	872.1	121.79	318.57	713.11	629.35	1015.93	144.01
GIMAP6	67.59	153.34	211.31	14.35	10.16	26.47	78.34	5.41	42.11	63.89	46.84	50.63	0.0	0.33	638.15	2701.35	928.3	1088.92	1923.14	4010.71	420.68	1896.65	271.48	2209.26	1477.58	1605.83	915.51	642.59	651.58	624.99	830.75	2682.69	3589.58	981.29	361.04	189.02	872.1	674.59	329.84	1104.13	759.08	1015.93	559.28	624.99	860.08	1073.91	80.57
GIMAP7	212.78	351.14	429.54	35.76	48.87	49.56	164.42	11.13	65.72	127.0	59.97	102.97	0.0	0.42	2609.3	780.44	2104.58	988.12	2075.59	5219.6	457.25	1605.83	320.8	2255.7	967.76	2271.4	1208.34	563.18	1159.07	954.43	941.27	3081.75	4802.93	1313.23	435.55	351.14	1628.26	1369.04	145.02	2075.59	2133.97	409.15	1883.54	1639.59	1467.37	3467.27	159.9
GULP1	5.59	16.27	10.08	57.89	16.03	40.93	42.41	10.0	40.93	28.65	17.77	10.63	0.0	0.56	332.14	318.57	629.35	186.4	974.5	2032.85	69.03	1127.35	307.69	1950.0	1359.57	105.89	543.96	420.68	567.1	177.53	483.38	202.66	249.73	202.66	193.01	116.78	947.83	157.68	177.53	429.54	764.36	228.13	403.5	329.84	511.0	236.21	20.86
HRCT1	20.71	8.32	25.91	4.35	0.0	0.0	22.75	13.22	8.99	26.47	19.39	76.71	0.0	0.06	159.9	607.87	231.32	84.63	88.88	511.0	24.81	223.41	49.21	698.41	142.01	19.39	26.86	460.44	153.34	110.43	51.35	205.5	70.51	35.25	47.5	251.48	316.37	269.6	59.13	115.16	438.59	299.25	660.68	102.97	5.15	38.12	4.5
HSPA12B	43.02	36.01	38.12	12.93	21.63	11.64	42.11	7.94	31.67	29.06	45.53	36.27	0.0	0.22	409.15	748.61	435.55	775.05	651.58	974.5	172.65	825.0	457.25	995.0	878.17	134.3	954.43	607.87	703.28	209.84	579.04	224.97	769.69	122.64	381.68	98.04	642.59	175.07	529.06	575.03	1081.39	384.34	454.09	293.07	113.56	400.71	6.89
ITPRIPL2	135.24	115.97	171.45	134.3	119.26	135.24	135.24	169.07	231.32	147.06	120.94	87.65	251.48	353.59	363.56	543.96	403.5	170.25	293.07	802.41	307.69	813.63	215.77	974.5	497.0	171.45	400.71	215.77	629.35	555.41	473.41	409.15	447.82	1051.79	521.76	102.97	346.29	237.86	177.53	258.57	532.74	273.37	785.88	341.51	420.68	366.09	42.41
KCTD3	423.61	281.09	215.77	348.71	303.44	351.14	412.0	173.85	145.02	236.21	269.6	281.09	0.0	0.58	785.88	476.71	244.57	323.03	1008.9	896.64	438.59	575.03	406.31	1651.0	764.36	232.94	1388.16	493.56	813.63	521.76	1225.22	262.2	514.56	665.29	830.75	312.0	674.59	540.19	194.36	688.78	1191.69	363.56	514.56	332.14	460.44	813.63	145.02
KIAA1244	1.66	2.81	13.12	1.11	1.07	1.14	2.68	1.04	1.89	1.22	1.53	1.04	0.0	0.08	90.77	454.09	281.09	55.1	194.36	186.4	23.59	81.71	22.75	305.55	133.36	17.64	76.17	135.24	50.63	303.44	708.18	186.4	473.41	320.8	60.39	36.79	120.94	43.63	480.04	171.45	73.54	289.02	145.02	26.28	24.11	69.03	0.39
KLHL11	3.26	9.93	3.35	9.48	15.34	9.7	7.06	10.96	9.41	16.03	4.86	9.34	0.0	0.17	15.68	22.59	33.54	16.63	24.46	55.1	20.11	40.64	39.79	38.4	42.41	13.32	18.29	45.53	20.71	25.17	48.18	40.36	59.13	27.84	17.64	28.04	10.55	12.0	20.11	28.65	18.16	61.25	64.8	11.3	38.4	24.11	4.7
MMEL1	6.94	16.39	10.0	8.0	68.55	58.71	2.56	2.46	9.56	5.77	23.93	20.11	0.0	0.46	218.79	122.64	103.69	287.01	281.09	1369.04	65.26	988.12	111.21	417.77	373.81	417.77	289.02	264.03	791.35	22.1	84.04	61.68	256.78	92.7	88.88	147.06	249.73	126.12	239.52	223.41	420.68	22.26	42.71	262.2	64.8	161.02	0.0
NBR1	312.0	435.55	417.77	423.61	536.45	703.28	511.0	629.35	633.73	723.08	514.56	679.29	0.0	0.56	1199.98	1819.35	1508.65	1015.93	1923.14	2178.83	1111.82	1844.76	1096.5	2224.63	2004.85	351.14	1697.45	1369.04	1561.89	780.44	1417.35	981.29	1745.2	543.96	988.12	842.36	1477.58	872.1	842.36	2193.99	1651.0	1378.57	1551.09	961.07	563.18	1096.5	325.29
NFIB	30.78	85.22	98.04	103.69	42.71	140.04	81.71	66.18	77.25	80.01	149.12	142.01	58.71	49.91	616.37	426.57	543.96	708.18	988.12	947.83	525.39	743.43	1104.13	1909.85	1001.93	211.31	1594.73	536.45	633.73	525.39	2018.8	323.03	273.37	221.86	2018.8	551.56	684.02	381.68	258.57	480.04	1923.14	591.22	733.19	406.31	532.74	447.82	88.26
NMUR1	3.2	2.41	1.71	5.28	0.0	0.0	0.4	0.39	0.4	0.0	0.0	0.39	0.0	0.04	191.67	132.44	116.78	37.59	195.72	249.73	36.79	182.55	58.3	332.14	205.5	48.52	77.25	88.88	183.82	25.91	66.18	18.7	88.88	11.91	28.45	55.49	283.05	11.47	36.53	78.89	363.56	108.14	46.18	88.88	15.45	70.51	0.35
NPR3	0.35	15.56	3.89	12.27	8.65	33.54	22.92	21.63	32.82	2.18	24.99	37.59	0.0	0.24	180.02	323.03	967.76	195.72	339.14	660.68	94.01	620.67	348.71	1167.14	441.64	253.23	967.76	251.48	497.0	90.14	361.04	693.58	688.78	206.94	332.14	33.3	275.28	389.72	150.17	1605.83	1295.13	72.52	575.03	775.05	559.28	309.83	152.28
NR3C2	2.29	1.62	1.87	2.97	1.95	2.16	2.41	2.66	3.11	11.91	0.96	1.6	0.0	0.23	316.37	703.28	358.54	57.49	1936.53	1369.04	15.56	866.07	139.07	2417.67	848.22	31.0	262.2	201.25	193.01	186.4	358.54	105.89	255.0	242.88	68.55	82.29	441.64	86.43	353.59	432.53	3060.45	221.86	395.18	144.01	98.73	161.02	2.84
NRROS	104.42	64.8	105.89	14.78	7.82	13.03	34.51	3.06	19.25	29.91	10.47	23.08	0.0	0.28	358.54	287.01	305.55	106.63	490.14	813.63	150.17	441.64	144.01	665.29	559.28	171.45	738.29	141.02	256.78	123.5	163.28	406.31	384.34	74.06	169.07	129.69	551.56	157.68	90.14	567.1	450.94	106.63	88.88	112.77	97.36	493.56	22.1
NUTM2D	33.78	43.63	23.59	46.18	56.28	32.59	47.84	38.95	25.54	91.41	30.12	45.53	0.0	0.13	80.57	195.72	90.14	167.9	139.07	293.07	33.78	149.12	63.45	193.01	124.37	43.94	69.52	137.14	143.01	82.29	140.04	56.68	180.02	127.89	69.03	43.32	221.86	66.18	92.7	84.63	130.6	169.07	193.01	65.26	26.1	90.77	6.57
NXPH3	1.97	17.38	10.08	6.52	15.34	0.96	14.03	2.94	4.5	6.52	11.64	8.0	0.0	0.03	189.02	221.86	332.14	147.06	343.89	1119.56	31.9	303.44	265.87	559.28	536.45	52.82	361.04	251.48	493.56	116.78	540.19	44.57	151.22	49.21	186.4	59.13	587.13	127.89	108.9	193.01	368.65	94.01	417.77	114.36	50.98	93.35	3.86
PABPC5	1.62	1.99	0.38	3.08	1.31	0.53	2.66	0.84	2.66	2.25	0.52	0.48	0.0	0.21	12.64	21.47	11.55	17.0	34.51	45.21	7.88	37.59	10.71	62.56	60.82	1.66	30.12	25.54	36.53	11.21	16.88	7.94	39.79	10.47	26.67	5.68	34.26	23.08	13.72	33.3	42.11	14.14	6.84	9.27	10.79	19.97	0.91
PCYT1B	0.0	2.01	2.48	7.4	5.92	2.16	25.35	1.62	1.03	0.43	2.41	0.99	0.0	0.07	62.12	121.79	43.94	2.05	63.0	116.78	9.34	6.62	10.39	241.19	59.55	6.06	26.1	27.05	21.47	1.11	98.04	22.1	18.43	1.31	3.35	3.72	120.94	1.73	7.46	115.16	38.4	41.81	18.03	24.11	3.47	3.35	4.06
PRTG	0.35	1.16	0.45	0.52	0.58	0.0	3.03	1.87	1.22	1.83	4.24	1.85	0.0	0.09	8.71	108.9	34.75	7.17	34.26	31.22	4.39	19.53	12.0	59.13	45.21	9.56	43.63	78.34	10.0	214.27	81.71	61.68	119.26	170.25	8.92	4.82	13.22	5.06	180.02	66.65	54.33	72.52	80.57	10.24	14.35	16.51	0.0
PTPRM	500.46	148.09	136.19	90.77	132.44	19.68	211.31	41.81	232.94	164.42	327.56	90.77	0.0	0.78	1870.53	3349.13	981.29	2627.46	2555.58	2682.69	954.43	1651.0	1151.06	3212.66	1437.15	4268.94	3235.01	3395.89	2335.28	1651.0	5366.37	218.79	3039.3	2133.97	2090.03	934.76	1832.01	3443.31	2075.59	1104.13	2701.35	2875.3	2271.4	1250.98	1540.37	1662.49	44.25
PTPRN2	13.42	18.43	10.63	0.87	2.18	5.59	25.91	0.93	13.22	9.7	15.0	8.65	0.0	0.21	215.77	170.25	368.65	43.02	1216.75	1369.04	36.01	348.71	285.03	1051.79	1250.98	43.94	503.95	65.26	708.18	52.45	226.54	76.17	185.11	18.43	99.43	30.56	1378.57	41.52	79.45	329.84	395.18	84.63	194.36	217.27	37.85	108.9	7.17
RCBTB1	46.5	120.94	150.17	142.01	42.11	64.34	78.34	283.05	103.69	176.29	75.11	189.02	0.0	0.43	346.29	231.32	373.81	221.86	551.56	599.49	126.12	295.11	175.07	651.58	429.54	86.43	211.31	281.09	269.6	232.94	366.09	269.6	540.19	341.51	136.19	137.14	587.13	166.73	281.09	376.41	314.17	438.59	397.93	209.84	197.09	147.06	91.41
RNF125	10.63	15.56	10.08	16.15	7.17	7.69	13.03	2.56	7.17	13.12	4.58	5.54	0.0	0.12	62.12	84.63	116.78	83.45	381.68	466.88	24.99	187.71	52.08	395.18	392.44	34.02	86.43	110.43	106.63	29.27	69.03	55.89	85.82	19.97	40.07	31.0	228.13	26.1	76.71	161.02	154.42	62.12	130.6	71.5	16.27	35.76	3.92
RP11-12J10.3	0.66	4.66	0.91	2.23	2.68	1.58	2.86	0.77	1.48	1.73	0.46	1.08	0.0	0.01	4.9	12.74	8.85	2.43	12.18	8.65	2.25	10.31	3.82	17.13	8.25	3.29	7.11	17.64	7.51	3.03	13.42	4.94	10.88	2.46	7.22	2.41	12.45	3.69	20.11	13.32	16.39	6.36	12.27	4.54	1.73	2.07	0.0
RSPO1	0.66	2.86	6.36	0.0	2.61	2.39	1.87	1.13	2.56	1.35	0.47	1.79	0.0	0.06	115.16	264.03	228.13	40.07	260.38	547.75	46.5	281.09	107.38	395.18	197.09	69.52	77.79	208.38	185.11	46.18	58.71	72.01	228.13	38.12	98.04	18.29	267.73	42.41	153.34	72.01	264.03	155.5	101.54	80.01	73.54	48.52	0.0
RXFP1	1.3	5.23	2.53	0.02	0.0	0.41	2.36	1.01	3.0	0.0	4.13	0.69	0.0	0.0	127.0	130.6	283.05	33.06	575.03	412.0	22.1	127.89	65.72	389.72	395.18	31.0	181.28	67.59	205.5	22.26	107.38	57.89	186.4	15.45	53.57	36.53	237.86	71.5	95.34	208.38	148.09	92.05	114.36	51.71	18.97	34.26	1.13
SEMA6A	13.12	17.0	28.65	109.66	146.03	14.14	29.06	43.02	37.59	16.27	42.41	126.12	55.49	115.97	808.0	674.59	361.04	738.29	1617.0	791.35	909.17	423.61	896.64	1685.71	866.07	397.93	1519.15	316.37	314.17	435.55	775.05	299.25	878.17	187.71	1096.5	476.71	647.07	351.14	208.38	633.73	1745.2	334.46	283.05	629.35	447.82	1350.18	18.16
SLC35A1	198.47	275.28	198.47	202.66	287.01	283.05	132.44	175.07	397.93	175.07	323.03	171.45	0.0	0.46	1745.2	1529.73	1561.89	651.58	2271.4	1757.34	438.59	1369.04	536.45	2835.7	2209.26	420.68	1208.34	1059.11	1674.06	473.41	1508.65	688.78	1250.98	432.53	825.0	226.54	1963.57	587.13	1259.69	1832.01	1119.56	830.75	1008.9	884.29	540.19	409.15	134.3
SLC5A4	0.97	0.96	1.99	0.72	0.0	0.0	0.88	0.48	0.87	0.57	0.52	0.48	0.0	0.13	23.08	41.81	20.56	15.45	68.55	48.18	12.83	47.84	21.63	84.63	82.87	8.85	28.65	5.36	40.07	8.71	10.39	7.11	10.55	6.11	51.35	9.06	40.36	5.02	5.15	17.0	48.18	22.26	14.24	27.05	25.72	9.41	0.0
SP1	253.23	466.88	303.44	142.01	438.59	417.77	264.03	231.32	248.0	353.59	224.97	334.46	395.18	256.78	579.04	638.15	791.35	555.41	759.08	1001.93	536.45	647.07	563.18	665.29	796.86	253.23	511.0	432.53	441.64	454.09	928.3	607.87	890.44	450.94	432.53	420.68	616.37	490.14	320.8	748.61	423.61	559.28	713.11	366.09	403.5	521.76	145.02
