	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.ZY6K.0326.SM.5SIBB	GTEX.S7SF.0426.SM.3K2B7	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07
CHPT1	182.55	147.06	191.67	98.04	120.94	503.95	82.29	0.0	0.68	264.03	1733.13	3419.52	684.02	3190.46	289.02	1001.93	1991.0	1551.09	1572.76	785.88	2664.15	1001.93	941.27	723.08	2400.97	2224.63	5041.77	2434.5	1639.59	1059.11	2163.77	718.08	2178.83	2004.85	3742.05	1583.71	860.08	620.67	540.19	521.76	1313.23	1331.57	2384.37	4481.23	500.46	2148.82	1208.34	2701.35	2209.26	316.37	148.09	320.8
CLEC14A	137.14	49.91	21.63	98.04	96.68	78.34	138.1	0.0	0.25	167.9	1066.48	5076.84	1322.37	2758.13	1096.5	1127.35	3982.99	2224.63	1733.13	1819.35	1685.71	2104.58	738.29	1151.06	2061.24	1819.35	1709.26	2335.28	1322.37	1685.71	1857.6	1685.71	1991.0	1757.34	3060.45	5441.3	1519.15	872.1	738.29	1447.15	1617.0	1950.0	1295.13	3018.3	1015.93	2193.99	5183.54	1883.54	2193.99	476.71	56.68	140.04
CLEC4E	260.38	62.12	145.02	70.51	83.45	17.64	59.97	0.0	0.23	287.01	525.39	808.0	202.66	392.44	45.53	220.32	1242.34	780.44	1208.34	229.72	656.11	186.4	775.05	493.56	603.67	1286.18	1844.76	1277.29	1651.0	497.0	239.52	199.85	551.56	629.35	447.82	854.13	157.68	124.37	361.04	211.31	339.14	346.29	412.0	1745.2	171.45	791.35	693.58	860.08	872.1	248.0	397.93	267.73
CTDSP2	403.5	1216.75	1088.92	830.75	1167.14	1051.79	995.0	1757.34	674.59	450.94	3039.3	5517.27	2451.44	6337.83	2384.37	3491.39	1950.0	3742.05	2434.5	3257.52	3257.52	3168.41	2303.12	2271.4	3235.01	3982.99	4937.99	6471.02	2434.5	2875.3	5183.54	3257.52	3235.01	3820.7	4388.98	3564.78	3742.05	2004.85	2591.27	1757.34	2915.45	2682.69	4095.0	4575.41	3018.3	4388.98	4358.66	2895.31	3982.99	2163.77	463.65	521.76
CYBRD1	58.3	92.05	98.04	323.03	102.25	356.05	518.15	0.0	0.35	198.47	4481.23	5672.41	967.76	9606.86	1199.98	4181.07	2434.5	2835.7	3820.7	420.68	5954.47	3955.48	1662.49	961.07	4328.55	6037.61	4481.23	8247.98	4802.93	1923.14	4937.99	1561.89	3639.7	5076.84	8134.41	5672.41	2935.74	1832.01	967.76	559.28	3280.18	5954.47	11992.79	6745.86	2609.3	5751.61	5954.47	1950.0	5791.62	616.37	144.01	381.68
CYTH3	115.97	85.22	87.65	94.01	223.41	166.73	180.02	0.0	0.71	76.71	473.41	620.67	241.19	928.3	224.97	379.04	244.57	441.64	293.07	314.17	281.09	275.28	241.19	269.6	521.76	457.25	547.75	387.02	406.31	320.8	392.44	309.83	291.04	591.22	571.05	753.83	406.31	325.29	376.41	180.02	329.84	366.09	599.49	429.54	500.46	708.18	698.41	129.69	435.55	152.28	85.22	163.28
EBF1	13.83	5.68	1.83	28.24	22.75	9.13	12.45	0.0	0.29	18.29	42.71	90.77	23.93	100.13	55.49	56.28	51.71	74.06	73.54	14.35	103.69	61.25	40.36	53.57	98.04	78.89	111.21	55.49	98.73	44.25	86.43	46.18	43.63	87.03	113.56	157.68	31.45	68.55	15.34	24.81	35.25	63.0	135.24	147.06	89.51	72.01	148.09	109.66	72.01	39.5	7.06	23.25
EIF4EBP2	339.14	423.61	620.67	532.74	708.18	555.41	579.04	403.5	314.17	363.56	1331.57	1709.26	651.58	1397.83	551.56	785.88	836.53	1529.73	1044.52	656.11	1617.0	981.29	651.58	660.68	1286.18	1447.15	1662.49	1447.15	1135.2	1030.12	1313.23	665.29	928.3	1216.75	1059.11	1628.26	647.07	507.46	679.29	567.1	954.43	1167.14	1529.73	1662.49	819.3	1639.59	1073.91	1135.2	1242.34	500.46	204.07	400.71
FBLN5	130.6	71.5	24.28	145.02	123.5	63.0	169.07	0.0	0.67	214.27	5517.27	8718.32	708.18	13776.25	679.29	2119.22	3564.78	4512.4	2835.7	466.88	4481.23	2163.77	2303.12	1119.56	5219.6	5791.62	7331.05	6337.83	5995.9	3665.02	3847.29	1806.78	4210.15	7695.57	5147.73	7280.4	1662.49	896.64	591.22	316.37	2240.11	2796.65	6294.04	5594.3	1583.71	8247.98	6037.61	620.67	6840.04	223.41	24.99	248.0
FHL1	15.11	32.82	21.16	110.43	1119.56	1111.82	193.01	0.0	0.56	72.52	4239.45	9945.68	1159.07	8963.45	1378.57	4388.98	2163.77	5441.3	6079.61	872.1	4481.23	4671.57	3395.89	1467.37	6652.97	10883.59	8598.28	6745.86	6121.9	6935.54	6121.9	2384.37	6607.01	8718.32	4239.45	9409.14	3820.7	5076.84	1104.13	718.08	8022.41	6426.31	5366.37	5403.7	4066.71	8963.45	12076.21	1073.91	5831.91	775.05	267.73	143.01
FOXN3	327.56	135.24	186.4	191.67	195.72	351.14	289.02	309.83	248.0	182.55	909.17	1208.34	262.2	1359.57	346.29	599.49	476.71	796.86	511.0	376.41	708.18	470.14	450.94	432.53	738.29	1066.48	1111.82	1096.5	791.35	629.35	713.11	466.88	688.78	1242.34	1519.15	1167.14	353.59	575.03	339.14	193.01	813.63	543.96	1417.35	1023.0	536.45	1175.27	1066.48	575.03	718.08	281.09	127.89	189.02
FOXO3	100.13	206.94	175.07	242.88	264.03	229.72	429.54	226.54	169.07	63.45	813.63	974.5	323.03	1331.57	229.72	327.56	351.14	656.11	457.25	406.31	503.95	339.14	314.17	571.05	651.58	921.88	981.29	738.29	813.63	454.09	775.05	320.8	651.58	718.08	642.59	1519.15	638.15	353.59	244.57	251.48	660.68	791.35	1044.52	813.63	285.03	842.36	1127.35	1088.92	872.1	258.57	128.79	68.07
GLRB	9.34	2.86	1.0	5.23	2.56	3.76	1.81	0.0	0.28	17.13	64.8	191.67	55.49	189.02	42.41	11.21	105.15	59.55	56.68	29.27	100.83	87.03	16.63	32.59	62.56	78.89	98.73	137.14	58.71	85.82	59.55	77.79	63.45	53.57	55.49	145.02	55.1	47.17	35.25	31.9	63.0	162.14	114.36	228.13	60.39	94.01	68.55	44.89	157.68	27.05	1.71	21.16
GPM6B	126.12	53.57	8.92	21.32	59.97	67.59	34.75	0.0	0.37	58.3	555.41	1104.13	96.68	1331.57	73.54	336.79	429.54	486.75	457.25	56.28	693.58	194.36	138.1	142.01	575.03	669.92	1081.39	743.43	423.61	348.71	412.0	139.07	642.59	836.53	392.44	414.87	228.13	178.77	127.89	39.5	212.78	358.54	555.41	769.69	124.37	679.29	688.78	87.65	842.36	59.97	41.52	241.19
GRIA1	1.58	0.0	0.0	0.33	0.35	1.28	0.0	0.0	0.13	1.39	299.25	444.72	46.84	497.0	18.43	256.78	215.77	256.78	220.32	29.7	212.78	204.07	49.21	26.1	234.57	156.59	191.67	172.65	145.02	62.12	170.25	115.16	264.03	182.55	102.97	353.59	176.29	75.11	19.53	1.83	231.32	148.09	493.56	223.41	112.77	177.53	291.04	40.07	361.04	12.0	0.0	5.45
HIF3A	1.35	0.0	0.0	1.11	1.6	4.66	0.0	0.0	0.75	1.38	591.22	848.22	48.87	1832.01	157.68	316.37	860.08	1059.11	733.19	0.07	642.59	273.37	113.56	185.11	884.29	780.44	743.43	967.76	1250.98	366.09	540.19	91.41	1508.65	1350.18	1081.39	1359.57	54.72	102.97	66.65	29.06	255.0	175.07	830.75	1259.69	486.75	703.28	1051.79	460.44	299.25	10.71	0.0	5.63
HOXA6	1.35	18.56	23.25	11.3	0.0	0.0	0.0	0.0	0.3	1.69	4.1	28.24	12.09	55.49	3.17	16.51	40.36	58.3	17.64	1.89	33.06	29.48	24.99	16.88	57.49	13.52	12.09	53.95	21.01	16.63	34.51	18.16	21.63	28.45	57.49	25.35	9.7	17.0	6.11	8.13	36.01	11.73	43.02	104.42	37.85	27.05	69.03	11.82	24.63	6.78	0.0	13.72
INPP5A	185.11	224.97	186.4	262.2	299.25	267.73	165.57	185.11	902.89	108.14	743.43	1066.48	441.64	872.1	279.14	450.94	567.1	819.3	583.07	314.17	571.05	470.14	490.14	521.76	684.02	651.58	813.63	713.11	660.68	693.58	457.25	432.53	688.78	780.44	775.05	743.43	336.79	395.18	297.17	406.31	728.11	476.71	743.43	575.03	353.59	848.22	579.04	450.94	723.08	236.21	114.36	211.31
IRS2	11.73	19.82	15.91	31.22	44.89	211.31	23.08	0.0	0.38	236.21	525.39	713.11	248.0	1127.35	53.57	305.55	713.11	587.13	348.71	41.81	688.78	114.36	202.66	361.04	713.11	629.35	1259.69	1023.0	743.43	384.34	323.03	146.03	656.11	629.35	733.19	1044.52	123.5	175.07	53.95	33.78	285.03	305.55	547.75	624.99	176.29	961.07	775.05	271.48	476.71	102.97	25.91	22.43
ITGA10	7.11	6.31	4.28	3.35	4.13	6.21	5.77	0.0	0.71	8.58	55.49	80.01	49.21	120.1	30.34	68.07	71.5	98.04	169.07	44.25	94.67	22.26	118.43	89.51	48.87	108.14	376.41	154.42	217.27	80.01	117.6	24.81	77.25	157.68	117.6	141.02	102.97	31.22	58.71	32.82	52.08	48.52	76.17	228.13	59.13	297.17	205.5	145.02	73.54	15.8	1.2	10.39
ITGA8	5.82	2.56	4.17	31.0	19.68	3.76	11.38	0.0	0.39	9.13	265.87	660.68	45.53	934.76	229.72	236.21	260.38	878.17	327.56	20.56	703.28	226.54	242.88	120.1	1066.48	995.0	1135.2	483.38	651.58	392.44	202.66	206.94	651.58	713.11	551.56	819.3	166.73	181.28	133.36	57.89	441.64	463.65	642.59	848.22	351.14	1037.29	651.58	59.97	884.29	90.14	7.75	35.25
KAT6B	30.12	73.54	41.22	60.39	59.13	52.45	55.1	53.95	57.08	35.25	241.19	289.02	132.44	420.68	147.06	239.52	170.25	249.73	180.02	74.06	251.48	204.07	126.12	154.42	336.79	212.78	339.14	366.09	226.54	199.85	217.27	159.9	264.03	255.0	285.03	314.17	85.82	161.02	151.22	54.33	283.05	229.72	384.34	301.33	231.32	299.25	336.79	167.9	163.28	111.99	12.93	27.44
KLF15	1.69	4.5	0.65	3.0	5.11	21.78	4.9	0.0	0.27	13.83	142.01	842.36	295.11	1127.35	108.14	371.22	995.0	718.08	497.0	91.41	733.19	190.34	283.05	366.09	791.35	529.06	1151.06	780.44	1008.9	312.0	633.73	120.1	813.63	928.3	1175.27	1175.27	96.01	149.12	173.85	93.35	242.88	185.11	703.28	928.3	167.9	444.72	1250.98	679.29	293.07	31.0	3.99	6.62
KLHL42	95.34	95.34	148.09	56.68	145.02	117.6	88.88	156.59	68.55	102.25	166.73	208.38	249.73	271.48	117.6	164.42	155.5	236.21	229.72	111.21	201.25	167.9	180.02	154.42	202.66	361.04	248.0	217.27	205.5	279.14	149.12	162.14	220.32	256.78	187.71	147.06	81.14	194.36	186.4	76.17	202.66	239.52	256.78	450.94	166.73	329.84	341.51	132.44	234.57	121.79	74.58	115.97
LIMCH1	124.37	144.01	3.41	57.08	60.82	161.02	41.52	0.0	0.57	220.32	5995.9	8479.89	1111.82	17927.91	660.68	3955.48	1745.2	5479.15	2075.59	703.28	5255.91	4010.71	1583.71	514.56	5219.6	5672.41	12160.22	8718.32	4358.66	5672.41	4639.29	2240.11	4575.41	4543.8	3901.01	5041.77	2997.45	1304.15	896.64	125.24	4543.8	3212.66	8022.41	4239.45	1605.83	7180.15	6037.61	2451.44	7032.37	348.71	57.89	35.0
MAMDC2	35.5	0.67	0.91	3.53	11.91	41.52	41.22	0.0	0.39	1.36	988.12	1662.49	100.13	3419.52	116.78	314.17	379.04	1417.35	1498.22	35.25	1051.79	1331.57	476.71	77.79	1268.46	3103.19	2133.97	1508.65	1757.34	1216.75	836.53	371.22	2591.27	1519.15	1417.35	2148.82	251.48	348.71	260.38	63.0	665.29	753.83	2835.7	2758.13	301.33	1781.89	1183.45	599.49	1639.59	35.76	35.5	11.91
MAOA	651.58	1378.57	5.06	500.46	117.6	447.82	246.28	0.0	0.62	52.82	5555.65	11112.3	2255.7	9151.82	1529.73	2609.3	4607.24	7857.29	6652.97	941.27	6037.61	2468.49	3257.52	3955.48	5403.7	7032.37	7280.4	6935.54	8421.31	10014.87	3540.14	981.29	5403.7	6207.38	5711.87	6516.03	1350.18	1447.15	1540.37	1159.07	2061.24	4704.07	5995.9	10154.69	1950.0	6561.36	3303.0	5954.47	4268.94	514.56	1104.13	500.46
MAP1B	9.78	6.06	2.66	10.63	17.51	16.88	27.05	19.68	74.58	18.97	144.01	105.15	146.03	156.59	50.63	25.72	29.48	194.36	99.43	23.59	85.22	9.06	82.29	218.79	226.54	529.06	518.15	95.34	164.42	71.5	48.87	30.12	37.05	85.82	93.35	155.5	15.68	80.57	25.72	37.05	56.28	193.01	155.5	323.03	64.34	423.61	275.28	51.71	71.5	69.52	36.53	20.41
MBTPS1	679.29	854.13	684.02	848.22	483.38	651.58	612.11	819.3	108.14	842.36	1037.29	1745.2	1322.37	2018.8	941.27	1191.69	1030.12	1674.06	1175.27	981.29	1540.37	1295.13	1127.35	1331.57	1709.26	1639.59	1697.45	1427.22	1605.83	1199.98	2537.92	1081.39	1397.83	1477.58	1781.89	1794.29	1001.93	909.17	728.11	748.61	1350.18	1143.1	1685.71	1857.6	1697.45	1923.14	1977.24	1628.26	1277.29	967.76	551.56	679.29
MUSK	1.3	0.95	0.0	0.0	5.19	0.88	2.14	0.0	0.12	0.0	27.64	20.41	2.16	68.55	7.82	6.26	12.55	27.44	5.45	5.15	27.05	17.64	17.0	3.2	42.11	34.02	36.27	21.47	17.9	11.91	34.26	6.57	13.72	32.82	25.72	47.5	12.0	16.51	3.03	1.08	13.12	17.0	44.89	33.3	3.08	43.02	16.75	15.45	65.72	3.38	0.8	0.46
MYO10	182.55	256.78	178.77	159.9	291.04	312.0	151.22	0.0	0.8	102.25	473.41	1322.37	232.94	1073.91	154.42	392.44	285.03	693.58	318.57	1857.6	532.74	312.0	271.48	234.57	629.35	791.35	1111.82	693.58	830.75	1008.9	473.41	423.61	559.28	629.35	525.39	551.56	334.46	384.34	226.54	85.82	638.15	202.66	813.63	780.44	497.0	470.14	486.75	780.44	651.58	75.64	173.85	163.28
NKD1	7.11	2.86	2.86	4.74	12.55	5.87	8.92	0.0	0.39	8.78	79.45	269.6	14.24	651.58	45.85	177.53	195.72	204.07	149.12	7.51	155.5	68.07	48.52	26.1	271.48	159.9	665.29	309.83	202.66	89.51	145.02	44.57	281.09	318.57	275.28	156.59	24.28	91.41	28.65	14.14	108.14	55.49	511.0	318.57	92.7	186.4	303.44	17.64	134.3	13.42	2.43	4.86
OSBPL9	616.37	412.0	587.13	532.74	305.55	403.5	642.59	0.0	0.41	1208.34	1304.15	1923.14	808.0	1991.0	1191.69	1104.13	1268.46	1233.75	1639.59	551.56	2133.97	1295.13	909.17	884.29	1674.06	1529.73	2434.5	1781.89	2609.3	1030.12	1572.76	872.1	1709.26	1697.45	2163.77	2664.15	764.36	1059.11	890.44	660.68	1104.13	2032.85	2047.0	2537.92	1119.56	2555.58	1757.34	1477.58	1322.37	708.18	397.93	638.15
PARD3B	1.66	5.68	6.11	4.46	8.78	28.04	10.16	0.0	0.31	6.31	132.44	204.07	45.53	303.44	67.12	130.6	55.1	155.5	125.24	66.65	166.73	108.14	93.35	66.18	145.02	127.89	201.25	214.27	172.65	103.69	170.25	77.25	134.3	165.57	112.77	262.2	151.22	84.04	35.76	15.68	152.28	145.02	242.88	182.55	88.26	242.88	339.14	100.13	212.78	38.4	0.0	8.71
PCDHGA4	24.28	5.36	1.07	1.22	5.23	6.94	4.31	0.0	0.32	10.08	18.03	74.06	8.71	69.52	10.71	15.8	25.91	38.95	33.3	19.68	27.64	17.38	31.9	7.11	45.53	55.49	35.76	25.91	21.32	37.59	27.05	60.39	23.59	24.11	14.45	75.64	20.11	19.39	6.41	21.78	30.34	27.44	59.13	115.97	22.59	70.51	55.49	12.45	84.04	2.58	5.06	8.32
PDGFRA	63.89	23.76	13.62	51.71	100.13	38.95	80.57	195.72	228.13	127.0	1183.45	1030.12	134.3	1216.75	72.52	114.36	470.14	450.94	381.68	258.57	647.07	97.36	376.41	429.54	769.69	848.22	500.46	802.41	674.59	336.79	575.03	128.79	583.07	713.11	674.59	764.36	361.04	56.68	65.26	775.05	358.54	915.51	1001.93	1081.39	73.03	595.34	808.0	1844.76	974.5	138.1	47.17	224.97
PDK4	31.22	5.15	1.53	9.27	51.35	128.79	23.76	0.0	0.39	307.69	2104.58	10808.41	271.48	17317.18	226.54	1487.87	1909.85	5112.16	1167.14	551.56	5633.22	264.03	1832.01	1322.37	8078.22	18431.96	22535.88	9151.82	6516.03	2163.77	1437.15	444.72	5076.84	2701.35	5831.91	10959.3	791.35	497.0	253.23	1151.06	2645.74	5672.41	2555.58	9279.58	928.3	19754.96	6207.38	1167.14	8022.41	301.33	18.56	37.59
PHF15	115.97	314.17	193.01	163.28	329.84	60.39	376.41	334.46	202.66	212.78	343.89	490.14	318.57	1313.23	215.77	603.67	403.5	988.12	395.18	95.34	497.0	309.83	159.9	624.99	603.67	460.44	432.53	728.11	525.39	403.5	688.78	293.07	470.14	620.67	791.35	624.99	202.66	332.14	119.26	152.28	476.71	178.77	988.12	1639.59	540.19	638.15	1331.57	536.45	473.41	236.21	93.35	343.89
PHF20	190.34	153.34	157.68	159.9	154.42	161.02	137.14	0.0	0.34	118.43	273.37	450.94	211.31	376.41	145.02	214.27	157.68	316.37	189.02	329.84	260.38	204.07	195.72	293.07	223.41	312.0	414.87	303.44	256.78	293.07	271.48	218.79	269.6	325.29	329.84	327.56	343.89	194.36	153.34	118.43	271.48	253.23	358.54	351.14	194.36	371.22	366.09	244.57	379.04	215.77	98.04	121.79
PIK3R1	53.19	152.28	59.13	105.15	127.89	115.16	125.24	0.0	0.61	82.87	316.37	1096.5	277.2	825.0	351.14	351.14	363.56	748.61	414.87	189.02	470.14	397.93	470.14	348.71	753.83	896.64	921.88	748.61	819.3	381.68	473.41	237.86	1757.34	420.68	651.58	1427.22	241.19	211.31	318.57	116.78	620.67	1225.22	981.29	1757.34	265.87	525.39	1769.57	896.64	305.55	215.77	57.89	118.43
PKD2	27.25	69.52	69.52	40.36	75.11	62.12	57.08	0.0	0.42	34.02	312.0	651.58	191.67	896.64	187.71	414.87	236.21	307.69	262.2	190.34	295.11	221.86	239.52	194.36	256.78	591.22	511.0	624.99	348.71	303.44	426.57	175.07	426.57	435.55	480.04	591.22	291.04	255.0	166.73	131.51	463.65	346.29	665.29	567.1	271.48	633.73	878.17	241.19	307.69	180.02	44.57	71.0
