	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A8.A07S.01A.11R.A034.07	TCGA.A2.A0EW.01A.21R.A115.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.D8.A27G.01A.11R.A16F.07	TCGA.EW.A1P5.01A.11R.A144.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.BH.A0W7.01A.11R.A115.07	TCGA.A8.A09N.01A.11R.A00Z.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.A8.A0A1.01A.11R.A00Z.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.UB.AA0V.01A.11R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07.1
FAM103A1	1088.92	703.28	802.41	559.28	547.75	543.96	642.59	825.0	669.92	571.05	669.92	651.58	532.74	567.1	698.41	981.29	808.0	438.59	698.41	981.29	1286.18	460.44	429.54	358.54	264.03	271.48	500.46	343.89	400.71	197.09	403.5	249.73	493.56	490.14	381.68	426.57	275.28	273.37	444.72	470.14	329.84	426.57	289.02	473.41	457.25	343.89	297.17	490.14	389.72	165.57	395.18	454.09	0.0
FTSJ2	842.36	825.0	981.29	660.68	503.95	536.45	563.18	723.08	848.22	669.92	728.11	511.0	934.76	759.08	921.88	872.1	703.28	599.49	633.73	718.08	769.69	543.96	400.71	486.75	275.28	312.0	420.68	406.31	426.57	237.86	414.87	293.07	420.68	447.82	275.28	316.37	332.14	295.11	376.41	356.05	353.59	307.69	285.03	373.81	336.79	353.59	361.04	366.09	279.14	206.94	343.89	366.09	0.0
FUNDC1	884.29	1051.79	769.69	460.44	830.75	490.14	693.58	1051.79	941.27	559.28	511.0	624.99	579.04	928.3	909.17	607.87	612.11	483.38	521.76	400.71	808.0	281.09	265.87	197.09	181.28	94.01	251.48	214.27	139.07	197.09	258.57	153.34	194.36	205.5	248.0	133.36	291.04	143.01	204.07	183.82	295.11	281.09	120.94	332.14	234.57	177.53	178.77	293.07	197.09	72.01	189.02	205.5	0.16
GGCT	4543.8	3146.52	3639.7	1950.0	2682.69	2664.15	2047.0	2351.53	2209.26	5006.93	2367.9	2104.58	3928.15	4671.57	4358.66	5183.54	3467.27	3665.02	2384.37	3018.3	2485.67	909.17	753.83	460.44	620.67	500.46	1059.11	995.0	693.58	420.68	656.11	397.93	791.35	579.04	579.04	518.15	599.49	651.58	500.46	896.64	587.13	785.88	595.34	842.36	642.59	620.67	507.46	1008.9	629.35	389.72	599.49	612.11	0.74
GSK3A	1199.98	1167.14	1857.6	1447.15	1896.65	1417.35	1397.83	1519.15	1457.23	1457.23	1662.49	1313.23	1111.82	1651.0	1457.23	1388.16	1467.37	1233.75	1295.13	2855.44	1832.01	775.05	511.0	995.0	463.65	836.53	599.49	521.76	429.54	595.34	656.11	559.28	507.46	620.67	785.88	647.07	559.28	733.19	612.11	764.36	688.78	624.99	567.1	802.41	775.05	466.88	603.67	525.39	490.14	785.88	708.18	633.73	1.06
H2AFV	5041.77	9344.14	5711.87	3124.78	3491.39	4388.98	2720.15	4066.71	5076.84	4152.18	3665.02	2935.74	5041.77	6426.31	5791.62	4152.18	4575.41	4358.66	3349.13	4769.75	3325.99	1909.85	2104.58	1208.34	1551.09	1242.34	1844.76	1733.13	1709.26	1467.37	2032.85	1151.06	2018.8	1015.93	1427.22	1096.5	1733.13	1191.69	1135.2	2148.82	1733.13	1806.78	1044.52	2434.5	1857.6	1447.15	1044.52	1781.89	1628.26	825.0	1508.65	1963.57	575.03
HSBP1	2400.97	3768.09	1745.2	1529.73	2835.7	1175.27	1407.55	2609.3	2133.97	1963.57	1397.83	1674.06	2090.03	1498.22	2335.28	3081.75	2061.24	1199.98	1936.53	4736.79	3874.05	1242.34	1104.13	563.18	567.1	493.56	1037.29	890.44	860.08	866.07	1030.12	547.75	1015.93	738.29	941.27	607.87	660.68	1104.13	775.05	1073.91	796.86	713.11	769.69	1697.45	1250.98	813.63	1143.1	1159.07	1104.13	669.92	718.08	909.17	0.73
IL24	28.24	316.37	52.08	108.14	45.53	50.27	38.4	127.89	153.34	18.16	56.28	78.34	89.51	13.72	36.27	54.33	110.43	34.02	79.45	60.82	18.7	9.63	38.4	8.65	2.63	4.54	7.4	4.46	4.24	15.68	12.64	11.04	2.86	4.98	14.67	17.0	6.67	11.91	2.23	8.45	7.63	18.97	7.63	5.63	13.22	15.11	6.46	5.41	7.75	5.73	4.17	3.08	0.25
KCTD11	180.02	435.55	206.94	150.17	183.82	256.78	260.38	327.56	205.5	146.03	190.34	234.57	316.37	241.19	305.55	312.0	166.73	323.03	265.87	199.85	339.14	133.36	78.89	140.04	111.21	128.79	283.05	145.02	85.22	58.3	63.89	80.57	56.28	105.89	154.42	87.65	80.01	171.45	127.0	74.06	102.97	94.01	84.63	36.53	132.44	37.85	27.84	134.3	59.97	33.06	115.97	95.34	0.46
LLPH	1268.46	1268.46	915.51	825.0	819.3	830.75	872.1	728.11	1175.27	981.29	995.0	713.11	819.3	1199.98	1044.52	1388.16	1059.11	1143.1	915.51	1233.75	1259.69	529.06	361.04	348.71	275.28	285.03	493.56	441.64	339.14	273.37	429.54	232.94	305.55	395.18	351.14	316.37	325.29	269.6	348.71	373.81	329.84	341.51	334.46	463.65	470.14	251.48	312.0	400.71	305.55	267.73	309.83	356.05	0.27
