	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A24P.01A.11R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.DD.A1EC.01A.21R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.X4XY.1626.SM.46MVN	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.U3ZN.0626.SM.3DB7U
COPB1	2720.15	3212.66	1896.65	1896.65	2400.97	2271.4	1909.85	2555.58	2451.44	1909.85	1477.58	1540.37	769.69	1151.06	896.64	723.08	1191.69	703.28	1447.15	947.83	575.03	759.08	995.0	748.61	679.29	651.58	1081.39	842.36	802.41	587.13	728.11	665.29	703.28	4450.27
COPB2	3982.99	4268.94	2520.38	2520.38	2645.74	2520.38	2047.0	2609.3	2178.83	2047.0	1832.01	2075.59	791.35	1340.84	802.41	723.08	1757.34	848.22	1259.69	1030.12	679.29	878.17	1151.06	796.86	723.08	728.11	1242.34	1191.69	753.83	723.08	780.44	848.22	808.0	2835.7
CPSF2	665.29	785.88	612.11	612.11	660.68	571.05	438.59	616.37	493.56	438.59	373.81	587.13	173.85	368.65	177.53	170.25	318.57	209.84	314.17	246.28	121.79	176.29	265.87	169.07	119.26	199.85	201.25	156.59	175.07	105.15	297.17	150.17	191.67	480.04
CRLF3	412.0	323.03	249.73	249.73	343.89	293.07	159.9	320.8	381.68	159.9	128.79	202.66	49.56	92.7	77.79	105.15	123.5	59.97	92.7	76.17	35.5	36.01	74.06	69.03	57.49	49.21	77.79	67.59	63.45	53.95	126.12	61.25	60.82	409.15
CSNK1G3	830.75	703.28	400.71	400.71	738.29	647.07	444.72	708.18	854.13	444.72	361.04	197.09	158.79	403.5	190.34	341.51	507.46	339.14	116.78	341.51	283.05	190.34	185.11	142.01	232.94	189.02	267.73	287.01	232.94	155.5	209.84	303.44	351.14	403.5
DCAF12	890.44	860.08	693.58	693.58	967.76	759.08	607.87	866.07	842.36	607.87	490.14	473.41	212.78	441.64	209.84	221.86	447.82	305.55	236.21	295.11	155.5	217.27	559.28	217.27	258.57	228.13	279.14	246.28	253.23	264.03	289.02	217.27	201.25	974.5
DHX8	708.18	612.11	733.19	733.19	1143.1	647.07	743.43	890.44	860.08	743.43	571.05	483.38	148.09	320.8	186.4	384.34	332.14	264.03	647.07	218.79	249.73	214.27	260.38	271.48	224.97	264.03	297.17	305.55	339.14	295.11	414.87	264.03	208.38	651.58
DMXL1	728.11	529.06	253.23	253.23	518.15	607.87	493.56	780.44	775.05	493.56	271.48	202.66	180.02	103.69	204.07	163.28	239.52	205.5	176.29	175.07	161.02	110.43	215.77	136.19	152.28	178.77	208.38	236.21	211.31	234.57	176.29	142.01	163.28	397.93
DNAJC24	368.65	281.09	116.78	116.78	199.85	289.02	221.86	312.0	281.09	221.86	158.79	226.54	52.45	76.71	112.77	54.33	135.24	131.51	105.15	127.89	58.71	99.43	126.12	48.52	78.89	65.26	95.34	104.42	75.11	100.13	57.89	120.1	73.54	217.27
DSCR3	753.83	743.43	532.74	532.74	872.1	796.86	612.11	785.88	698.41	612.11	371.22	928.3	420.68	836.53	312.0	429.54	679.29	493.56	490.14	392.44	293.07	406.31	708.18	348.71	406.31	444.72	392.44	341.51	414.87	363.56	693.58	426.57	299.25	1191.69
EEA1	387.02	323.03	107.38	107.38	271.48	353.59	255.0	307.69	387.02	255.0	100.13	68.07	67.12	46.5	55.1	102.25	76.71	100.83	48.87	109.66	64.8	50.27	128.79	60.82	58.3	60.82	86.43	92.7	70.01	52.45	49.21	81.14	72.01	293.07
EFTUD2	1407.55	1331.57	1477.58	1477.58	2609.3	1467.37	1427.22	1745.2	1268.46	1427.22	1594.73	1191.69	624.99	941.27	463.65	473.41	1135.2	595.34	1233.75	575.03	547.75	660.68	624.99	490.14	698.41	703.28	647.07	665.29	638.15	616.37	1216.75	486.75	507.46	1437.15
EIF2B1	1030.12	769.69	733.19	733.19	947.83	988.12	954.43	808.0	1119.56	954.43	1066.48	684.02	366.09	463.65	403.5	483.38	503.95	400.71	796.86	417.77	327.56	417.77	665.29	336.79	470.14	329.84	395.18	406.31	435.55	612.11	426.57	376.41	409.15	995.0
EPB41	830.75	633.73	463.65	463.65	483.38	591.22	713.11	748.61	575.03	713.11	450.94	791.35	521.76	251.48	214.27	483.38	679.29	397.93	361.04	305.55	201.25	221.86	397.93	180.02	291.04	199.85	647.07	318.57	242.88	285.03	145.02	279.14	351.14	866.07
EYA3	318.57	339.14	158.79	158.79	420.68	267.73	223.41	339.14	373.81	223.41	163.28	167.9	64.8	56.68	92.7	96.68	92.05	76.71	116.78	57.49	67.59	101.54	85.22	72.01	68.07	149.12	64.8	63.0	63.89	129.69	92.05	68.55	59.97	271.48
FAM208A	1277.29	1167.14	909.17	909.17	1286.18	1175.27	836.53	954.43	1487.87	836.53	743.43	536.45	262.2	241.19	256.78	503.95	438.59	507.46	237.86	336.79	305.55	285.03	253.23	224.97	314.17	204.07	353.59	341.51	248.0	301.33	327.56	291.04	299.25	934.76
FBXO45	293.07	299.25	182.55	182.55	215.77	208.38	172.65	466.88	255.0	172.65	145.02	169.07	46.18	111.21	72.01	63.0	145.02	83.45	86.43	84.04	32.82	64.34	68.07	69.03	49.56	57.49	68.07	40.93	41.81	33.3	91.41	68.07	63.45	295.11
GABPA	599.49	423.61	273.37	273.37	376.41	647.07	417.77	583.07	703.28	417.77	158.79	193.01	220.32	163.28	165.57	277.2	255.0	343.89	74.06	287.01	158.79	140.04	283.05	186.4	163.28	118.43	208.38	129.69	180.02	185.11	144.01	167.9	158.79	466.88
GNAI3	1437.15	2075.59	836.53	836.53	1286.18	1233.75	961.07	1096.5	1487.87	961.07	785.88	603.67	656.11	1088.92	518.15	698.41	656.11	595.34	651.58	684.02	318.57	493.56	708.18	373.81	373.81	529.06	454.09	346.29	384.34	262.2	607.87	633.73	336.79	1594.73
GORASP1	1059.11	738.29	753.83	753.83	633.73	981.29	1199.98	791.35	995.0	1199.98	819.3	688.78	507.46	314.17	540.19	420.68	1135.2	476.71	684.02	373.81	457.25	423.61	518.15	486.75	547.75	314.17	759.08	483.38	525.39	642.59	575.03	518.15	575.03	842.36
GOSR2	1183.45	872.1	1159.07	1159.07	1359.57	1059.11	1183.45	1259.69	1208.34	1183.45	878.17	1498.22	500.46	921.88	466.88	483.38	1127.35	780.44	1183.45	603.67	423.61	651.58	607.87	587.13	483.38	500.46	934.76	389.72	563.18	511.0	854.13	775.05	591.22	1259.69
GTF2H3	748.61	674.59	454.09	454.09	830.75	796.86	612.11	633.73	896.64	612.11	389.72	226.54	139.07	255.0	123.5	183.82	281.09	244.57	237.86	153.34	116.78	232.94	255.0	149.12	136.19	88.88	208.38	103.69	136.19	163.28	130.6	176.29	143.01	607.87
GXYLT1	251.48	232.94	127.89	127.89	229.72	232.94	137.14	275.28	295.11	137.14	175.07	85.22	116.78	140.04	94.67	73.54	224.97	148.09	104.42	133.36	100.83	86.43	208.38	64.34	84.63	66.18	101.54	87.65	130.6	84.04	102.25	81.14	111.99	285.03
HIPK1	1277.29	808.0	708.18	708.18	743.43	915.51	842.36	941.27	1111.82	842.36	320.8	406.31	150.17	273.37	150.17	190.34	525.39	403.5	154.42	267.73	105.89	132.44	275.28	165.57	108.14	144.01	260.38	231.32	145.02	143.01	190.34	206.94	142.01	988.12
HNRNPLL	819.3	759.08	395.18	395.18	791.35	825.0	571.05	718.08	1015.93	571.05	423.61	450.94	148.09	248.0	206.94	164.42	353.59	138.1	197.09	197.09	134.3	165.57	265.87	145.02	107.38	206.94	190.34	299.25	189.02	113.56	221.86	180.02	155.5	665.29
HS2ST1	358.54	417.77	208.38	208.38	438.59	454.09	307.69	420.68	454.09	307.69	281.09	251.48	176.29	277.2	119.26	323.03	182.55	329.84	163.28	341.51	236.21	239.52	392.44	239.52	191.67	201.25	279.14	187.71	206.94	145.02	246.28	183.82	248.0	346.29
HSPA13	497.0	808.0	490.14	490.14	579.04	575.03	518.15	708.18	529.06	518.15	182.55	400.71	113.56	209.84	99.43	71.0	450.94	180.02	104.42	291.04	52.45	95.34	113.56	195.72	55.49	115.97	141.02	80.57	68.55	52.08	131.51	113.56	85.82	988.12
INIP	825.0	579.04	316.37	316.37	392.44	575.03	423.61	688.78	679.29	423.61	212.78	232.94	182.55	260.38	156.59	104.42	193.01	148.09	172.65	164.42	111.21	115.97	190.34	133.36	62.56	100.83	132.44	122.64	78.89	95.34	158.79	190.34	118.43	547.75
KIAA0226	279.14	267.73	244.57	244.57	220.32	231.32	154.42	325.29	232.94	154.42	110.43	229.72	67.59	41.52	72.52	58.71	109.66	48.87	98.04	45.53	46.18	43.32	50.63	71.5	35.5	29.27	57.49	60.39	39.22	57.49	77.25	46.18	34.51	295.11
KPNA4	769.69	848.22	450.94	450.94	633.73	607.87	633.73	579.04	802.41	633.73	395.18	486.75	166.73	271.48	181.28	177.53	409.15	228.13	185.11	237.86	111.99	142.01	229.72	142.01	120.94	173.85	214.27	159.9	127.0	111.99	172.65	147.06	152.28	934.76
KPNA6	518.15	555.41	316.37	316.37	612.11	583.07	521.76	713.11	612.11	521.76	325.29	373.81	186.4	212.78	170.25	156.59	358.54	269.6	206.94	195.72	128.79	180.02	248.0	202.66	145.02	127.89	242.88	141.02	167.9	146.03	224.97	177.53	166.73	358.54
LIN54	169.07	172.65	111.21	111.21	201.25	155.5	101.54	217.27	208.38	101.54	78.34	138.1	87.03	142.01	52.45	99.43	136.19	146.03	72.01	87.65	56.28	59.13	152.28	66.18	69.03	47.5	96.01	79.45	58.71	81.14	54.72	57.89	50.27	162.14
LRCH3	563.18	454.09	307.69	307.69	320.8	500.46	303.44	728.11	660.68	303.44	281.09	187.71	180.02	102.97	156.59	123.5	376.41	208.38	153.34	258.57	231.32	500.46	265.87	115.97	109.66	111.21	273.37	157.68	153.34	116.78	92.7	212.78	201.25	486.75
LRRC59	1073.91	9606.86	1447.15	1447.15	2061.24	1167.14	1378.57	1477.58	1135.2	1378.57	2335.28	3039.3	890.44	1844.76	836.53	836.53	1883.54	988.12	1295.13	1295.13	463.65	802.41	872.1	1008.9	624.99	819.3	1242.34	660.68	629.35	555.41	1233.75	884.29	921.88	2133.97
LSG1	848.22	684.02	521.76	521.76	620.67	529.06	450.94	836.53	665.29	450.94	647.07	447.82	151.22	221.86	417.77	260.38	599.49	423.61	361.04	283.05	295.11	348.71	305.55	211.31	283.05	351.14	248.0	237.86	195.72	316.37	301.33	185.11	236.21	571.05
MATR3	7589.61	6652.97	4450.27	4450.27	6471.02	6983.79	5219.6	7130.55	8778.97	5219.6	3103.19	2367.9	1208.34	2061.24	1350.18	1583.71	1447.15	1286.18	1662.49	1745.2	1407.55	1259.69	2335.28	1233.75	1127.35	1388.16	1407.55	1769.57	1651.0	1350.18	1119.56	1191.69	1508.65	5517.27
MFN1	934.76	842.36	381.68	381.68	693.58	860.08	547.75	1199.98	1037.29	547.75	343.89	660.68	120.1	128.79	125.24	158.79	379.04	145.02	172.65	153.34	201.25	115.97	147.06	86.43	127.0	75.64	152.28	253.23	124.37	132.44	189.02	120.1	167.9	500.46
MLH1	723.08	688.78	547.75	547.75	674.59	684.02	518.15	500.46	665.29	518.15	429.54	476.71	244.57	500.46	285.03	299.25	409.15	339.14	638.15	395.18	189.02	361.04	334.46	255.0	283.05	232.94	343.89	258.57	215.77	301.33	353.59	356.05	224.97	769.69
MOB1A	1991.0	2090.03	1417.35	1417.35	1819.35	1883.54	1175.27	1651.0	1806.78	1175.27	764.36	928.3	320.8	981.29	371.22	327.56	361.04	348.71	480.04	363.56	260.38	314.17	759.08	379.04	237.86	314.17	297.17	346.29	361.04	237.86	575.03	373.81	273.37	2178.83
MTPN	2018.8	1936.53	1477.58	1477.58	1819.35	2061.24	1733.13	1757.34	2032.85	1733.13	693.58	1313.23	269.6	819.3	287.01	215.77	476.71	264.03	351.14	320.8	153.34	289.02	896.64	297.17	156.59	228.13	366.09	248.0	356.05	148.09	511.0	224.97	186.4	2163.77
NAA15	429.54	684.02	332.14	332.14	599.49	450.94	341.51	656.11	647.07	341.51	202.66	293.07	82.29	173.85	91.41	108.9	246.28	112.77	166.73	158.79	72.01	84.04	138.1	82.87	74.58	84.04	98.04	88.88	82.87	70.01	157.68	96.01	119.26	389.72
NF1	514.56	647.07	332.14	332.14	909.17	642.59	409.15	708.18	769.69	409.15	255.0	205.5	105.15	108.14	92.05	185.11	183.82	108.9	78.34	120.94	126.12	94.01	158.79	71.5	78.89	228.13	136.19	108.14	104.42	130.6	85.82	77.25	89.51	289.02
OGFOD1	753.83	928.3	540.19	540.19	836.53	748.61	703.28	759.08	802.41	703.28	476.71	660.68	220.32	514.56	195.72	237.86	532.74	237.86	358.54	256.78	127.0	226.54	409.15	228.13	161.02	165.57	256.78	208.38	221.86	186.4	291.04	244.57	193.01	902.89
OSBPL8	1119.56	665.29	351.14	351.14	624.99	896.64	647.07	769.69	981.29	647.07	202.66	161.02	170.25	208.38	152.28	141.02	221.86	199.85	82.87	220.32	141.02	83.45	343.89	116.78	84.63	127.89	139.07	193.01	139.07	82.29	103.69	102.97	107.38	559.28
PGGT1B	723.08	457.25	412.0	412.0	497.0	444.72	366.09	587.13	599.49	366.09	202.66	187.71	239.52	204.07	218.79	204.07	318.57	297.17	293.07	343.89	178.77	154.42	215.77	248.0	214.27	117.6	197.09	206.94	209.84	195.72	98.04	175.07	148.09	406.31
PGS1	444.72	866.07	341.51	341.51	444.72	379.04	412.0	447.82	525.39	412.0	555.41	251.48	116.78	215.77	171.45	141.02	229.72	97.36	163.28	113.56	147.06	133.36	205.5	163.28	108.9	191.67	163.28	161.02	212.78	224.97	277.2	150.17	194.36	830.75
POLE3	1457.23	1551.09	1037.29	1037.29	1427.22	1127.35	1008.9	1081.39	1322.37	1008.9	1081.39	688.78	444.72	1143.1	532.74	441.64	836.53	490.14	638.15	579.04	305.55	536.45	595.34	414.87	444.72	417.77	403.5	339.14	463.65	463.65	514.56	366.09	384.34	1250.98
POT1	642.59	547.75	356.05	356.05	679.29	571.05	387.02	633.73	708.18	387.02	212.78	271.48	164.42	212.78	143.01	159.9	316.37	194.36	117.6	182.55	128.79	113.56	165.57	136.19	134.3	185.11	182.55	287.01	178.77	197.09	87.03	100.83	178.77	323.03
PPIG	1551.09	1417.35	796.86	796.86	1313.23	1437.15	785.88	1447.15	1697.45	785.88	684.02	703.28	346.29	921.88	575.03	397.93	518.15	444.72	872.1	567.1	460.44	417.77	718.08	358.54	373.81	457.25	532.74	633.73	563.18	403.5	348.71	339.14	480.04	1529.73
PRPF4	633.73	555.41	1340.84	1340.84	642.59	420.68	368.65	555.41	547.75	368.65	629.35	460.44	190.34	258.57	166.73	191.67	366.09	194.36	231.32	159.9	299.25	189.02	248.0	142.01	189.02	198.47	211.31	279.14	157.68	180.02	226.54	169.07	161.02	540.19
PRPF40A	1721.16	1844.76	1066.48	1066.48	1883.54	1407.55	974.5	1551.09	1437.15	974.5	915.51	842.36	423.61	536.45	414.87	373.81	444.72	444.72	607.87	909.17	395.18	486.75	579.04	376.41	267.73	361.04	444.72	511.0	567.1	201.25	361.04	384.34	409.15	1242.34
PRR14L	395.18	229.72	289.02	289.02	258.57	353.59	277.2	323.03	381.68	277.2	157.68	194.36	128.79	63.89	103.69	144.01	120.94	134.3	102.97	80.01	83.45	117.6	120.1	105.15	87.03	64.8	105.89	97.36	107.38	195.72	108.14	83.45	68.07	246.28
RBBP4	3257.52	4038.61	2573.36	2573.36	4802.93	3928.15	3257.52	4358.66	4268.94	3257.52	1685.71	2163.77	607.87	1639.59	665.29	684.02	708.18	638.15	1340.84	954.43	483.38	825.0	1250.98	748.61	466.88	607.87	748.61	813.63	775.05	555.41	559.28	713.11	567.1	3212.66
RECQL	941.27	902.89	423.61	423.61	743.43	813.63	638.15	563.18	595.34	638.15	242.88	414.87	119.26	329.84	96.01	68.07	178.77	60.39	211.31	74.58	70.01	115.16	228.13	71.0	71.5	143.01	90.14	100.13	102.97	84.63	134.3	69.03	73.03	780.44
RP11-159G9.5	314.17	194.36	110.43	110.43	178.77	256.78	128.79	356.05	356.05	128.79	28.45	52.08	10.16	43.94	24.81	16.51	40.07	21.94	11.47	21.47	32.36	16.39	126.12	7.06	3.86	25.35	18.16	77.79	26.1	32.82	36.79	27.44	23.25	131.51
RUNDC1	441.64	423.61	316.37	316.37	532.74	353.59	397.93	665.29	299.25	397.93	187.71	162.14	19.82	68.55	55.1	69.52	147.06	44.25	96.01	61.68	46.5	30.78	70.01	67.12	43.32	25.54	78.89	63.45	55.49	45.21	119.26	55.49	71.5	287.01
SBNO1	529.06	341.51	231.32	231.32	447.82	417.77	256.78	343.89	473.41	256.78	185.11	170.25	86.43	125.24	110.43	103.69	173.85	118.43	99.43	117.6	82.29	77.79	136.19	78.89	56.28	92.7	94.67	115.16	85.82	78.89	92.05	83.45	57.49	264.03
SCAMP4	1096.5	579.04	1437.15	1437.15	1437.15	988.12	941.27	1250.98	866.07	941.27	1286.18	836.53	397.93	260.38	305.55	325.29	1340.84	389.72	429.54	497.0	323.03	325.29	503.95	583.07	466.88	307.69	669.92	303.44	718.08	423.61	547.75	400.71	384.34	1572.76
SCYL2	860.08	830.75	371.22	371.22	728.11	688.78	441.64	638.15	872.1	441.64	559.28	373.81	224.97	228.13	142.01	279.14	457.25	476.71	201.25	454.09	165.57	142.01	379.04	151.22	169.07	242.88	287.01	236.21	153.34	105.15	242.88	273.37	293.07	603.67
SEC23IP	743.43	854.13	603.67	603.67	723.08	688.78	511.0	995.0	825.0	511.0	426.57	457.25	164.42	339.14	187.71	215.77	518.15	309.83	285.03	387.02	166.73	246.28	283.05	147.06	183.82	127.89	273.37	217.27	178.77	151.22	241.19	208.38	182.55	728.11
SEC31A	3955.48	6079.61	3955.48	3955.48	3589.58	4123.49	3794.3	4328.55	4010.71	3794.3	3820.7	4419.52	2434.5	1721.16	2148.82	2701.35	4671.57	2384.37	2796.65	3168.41	2240.11	1857.6	1991.0	2271.4	2434.5	1467.37	3124.78	2758.13	1769.57	2240.11	1662.49	2351.53	2032.85	5329.3
SECISBP2	1059.11	896.64	563.18	563.18	791.35	860.08	688.78	1073.91	1051.79	688.78	693.58	703.28	473.41	244.57	277.2	607.87	860.08	536.45	460.44	373.81	555.41	529.06	389.72	356.05	633.73	283.05	476.71	483.38	426.57	738.29	351.14	373.81	497.0	1313.23
SELT	3190.46	3018.3	2609.3	2609.3	3349.13	2468.49	2627.46	2240.11	2520.38	2627.46	1745.2	2627.46	1605.83	2555.58	1378.57	1529.73	2224.63	1819.35	1437.15	1909.85	941.27	1628.26	2004.85	1651.0	1073.91	1508.65	1594.73	1313.23	1628.26	896.64	1427.22	1359.57	1487.87	4575.41
SENP1	414.87	323.03	172.65	172.65	293.07	275.28	223.41	417.77	397.93	223.41	150.17	69.03	30.78	74.06	35.76	54.33	75.11	47.5	71.5	56.68	32.59	26.86	38.12	38.95	35.0	91.41	51.35	33.54	52.82	55.49	51.35	30.34	34.02	231.32
SENP5	379.04	356.05	205.5	205.5	273.37	314.17	262.2	521.76	303.44	262.2	199.85	241.19	96.01	72.01	150.17	110.43	217.27	108.14	139.07	102.97	164.42	86.43	104.42	113.56	115.16	88.26	175.07	182.55	133.36	147.06	84.63	139.07	156.59	253.23
SF3A3	1378.57	1378.57	954.43	954.43	1477.58	1628.26	1183.45	1487.87	1639.59	1183.45	981.29	915.51	336.79	1023.0	389.72	361.04	620.67	376.41	981.29	466.88	397.93	444.72	830.75	406.31	353.59	387.02	447.82	493.56	426.57	309.83	473.41	336.79	406.31	1508.65
