	TCGA.KM.8639.01A.11R.2403.07	TCGA.B0.5697.01A.11R.1541.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU
BRAF	232.94	220.32	190.34	351.14	297.17	314.17	397.93	339.14	153.34	135.24	183.82	555.41	176.29	218.79	231.32	248.0	283.05	231.32	169.07	262.2	159.9	212.78	429.54	529.06	327.56	169.07	305.55	400.71	156.59	336.79	152.28	336.79	258.57	229.72	167.9	183.82	339.14	105.15	381.68	191.67	356.05	329.84	358.54	248.0	299.25	150.17	181.28	293.07	253.23	100.13	269.6	190.34	71.5
C10orf88	85.22	126.12	94.01	135.24	157.68	136.19	232.94	134.3	66.65	81.14	116.78	153.34	75.64	95.34	98.04	105.89	108.14	94.67	43.63	94.67	85.22	81.14	138.1	185.11	125.24	70.51	111.21	162.14	102.25	152.28	86.43	107.38	120.1	94.67	69.52	120.94	98.04	54.72	128.79	90.77	89.51	154.42	113.56	85.22	204.07	69.03	90.14	125.24	84.04	88.88	105.89	43.94	34.75
CAMSAP2	221.86	234.57	175.07	195.72	316.37	387.02	733.19	529.06	108.14	83.45	221.86	450.94	180.02	204.07	177.53	209.84	234.57	191.67	103.69	218.79	121.79	123.5	406.31	293.07	271.48	103.69	223.41	314.17	115.16	406.31	86.43	201.25	285.03	211.31	153.34	180.02	366.09	47.17	351.14	124.37	332.14	332.14	295.11	172.65	348.71	138.1	128.79	239.52	239.52	74.58	309.83	92.7	69.52
CCDC126	161.02	117.6	114.36	165.57	91.41	175.07	406.31	232.94	64.34	56.68	74.58	242.88	39.22	84.04	102.97	62.56	100.13	85.82	55.89	111.21	104.42	88.26	143.01	177.53	150.17	74.58	152.28	147.06	83.45	198.47	66.65	139.07	80.57	135.24	105.89	82.29	178.77	73.54	176.29	80.57	175.07	187.71	186.4	171.45	105.89	88.88	63.89	133.36	141.02	102.25	110.43	45.21	208.38
CCDC132	339.14	234.57	218.79	435.55	332.14	361.04	532.74	283.05	193.01	169.07	226.54	638.15	111.21	251.48	341.51	202.66	269.6	198.47	81.71	356.05	220.32	206.94	371.22	575.03	323.03	122.64	387.02	361.04	180.02	409.15	148.09	426.57	159.9	269.6	154.42	253.23	255.0	49.56	314.17	265.87	412.0	414.87	273.37	234.57	267.73	175.07	135.24	397.93	209.84	119.26	121.79	137.14	83.45
CDC40	432.53	262.2	212.78	343.89	293.07	379.04	579.04	397.93	135.24	187.71	178.77	379.04	191.67	258.57	239.52	232.94	279.14	198.47	153.34	223.41	187.71	260.38	318.57	403.5	325.29	148.09	271.48	348.71	181.28	309.83	177.53	339.14	271.48	329.84	224.97	212.78	353.59	104.42	285.03	190.34	305.55	334.46	262.2	265.87	307.69	148.09	187.71	258.57	279.14	124.37	231.32	162.14	232.94
CDK14	244.57	287.01	299.25	356.05	98.04	463.65	215.77	395.18	190.34	158.79	141.02	728.11	166.73	135.24	312.0	346.29	291.04	143.01	150.17	185.11	195.72	129.69	591.22	463.65	312.0	63.89	470.14	536.45	176.29	473.41	87.65	543.96	170.25	432.53	167.9	244.57	301.33	37.05	409.15	121.79	775.05	346.29	438.59	273.37	785.88	122.64	98.04	457.25	199.85	125.24	215.77	57.08	126.12
CGGBP1	551.56	825.0	708.18	954.43	748.61	1044.52	1896.65	1242.34	536.45	540.19	651.58	1151.06	212.78	555.41	791.35	743.43	802.41	579.04	332.14	511.0	363.56	480.04	1001.93	1051.79	651.58	466.88	896.64	728.11	529.06	941.27	363.56	733.19	698.41	813.63	460.44	599.49	780.44	277.2	1051.79	457.25	748.61	848.22	890.44	551.56	854.13	429.54	536.45	718.08	543.96	426.57	813.63	264.03	503.95
CHD9	190.34	336.79	189.02	166.73	387.02	368.65	791.35	447.82	264.03	123.5	181.28	384.34	128.79	287.01	260.38	208.38	389.72	211.31	76.71	205.5	130.6	206.94	353.59	358.54	214.27	148.09	316.37	476.71	158.79	334.46	124.37	356.05	267.73	314.17	113.56	251.48	334.46	47.17	373.81	153.34	346.29	366.09	305.55	228.13	329.84	121.79	180.02	194.36	297.17	98.73	283.05	111.99	166.73
CHUK	376.41	248.0	232.94	387.02	314.17	366.09	624.99	423.61	141.02	289.02	193.01	454.09	194.36	281.09	223.41	201.25	283.05	205.5	180.02	258.57	241.19	246.28	348.71	403.5	368.65	183.82	293.07	417.77	224.97	336.79	198.47	329.84	279.14	244.57	211.31	262.2	397.93	158.79	299.25	157.68	287.01	366.09	267.73	316.37	260.38	178.77	209.84	256.78	325.29	205.5	239.52	186.4	312.0
CRK	551.56	890.44	738.29	981.29	660.68	1135.2	1051.79	1143.1	595.34	743.43	624.99	1322.37	476.71	486.75	830.75	748.61	764.36	693.58	253.23	660.68	591.22	563.18	1088.92	1104.13	988.12	395.18	915.51	878.17	825.0	1259.69	567.1	872.1	743.43	607.87	830.75	733.19	723.08	348.71	1081.39	595.34	1030.12	1051.79	921.88	551.56	684.02	583.07	395.18	909.17	612.11	497.0	813.63	332.14	961.07
CTDSPL2	144.01	267.73	130.6	316.37	221.86	358.54	728.11	460.44	151.22	76.17	204.07	470.14	117.6	185.11	166.73	176.29	325.29	150.17	72.01	169.07	81.14	144.01	379.04	454.09	199.85	57.89	178.77	356.05	153.34	363.56	47.5	258.57	293.07	327.56	126.12	224.97	251.48	24.46	351.14	108.9	281.09	325.29	285.03	108.9	232.94	73.54	93.35	215.77	175.07	71.5	249.73	83.45	99.43
DCAF17	177.53	111.21	84.04	132.44	248.0	190.34	339.14	214.27	127.89	92.05	139.07	224.97	67.12	152.28	119.26	93.35	156.59	125.24	53.19	102.97	57.49	75.64	172.65	229.72	121.79	64.34	125.24	186.4	117.6	190.34	66.65	176.29	117.6	260.38	82.87	107.38	279.14	40.36	152.28	67.12	127.0	199.85	147.06	140.04	231.32	63.89	76.71	120.1	171.45	53.57	146.03	50.63	25.72
DDHD2	571.05	518.15	457.25	603.67	684.02	532.74	738.29	713.11	395.18	371.22	435.55	878.17	371.22	591.22	567.1	532.74	684.02	507.46	273.37	432.53	327.56	480.04	954.43	872.1	500.46	373.81	669.92	934.76	358.54	1051.79	450.94	540.19	723.08	567.1	441.64	612.11	647.07	193.01	563.18	392.44	620.67	954.43	743.43	532.74	563.18	327.56	314.17	647.07	447.82	241.19	503.95	258.57	129.69
DENND1B	139.07	159.9	67.59	137.14	103.69	229.72	429.54	249.73	77.25	71.5	100.13	206.94	71.5	114.36	69.52	75.11	158.79	63.45	53.57	87.03	48.52	96.01	152.28	249.73	104.42	48.87	112.77	172.65	43.02	191.67	38.4	133.36	127.89	96.68	72.01	99.43	234.57	22.43	195.72	55.1	118.43	178.77	141.02	108.9	127.0	33.78	65.26	94.01	166.73	26.67	131.51	38.4	62.12
DENND4C	229.72	316.37	246.28	379.04	460.44	521.76	693.58	490.14	295.11	215.77	295.11	551.56	183.82	260.38	295.11	320.8	376.41	202.66	112.77	312.0	209.84	258.57	521.76	612.11	336.79	193.01	379.04	518.15	201.25	466.88	182.55	423.61	346.29	423.61	193.01	287.01	583.07	83.45	497.0	249.73	417.77	529.06	403.5	309.83	231.32	151.22	198.47	309.83	473.41	120.1	417.77	138.1	154.42
DNAJC27	84.04	67.59	56.28	68.55	88.88	87.65	152.28	115.97	45.53	46.84	59.13	116.78	27.64	94.67	74.06	76.71	77.79	47.5	30.56	48.52	26.28	87.03	102.97	134.3	113.56	28.45	85.22	131.51	71.5	100.83	36.53	68.55	30.78	53.57	64.34	77.25	93.35	18.43	91.41	40.36	75.64	90.14	108.14	72.52	77.79	21.63	34.26	63.89	61.25	19.82	78.89	29.06	10.96
EFR3A	529.06	723.08	441.64	684.02	559.28	813.63	1175.27	872.1	387.02	466.88	490.14	988.12	514.56	503.95	543.96	429.54	713.11	476.71	356.05	320.8	244.57	400.71	669.92	738.29	595.34	325.29	559.28	808.0	299.25	693.58	503.95	555.41	571.05	555.41	329.84	460.44	748.61	169.07	718.08	303.44	688.78	559.28	595.34	454.09	595.34	295.11	343.89	476.71	587.13	236.21	723.08	142.01	651.58
ERCC6L2	158.79	249.73	154.42	182.55	320.8	466.88	651.58	567.1	218.79	77.79	154.42	620.67	105.89	163.28	150.17	163.28	373.81	134.3	85.82	176.29	65.26	133.36	368.65	363.56	258.57	39.22	285.03	325.29	109.66	536.45	49.21	323.03	265.87	332.14	134.3	167.9	373.81	12.18	540.19	147.06	371.22	314.17	255.0	151.22	305.55	60.82	80.01	232.94	253.23	35.76	403.5	69.52	135.24
FAM115A	289.02	444.72	414.87	497.0	368.65	854.13	1191.69	872.1	417.77	201.25	299.25	1233.75	392.44	435.55	507.46	366.09	503.95	356.05	241.19	693.58	316.37	262.2	669.92	1151.06	490.14	126.12	713.11	866.07	356.05	759.08	125.24	713.11	381.68	928.3	239.52	607.87	397.93	55.89	656.11	397.93	638.15	896.64	688.78	329.84	361.04	215.77	277.2	595.34	351.14	95.34	297.17	175.07	785.88
FAM126A	96.01	95.34	42.11	56.68	79.45	153.34	279.14	289.02	90.14	63.45	62.12	236.21	27.84	52.08	71.5	37.85	67.59	44.25	27.44	105.89	43.32	47.84	156.59	156.59	74.06	25.72	75.64	159.9	41.81	143.01	36.01	169.07	35.0	133.36	46.5	57.49	61.68	40.36	117.6	36.79	154.42	100.83	120.94	31.22	125.24	52.08	28.45	59.13	31.45	34.26	115.97	22.43	171.45
FAM35A	312.0	480.04	339.14	718.08	583.07	599.49	656.11	591.22	149.12	329.84	358.54	660.68	265.87	669.92	392.44	249.73	438.59	301.33	205.5	346.29	273.37	486.75	660.68	733.19	674.59	232.94	511.0	791.35	423.61	551.56	223.41	587.13	514.56	633.73	450.94	483.38	332.14	75.64	417.77	237.86	457.25	603.67	514.56	325.29	647.07	255.0	267.73	460.44	281.09	185.11	363.56	198.47	571.05
FAT4	62.56	54.33	19.68	67.12	12.45	57.08	149.12	97.36	29.91	4.06	36.79	182.55	2.63	23.08	25.35	7.69	72.52	40.36	9.93	10.63	8.0	37.32	101.54	49.56	85.22	17.13	41.22	64.8	13.52	87.65	10.71	19.68	53.95	53.57	19.97	40.64	361.04	13.12	107.38	12.0	54.33	127.0	98.04	239.52	31.9	14.35	13.22	36.27	229.72	23.08	53.19	4.1	26.47
FBXO11	400.71	518.15	466.88	529.06	587.13	633.73	961.07	693.58	563.18	239.52	514.56	775.05	293.07	532.74	480.04	387.02	579.04	483.38	209.84	414.87	297.17	483.38	775.05	764.36	595.34	301.33	656.11	660.68	638.15	616.37	318.57	497.0	287.01	595.34	432.53	559.28	476.71	153.34	579.04	414.87	507.46	743.43	688.78	463.65	764.36	318.57	409.15	583.07	476.71	277.2	599.49	267.73	221.86
FUBP3	656.11	595.34	457.25	514.56	521.76	733.19	947.83	813.63	579.04	432.53	555.41	802.41	480.04	579.04	629.35	466.88	651.58	536.45	444.72	629.35	423.61	438.59	808.0	813.63	587.13	373.81	536.45	764.36	571.05	796.86	366.09	638.15	723.08	708.18	473.41	638.15	638.15	314.17	708.18	423.61	665.29	759.08	813.63	525.39	884.29	307.69	346.29	603.67	647.07	327.56	603.67	301.33	387.02
GAPVD1	223.41	273.37	169.07	234.57	260.38	348.71	417.77	361.04	202.66	162.14	172.65	466.88	154.42	185.11	181.28	157.68	332.14	185.11	117.6	163.28	99.43	173.85	341.51	376.41	242.88	100.13	218.79	376.41	172.65	353.59	117.6	320.8	260.38	269.6	134.3	221.86	303.44	60.39	379.04	122.64	281.09	303.44	303.44	151.22	323.03	94.67	115.16	211.31	195.72	94.67	244.57	76.71	89.51
GOSR1	507.46	642.59	583.07	599.49	684.02	651.58	866.07	947.83	503.95	466.88	414.87	1081.39	293.07	486.75	525.39	599.49	603.67	567.1	332.14	327.56	366.09	429.54	1059.11	988.12	764.36	336.79	620.67	947.83	497.0	988.12	470.14	872.1	529.06	620.67	466.88	723.08	775.05	287.01	921.88	397.93	743.43	915.51	612.11	473.41	698.41	387.02	289.02	693.58	575.03	406.31	587.13	202.66	567.1
HAUS2	241.19	242.88	139.07	301.33	320.8	285.03	718.08	334.46	154.42	108.9	152.28	262.2	135.24	214.27	158.79	226.54	211.31	145.02	106.63	209.84	150.17	133.36	218.79	299.25	215.77	131.51	226.54	262.2	199.85	273.37	169.07	232.94	229.72	248.0	155.5	185.11	297.17	70.01	242.88	128.79	234.57	258.57	198.47	194.36	224.97	120.94	155.5	221.86	255.0	114.36	218.79	102.97	283.05
HDGFRP3	423.61	258.57	291.04	281.09	514.56	409.15	1313.23	890.44	86.43	105.15	214.27	587.13	69.03	279.14	201.25	303.44	244.57	314.17	38.67	295.11	57.89	104.42	429.54	363.56	303.44	88.88	287.01	348.71	297.17	595.34	187.71	33.78	346.29	139.07	291.04	283.05	665.29	62.56	612.11	115.16	329.84	387.02	473.41	406.31	426.57	145.02	187.71	341.51	543.96	74.06	536.45	241.19	127.89
HERPUD2	301.33	381.68	273.37	361.04	368.65	460.44	414.87	435.55	158.79	181.28	256.78	624.99	231.32	279.14	318.57	279.14	368.65	253.23	221.86	438.59	343.89	299.25	503.95	599.49	409.15	182.55	490.14	414.87	205.5	500.46	209.84	483.38	341.51	423.61	269.6	295.11	329.84	163.28	511.0	269.6	507.46	500.46	483.38	299.25	336.79	277.2	209.84	423.61	277.2	224.97	323.03	152.28	403.5
HIAT1	463.65	723.08	555.41	743.43	525.39	915.51	1487.87	1066.48	587.13	435.55	463.65	974.5	373.81	575.03	555.41	579.04	713.11	521.76	255.0	346.29	395.18	551.56	866.07	842.36	819.3	387.02	660.68	791.35	351.14	1081.39	525.39	525.39	728.11	791.35	620.67	638.15	764.36	400.71	848.22	363.56	796.86	728.11	759.08	620.67	878.17	420.68	457.25	567.1	748.61	409.15	896.64	432.53	532.74
HOOK3	120.1	131.51	80.01	156.59	144.01	236.21	684.02	353.59	140.04	45.53	136.19	323.03	63.89	117.6	96.68	76.17	256.78	90.14	70.51	70.51	38.4	70.01	264.03	289.02	136.19	41.81	116.78	241.19	44.57	289.02	43.63	223.41	256.78	237.86	63.45	111.99	163.28	11.82	281.09	90.14	205.5	246.28	193.01	115.16	255.0	37.85	48.87	169.07	127.0	31.45	195.72	37.85	102.25
INTS2	81.71	123.5	124.37	138.1	101.54	101.54	193.01	127.0	76.17	75.64	75.11	209.84	74.58	80.01	105.15	81.71	93.35	108.9	44.89	77.25	63.0	43.63	118.43	183.82	162.14	34.51	137.14	199.85	68.55	231.32	52.08	201.25	72.52	106.63	71.0	138.1	90.77	16.75	133.36	88.88	130.6	130.6	110.43	74.06	118.43	58.3	49.56	82.87	60.39	52.45	88.26	31.22	40.93
KAT6A	154.42	221.86	125.24	119.26	180.02	361.04	579.04	444.72	121.79	85.22	169.07	376.41	87.03	116.78	126.12	119.26	279.14	138.1	78.89	108.9	59.97	105.89	251.48	307.69	175.07	75.11	136.19	218.79	94.01	351.14	102.97	244.57	228.13	262.2	103.69	152.28	303.44	68.07	366.09	100.83	269.6	258.57	224.97	120.1	249.73	92.7	72.52	209.84	170.25	85.22	269.6	45.53	68.55
KIAA1430	279.14	441.64	277.2	454.09	563.18	518.15	1073.91	785.88	271.48	242.88	239.52	819.3	218.79	389.72	358.54	258.57	490.14	309.83	170.25	353.59	170.25	316.37	669.92	532.74	476.71	175.07	318.57	738.29	195.72	607.87	158.79	532.74	733.19	693.58	244.57	327.56	624.99	50.98	518.15	228.13	603.67	429.54	371.22	297.17	563.18	139.07	161.02	361.04	450.94	128.79	463.65	171.45	358.54
KIAA1432	118.43	163.28	87.65	132.44	187.71	172.65	334.46	190.34	111.21	78.89	120.94	211.31	67.12	140.04	94.67	98.04	157.68	99.43	52.08	82.29	64.8	101.54	180.02	251.48	147.06	71.0	156.59	224.97	97.36	164.42	85.22	120.94	118.43	134.3	77.25	170.25	150.17	77.25	204.07	73.54	143.01	187.71	189.02	84.04	122.64	90.14	76.71	155.5	115.97	84.63	175.07	34.26	96.68
KLHL11	26.1	32.13	18.29	31.9	27.84	66.65	67.12	50.27	22.59	19.11	16.39	100.83	8.06	14.14	19.82	19.39	70.01	18.29	10.31	14.35	4.46	12.74	69.03	80.01	43.02	9.41	27.84	75.64	14.03	98.04	20.26	67.12	23.42	76.17	9.48	27.64	75.64	7.88	112.77	7.46	50.98	91.41	43.02	11.73	34.02	6.26	4.86	38.95	41.22	6.26	49.91	1.46	10.88
KLHL28	68.07	76.17	49.21	81.71	48.52	122.64	246.28	139.07	54.72	31.45	55.89	131.51	38.95	70.01	58.3	70.51	126.12	57.08	28.65	46.5	30.34	45.85	110.43	162.14	67.59	29.7	72.52	99.43	29.48	138.1	29.06	105.89	74.58	73.03	34.75	63.0	85.22	24.28	122.64	38.12	85.22	88.26	102.25	71.5	61.68	36.79	36.79	73.54	53.19	32.36	83.45	13.32	56.68
LATS1	182.55	159.9	102.25	183.82	182.55	256.78	381.68	281.09	46.5	74.06	125.24	253.23	57.49	136.19	126.12	113.56	239.52	110.43	73.54	111.99	73.54	101.54	237.86	246.28	153.34	60.82	139.07	185.11	105.89	229.72	62.56	211.31	159.9	150.17	105.89	127.89	231.32	36.53	269.6	90.14	199.85	212.78	182.55	133.36	248.0	60.39	82.29	148.09	138.1	72.52	212.78	46.18	38.95
LRP12	171.45	147.06	141.02	102.97	153.34	199.85	356.05	241.19	120.1	92.7	57.08	327.56	64.34	143.01	96.68	79.45	191.67	129.69	45.21	99.43	50.27	92.05	264.03	211.31	173.85	82.29	130.6	186.4	84.04	295.11	159.9	148.09	181.28	236.21	122.64	130.6	361.04	96.01	204.07	68.07	159.9	242.88	155.5	155.5	199.85	84.04	112.77	85.82	262.2	74.58	173.85	41.81	26.47
LTN1	151.22	100.13	62.12	139.07	193.01	215.77	414.87	232.94	98.73	99.43	124.37	204.07	55.49	100.83	108.14	105.89	153.34	73.03	54.72	121.79	55.89	78.34	158.79	143.01	124.37	52.82	131.51	150.17	55.49	171.45	64.8	164.42	111.99	137.14	55.1	61.25	158.79	21.94	159.9	85.82	153.34	175.07	130.6	84.63	251.48	44.25	62.12	125.24	122.64	22.75	154.42	36.53	65.26
MAN1A2	212.78	279.14	169.07	253.23	159.9	463.65	915.51	575.03	187.71	165.57	181.28	450.94	171.45	198.47	180.02	146.03	336.79	155.5	151.22	84.04	123.5	182.55	316.37	454.09	289.02	147.06	236.21	387.02	101.54	368.65	118.43	309.83	255.0	283.05	153.34	223.41	414.87	63.45	420.68	141.02	339.14	318.57	258.57	190.34	251.48	130.6	167.9	234.57	323.03	90.14	356.05	81.14	206.94
