	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
BHLHE22	7.75	1.19	1.5	0.77	0.77	3.53	3.32	0.79	0.0	0.78	9.48	5.41	0.77	0.0	2.89	2.18	2.58	1.11	1.5	4.62	5.15	2.36	2.25	4.03	1.3	1.17	0.0	1.95	3.2	1.66	4.31	6.11	1.62	1.57	1.83	1.17	12.45	14.56	19.68	15.0	12.09	6.01	4.24	4.82	5.63	0.09	7.51	0.33	5.73	7.88	9.85	3.44	7.63	11.3	9.2	20.11	15.8	6.31	6.89	8.19	36.27	7.11	19.25	5.82	7.4	21.01	51.71	29.06	5.68	15.0	25.35	8.06	22.92	12.74	15.91	1.58	24.28	24.28	4.21	6.73	6.41	43.94	29.48	4.5	17.64	6.62	13.32	3.03	5.11	8.38	4.66	2.89	3.96	15.34	6.46	7.82	15.91	16.39	7.75	7.63	15.11	9.63	11.82	26.1
BLOC1S6	346.29	348.71	450.94	555.41	454.09	521.76	497.0	536.45	567.1	476.71	379.04	518.15	429.54	403.5	518.15	503.95	205.5	376.41	384.34	412.0	480.04	591.22	329.84	336.79	381.68	463.65	483.38	429.54	551.56	403.5	507.46	587.13	503.95	503.95	486.75	397.93	1015.93	1104.13	713.11	1340.84	896.64	769.69	733.19	934.76	884.29	638.15	1143.1	921.88	1081.39	1183.45	860.08	785.88	854.13	974.5	669.92	656.11	1159.07	743.43	633.73	532.74	1066.48	791.35	753.83	563.18	813.63	775.05	1030.12	1167.14	802.41	921.88	854.13	1001.93	802.41	728.11	981.29	679.29	1583.71	860.08	500.46	1066.48	791.35	1151.06	1242.34	629.35	954.43	529.06	684.02	688.78	928.3	854.13	974.5	679.29	854.13	450.94	713.11	854.13	743.43	679.29	836.53	866.07	1175.27	679.29	1008.9	995.0
C10orf32	698.41	559.28	1242.34	934.76	872.1	1519.15	1183.45	1225.22	1250.98	1044.52	796.86	1397.83	1119.56	1135.2	1081.39	698.41	728.11	1216.75	981.29	780.44	961.07	866.07	934.76	995.0	884.29	1487.87	1143.1	928.3	1088.92	669.92	921.88	1359.57	988.12	941.27	954.43	967.76	1023.0	1216.75	2209.26	2664.15	1651.0	1295.13	1407.55	2502.97	1572.76	1001.93	2119.22	1259.69	1883.54	1477.58	1295.13	1143.1	1583.71	1781.89	884.29	785.88	1519.15	1199.98	974.5	1030.12	2148.82	1359.57	1119.56	1073.91	1159.07	1628.26	1832.01	2193.99	1870.53	1977.24	1340.84	2502.97	1457.23	1277.29	1605.83	1407.55	2537.92	1427.22	961.07	2319.15	1199.98	1819.35	2018.8	1467.37	1498.22	1477.58	1159.07	1388.16	1331.57	1551.09	1037.29	1369.04	1322.37	1127.35	1617.0	1250.98	1427.22	1923.14	1769.57	1674.06	2384.37	1073.91	1697.45	1733.13
C11orf57	251.48	242.88	316.37	400.71	309.83	297.17	291.04	363.56	351.14	265.87	336.79	336.79	329.84	289.02	305.55	329.84	269.6	242.88	480.04	289.02	305.55	348.71	327.56	297.17	339.14	348.71	361.04	336.79	457.25	314.17	346.29	381.68	397.93	373.81	297.17	281.09	423.61	540.19	392.44	529.06	438.59	389.72	376.41	387.02	532.74	417.77	463.65	579.04	312.0	624.99	470.14	429.54	571.05	480.04	312.0	384.34	543.96	379.04	371.22	309.83	476.71	379.04	417.77	376.41	460.44	466.88	476.71	525.39	483.38	387.02	441.64	429.54	532.74	392.44	656.11	397.93	575.03	603.67	256.78	460.44	457.25	595.34	450.94	316.37	511.0	323.03	483.38	466.88	389.72	414.87	376.41	358.54	400.71	389.72	414.87	361.04	384.34	457.25	591.22	457.25	371.22	420.68	543.96	417.77
C11orf58	3103.19	3847.29	3665.02	3874.05	3303.0	4328.55	3257.52	3742.05	3639.7	3257.52	3280.18	3901.01	3690.52	3168.41	3235.01	2816.11	3018.3	2875.3	3847.29	3443.31	3768.09	3491.39	3589.58	3847.29	2645.74	3955.48	3690.52	3467.27	4298.64	2956.17	2609.3	4268.94	3794.3	3768.09	3257.52	2555.58	4210.15	4704.07	5555.65	6164.49	4481.23	4972.34	3820.7	5995.9	5041.77	3768.09	6840.04	4543.8	5403.7	4903.87	5219.6	4671.57	4639.29	4769.75	3303.0	3540.14	4575.41	4268.94	3874.05	3847.29	5479.15	4038.61	4450.27	3928.15	4298.64	4181.07	4903.87	5954.47	4671.57	4972.34	4123.49	4972.34	5183.54	4419.52	4543.8	4869.99	5594.3	4123.49	2997.45	5672.41	5041.77	4937.99	5672.41	3665.02	5041.77	4095.0	4450.27	4903.87	4802.93	4869.99	3847.29	3589.58	4575.41	4038.61	4095.0	4450.27	4298.64	4512.4	5441.3	4543.8	5219.6	4607.24	5006.93	4388.98
C12orf29	167.9	149.12	177.53	165.57	234.57	208.38	134.3	157.68	182.55	172.65	206.94	157.68	226.54	166.73	166.73	158.79	132.44	141.02	153.34	162.14	154.42	202.66	146.03	110.43	190.34	195.72	172.65	193.01	190.34	217.27	143.01	185.11	212.78	191.67	141.02	189.02	521.76	395.18	239.52	503.95	255.0	249.73	258.57	287.01	299.25	220.32	361.04	279.14	279.14	525.39	262.2	339.14	423.61	285.03	232.94	267.73	309.83	373.81	301.33	262.2	339.14	283.05	351.14	297.17	329.84	255.0	334.46	279.14	303.44	241.19	343.89	289.02	329.84	279.14	339.14	295.11	536.45	277.2	215.77	256.78	253.23	381.68	447.82	293.07	293.07	320.8	287.01	303.44	336.79	264.03	406.31	236.21	236.21	256.78	307.69	307.69	226.54	332.14	312.0	236.21	277.2	297.17	295.11	406.31
C16orf72	195.72	122.64	204.07	229.72	190.34	183.82	178.77	285.03	258.57	221.86	189.02	229.72	194.36	180.02	206.94	173.85	177.53	161.02	182.55	242.88	190.34	205.5	218.79	209.84	251.48	221.86	218.79	181.28	234.57	156.59	152.28	277.2	248.0	191.67	187.71	260.38	414.87	371.22	414.87	460.44	293.07	303.44	297.17	334.46	358.54	271.48	466.88	231.32	301.33	486.75	325.29	348.71	387.02	295.11	239.52	283.05	429.54	332.14	267.73	229.72	379.04	301.33	301.33	327.56	429.54	271.48	441.64	429.54	285.03	368.65	379.04	299.25	409.15	293.07	334.46	293.07	457.25	320.8	229.72	361.04	299.25	387.02	679.29	289.02	329.84	277.2	316.37	358.54	409.15	384.34	299.25	269.6	267.73	279.14	301.33	279.14	265.87	285.03	289.02	269.6	314.17	295.11	320.8	356.05
C2orf49	144.01	136.19	197.09	202.66	205.5	224.97	217.27	215.77	260.38	157.68	164.42	205.5	177.53	134.3	161.02	186.4	107.38	178.77	205.5	195.72	158.79	198.47	120.94	113.56	118.43	199.85	223.41	195.72	205.5	166.73	100.13	145.02	211.31	206.94	182.55	121.79	341.51	387.02	255.0	325.29	256.78	234.57	262.2	289.02	332.14	228.13	279.14	273.37	293.07	371.22	251.48	289.02	303.44	346.29	201.25	273.37	293.07	260.38	241.19	236.21	295.11	269.6	275.28	275.28	346.29	295.11	379.04	262.2	264.03	325.29	318.57	277.2	334.46	220.32	343.89	232.94	400.71	332.14	214.27	289.02	234.57	348.71	414.87	229.72	346.29	307.69	231.32	318.57	312.0	281.09	260.38	155.5	339.14	271.48	255.0	253.23	295.11	297.17	356.05	277.2	325.29	223.41	241.19	316.37
C3orf33	191.67	73.03	145.02	211.31	116.78	206.94	182.55	271.48	215.77	229.72	165.57	172.65	164.42	218.79	209.84	149.12	148.09	256.78	154.42	242.88	234.57	212.78	208.38	226.54	173.85	239.52	246.28	157.68	214.27	82.29	138.1	220.32	237.86	214.27	178.77	149.12	299.25	236.21	358.54	329.84	329.84	358.54	264.03	283.05	353.59	137.14	287.01	149.12	231.32	397.93	285.03	241.19	264.03	275.28	186.4	249.73	363.56	260.38	279.14	229.72	241.19	291.04	229.72	242.88	348.71	181.28	320.8	262.2	162.14	206.94	237.86	271.48	343.89	202.66	293.07	341.51	660.68	293.07	170.25	232.94	327.56	256.78	395.18	339.14	283.05	336.79	303.44	293.07	249.73	346.29	232.94	275.28	223.41	376.41	237.86	244.57	265.87	291.04	119.26	285.03	307.69	248.0	363.56	329.84
C3orf38	164.42	134.3	180.02	155.5	186.4	157.68	144.01	189.02	269.6	169.07	127.0	155.5	154.42	115.97	162.14	191.67	122.64	134.3	118.43	161.02	142.01	197.09	147.06	153.34	144.01	151.22	155.5	138.1	175.07	177.53	115.16	187.71	166.73	135.24	166.73	95.34	397.93	381.68	246.28	307.69	249.73	209.84	228.13	187.71	271.48	239.52	224.97	183.82	226.54	387.02	231.32	237.86	248.0	249.73	191.67	221.86	305.55	256.78	271.48	208.38	220.32	248.0	241.19	262.2	299.25	178.77	258.57	251.48	249.73	195.72	332.14	215.77	323.03	220.32	265.87	269.6	277.2	255.0	180.02	244.57	275.28	297.17	358.54	265.87	249.73	226.54	205.5	249.73	182.55	320.8	201.25	218.79	248.0	208.38	251.48	248.0	234.57	159.9	181.28	197.09	186.4	267.73	223.41	277.2
