	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.ZF29.2026.SM.4WWB7	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07.1
CHRNA9	4.66	0.72	4.58	0.0	3.11	10.0	1.28	0.88	1.38	8.13	1167.14	1.04	1.64	0.32	36.53	1.55	2.46	1.07	10.79	2.01	10.24	38.4	0.31	1.68	1.06	5.59	99.43	5.77	0.35	1.04	26.47	3395.89	40.07	3.72	0.35	0.0	1.01	2935.74	14.67	6.01	0.67	2303.12	0.99	1167.14	241.19	0.32	16.75	25.72	0.0	0.39	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.03
COL9A2	40.07	242.88	72.52	19.11	65.26	25.72	3081.75	1806.78	101.54	111.21	1745.2	83.45	674.59	38.67	289.02	163.28	291.04	86.43	728.11	63.0	130.6	60.82	2004.85	217.27	55.49	57.08	108.14	616.37	29.91	493.56	486.75	99.43	237.86	132.44	89.51	45.21	152.28	3742.05	129.69	320.8	127.0	2816.11	12.18	291.04	218.79	78.89	154.42	105.15	43.32	26.67	10.55	10.71	18.29	69.03	52.45	7.22	15.34	4.1	9.93	44.89	13.03	36.01	12.64	10.55	2.84	1.99	4.78	5.82	28.65	13.03	0.58
COLEC12	141.02	503.95	3955.48	31.0	226.54	273.37	486.75	40.36	59.55	269.6	1519.15	191.67	237.86	283.05	320.8	26.28	848.22	463.65	312.0	2104.58	43.94	438.59	688.78	384.34	242.88	633.73	45.85	400.71	19.25	171.45	301.33	271.48	242.88	182.55	239.52	470.14	358.54	3491.39	239.52	1733.13	221.86	1551.09	185.11	403.5	2004.85	264.03	145.02	435.55	14.56	15.91	6.62	1.97	36.01	12.45	19.97	0.93	5.59	1.46	5.5	2.89	14.78	25.54	5.19	2.32	6.62	12.45	0.59	5.87	7.22	9.78	0.42
COX6C	168220.2	223512.12	152662.96	331809.5	158046.64	194578.47	209994.66	170568.48	201440.3	198667.0	221968.2	207103.59	211455.3	355624.68	265802.39	195931.88	190574.09	263966.36	242898.5	144427.91	228208.61	186652.11	229795.93	391864.76	425853.18	125731.67	217400.14	320506.81	170568.48	205673.01	177811.84	269512.87	160252.91	189257.69	194578.47	253213.41	180294.02	437825.58	527933.71	197294.7	184082.4	228208.61	138544.47	286861.53	223512.12	492579.5	204252.32	164758.26	61146.25	31215.04	28723.62	32767.0	59887.86	39785.74	34876.28	37639.55	38430.46	29531.18	33688.23	59063.35	46019.85	48643.87	55491.3	12589.08	17558.94	7485.11	11504.21	8538.88	9474.59	8247.98	1167.14
CUL7	432.53	543.96	547.75	426.57	356.05	414.87	463.65	525.39	536.45	307.69	733.19	450.94	463.65	397.93	463.65	325.29	277.2	269.6	559.28	406.31	486.75	450.94	470.14	185.11	218.79	420.68	432.53	199.85	759.08	395.18	384.34	231.32	381.68	607.87	170.25	211.31	336.79	915.51	297.17	432.53	258.57	603.67	158.79	343.89	551.56	231.32	429.54	265.87	242.88	414.87	376.41	138.1	157.68	239.52	220.32	241.19	275.28	228.13	185.11	307.69	334.46	185.11	249.73	115.97	76.17	88.88	150.17	107.38	63.0	155.5	0.47
DDR1	3515.68	9673.69	5183.54	3665.02	3847.29	7695.57	5995.9	4210.15	4639.29	4358.66	7331.05	4010.71	7966.99	2627.46	4903.87	5555.65	2796.65	2133.97	7230.1	5555.65	10733.74	4152.18	1487.87	2119.22	2895.31	1794.29	4736.79	3395.89	6121.9	5872.48	6887.62	5255.91	5479.15	6121.9	3303.0	3820.7	4066.71	16045.82	5633.22	4937.99	4639.29	6121.9	2400.97	3794.3	9215.48	2032.85	5366.37	5112.16	167.9	293.07	34.75	43.63	64.34	167.9	312.0	46.5	114.36	201.25	127.0	126.12	123.5	183.82	281.09	93.35	66.18	141.02	371.22	55.89	87.65	141.02	0.42
ELF2	567.1	559.28	651.58	563.18	540.19	599.49	473.41	473.41	551.56	728.11	532.74	698.41	536.45	503.95	718.08	514.56	728.11	450.94	612.11	718.08	423.61	674.59	571.05	543.96	480.04	651.58	301.33	466.88	490.14	612.11	521.76	890.44	441.64	358.54	358.54	343.89	612.11	567.1	612.11	536.45	559.28	490.14	507.46	638.15	688.78	1175.27	417.77	490.14	242.88	191.67	149.12	211.31	141.02	146.03	242.88	120.1	202.66	181.28	142.01	161.02	134.3	231.32	241.19	125.24	149.12	220.32	185.11	180.02	258.57	183.82	0.48
FAM178A	503.95	258.57	343.89	293.07	236.21	267.73	341.51	229.72	185.11	353.59	356.05	249.73	299.25	269.6	348.71	146.03	232.94	181.28	212.78	384.34	260.38	262.2	275.28	214.27	327.56	279.14	229.72	208.38	283.05	480.04	183.82	285.03	267.73	164.42	209.84	150.17	242.88	713.11	273.37	223.41	194.36	228.13	175.07	409.15	395.18	265.87	236.21	201.25	173.85	72.01	85.82	118.43	115.16	88.26	134.3	74.06	97.36	152.28	69.03	84.63	72.01	166.73	153.34	36.27	40.93	63.89	97.36	75.11	41.52	44.25	59.13
FBXO21	547.75	603.67	575.03	429.54	265.87	647.07	438.59	414.87	454.09	490.14	638.15	500.46	571.05	366.09	703.28	368.65	543.96	323.03	555.41	620.67	447.82	693.58	547.75	813.63	503.95	656.11	490.14	591.22	483.38	629.35	543.96	780.44	336.79	423.61	563.18	387.02	656.11	713.11	567.1	866.07	642.59	334.46	297.17	463.65	532.74	400.71	281.09	426.57	159.9	111.21	224.97	186.4	102.25	112.77	176.29	132.44	147.06	109.66	129.69	100.83	95.34	165.57	228.13	186.4	253.23	293.07	221.86	264.03	237.86	139.07	0.25
FRA10AC1	791.35	341.51	674.59	339.14	660.68	571.05	660.68	559.28	525.39	599.49	660.68	728.11	258.57	703.28	693.58	429.54	483.38	629.35	555.41	463.65	397.93	555.41	785.88	262.2	525.39	307.69	356.05	493.56	265.87	406.31	559.28	511.0	718.08	269.6	305.55	426.57	384.34	1417.35	540.19	368.65	473.41	616.37	473.41	583.07	507.46	718.08	426.57	371.22	343.89	293.07	206.94	381.68	376.41	318.57	299.25	346.29	267.73	295.11	267.73	387.02	346.29	497.0	470.14	127.0	273.37	307.69	363.56	287.01	226.54	279.14	0.54
GCC2	612.11	551.56	387.02	183.82	293.07	674.59	214.27	226.54	291.04	748.61	551.56	279.14	483.38	228.13	438.59	170.25	260.38	201.25	353.59	493.56	265.87	295.11	273.37	379.04	215.77	775.05	239.52	293.07	325.29	1191.69	199.85	587.13	297.17	232.94	299.25	353.59	356.05	728.11	251.48	244.57	358.54	366.09	136.19	269.6	684.02	212.78	229.72	237.86	125.24	94.67	56.68	115.16	74.06	77.25	136.19	74.06	81.71	94.67	71.0	63.45	70.01	127.89	91.41	21.63	70.01	226.54	89.51	137.14	97.36	85.22	73.03
GLCE	1407.55	316.37	1583.71	256.78	346.29	2075.59	198.47	429.54	1023.0	325.29	438.59	954.43	214.27	366.09	511.0	595.34	454.09	242.88	376.41	988.12	595.34	764.36	218.79	450.94	149.12	1119.56	483.38	361.04	514.56	785.88	224.97	1594.73	579.04	476.71	236.21	366.09	669.92	1781.89	825.0	400.71	309.83	780.44	260.38	669.92	1331.57	890.44	115.97	223.41	144.01	232.94	191.67	107.38	128.79	201.25	232.94	151.22	215.77	201.25	209.84	140.04	204.07	224.97	198.47	175.07	329.84	236.21	103.69	262.2	246.28	166.73	0.58
HDGFRP3	2104.58	1304.15	1709.26	638.15	1037.29	2664.15	651.58	647.07	1183.45	1583.71	1037.29	988.12	785.88	1111.82	1167.14	954.43	567.1	583.07	1378.57	1277.29	665.29	1662.49	866.07	1199.98	769.69	2351.53	1183.45	2956.17	1216.75	836.53	633.73	2075.59	703.28	928.3	819.3	1104.13	1088.92	2400.97	974.5	1397.83	1088.92	796.86	961.07	1605.83	2090.03	1883.54	629.35	438.59	74.06	62.12	16.03	22.26	46.84	28.65	74.06	22.26	53.19	34.26	25.91	32.82	8.85	141.02	19.11	9.7	21.78	14.03	8.19	20.86	19.11	37.85	0.74
HEATR5B	289.02	285.03	343.89	190.34	217.27	287.01	183.82	269.6	366.09	376.41	450.94	273.37	246.28	170.25	165.57	223.41	236.21	165.57	241.19	339.14	226.54	253.23	220.32	309.83	195.72	275.28	228.13	154.42	283.05	444.72	178.77	612.11	163.28	260.38	234.57	232.94	281.09	463.65	246.28	226.54	224.97	223.41	159.9	224.97	518.15	228.13	123.5	193.01	94.67	88.26	72.01	79.45	45.85	56.68	93.35	70.51	59.13	67.12	40.36	46.18	36.27	95.34	100.13	56.68	53.57	94.01	90.77	119.26	96.68	63.45	0.27
HIVEP3	198.47	249.73	236.21	64.8	220.32	403.5	348.71	197.09	320.8	202.66	221.86	417.77	164.42	198.47	100.83	165.57	348.71	157.68	175.07	435.55	351.14	164.42	348.71	136.19	204.07	320.8	189.02	307.69	301.33	198.47	131.51	199.85	320.8	80.01	181.28	379.04	193.01	934.76	100.13	224.97	285.03	460.44	180.02	149.12	215.77	341.51	68.55	122.64	58.3	21.32	43.32	53.19	64.8	25.91	50.63	20.56	34.26	25.17	28.86	38.67	39.22	80.57	49.91	42.11	23.08	107.38	38.67	40.64	52.82	29.48	0.48
KSR2	12.27	8.65	4.21	3.99	5.19	27.44	6.16	6.67	19.11	1.97	12.74	14.78	9.41	10.47	22.26	4.21	14.24	4.39	12.36	9.41	2.76	19.82	19.39	12.55	10.0	22.59	2.16	11.73	14.67	7.57	4.94	20.11	4.43	2.84	22.92	1.85	8.58	33.3	4.17	13.03	9.06	7.34	3.79	5.11	12.64	7.57	3.0	8.13	0.0	0.42	0.47	0.0	0.84	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	9.06	0.0	0.0	0.77	0.0
LHFPL1	2.2	5.82	15.34	0.79	0.25	12.09	0.85	6.73	8.58	12.64	9.06	0.93	1.81	5.54	12.18	5.23	3.17	7.51	3.23	5.36	0.55	4.06	6.89	2.81	0.93	5.36	4.74	7.63	3.56	6.06	10.55	23.42	14.56	3.26	16.15	4.13	4.31	36.79	2.58	3.56	3.32	102.97	9.41	1.81	32.82	10.31	0.21	1.79	0.0	1.07	0.41	0.0	1.55	0.0	0.0	0.0	0.38	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.08
MAP3K12	620.67	854.13	332.14	432.53	182.55	603.67	287.01	616.37	507.46	229.72	316.37	343.89	305.55	642.59	543.96	90.14	228.13	258.57	376.41	244.57	119.26	497.0	490.14	223.41	158.79	353.59	366.09	346.29	376.41	153.34	175.07	195.72	432.53	81.14	316.37	209.84	190.34	1044.52	154.42	248.0	172.65	463.65	176.29	234.57	299.25	363.56	450.94	299.25	113.56	45.53	42.71	39.22	77.79	84.63	143.01	60.39	75.11	84.04	36.01	55.49	14.14	173.85	28.65	28.86	21.63	36.27	18.97	43.02	33.54	46.18	0.71
MAPK13	836.53	638.15	1059.11	1388.16	981.29	2224.63	1322.37	1572.76	1277.29	878.17	61.68	1199.98	1216.75	679.29	1896.65	1674.06	890.44	1350.18	1151.06	830.75	967.76	1008.9	1250.98	974.5	514.56	909.17	1096.5	1832.01	1304.15	1617.0	1216.75	1936.53	1088.92	1037.29	1151.06	860.08	1001.93	4388.98	2018.8	1977.24	872.1	1977.24	825.0	1037.29	1583.71	1674.06	860.08	1104.13	108.9	101.54	45.85	11.21	135.24	33.3	395.18	91.41	35.25	94.01	47.17	94.01	376.41	60.82	38.95	43.94	43.32	10.39	71.0	10.63	7.88	112.77	0.2
MED13L	2224.63	1870.53	1242.34	836.53	759.08	1378.57	463.65	336.79	860.08	1208.34	2119.22	2255.7	1159.07	660.68	1259.69	607.87	1104.13	490.14	1369.04	902.89	1143.1	612.11	651.58	1143.1	743.43	1583.71	813.63	579.04	941.27	2287.2	540.19	1051.79	392.44	642.59	688.78	476.71	748.61	2133.97	669.92	2075.59	884.29	896.64	503.95	1111.82	1909.85	616.37	759.08	599.49	149.12	93.35	111.21	74.06	69.03	84.04	104.42	67.12	63.45	83.45	43.63	48.52	51.71	123.5	134.3	49.91	48.18	114.36	102.25	223.41	260.38	93.35	0.6
MTRNR2L4	5.28	2.16	5.92	0.0	0.67	0.38	4.31	4.5	1.77	2.46	1.69	2.14	0.0	0.62	12.18	0.0	1.3	6.16	8.85	2.46	0.67	1.95	0.89	3.5	3.26	1.07	0.0	0.4	1.99	0.73	1.43	3.63	1.91	1.51	1.35	2.63	0.0	9.2	0.0	2.76	0.0	0.0	0.0	2.73	0.34	0.32	0.6	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	0.54	0.62	0.06
NETO2	339.14	323.03	1304.15	325.29	40.36	156.59	587.13	31.67	70.01	208.38	14.35	884.29	514.56	612.11	94.01	57.08	157.68	73.54	1151.06	688.78	79.45	432.53	15.11	1183.45	167.9	356.05	53.57	397.93	583.07	638.15	124.37	954.43	36.79	13.22	28.24	218.79	339.14	1857.6	47.17	116.78	146.03	470.14	532.74	37.32	665.29	384.34	24.11	107.38	36.79	14.89	4.13	6.26	21.01	5.87	392.44	8.51	22.26	15.11	11.04	15.68	8.06	33.78	7.46	15.34	10.24	1.87	18.97	9.41	4.74	10.63	0.57
NFYB	1059.11	684.02	947.83	769.69	612.11	651.58	547.75	591.22	633.73	1015.93	981.29	660.68	688.78	723.08	934.76	674.59	928.3	733.19	703.28	684.02	529.06	1037.29	718.08	825.0	669.92	1001.93	629.35	656.11	551.56	567.1	718.08	1259.69	567.1	591.22	684.02	555.41	967.76	915.51	563.18	693.58	967.76	718.08	551.56	884.29	785.88	981.29	412.0	1001.93	503.95	339.14	249.73	616.37	460.44	543.96	441.64	426.57	507.46	381.68	688.78	346.29	275.28	633.73	679.29	320.8	583.07	379.04	435.55	435.55	420.68	358.54	0.35
NOX5	14.78	12.93	44.25	8.19	18.43	48.52	68.55	2.73	87.03	3.2	34.02	105.89	1.08	2.2	16.88	22.59	27.44	4.74	25.17	131.51	33.78	11.13	10.39	748.61	12.64	11.64	32.36	43.94	31.45	21.63	4.28	7.46	6.57	7.17	24.63	17.77	8.78	1674.06	51.35	21.01	21.16	8.65	3.08	6.78	8.51	3.06	3.26	22.1	1.68	7.22	2.05	0.0	11.38	0.58	1.17	4.9	3.92	0.0	0.0	1.93	0.49	8.38	0.0	0.0	0.0	0.0	0.0	0.0	0.87	3.23	61.68
NRXN1	0.24	2.56	16.27	0.24	0.56	0.62	0.57	2.39	128.79	5.32	3.59	0.93	0.0	0.24	0.59	1.71	2.01	0.96	0.85	4.06	1.14	2.29	0.0	2.16	0.29	5.63	0.56	7.88	22.75	1.25	10.96	208.38	0.25	0.52	104.42	1.75	20.26	149.12	1.41	1.35	7.17	2.43	0.88	0.58	167.9	169.07	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.97	1.17	0.51	0.87	1.81	0.07
