	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.KK.A8II.01A.11R.A36G.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
CLIP3	0.0	0.53	400.71	53.95	271.48	64.8	88.26	536.45	47.17	20.11	341.51	232.94	555.41	325.29	325.29	426.57	52.08	237.86	218.79	232.94	119.26	521.76	423.61	759.08	61.68	195.72	74.06	78.89	92.7	221.86	126.12	147.06	151.22	124.37	511.0	20.41	206.94	285.03	127.0	57.49	232.94	226.54	171.45	327.56	718.08	204.07	21.32	89.51	193.01	201.25	258.57	295.11	387.02	171.45	171.45	93.35	264.03	73.03	43.32	75.64	106.63	180.02	144.01	36.53	24.28	543.96	126.12	341.51	89.51	144.01	67.59	118.43	271.48	256.78	190.34	318.57	83.45	194.36	140.04	723.08	54.33	100.13	348.71	327.56	299.25	81.14	92.7	61.25	144.01	316.37	381.68	486.75	713.11	848.22	341.51	1096.5	480.04	258.57	1066.48
CLVS2	0.0	0.0	49.56	1.58	11.21	1.25	0.95	16.03	0.68	0.93	33.78	6.46	25.17	27.44	10.16	31.22	1.6	3.79	9.41	8.13	12.74	23.76	4.94	20.71	3.2	1.39	2.71	8.85	5.73	3.32	12.36	12.36	5.19	8.99	15.45	0.0	2.61	17.38	5.77	1.81	8.71	1.39	3.92	13.93	33.3	8.25	0.65	0.32	5.73	1.69	4.28	6.73	28.04	4.7	1.71	4.94	16.51	1.5	1.1	4.39	3.06	9.48	2.05	1.31	0.59	53.57	11.82	9.13	2.32	1.31	44.89	1.28	33.78	18.03	7.57	9.78	6.78	6.52	6.06	42.41	1.75	0.71	10.88	39.5	17.13	4.24	6.21	5.54	4.39	25.54	55.1	27.44	29.06	27.84	28.24	73.54	33.06	17.77	53.19
CNRIP1	0.0	0.62	267.73	74.58	165.57	49.56	57.08	212.78	41.52	25.17	191.67	129.69	212.78	145.02	145.02	202.66	38.67	173.85	153.34	176.29	87.03	320.8	295.11	234.57	42.71	113.56	46.5	85.82	55.1	105.15	110.43	92.7	84.04	83.45	269.6	28.24	129.69	143.01	75.64	31.0	264.03	134.3	156.59	291.04	454.09	165.57	33.06	63.45	180.02	258.57	146.03	144.01	205.5	81.14	85.82	71.0	167.9	32.36	37.05	52.82	66.65	100.83	79.45	59.55	41.81	341.51	85.22	182.55	59.55	97.36	43.32	53.57	223.41	136.19	93.35	152.28	73.54	83.45	83.45	329.84	21.32	75.64	241.19	253.23	177.53	76.17	86.43	43.94	64.8	301.33	177.53	551.56	236.21	303.44	226.54	441.64	403.5	143.01	571.05
COL4A6	0.0	0.49	277.2	27.44	91.41	34.75	10.79	246.28	13.03	13.03	143.01	121.79	218.79	180.02	115.16	205.5	14.67	69.52	119.26	88.88	41.52	384.34	143.01	339.14	27.25	70.51	44.25	23.76	26.28	53.95	87.03	35.0	32.82	62.12	108.14	8.32	46.84	91.41	38.67	18.03	91.41	49.56	35.5	65.72	366.09	86.43	6.16	13.22	89.51	40.07	131.51	127.89	136.19	42.11	51.71	38.12	131.51	18.03	15.34	23.59	18.29	71.5	40.64	19.39	6.67	217.27	31.22	72.52	40.64	62.56	17.51	13.12	211.31	67.59	34.75	79.45	48.52	40.36	64.8	348.71	15.11	22.75	128.79	327.56	231.32	15.8	39.79	21.01	65.72	253.23	595.34	476.71	316.37	264.03	228.13	583.07	483.38	189.02	486.75
DAAM2	0.0	0.57	260.38	25.91	114.36	26.28	57.08	198.47	29.27	18.56	199.85	110.43	258.57	85.82	88.88	165.57	18.7	146.03	122.64	164.42	53.19	201.25	153.34	223.41	26.67	96.68	44.57	44.25	41.81	87.03	51.71	48.18	77.25	63.45	224.97	7.88	46.18	155.5	49.56	23.42	102.97	81.14	37.85	173.85	341.51	109.66	9.7	45.85	131.51	111.21	92.7	190.34	137.14	78.89	90.14	61.68	191.67	37.85	15.68	29.06	25.91	70.51	61.68	18.7	16.63	301.33	47.5	204.07	40.07	94.67	40.36	36.53	152.28	90.14	109.66	164.42	44.57	80.57	65.72	323.03	8.58	49.91	121.79	246.28	189.02	24.99	37.32	29.48	74.06	309.83	186.4	406.31	299.25	221.86	226.54	514.56	234.57	96.68	529.06
DKK3	0.0	0.99	1870.53	412.0	1175.27	275.28	447.82	2609.3	199.85	180.02	2224.63	1183.45	1104.13	1250.98	902.89	1950.0	236.21	1191.69	1388.16	848.22	500.46	2178.83	1909.85	2303.12	241.19	450.94	387.02	497.0	414.87	791.35	642.59	540.19	642.59	500.46	1628.26	69.52	791.35	1277.29	438.59	205.5	1216.75	733.19	684.02	1605.83	3190.46	860.08	111.99	356.05	825.0	1119.56	988.12	1096.5	1583.71	599.49	387.02	356.05	1295.13	336.79	223.41	293.07	420.68	796.86	406.31	237.86	224.97	2935.74	466.88	1304.15	454.09	521.76	251.48	346.29	1397.83	967.76	669.92	1295.13	470.14	679.29	583.07	2664.15	197.09	325.29	1225.22	2240.11	1819.35	314.17	450.94	297.17	674.59	2400.97	4802.93	5112.16	2193.99	2816.11	2367.9	3103.19	3419.52	1870.53	3874.05
DPYSL3	0.0	0.71	1781.89	356.05	1529.73	368.65	521.76	2032.85	202.66	285.03	1923.14	1286.18	2351.53	1651.0	1151.06	1508.65	163.28	854.13	995.0	1487.87	665.29	1870.53	1844.76	2915.45	242.88	1051.79	457.25	432.53	607.87	1008.9	981.29	728.11	748.61	567.1	2209.26	379.04	896.64	1286.18	1001.93	224.97	1208.34	1369.04	500.46	1639.59	2682.69	1331.57	208.38	358.54	1199.98	941.27	1001.93	1340.84	1397.83	616.37	988.12	381.68	1151.06	336.79	273.37	423.61	466.88	830.75	511.0	420.68	591.22	2758.13	802.41	1250.98	547.75	1066.48	660.68	511.0	1662.49	1159.07	595.34	1096.5	1135.2	679.29	1037.29	2573.36	182.55	698.41	1313.23	2178.83	1498.22	417.77	551.56	305.55	543.96	1896.65	1936.53	3901.01	3060.45	4038.61	2075.59	4268.94	2835.7	1551.09	4152.18
EMX2	0.0	0.13	27.44	5.02	0.75	0.0	0.69	20.86	1.91	0.68	1.97	1.01	4.66	2.27	0.16	3.69	0.0	4.39	3.23	4.9	1.33	2.68	1.89	15.45	0.0	1.69	0.47	0.53	0.43	1.33	0.44	1.6	0.16	1.06	0.51	0.0	2.97	1.36	1.66	0.0	8.38	1.99	3.29	10.24	3.06	4.5	0.0	0.15	1.06	1.35	13.83	1.06	4.82	1.93	0.18	0.16	3.08	0.39	0.0	1.66	0.95	2.56	2.53	0.45	0.39	9.13	1.85	4.62	0.0	0.73	0.73	2.89	10.39	1.62	1.31	8.13	3.56	1.68	0.77	6.67	1.14	2.27	8.78	2.68	13.03	0.0	0.74	0.15	0.47	55.49	7.51	15.56	0.52	9.06	14.24	22.26	3.5	14.24	28.04
ETV5	0.0	0.2	165.57	28.04	69.52	25.35	37.59	273.37	23.93	8.65	149.12	59.13	70.01	104.42	87.03	63.0	10.96	48.87	81.14	84.63	34.26	115.97	185.11	157.68	19.11	35.76	33.54	29.48	34.75	59.97	343.89	34.51	36.01	28.86	60.39	14.35	46.18	84.63	49.21	15.91	47.5	40.36	31.9	87.65	264.03	83.45	13.22	30.56	68.55	56.68	70.01	62.12	90.77	27.05	46.5	39.79	124.37	26.86	9.34	18.16	17.77	66.65	27.25	25.91	23.42	206.94	40.93	68.07	34.02	18.56	14.78	15.45	137.14	65.72	60.39	71.5	45.21	43.02	59.55	211.31	11.55	116.78	43.02	169.07	139.07	24.63	28.65	25.35	54.33	183.82	316.37	412.0	88.88	151.22	153.34	316.37	205.5	158.79	384.34
EVX2	0.0	0.0	16.39	0.89	3.76	0.0	0.0	10.88	0.96	0.0	6.78	2.78	5.82	18.03	1.89	6.01	0.0	4.86	3.96	3.23	0.62	8.99	11.04	15.11	1.51	1.31	0.32	0.0	0.92	3.14	0.92	1.25	1.23	2.23	8.92	0.28	7.28	6.67	1.95	0.57	3.47	0.66	2.48	9.48	17.77	1.91	0.0	0.59	2.58	0.96	11.3	8.19	6.31	2.86	2.27	0.62	9.7	0.56	0.34	1.3	0.58	3.56	1.62	0.0	0.27	18.29	3.06	6.06	0.62	1.55	0.61	1.81	13.22	5.02	1.57	4.5	2.78	1.31	0.65	18.16	0.83	0.66	2.92	16.75	9.7	0.0	1.25	0.29	4.17	27.44	18.43	24.46	7.82	5.87	12.27	48.18	25.17	14.56	48.87
FAM90A1	0.0	0.27	2.29	1.08	3.89	0.41	0.75	9.7	1.14	0.0	13.42	5.5	7.94	4.74	0.43	3.96	2.1	1.91	6.26	7.11	7.28	5.28	8.25	7.22	0.42	1.19	0.8	9.63	1.43	1.48	1.1	0.79	4.5	2.89	5.96	0.4	1.46	10.55	2.23	1.68	2.39	2.27	2.16	5.19	9.85	3.92	0.42	0.74	1.51	1.16	29.27	5.02	2.2	1.16	1.89	2.51	2.89	1.64	0.47	0.44	0.73	5.41	1.87	1.46	0.39	10.0	1.11	3.66	3.53	2.14	1.11	1.75	22.59	2.89	3.2	4.7	16.39	1.19	2.92	7.82	2.23	1.55	2.94	15.0	9.34	0.78	1.13	1.07	1.87	7.57	7.11	7.28	4.9	5.63	4.39	7.94	34.51	6.36	5.23
FAT3	0.0	0.16	50.98	1.6	15.56	2.23	3.5	49.91	2.05	0.96	29.06	14.35	43.63	27.64	16.88	47.17	0.67	11.38	19.82	21.63	7.34	38.4	30.78	64.8	1.64	25.35	7.51	2.66	2.61	11.91	11.55	12.18	7.22	5.41	36.27	0.33	12.64	30.34	5.15	2.16	14.67	26.28	5.63	22.1	38.12	10.71	0.35	2.53	10.55	14.14	22.92	16.88	26.1	5.45	13.62	2.68	17.0	0.92	4.39	0.72	4.35	16.03	8.85	2.34	1.48	57.08	3.29	13.32	5.96	10.16	2.63	3.2	47.17	21.94	12.55	13.22	3.32	6.62	9.2	53.95	0.61	5.92	26.86	30.12	29.7	2.01	4.31	2.23	6.16	14.35	54.72	22.26	57.08	70.01	43.63	83.45	49.91	15.91	57.49
