	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FR.01A.11R.A38D.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DL.01A.21R.A30B.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CR.7390.01A.11R.2016.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CN.6989.01A.11R.1915.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.7103.01A.21R.2016.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CV.7428.01A.11R.2132.07	TCGA.CV.6950.01A.11R.1915.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.63.5128.01A.01R.1443.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
ARSB	65.26	65.72	43.63	52.08	50.63	49.21	71.0	14.14	42.71	57.49	28.45	45.85	52.08	2287.2	120.1	52.45	85.22	58.3	128.79	115.97	32.13	170.25	43.63	41.52	44.57	7.17	143.01	40.93	190.34	34.51	75.64	28.45	59.55	130.6	88.26	318.57	81.14	104.42	218.79	90.14	58.3	31.22	24.28	32.13	88.88	46.5	130.6	64.8	140.04	91.41	128.79	12.83	115.16	104.42	131.51	42.11	55.1	29.91	71.0	105.89	144.01	201.25	32.82	42.71	36.01	108.14	49.56	208.38	27.64	103.69	5.11	173.85	229.72	45.21	148.09	287.01	265.87	49.91	197.09	117.6	55.1	47.84	63.89	54.72	140.04	218.79	72.52	27.05	171.45	43.94	56.28	98.04	118.43	135.24	67.12	122.64	87.03	53.19	135.24	209.84	94.01	91.41	40.93	59.55	22.75	41.81	85.82	28.86	33.3	30.56	50.63	30.12	10.0
ATP8B2	58.3	145.02	71.5	31.67	27.25	20.71	32.13	6.41	30.34	13.93	72.01	32.59	15.11	995.0	159.9	77.25	748.61	45.85	389.72	500.46	189.02	1359.57	167.9	41.52	111.21	108.14	267.73	74.06	759.08	65.72	19.82	116.78	37.32	358.54	361.04	551.56	144.01	70.51	460.44	156.59	79.45	68.55	47.5	29.7	341.51	27.84	336.79	66.65	249.73	246.28	116.78	50.27	180.02	248.0	232.94	140.04	89.51	186.4	579.04	239.52	536.45	688.78	146.03	42.11	66.18	115.97	109.66	497.0	21.32	202.66	24.63	293.07	518.15	132.44	358.54	493.56	417.77	63.0	543.96	142.01	178.77	103.69	366.09	44.57	389.72	599.49	107.38	94.67	559.28	141.02	102.25	166.73	271.48	320.8	98.73	237.86	191.67	120.1	271.48	356.05	164.42	414.87	84.63	72.01	136.19	70.51	435.55	141.02	89.51	49.56	226.54	353.59	96.01
BEST1	24.28	22.59	21.47	4.31	9.2	21.94	8.51	14.35	12.83	17.25	16.39	14.56	42.41	133.36	58.71	45.53	52.45	67.59	94.67	81.14	20.11	68.07	17.0	16.75	14.67	28.45	42.71	7.0	30.12	19.82	9.85	20.86	32.82	55.89	78.89	69.03	24.11	29.91	49.56	17.51	17.9	6.94	19.11	17.51	24.99	4.03	33.54	16.63	26.67	34.26	31.45	9.56	27.25	20.86	40.64	10.47	17.77	10.71	32.13	28.45	35.25	65.72	8.58	13.93	22.1	16.03	10.24	52.45	4.7	79.45	10.71	43.32	46.18	16.63	59.13	65.72	52.82	15.22	63.45	18.84	14.78	7.22	43.94	13.22	24.81	60.82	7.57	13.93	21.32	20.56	6.57	19.82	47.84	38.95	19.53	56.68	22.26	15.91	25.17	51.35	24.81	16.39	12.36	13.93	30.56	23.93	15.22	10.55	13.42	5.54	66.18	23.42	24.28
BICC1	4.1	47.84	8.58	5.36	6.46	9.27	37.32	1.43	9.06	1.71	4.9	4.06	2.97	334.46	57.08	44.25	199.85	61.25	228.13	151.22	87.03	244.57	9.78	19.97	151.22	11.91	305.55	32.13	215.77	17.64	14.24	23.93	10.71	134.3	195.72	447.82	76.17	49.91	299.25	35.76	17.13	22.43	7.88	15.11	25.91	22.92	182.55	43.94	164.42	97.36	105.89	3.99	116.78	173.85	111.99	17.25	31.0	40.36	114.36	137.14	183.82	429.54	14.35	23.76	20.56	34.02	40.07	281.09	11.38	78.34	3.59	255.0	463.65	31.45	119.26	221.86	314.17	22.26	287.01	52.45	45.53	24.63	32.59	12.55	87.03	435.55	73.03	8.06	239.52	36.27	50.63	220.32	134.3	170.25	60.82	89.51	31.9	66.18	251.48	341.51	26.47	41.81	34.75	21.47	9.7	8.0	33.78	4.58	18.16	21.16	61.68	14.03	13.22
BST1	37.59	45.21	24.81	5.45	19.39	16.75	59.13	76.17	21.78	12.36	18.97	15.11	19.11	169.07	46.84	40.07	165.57	59.13	98.04	92.05	72.52	156.59	28.65	20.56	98.73	20.11	77.25	18.56	112.77	13.62	11.38	5.59	34.26	164.42	153.34	194.36	85.82	40.93	214.27	19.11	11.73	15.68	10.0	17.9	18.43	9.7	88.88	37.05	68.55	26.47	54.72	9.78	36.53	62.12	59.55	22.75	29.06	22.26	59.55	63.89	86.43	193.01	15.11	27.44	14.78	61.68	58.3	126.12	13.83	96.68	13.12	77.79	140.04	27.64	81.71	132.44	183.82	10.88	154.42	13.93	14.45	19.25	37.85	13.72	89.51	182.55	18.84	21.32	122.64	16.15	40.93	426.57	67.59	136.19	31.45	71.0	19.11	24.46	33.78	176.29	35.25	36.27	16.15	60.39	13.52	12.83	23.08	26.28	16.88	30.78	260.38	29.48	3.59
CACNA1H	23.59	10.63	11.47	15.34	72.01	7.22	39.22	0.52	15.34	5.96	10.71	10.47	5.02	4802.93	143.01	52.08	237.86	16.27	185.11	432.53	87.65	759.08	4.13	12.36	26.1	68.55	74.58	13.32	285.03	15.56	20.86	29.27	17.0	68.55	366.09	71.0	122.64	62.12	106.63	61.25	1.85	7.51	16.15	9.13	19.82	6.21	167.9	13.52	75.64	24.63	42.41	21.32	28.65	35.76	23.25	15.68	13.03	21.94	36.53	85.22	46.5	68.07	24.46	9.48	29.48	22.59	54.72	48.87	13.52	46.18	2.34	85.82	176.29	15.0	35.5	146.03	151.22	4.13	76.17	32.59	36.01	25.35	27.05	10.39	95.34	178.77	29.91	12.55	169.07	19.68	15.68	17.9	128.79	68.07	15.68	36.27	23.76	19.97	23.08	38.67	68.55	40.64	27.25	20.11	28.86	48.87	17.25	9.27	7.0	7.69	55.89	21.94	7.82
CCDC102B	37.05	35.5	15.45	77.25	37.05	33.78	163.28	53.95	38.4	39.5	23.59	19.11	20.86	57.89	75.64	45.85	76.17	19.82	189.02	157.68	44.57	96.68	53.19	22.43	60.39	23.42	81.71	43.63	36.79	25.91	75.64	21.78	42.11	64.8	146.03	103.69	78.34	77.79	226.54	32.13	3.44	14.35	13.72	13.22	24.99	12.27	102.97	26.47	151.22	64.8	36.53	10.08	36.01	75.64	78.34	15.68	23.42	55.1	66.18	75.11	124.37	194.36	16.27	14.03	30.78	44.57	72.01	62.56	16.15	56.68	8.65	88.26	197.09	23.93	91.41	101.54	237.86	9.7	93.35	67.12	15.45	31.45	137.14	18.7	83.45	93.35	35.25	18.84	96.01	28.45	44.25	55.49	34.75	137.14	66.65	24.11	15.91	27.64	87.65	109.66	70.01	47.17	29.48	24.81	30.78	17.77	28.24	5.32	15.22	28.45	69.52	32.82	7.46
CHSY3	18.03	20.11	27.44	44.57	18.7	5.63	26.67	8.71	4.13	36.27	7.06	10.31	7.11	57.49	55.49	15.91	70.51	11.13	67.12	56.68	33.54	92.7	5.28	6.31	31.67	6.26	52.45	14.56	76.71	10.55	10.0	6.89	5.06	50.98	54.33	123.5	53.57	25.54	119.26	33.78	5.73	5.82	5.06	5.77	9.13	17.0	97.36	33.06	64.34	21.47	34.75	6.41	27.05	18.84	30.12	7.11	10.79	16.15	78.89	58.71	98.04	90.77	14.45	7.51	7.82	39.22	54.33	120.1	9.7	38.4	1.99	136.19	273.37	6.84	60.39	70.01	281.09	7.75	102.97	11.3	12.27	10.63	68.55	11.21	47.84	94.01	50.63	9.7	83.45	7.69	31.22	50.27	65.26	92.7	41.52	23.93	9.48	31.22	54.33	92.7	23.08	39.5	19.68	48.87	10.55	9.13	10.16	2.23	6.06	10.0	15.56	13.93	3.5
CLIP3	22.75	31.9	32.36	17.13	16.63	10.55	52.82	4.24	39.79	10.79	26.86	19.25	21.16	1508.65	139.07	92.05	503.95	87.65	353.59	400.71	265.87	420.68	12.64	27.05	56.68	19.97	164.42	49.91	470.14	44.57	21.47	28.65	23.76	149.12	223.41	351.14	115.16	91.41	466.88	49.56	32.36	18.03	108.14	24.11	53.95	22.26	293.07	58.3	275.28	85.82	83.45	27.05	76.17	149.12	127.0	23.93	34.26	43.63	108.9	154.42	242.88	236.21	30.34	23.76	40.07	35.5	92.7	176.29	15.56	72.01	24.28	205.5	525.39	30.34	96.68	218.79	140.04	29.27	181.28	57.89	28.45	43.94	68.07	28.24	127.89	379.04	50.63	21.63	379.04	77.25	45.53	127.0	123.5	231.32	66.18	55.49	56.68	73.03	214.27	241.19	41.22	57.89	33.78	40.64	33.06	12.09	40.93	12.74	31.0	19.53	107.38	24.28	25.17
CNRIP1	14.03	8.0	9.27	20.26	18.7	21.78	38.12	6.21	44.25	9.41	26.86	19.97	10.31	753.83	90.14	72.52	244.57	60.82	287.01	264.03	138.1	339.14	38.12	22.26	120.94	25.17	151.22	38.95	285.03	49.21	36.27	24.11	35.76	162.14	287.01	329.84	130.6	80.01	339.14	39.5	26.86	26.47	70.01	29.48	42.71	24.81	189.02	57.08	214.27	80.57	92.05	9.78	81.14	177.53	87.65	27.84	58.3	50.98	71.0	146.03	182.55	305.55	17.77	21.94	32.59	64.8	105.15	157.68	17.38	98.04	6.62	157.68	358.54	43.94	114.36	239.52	264.03	29.91	253.23	40.64	29.27	35.76	38.67	20.56	116.78	444.72	46.84	21.47	212.78	33.06	71.0	92.7	114.36	181.28	85.82	52.08	26.86	65.26	120.94	361.04	63.45	57.49	37.85	43.02	20.86	19.53	41.22	21.47	55.1	44.89	50.98	105.89	35.0
CNTNAP1	16.27	11.21	10.79	18.16	9.2	18.97	29.48	14.56	30.34	49.21	34.02	12.27	12.55	2255.7	66.18	20.56	133.36	24.28	106.63	162.14	49.21	152.28	39.22	16.51	36.01	41.22	150.17	33.78	122.64	28.04	23.59	17.64	21.63	94.67	181.28	232.94	53.19	49.91	140.04	39.5	13.03	26.28	47.5	15.11	29.27	9.93	96.01	19.68	78.34	72.52	44.25	32.36	54.33	94.67	40.36	36.27	37.05	63.45	98.73	137.14	73.54	151.22	30.12	13.62	23.93	34.75	43.02	110.43	10.47	53.19	12.83	105.15	162.14	23.76	158.79	127.0	181.28	12.45	148.09	65.26	19.82	25.54	52.45	22.75	58.3	212.78	29.48	27.05	73.03	29.48	26.47	57.08	140.04	73.03	29.48	100.13	34.75	29.27	101.54	143.01	90.77	94.01	40.64	27.25	33.78	35.5	51.35	16.51	17.64	15.45	76.71	55.89	12.64
COL4A1	607.87	651.58	1104.13	1051.79	379.04	819.3	1832.01	301.33	486.75	454.09	674.59	480.04	169.07	7695.57	3303.0	1685.71	2573.36	217.27	7331.05	4298.64	1745.2	6250.56	854.13	796.86	3103.19	884.29	8191.0	3280.18	3491.39	995.0	1936.53	941.27	1135.2	7230.1	9606.86	5594.3	2434.5	4704.07	7081.29	1923.14	316.37	708.18	928.3	629.35	1143.1	775.05	5292.48	1991.0	5479.15	3742.05	4736.79	738.29	2061.24	2739.08	2537.92	1397.83	1950.0	2591.27	6079.61	5913.33	4671.57	6887.62	1216.75	780.44	1277.29	3874.05	3614.55	5292.48	1051.79	3589.58	195.72	4419.52	9945.68	921.88	5555.65	4481.23	13872.08	529.06	4903.87	5041.77	1963.57	2935.74	3081.75	1397.83	4512.4	3928.15	2701.35	1781.89	3928.15	1936.53	2739.08	2075.59	5872.48	3395.89	2935.74	3639.7	902.89	2319.15	2976.74	3419.52	2178.83	6337.83	1794.29	1819.35	1709.26	1111.82	1508.65	89.51	480.04	293.07	2502.97	132.44	669.92
COL4A2	1250.98	1015.93	1870.53	909.17	447.82	967.76	1806.78	376.41	629.35	647.07	909.17	567.1	144.01	15824.9	4358.66	2451.44	3540.14	155.5	6840.04	4736.79	2915.45	15285.81	1167.14	1127.35	1819.35	1242.34	8963.45	3794.3	4639.29	1208.34	1781.89	1199.98	1313.23	6887.62	9279.58	6164.49	3874.05	4095.0	9025.81	2351.53	325.29	890.44	1407.55	660.68	1832.01	902.89	5995.9	2335.28	5791.62	4358.66	4972.34	961.07	2319.15	2895.31	3372.43	1977.24	2739.08	2796.65	5872.48	5147.73	5183.54	8247.98	1950.0	909.17	1662.49	3639.7	3820.7	4972.34	1617.0	3540.14	293.07	4450.27	11424.74	1015.93	6121.9	5555.65	13492.72	769.69	4972.34	6840.04	2796.65	3665.02	5441.3	1662.49	5112.16	4972.34	3419.52	2335.28	5076.84	2400.97	2976.74	2520.38	6745.86	4123.49	2537.92	3820.7	1175.27	2591.27	3146.52	2895.31	3081.75	9025.81	2032.85	2133.97	2178.83	1225.22	2104.58	121.79	723.08	373.81	2701.35	152.28	836.53
COL5A1	318.57	1001.93	387.02	713.11	265.87	155.5	995.0	12.74	273.37	301.33	409.15	237.86	172.65	7911.95	2335.28	1388.16	8191.0	559.28	4481.23	5831.91	3039.3	16496.96	144.01	514.56	2367.9	177.53	7081.29	1745.2	20310.37	348.71	961.07	543.96	698.41	7857.29	9808.75	14867.79	3325.99	2417.67	10296.45	1044.52	92.05	285.03	961.07	379.04	1151.06	493.56	14262.1	2255.7	8538.88	1977.24	3039.3	220.32	2609.3	1909.85	2855.44	884.29	2319.15	1199.98	3874.05	4419.52	14663.09	7911.95	1674.06	226.54	387.02	825.0	2956.17	4298.64	743.43	1651.0	208.38	11827.67	28328.16	400.71	7537.18	7749.1	7130.55	361.04	6561.36	1617.0	909.17	1088.92	2018.8	325.29	6250.56	11504.21	1662.49	1216.75	10296.45	1304.15	2090.03	2032.85	6561.36	7180.15	1963.57	1832.01	1628.26	2119.22	7642.41	7485.11	830.75	3690.52	1059.11	878.17	1175.27	612.11	974.5	69.52	305.55	201.25	1551.09	242.88	49.91
COL5A2	607.87	113.56	400.71	511.0	253.23	185.11	1199.98	7.11	212.78	49.91	101.54	97.36	48.87	4543.8	2090.03	1233.75	4543.8	647.07	3742.05	3060.45	2133.97	7966.99	130.6	426.57	2956.17	162.14	5006.93	1467.37	10014.87	301.33	591.22	323.03	318.57	6037.61	5872.48	9876.98	2367.9	1857.6	5441.3	575.03	159.9	178.77	409.15	303.44	417.77	223.41	8247.98	1757.34	4769.75	1794.29	1733.13	136.19	1594.73	1242.34	2451.44	480.04	1359.57	1313.23	2915.45	3690.52	5995.9	5633.22	381.68	395.18	521.76	638.15	1674.06	4704.07	1199.98	1407.55	43.02	8598.28	15607.02	447.82	4543.8	5995.9	6792.79	327.56	6250.56	1037.29	473.41	1175.27	1498.22	244.57	3564.78	8778.97	1208.34	860.08	6516.03	830.75	1551.09	1977.24	4704.07	5479.15	1685.71	1191.69	1096.5	1794.29	5672.41	6079.61	2018.8	1757.34	633.73	447.82	974.5	264.03	1151.06	57.49	157.68	135.24	1143.1	91.41	15.68
COL8A1	19.25	11.3	59.97	51.35	59.13	52.08	181.28	18.7	19.25	22.75	16.39	9.06	4.98	1216.75	265.87	236.21	988.12	97.36	674.59	599.49	480.04	1088.92	29.91	56.68	426.57	14.78	688.78	221.86	1757.34	43.02	46.18	25.17	36.79	361.04	679.29	2537.92	738.29	262.2	2935.74	147.06	25.72	39.79	12.45	52.82	24.63	80.01	651.58	75.11	1397.83	262.2	260.38	19.25	490.14	915.51	559.28	49.21	72.52	116.78	273.37	583.07	1073.91	1242.34	66.18	47.17	13.72	79.45	199.85	1447.15	33.06	163.28	6.94	1183.45	2224.63	92.7	525.39	733.19	1662.49	67.12	825.0	229.72	26.47	113.56	339.14	28.86	738.29	1594.73	231.32	39.22	1757.34	120.94	191.67	909.17	656.11	1059.11	241.19	279.14	111.99	264.03	1639.59	2209.26	90.14	93.35	44.25	70.01	23.76	39.79	102.97	10.55	12.09	37.32	406.31	3.14	29.06
CYGB	59.13	92.05	32.13	62.12	82.29	85.22	146.03	58.3	38.67	40.07	43.63	239.52	139.07	872.1	190.34	231.32	253.23	47.17	379.04	371.22	353.59	400.71	291.04	135.24	130.6	120.94	518.15	146.03	447.82	120.1	88.26	105.15	111.21	180.02	748.61	368.65	197.09	204.07	638.15	152.28	76.71	150.17	108.14	63.0	177.53	68.55	285.03	120.1	748.61	275.28	158.79	31.9	246.28	325.29	312.0	148.09	167.9	205.5	620.67	194.36	154.42	426.57	92.05	59.13	146.03	146.03	109.66	387.02	45.21	483.38	28.45	205.5	629.35	114.36	221.86	417.77	693.58	154.42	346.29	151.22	142.01	232.94	234.57	180.02	316.37	693.58	289.02	79.45	532.74	204.07	118.43	595.34	267.73	493.56	111.99	141.02	134.3	173.85	251.48	273.37	185.11	299.25	163.28	392.44	71.5	43.94	193.01	63.45	100.83	55.49	351.14	131.51	39.5
DAAM2	10.16	28.04	3.53	11.04	3.41	5.73	101.54	0.37	5.92	6.36	20.41	5.59	1.89	3982.99	77.79	32.13	198.47	27.05	190.34	271.48	75.64	309.83	13.62	15.56	140.04	10.47	161.02	33.3	187.71	20.11	23.93	7.63	12.0	108.14	159.9	190.34	58.3	52.08	154.42	37.05	22.26	16.03	42.41	12.09	27.84	12.45	220.32	40.36	117.6	70.01	62.56	5.45	72.52	130.6	84.04	15.34	26.1	47.5	81.14	85.82	211.31	201.25	15.22	22.75	13.72	50.98	47.84	119.26	5.02	59.97	3.35	209.84	384.34	18.84	58.3	140.04	190.34	20.41	133.36	31.0	14.67	50.27	29.48	24.28	88.26	159.9	42.41	19.11	171.45	32.82	41.22	54.72	157.68	122.64	68.55	32.59	23.08	37.59	130.6	151.22	28.45	32.13	43.63	23.42	16.75	42.41	24.63	10.79	10.39	22.26	42.71	9.85	19.11
DACT1	18.56	14.45	11.73	26.47	7.06	1.85	53.95	0.26	9.48	80.57	4.66	5.19	5.02	140.04	33.78	17.13	191.67	45.21	111.99	73.03	68.07	301.33	6.73	15.22	136.19	2.94	273.37	21.63	698.41	15.34	6.01	10.71	24.63	97.36	368.65	423.61	131.51	69.52	825.0	30.56	2.89	3.47	13.52	9.06	82.29	10.71	753.83	59.13	175.07	60.39	64.34	6.01	61.25	77.25	159.9	10.47	31.0	28.24	111.99	158.79	457.25	329.84	12.18	7.46	14.78	21.01	67.59	303.44	15.11	96.68	3.17	403.5	1066.48	7.63	141.02	547.75	299.25	3.69	395.18	60.82	17.25	17.25	129.69	3.41	251.48	447.82	70.01	16.75	579.04	50.98	75.11	73.03	226.54	336.79	75.64	86.43	75.11	41.22	312.0	275.28	28.45	111.21	50.63	43.63	36.79	18.29	55.1	3.08	6.41	14.24	102.25	53.95	15.11
DCHS1	11.38	5.32	5.73	14.24	5.87	4.54	32.13	0.16	35.5	6.11	40.93	10.0	3.0	371.22	61.68	32.36	111.99	9.93	126.12	58.71	36.27	165.57	5.87	8.45	25.91	6.52	123.5	42.71	336.79	22.75	18.03	14.56	9.63	128.79	61.25	412.0	63.0	73.54	226.54	39.22	10.71	15.45	12.83	13.22	16.15	9.7	180.02	38.4	208.38	72.01	62.12	8.19	56.68	120.94	81.14	11.91	13.93	25.17	66.18	143.01	156.59	251.48	6.36	13.22	17.38	44.89	31.67	162.14	13.52	55.89	17.0	187.71	307.69	15.22	105.15	220.32	214.27	10.08	218.79	36.53	15.34	21.63	28.04	10.47	104.42	295.11	40.93	16.39	189.02	14.89	24.81	78.34	147.06	142.01	25.54	27.25	13.12	34.02	206.94	236.21	31.9	24.81	23.76	15.11	14.45	13.32	22.1	5.32	10.88	11.04	37.85	45.85	3.47
DCLK3	4.62	3.26	4.1	3.53	0.62	1.79	4.21	1.58	0.77	0.89	2.53	0.58	0.27	62.12	12.18	5.06	6.36	2.51	21.01	15.45	5.45	15.0	0.69	1.45	6.31	0.69	13.62	2.34	20.26	3.32	4.7	1.19	2.25	12.45	23.59	16.15	6.21	18.03	10.96	6.78	0.0	5.63	2.61	1.39	3.44	1.89	7.0	1.16	10.96	4.7	7.11	1.1	12.83	6.06	3.56	2.29	5.28	3.47	8.13	9.2	22.43	12.36	3.26	3.0	2.78	9.27	2.16	11.55	1.99	9.7	0.39	6.94	26.28	1.33	6.11	16.51	43.02	4.9	16.15	5.41	1.89	2.51	8.25	4.31	10.63	7.82	2.94	1.46	4.35	6.06	3.23	1.04	7.63	7.82	7.51	2.18	1.87	3.44	3.41	12.45	2.51	7.69	1.58	3.26	3.99	4.13	1.99	0.45	0.45	1.93	2.39	1.1	0.47
DDR2	15.45	3.69	4.5	19.25	9.2	13.12	57.89	2.39	20.41	5.73	10.24	8.38	4.13	1936.53	113.56	65.72	191.67	55.1	432.53	343.89	97.36	547.75	13.22	37.59	148.09	22.26	460.44	57.89	403.5	40.64	29.27	20.71	11.64	334.46	336.79	836.53	96.01	102.25	532.74	47.17	24.63	20.71	18.16	17.25	30.12	24.28	236.21	70.01	199.85	165.57	154.42	17.64	102.97	265.87	159.9	15.68	56.68	68.07	191.67	267.73	277.2	547.75	18.03	31.67	25.35	53.95	64.8	438.59	19.97	119.26	6.89	409.15	738.29	28.45	173.85	366.09	559.28	30.34	450.94	65.26	31.0	48.18	57.49	21.16	154.42	679.29	60.82	36.01	389.72	47.5	64.8	145.02	334.46	264.03	127.0	86.43	35.5	68.55	356.05	567.1	76.71	65.26	34.02	44.25	20.11	17.51	40.64	15.11	18.97	29.27	91.41	51.35	57.89
DPYSL2	114.36	35.0	81.14	89.51	42.41	57.89	117.6	36.53	62.56	371.22	88.88	106.63	78.34	1857.6	212.78	136.19	665.29	62.56	361.04	441.64	743.43	371.22	376.41	103.69	273.37	197.09	629.35	295.11	563.18	295.11	172.65	224.97	139.07	514.56	551.56	1143.1	339.14	490.14	718.08	493.56	275.28	155.5	226.54	94.01	113.56	205.5	514.56	204.07	392.44	356.05	723.08	215.77	343.89	896.64	466.88	122.64	193.01	253.23	314.17	438.59	373.81	872.1	195.72	103.69	267.73	329.84	159.9	563.18	212.78	518.15	127.89	500.46	915.51	392.44	420.68	764.36	1096.5	173.85	651.58	320.8	293.07	264.03	285.03	161.02	703.28	902.89	251.48	102.25	665.29	176.29	185.11	371.22	651.58	595.34	389.72	198.47	175.07	301.33	708.18	780.44	559.28	764.36	373.81	253.23	228.13	236.21	511.0	113.56	197.09	187.71	438.59	397.93	37.05
EBF1	5.82	3.32	3.5	7.46	7.94	12.74	23.25	1.53	7.4	3.11	5.87	3.08	1.99	187.71	75.11	19.82	45.53	40.64	172.65	88.88	42.41	88.26	9.41	12.27	45.53	9.41	124.37	25.54	81.14	19.82	16.75	12.93	15.56	75.11	108.14	293.07	34.75	42.11	166.73	40.36	19.39	11.55	10.0	16.15	14.03	16.75	75.64	17.77	129.69	37.85	55.89	3.06	58.3	143.01	29.06	9.85	23.25	29.48	43.32	81.71	102.25	231.32	16.03	17.25	14.89	31.9	35.76	89.51	8.45	46.18	3.03	102.25	162.14	10.24	48.87	84.04	231.32	13.62	161.02	20.11	22.43	27.44	27.64	21.32	67.12	100.13	21.78	11.73	61.68	29.91	28.24	37.59	63.89	47.5	42.11	29.48	8.71	34.51	46.18	134.3	27.84	21.94	22.92	18.16	14.89	7.0	23.25	9.13	12.45	10.71	11.64	23.08	3.72
