	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CX.7086.01A.11R.2081.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.D6.6823.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CR.7379.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	GTEX.111VG.0726.SM.5GIDC	GTEX.SIU8.0926.SM.5SI87	GTEX.XOT4.1426.SM.4B65T	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.77.8144.01A.11R.2247.07
FARSA	1628.26	1407.55	2627.46	1662.49	1030.12	2351.53	785.88	1199.98	1721.16	1832.01	1225.22	1551.09	1066.48	2520.38	1529.73	309.83	320.8	373.81	423.61	1923.14
FARSB	921.88	1081.39	1159.07	825.0	647.07	1806.78	406.31	743.43	1151.06	753.83	967.76	836.53	629.35	1199.98	825.0	329.84	295.11	295.11	307.69	2004.85
GEMIN5	82.87	153.34	199.85	120.94	101.54	183.82	38.67	164.42	162.14	490.14	128.79	181.28	80.01	312.0	229.72	63.0	67.12	74.58	78.89	406.31
GINS4	193.01	72.52	258.57	186.4	70.51	460.44	34.26	74.58	122.64	363.56	195.72	172.65	55.89	309.83	150.17	35.0	43.63	29.06	44.89	273.37
GTF3C4	146.03	157.68	202.66	171.45	133.36	307.69	72.52	199.85	124.37	258.57	152.28	265.87	120.1	309.83	171.45	51.71	44.57	63.45	70.01	267.73
IMP4	1073.91	1437.15	2573.36	1191.69	1167.14	3716.2	651.58	1551.09	1662.49	3564.78	1477.58	1950.0	1135.2	2895.31	2720.15	620.67	728.11	599.49	723.08	5076.84
IPO4	457.25	934.76	1304.15	819.3	703.28	1378.57	218.79	409.15	743.43	2075.59	842.36	483.38	426.57	1605.83	785.88	246.28	167.9	186.4	191.67	1350.18
KRT17	4953441.24	971597.0	221968.2	542775.98	462789.59	115696.65	701458.36	593956.43	645473.24	214407.12	546551.29	632189.57	912837.43	231394.29	546551.29	43236.64	75.64	40.36	363.56	155870.75
L2HGDH	187.71	87.03	186.4	119.26	63.0	221.86	69.52	94.01	70.01	171.45	114.36	156.59	92.05	131.51	69.52	14.67	27.64	9.63	19.82	182.55
LMNB2	848.22	981.29	2367.9	1183.45	679.29	3349.13	356.05	1096.5	1199.98	1427.22	988.12	1551.09	748.61	1304.15	1277.29	301.33	204.07	189.02	185.11	1819.35
MLST8	647.07	713.11	1081.39	878.17	651.58	1477.58	595.34	603.67	941.27	1111.82	941.27	974.5	599.49	1233.75	1073.91	483.38	547.75	420.68	361.04	1350.18
MMACHC	77.79	31.9	117.6	40.64	17.51	128.79	13.52	19.82	55.89	150.17	77.25	76.17	18.97	101.54	31.9	11.3	14.14	10.55	9.13	232.94
MYBBP1A	457.25	1081.39	947.83	1216.75	454.09	1119.56	567.1	679.29	1208.34	2335.28	616.37	909.17	620.67	1605.83	1268.46	432.53	260.38	351.14	299.25	2701.35
NAT10	480.04	563.18	915.51	785.88	395.18	1733.13	269.6	547.75	651.58	941.27	679.29	1015.93	339.14	981.29	769.69	217.27	228.13	223.41	182.55	2119.22
NIP7	423.61	435.55	703.28	708.18	444.72	1540.37	267.73	612.11	647.07	583.07	748.61	620.67	381.68	1378.57	753.83	132.44	180.02	127.0	148.09	1119.56
NLE1	228.13	190.34	325.29	275.28	201.25	591.22	85.82	262.2	303.44	555.41	189.02	366.09	155.5	450.94	521.76	88.26	57.89	84.63	75.11	514.56
NLN	307.69	273.37	325.29	186.4	229.72	379.04	85.22	224.97	204.07	432.53	181.28	178.77	172.65	371.22	336.79	59.13	45.85	70.01	67.12	529.06
NOL10	343.89	417.77	698.41	514.56	358.54	665.29	217.27	366.09	426.57	941.27	423.61	426.57	293.07	733.19	490.14	176.29	189.02	202.66	185.11	791.35
NOLC1	1111.82	1259.69	2351.53	1104.13	1066.48	2627.46	540.19	2061.24	1369.04	3124.78	1498.22	2018.8	884.29	2682.69	2178.83	1183.45	536.45	490.14	854.13	3039.3
NSUN4	177.53	226.54	656.11	251.48	183.82	361.04	156.59	262.2	231.32	547.75	236.21	417.77	198.47	447.82	379.04	204.07	108.9	193.01	204.07	463.65
PAICS	1977.24	1794.29	2303.12	1487.87	1167.14	3235.01	536.45	1605.83	1857.6	2664.15	1286.18	2061.24	1388.16	2400.97	2075.59	384.34	173.85	187.71	314.17	3928.15
PARPBP	142.01	63.89	190.34	115.97	63.45	145.02	29.27	68.07	102.25	205.5	97.36	88.88	40.64	145.02	98.04	10.0	37.32	17.77	13.42	165.57
PDCD11	343.89	381.68	603.67	483.38	307.69	764.36	351.14	466.88	511.0	872.1	371.22	432.53	267.73	785.88	521.76	201.25	124.37	135.24	111.99	759.08
PES1	890.44	1605.83	2758.13	1745.2	2119.22	2895.31	854.13	1529.73	1832.01	2875.3	2384.37	1870.53	1233.75	2319.15	1594.73	500.46	450.94	341.51	536.45	3901.01
PGAM5	733.19	1104.13	2351.53	1378.57	753.83	2701.35	521.76	603.67	1457.23	2209.26	1397.83	1268.46	684.02	2032.85	1242.34	134.3	162.14	158.79	209.84	1447.15
PHB2	3467.27	3820.7	6840.04	5112.16	3467.27	6337.83	1963.57	3874.05	3589.58	4607.24	4181.07	4358.66	3303.0	5831.91	6207.38	1583.71	2956.17	1639.59	1806.78	6250.56
PNO1	176.29	285.03	547.75	406.31	264.03	679.29	154.42	353.59	327.56	819.3	366.09	371.22	212.78	759.08	441.64	241.19	163.28	148.09	156.59	791.35
POLR1A	76.71	205.5	595.34	162.14	151.22	441.64	67.12	141.02	187.71	620.67	175.07	201.25	108.9	327.56	291.04	49.21	42.71	52.08	59.97	312.0
POLR1B	193.01	273.37	599.49	229.72	151.22	521.76	86.43	176.29	291.04	981.29	191.67	264.03	127.0	518.15	361.04	110.43	48.52	56.28	63.45	595.34
PPAT	195.72	135.24	327.56	167.9	94.67	361.04	57.08	151.22	161.02	366.09	133.36	193.01	90.77	307.69	177.53	47.5	10.88	16.51	29.27	332.14
RANBP1	4181.07	2915.45	7331.05	3124.78	3928.15	6164.49	1508.65	3190.46	3564.78	5076.84	4388.98	3060.45	2417.67	3742.05	3146.52	1806.78	1037.29	941.27	1295.13	7966.99
RNASEH1	84.04	269.6	323.03	236.21	228.13	518.15	183.82	299.25	178.77	447.82	343.89	218.79	202.66	301.33	329.84	180.02	166.73	169.07	164.42	748.61
RPUSD1	244.57	521.76	796.86	607.87	316.37	1167.14	241.19	493.56	460.44	1044.52	684.02	660.68	400.71	860.08	723.08	53.95	115.16	93.35	96.68	1617.0
RRP12	236.21	718.08	808.0	651.58	529.06	703.28	379.04	409.15	679.29	890.44	559.28	429.54	343.89	1111.82	733.19	389.72	318.57	241.19	283.05	1088.92
RRS1	329.84	490.14	1359.57	1073.91	361.04	1208.34	167.9	743.43	848.22	1073.91	525.39	567.1	301.33	1551.09	785.88	136.19	138.1	78.34	150.17	1167.14
RSL1D1	1991.0	2163.77	3564.78	3039.3	1697.45	5711.87	1015.93	3280.18	2816.11	4575.41	2645.74	2915.45	1794.29	5479.15	3212.66	1259.69	1233.75	928.3	1594.73	5751.61
SELRC1	149.12	214.27	713.11	251.48	162.14	738.29	81.71	241.19	231.32	698.41	279.14	323.03	126.12	555.41	397.93	58.71	63.89	59.13	92.7	525.39
SLC25A15	108.14	129.69	119.26	120.1	78.34	228.13	92.7	132.44	93.35	251.48	50.98	95.34	95.34	155.5	202.66	29.91	38.95	44.57	49.91	163.28
SLC5A6	80.01	299.25	915.51	289.02	201.25	738.29	177.53	283.05	287.01	1467.37	241.19	269.6	204.07	493.56	432.53	143.01	147.06	116.78	119.26	723.08
SMPD4	532.74	733.19	1359.57	796.86	629.35	1697.45	607.87	890.44	947.83	1199.98	988.12	848.22	723.08	1015.93	1259.69	525.39	420.68	432.53	220.32	1457.23
SMYD5	189.02	258.57	463.65	332.14	206.94	660.68	128.79	260.38	389.72	915.51	343.89	381.68	132.44	536.45	514.56	273.37	205.5	305.55	186.4	629.35
THOP1	392.44	759.08	1183.45	896.64	483.38	1259.69	387.02	728.11	860.08	848.22	532.74	909.17	583.07	961.07	896.64	318.57	173.85	253.23	194.36	1427.22
TRAP1	1745.2	1617.0	3103.19	1991.0	1059.11	3794.3	825.0	1457.23	1936.53	3564.78	1857.6	1909.85	1208.34	3212.66	2133.97	591.22	518.15	674.59	713.11	4769.75
TTC27	185.11	269.6	255.0	232.94	102.25	438.59	51.35	129.69	249.73	563.18	223.41	208.38	97.36	450.94	273.37	143.01	76.71	121.79	93.35	341.51
UBQLN4	599.49	854.13	1242.34	780.44	612.11	1151.06	656.11	547.75	764.36	1268.46	529.06	708.18	616.37	1191.69	708.18	486.75	379.04	642.59	463.65	896.64
URB2	42.71	62.56	215.77	94.67	59.13	239.52	28.86	74.58	100.13	309.83	58.71	100.13	41.52	234.57	116.78	55.1	30.34	24.28	40.64	105.15
VARS	616.37	1662.49	1685.71	1286.18	1059.11	1277.29	638.15	967.76	1388.16	4639.29	1127.35	1001.93	981.29	1709.26	1388.16	486.75	674.59	525.39	473.41	2701.35
WDR3	202.66	312.0	638.15	206.94	220.32	796.86	59.97	264.03	316.37	1359.57	353.59	486.75	178.77	921.88	387.02	66.65	50.63	38.12	95.34	733.19
XPO5	346.29	497.0	620.67	518.15	384.34	785.88	297.17	368.65	432.53	1936.53	575.03	521.76	420.68	808.0	579.04	221.86	218.79	262.2	201.25	921.88
ZNHIT6	178.77	191.67	316.37	218.79	100.13	348.71	78.34	158.79	197.09	417.77	193.01	206.94	169.07	379.04	201.25	135.24	83.45	74.58	65.26	392.44
