	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.GU.A762.01A.11R.A33J.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.AAMR.01A.31R.A42T.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.12696.0926.SM.5FQTV	GTEX.1497J.0726.SM.5Q5D1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.SIU7.0526.SM.3NM8I	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.OIZI.0726.SM.2XCEI	GTEX.13O1R.0826.SM.5J2MB
BAG5	187.71	426.57	236.21	353.59	220.32	376.41	285.03	351.14	244.57	307.69	234.57	279.14	150.17	842.36	215.77	193.01	265.87	189.02	341.51	295.11	234.57	234.57	336.79	273.37	248.0	182.55	267.73	189.02	205.5	339.14	234.57	271.48	237.86	265.87	283.05	195.72	249.73	258.57	329.84	161.02	281.09	163.28	172.65	223.41	242.88	346.29	473.41	785.88	155.5	466.88	395.18	353.59	384.34	473.41	441.64	406.31	567.1	409.15	518.15	279.14	470.14	483.38	583.07	412.0	599.49	497.0	435.55	438.59	334.46	674.59	444.72	511.0	141.02	420.68	368.65	470.14	540.19	307.69	559.28	684.02	603.67
BBS10	65.72	73.03	47.84	133.36	68.55	126.12	90.77	123.5	56.68	52.45	73.54	47.17	78.34	126.12	88.26	47.84	126.12	72.01	65.26	51.35	121.79	78.34	131.51	61.68	58.71	40.36	79.45	70.51	83.45	103.69	23.25	105.89	82.87	34.02	117.6	22.26	109.66	59.13	88.26	92.05	111.21	73.54	68.55	57.49	58.3	197.09	173.85	256.78	96.01	265.87	98.04	162.14	214.27	175.07	190.34	303.44	229.72	185.11	264.03	314.17	165.57	132.44	267.73	204.07	239.52	201.25	260.38	72.01	176.29	81.71	156.59	150.17	81.71	224.97	231.32	178.77	181.28	208.38	265.87	293.07	110.43
BDP1	108.9	205.5	72.52	126.12	57.49	187.71	149.12	223.41	80.57	101.54	144.01	118.43	64.34	156.59	108.14	82.87	129.69	144.01	165.57	61.68	156.59	67.59	166.73	69.52	73.03	120.1	113.56	119.26	122.64	86.43	34.02	115.97	139.07	96.68	166.73	40.93	175.07	62.12	57.89	166.73	110.43	130.6	78.89	48.87	84.04	172.65	224.97	273.37	98.73	229.72	137.14	111.99	199.85	323.03	205.5	269.6	239.52	206.94	221.86	248.0	193.01	166.73	371.22	232.94	441.64	392.44	361.04	81.71	277.2	186.4	221.86	229.72	40.07	255.0	194.36	209.84	214.27	223.41	289.02	563.18	264.03
C11orf57	180.02	358.54	224.97	305.55	231.32	366.09	293.07	373.81	153.34	122.64	379.04	140.04	277.2	583.07	231.32	244.57	297.17	339.14	281.09	312.0	341.51	173.85	334.46	228.13	214.27	201.25	265.87	182.55	209.84	201.25	180.02	195.72	205.5	152.28	297.17	223.41	323.03	150.17	299.25	175.07	229.72	169.07	125.24	236.21	346.29	529.06	825.0	366.09	167.9	381.68	267.73	363.56	309.83	414.87	332.14	409.15	460.44	373.81	444.72	287.01	358.54	299.25	450.94	348.71	567.1	447.82	358.54	253.23	392.44	529.06	341.51	339.14	199.85	363.56	318.57	332.14	353.59	384.34	376.41	688.78	384.34
C5orf24	295.11	343.89	318.57	358.54	256.78	486.75	500.46	587.13	218.79	277.2	215.77	332.14	242.88	500.46	351.14	190.34	237.86	253.23	256.78	147.06	587.13	201.25	521.76	318.57	208.38	417.77	258.57	269.6	293.07	299.25	169.07	307.69	503.95	279.14	256.78	173.85	547.75	246.28	309.83	486.75	336.79	267.73	205.5	177.53	312.0	454.09	620.67	1008.9	543.96	796.86	403.5	540.19	728.11	796.86	583.07	769.69	769.69	543.96	563.18	638.15	503.95	547.75	1259.69	620.67	1191.69	866.07	848.22	460.44	460.44	583.07	514.56	490.14	206.94	503.95	559.28	808.0	563.18	571.05	743.43	693.58	466.88
C9orf64	47.17	154.42	86.43	111.21	180.02	149.12	111.21	180.02	120.94	107.38	63.45	164.42	195.72	318.57	99.43	170.25	139.07	190.34	327.56	172.65	59.97	165.57	242.88	214.27	147.06	49.91	229.72	72.52	165.57	187.71	157.68	132.44	86.43	341.51	221.86	81.71	109.66	172.65	217.27	106.63	191.67	148.09	84.04	120.1	171.45	265.87	353.59	376.41	376.41	334.46	262.2	406.31	316.37	269.6	269.6	450.94	373.81	264.03	348.71	329.84	277.2	343.89	353.59	336.79	384.34	351.14	366.09	186.4	211.31	255.0	269.6	236.21	289.02	368.65	397.93	392.44	316.37	209.84	373.81	629.35	325.29
CDKL5	4.1	12.27	3.53	6.06	1.77	7.11	17.0	32.59	24.46	0.68	4.17	2.66	9.13	23.76	1.85	17.51	42.41	5.5	10.24	4.58	9.13	0.67	14.03	7.22	4.5	11.64	7.4	5.59	5.36	17.38	3.29	19.68	6.31	0.82	44.89	2.97	9.63	2.36	34.51	4.62	13.83	4.94	3.23	2.1	8.85	4.62	11.13	127.89	2.63	162.14	64.8	57.49	47.17	161.02	102.97	132.44	87.03	191.67	205.5	161.02	81.14	92.7	155.5	156.59	197.09	34.26	114.36	49.21	137.14	32.36	115.97	167.9	17.25	248.0	50.98	111.21	86.43	42.11	198.47	33.78	23.08
CEP120	134.3	127.0	140.04	105.89	76.71	183.82	131.51	237.86	56.68	67.12	91.41	80.57	66.18	173.85	100.83	87.65	110.43	95.34	72.01	49.91	96.68	60.82	182.55	90.77	81.14	111.21	104.42	110.43	100.83	65.26	73.03	75.11	73.54	53.95	120.1	81.14	105.89	88.88	103.69	127.0	93.35	101.54	59.97	49.21	75.64	231.32	329.84	283.05	68.07	255.0	133.36	149.12	209.84	318.57	204.07	242.88	217.27	239.52	323.03	237.86	189.02	162.14	285.03	197.09	329.84	283.05	271.48	115.97	182.55	141.02	201.25	202.66	101.54	193.01	212.78	165.57	220.32	193.01	201.25	473.41	173.85
CHD9	150.17	146.03	195.72	167.9	67.59	206.94	165.57	265.87	138.1	115.97	130.6	194.36	115.97	100.13	127.0	54.33	220.32	89.51	215.77	153.34	92.7	169.07	307.69	141.02	100.83	155.5	189.02	117.6	98.04	67.59	80.01	201.25	112.77	178.77	162.14	94.01	182.55	121.79	128.79	128.79	106.63	100.83	74.06	109.66	113.56	289.02	460.44	575.03	140.04	358.54	255.0	336.79	277.2	307.69	204.07	532.74	540.19	289.02	329.84	293.07	320.8	301.33	518.15	277.2	476.71	466.88	476.71	283.05	368.65	183.82	293.07	218.79	154.42	269.6	212.78	466.88	279.14	195.72	417.77	607.87	267.73
CHM	115.16	132.44	95.34	127.89	137.14	218.79	144.01	208.38	154.42	150.17	120.94	116.78	134.3	176.29	110.43	93.35	164.42	170.25	153.34	105.15	163.28	127.0	189.02	158.79	107.38	71.5	143.01	162.14	241.19	283.05	114.36	236.21	232.94	111.99	194.36	58.71	197.09	189.02	118.43	155.5	156.59	148.09	96.01	105.15	117.6	214.27	277.2	412.0	154.42	236.21	117.6	279.14	389.72	267.73	197.09	285.03	265.87	220.32	242.88	248.0	224.97	182.55	500.46	320.8	529.06	325.29	412.0	133.36	309.83	154.42	211.31	204.07	87.03	231.32	285.03	339.14	277.2	234.57	221.86	507.46	187.71
CMTR2	305.55	255.0	55.49	173.85	90.14	186.4	187.71	185.11	204.07	171.45	164.42	119.26	195.72	279.14	178.77	111.99	212.78	180.02	139.07	185.11	209.84	134.3	242.88	124.37	167.9	191.67	241.19	201.25	124.37	665.29	78.89	143.01	228.13	72.52	167.9	69.52	226.54	77.25	211.31	80.57	176.29	221.86	105.89	120.1	170.25	293.07	295.11	316.37	114.36	316.37	185.11	305.55	293.07	392.44	303.44	348.71	287.01	327.56	320.8	332.14	255.0	248.0	381.68	265.87	490.14	379.04	400.71	109.66	318.57	226.54	297.17	202.66	169.07	314.17	351.14	312.0	291.04	269.6	371.22	483.38	208.38
COL4A3BP	166.73	325.29	165.57	211.31	162.14	348.71	400.71	466.88	325.29	159.9	239.52	155.5	142.01	251.48	199.85	193.01	269.6	170.25	285.03	117.6	258.57	142.01	332.14	92.7	204.07	262.2	305.55	253.23	334.46	291.04	64.34	273.37	312.0	123.5	258.57	138.1	318.57	126.12	128.79	244.57	368.65	145.02	156.59	98.73	299.25	878.17	1685.71	351.14	218.79	599.49	334.46	555.41	688.78	830.75	703.28	808.0	884.29	607.87	1001.93	629.35	571.05	656.11	848.22	669.92	921.88	540.19	915.51	279.14	656.11	341.51	713.11	514.56	351.14	995.0	507.46	656.11	587.13	703.28	1088.92	1081.39	363.56
CREBRF	79.45	84.63	76.17	44.57	22.92	172.65	88.88	170.25	64.8	29.91	66.18	62.12	54.33	48.52	65.72	44.57	88.26	42.71	63.89	46.18	120.94	36.27	147.06	55.49	82.87	79.45	52.82	71.0	38.67	63.0	38.4	63.0	102.97	23.93	72.52	55.1	80.01	67.12	85.22	100.83	59.97	56.28	57.89	33.3	59.13	356.05	320.8	242.88	74.06	223.41	65.72	102.25	152.28	285.03	229.72	170.25	234.57	155.5	293.07	297.17	89.51	159.9	169.07	126.12	182.55	236.21	214.27	267.73	273.37	67.12	251.48	135.24	107.38	176.29	153.34	118.43	120.1	353.59	253.23	854.13	249.73
CUL5	106.63	212.78	141.02	63.89	76.17	221.86	285.03	255.0	113.56	87.03	170.25	98.73	145.02	241.19	123.5	105.89	217.27	102.97	133.36	181.28	175.07	105.15	285.03	98.04	104.42	148.09	144.01	101.54	132.44	110.43	90.77	99.43	155.5	61.25	191.67	123.5	186.4	78.89	164.42	171.45	181.28	87.65	55.89	127.89	170.25	241.19	312.0	381.68	120.94	224.97	145.02	171.45	224.97	215.77	125.24	212.78	183.82	164.42	269.6	195.72	237.86	157.68	253.23	199.85	361.04	260.38	217.27	167.9	185.11	229.72	153.34	185.11	98.73	173.85	221.86	264.03	194.36	113.56	211.31	493.56	316.37
CWF19L2	59.55	177.53	166.73	75.11	75.11	172.65	88.88	175.07	111.21	53.57	255.0	49.91	88.88	86.43	69.03	181.28	109.66	65.72	100.13	158.79	113.56	72.52	126.12	67.59	78.34	67.12	144.01	72.52	69.03	123.5	64.34	92.05	111.99	50.98	107.38	53.57	75.11	80.01	241.19	164.42	122.64	48.87	38.4	85.82	191.67	151.22	241.19	289.02	70.51	229.72	114.36	148.09	186.4	279.14	215.77	223.41	191.67	186.4	231.32	175.07	153.34	165.57	218.79	262.2	258.57	318.57	295.11	156.59	195.72	229.72	187.71	303.44	130.6	138.1	175.07	112.77	175.07	265.87	236.21	353.59	156.59
DDX6	185.11	493.56	105.89	176.29	125.24	423.61	638.15	708.18	279.14	180.02	281.09	190.34	202.66	753.83	96.68	260.38	638.15	223.41	209.84	199.85	366.09	90.77	503.95	329.84	141.02	258.57	325.29	161.02	277.2	363.56	91.41	237.86	167.9	51.35	525.39	98.04	346.29	94.01	303.44	258.57	312.0	173.85	88.26	122.64	271.48	470.14	1081.39	775.05	125.24	651.58	400.71	500.46	314.17	665.29	444.72	497.0	444.72	397.93	753.83	612.11	486.75	551.56	674.59	595.34	698.41	466.88	480.04	775.05	547.75	785.88	423.61	791.35	457.25	567.1	497.0	493.56	493.56	426.57	693.58	1208.34	511.0
DENND4C	258.57	353.59	98.73	125.24	57.89	256.78	269.6	483.38	287.01	126.12	571.05	155.5	134.3	583.07	95.34	293.07	283.05	206.94	167.9	55.1	127.0	68.55	361.04	244.57	242.88	169.07	106.63	127.0	190.34	363.56	148.09	158.79	133.36	73.54	343.89	111.21	157.68	99.43	142.01	132.44	283.05	151.22	87.65	220.32	368.65	309.83	414.87	379.04	90.77	780.44	255.0	297.17	497.0	878.17	480.04	454.09	703.28	376.41	842.36	547.75	514.56	490.14	599.49	521.76	718.08	497.0	603.67	312.0	595.34	220.32	748.61	414.87	190.34	579.04	273.37	368.65	406.31	395.18	813.63	974.5	211.31
DNAJB14	223.41	136.19	118.43	163.28	75.64	220.32	262.2	253.23	133.36	77.25	155.5	89.51	77.79	253.23	165.57	120.94	130.6	134.3	169.07	129.69	223.41	97.36	255.0	128.79	127.0	159.9	134.3	165.57	151.22	162.14	109.66	220.32	217.27	115.97	181.28	60.39	241.19	93.35	128.79	195.72	159.9	150.17	92.7	142.01	118.43	182.55	329.84	343.89	102.25	312.0	190.34	218.79	293.07	450.94	299.25	320.8	329.84	226.54	435.55	327.56	283.05	231.32	638.15	289.02	583.07	381.68	490.14	387.02	273.37	237.86	285.03	229.72	88.88	384.34	251.48	318.57	291.04	271.48	403.5	591.22	343.89
DPP8	149.12	264.03	183.82	223.41	92.7	206.94	295.11	262.2	144.01	178.77	133.36	78.34	133.36	206.94	221.86	94.67	191.67	161.02	126.12	81.71	173.85	78.89	325.29	132.44	105.15	183.82	120.94	158.79	138.1	191.67	71.0	251.48	194.36	77.25	205.5	103.69	206.94	76.71	199.85	181.28	236.21	153.34	152.28	163.28	158.79	223.41	251.48	483.38	85.22	189.02	145.02	175.07	186.4	236.21	159.9	178.77	204.07	187.71	251.48	205.5	177.53	194.36	260.38	232.94	291.04	251.48	256.78	291.04	217.27	220.32	195.72	279.14	177.53	224.97	232.94	279.14	183.82	205.5	260.38	327.56	373.81
DSTYK	65.26	161.02	47.84	85.22	51.71	134.3	83.45	157.68	59.97	71.0	93.35	70.51	49.56	88.88	91.41	125.24	141.02	52.82	26.28	57.08	133.36	47.84	103.69	79.45	48.87	51.71	67.59	55.49	75.64	103.69	34.51	90.14	115.97	23.59	107.38	60.39	100.83	55.89	76.71	120.94	80.57	47.5	71.5	45.21	88.88	189.02	218.79	249.73	28.04	153.34	82.29	108.14	122.64	104.42	111.21	112.77	137.14	78.34	172.65	125.24	105.15	98.73	198.47	146.03	135.24	143.01	158.79	138.1	87.03	96.01	85.82	128.79	69.52	72.01	84.63	121.79	125.24	151.22	90.77	291.04	153.34
