	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.F4.6854.01A.11R.1928.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.3L.AA1B.01A.11R.A37K.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL
FIS1	6840.04	1594.73	5147.73	3212.66	5995.9	3901.01	3589.58	3212.66	3039.3	3928.15	2468.49	3168.41	6294.04	5292.48	6121.9	7642.41	5292.48	4802.93	6745.86	0.0	0.96	7749.1	3443.31	3491.39	3540.14	7589.61	3443.31	4038.61	2895.31	8778.97
FITM2	229.72	26.67	309.83	753.83	153.34	78.34	73.54	54.33	55.49	63.0	34.26	55.1	162.14	204.07	131.51	281.09	194.36	129.69	314.17	0.0	0.01	114.36	42.71	72.52	62.56	121.79	49.56	72.01	44.89	249.73
GDF10	151.22	13.52	31.22	759.08	44.57	33.54	28.86	9.48	0.0	7.4	0.75	0.0	320.8	395.18	74.06	540.19	587.13	80.01	669.92	0.0	0.16	43.02	127.89	14.67	43.02	142.01	24.11	25.17	42.11	543.96
GPC4	660.68	1.08	1322.37	2319.15	1605.83	138.1	66.18	43.94	103.69	50.98	7.46	78.89	718.08	417.77	486.75	791.35	409.15	559.28	785.88	0.0	0.57	123.5	28.24	15.68	111.21	529.06	32.13	47.17	6.73	647.07
HABP4	214.27	13.52	307.69	591.22	460.44	169.07	96.68	39.79	73.03	52.45	50.98	74.58	232.94	217.27	223.41	403.5	301.33	206.94	287.01	0.0	0.58	134.3	69.52	132.44	57.08	281.09	59.13	63.0	66.65	314.17
HEXIM2	336.79	248.0	118.43	166.73	165.57	73.03	71.0	85.82	99.43	78.34	45.85	67.12	241.19	183.82	178.77	256.78	169.07	189.02	397.93	0.0	0.0	111.21	95.34	41.52	111.21	423.61	94.01	143.01	82.87	291.04
HIBADH	3168.41	253.23	1388.16	1340.84	1268.46	187.71	353.59	127.0	264.03	166.73	180.02	212.78	1498.22	1674.06	1870.53	2537.92	1359.57	567.1	2303.12	0.0	0.35	616.37	232.94	532.74	525.39	1151.06	267.73	368.65	215.77	1870.53
KCNC4	87.03	64.34	97.36	80.01	78.89	82.29	105.15	39.79	153.34	56.68	85.82	108.14	133.36	198.47	158.79	348.71	314.17	137.14	358.54	0.0	0.4	13.52	38.12	104.42	98.73	167.9	28.65	42.11	13.52	176.29
KRT4	0.0	3.697379928E7	8.51	10.31	0.0	1.810644424E7	6140819.49	2.276004283E7	3359929.59	3.109113511E7	111.21	63.45	197294.7	527933.71	226632.25	172.65	187950.38	86474.27	507.46	0.0	0.0	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	45072.75	2.213766823E7	1.887534821E7	2.10891839E7	1282030.25
LONP1	1216.75	444.72	2434.5	1896.65	1769.57	674.59	674.59	514.56	723.08	703.28	679.29	1037.29	1388.16	1199.98	1167.14	1583.71	1119.56	934.76	1662.49	0.0	0.57	638.15	447.82	1340.84	1208.34	1388.16	642.59	878.17	483.38	1487.87
LRIG1	1037.29	6.57	1111.82	1059.11	1250.98	159.9	153.34	85.22	65.26	193.01	68.07	115.16	2434.5	981.29	902.89	1477.58	941.27	438.59	1498.22	0.0	0.44	62.56	44.25	90.77	327.56	775.05	118.43	104.42	52.82	825.0
LRPPRC	2075.59	563.18	1259.69	1794.29	1551.09	878.17	988.12	698.41	808.0	567.1	426.57	493.56	1081.39	1135.2	1127.35	1437.15	954.43	738.29	1467.37	1096.5	199.85	896.64	500.46	1073.91	684.02	915.51	607.87	733.19	1008.9	1674.06
MCMDC2	32.13	28.65	14.56	40.64	37.05	8.06	21.47	18.03	10.55	8.25	3.59	1.5	15.45	14.56	18.97	15.0	14.24	12.18	18.7	0.0	0.16	8.71	4.74	16.27	20.26	29.7	13.42	5.68	1.3	37.05
MRS2	1015.93	206.94	599.49	497.0	409.15	281.09	285.03	287.01	275.28	320.8	348.71	253.23	493.56	521.76	507.46	802.41	460.44	460.44	728.11	0.0	0.39	358.54	218.79	221.86	295.11	493.56	255.0	307.69	194.36	866.07
MSANTD4	293.07	14.35	191.67	251.48	158.79	109.66	158.79	67.12	82.29	71.0	37.85	64.34	135.24	165.57	107.38	205.5	220.32	121.79	194.36	117.6	95.34	152.28	32.36	120.1	105.89	199.85	59.55	48.52	59.97	113.56
MYH4	16.39	0.0	5.23	2.58	2.23	0.41	0.0	0.0	0.0	0.0	0.0	0.0	6.31	12.09	0.91	11.64	5.54	2.78	26.28	0.0	0.0	0.64	0.0	0.64	0.64	1.6	0.0	0.99	0.0	4.66
NARS2	486.75	244.57	414.87	373.81	348.71	158.79	177.53	136.19	197.09	150.17	97.36	107.38	283.05	229.72	275.28	358.54	275.28	251.48	287.01	0.0	0.08	409.15	102.97	277.2	237.86	226.54	113.56	117.6	208.38	563.18
NBR1	2287.2	1127.35	1059.11	1242.34	1183.45	921.88	941.27	872.1	679.29	769.69	603.67	674.59	1437.15	1819.35	1104.13	1963.57	1697.45	1104.13	2148.82	0.0	0.56	1023.0	591.22	638.15	1066.48	2047.0	748.61	708.18	733.19	1304.15
NEO1	591.22	173.85	466.88	1295.13	379.04	343.89	395.18	256.78	316.37	343.89	98.04	339.14	323.03	480.04	392.44	503.95	718.08	633.73	579.04	0.0	0.6	180.02	191.67	199.85	665.29	567.1	373.81	392.44	153.34	476.71
NEU3	303.44	8.85	111.99	214.27	108.14	40.36	48.18	24.11	46.5	34.75	7.88	9.93	106.63	108.14	152.28	373.81	189.02	71.0	135.24	0.0	0.39	15.8	16.75	30.78	32.36	76.71	14.14	12.74	2.29	69.52
ORAI1	813.63	414.87	466.88	379.04	417.77	262.2	269.6	190.34	275.28	215.77	215.77	309.83	518.15	403.5	417.77	679.29	571.05	361.04	656.11	0.0	0.39	201.25	154.42	281.09	264.03	409.15	202.66	277.2	237.86	769.69
PABPC4	9540.5	1617.0	4769.75	4639.29	4575.41	1857.6	2255.7	1794.29	2335.28	2047.0	1508.65	1427.22	5872.48	6516.03	5711.87	9740.98	4769.75	3303.0	10883.59	0.0	1.0	2573.36	1628.26	2855.44	2367.9	6381.92	2047.0	1674.06	1844.76	4639.29
PCBP4	1583.71	67.12	1135.2	961.07	902.89	438.59	312.0	348.71	583.07	271.48	438.59	688.78	902.89	1208.34	1088.92	1721.16	1119.56	583.07	1242.34	0.0	0.69	191.67	334.46	332.14	307.69	679.29	170.25	231.32	176.29	1832.01
PEX12	231.32	107.38	75.64	180.02	119.26	87.65	61.25	75.11	46.84	63.89	20.26	35.0	133.36	139.07	89.51	161.02	146.03	119.26	197.09	0.0	0.0	124.37	48.87	56.28	103.69	138.1	61.25	73.54	51.71	134.3
PTGES2	2119.22	854.13	1991.0	2816.11	1529.73	1417.35	1096.5	1001.93	1781.89	1073.91	884.29	1066.48	2119.22	2119.22	1977.24	3103.19	1662.49	1628.26	3443.31	0.0	0.52	1304.15	1127.35	1883.54	1427.22	2133.97	1709.26	1909.85	1159.07	2555.58
QRSL1	329.84	65.26	220.32	307.69	183.82	119.26	133.36	105.89	125.24	105.89	93.35	73.03	204.07	291.04	264.03	327.56	251.48	190.34	285.03	0.0	0.34	156.59	140.04	138.1	163.28	265.87	159.9	162.14	164.42	392.44
RABEP1	1199.98	173.85	543.96	334.46	341.51	346.29	395.18	265.87	277.2	232.94	173.85	356.05	432.53	571.05	583.07	884.29	733.19	432.53	669.92	291.04	189.02	281.09	164.42	262.2	293.07	463.65	212.78	163.28	204.07	525.39
RABL6	1896.65	669.92	2240.11	2384.37	2119.22	1457.23	1143.1	1378.57	1594.73	1437.15	1359.57	1388.16	1896.65	1991.0	1794.29	2119.22	1781.89	1583.71	2193.99	819.3	277.2	819.3	1457.23	1175.27	1159.07	1923.14	1397.83	1331.57	1199.98	3589.58
RBM18	713.11	182.55	346.29	332.14	258.57	228.13	358.54	215.77	223.41	185.11	246.28	273.37	400.71	309.83	400.71	511.0	384.34	376.41	457.25	0.0	0.05	447.82	255.0	221.86	312.0	493.56	171.45	220.32	275.28	387.02
REPIN1	1883.54	796.86	4704.07	6516.03	6294.04	1191.69	947.83	1073.91	1143.1	1250.98	647.07	665.29	1457.23	2148.82	1216.75	2384.37	1685.71	988.12	2468.49	0.0	0.97	275.28	258.57	555.41	791.35	2004.85	514.56	1023.0	251.48	3540.14
RHOBTB2	384.34	38.67	132.44	251.48	307.69	92.05	99.43	26.86	81.14	42.71	17.77	73.03	325.29	194.36	339.14	607.87	420.68	159.9	363.56	0.0	0.3	62.56	50.63	115.16	77.79	780.44	53.95	38.67	23.25	202.66
RRN3	674.59	197.09	543.96	607.87	559.28	409.15	420.68	255.0	299.25	293.07	175.07	236.21	438.59	444.72	447.82	698.41	454.09	426.57	651.58	363.56	106.63	389.72	234.57	409.15	332.14	616.37	260.38	253.23	256.78	346.29
SCCPDH	872.1	17.13	796.86	802.41	607.87	99.43	53.57	36.27	134.3	36.79	126.12	82.29	543.96	432.53	559.28	813.63	567.1	208.38	753.83	0.0	0.52	241.19	32.36	87.65	120.94	403.5	36.01	70.01	32.13	457.25
SERP2	59.55	0.0	175.07	226.54	149.12	39.5	16.39	14.89	22.43	14.35	3.76	5.02	49.91	59.55	34.51	76.17	136.19	27.84	64.34	0.0	0.35	39.5	23.42	4.28	21.32	96.68	7.34	19.11	3.41	142.01
SETD3	2367.9	624.99	1008.9	642.59	808.0	708.18	1143.1	591.22	947.83	536.45	563.18	688.78	1487.87	1331.57	1519.15	1950.0	1359.57	954.43	1733.13	0.0	0.71	796.86	507.46	981.29	656.11	884.29	620.67	629.35	497.0	1540.37
SGCB	2384.37	47.84	320.8	251.48	466.88	112.77	175.07	91.41	99.43	80.57	35.25	121.79	848.22	684.02	902.89	1561.89	1015.93	392.44	1066.48	0.0	0.41	229.72	64.34	153.34	181.28	493.56	58.71	81.71	51.71	890.44
SIRT5	713.11	316.37	329.84	356.05	384.34	165.57	199.85	157.68	154.42	149.12	98.73	115.97	480.04	551.56	395.18	647.07	334.46	232.94	599.49	0.0	0.0	241.19	167.9	194.36	336.79	387.02	137.14	232.94	176.29	587.13
SLC29A1	2032.85	521.76	4358.66	5076.84	4038.61	825.0	381.68	193.01	297.17	251.48	190.34	432.53	1359.57	1159.07	1191.69	2004.85	1819.35	759.08	1781.89	0.0	0.72	392.44	320.8	392.44	529.06	1427.22	287.01	381.68	341.51	2485.67
SPRY2	884.29	154.42	909.17	785.88	1322.37	429.54	395.18	249.73	275.28	223.41	23.25	83.45	753.83	703.28	616.37	860.08	909.17	381.68	902.89	0.0	0.47	332.14	312.0	275.28	409.15	1023.0	155.5	130.6	121.79	1183.45
SYN1	73.03	5.82	21.78	20.41	35.76	7.69	6.06	1.6	5.28	2.86	1.55	3.59	57.89	53.57	44.89	64.34	37.59	16.27	92.7	0.0	0.37	6.16	4.66	1.73	6.52	82.87	2.03	7.75	0.83	102.25
TARSL2	878.17	26.86	115.16	163.28	190.34	119.26	165.57	64.8	90.77	66.65	130.6	66.65	397.93	429.54	447.82	603.67	361.04	161.02	450.94	0.0	0.47	45.85	45.53	77.79	49.91	155.5	62.12	65.26	71.0	242.88
THAP10	67.12	36.01	64.8	59.13	92.05	17.13	28.04	16.75	16.51	11.21	12.55	16.51	34.02	69.52	41.22	53.95	63.45	50.27	67.12	0.0	0.0	30.34	28.45	29.48	102.25	29.91	21.94	28.45	18.84	44.89
TMEM170B	214.27	1.93	48.87	47.17	26.47	14.56	8.65	5.36	5.82	7.06	8.32	5.82	47.17	64.8	72.52	177.53	108.14	30.78	118.43	0.0	0.35	12.36	2.48	6.01	7.06	57.08	1.1	2.63	1.04	28.24
TMEM261	1977.24	647.07	1322.37	1359.57	1037.29	708.18	819.3	808.0	629.35	693.58	301.33	314.17	1662.49	1183.45	1175.27	1225.22	785.88	764.36	1023.0	0.0	0.46	1073.91	503.95	381.68	486.75	1819.35	371.22	563.18	381.68	1304.15
TNMD	13.03	3.59	8.06	29.7	12.36	3.99	1.71	0.95	1.62	0.41	0.0	0.0	10.55	32.13	25.54	193.01	31.45	17.77	55.1	0.0	0.0	4.78	13.22	3.0	3.66	18.97	12.09	6.46	1.71	32.82
TOMM7	16045.82	3874.05	8247.98	6699.25	9344.14	4769.75	5479.15	4937.99	4575.41	7642.41	2777.33	4268.94	11035.54	9606.86	8538.88	10808.41	7803.01	8022.41	11584.24	0.0	0.77	10733.74	3395.89	4358.66	4239.45	9151.82	5441.3	4268.94	3874.05	12244.81
TPM1	195931.88	218.79	7695.57	6745.86	15499.21	10512.82	2997.45	1467.37	1757.34	5366.37	547.75	1417.35	22072.07	52497.92	44452.21	144427.91	41475.31	24153.43	124000.67	7230.1	5147.73	3589.58	647.07	2061.24	2758.13	26431.04	1191.69	1540.37	438.59	27938.14
TRAP1	4298.64	1745.2	4038.61	3303.0	2627.46	1857.6	1936.53	1605.83	2133.97	1857.6	825.0	1208.34	2835.7	2434.5	2739.08	2935.74	2451.44	2133.97	3395.89	0.0	0.68	1467.37	2720.15	2573.36	1467.37	2720.15	1674.06	1733.13	2075.59	4972.34
UROS	1175.27	406.31	961.07	684.02	848.22	603.67	555.41	543.96	607.87	612.11	358.54	480.04	1143.1	1044.52	1096.5	1340.84	1044.52	738.29	1233.75	0.0	0.15	836.53	403.5	277.2	591.22	796.86	470.14	616.37	356.05	1447.15
WSCD1	289.02	1.5	48.18	48.18	20.71	12.45	13.52	3.14	4.03	10.24	3.29	3.96	58.3	41.22	90.77	105.15	77.25	17.9	55.1	0.0	0.19	7.51	28.65	18.7	18.29	51.71	18.29	11.38	2.76	87.65
ZCCHC24	848.22	4.5	503.95	429.54	329.84	314.17	234.57	143.01	85.22	208.38	84.63	185.11	450.94	256.78	417.77	1001.93	954.43	204.07	571.05	0.0	0.61	269.6	77.79	120.1	112.77	525.39	72.01	59.97	69.52	262.2
ZNF30	68.55	13.32	64.8	136.19	100.13	35.5	44.89	31.0	32.13	35.0	10.16	10.24	45.85	48.18	23.93	40.93	61.68	34.51	60.82	0.0	0.21	19.82	16.03	17.25	30.78	23.25	15.45	19.25	23.25	61.68
ZNF461	69.52	11.13	80.57	95.34	96.01	59.13	45.85	46.5	52.82	52.82	12.18	8.45	80.57	76.71	66.65	52.82	69.03	79.45	57.49	0.0	0.41	51.71	37.85	7.82	67.12	47.84	77.25	25.91	18.84	100.83
ZNF527	87.03	10.0	48.52	95.34	55.49	37.05	31.22	29.27	30.56	35.76	5.54	15.34	61.68	69.52	46.5	78.34	69.52	43.94	57.49	0.0	0.1	65.26	38.67	18.03	39.5	54.33	35.5	40.07	22.43	93.35
ZNF629	139.07	91.41	153.34	237.86	180.02	93.35	82.87	48.52	58.3	58.71	33.54	61.25	97.36	158.79	117.6	169.07	205.5	91.41	241.19	0.0	0.26	84.04	62.56	55.89	93.35	78.89	75.64	102.97	40.07	236.21
ZNF768	988.12	406.31	896.64	1159.07	909.17	563.18	884.29	332.14	536.45	397.93	195.72	194.36	896.64	934.76	796.86	1143.1	854.13	579.04	1066.48	0.0	0.59	262.2	201.25	332.14	567.1	669.92	269.6	371.22	279.14	981.29
ZNF774	116.78	78.34	20.71	91.41	75.11	36.27	31.0	31.22	38.67	40.36	11.04	11.73	82.29	98.04	92.7	93.35	116.78	26.86	84.63	0.0	0.0	14.35	6.21	26.47	27.84	81.71	26.28	11.82	4.17	77.25
