	TCGA.A3.3324.01A.02R.1325.07	TCGA.B0.4852.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.13CF2.2426.SM.5LZYL	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.EM.A2CQ.01A.11R.A180.07
IRF2BP1	215.77	206.94	0.0	0.21	170.25	540.19	483.38	518.15	341.51
ISCU	3235.01	3467.27	0.0	0.93	4836.35	6294.04	9945.68	8598.28	6471.02
KLHL21	420.68	229.72	0.0	0.69	218.79	728.11	796.86	454.09	493.56
LSM4	1487.87	1721.16	0.0	0.85	1143.1	4607.24	4038.61	3303.0	2240.11
LSMD1	1583.71	1378.57	0.0	0.57	1104.13	6426.31	3639.7	3589.58	2609.3
LY6K	8.99	16.03	0.0	0.48	35.0	728.11	2.2	28.65	5.36
MACROD1	395.18	551.56	0.0	0.62	291.04	7803.01	1923.14	1923.14	1340.84
MB	2.39	14.56	0.0	0.91	7.69	4817989.11	41.81	34.75	202.66
MCRS1	651.58	802.41	0.0	0.34	463.65	1259.69	1551.09	1447.15	1407.55
MEF2BNB	483.38	444.72	387.02	212.78	312.0	665.29	785.88	624.99	579.04
MIEN1	896.64	1529.73	0.0	0.64	356.05	928.3	2319.15	2573.36	1936.53
MLST8	884.29	688.78	0.0	0.09	239.52	915.51	1561.89	921.88	1167.14
MRM1	106.63	77.25	0.0	0.06	30.78	126.12	169.07	127.0	146.03
MRP63	438.59	454.09	0.0	0.12	149.12	860.08	780.44	830.75	536.45
MRPL28	1268.46	1286.18	0.0	0.89	665.29	3039.3	2075.59	1977.24	1183.45
MRPL4	769.69	688.78	0.0	0.66	466.88	3103.19	1674.06	1030.12	1111.82
MRPL47	432.53	1088.92	0.0	0.59	356.05	2609.3	848.22	915.51	633.73
MRPL54	1572.76	1605.83	0.0	0.54	454.09	2163.77	2997.45	2956.17	2271.4
MYL2	0.0	3.99	0.0	0.0	0.12	7560235.84	0.0	0.0	6.41
NAPRT1	738.29	753.83	0.0	1.13	2148.82	2255.7	2351.53	2119.22	356.05
NDUFA13	4639.29	5366.37	0.0	1.06	3540.14	22380.2	11584.24	8658.09	6745.86
NDUFA3	3257.52	2816.11	2875.3	1457.23	2417.67	17681.08	8134.41	9151.82	6381.92
NDUFA7	1639.59	2004.85	0.0	0.52	409.15	8022.41	3419.52	2915.45	1896.65
NDUFB11	1819.35	1594.73	0.0	0.82	743.43	9088.59	4066.71	3443.31	2855.44
NDUFB7	3372.43	3820.7	0.0	0.87	1135.2	24321.43	7433.4	5872.48	5292.48
NDUFB8	4328.55	4298.64	0.0	1.1	1529.73	22535.88	7485.11	6840.04	4836.35
NDUFS6	1477.58	947.83	0.0	0.77	389.72	5791.62	2209.26	1733.13	1487.87
NDUFS7	1457.23	988.12	2468.49	703.28	836.53	15075.35	3235.01	2720.15	2335.28
NHP2L1	2555.58	2367.9	0.0	0.92	1447.15	6294.04	5076.84	4575.41	3349.13
NR2F6	395.18	303.44	0.0	0.61	587.13	503.95	1023.0	934.76	624.99
NTMT1	532.74	476.71	0.0	0.54	909.17	2997.45	1322.37	921.88	796.86
NUBP1	713.11	915.51	0.0	0.36	295.11	836.53	902.89	974.5	708.18
OMA1	262.2	336.79	0.0	0.0	134.3	414.87	647.07	551.56	507.46
PEBP1	8840.04	13872.08	4328.55	16383.0	2119.22	7382.04	21768.19	20881.4	17078.76
PEX11G	126.12	116.78	0.0	0.0	27.84	84.63	202.66	320.8	186.4
PI4K2A	289.02	231.32	0.0	0.51	674.59	269.6	753.83	616.37	432.53
PLGRKT	547.75	638.15	0.0	0.39	101.54	1769.57	1127.35	1388.16	1081.39
PNPLA6	1111.82	642.59	0.0	0.4	3874.05	603.67	1340.84	1551.09	967.76
PRDX5	6337.83	6840.04	0.0	0.59	2609.3	14765.09	17681.08	16727.26	12676.65
PRPF19	1225.22	1359.57	0.0	0.38	540.19	1259.69	2004.85	2004.85	1529.73
PSMB3	2701.35	3372.43	0.0	0.89	2240.11	5594.3	4543.8	4769.75	2777.33
PTPMT1	642.59	1159.07	0.0	0.27	599.49	866.07	1583.71	1551.09	1295.13
RPUSD1	228.13	180.02	0.0	0.01	110.43	226.54	341.51	417.77	253.23
SCAND1	713.11	532.74	0.0	0.85	480.04	1617.0	2351.53	3018.3	1388.16
SCD5	74.06	138.1	0.0	0.26	297.17	95.34	1001.93	947.83	684.02
SLC39A3	336.79	483.38	0.0	0.0	199.85	454.09	902.89	921.88	733.19
SLC7A4	0.0	0.0	0.0	0.0	6.46	41.52	19.97	10.0	1.41
SLIRP	1832.01	2835.7	0.0	0.68	642.59	11827.67	4388.98	4268.94	3124.78
SPAG7	1477.58	1551.09	0.0	0.65	733.19	4704.07	2520.38	2163.77	2004.85
SPCS1	2451.44	2520.38	0.0	0.67	890.44	2451.44	6164.49	5954.47	5041.77
SQSTM1	7280.4	7911.95	0.0	1.04	7331.05	8134.41	15715.58	17558.94	13492.72
SSNA1	1008.9	928.3	0.0	0.26	620.67	2178.83	1781.89	1977.24	1208.34
STK32C	187.71	197.09	0.0	0.58	183.82	146.03	191.67	373.81	275.28
STUB1	2061.24	1950.0	0.0	0.89	1721.16	3491.39	4972.34	3847.29	3235.01
TGFBR3L	1.17	1.5	0.0	0.41	1.46	34.75	109.66	48.52	3.06
TIGD6	133.36	147.06	0.0	0.07	47.5	55.1	163.28	154.42	148.09
TIMM50	813.63	1216.75	1242.34	579.04	447.82	2701.35	1781.89	1857.6	1477.58
TM7SF2	271.48	297.17	0.0	0.0	226.54	470.14	1268.46	1295.13	532.74
TMEM105	1.55	4.43	0.0	0.0	1.39	23.42	31.9	20.41	18.03
TMEM11	435.55	555.41	0.0	0.82	379.04	1697.45	733.19	848.22	599.49
TMEM147	2451.44	2224.63	0.0	0.68	878.17	2502.97	4802.93	3665.02	3372.43
TMEM179B	1733.13	1594.73	0.0	0.73	791.35	796.86	2367.9	2520.38	1936.53
TMEM208	1313.23	1605.83	0.0	0.48	514.56	547.75	2075.59	2271.4	1467.37
TMEM222	1135.2	819.3	0.0	0.39	371.22	775.05	1498.22	1191.69	1066.48
TMEM261	785.88	718.08	0.0	0.46	232.94	1304.15	1540.37	1111.82	1008.9
TNNC1	13.62	4.39	0.0	0.19	113.56	5199709.96	890.44	358.54	511.0
TPGS1	112.77	71.0	0.0	0.58	60.39	75.11	224.97	299.25	202.66
TRAPPC5	1340.84	1183.45	0.0	0.49	1088.92	2895.31	2287.2	3235.01	1617.0
TSR2	1044.52	1104.13	808.0	283.05	665.29	1277.29	1733.13	1359.57	1378.57
TSTA3	902.89	825.0	0.0	0.82	890.44	1359.57	2384.37	2303.12	1191.69
UBTD1	273.37	120.1	0.0	0.49	563.18	591.22	802.41	830.75	327.56
UCK1	748.61	656.11	0.0	0.59	279.14	309.83	1023.0	941.27	718.08
UQCR11	3564.78	3325.99	0.0	0.78	1639.59	21320.18	6121.9	5711.87	4481.23
VCP	2739.08	2739.08	0.0	1.08	3280.18	4066.71	3235.01	3665.02	4038.61
WDR18	743.43	444.72	0.0	0.24	273.37	693.58	947.83	1467.37	836.53
WDR83	307.69	264.03	0.0	0.51	193.01	117.6	334.46	389.72	253.23
YDJC	384.34	320.8	0.0	0.67	89.51	143.01	669.92	718.08	444.72
ZBTB45	182.55	92.7	0.0	0.02	87.65	147.06	256.78	251.48	217.27
ZDHHC24	275.28	234.57	0.0	0.39	187.71	165.57	373.81	466.88	353.59
ZNF287	93.35	78.89	0.0	0.0	18.97	145.02	100.83	156.59	83.45
ZNF48	94.01	88.26	0.0	0.31	49.91	38.67	145.02	108.14	131.51
ZNF593	133.36	161.02	0.0	0.0	80.01	293.07	426.57	463.65	299.25
ZNF821	265.87	223.41	0.0	0.23	256.78	52.08	323.03	269.6	195.72
ZNHIT1	1781.89	1551.09	0.0	0.85	813.63	2119.22	2224.63	2591.27	1605.83
