	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.13O3O.0826.SM.5K7WE	GTEX.VJWN.0726.SM.3GIJ8	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.14DAQ.1726.SM.5S2R2	GTEX.11DXZ.0126.SM.5EGGY	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2
CRY1	536.45	447.82	389.72	934.76	647.07	733.19	86.43	111.99	239.52	153.34	46.18	68.07	81.71	155.5	301.33	258.57	220.32	309.83	387.02	693.58	269.6	279.14	234.57	283.05	195.72	305.55	327.56	285.03	435.55	320.8	220.32	249.73	234.57	329.84	532.74	209.84	265.87	269.6	143.01
CYCS	2915.45	2090.03	2303.12	2739.08	2664.15	2287.2	1359.57	1008.9	1081.39	775.05	497.0	759.08	748.61	896.64	1561.89	1583.71	1250.98	1225.22	1832.01	1991.0	1583.71	1529.73	1001.93	1088.92	1498.22	1304.15	2209.26	1498.22	2047.0	1397.83	1199.98	1397.83	1304.15	2319.15	3372.43	1896.65	1183.45	1909.85	813.63
DCTN6	967.76	1427.22	1508.65	1844.76	2133.97	2645.74	466.88	607.87	368.65	414.87	381.68	291.04	466.88	447.82	915.51	836.53	679.29	872.1	884.29	878.17	909.17	1199.98	684.02	780.44	759.08	819.3	1199.98	909.17	1277.29	808.0	769.69	947.83	642.59	995.0	1151.06	860.08	974.5	620.67	406.31
DDX50	698.41	1037.29	967.76	1159.07	1277.29	1059.11	107.38	285.03	187.71	173.85	153.34	139.07	204.07	309.83	400.71	603.67	486.75	587.13	669.92	647.07	559.28	470.14	483.38	629.35	406.31	656.11	802.41	507.46	830.75	579.04	595.34	620.67	525.39	808.0	759.08	616.37	616.37	521.76	351.14
DNTTIP2	1407.55	1268.46	1259.69	2148.82	1268.46	1143.1	112.77	473.41	674.59	454.09	525.39	674.59	450.94	466.88	595.34	902.89	878.17	860.08	854.13	1073.91	718.08	1008.9	748.61	819.3	954.43	813.63	1073.91	738.29	1127.35	802.41	775.05	1001.93	808.0	890.44	1447.15	878.17	890.44	878.17	612.11
DUSP16	866.07	890.44	1583.71	1498.22	1015.93	1896.65	532.74	205.5	262.2	291.04	466.88	339.14	312.0	688.78	438.59	669.92	543.96	633.73	1044.52	1991.0	529.06	555.41	819.3	579.04	607.87	1051.79	395.18	389.72	769.69	1119.56	934.76	708.18	830.75	1143.1	1857.6	1066.48	738.29	563.18	540.19
E2F6	406.31	417.77	507.46	518.15	242.88	463.65	73.54	115.97	172.65	75.11	124.37	102.97	128.79	130.6	182.55	251.48	189.02	236.21	281.09	325.29	191.67	229.72	202.66	242.88	221.86	262.2	271.48	234.57	341.51	267.73	295.11	293.07	297.17	358.54	384.34	273.37	231.32	264.03	183.82
ETF1	1781.89	2075.59	2148.82	2956.17	2591.27	2796.65	381.68	536.45	529.06	555.41	441.64	400.71	409.15	629.35	866.07	974.5	890.44	934.76	1477.58	1572.76	961.07	954.43	848.22	1023.0	674.59	974.5	961.07	961.07	1277.29	1051.79	878.17	1030.12	921.88	1540.37	1769.57	1127.35	1159.07	1037.29	665.29
FAM118B	351.14	283.05	217.27	293.07	373.81	748.61	82.29	111.99	104.42	135.24	71.0	69.52	104.42	119.26	214.27	201.25	143.01	325.29	202.66	251.48	215.77	246.28	182.55	236.21	199.85	241.19	381.68	191.67	291.04	182.55	186.4	255.0	239.52	241.19	470.14	234.57	127.0	205.5	143.01
FYTTD1	1350.18	1467.37	2319.15	1561.89	1583.71	1991.0	223.41	397.93	258.57	346.29	248.0	224.97	293.07	490.14	579.04	612.11	575.03	842.36	1159.07	1037.29	703.28	603.67	642.59	753.83	514.56	988.12	1127.35	665.29	1167.14	902.89	759.08	764.36	708.18	1208.34	1051.79	915.51	878.17	759.08	447.82
GLA	1030.12	753.83	1991.0	1870.53	1233.75	7280.4	217.27	217.27	231.32	156.59	125.24	224.97	161.02	228.13	612.11	518.15	438.59	409.15	435.55	532.74	483.38	346.29	397.93	450.94	599.49	500.46	543.96	490.14	457.25	412.0	379.04	483.38	376.41	490.14	915.51	514.56	473.41	490.14	389.72
GOLT1B	878.17	769.69	713.11	1059.11	1096.5	780.44	129.69	177.53	170.25	127.89	163.28	189.02	171.45	214.27	532.74	466.88	358.54	483.38	848.22	825.0	447.82	293.07	387.02	438.59	463.65	575.03	872.1	483.38	981.29	543.96	363.56	480.04	420.68	532.74	679.29	555.41	525.39	341.51	273.37
HAT1	1369.04	1417.35	1322.37	2047.0	2018.8	1950.0	229.72	466.88	265.87	303.44	212.78	256.78	307.69	373.81	1059.11	1073.91	718.08	967.76	1225.22	1183.45	1104.13	808.0	860.08	909.17	866.07	1030.12	1295.13	872.1	1151.06	1037.29	866.07	1023.0	890.44	1277.29	1378.57	1159.07	988.12	860.08	529.06
HAUS2	371.22	450.94	473.41	679.29	356.05	532.74	49.56	110.43	68.55	99.43	65.26	86.43	117.6	116.78	182.55	194.36	161.02	181.28	241.19	256.78	142.01	150.17	142.01	176.29	132.44	189.02	234.57	163.28	323.03	220.32	191.67	199.85	154.42	194.36	295.11	194.36	241.19	205.5	127.89
HIVEP2	212.78	301.33	260.38	327.56	336.79	323.03	18.29	40.93	47.84	49.56	28.24	36.79	48.18	52.45	100.13	153.34	113.56	120.94	191.67	246.28	91.41	100.83	125.24	143.01	115.16	120.94	53.57	89.51	125.24	161.02	148.09	96.68	139.07	170.25	575.03	158.79	187.71	96.01	111.21
HNRNPH2	2209.26	2351.53	3039.3	2537.92	4038.61	3419.52	967.76	967.76	579.04	583.07	476.71	713.11	813.63	947.83	1685.71	1561.89	1437.15	1674.06	1909.85	2193.99	1594.73	1369.04	1313.23	1572.76	1561.89	1304.15	1268.46	1457.23	1529.73	1651.0	1721.16	1605.83	1498.22	2163.77	2555.58	1936.53	1977.24	1685.71	1216.75
HNRNPLL	616.37	825.0	718.08	1073.91	718.08	1023.0	107.38	133.36	115.97	134.3	134.3	107.38	189.02	201.25	403.5	466.88	348.71	518.15	638.15	642.59	441.64	325.29	387.02	497.0	361.04	551.56	612.11	435.55	633.73	518.15	483.38	463.65	529.06	559.28	591.22	555.41	426.57	423.61	325.29
HSPA13	473.41	575.03	708.18	665.29	988.12	1119.56	76.71	91.41	115.97	84.04	52.45	55.49	68.55	103.69	267.73	297.17	201.25	279.14	490.14	536.45	303.44	173.85	197.09	320.8	291.04	323.03	543.96	241.19	525.39	463.65	356.05	320.8	234.57	438.59	503.95	463.65	279.14	307.69	164.42
IQCB1	291.04	409.15	435.55	718.08	457.25	718.08	46.5	82.87	102.97	53.19	49.91	59.13	59.97	71.5	258.57	497.0	265.87	575.03	460.44	346.29	460.44	299.25	312.0	473.41	334.46	371.22	693.58	295.11	567.1	463.65	351.14	412.0	366.09	400.71	728.11	275.28	307.69	400.71	248.0
KPNA4	708.18	607.87	579.04	954.43	665.29	780.44	88.26	150.17	147.06	120.94	111.99	120.94	127.0	172.65	358.54	307.69	283.05	356.05	507.46	507.46	325.29	258.57	271.48	309.83	215.77	429.54	438.59	366.09	463.65	435.55	325.29	371.22	397.93	579.04	551.56	389.72	403.5	397.93	248.0
LRRC42	660.68	642.59	808.0	708.18	738.29	775.05	264.03	642.59	237.86	429.54	291.04	220.32	287.01	457.25	358.54	486.75	483.38	679.29	607.87	688.78	514.56	409.15	587.13	563.18	414.87	575.03	718.08	463.65	764.36	563.18	684.02	684.02	486.75	603.67	780.44	616.37	616.37	624.99	493.56
LSM12	947.83	813.63	921.88	988.12	1191.69	872.1	371.22	497.0	486.75	480.04	334.46	463.65	406.31	476.71	743.43	660.68	791.35	511.0	848.22	842.36	796.86	656.11	587.13	591.22	547.75	688.78	633.73	660.68	693.58	775.05	529.06	660.68	583.07	813.63	988.12	769.69	612.11	808.0	579.04
LXN	1651.0	759.08	483.38	1757.34	1331.57	1277.29	26.67	71.5	33.78	28.04	36.27	16.63	37.32	121.79	860.08	457.25	500.46	988.12	532.74	1540.37	866.07	1119.56	470.14	738.29	559.28	743.43	1119.56	470.14	1340.84	559.28	808.0	620.67	599.49	647.07	6164.49	1096.5	447.82	395.18	269.6
MPHOSPH6	1015.93	1081.39	796.86	1081.39	808.0	2895.31	108.14	148.09	260.38	146.03	146.03	139.07	88.26	167.9	463.65	493.56	267.73	444.72	463.65	318.57	358.54	457.25	363.56	395.18	371.22	444.72	647.07	486.75	620.67	363.56	305.55	387.02	329.84	353.59	769.69	547.75	406.31	420.68	463.65
MSMB	214.27	97.36	146.03	54.72	152.28	228.13	0.0	6.46	6.89	4.94	11.04	16.27	0.0	22.92	894051.48	783730.52	711250.37	1019901.63	811368.76	778316.89	691801.16	706337.4	554180.87	845824.19	1212874.47	778316.89	1264380.15	1308968.45	1139523.1	1171559.48	919186.72	958220.73	577714.63	919186.72	211455.3	1645391.11	894051.48	619179.28	762299.34
MTRF1L	325.29	336.79	343.89	403.5	334.46	480.04	60.39	122.64	141.02	140.04	132.44	96.01	136.19	134.3	262.2	277.2	226.54	246.28	295.11	285.03	258.57	241.19	248.0	220.32	234.57	256.78	325.29	269.6	316.37	275.28	217.27	281.09	237.86	273.37	371.22	212.78	215.77	249.73	154.42
NAA15	454.09	450.94	656.11	521.76	665.29	587.13	31.22	81.14	119.26	94.01	72.01	74.58	82.87	78.34	169.07	202.66	141.02	218.79	285.03	251.48	198.47	186.4	165.57	175.07	141.02	215.77	212.78	157.68	217.27	202.66	187.71	206.94	199.85	277.2	320.8	181.28	229.72	197.09	139.07
NANP	86.43	95.34	131.51	103.69	72.52	108.9	28.65	45.21	60.82	47.84	45.21	37.32	38.67	36.01	47.84	45.21	38.67	51.71	63.0	62.56	47.84	38.4	41.52	43.63	37.85	55.49	63.89	37.59	81.14	46.84	42.71	55.49	52.45	68.55	68.07	37.32	54.72	56.28	32.13
NAP1L5	177.53	218.79	146.03	277.2	214.27	429.54	37.05	46.18	91.41	42.11	39.22	80.01	84.04	85.22	139.07	124.37	166.73	141.02	150.17	318.57	105.89	69.03	144.01	115.16	191.67	111.21	129.69	146.03	194.36	127.0	206.94	169.07	88.88	236.21	733.19	204.07	172.65	167.9	145.02
PNO1	748.61	406.31	454.09	620.67	866.07	417.77	117.6	156.59	126.12	147.06	84.04	129.69	102.25	143.01	356.05	307.69	273.37	314.17	339.14	435.55	320.8	414.87	251.48	279.14	242.88	358.54	571.05	309.83	514.56	293.07	208.38	309.83	260.38	432.53	543.96	348.71	283.05	348.71	191.67
PPHLN1	1051.79	1233.75	1199.98	1350.18	1467.37	1651.0	363.56	423.61	281.09	323.03	303.44	309.83	450.94	438.59	674.59	718.08	633.73	728.11	819.3	698.41	769.69	669.92	587.13	674.59	769.69	759.08	1037.29	587.13	1191.69	808.0	738.29	872.1	796.86	836.53	961.07	780.44	836.53	796.86	579.04
PPIL4	703.28	669.92	708.18	1008.9	669.92	1143.1	43.32	180.02	232.94	204.07	271.48	228.13	242.88	223.41	373.81	536.45	291.04	444.72	540.19	579.04	444.72	316.37	373.81	368.65	470.14	460.44	571.05	389.72	616.37	483.38	503.95	486.75	473.41	543.96	703.28	450.94	551.56	368.65	348.71
PPP2CB	1923.14	2591.27	2468.49	3212.66	2895.31	3820.7	995.0	1143.1	1216.75	780.44	1322.37	1008.9	785.88	1498.22	1628.26	1561.89	1427.22	1896.65	2075.59	1806.78	1745.2	1697.45	1745.2	1819.35	1561.89	1674.06	1857.6	1991.0	2032.85	1896.65	1745.2	1963.57	1628.26	2163.77	1709.26	1794.29	1397.83	1617.0	1277.29
RAB9A	819.3	974.5	1030.12	1397.83	1183.45	2178.83	255.0	307.69	197.09	271.48	211.31	303.44	493.56	507.46	595.34	559.28	555.41	647.07	718.08	764.36	764.36	830.75	595.34	571.05	669.92	703.28	1001.93	540.19	1081.39	651.58	665.29	665.29	728.11	759.08	1250.98	698.41	743.43	733.19	624.99
RBM34	1709.26	1594.73	1651.0	2163.77	1781.89	2133.97	457.25	441.64	785.88	866.07	483.38	503.95	616.37	713.11	1135.2	1143.1	1250.98	1119.56	1250.98	1037.29	1388.16	1088.92	1127.35	1127.35	1119.56	1286.18	1175.27	1051.79	1277.29	1015.93	866.07	1159.07	961.07	896.64	1697.45	813.63	780.44	878.17	769.69
RHEB	3515.68	2682.69	2335.28	3639.7	3820.7	6381.92	1001.93	902.89	1167.14	1066.48	934.76	1059.11	1081.39	1001.93	2004.85	2627.46	2075.59	2400.97	2895.31	2591.27	1794.29	1794.29	2119.22	2224.63	2303.12	2384.37	4152.18	2335.28	3235.01	2193.99	1909.85	2976.74	2148.82	2758.13	2739.08	2591.27	2061.24	2018.8	1561.89
RIOK2	638.15	490.14	808.0	813.63	567.1	406.31	193.01	209.84	336.79	202.66	205.5	215.77	189.02	181.28	361.04	432.53	336.79	366.09	379.04	454.09	346.29	397.93	297.17	373.81	480.04	264.03	285.03	281.09	400.71	301.33	303.44	414.87	368.65	395.18	785.88	260.38	287.01	258.57	217.27
RNF11	2609.3	3303.0	3540.14	4038.61	2682.69	6121.9	728.11	753.83	603.67	1104.13	620.67	825.0	1151.06	1233.75	1277.29	1340.84	1350.18	1583.71	1991.0	2255.7	1313.23	1437.15	1167.14	1427.22	1233.75	2104.58	2163.77	1572.76	2555.58	2061.24	1806.78	1639.59	1583.71	2758.13	2335.28	1963.57	1697.45	1628.26	1023.0
RPAP3	532.74	612.11	884.29	642.59	684.02	612.11	40.07	215.77	123.5	104.42	121.79	143.01	125.24	237.86	287.01	356.05	264.03	343.89	423.61	412.0	307.69	251.48	297.17	314.17	258.57	348.71	389.72	255.0	536.45	358.54	368.65	400.71	316.37	435.55	540.19	406.31	420.68	334.46	236.21
RPF1	934.76	866.07	830.75	1127.35	1769.57	1191.69	361.04	356.05	406.31	348.71	267.73	305.55	366.09	435.55	612.11	698.41	567.1	674.59	802.41	693.58	629.35	753.83	555.41	656.11	651.58	759.08	954.43	665.29	954.43	688.78	638.15	684.02	651.58	830.75	896.64	679.29	607.87	780.44	371.22
SAR1A	1662.49	2255.7	2061.24	2591.27	1909.85	2018.8	753.83	974.5	665.29	842.36	693.58	791.35	842.36	988.12	1183.45	1369.04	1313.23	1359.57	1639.59	1617.0	1233.75	1250.98	1208.34	1216.75	1313.23	1447.15	1594.73	1208.34	1709.26	1457.23	1151.06	1427.22	1167.14	1617.0	1519.15	1447.15	1583.71	1447.15	1015.93
SH3GLB1	2255.7	2163.77	1896.65	2682.69	2271.4	2935.74	267.73	656.11	373.81	417.77	262.2	318.57	441.64	718.08	738.29	915.51	743.43	854.13	1037.29	896.64	819.3	713.11	748.61	878.17	703.28	1023.0	1175.27	785.88	1322.37	872.1	866.07	941.27	1030.12	1104.13	1175.27	1001.93	947.83	961.07	633.73
SMNDC1	651.58	642.59	796.86	764.36	629.35	848.22	137.14	156.59	182.55	187.71	142.01	110.43	253.23	336.79	299.25	389.72	264.03	341.51	409.15	420.68	329.84	258.57	305.55	368.65	297.17	395.18	409.15	271.48	511.0	346.29	384.34	397.93	358.54	497.0	525.39	368.65	409.15	320.8	170.25
SPATA5L1	234.57	186.4	346.29	379.04	269.6	205.5	70.51	120.1	155.5	100.13	177.53	83.45	115.97	120.94	136.19	253.23	126.12	187.71	148.09	161.02	170.25	149.12	178.77	176.29	164.42	163.28	145.02	145.02	193.01	120.94	133.36	234.57	164.42	147.06	351.14	122.64	147.06	154.42	128.79
SPRTN	223.41	195.72	275.28	208.38	77.25	157.68	38.67	67.59	69.52	45.53	47.17	36.53	48.52	57.08	92.05	90.14	72.52	80.57	95.34	127.0	76.71	90.77	75.64	81.14	106.63	100.13	85.22	81.14	130.6	90.77	110.43	90.14	92.7	116.78	153.34	89.51	102.97	87.65	53.19
SRFBP1	191.67	251.48	277.2	336.79	551.56	307.69	15.68	47.84	73.03	43.02	36.79	40.36	100.83	48.52	117.6	115.97	78.34	132.44	141.02	152.28	103.69	106.63	89.51	100.83	111.21	127.89	136.19	98.73	169.07	124.37	105.15	96.01	139.07	171.45	251.48	145.02	114.36	122.64	52.08
STRAP	2591.27	2417.67	2816.11	3349.13	3589.58	2997.45	1250.98	1295.13	1295.13	1277.29	915.51	1313.23	813.63	1030.12	1639.59	1685.71	1457.23	1896.65	1909.85	2163.77	1745.2	1119.56	1605.83	1447.15	1923.14	1757.34	2351.53	1628.26	2178.83	1628.26	1685.71	1561.89	1350.18	1977.24	3168.41	1697.45	1540.37	1639.59	1167.14
TP53RK	332.14	329.84	389.72	435.55	435.55	327.56	73.03	89.51	72.01	84.63	39.79	52.82	83.45	72.01	289.02	242.88	303.44	248.0	339.14	470.14	325.29	293.07	236.21	256.78	312.0	283.05	387.02	275.28	470.14	332.14	251.48	271.48	271.48	343.89	463.65	275.28	251.48	301.33	182.55
TRMT6	346.29	346.29	432.53	426.57	595.34	511.0	57.08	86.43	117.6	92.7	62.56	100.83	69.03	100.13	128.79	149.12	165.57	190.34	220.32	373.81	186.4	182.55	140.04	157.68	167.9	187.71	212.78	121.79	253.23	195.72	198.47	204.07	198.47	320.8	511.0	353.59	220.32	253.23	115.16
UBE2A	1639.59	1378.57	1508.65	1757.34	1427.22	2075.59	395.18	518.15	348.71	363.56	307.69	373.81	329.84	518.15	988.12	941.27	808.0	921.88	1066.48	1030.12	909.17	791.35	872.1	961.07	1023.0	1127.35	1628.26	941.27	1651.0	1023.0	928.3	1088.92	872.1	1199.98	1259.69	1030.12	981.29	1111.82	764.36
UBE2K	1605.83	1331.57	1628.26	1697.45	1605.83	1628.26	961.07	1119.56	693.58	902.89	921.88	665.29	753.83	616.37	1104.13	1104.13	836.53	1081.39	1127.35	1191.69	848.22	1044.52	866.07	961.07	928.3	1030.12	1304.15	995.0	1268.46	1066.48	890.44	1008.9	836.53	1233.75	1519.15	941.27	1199.98	902.89	848.22
VPS26A	1135.2	1605.83	1447.15	2004.85	1295.13	2209.26	220.32	379.04	205.5	283.05	297.17	316.37	327.56	457.25	698.41	728.11	595.34	896.64	1151.06	981.29	825.0	651.58	733.19	733.19	532.74	830.75	1175.27	693.58	1151.06	890.44	679.29	780.44	796.86	921.88	921.88	813.63	785.88	791.35	559.28
ZC3H15	1467.37	1437.15	1378.57	1498.22	2018.8	2032.85	246.28	616.37	543.96	679.29	529.06	529.06	555.41	688.78	890.44	1051.79	738.29	1001.93	1175.27	1159.07	961.07	769.69	902.89	934.76	921.88	1037.29	1359.57	872.1	1225.22	1059.11	934.76	1088.92	934.76	1313.23	1733.13	1044.52	909.17	1088.92	629.35
ZNF35	132.44	165.57	166.73	171.45	194.36	146.03	16.39	14.24	53.57	12.93	13.42	21.47	14.35	27.25	59.13	86.43	71.5	92.7	102.25	157.68	54.33	57.49	84.04	78.89	58.3	93.35	88.26	53.57	149.12	76.71	79.45	80.01	90.77	103.69	122.64	60.82	81.14	94.67	70.51
