	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RM2N.1926.SM.48FCU	GTEX.ZPU1.0826.SM.57WG2	GTEX.131XE.0326.SM.5LZVO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.11UD2.0726.SM.5EQ69	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.X4EP.0526.SM.3P5YW
HSDL1	237.86	185.11	105.15	109.66	61.25	74.06	43.94	126.12	87.65	0.0	0.43	309.83	178.77	559.28	497.0	444.72	281.09	145.02	426.57	244.57	381.68	507.46	420.68	423.61	486.75	92.05	211.31	332.14	483.38	271.48	361.04	470.14	212.78
IGSF11	0.88	0.0	0.56	1.11	0.65	0.0	0.85	0.35	9.56	0.0	0.34	0.56	8.51	7.63	56.28	2.76	3.32	1.77	4.17	9.27	44.89	34.26	28.86	12.64	14.45	1.38	11.47	8.71	320.8	31.45	43.32	65.26	55.49
KCNIP4	5.32	2.2	2.2	3.06	4.5	3.69	6.16	3.29	12.93	0.0	0.13	6.41	13.72	12.27	18.84	22.92	22.1	8.58	13.62	30.78	14.35	29.7	16.39	24.99	26.1	4.98	16.51	16.15	16.03	15.34	17.13	21.16	12.0
KCNRG	4.5	3.2	1.91	2.23	1.2	4.66	6.36	7.11	2.18	0.0	0.0	361.04	206.94	480.04	307.69	149.12	277.2	68.55	325.29	283.05	371.22	287.01	348.71	575.03	769.69	19.11	214.27	665.29	599.49	241.19	466.88	595.34	34.26
KIAA1737	80.57	111.21	75.11	62.56	63.89	158.79	119.26	198.47	162.14	0.0	0.47	463.65	379.04	543.96	718.08	223.41	387.02	438.59	327.56	470.14	435.55	493.56	371.22	603.67	454.09	199.85	698.41	547.75	612.11	389.72	500.46	476.71	141.02
LRP2BP	13.22	6.01	3.5	13.42	10.63	10.08	3.59	3.82	19.97	0.0	0.21	68.55	53.57	183.82	223.41	108.14	59.13	74.06	130.6	162.14	603.67	126.12	104.42	234.57	126.12	46.5	84.63	136.19	309.83	70.01	124.37	151.22	26.28
MBIP	201.25	169.07	204.07	171.45	329.84	361.04	373.81	417.77	460.44	518.15	267.73	2739.08	423.61	1651.0	2193.99	1369.04	1417.35	503.95	2400.97	1322.37	3820.7	1540.37	1936.53	3794.3	1551.09	718.08	1628.26	4543.8	2895.31	878.17	1617.0	2573.36	356.05
MKX	4.5	16.51	4.66	0.0	0.68	13.52	4.74	24.46	11.73	0.0	0.13	27.25	40.64	37.59	43.63	24.46	30.12	3.59	13.03	40.36	24.99	87.03	52.45	63.0	104.42	6.57	13.52	145.02	132.44	14.89	39.22	105.15	10.63
MYLK3	1.68	0.51	3.47	0.41	0.59	0.0	5.02	0.0	2.18	0.0	0.0	7.17	12.36	21.78	26.47	19.11	28.04	22.43	20.41	37.05	17.13	60.39	30.12	48.52	22.92	4.17	14.67	80.57	15.0	10.24	13.32	24.11	1.81
NFX1	122.64	221.86	346.29	271.48	141.02	283.05	348.71	329.84	285.03	412.0	125.24	521.76	258.57	463.65	358.54	397.93	287.01	529.06	540.19	607.87	708.18	723.08	540.19	651.58	426.57	351.14	356.05	490.14	733.19	329.84	551.56	571.05	454.09
OCRL	164.42	215.77	161.02	157.68	190.34	108.14	111.99	136.19	63.45	0.0	0.74	273.37	162.14	307.69	242.88	215.77	206.94	212.78	211.31	295.11	356.05	409.15	351.14	248.0	186.4	182.55	194.36	273.37	305.55	253.23	269.6	279.14	211.31
OSBPL6	2.56	5.73	9.48	23.76	21.94	83.45	75.64	107.38	85.82	55.89	87.03	312.0	289.02	753.83	470.14	389.72	507.46	159.9	547.75	703.28	616.37	1427.22	713.11	599.49	836.53	54.72	669.92	1073.91	532.74	450.94	486.75	1191.69	43.94
PCLO	0.31	0.0	0.0	0.0	0.0	3.06	10.31	0.0	1.73	0.0	0.09	24.28	9.34	30.12	34.26	9.41	5.02	10.71	30.56	34.51	127.0	71.5	28.04	61.68	67.59	6.78	35.0	54.33	39.79	22.75	182.55	124.37	5.92
PLA2G1B	5.68	13.32	104.42	36.27	78.34	12.55	44.89	56.28	2.29	0.0	0.0	3419.52	56.68	860.08	154.42	2468.49	92.7	44.89	967.76	201.25	13123.73	1498.22	3614.55	7589.61	82.29	135.24	412.0	1397.83	5711.87	107.38	244.57	5517.27	253.23
POLH	42.41	49.21	98.73	68.55	80.01	37.32	55.49	50.27	100.83	0.0	0.25	101.54	56.28	198.47	103.69	140.04	122.64	100.13	255.0	103.69	197.09	264.03	152.28	214.27	177.53	80.57	105.89	136.19	180.02	127.0	128.79	248.0	87.03
PRKAG2	703.28	241.19	115.97	199.85	249.73	267.73	366.09	185.11	262.2	0.0	0.59	368.65	295.11	583.07	674.59	381.68	267.73	214.27	819.3	583.07	555.41	703.28	318.57	748.61	373.81	269.6	373.81	318.57	819.3	518.15	351.14	607.87	214.27
PRMT8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.91	21.63	40.64	363.56	454.09	54.33	42.41	108.14	392.44	115.16	303.44	208.38	371.22	161.02	1.77	38.67	41.22	29.27	186.4	113.56	246.28	7.88
PRR5-ARHGAP8	0.29	0.0	1.95	0.0	0.0	4.5	1.6	5.96	0.0	0.0	0.0	40.07	12.36	26.67	14.35	0.0	14.56	11.64	21.32	12.83	36.53	23.08	31.0	40.93	13.12	2.86	15.11	34.26	24.99	0.0	8.65	27.05	11.38
PTPN13	33.54	1.83	1.83	2.12	0.69	19.25	14.45	2.43	27.64	0.0	0.2	511.0	109.66	563.18	341.51	260.38	93.35	72.01	1151.06	480.04	1111.82	277.2	842.36	748.61	309.83	79.45	223.41	660.68	884.29	248.0	403.5	1175.27	57.49
RABGAP1	116.78	93.35	120.94	107.38	145.02	140.04	113.56	193.01	76.71	271.48	87.03	507.46	353.59	665.29	500.46	392.44	412.0	323.03	708.18	748.61	802.41	909.17	674.59	638.15	532.74	426.57	493.56	624.99	718.08	684.02	470.14	947.83	371.22
SCGB1A1	0.0	0.0	0.0	0.0	0.0	6.52	0.0	5.23	0.0	0.0	0.0	3336720.86	2581895.97	2141216.62	3178687.03	2343119.96	1739208.14	303217.87	3156730.23	2691538.19	3178687.03	1556634.79	3091765.64	3968052.37	3134925.09	6887.62	2392353.91	2825352.59	2691538.19	998912.34	1255646.43	3070409.25	41763.8
SECISBP2L	51.35	63.0	47.5	48.18	142.01	177.53	163.28	256.78	129.69	0.0	0.11	753.83	583.07	921.88	738.29	595.34	486.75	258.57	921.88	796.86	1331.57	825.0	825.0	896.64	616.37	579.04	748.61	1277.29	884.29	718.08	529.06	1709.26	223.41
SLC29A2	42.71	61.25	11.55	9.48	12.27	40.36	6.46	13.72	26.86	0.0	0.16	112.77	77.25	229.72	164.42	146.03	133.36	94.01	211.31	138.1	409.15	181.28	221.86	260.38	142.01	50.63	66.18	126.12	409.15	96.01	167.9	195.72	88.26
SLITRK6	7.51	0.0	0.42	0.34	0.51	1.16	2.12	6.62	3.11	0.0	0.0	72.01	21.47	171.45	314.17	543.96	189.02	111.99	110.43	612.11	145.02	1081.39	909.17	890.44	915.51	5.23	151.22	98.73	708.18	665.29	669.92	1397.83	13.03
SNX25	183.82	81.14	68.07	78.89	84.04	121.79	143.01	249.73	215.77	0.0	0.0	607.87	414.87	693.58	620.67	373.81	281.09	320.8	733.19	450.94	2032.85	438.59	813.63	1015.93	323.03	312.0	514.56	708.18	836.53	368.65	503.95	961.07	358.54
SPPL3	299.25	277.2	384.34	356.05	262.2	389.72	470.14	363.56	271.48	571.05	109.66	974.5	316.37	884.29	738.29	1175.27	454.09	733.19	1295.13	718.08	1259.69	1322.37	1233.75	738.29	633.73	674.59	607.87	703.28	1127.35	748.61	486.75	1540.37	414.87
TCP11	3.38	0.51	0.0	2.36	4.03	1.93	0.57	4.13	0.87	0.0	0.05	39.22	29.91	29.7	59.97	24.46	54.33	7.69	95.34	72.52	37.32	105.89	41.81	125.24	32.36	6.73	59.13	81.14	162.14	18.43	28.24	41.81	3.53
TMEM55B	397.93	406.31	559.28	503.95	500.46	368.65	244.57	361.04	466.88	0.0	0.85	967.76	603.67	1073.91	995.0	967.76	587.13	536.45	928.3	780.44	1233.75	1066.48	866.07	1388.16	764.36	490.14	954.43	802.41	1066.48	693.58	595.34	884.29	660.68
TTC30A	14.35	5.15	8.25	21.01	21.32	47.5	28.24	62.12	16.15	0.0	0.0	72.01	46.18	156.59	80.57	118.43	69.52	34.02	111.99	82.29	137.14	144.01	141.02	212.78	143.01	12.27	73.03	178.77	195.72	104.42	97.36	177.53	46.5
TTC30B	37.05	7.69	12.45	10.79	18.97	24.99	21.16	32.36	28.45	0.0	0.0	111.21	81.71	185.11	103.69	156.59	85.82	64.34	165.57	112.77	201.25	173.85	187.71	271.48	185.11	15.0	98.04	161.02	253.23	115.16	142.01	237.86	39.5
TTC8	255.0	122.64	81.14	164.42	279.14	194.36	185.11	229.72	72.52	0.0	0.06	334.46	260.38	463.65	529.06	454.09	343.89	145.02	341.51	332.14	379.04	348.71	486.75	429.54	532.74	89.51	297.17	525.39	463.65	339.14	444.72	457.25	129.69
USP51	3.69	2.39	5.28	0.72	1.5	10.96	1.04	25.54	4.82	0.0	0.0	22.43	24.46	71.5	29.7	45.85	35.25	13.52	67.12	56.28	117.6	47.5	75.64	116.78	78.89	6.84	29.91	40.36	137.14	39.22	37.59	106.63	17.0
WIF1	1.41	0.0	0.0	0.0	0.0	3.92	0.0	6.31	12.64	0.0	0.0	9215.48	450.94	5479.15	1769.57	1769.57	473.41	66.65	2976.74	1709.26	4239.45	1936.53	12329.98	16269.83	493.56	343.89	791.35	3467.27	890.44	525.39	708.18	12076.21	20.11
ZFYVE26	56.28	75.64	86.43	78.89	74.06	29.48	40.93	61.68	70.51	0.0	0.45	211.31	85.82	295.11	128.79	121.79	120.94	88.26	309.83	175.07	323.03	348.71	275.28	180.02	181.28	162.14	169.07	234.57	223.41	182.55	172.65	271.48	135.24
ZNF321P	1.14	0.0	0.0	0.0	0.0	6.01	0.0	4.28	0.58	0.0	0.12	8.13	3.14	21.94	18.84	1.35	14.78	2.97	9.27	9.41	46.18	22.92	23.42	9.06	4.35	11.82	2.23	6.41	20.41	8.19	20.86	10.88	11.73
