	TCGA.4Z.AA84.01A.11R.A39I.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.C8.A12P.01A.11R.A115.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.97.8547.01A.11R.2403.07	TCGA.55.A490.01A.11R.A466.07	TCGA.62.8397.01A.11R.2326.07	TCGA.CG.5724.01A.11R.1602.13	TCGA.VQ.A8E7.01B.11R.A414.31	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.D7.A6EY.01A.21R.A31P.31	TCGA.VQ.A91S.01A.11R.A414.31	TCGA.MX.A5UJ.01A.11R.A31P.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4H4.01A.21R.A251.31	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A94U.01A.12R.A414.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PJ.01A.11R.A414.31	TCGA.D7.6526.01A.11R.1802.13	TCGA.VQ.A8PO.01A.11R.A414.31	TCGA.CG.5719.01A.11R.1602.13	TCGA.CD.5804.01A.12R.2055.13	TCGA.BR.6453.01A.11R.1802.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A2CO.01A.11R.A19O.07
ARL5B	127.89	163.28	291.04	417.77	135.24	336.79	87.03	80.01	262.2	148.09	336.79	271.48	307.69	133.36	181.28	223.41	204.07	100.13	152.28	134.3	229.72	309.83	303.44	237.86	198.47	137.14	265.87	132.44	51.35	38.67	19.39	71.5	40.93	183.82	191.67	60.82	140.04	121.79	75.64	96.68	432.53	251.48	183.82	412.0	154.42	441.64	343.89	287.01	303.44	256.78	277.2	332.14	339.14	226.54	429.54	103.69	81.14	87.65	256.78	89.51	89.51
ASCC3	323.03	281.09	316.37	271.48	532.74	301.33	780.44	341.51	346.29	226.54	447.82	358.54	432.53	223.41	454.09	511.0	314.17	497.0	373.81	231.32	195.72	223.41	497.0	547.75	236.21	1119.56	669.92	384.34	239.52	208.38	108.9	218.79	166.73	669.92	363.56	142.01	273.37	228.13	301.33	253.23	409.15	334.46	607.87	708.18	346.29	728.11	450.94	429.54	470.14	688.78	269.6	297.17	521.76	723.08	679.29	186.4	208.38	368.65	423.61	435.55	283.05
ATP6V0A2	271.48	96.68	107.38	208.38	112.77	107.38	77.25	187.71	204.07	135.24	194.36	285.03	100.83	162.14	127.0	384.34	147.06	81.14	104.42	103.69	114.36	116.78	175.07	224.97	177.53	171.45	303.44	92.05	48.18	75.11	82.87	82.29	94.67	66.65	73.54	52.82	202.66	293.07	115.97	223.41	379.04	318.57	303.44	669.92	256.78	271.48	255.0	339.14	529.06	376.41	217.27	466.88	336.79	366.09	327.56	215.77	132.44	182.55	307.69	135.24	186.4
ATRX	178.77	185.11	153.34	251.48	140.04	148.09	289.02	190.34	232.94	114.36	283.05	248.0	175.07	214.27	111.99	133.36	149.12	202.66	159.9	141.02	295.11	178.77	206.94	283.05	334.46	307.69	191.67	118.43	114.36	69.52	25.35	148.09	50.63	70.51	45.85	27.25	239.52	142.01	201.25	158.79	438.59	934.76	476.71	703.28	426.57	460.44	511.0	629.35	1030.12	591.22	679.29	547.75	660.68	244.57	457.25	271.48	275.28	262.2	339.14	194.36	239.52
BCLAF1	954.43	775.05	1135.2	934.76	1088.92	571.05	1896.65	713.11	1015.93	518.15	836.53	1015.93	426.57	785.88	1008.9	1378.57	647.07	947.83	753.83	571.05	1697.45	791.35	981.29	1277.29	1417.35	1561.89	1167.14	503.95	327.56	299.25	85.22	403.5	165.57	194.36	234.57	140.04	703.28	1806.78	759.08	748.61	1594.73	1529.73	1819.35	2148.82	1457.23	1605.83	1529.73	1508.65	1991.0	2032.85	1583.71	2434.5	1331.57	1437.15	1417.35	651.58	540.19	1030.12	1295.13	753.83	567.1
BIRC2	660.68	647.07	384.34	397.93	356.05	890.44	693.58	575.03	684.02	555.41	638.15	638.15	808.0	529.06	813.63	629.35	555.41	651.58	543.96	651.58	521.76	450.94	616.37	571.05	624.99	813.63	718.08	536.45	262.2	336.79	239.52	514.56	371.22	480.04	373.81	295.11	540.19	307.69	297.17	423.61	612.11	1037.29	713.11	1175.27	791.35	480.04	575.03	896.64	836.53	808.0	733.19	536.45	507.46	884.29	642.59	409.15	575.03	753.83	748.61	244.57	387.02
BIRC6	368.65	463.65	426.57	551.56	511.0	332.14	796.86	607.87	571.05	327.56	612.11	525.39	318.57	612.11	536.45	435.55	438.59	454.09	293.07	262.2	624.99	409.15	476.71	500.46	830.75	620.67	713.11	447.82	253.23	289.02	204.07	293.07	194.36	275.28	190.34	212.78	507.46	743.43	348.71	358.54	909.17	775.05	791.35	595.34	693.58	785.88	796.86	974.5	1081.39	808.0	775.05	1015.93	665.29	603.67	775.05	473.41	339.14	540.19	620.67	432.53	305.55
BMS1	334.46	164.42	148.09	341.51	454.09	277.2	249.73	214.27	199.85	191.67	417.77	267.73	156.59	170.25	228.13	281.09	205.5	190.34	258.57	205.5	217.27	295.11	348.71	212.78	500.46	258.57	285.03	228.13	114.36	97.36	85.22	144.01	120.1	73.54	116.78	66.18	277.2	368.65	214.27	228.13	307.69	301.33	373.81	353.59	309.83	275.28	389.72	265.87	389.72	414.87	273.37	371.22	258.57	265.87	323.03	197.09	165.57	208.38	237.86	142.01	163.28
BRD4	928.3	466.88	532.74	607.87	738.29	567.1	693.58	743.43	748.61	476.71	896.64	493.56	476.71	651.58	775.05	669.92	647.07	423.61	417.77	412.0	703.28	796.86	669.92	1023.0	624.99	384.34	1208.34	909.17	358.54	353.59	450.94	381.68	540.19	295.11	420.68	392.44	728.11	902.89	414.87	848.22	1639.59	1259.69	1304.15	1769.57	1127.35	1051.79	854.13	1286.18	1259.69	1350.18	1059.11	1540.37	1806.78	1081.39	1250.98	981.29	638.15	902.89	902.89	318.57	733.19
C9orf38	0.0	0.68	0.0	0.0	0.61	0.0	0.0	0.71	0.31	0.33	0.0	0.36	0.0	0.37	0.0	0.0	0.35	0.78	0.62	0.36	0.32	0.0	0.31	1.22	0.0	0.0	1.53	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.83	5.54	4.28	16.63	3.82	4.39	8.71	10.31	10.24	5.15	5.5	2.34	1.95	1.43	3.82	1.35	2.16	2.81	2.53	0.0	0.0
CAPRIN1	1175.27	1909.85	1529.73	1457.23	1936.53	1651.0	1883.54	1359.57	1498.22	1467.37	1819.35	1397.83	1594.73	1662.49	1923.14	2061.24	1331.57	1832.01	1819.35	1561.89	2287.2	1508.65	2133.97	1572.76	2400.97	2468.49	1794.29	1457.23	1529.73	1781.89	808.0	1709.26	1819.35	1242.34	1225.22	656.11	1733.13	1781.89	1936.53	1208.34	1561.89	2520.38	2796.65	3928.15	2451.44	4607.24	2485.67	2018.8	5183.54	3190.46	3190.46	3103.19	2468.49	1936.53	2520.38	1628.26	1487.87	1745.2	2434.5	1477.58	1268.46
CASP2	660.68	366.09	514.56	409.15	435.55	293.07	348.71	368.65	603.67	260.38	624.99	866.07	329.84	295.11	842.36	255.0	532.74	309.83	470.14	366.09	400.71	297.17	253.23	759.08	483.38	435.55	325.29	226.54	117.6	143.01	155.5	162.14	366.09	77.25	94.01	57.49	329.84	450.94	231.32	287.01	674.59	473.41	656.11	753.83	466.88	514.56	381.68	507.46	466.88	647.07	595.34	591.22	275.28	273.37	567.1	295.11	327.56	314.17	353.59	198.47	239.52
CCNJ	91.41	76.17	75.64	143.01	141.02	106.63	101.54	64.34	148.09	47.17	82.29	64.34	78.34	85.22	129.69	232.94	80.57	127.0	95.34	68.55	117.6	97.36	102.97	100.83	103.69	107.38	92.05	43.63	18.56	18.97	21.01	43.94	33.78	21.63	14.14	8.0	64.34	103.69	49.21	78.34	113.56	125.24	123.5	206.94	133.36	105.15	104.42	84.63	157.68	117.6	115.97	157.68	114.36	130.6	136.19	53.19	62.12	59.97	101.54	91.41	55.89
CCNT1	105.89	155.5	128.79	120.1	111.21	103.69	81.71	147.06	131.51	95.34	185.11	178.77	74.58	123.5	199.85	169.07	111.21	79.45	86.43	80.01	273.37	161.02	77.79	165.57	170.25	232.94	228.13	112.77	69.03	48.18	41.22	69.52	140.04	56.68	52.82	38.67	149.12	195.72	123.5	120.1	289.02	193.01	262.2	293.07	201.25	162.14	269.6	236.21	269.6	260.38	201.25	629.35	229.72	253.23	177.53	135.24	70.01	149.12	163.28	124.37	142.01
CDC5L	258.57	146.03	224.97	281.09	194.36	212.78	351.14	187.71	262.2	242.88	299.25	343.89	260.38	253.23	258.57	212.78	181.28	180.02	273.37	181.28	244.57	237.86	218.79	470.14	348.71	199.85	224.97	178.77	137.14	83.45	43.63	143.01	89.51	149.12	199.85	105.15	182.55	228.13	201.25	186.4	295.11	316.37	343.89	389.72	307.69	316.37	320.8	249.73	309.83	314.17	269.6	1023.0	281.09	248.0	242.88	185.11	175.07	206.94	249.73	161.02	157.68
CDK8	555.41	283.05	318.57	269.6	379.04	198.47	473.41	454.09	420.68	178.77	384.34	260.38	429.54	591.22	454.09	356.05	358.54	334.46	229.72	255.0	718.08	205.5	483.38	403.5	343.89	563.18	444.72	271.48	113.56	138.1	102.97	221.86	114.36	178.77	161.02	92.05	136.19	232.94	135.24	189.02	595.34	432.53	291.04	521.76	529.06	511.0	371.22	376.41	460.44	447.82	409.15	540.19	406.31	490.14	376.41	190.34	218.79	258.57	262.2	191.67	239.52
CEP192	575.03	346.29	237.86	215.77	193.01	199.85	158.79	231.32	348.71	285.03	214.27	253.23	511.0	145.02	271.48	138.1	176.29	265.87	215.77	112.77	376.41	197.09	195.72	297.17	129.69	153.34	228.13	165.57	39.22	69.52	48.52	74.58	94.67	73.54	82.29	49.21	248.0	287.01	181.28	226.54	303.44	660.68	285.03	409.15	339.14	346.29	473.41	559.28	255.0	450.94	438.59	441.64	334.46	457.25	514.56	161.02	299.25	271.48	258.57	142.01	146.03
CHRAC1	1529.73	860.08	466.88	796.86	848.22	460.44	698.41	521.76	698.41	406.31	785.88	665.29	575.03	713.11	463.65	599.49	351.14	320.8	412.0	555.41	674.59	493.56	571.05	420.68	246.28	231.32	507.46	928.3	387.02	457.25	366.09	555.41	470.14	454.09	579.04	171.45	473.41	1757.34	551.56	571.05	1127.35	967.76	808.0	1870.53	1268.46	988.12	941.27	595.34	587.13	941.27	941.27	1159.07	884.29	1066.48	1073.91	780.44	802.41	759.08	808.0	441.64	591.22
CPSF6	775.05	616.37	748.61	1167.14	1447.15	651.58	1127.35	713.11	819.3	571.05	830.75	961.07	698.41	872.1	1519.15	1407.55	769.69	909.17	1183.45	796.86	1685.71	1073.91	842.36	1030.12	947.83	1268.46	1023.0	674.59	403.5	373.81	351.14	532.74	414.87	376.41	476.71	232.94	728.11	1268.46	555.41	679.29	884.29	941.27	748.61	1191.69	802.41	860.08	974.5	928.3	981.29	909.17	796.86	2319.15	974.5	1008.9	988.12	703.28	497.0	660.68	759.08	547.75	616.37
CSE1L	1594.73	902.89	1781.89	2739.08	2075.59	1745.2	1923.14	1721.16	1135.2	2209.26	1936.53	1066.48	1378.57	1208.34	988.12	2075.59	1111.82	848.22	1519.15	1286.18	1151.06	3190.46	1950.0	2468.49	1950.0	1857.6	1697.45	1096.5	373.81	426.57	277.2	412.0	447.82	647.07	540.19	269.6	454.09	698.41	679.29	1268.46	1313.23	1685.71	1378.57	2367.9	1350.18	3257.52	1832.01	884.29	1498.22	1359.57	1066.48	1832.01	1628.26	2090.03	1447.15	563.18	1457.23	769.69	753.83	525.39	669.92
CSNK1G3	447.82	167.9	121.79	262.2	264.03	218.79	242.88	295.11	228.13	199.85	381.68	397.93	206.94	255.0	248.0	262.2	239.52	297.17	220.32	195.72	327.56	307.69	450.94	289.02	336.79	426.57	295.11	195.72	108.14	122.64	37.32	153.34	88.26	150.17	110.43	99.43	144.01	205.5	157.68	273.37	178.77	463.65	271.48	476.71	318.57	551.56	314.17	293.07	351.14	406.31	529.06	329.84	260.38	248.0	336.79	244.57	149.12	251.48	339.14	141.02	197.09
CSPP1	293.07	98.04	137.14	162.14	102.97	126.12	121.79	212.78	135.24	108.14	109.66	199.85	65.26	267.73	175.07	76.17	125.24	220.32	172.65	169.07	136.19	88.26	123.5	299.25	102.97	74.58	146.03	84.04	85.22	19.97	13.42	101.54	33.3	78.89	183.82	16.03	55.49	117.6	70.51	239.52	305.55	303.44	262.2	435.55	343.89	239.52	220.32	242.88	397.93	309.83	295.11	612.11	202.66	139.07	318.57	127.0	144.01	197.09	167.9	40.36	96.68
CUL2	521.76	361.04	211.31	540.19	780.44	438.59	341.51	412.0	486.75	348.71	860.08	961.07	432.53	251.48	417.77	728.11	376.41	371.22	441.64	426.57	435.55	432.53	536.45	780.44	612.11	470.14	447.82	312.0	157.68	128.79	43.63	241.19	86.43	256.78	185.11	71.0	318.57	221.86	221.86	305.55	470.14	483.38	532.74	656.11	363.56	961.07	620.67	395.18	587.13	587.13	395.18	1008.9	500.46	438.59	486.75	281.09	236.21	244.57	400.71	249.73	291.04
CWC22	412.0	193.01	215.77	215.77	231.32	232.94	392.44	171.45	202.66	217.27	277.2	251.48	334.46	172.65	229.72	187.71	193.01	251.48	202.66	187.71	363.56	256.78	291.04	221.86	336.79	412.0	358.54	239.52	212.78	56.28	23.42	123.5	24.81	87.03	115.97	40.36	251.48	320.8	181.28	119.26	314.17	363.56	332.14	325.29	279.14	381.68	327.56	309.83	287.01	406.31	351.14	397.93	334.46	214.27	336.79	201.25	201.25	228.13	236.21	164.42	139.07
DCAF17	182.55	80.01	111.21	106.63	109.66	117.6	163.28	92.05	117.6	67.59	129.69	106.63	95.34	101.54	135.24	68.55	75.11	84.63	74.58	51.71	144.01	93.35	113.56	119.26	79.45	265.87	301.33	144.01	53.19	64.34	40.36	72.01	53.57	31.9	28.65	29.27	172.65	72.01	49.21	69.03	195.72	224.97	186.4	256.78	205.5	169.07	191.67	234.57	249.73	267.73	193.01	205.5	163.28	164.42	201.25	106.63	78.34	105.15	163.28	100.13	103.69
DDX18	713.11	483.38	332.14	764.36	536.45	536.45	1143.1	363.56	599.49	368.65	988.12	540.19	583.07	351.14	466.88	660.68	483.38	480.04	642.59	493.56	723.08	603.67	785.88	759.08	1088.92	1487.87	1183.45	414.87	316.37	303.44	139.07	318.57	291.04	244.57	332.14	214.27	607.87	703.28	417.77	567.1	1191.69	1001.93	1119.56	1242.34	764.36	878.17	1896.65	902.89	1023.0	1477.58	947.83	1216.75	866.07	1037.29	954.43	860.08	656.11	1143.1	884.29	336.79	256.78
DDX20	206.94	145.02	113.56	106.63	242.88	123.5	91.41	122.64	104.42	86.43	112.77	129.69	147.06	214.27	125.24	198.47	101.54	137.14	209.84	69.52	204.07	187.71	126.12	151.22	158.79	125.24	116.78	102.97	69.52	71.0	41.81	80.57	64.34	57.08	74.06	32.82	91.41	128.79	100.83	79.45	209.84	176.29	178.77	249.73	169.07	232.94	175.07	135.24	264.03	202.66	211.31	301.33	137.14	153.34	120.1	120.1	107.38	177.53	157.68	98.73	105.89
DDX21	1806.78	332.14	379.04	1313.23	587.13	921.88	1551.09	507.46	753.83	301.33	775.05	775.05	351.14	351.14	642.59	1119.56	486.75	291.04	555.41	497.0	733.19	665.29	830.75	514.56	1037.29	981.29	1388.16	684.02	237.86	212.78	99.43	299.25	123.5	211.31	212.78	120.1	567.1	591.22	397.93	819.3	1923.14	1088.92	1369.04	1977.24	1015.93	921.88	1208.34	748.61	1498.22	1417.35	961.07	1340.84	1447.15	1605.83	1295.13	583.07	525.39	679.29	896.64	329.84	395.18
DDX46	511.0	287.01	206.94	669.92	397.93	379.04	860.08	518.15	551.56	368.65	583.07	674.59	220.32	381.68	583.07	629.35	514.56	444.72	358.54	258.57	450.94	728.11	547.75	723.08	669.92	785.88	532.74	403.5	217.27	202.66	98.73	185.11	127.89	181.28	327.56	126.12	525.39	507.46	457.25	599.49	629.35	1127.35	941.27	1044.52	890.44	941.27	961.07	909.17	1143.1	1023.0	1023.0	995.0	728.11	674.59	915.51	733.19	728.11	629.35	656.11	358.54	392.44
DENND4A	140.04	107.38	106.63	163.28	108.14	152.28	151.22	249.73	108.9	214.27	220.32	123.5	101.54	206.94	85.82	95.34	151.22	139.07	171.45	197.09	125.24	204.07	161.02	137.14	223.41	190.34	156.59	89.51	74.06	100.13	22.26	104.42	77.25	217.27	167.9	84.04	161.02	249.73	147.06	119.26	285.03	361.04	414.87	389.72	279.14	167.9	220.32	283.05	525.39	348.71	201.25	215.77	262.2	172.65	325.29	169.07	129.69	206.94	185.11	118.43	80.57
DENR	909.17	884.29	941.27	1427.22	1044.52	909.17	1023.0	1111.82	1059.11	813.63	1111.82	1250.98	738.29	775.05	764.36	1757.34	830.75	928.3	551.56	748.61	703.28	698.41	848.22	1199.98	890.44	1051.79	1037.29	1023.0	323.03	389.72	269.6	532.74	470.14	497.0	368.65	212.78	642.59	607.87	392.44	733.19	698.41	961.07	708.18	1313.23	775.05	1208.34	909.17	878.17	961.07	884.29	802.41	981.29	808.0	738.29	723.08	536.45	579.04	559.28	612.11	540.19	587.13
DHX15	1277.29	1369.04	1216.75	2367.9	1322.37	2061.24	2032.85	1540.37	1819.35	1936.53	1277.29	1572.76	1639.59	1617.0	1561.89	2061.24	1457.23	1832.01	1605.83	1183.45	1757.34	2384.37	1697.45	1769.57	1088.92	1628.26	2018.8	1583.71	567.1	748.61	660.68	733.19	759.08	647.07	713.11	406.31	1096.5	1159.07	1250.98	1709.26	1721.16	1639.59	2090.03	2956.17	2271.4	1437.15	2384.37	2018.8	2367.9	2555.58	2209.26	2090.03	1697.45	1923.14	2451.44	1359.57	981.29	1250.98	1745.2	813.63	884.29
