	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
ATG14	123.5	141.02	108.14	211.31	115.16	95.34	100.83	127.89	145.02	158.79	127.89	98.04	75.11	37.32	78.34	73.54	72.52	128.79	75.11	67.12	61.68	211.31	239.52	215.77	148.09	260.38	285.03	229.72	255.0	241.19	246.28	141.02	202.66	189.02	218.79	228.13	211.31	154.42	120.94	234.57	215.77	120.94	289.02	119.26	182.55	115.16	217.27	181.28	63.45	241.19	140.04	124.37	221.86
BAZ2A	289.02	307.69	323.03	473.41	497.0	256.78	356.05	241.19	251.48	420.68	426.57	205.5	264.03	95.34	129.69	94.67	209.84	106.63	132.44	209.84	96.01	860.08	1242.34	1199.98	872.1	909.17	967.76	1268.46	1073.91	2796.65	1191.69	1073.91	1909.85	813.63	872.1	1583.71	902.89	470.14	457.25	802.41	547.75	353.59	529.06	624.99	764.36	379.04	647.07	486.75	426.57	647.07	466.88	351.14	607.87
C11orf30	94.67	149.12	92.7	185.11	249.73	45.21	70.01	101.54	74.06	81.14	81.71	84.63	59.97	26.28	70.01	39.22	43.63	53.95	59.13	59.55	66.65	373.81	329.84	373.81	271.48	366.09	423.61	316.37	395.18	189.02	348.71	412.0	387.02	170.25	223.41	366.09	206.94	153.34	159.9	332.14	157.68	130.6	121.79	186.4	132.44	100.13	163.28	159.9	180.02	107.38	96.68	132.44	114.36
C11orf57	187.71	209.84	167.9	463.65	460.44	199.85	189.02	264.03	255.0	229.72	260.38	201.25	212.78	72.01	197.09	206.94	177.53	218.79	189.02	169.07	202.66	432.53	277.2	387.02	299.25	521.76	368.65	466.88	438.59	426.57	229.72	500.46	271.48	309.83	429.54	339.14	307.69	358.54	368.65	363.56	334.46	271.48	423.61	297.17	291.04	289.02	540.19	339.14	366.09	217.27	297.17	249.73	341.51
C1orf109	211.31	198.47	201.25	511.0	285.03	106.63	166.73	297.17	195.72	220.32	157.68	199.85	127.0	61.25	112.77	131.51	100.83	167.9	120.94	162.14	132.44	356.05	258.57	281.09	175.07	358.54	423.61	334.46	387.02	281.09	420.68	387.02	414.87	334.46	435.55	303.44	177.53	158.79	267.73	229.72	423.61	211.31	384.34	307.69	269.6	239.52	181.28	279.14	387.02	368.65	193.01	325.29	186.4
C5orf34	5.5	25.35	13.12	18.16	19.25	13.52	8.58	4.62	13.93	18.7	18.43	14.03	6.89	5.32	2.51	3.89	2.53	3.29	5.54	14.78	15.8	98.04	85.82	77.79	23.25	47.17	52.45	55.89	78.34	53.19	84.63	113.56	59.97	45.85	34.75	55.49	14.14	5.59	15.22	13.83	23.93	18.16	31.9	17.51	13.22	10.31	85.22	16.63	31.67	23.42	13.32	30.12	21.78
CAD	178.77	265.87	329.84	169.07	142.01	412.0	603.67	476.71	387.02	432.53	785.88	291.04	214.27	156.59	133.36	108.9	165.57	142.01	130.6	197.09	143.01	559.28	708.18	802.41	389.72	651.58	1199.98	514.56	1059.11	728.11	532.74	884.29	764.36	642.59	890.44	1242.34	277.2	348.71	457.25	500.46	208.38	525.39	208.38	255.0	406.31	356.05	620.67	165.57	186.4	182.55	307.69	242.88	511.0
CCNT1	102.25	102.25	66.65	159.9	139.07	69.03	80.01	76.17	69.52	115.16	121.79	74.58	69.03	38.67	80.57	60.39	70.51	79.45	51.71	57.49	72.52	193.01	237.86	269.6	205.5	221.86	187.71	295.11	251.48	277.2	341.51	289.02	329.84	201.25	299.25	348.71	115.97	84.63	101.54	114.36	170.25	101.54	214.27	134.3	135.24	124.37	111.99	142.01	153.34	217.27	116.78	100.83	147.06
CDK17	205.5	130.6	105.89	193.01	151.22	95.34	131.51	132.44	161.02	164.42	295.11	90.77	127.0	90.77	134.3	97.36	88.26	138.1	112.77	88.26	167.9	414.87	395.18	595.34	358.54	607.87	185.11	595.34	441.64	267.73	406.31	406.31	647.07	384.34	387.02	379.04	169.07	105.89	198.47	253.23	291.04	209.84	255.0	195.72	226.54	137.14	341.51	223.41	139.07	297.17	246.28	239.52	197.09
CEP164	143.01	95.34	145.02	214.27	189.02	140.04	135.24	104.42	105.89	165.57	255.0	96.01	139.07	60.82	92.7	130.6	142.01	128.79	151.22	195.72	138.1	356.05	387.02	669.92	395.18	629.35	529.06	473.41	486.75	830.75	239.52	555.41	457.25	358.54	543.96	476.71	190.34	214.27	198.47	351.14	277.2	170.25	329.84	262.2	409.15	262.2	281.09	228.13	232.94	191.67	260.38	181.28	289.02
CEP57	559.28	164.42	246.28	457.25	400.71	197.09	148.09	264.03	287.01	299.25	336.79	279.14	540.19	125.24	466.88	182.55	327.56	371.22	363.56	341.51	457.25	616.37	743.43	723.08	403.5	624.99	567.1	813.63	733.19	454.09	693.58	1199.98	698.41	728.11	612.11	842.36	423.61	285.03	320.8	447.82	400.71	371.22	438.59	406.31	412.0	343.89	460.44	281.09	366.09	237.86	339.14	226.54	500.46
CHD9	161.02	170.25	131.51	242.88	285.03	76.71	124.37	258.57	165.57	206.94	148.09	108.9	139.07	50.63	118.43	111.21	146.03	132.44	195.72	156.59	176.29	224.97	392.44	486.75	353.59	441.64	205.5	447.82	368.65	289.02	258.57	397.93	503.95	392.44	336.79	507.46	236.21	94.01	143.01	194.36	325.29	185.11	147.06	256.78	204.07	146.03	241.19	148.09	212.78	224.97	163.28	172.65	204.07
CMTR1	480.04	166.73	341.51	366.09	295.11	269.6	414.87	329.84	305.55	291.04	356.05	438.59	387.02	373.81	264.03	420.68	444.72	381.68	384.34	376.41	251.48	607.87	693.58	808.0	438.59	647.07	486.75	563.18	665.29	444.72	587.13	612.11	743.43	447.82	688.78	620.67	514.56	463.65	269.6	624.99	616.37	363.56	457.25	384.34	525.39	366.09	341.51	387.02	351.14	483.38	406.31	376.41	493.56
CNOT2	547.75	305.55	163.28	587.13	536.45	307.69	500.46	651.58	493.56	698.41	587.13	332.14	389.72	260.38	368.65	187.71	397.93	426.57	371.22	329.84	454.09	1015.93	1135.2	1369.04	934.76	2573.36	3303.0	1151.06	1051.79	1870.53	1594.73	1427.22	1359.57	1073.91	1001.93	1359.57	579.04	490.14	684.02	848.22	759.08	507.46	808.0	708.18	684.02	525.39	1088.92	713.11	802.41	813.63	579.04	463.65	753.83
CNTD1	9.34	5.36	77.25	43.94	111.21	12.64	5.96	16.27	4.58	28.24	36.27	11.3	11.21	4.21	11.38	8.06	16.27	12.0	6.01	7.46	9.78	72.52	121.79	102.25	52.45	108.14	414.87	130.6	83.45	137.14	96.01	65.72	39.79	85.82	27.25	84.04	101.54	178.77	115.97	67.12	17.0	20.26	21.16	12.09	25.91	17.25	13.22	14.45	12.93	13.62	14.56	18.97	18.7
CPSF7	713.11	497.0	723.08	791.35	607.87	423.61	480.04	642.59	389.72	414.87	669.92	525.39	708.18	346.29	486.75	698.41	748.61	642.59	486.75	819.3	665.29	1250.98	1397.83	1127.35	1044.52	1498.22	1407.55	1457.23	1605.83	813.63	1745.2	1540.37	1529.73	819.3	1159.07	1295.13	1044.52	884.29	866.07	1286.18	718.08	684.02	813.63	1059.11	1216.75	543.96	1081.39	733.19	947.83	591.22	733.19	633.73	1008.9
CRAMP1L	67.59	202.66	181.28	125.24	161.02	69.03	102.25	65.26	61.25	94.67	186.4	54.72	49.21	23.93	28.24	22.26	40.07	32.13	42.41	34.75	28.24	281.09	409.15	414.87	265.87	273.37	624.99	287.01	361.04	271.48	400.71	368.65	457.25	204.07	289.02	343.89	153.34	133.36	130.6	316.37	180.02	153.34	182.55	177.53	205.5	120.1	115.16	153.34	132.44	241.19	146.03	155.5	177.53
CTDSP2	1135.2	1427.22	1651.0	1208.34	1733.13	571.05	1015.93	529.06	728.11	896.64	884.29	743.43	1104.13	743.43	575.03	674.59	486.75	866.07	1313.23	830.75	813.63	2855.44	2178.83	2351.53	2090.03	2133.97	1721.16	2255.7	2451.44	2400.97	2777.33	2520.38	2609.3	1628.26	2555.58	2104.58	2090.03	1487.87	1662.49	2520.38	1030.12	981.29	1216.75	961.07	1427.22	1208.34	1605.83	1127.35	909.17	1651.0	1044.52	656.11	1651.0
CTDSPL2	115.16	100.83	92.7	198.47	131.51	72.01	47.5	135.24	85.82	110.43	115.97	61.68	71.5	37.59	81.14	51.71	51.35	119.26	76.71	84.04	124.37	358.54	397.93	426.57	277.2	307.69	343.89	435.55	486.75	228.13	486.75	603.67	507.46	256.78	514.56	559.28	199.85	115.16	176.29	312.0	195.72	131.51	132.44	169.07	130.6	130.6	244.57	121.79	146.03	162.14	133.36	87.65	185.11
CUL5	215.77	191.67	368.65	305.55	277.2	81.71	96.01	185.11	136.19	144.01	151.22	150.17	158.79	77.79	111.99	106.63	137.14	289.02	127.0	169.07	220.32	249.73	199.85	256.78	258.57	253.23	224.97	289.02	307.69	165.57	151.22	237.86	269.6	193.01	353.59	305.55	220.32	156.59	183.82	187.71	303.44	176.29	251.48	244.57	180.02	186.4	145.02	189.02	327.56	223.41	167.9	185.11	181.28
CWF19L2	105.15	96.01	87.65	127.89	127.89	122.64	50.27	104.42	109.66	60.82	73.03	87.03	75.11	31.9	78.34	49.56	98.04	76.71	81.71	53.57	108.14	327.56	291.04	571.05	287.01	733.19	269.6	579.04	454.09	511.0	134.3	423.61	343.89	273.37	361.04	384.34	173.85	70.51	161.02	117.6	150.17	99.43	115.16	116.78	120.1	115.16	283.05	98.04	122.64	101.54	103.69	88.26	150.17
DCAF16	73.03	392.44	80.01	281.09	176.29	68.07	98.04	98.73	111.21	102.25	182.55	49.56	56.28	32.82	53.57	49.91	43.94	54.33	63.45	70.01	40.07	287.01	599.49	429.54	339.14	420.68	503.95	503.95	480.04	379.04	346.29	312.0	674.59	353.59	536.45	575.03	262.2	135.24	145.02	299.25	232.94	151.22	224.97	246.28	220.32	151.22	194.36	234.57	148.09	387.02	187.71	133.36	267.73
DCAF5	486.75	297.17	389.72	529.06	343.89	241.19	318.57	389.72	215.77	277.2	348.71	287.01	470.14	232.94	279.14	318.57	507.46	316.37	409.15	358.54	303.44	633.73	718.08	693.58	591.22	723.08	603.67	665.29	633.73	674.59	796.86	521.76	866.07	463.65	688.78	603.67	591.22	642.59	406.31	723.08	551.56	450.94	543.96	473.41	518.15	320.8	591.22	486.75	366.09	688.78	412.0	379.04	497.0
DHX16	507.46	185.11	314.17	486.75	363.56	432.53	447.82	559.28	368.65	392.44	483.38	493.56	518.15	457.25	392.44	480.04	511.0	490.14	642.59	591.22	403.5	743.43	921.88	878.17	624.99	791.35	703.28	674.59	764.36	872.1	1015.93	909.17	607.87	497.0	660.68	759.08	603.67	457.25	384.34	616.37	878.17	587.13	842.36	638.15	902.89	543.96	559.28	665.29	743.43	796.86	514.56	753.83	796.86
DKFZP434E1119	0.0	0.96	1.89	1.22	0.8	0.0	0.45	0.41	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	1.36	1.0	1.33	0.69	2.66	1.48	4.58	3.26	1.62	4.5	1.95	1.03	2.46	0.88	3.96	1.39	0.0	5.28	2.01	1.2	0.0	0.52	0.0	0.0	0.69	1.5	1.07	2.86	0.55	0.72	1.5
ELL	109.66	149.12	244.57	149.12	101.54	60.82	114.36	86.43	114.36	84.04	176.29	93.35	121.79	128.79	94.67	157.68	102.97	148.09	138.1	142.01	121.79	301.33	267.73	287.01	303.44	287.01	220.32	356.05	258.57	170.25	218.79	211.31	599.49	197.09	334.46	283.05	169.07	180.02	175.07	277.2	106.63	89.51	115.97	93.35	120.94	105.15	125.24	109.66	111.21	157.68	130.6	141.02	125.24
EP400	82.29	73.03	74.58	137.14	104.42	69.52	132.44	76.17	84.04	97.36	105.15	62.12	65.26	36.53	51.35	34.26	60.39	44.89	36.79	62.12	61.25	242.88	403.5	334.46	251.48	258.57	269.6	279.14	329.84	285.03	295.11	351.14	529.06	205.5	301.33	381.68	127.89	90.14	125.24	166.73	171.45	132.44	215.77	146.03	156.59	120.1	170.25	172.65	157.68	223.41	133.36	108.9	180.02
EXOC1	183.82	351.14	301.33	343.89	356.05	237.86	262.2	339.14	281.09	262.2	267.73	140.04	163.28	44.57	113.56	134.3	169.07	122.64	110.43	90.77	116.78	460.44	733.19	674.59	633.73	555.41	532.74	660.68	447.82	412.0	785.88	493.56	713.11	748.61	503.95	607.87	441.64	371.22	351.14	540.19	547.75	264.03	529.06	346.29	403.5	329.84	466.88	320.8	379.04	503.95	323.03	312.0	412.0
F3	63.0	190.34	27.84	34.26	47.17	20.71	70.01	3.0	57.49	23.25	232.94	7.06	109.66	40.64	90.14	20.56	33.3	6.57	28.86	50.98	41.22	1143.1	1369.04	2209.26	5219.6	738.29	358.54	1183.45	642.59	143.01	1529.73	665.29	941.27	497.0	1340.84	1540.37	447.82	791.35	249.73	688.78	50.27	127.89	20.86	660.68	348.71	277.2	1208.34	146.03	92.05	320.8	215.77	100.83	403.5
FAM76B	265.87	90.77	71.0	144.01	107.38	109.66	35.76	98.04	52.45	117.6	217.27	108.9	220.32	46.84	205.5	28.86	141.02	150.17	169.07	303.44	187.71	403.5	607.87	660.68	314.17	511.0	500.46	579.04	409.15	325.29	493.56	493.56	616.37	371.22	373.81	679.29	387.02	163.28	156.59	316.37	226.54	151.22	258.57	191.67	323.03	120.94	366.09	146.03	229.72	167.9	199.85	171.45	309.83
FAN1	186.4	246.28	285.03	279.14	211.31	118.43	91.41	76.71	102.25	107.38	102.97	182.55	201.25	103.69	104.42	167.9	157.68	91.41	173.85	226.54	151.22	283.05	336.79	264.03	177.53	273.37	277.2	226.54	277.2	212.78	371.22	400.71	373.81	228.13	287.01	329.84	146.03	102.97	177.53	149.12	376.41	309.83	229.72	228.13	291.04	161.02	130.6	229.72	441.64	363.56	194.36	161.02	275.28
FGD6	40.07	25.91	14.67	34.75	41.22	69.03	59.97	65.72	72.52	122.64	52.45	15.8	27.64	9.27	21.47	18.84	11.38	21.01	19.11	12.27	22.43	153.34	218.79	139.07	149.12	158.79	102.97	94.67	199.85	106.63	146.03	130.6	229.72	91.41	163.28	299.25	26.67	33.06	38.12	67.59	106.63	74.58	87.03	77.79	107.38	44.57	121.79	49.56	172.65	73.03	74.58	90.77	74.58
FLJ00418	9.41	2.03	2.46	5.06	4.17	1.6	1.91	3.92	1.91	0.0	26.47	2.81	7.88	0.0	4.74	2.86	4.82	3.35	7.63	5.5	5.19	14.14	19.11	15.56	16.39	19.82	39.79	11.55	24.63	24.28	6.52	14.03	29.06	5.19	37.85	11.91	0.69	2.78	10.0	15.56	4.58	2.2	5.02	3.76	5.77	0.0	4.7	2.89	9.27	8.78	4.78	2.41	13.72
FOXJ3	191.67	226.54	170.25	348.71	249.73	171.45	211.31	264.03	201.25	226.54	299.25	152.28	167.9	121.79	177.53	171.45	178.77	193.01	161.02	166.73	182.55	536.45	660.68	559.28	536.45	514.56	743.43	802.41	769.69	412.0	878.17	642.59	860.08	441.64	511.0	660.68	346.29	269.6	269.6	426.57	397.93	366.09	417.77	325.29	343.89	277.2	341.51	336.79	249.73	454.09	348.71	336.79	363.56
GPATCH8	121.79	105.15	146.03	368.65	309.83	147.06	113.56	148.09	105.15	132.44	155.5	94.01	114.36	51.71	66.18	72.52	100.83	53.95	87.03	111.21	65.26	417.77	629.35	587.13	343.89	514.56	403.5	518.15	620.67	366.09	518.15	514.56	728.11	303.44	473.41	547.75	251.48	195.72	229.72	249.73	341.51	204.07	353.59	287.01	277.2	164.42	323.03	226.54	223.41	361.04	224.97	166.73	316.37
GPR152	0.0	0.48	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.93	6.36	3.66	1.75	3.66	2.34	9.63	5.15	1.57	2.61	13.52	1.68	1.5	4.7	1.43	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HERC2	551.56	1044.52	915.51	633.73	314.17	536.45	713.11	420.68	743.43	559.28	780.44	493.56	438.59	314.17	287.01	327.56	476.71	358.54	343.89	392.44	403.5	703.28	896.64	896.64	748.61	872.1	819.3	748.61	890.44	819.3	603.67	1008.9	921.88	620.67	981.29	1073.91	579.04	514.56	483.38	518.15	941.27	1199.98	624.99	836.53	1030.12	713.11	759.08	902.89	688.78	941.27	854.13	567.1	995.0
HUWE1	819.3	764.36	995.0	1059.11	785.88	848.22	1088.92	995.0	1001.93	860.08	1191.69	674.59	825.0	571.05	665.29	547.75	896.64	612.11	679.29	842.36	483.38	3103.19	3039.3	2224.63	1583.71	1977.24	2133.97	1870.53	2018.8	1583.71	1991.0	2224.63	3081.75	1857.6	2061.24	2303.12	1674.06	1199.98	1159.07	1794.29	1674.06	1467.37	1519.15	1259.69	1447.15	1191.69	1304.15	1628.26	1295.13	1923.14	1388.16	1191.69	1477.58
IKZF4	39.22	44.25	59.97	68.55	88.88	26.67	38.12	42.41	55.49	49.91	76.71	29.91	22.92	6.06	23.76	23.08	31.67	24.46	33.78	40.64	32.82	181.28	198.47	178.77	130.6	262.2	80.57	128.79	141.02	169.07	136.19	127.0	267.73	93.35	113.56	133.36	73.03	62.56	77.25	102.97	71.0	54.33	111.99	135.24	170.25	136.19	220.32	110.43	69.52	136.19	138.1	48.87	248.0
INPP5B	224.97	60.82	118.43	201.25	104.42	82.29	106.63	108.14	101.54	115.97	183.82	172.65	212.78	118.43	151.22	131.51	173.85	176.29	190.34	228.13	201.25	353.59	406.31	571.05	343.89	551.56	285.03	395.18	463.65	323.03	231.32	518.15	656.11	221.86	420.68	438.59	170.25	162.14	178.77	241.19	241.19	221.86	157.68	209.84	341.51	155.5	229.72	166.73	89.51	221.86	212.78	127.0	232.94
IRAK4	136.19	366.09	232.94	236.21	400.71	61.68	118.43	69.03	114.36	253.23	186.4	108.9	121.79	36.01	89.51	43.02	93.35	105.15	66.65	77.79	70.51	351.14	629.35	718.08	323.03	476.71	273.37	547.75	368.65	395.18	665.29	493.56	759.08	323.03	301.33	698.41	429.54	403.5	307.69	329.84	283.05	113.56	493.56	206.94	271.48	193.01	241.19	271.48	473.41	348.71	214.27	204.07	204.07
