	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.E7.A6ME.01A.22R.A32O.07	TCGA.HN.A2NL.01A.11R.A18M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.AS.3777.01A.01R.0864.07	TCGA.UB.A7MB.01A.11R.A33R.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.CC.A1HT.01A.11R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.22.4595.01A.01R.1201.07	TCGA.FI.A3PX.01A.11R.A22K.07
MKI67	890.44	314.17	718.08	8.85	94.01	329.84	72.01	61.25	11.21	25.35	153.34	224.97	46.18	154.42	14.45	165.57	59.55	228.13	273.37	27.25	373.81	211.31	61.68	46.84	6.36	16.51	10.79	4.39	17.38	10.79	6.84	52.08	57.08	3.86	2.34	2.73	18.7	10.08	4.54	4.1	2.01	12.83	624.99	277.2
MRPS23	3212.66	2163.77	3491.39	579.04	1628.26	1350.18	1127.35	1008.9	961.07	1127.35	1268.46	1963.57	1529.73	1605.83	651.58	743.43	591.22	1529.73	2271.4	928.3	1685.71	1378.57	1651.0	595.34	915.51	651.58	764.36	587.13	507.46	651.58	753.83	703.28	679.29	633.73	1001.93	915.51	1208.34	872.1	791.35	674.59	426.57	612.11	1794.29	2997.45
MYBL1	54.33	94.67	54.33	30.12	50.63	144.01	59.55	13.32	21.16	13.42	26.86	60.82	32.36	57.49	16.51	90.14	52.45	48.52	120.1	57.08	124.37	104.42	37.05	41.81	28.65	9.41	11.73	5.92	7.69	13.22	34.02	15.45	24.28	13.52	9.27	8.71	11.47	4.98	19.53	10.55	13.32	21.78	65.72	88.26
NCAPG	543.96	389.72	400.71	2.58	91.41	316.37	62.56	100.13	8.78	23.08	127.89	190.34	30.78	221.86	11.04	148.09	45.21	187.71	371.22	27.44	902.89	170.25	77.25	17.13	6.36	5.92	4.9	3.17	4.54	7.46	6.06	31.45	27.05	2.89	1.64	3.17	12.09	2.97	3.44	0.0	2.84	9.2	363.56	314.17
NDC80	1104.13	536.45	1175.27	13.93	100.83	208.38	69.52	108.14	12.36	41.22	137.14	141.02	52.82	169.07	23.93	198.47	73.03	134.3	454.09	49.91	974.5	173.85	128.79	43.02	9.7	5.68	12.83	4.54	6.52	10.0	8.78	27.25	35.76	4.46	8.32	1.08	17.77	4.74	3.17	0.0	5.63	11.3	1104.13	1127.35
NEIL3	111.21	78.89	108.9	0.66	15.8	73.54	14.03	40.36	1.71	1.64	58.3	129.69	5.92	31.45	1.39	38.4	8.32	32.59	67.12	8.25	299.25	25.35	10.24	6.16	1.97	0.62	1.2	0.0	0.0	1.14	1.2	3.03	6.78	0.0	0.0	0.0	3.17	0.0	0.84	1.5	0.96	0.78	65.26	87.03
NEK2	764.36	728.11	934.76	3.44	118.43	178.77	69.52	172.65	10.96	15.11	135.24	285.03	90.77	253.23	13.03	356.05	29.27	158.79	318.57	23.42	555.41	214.27	146.03	20.86	5.63	7.06	5.54	1.89	4.1	2.61	5.54	32.59	27.64	81.14	9.56	3.99	11.55	61.25	0.0	8.38	0.93	7.82	466.88	536.45
NUDT1	1277.29	1794.29	2895.31	147.06	620.67	575.03	518.15	400.71	175.07	185.11	497.0	995.0	142.01	743.43	171.45	493.56	320.8	476.71	1529.73	334.46	1331.57	674.59	420.68	241.19	180.02	85.22	108.14	105.15	102.97	178.77	100.83	176.29	289.02	102.25	67.12	106.63	237.86	170.25	71.0	52.08	111.21	103.69	1697.45	1250.98
NUF2	743.43	470.14	836.53	10.96	63.0	444.72	72.01	113.56	9.48	15.0	108.14	167.9	67.59	251.48	15.11	212.78	33.3	148.09	426.57	20.56	579.04	111.21	88.88	16.15	13.83	4.06	3.56	2.58	3.32	3.41	4.74	28.24	19.82	2.76	3.76	4.86	11.82	6.06	0.47	0.0	1.58	9.06	713.11	1088.92
OIP5	136.19	251.48	217.27	10.39	96.68	283.05	30.12	56.28	16.27	20.11	73.54	115.16	59.13	253.23	29.27	202.66	49.21	108.14	381.68	18.29	379.04	197.09	35.5	44.57	7.46	10.31	7.17	6.67	13.03	8.45	0.67	25.17	23.76	9.2	2.61	6.52	11.13	8.78	9.63	12.0	2.43	7.22	162.14	454.09
ORC1	180.02	120.1	253.23	3.56	26.28	133.36	28.45	25.54	9.56	8.19	63.89	95.34	15.11	86.43	9.34	73.54	26.86	84.04	128.79	17.77	98.73	47.17	31.0	16.03	6.16	5.19	2.18	0.79	2.05	3.29	5.92	16.51	11.82	1.89	3.06	4.28	7.0	2.89	1.28	2.07	2.29	2.2	85.22	99.43
PLK1	2090.03	2915.45	974.5	38.4	187.71	642.59	111.99	283.05	22.26	44.57	271.48	356.05	68.07	503.95	29.91	571.05	61.25	543.96	1175.27	74.06	620.67	457.25	199.85	59.13	18.29	12.27	15.45	7.82	13.12	10.63	14.67	118.43	51.71	21.63	2.27	17.0	39.22	11.55	2.39	2.89	0.0	16.03	2032.85	1286.18
POC1A	241.19	497.0	332.14	52.82	291.04	314.17	115.97	161.02	149.12	236.21	217.27	432.53	205.5	327.56	128.79	351.14	111.21	291.04	409.15	109.66	299.25	450.94	169.07	82.29	165.57	80.57	78.34	115.16	103.69	92.7	119.26	95.34	94.67	65.26	36.53	226.54	239.52	81.14	97.36	48.52	58.71	67.59	199.85	525.39
POLA2	764.36	866.07	1277.29	88.88	262.2	780.44	190.34	205.5	92.05	155.5	429.54	480.04	202.66	384.34	84.63	279.14	281.09	426.57	616.37	212.78	536.45	441.64	303.44	176.29	89.51	74.06	125.24	50.63	66.18	94.01	96.68	104.42	175.07	90.14	67.59	105.15	92.05	93.35	70.51	76.71	44.57	136.19	941.27	1313.23
POLD1	928.3	1183.45	1119.56	214.27	316.37	902.89	507.46	529.06	293.07	457.25	603.67	947.83	271.48	1104.13	279.14	748.61	397.93	718.08	796.86	356.05	1250.98	698.41	693.58	320.8	199.85	124.37	193.01	209.84	147.06	246.28	158.79	187.71	239.52	102.97	175.07	190.34	269.6	155.5	147.06	140.04	100.83	178.77	1111.82	1250.98
POLR3K	384.34	450.94	607.87	109.66	460.44	376.41	232.94	291.04	226.54	212.78	289.02	323.03	249.73	497.0	161.02	265.87	153.34	426.57	376.41	285.03	237.86	299.25	358.54	165.57	221.86	169.07	133.36	140.04	134.3	191.67	180.02	226.54	166.73	161.02	124.37	202.66	241.19	289.02	135.24	209.84	194.36	154.42	320.8	525.39
PRC1	1561.89	1733.13	1745.2	52.82	426.57	1447.15	241.19	307.69	97.36	87.03	444.72	688.78	228.13	1008.9	101.54	575.03	229.72	450.94	1721.16	190.34	1794.29	612.11	197.09	135.24	53.57	28.45	26.67	45.85	43.02	40.36	37.85	163.28	166.73	31.45	18.97	33.3	62.56	42.11	19.25	9.48	30.34	41.22	2875.3	1733.13
PRIM1	283.05	511.0	921.88	70.01	387.02	543.96	140.04	133.36	73.54	100.83	279.14	220.32	170.25	221.86	91.41	281.09	146.03	267.73	316.37	105.89	297.17	540.19	173.85	118.43	98.04	77.25	143.01	62.56	55.1	52.45	38.12	60.39	115.97	127.89	178.77	55.49	28.86	103.69	47.84	153.34	36.27	74.06	212.78	547.75
PRRT3	31.9	194.36	117.6	6.67	53.95	23.42	11.04	5.63	9.78	15.8	14.56	7.63	8.78	17.13	14.35	8.92	12.45	12.0	15.56	24.63	11.55	45.85	23.59	8.92	14.67	7.51	8.25	3.53	6.06	6.73	6.46	9.34	13.93	6.36	1.83	11.13	4.7	2.81	1.51	0.85	4.5	3.26	30.56	112.77
PTTG1	5711.87	2434.5	3540.14	52.45	1388.16	1051.79	450.94	723.08	77.25	170.25	642.59	1378.57	204.07	1561.89	53.19	1001.93	255.0	1143.1	2645.74	228.13	3901.01	1936.53	769.69	123.5	29.06	24.46	26.28	22.59	43.02	36.53	41.52	136.19	229.72	37.85	12.83	6.36	140.04	31.22	29.27	6.31	35.25	94.67	4450.27	4972.34
RACGAP1	1104.13	1175.27	595.34	33.3	409.15	612.11	151.22	145.02	49.91	51.71	291.04	246.28	115.97	251.48	41.81	332.14	127.0	239.52	480.04	108.9	483.38	291.04	117.6	65.26	64.34	37.05	44.25	11.91	21.47	26.86	43.02	85.22	103.69	38.95	38.4	13.52	43.63	41.52	10.16	24.28	24.11	31.0	1088.92	915.51
RFC4	1286.18	1388.16	2133.97	151.22	713.11	1051.79	358.54	314.17	325.29	223.41	429.54	651.58	289.02	848.22	114.36	896.64	303.44	995.0	1242.34	295.11	1088.92	1001.93	426.57	214.27	195.72	102.97	153.34	122.64	129.69	129.69	162.14	115.97	187.71	139.07	92.7	132.44	199.85	102.25	90.77	83.45	47.17	110.43	2104.58	1991.0
RTKN2	281.09	73.54	110.43	0.67	17.0	24.99	3.11	5.19	1.25	2.58	10.0	6.57	4.62	14.89	1.43	25.91	7.11	4.13	46.84	5.28	17.13	19.68	5.92	3.0	0.84	0.64	0.65	0.0	0.0	0.62	0.65	6.06	4.43	1.6	0.0	0.0	5.06	5.41	2.89	0.0	0.07	0.0	82.29	156.59
SAA2	7130.55	122.64	529.06	932018.1	8658.09	15180.22	249727.34	294926.33	1800541.22	1108362.75	118127.7	111755.56	167058.21	17437.64	1903204.61	228208.61	450134.56	350728.68	18178.19	307450.64	15180.22	21617.82	284880.02	1048575.0	2691538.19	3601083.44	1813064.98	322736.12	822695.06	1402917.72	2425749.94	3049200.37	565825.41	863596.77	1041331.96	951601.81	834179.46	1034138.94	964885.69	682276.92	502929.67	851707.37	96.01	33.54
SAC3D1	780.44	679.29	860.08	182.55	441.64	934.76	316.37	373.81	307.69	256.78	483.38	896.64	314.17	738.29	161.02	518.15	285.03	529.06	656.11	241.19	1096.5	825.0	503.95	279.14	223.41	164.42	165.57	171.45	154.42	155.5	107.38	166.73	190.34	170.25	98.73	269.6	214.27	186.4	218.79	97.36	158.79	255.0	802.41	583.07
SGOL1	145.02	232.94	128.79	8.71	55.1	167.9	35.25	55.49	8.92	19.25	43.94	86.43	20.86	124.37	11.13	83.45	18.7	137.14	201.25	19.97	295.11	104.42	44.57	13.22	7.51	4.86	6.16	5.32	7.34	6.94	2.01	18.29	14.67	8.78	4.62	7.28	7.82	5.73	4.24	3.86	0.0	5.96	150.17	387.02
SGOL2	117.6	140.04	114.36	5.5	23.59	86.43	13.22	36.27	4.54	10.24	34.51	53.19	19.82	53.57	8.13	89.51	15.68	49.91	132.44	16.88	218.79	38.67	23.08	10.16	9.63	8.99	7.0	3.11	2.84	3.44	7.57	18.43	17.77	8.32	6.84	4.82	9.56	6.21	4.21	1.14	1.81	9.93	283.05	205.5
SHCBP1	303.44	133.36	98.73	3.06	48.18	62.12	23.25	47.17	8.06	6.41	69.03	96.68	35.0	172.65	5.11	82.29	33.3	76.71	239.52	22.59	108.9	94.01	32.36	11.64	7.22	3.44	6.41	3.53	3.82	3.89	6.41	14.56	34.02	3.79	4.39	1.77	15.22	3.41	3.96	0.96	0.48	8.19	255.0	473.41
SKA1	132.44	197.09	163.28	3.56	59.55	134.3	36.53	57.49	3.92	7.82	47.17	110.43	33.54	74.06	4.1	52.45	17.38	78.89	162.14	9.34	435.55	110.43	63.45	13.42	2.36	2.25	4.54	0.0	1.64	1.66	2.86	6.01	15.45	1.45	3.66	0.0	3.92	2.39	0.45	0.46	0.51	3.53	403.5	212.78
SPAG5	813.63	1066.48	1991.0	229.72	764.36	1769.57	547.75	928.3	392.44	353.59	486.75	660.68	603.67	1757.34	507.46	1059.11	438.59	780.44	1519.15	154.42	2502.97	1183.45	693.58	571.05	262.2	325.29	346.29	318.57	325.29	363.56	406.31	351.14	218.79	293.07	138.1	507.46	301.33	293.07	457.25	106.63	110.43	182.55	819.3	2758.13
SPC24	825.0	629.35	780.44	14.03	289.02	866.07	144.01	75.64	16.39	52.82	351.14	536.45	44.57	563.18	43.32	291.04	52.08	218.79	426.57	29.48	1081.39	486.75	267.73	64.34	11.64	12.64	15.34	15.22	19.68	6.78	8.85	12.55	27.44	6.67	1.01	6.41	17.0	11.82	4.98	13.93	9.7	9.34	353.59	356.05
SPC25	612.11	348.71	309.83	2.92	65.26	194.36	48.18	78.89	4.5	14.45	124.37	167.9	34.75	224.97	18.03	149.12	34.02	146.03	327.56	43.02	444.72	131.51	73.54	5.5	3.29	0.0	11.21	2.41	17.25	6.06	8.78	34.51	26.47	10.39	2.48	6.57	17.0	5.96	1.5	0.0	1.6	10.31	316.37	327.56
SPNS1	1277.29	1457.23	941.27	507.46	842.36	1322.37	1135.2	1437.15	693.58	808.0	1143.1	1806.78	753.83	1508.65	684.02	1437.15	808.0	1909.85	1561.89	808.0	1388.16	1685.71	1233.75	842.36	547.75	547.75	493.56	567.1	438.59	599.49	389.72	450.94	567.1	638.15	314.17	656.11	503.95	429.54	400.71	358.54	389.72	429.54	1674.06	1119.56
TACC3	1216.75	1096.5	2400.97	95.34	327.56	981.29	295.11	339.14	136.19	151.22	525.39	733.19	191.67	713.11	108.14	521.76	287.01	400.71	1340.84	239.52	1551.09	629.35	379.04	218.79	87.65	66.65	77.25	45.85	58.71	72.01	80.57	69.52	231.32	67.12	25.91	108.9	143.01	58.71	31.45	28.04	20.56	84.04	947.83	1909.85
TCF19	866.07	1023.0	995.0	23.25	143.01	1127.35	103.69	127.0	20.86	29.48	279.14	249.73	100.13	587.13	29.27	307.69	145.02	301.33	281.09	71.0	293.07	229.72	136.19	55.89	20.11	14.45	18.97	10.71	17.0	16.88	20.11	28.86	87.65	10.55	11.21	8.85	32.59	19.97	4.21	9.27	5.68	15.34	2468.49	269.6
TK1	2537.92	1551.09	3349.13	105.15	825.0	988.12	318.57	684.02	115.16	211.31	1674.06	2047.0	332.14	2271.4	215.77	866.07	612.11	1909.85	1721.16	255.0	1870.53	1794.29	583.07	181.28	256.78	121.79	72.01	133.36	108.14	99.43	64.8	140.04	275.28	86.43	80.01	92.7	110.43	97.36	74.58	146.03	127.89	96.68	3280.18	2609.3
TPX2	1467.37	1447.15	2193.99	37.59	297.17	866.07	117.6	211.31	31.22	38.95	279.14	323.03	111.21	718.08	51.71	559.28	152.28	363.56	1023.0	77.79	909.17	429.54	185.11	80.01	23.93	36.01	62.12	61.25	72.01	52.45	77.79	115.97	142.01	85.82	19.97	23.25	41.22	30.12	25.35	36.27	28.04	37.05	1745.2	2061.24
TRIP13	543.96	297.17	237.86	18.43	73.03	79.45	69.52	49.56	8.13	13.72	54.72	147.06	22.59	98.04	19.82	75.64	31.0	244.57	713.11	34.02	353.59	115.97	62.12	25.54	7.06	11.04	3.99	2.36	5.45	5.54	14.89	41.81	18.7	8.71	4.31	0.18	17.38	5.23	1.69	5.41	1.5	12.83	567.1	521.76
TROAP	967.76	1233.75	1199.98	16.51	191.67	753.83	189.02	108.14	27.25	52.82	153.34	579.04	50.63	1037.29	18.43	529.06	80.57	307.69	612.11	75.11	1427.22	438.59	381.68	36.27	20.11	6.52	9.2	3.03	16.03	8.71	22.59	41.81	81.71	1.95	4.43	9.13	44.89	8.51	8.78	10.31	1.95	16.15	1639.59	3235.01
TTK	718.08	256.78	490.14	4.9	57.08	175.07	27.84	55.89	6.46	9.41	31.0	60.39	28.65	156.59	7.06	75.64	16.88	108.14	244.57	14.24	320.8	90.77	21.63	11.55	4.74	4.06	6.46	1.6	0.0	2.32	5.87	21.63	11.55	5.02	3.11	4.35	9.78	10.47	4.74	0.27	0.31	0.68	291.04	559.28
TUBG1	2400.97	2417.67	1242.34	339.14	674.59	1923.14	753.83	808.0	684.02	551.56	921.88	1183.45	620.67	2384.37	503.95	1159.07	460.44	1378.57	1519.15	595.34	2119.22	1135.2	1119.56	612.11	441.64	406.31	332.14	346.29	432.53	432.53	358.54	277.2	363.56	480.04	460.44	638.15	490.14	665.29	281.09	423.61	206.94	507.46	2178.83	1697.45
UBE2C	6381.92	5954.47	6121.9	33.54	1407.55	1378.57	409.15	547.75	46.18	87.65	503.95	902.89	128.79	1572.76	53.57	961.07	130.6	988.12	1977.24	159.9	2835.7	780.44	486.75	78.89	29.7	10.79	16.15	8.99	17.13	27.64	32.59	228.13	162.14	11.3	7.28	4.39	80.57	26.67	15.0	14.24	4.06	38.12	4268.94	9215.48
VPS11	947.83	842.36	1066.48	368.65	842.36	543.96	728.11	532.74	764.36	703.28	616.37	764.36	785.88	791.35	476.71	624.99	473.41	836.53	1225.22	638.15	1572.76	934.76	819.3	547.75	473.41	376.41	460.44	226.54	316.37	332.14	343.89	470.14	460.44	332.14	244.57	366.09	571.05	397.93	423.61	303.44	262.2	414.87	656.11	928.3
ZNF259	928.3	909.17	1044.52	536.45	1088.92	1551.09	521.76	607.87	915.51	665.29	642.59	967.76	921.88	1183.45	371.22	872.1	327.56	1088.92	1313.23	693.58	1175.27	1313.23	878.17	444.72	728.11	414.87	414.87	287.01	273.37	348.71	395.18	395.18	460.44	420.68	264.03	441.64	339.14	463.65	384.34	507.46	237.86	392.44	1457.23	934.76
