	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CR.7398.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2709.01A.21R.1820.07	TCGA.77.8128.01A.11R.2247.07	TCGA.22.1012.01A.01R.0692.07	TCGA.96.A4JK.01A.11R.A24Z.07	TCGA.58.8392.01A.11R.2326.07	TCGA.77.8148.01A.11R.2247.07	TCGA.39.5040.11A.01R.2125.07	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.4279.01A.01R.1131.13
CTD-2228K2.5	128.79	381.68	241.19	890.44	1551.09	1447.15	0.0	0.65	384.34	974.5	884.29	884.29	543.96	1081.39	175.07	208.38	204.07
CXXC1	334.46	583.07	277.2	902.89	1143.1	3847.29	0.0	1.1	1369.04	1697.45	1447.15	1857.6	1397.83	2075.59	890.44	395.18	400.71
CXorf27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	34.75	14.67	3.41	5.19	0.0	0.0	0.0
DDX49	363.56	525.39	295.11	791.35	1477.58	1769.57	0.0	0.52	1447.15	1369.04	1529.73	1781.89	1674.06	3257.52	629.35	532.74	444.72
DHX37	73.54	110.43	67.59	116.78	237.86	507.46	0.0	0.38	214.27	361.04	366.09	397.93	341.51	571.05	97.36	63.89	95.34
DNMT1	438.59	836.53	954.43	866.07	511.0	2915.45	0.0	1.14	1639.59	1628.26	2032.85	3349.13	2271.4	3325.99	660.68	490.14	483.38
DUS3L	135.24	198.47	88.88	500.46	1397.83	1066.48	0.0	0.68	764.36	981.29	1685.71	1674.06	1175.27	1883.54	529.06	164.42	336.79
ELAVL1	718.08	934.76	796.86	848.22	848.22	1963.57	0.0	0.75	1175.27	1295.13	1437.15	1467.37	1561.89	1447.15	503.95	723.08	796.86
EMILIN3	1.66	23.42	12.45	7.17	36.79	21.78	0.0	0.25	63.0	511.0	26.28	79.45	126.12	153.34	4.94	2.97	17.13
EP400	169.07	201.25	193.01	100.83	107.38	400.71	121.79	135.24	181.28	265.87	253.23	309.83	253.23	265.87	100.83	81.71	96.68
ESPL1	4.06	18.56	7.4	500.46	166.73	279.14	0.0	0.4	149.12	312.0	309.83	316.37	287.01	368.65	23.08	4.43	8.0
FAM9B	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.09	0.47	0.73	4.39	0.4	1.73	27.84	0.46	1.28	0.0
FANCA	19.53	105.15	54.72	429.54	157.68	420.68	0.0	0.24	368.65	583.07	432.53	728.11	432.53	733.19	155.5	190.34	85.82
FDXR	36.79	80.57	45.53	860.08	967.76	1051.79	251.48	1037.29	463.65	819.3	2351.53	684.02	679.29	665.29	202.66	127.0	115.16
FZR1	228.13	336.79	303.44	796.86	808.0	1159.07	0.0	0.68	878.17	808.0	1498.22	1378.57	591.22	1277.29	373.81	212.78	255.0
GATC	303.44	241.19	412.0	215.77	186.4	480.04	0.0	0.39	277.2	406.31	486.75	435.55	363.56	348.71	256.78	271.48	334.46
GCDH	244.57	226.54	150.17	149.12	389.72	403.5	0.0	0.13	583.07	521.76	718.08	633.73	555.41	493.56	334.46	289.02	218.79
GCN1L1	450.94	414.87	329.84	309.83	417.77	1233.75	0.0	0.82	656.11	866.07	718.08	1208.34	866.07	1277.29	327.56	248.0	358.54
GTPBP3	81.14	175.07	115.97	559.28	536.45	679.29	454.09	211.31	583.07	540.19	693.58	1175.27	547.75	1286.18	158.79	81.71	67.59
HBQ1	1.57	0.0	0.0	0.0	0.0	9.85	0.0	0.1	2.07	72.01	69.03	85.22	3.76	110.43	23.08	5.82	4.94
IGF2BP1	0.39	0.37	0.0	0.0	1.08	473.41	0.0	0.28	78.34	132.44	105.89	161.02	149.12	176.29	0.0	0.0	5.5
ILF3	1286.18	1844.76	1427.22	2193.99	2591.27	5751.61	0.0	1.19	3212.66	3540.14	3303.0	4972.34	4298.64	5831.91	2032.85	988.12	1259.69
IRAK1	830.75	1008.9	723.08	1199.98	1508.65	2417.67	0.0	0.83	3060.45	2537.92	2047.0	5076.84	2047.0	2591.27	633.73	693.58	563.18
ISL2	0.0	3.03	0.39	4298.64	890.44	83.45	0.0	0.3	8.45	57.89	29.27	43.94	35.0	80.01	1.43	1.5	27.64
KDM2B	146.03	325.29	236.21	902.89	563.18	708.18	0.0	0.6	432.53	486.75	457.25	470.14	457.25	559.28	239.52	182.55	125.24
KDM4B	149.12	187.71	224.97	514.56	514.56	348.71	237.86	82.87	287.01	417.77	297.17	633.73	329.84	571.05	165.57	98.04	127.89
KHK	40.07	105.89	24.63	122.64	41.22	155.5	0.0	0.15	169.07	232.94	194.36	420.68	237.86	532.74	150.17	87.65	43.02
KHSRP	1023.0	1135.2	884.29	2555.58	2018.8	9215.48	6207.38	764.36	5329.3	6935.54	7642.41	8778.97	6561.36	8363.13	1199.98	1001.93	1340.84
KIAA0930	896.64	941.27	551.56	1073.91	1437.15	1151.06	1151.06	202.66	2319.15	1127.35	1709.26	2739.08	2682.69	2061.24	387.02	507.46	723.08
KLF16	25.72	67.12	63.45	412.0	283.05	420.68	0.0	0.28	271.48	351.14	703.28	591.22	403.5	435.55	237.86	31.0	105.89
KLHL26	77.25	132.44	102.25	83.45	66.65	275.28	0.0	0.15	190.34	193.01	154.42	244.57	177.53	260.38	57.08	72.52	68.07
KRI1	173.85	343.89	177.53	612.11	764.36	1119.56	995.0	769.69	638.15	902.89	961.07	1551.09	1259.69	1733.13	343.89	228.13	178.77
KRT6A	0.0	78.89	49.56	2.01760973986E9	2.41604469791E9	56265.94	0.0	1.17	50011.46	54349.29	47974.16	61999.83	90773.53	40341.14	8.51	25.35	6.52
KRT76	0.0	0.0	0.0	26.67	4.13	0.36	0.0	0.0	0.34	23.59	0.57	1.77	1.08	3.06	0.3	0.0	0.0
LMNB2	69.03	205.5	133.36	848.22	299.25	2956.17	0.0	0.73	1208.34	1662.49	1519.15	2875.3	1745.2	2573.36	163.28	103.69	214.27
LONP1	293.07	318.57	191.67	444.72	836.53	1369.04	0.0	0.57	1242.34	1733.13	1457.23	2485.67	1572.76	2502.97	551.56	327.56	318.57
LPAR2	48.18	249.73	163.28	351.14	397.93	764.36	0.0	0.53	698.41	669.92	1008.9	1051.79	693.58	1015.93	320.8	171.45	190.34
LPAR5	38.4	110.43	64.34	3794.3	1551.09	954.43	47.17	128.79	191.67	447.82	775.05	255.0	297.17	193.01	16.75	31.22	105.15
LRFN3	121.79	201.25	134.3	204.07	133.36	336.79	0.0	0.61	348.71	587.13	309.83	348.71	543.96	624.99	59.55	98.73	106.63
LSM7	536.45	1268.46	638.15	2682.69	3540.14	4769.75	0.0	0.79	4095.0	4802.93	5183.54	5633.22	4736.79	6935.54	3124.78	1991.0	2400.97
MCM3	591.22	1104.13	629.35	2119.22	575.03	2367.9	2047.0	281.09	1340.84	1437.15	1199.98	2061.24	2816.11	2609.3	423.61	532.74	698.41
MCM5	281.09	718.08	432.53	1378.57	376.41	1259.69	0.0	0.61	1407.55	3235.01	1561.89	2537.92	2520.38	2739.08	336.79	395.18	435.55
MEN1	255.0	514.56	275.28	830.75	444.72	1286.18	0.0	0.83	642.59	995.0	941.27	1467.37	1030.12	599.49	217.27	301.33	182.55
MIER2	167.9	201.25	144.01	490.14	346.29	551.56	0.0	0.52	376.41	500.46	212.78	629.35	435.55	511.0	260.38	264.03	156.59
MLLT1	271.48	181.28	177.53	140.04	176.29	769.69	0.0	0.57	486.75	438.59	473.41	713.11	529.06	753.83	291.04	217.27	185.11
MPHOSPH9	275.28	193.01	165.57	199.85	118.43	285.03	0.0	0.62	236.21	248.0	454.09	429.54	356.05	325.29	112.77	65.72	193.01
MRM1	30.12	45.21	25.54	78.89	202.66	320.8	0.0	0.06	120.94	403.5	142.01	334.46	312.0	351.14	35.0	36.27	59.97
NCLN	423.61	438.59	327.56	384.34	748.61	2104.58	0.0	0.43	1295.13	1437.15	1909.85	2335.28	1051.79	1685.71	595.34	595.34	595.34
NDUFA4L2	620.67	309.83	153.34	327241.36	31650.8	2090.03	0.0	1.06	2104.58	8305.36	1487.87	5479.15	15499.21	21919.61	1697.45	1487.87	518.15
NKD2	2.29	148.09	29.7	122.64	150.17	1498.22	91.41	1304.15	825.0	1359.57	995.0	1477.58	540.19	1487.87	521.76	463.65	59.55
NOP56	1119.56	1745.2	890.44	2178.83	2627.46	5147.73	0.0	1.03	3419.52	3955.48	4736.79	7857.29	3639.7	5076.84	1936.53	1225.22	1639.59
NXPH4	10.16	6.84	6.89	13215.02	429.54	387.02	0.0	0.56	249.73	921.88	152.28	656.11	854.13	1286.18	1.39	6.67	10.96
PCSK9	0.0	4.5	1.48	3540.14	3419.52	3280.18	0.0	0.02	140.04	267.73	1870.53	1001.93	571.05	656.11	158.79	74.06	14.35
PIDD	59.55	73.03	71.5	169.07	223.41	384.34	0.0	1.01	275.28	454.09	457.25	387.02	346.29	460.44	157.68	53.19	25.72
PKN3	157.68	185.11	120.1	88.88	150.17	267.73	0.0	0.6	147.06	279.14	101.54	265.87	202.66	262.2	155.5	127.89	88.26
PLCD1	551.56	417.77	373.81	5403.7	1322.37	2090.03	0.0	0.73	660.68	825.0	2777.33	1331.57	723.08	1081.39	438.59	463.65	242.88
PLEKHJ1	417.77	511.0	248.0	1059.11	1259.69	1936.53	0.0	0.68	1183.45	2335.28	1781.89	2591.27	1806.78	2997.45	1199.98	1191.69	825.0
POLR2E	2627.46	1447.15	915.51	2956.17	4210.15	4575.41	4181.07	316.37	3515.68	3820.7	3716.2	5255.91	4123.49	4671.57	2287.2	2193.99	2485.67
POLRMT	525.39	802.41	379.04	547.75	1001.93	2119.22	0.0	0.8	1143.1	1369.04	1127.35	2451.44	1268.46	2758.13	497.0	341.51	373.81
PPP1R3G	31.22	22.26	12.0	52.45	126.12	346.29	0.0	0.06	36.01	67.12	24.99	115.16	206.94	253.23	9.41	7.28	6.26
RAC3	214.27	185.11	108.14	684.02	713.11	2701.35	0.0	0.56	555.41	974.5	896.64	1001.93	896.64	1313.23	113.56	96.01	90.14
RANBP3	921.88	928.3	872.1	616.37	723.08	1561.89	0.0	0.89	1277.29	1259.69	1233.75	1617.0	1572.76	1896.65	669.92	872.1	708.18
RAVER1	130.6	180.02	137.14	264.03	201.25	878.17	0.0	0.75	629.35	1015.93	679.29	1268.46	981.29	1378.57	169.07	187.71	246.28
RBM10	273.37	379.04	246.28	1051.79	775.05	1059.11	0.0	0.87	684.02	884.29	612.11	915.51	842.36	995.0	426.57	293.07	309.83
RBM14	620.67	825.0	607.87	647.07	521.76	1427.22	0.0	0.16	665.29	1191.69	660.68	1709.26	1233.75	1225.22	728.11	454.09	346.29
REXO1	181.28	275.28	198.47	209.84	400.71	665.29	753.83	208.38	490.14	567.1	647.07	884.29	684.02	813.63	320.8	109.66	116.78
RHEBL1	18.03	29.48	13.83	38.12	25.17	111.99	0.0	0.11	65.72	72.52	206.94	96.01	43.32	108.9	32.82	51.35	26.86
RNF126	297.17	587.13	305.55	3325.99	3280.18	1883.54	2835.7	1159.07	1674.06	2061.24	1757.34	2609.3	1977.24	3257.52	679.29	441.64	497.0
RP11-45M22.4	0.0	1.68	0.0	0.0	1.1	3.35	0.0	0.0	21.63	17.77	0.0	2.53	33.78	0.0	0.0	0.0	0.0
RPS15	10296.45	24832.5	10225.32	41475.31	65082.31	50011.46	0.0	1.51	36864.92	48643.87	61999.83	55491.3	42937.97	80125.95	37901.36	32315.87	54727.32
RPTOR	170.25	158.79	127.0	106.63	146.03	435.55	0.0	0.54	329.84	212.78	226.54	327.56	271.48	307.69	127.0	120.94	130.6
RTKN	94.67	466.88	275.28	1008.9	902.89	2400.97	0.0	0.66	819.3	1096.5	1628.26	1662.49	1119.56	1697.45	373.81	239.52	262.2
SAFB	854.13	961.07	718.08	1216.75	1340.84	2287.2	1250.98	182.55	1529.73	2104.58	1628.26	2400.97	2319.15	2537.92	974.5	414.87	575.03
SF3A2	429.54	890.44	463.65	1617.0	1709.26	2855.44	0.0	1.07	1561.89	2163.77	2875.3	2720.15	2133.97	4152.18	651.58	718.08	591.22
SGTA	559.28	947.83	665.29	551.56	808.0	1844.76	0.0	0.93	1175.27	1498.22	1594.73	1685.71	1721.16	1781.89	866.07	791.35	693.58
SLAMF9	8.19	1.43	13.42	21.32	0.0	26.67	0.0	0.03	54.72	94.67	400.71	226.54	420.68	96.01	25.72	5.63	59.55
SLC2A8	226.54	327.56	172.65	215.77	366.09	497.0	0.0	0.71	371.22	713.11	507.46	890.44	1111.82	713.11	379.04	256.78	221.86
SLC30A3	2.01	15.68	1.13	1.36	3.35	70.51	0.0	0.11	76.71	100.83	57.89	221.86	20.41	486.75	5.54	5.5	3.44
SLC39A3	529.06	836.53	555.41	540.19	819.3	1104.13	0.0	0.0	1183.45	638.15	1487.87	1487.87	884.29	860.08	470.14	567.1	543.96
SMARCA4	642.59	1551.09	1015.93	5672.41	3190.46	2796.65	2573.36	902.89	1883.54	1721.16	2004.85	2591.27	2163.77	3081.75	647.07	669.92	555.41
SMCP	0.0	0.0	0.0	0.0	0.0	8.38	0.0	0.0	6.21	2.73	11.64	37.05	8.45	4.66	0.0	0.0	0.0
SOX21	0.39	8.71	2.12	139508.13	217400.14	665.29	0.0	0.09	194.36	624.99	295.11	190.34	543.96	329.84	17.13	2.89	70.51
THOP1	142.01	183.82	117.6	392.44	323.03	1662.49	0.0	0.59	896.64	995.0	1277.29	1883.54	1051.79	1322.37	229.72	177.53	473.41
TIGD3	0.79	3.69	1.08	17.13	6.26	40.36	0.0	0.08	15.0	26.1	23.42	55.49	15.45	36.53	8.78	2.97	2.16
TMEM259	1388.16	1628.26	967.76	2758.13	3349.13	2701.35	0.0	1.07	3018.3	2835.7	2627.46	8022.41	3955.48	4066.71	1769.57	1447.15	1208.34
TMPRSS9	0.0	0.45	1.57	4.17	1.07	7.82	0.0	0.2	4.7	3.63	3.41	10.0	6.78	7.69	1.79	0.0	0.0
TNFRSF18	8.13	39.79	17.77	559.28	318.57	2047.0	0.0	0.57	346.29	575.03	1001.93	6381.92	819.3	1331.57	43.94	9.48	27.05
TNPO2	921.88	599.49	674.59	384.34	518.15	1870.53	1183.45	902.89	791.35	974.5	775.05	1467.37	1208.34	1407.55	435.55	368.65	371.22
TRIM9	8.92	28.24	30.12	0.0	1.04	68.07	0.0	0.57	37.85	142.01	94.01	154.42	62.12	224.97	2.76	6.94	10.16
TRPV4	10.24	90.14	92.7	351.14	133.36	224.97	0.0	0.14	205.5	575.03	395.18	303.44	718.08	483.38	29.06	43.94	23.59
UBE2O	140.04	189.02	115.97	366.09	356.05	620.67	260.38	583.07	497.0	1015.93	454.09	733.19	563.18	470.14	147.06	105.15	108.9
UBTF	775.05	928.3	836.53	1199.98	1697.45	1896.65	947.83	73.54	1127.35	1359.57	981.29	1388.16	1159.07	1508.65	575.03	551.56	603.67
UPF1	532.74	587.13	514.56	1044.52	974.5	2178.83	0.0	0.97	1208.34	1233.75	884.29	1709.26	1498.22	2434.5	559.28	486.75	371.22
WDR18	152.28	229.72	134.3	1008.9	1081.39	1529.73	0.0	0.24	1322.37	1175.27	988.12	2502.97	1143.1	2537.92	470.14	432.53	454.09
WDR62	3.32	12.27	7.46	147.06	133.36	105.89	0.0	0.45	133.36	361.04	195.72	202.66	332.14	780.44	14.67	10.24	9.41
XK	1.57	12.55	18.7	178.77	134.3	59.55	0.0	0.2	28.04	67.12	124.37	43.02	59.55	98.04	16.15	36.53	193.01
ZACN	0.0	0.54	0.52	854.13	808.0	389.72	0.0	0.0	312.0	267.73	307.69	514.56	540.19	329.84	1.39	1.48	2.51
ZBTB7C	107.38	221.86	177.53	14262.1	13872.08	3103.19	0.0	0.39	253.23	860.08	563.18	423.61	1183.45	332.14	74.58	90.77	212.78
ZMYND19	120.94	202.66	102.97	559.28	679.29	1350.18	0.0	0.82	684.02	1594.73	1167.14	1225.22	1143.1	909.17	236.21	147.06	197.09
ZNF653	36.53	98.73	98.73	97.36	145.02	164.42	0.0	0.12	118.43	129.69	88.88	212.78	170.25	341.51	169.07	48.18	70.01
