	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.QDVN.0826.SM.48TZ2	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR
CCDC173	7.0	1.0	1.07	4.06	2.53	24.81	1.07	2.43	1.01	0.0	1.87	0.6	0.0	3.66	4.82	7.28	8.65	40.93	5.23	20.11	25.35	8.38	5.36	2.81	13.83	2.63	9.2	0.99	1.77	12.83	1.19	2.18	1.43	14.35	3.69	0.84	4.46	5.06	4.78	2.97	1.83	0.0	19.97	2.53	2.84	3.5	4.21	10.39	5.41	0.53	2.01	12.18	3.35	0.68	0.77	4.24	3.59	0.09	1.53	10.31	9.93	1.03	22.26	1.93	2.32	0.99	3.63	4.94	24.81
CCDC71L	1001.93	75.11	241.19	87.65	75.11	1397.83	77.25	125.24	69.52	30.56	249.73	37.32	70.51	583.07	1233.75	1832.01	915.51	2384.37	684.02	1331.57	791.35	684.02	995.0	1059.11	400.71	182.55	1159.07	144.01	117.6	2004.85	208.38	2451.44	155.5	915.51	616.37	217.27	74.06	277.2	220.32	361.04	131.51	98.73	2148.82	76.17	351.14	171.45	136.19	493.56	395.18	269.6	127.89	1508.65	178.77	217.27	124.37	403.5	348.71	974.5	194.36	529.06	248.0	126.12	2935.74	212.78	1199.98	108.14	191.67	1407.55	356.05
CCNH	1259.69	764.36	466.88	450.94	497.0	1295.13	441.64	547.75	361.04	551.56	674.59	423.61	525.39	866.07	830.75	1030.12	743.43	1427.22	738.29	1037.29	1030.12	1127.35	728.11	791.35	679.29	909.17	1037.29	684.02	599.49	1023.0	536.45	1295.13	638.15	1135.2	928.3	435.55	616.37	738.29	884.29	961.07	579.04	674.59	1447.15	638.15	536.45	599.49	563.18	620.67	633.73	571.05	961.07	995.0	738.29	775.05	624.99	1119.56	848.22	2627.46	728.11	1417.35	878.17	796.86	1594.73	603.67	2004.85	775.05	679.29	1225.22	612.11
CDC42EP1	3955.48	579.04	1427.22	525.39	1498.22	5366.37	995.0	825.0	896.64	307.69	684.02	1044.52	1857.6	2701.35	3081.75	3081.75	3395.89	4769.75	1745.2	4543.8	3168.41	3190.46	3901.01	3349.13	2935.74	791.35	6516.03	2193.99	1583.71	12076.21	1617.0	3540.14	1143.1	6792.79	2047.0	759.08	1923.14	5751.61	1832.01	2148.82	1030.12	759.08	8658.09	1191.69	2537.92	974.5	633.73	1350.18	1745.2	1378.57	1662.49	4671.57	1216.75	1242.34	679.29	3768.09	2193.99	3982.99	1594.73	3081.75	872.1	1066.48	15392.14	651.58	6935.54	1457.23	1561.89	5147.73	3794.3
CDKN1A	7857.29	249.73	3515.68	1167.14	490.14	7911.95	1745.2	2434.5	808.0	483.38	1757.34	988.12	878.17	4181.07	5872.48	9025.81	7230.1	10659.59	3081.75	4512.4	6121.9	5403.7	5517.27	4328.55	3280.18	3742.05	5255.91	2193.99	1340.84	20310.37	5255.91	6935.54	7081.29	8078.22	3665.02	2163.77	775.05	7485.11	1551.09	5292.48	1304.15	1427.22	8022.41	1583.71	2468.49	2400.97	1519.15	2032.85	3540.14	3280.18	4481.23	11035.54	579.04	2255.7	2664.15	3257.52	6294.04	13872.08	4543.8	3716.2	2335.28	1561.89	28132.47	571.05	22072.07	2090.03	1617.0	7032.37	5292.48
CHIC2	583.07	137.14	173.85	202.66	163.28	769.69	155.5	209.84	218.79	94.01	151.22	175.07	170.25	403.5	392.44	688.78	511.0	518.15	559.28	511.0	603.67	665.29	420.68	341.51	525.39	406.31	507.46	470.14	343.89	753.83	392.44	447.82	358.54	651.58	511.0	444.72	128.79	575.03	529.06	353.59	318.57	366.09	460.44	409.15	351.14	265.87	346.29	412.0	406.31	144.01	262.2	1359.57	397.93	389.72	325.29	438.59	423.61	708.18	366.09	638.15	381.68	316.37	540.19	264.03	642.59	412.0	318.57	591.22	514.56
CRTC3	211.31	98.04	92.05	134.3	202.66	248.0	45.21	132.44	145.02	122.64	139.07	52.82	79.45	143.01	258.57	285.03	197.09	244.57	131.51	195.72	187.71	215.77	223.41	242.88	125.24	111.21	368.65	148.09	121.79	567.1	180.02	368.65	185.11	190.34	163.28	138.1	94.67	273.37	132.44	98.73	92.7	78.34	190.34	118.43	114.36	86.43	92.7	241.19	143.01	125.24	106.63	466.88	130.6	183.82	123.5	173.85	105.15	182.55	138.1	132.44	220.32	178.77	547.75	100.13	341.51	93.35	107.38	285.03	150.17
CYP21A2	312.0	209.84	116.78	175.07	126.12	607.87	123.5	182.55	503.95	38.95	275.28	218.79	202.66	248.0	371.22	371.22	316.37	785.88	194.36	571.05	234.57	466.88	212.78	198.47	112.77	212.78	473.41	209.84	77.25	1896.65	73.03	688.78	173.85	708.18	921.88	96.01	63.0	218.79	217.27	102.25	70.51	81.14	2032.85	15.45	316.37	65.26	68.55	267.73	262.2	114.36	40.64	1477.58	57.08	289.02	212.78	426.57	540.19	1397.83	78.89	483.38	153.34	161.02	2303.12	237.86	1781.89	71.5	109.66	3395.89	2895.31
DENND4A	603.67	165.57	269.6	339.14	191.67	395.18	236.21	283.05	255.0	125.24	169.07	120.94	134.3	279.14	579.04	713.11	429.54	417.77	236.21	500.46	301.33	703.28	420.68	536.45	429.54	190.34	248.0	212.78	193.01	718.08	244.57	363.56	217.27	703.28	205.5	172.65	107.38	414.87	215.77	232.94	165.57	265.87	486.75	158.79	239.52	182.55	151.22	218.79	108.9	132.44	176.29	336.79	204.07	249.73	224.97	221.86	264.03	848.22	269.6	518.15	157.68	279.14	947.83	218.79	981.29	293.07	105.15	173.85	341.51
DHODH	3614.55	497.0	555.41	599.49	368.65	3820.7	486.75	403.5	1059.11	392.44	1208.34	753.83	500.46	3257.52	3395.89	4607.24	4543.8	7331.05	2193.99	5255.91	1417.35	4704.07	3491.39	4639.29	1259.69	1977.24	6745.86	669.92	1001.93	8718.32	1088.92	7749.1	825.0	3081.75	3847.29	802.41	785.88	3928.15	2061.24	2032.85	769.69	1378.57	6294.04	277.2	2956.17	1191.69	629.35	3928.15	323.03	2004.85	651.58	4239.45	2739.08	1250.98	1909.85	3540.14	579.04	1447.15	2224.63	2720.15	1340.84	1561.89	14971.21	1407.55	11267.44	435.55	813.63	6294.04	3018.3
ELL	392.44	121.79	101.54	129.69	158.79	314.17	122.64	96.01	146.03	84.04	93.35	85.22	91.41	198.47	248.0	339.14	329.84	327.56	147.06	287.01	297.17	242.88	356.05	166.73	231.32	147.06	186.4	131.51	157.68	295.11	133.36	231.32	148.09	281.09	130.6	182.55	138.1	281.09	150.17	108.14	205.5	114.36	267.73	147.06	166.73	166.73	185.11	118.43	211.31	142.01	124.37	279.14	133.36	161.02	194.36	157.68	136.19	514.56	159.9	236.21	134.3	146.03	409.15	135.24	507.46	146.03	121.79	220.32	334.46
ELMSAN1	387.02	61.68	85.82	111.99	81.71	165.57	111.99	91.41	120.94	106.63	66.65	51.71	52.08	228.13	674.59	503.95	242.88	361.04	429.54	241.19	293.07	521.76	507.46	234.57	147.06	223.41	265.87	170.25	161.02	395.18	267.73	432.53	108.14	454.09	339.14	178.77	102.97	559.28	129.69	178.77	185.11	94.67	791.35	107.38	120.94	115.97	180.02	185.11	194.36	133.36	139.07	603.67	111.21	178.77	187.71	325.29	119.26	796.86	177.53	384.34	161.02	137.14	728.11	169.07	1832.01	140.04	107.38	115.16	194.36
EPAS1	4512.4	915.51	1457.23	2148.82	1295.13	3768.09	1331.57	1268.46	1313.23	1870.53	1216.75	1096.5	1295.13	2682.69	3639.7	4066.71	3443.31	4639.29	2319.15	3443.31	2520.38	4671.57	4095.0	3716.2	2956.17	2351.53	4010.71	1963.57	1594.73	7331.05	2417.67	5995.9	1936.53	3639.7	4298.64	1963.57	1417.35	3847.29	3146.52	1697.45	1617.0	1477.58	6164.49	934.76	1721.16	1909.85	1628.26	3018.3	1250.98	1628.26	3081.75	4298.64	2573.36	2682.69	1397.83	3639.7	1467.37	3742.05	2367.9	3018.3	2609.3	1561.89	7537.18	2367.9	8479.89	2163.77	1909.85	4328.55	4419.52
EPHA2	3190.46	98.73	108.9	39.5	50.98	1733.13	125.24	142.01	61.25	37.85	58.71	157.68	37.05	860.08	476.71	1806.78	1127.35	1594.73	503.95	733.19	1508.65	2319.15	1498.22	563.18	361.04	1030.12	1487.87	616.37	432.53	1709.26	603.67	688.78	281.09	2537.92	232.94	334.46	255.0	1388.16	318.57	392.44	575.03	212.78	1508.65	305.55	289.02	490.14	177.53	423.61	1427.22	575.03	376.41	1923.14	217.27	242.88	212.78	599.49	693.58	5479.15	493.56	647.07	229.72	392.44	3901.01	327.56	5041.77	791.35	316.37	429.54	454.09
ETV6	100.13	43.02	59.97	69.52	55.1	189.02	55.49	47.5	72.52	47.84	67.59	36.79	71.5	95.34	169.07	176.29	128.79	201.25	89.51	178.77	137.14	157.68	125.24	177.53	79.45	130.6	187.71	80.01	56.28	287.01	71.5	195.72	106.63	189.02	150.17	56.28	52.45	163.28	88.26	150.17	57.89	54.33	164.42	45.85	108.9	50.98	120.94	118.43	137.14	104.42	128.79	241.19	57.49	145.02	66.18	142.01	98.73	132.44	106.63	98.04	92.7	84.63	941.27	78.89	175.07	65.26	69.03	309.83	150.17
FRMD6	346.29	15.91	32.59	36.53	52.08	194.36	22.92	84.04	34.02	26.67	47.84	22.59	24.63	242.88	414.87	318.57	178.77	295.11	127.89	198.47	182.55	444.72	183.82	316.37	172.65	75.64	363.56	115.16	18.97	392.44	190.34	733.19	57.08	108.14	194.36	99.43	38.67	511.0	64.34	80.57	41.22	43.63	575.03	11.47	92.05	50.63	94.01	95.34	117.6	91.41	74.06	285.03	158.79	167.9	27.64	152.28	98.04	151.22	53.95	45.53	106.63	71.5	384.34	45.53	173.85	50.27	52.82	59.55	204.07
FRMD8	283.05	209.84	177.53	214.27	279.14	358.54	205.5	172.65	118.43	215.77	119.26	106.63	191.67	236.21	336.79	441.64	297.17	299.25	173.85	307.69	297.17	256.78	253.23	195.72	215.77	138.1	351.14	180.02	161.02	603.67	117.6	305.55	142.01	336.79	167.9	145.02	137.14	244.57	127.89	124.37	102.25	93.35	400.71	159.9	164.42	115.16	125.24	189.02	123.5	125.24	145.02	363.56	143.01	136.19	162.14	281.09	128.79	234.57	115.16	164.42	132.44	120.1	974.5	145.02	356.05	134.3	116.78	409.15	289.02
GAREM	490.14	23.93	40.36	23.76	40.36	187.71	57.49	81.14	37.32	40.93	28.86	26.1	48.18	115.16	332.14	295.11	242.88	291.04	68.55	92.7	104.42	547.75	132.44	171.45	170.25	65.26	285.03	50.63	38.95	743.43	82.29	447.82	65.26	269.6	42.41	81.71	57.49	138.1	43.32	58.71	42.71	65.26	842.36	46.84	58.71	48.18	106.63	94.01	44.25	54.33	66.18	341.51	57.08	94.01	62.56	102.97	50.98	532.74	68.07	74.58	36.53	79.45	486.75	63.89	1295.13	49.21	53.95	269.6	215.77
GCA	197.09	218.79	48.52	166.73	125.24	447.82	73.54	82.29	89.51	620.67	96.01	208.38	98.04	220.32	281.09	358.54	283.05	426.57	283.05	414.87	395.18	395.18	273.37	320.8	201.25	273.37	878.17	155.5	94.01	591.22	111.99	743.43	166.73	392.44	583.07	110.43	55.1	303.44	173.85	190.34	76.71	96.68	748.61	66.65	334.46	63.0	121.79	221.86	258.57	125.24	166.73	1037.29	164.42	285.03	108.9	473.41	283.05	249.73	148.09	140.04	165.57	93.35	2018.8	173.85	387.02	118.43	128.79	1044.52	264.03
GCH1	1819.35	332.14	255.0	194.36	130.6	1519.15	163.28	94.67	120.94	128.79	417.77	237.86	297.17	1651.0	2609.3	2061.24	1674.06	2796.65	1183.45	1977.24	728.11	2209.26	1498.22	1857.6	1216.75	1268.46	1991.0	1259.69	363.56	2956.17	1259.69	2591.27	896.64	2682.69	878.17	921.88	551.56	518.15	2997.45	460.44	1183.45	981.29	3081.75	785.88	1119.56	896.64	974.5	3124.78	1733.13	872.1	518.15	1437.15	902.89	854.13	769.69	3443.31	1208.34	1697.45	884.29	2502.97	1001.93	2956.17	5711.87	2915.45	5872.48	1015.93	2178.83	5954.47	1709.26
GOLPH3	3325.99	1331.57	1685.71	1286.18	1286.18	2915.45	1216.75	1674.06	1286.18	830.75	665.29	728.11	1191.69	1662.49	2875.3	3742.05	2591.27	4671.57	2163.77	3901.01	1857.6	6121.9	2351.53	4066.71	2148.82	1216.75	2664.15	1617.0	1127.35	5913.33	1378.57	2976.74	1757.34	3443.31	2255.7	961.07	1044.52	2255.7	1457.23	1561.89	915.51	1159.07	4095.0	1277.29	2178.83	1119.56	954.43	2627.46	1044.52	1119.56	1143.1	3039.3	1304.15	1407.55	866.07	3103.19	1350.18	2255.7	1216.75	1769.57	1487.87	1073.91	4123.49	1806.78	3491.39	1225.22	1340.84	2701.35	2875.3
HMOX1	3443.31	616.37	133.36	323.03	483.38	5183.54	384.34	118.43	275.28	297.17	1001.93	503.95	591.22	5006.93	5147.73	4869.99	5076.84	6935.54	2468.49	3372.43	3982.99	6745.86	11584.24	6887.62	1359.57	995.0	4972.34	785.88	638.15	3639.7	713.11	6294.04	444.72	2835.7	842.36	432.53	473.41	2075.59	660.68	743.43	346.29	476.71	5751.61	409.15	1242.34	241.19	406.31	2193.99	1721.16	819.3	412.0	4869.99	1066.48	941.27	674.59	2047.0	441.64	2915.45	1359.57	1295.13	802.41	878.17	7230.1	529.06	6699.25	642.59	633.73	5751.61	6250.56
HPS5	651.58	115.16	163.28	158.79	124.37	884.29	155.5	173.85	151.22	156.59	164.42	98.73	107.38	665.29	1870.53	718.08	723.08	1104.13	1242.34	878.17	486.75	656.11	373.81	316.37	599.49	285.03	1651.0	232.94	161.02	1551.09	314.17	1183.45	409.15	441.64	301.33	289.02	145.02	860.08	197.09	208.38	129.69	312.0	444.72	137.14	332.14	181.28	173.85	718.08	185.11	209.84	205.5	423.61	346.29	291.04	183.82	432.53	176.29	368.65	423.61	253.23	389.72	376.41	674.59	460.44	412.0	148.09	194.36	620.67	669.92
ICAM1	2090.03	181.28	228.13	909.17	147.06	3060.45	165.57	267.73	176.29	71.5	327.56	155.5	336.79	2485.67	3146.52	2701.35	1721.16	3614.55	1437.15	2835.7	3168.41	5112.16	3955.48	2895.31	591.22	1477.58	2720.15	703.28	152.28	3928.15	400.71	3690.52	183.82	1059.11	896.64	182.55	114.36	2855.44	420.68	460.44	194.36	223.41	11424.74	87.03	457.25	214.27	146.03	620.67	2133.97	283.05	301.33	3639.7	518.15	397.93	251.48	854.13	728.11	2664.15	728.11	872.1	934.76	392.44	4937.99	249.73	4769.75	265.87	167.9	3768.09	3103.19
IER3	3280.18	182.55	387.02	121.79	156.59	4268.94	244.57	182.55	183.82	202.66	113.56	185.11	353.59	2178.83	836.53	2303.12	1104.13	1819.35	1561.89	5633.22	8247.98	5403.7	2835.7	2090.03	928.3	2720.15	1697.45	525.39	301.33	5366.37	417.77	2255.7	514.56	2739.08	743.43	291.04	104.42	26248.46	543.96	1183.45	764.36	228.13	10084.54	417.77	1427.22	289.02	253.23	808.0	4239.45	277.2	507.46	5366.37	409.15	624.99	170.25	3589.58	1745.2	1583.71	1350.18	2682.69	490.14	547.75	3614.55	406.31	4671.57	921.88	246.28	11584.24	6652.97
IER5L	890.44	128.79	30.78	45.85	82.29	529.06	82.29	28.45	38.95	58.3	48.87	61.68	113.56	429.54	170.25	647.07	435.55	432.53	117.6	417.77	387.02	384.34	981.29	470.14	181.28	91.41	293.07	82.87	92.7	1340.84	104.42	356.05	46.18	379.04	59.55	36.53	11.04	708.18	92.05	97.36	20.86	35.25	197.09	69.52	152.28	13.22	35.5	154.42	242.88	29.7	85.22	769.69	57.49	94.67	45.85	379.04	64.34	463.65	148.09	183.82	81.71	29.91	1143.1	34.51	1001.93	68.07	41.22	483.38	660.68
