	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.ZZPT.1426.SM.5N9C5	GTEX.NPJ8.2026.SM.3TW91	GTEX.ZYY3.1626.SM.5EGJF	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.J2.A4AE.01A.21R.A24H.07	GTEX.RTLS.0626.SM.5SI7Z
CCNL1	147.06	2271.4	3665.02	2609.3	3955.48	1350.18	764.36	1457.23	1437.15	1015.93	775.05	392.44	1096.5	2777.33	1359.57	1286.18	1350.18	3018.3	1044.52	1044.52	432.53	713.11	3039.3	848.22	532.74	279.14	2224.63	1066.48	567.1	708.18	2451.44	3060.45	753.83	1037.29	759.08	587.13	136.19	1259.69	2209.26	1051.79	830.75	426.57	379.04	1617.0	1199.98	525.39	642.59	5183.54	2591.27
CDK11A	92.7	1175.27	5255.91	4152.18	1950.0	595.34	220.32	559.28	603.67	414.87	392.44	171.45	258.57	2935.74	679.29	579.04	836.53	830.75	124.37	665.29	130.6	148.09	1359.57	624.99	420.68	208.38	769.69	356.05	373.81	232.94	1709.26	813.63	348.71	543.96	305.55	392.44	17.77	808.0	1286.18	476.71	579.04	197.09	287.01	555.41	974.5	228.13	199.85	1639.59	1242.34
CEP95	165.57	1216.75	1561.89	1081.39	967.76	599.49	144.01	536.45	674.59	339.14	312.0	205.5	224.97	1044.52	536.45	420.68	490.14	769.69	299.25	759.08	255.0	341.51	947.83	412.0	327.56	215.77	961.07	397.93	229.72	271.48	988.12	688.78	253.23	432.53	346.29	277.2	75.64	718.08	575.03	521.76	423.61	264.03	305.55	656.11	915.51	158.79	144.01	1066.48	1477.58
CLASRP	147.06	2997.45	6516.03	4543.8	3146.52	1191.69	287.01	1030.12	1540.37	669.92	591.22	251.48	343.89	4704.07	1225.22	1104.13	1286.18	1073.91	72.01	1096.5	151.22	279.14	2004.85	1096.5	500.46	297.17	1457.23	466.88	420.68	454.09	2875.3	1242.34	532.74	878.17	665.29	486.75	87.03	1216.75	2384.37	1008.9	1104.13	738.29	497.0	1216.75	2047.0	299.25	314.17	1936.53	1883.54
CLK1	555.41	8078.22	6983.79	9740.98	6471.02	1639.59	872.1	2720.15	1794.29	1199.98	2915.45	314.17	1051.79	6607.01	2004.85	1340.84	1757.34	3212.66	2664.15	2193.99	392.44	1639.59	3325.99	1508.65	1119.56	483.38	3443.31	921.88	587.13	1104.13	4095.0	3103.19	1008.9	1662.49	1159.07	688.78	629.35	1757.34	3103.19	1745.2	1286.18	1037.29	1044.52	2104.58	3690.52	764.36	967.76	7032.37	5366.37
CLK2	273.37	2193.99	2209.26	2240.11	2271.4	1037.29	395.18	819.3	1286.18	460.44	775.05	186.4	420.68	2468.49	1331.57	902.89	890.44	1088.92	281.09	1167.14	269.6	444.72	1870.53	583.07	633.73	251.48	1583.71	543.96	395.18	314.17	2075.59	1119.56	476.71	896.64	435.55	480.04	43.02	1369.04	1508.65	1073.91	884.29	334.46	466.88	1417.35	1685.71	341.51	231.32	1417.35	1832.01
DCST1	0.0	6.94	3.76	2.66	6.06	2.63	0.77	0.0	3.23	1.58	0.99	0.41	1.11	2.76	2.63	0.39	2.14	2.58	2.12	0.39	0.0	0.0	4.98	1.87	1.6	0.82	4.28	2.84	0.0	0.0	2.61	7.94	1.17	0.92	1.14	0.0	0.0	2.94	1.85	2.66	1.79	0.0	0.0	2.81	1.28	0.4	0.0	8.92	4.21
DFNB31	10.16	575.03	642.59	389.72	559.28	101.54	33.3	76.17	239.52	96.01	303.44	32.13	81.71	1044.52	111.21	180.02	105.89	133.36	25.54	141.02	39.5	45.85	181.28	169.07	107.38	47.17	137.14	51.35	77.25	80.01	212.78	567.1	128.79	99.43	71.0	53.57	7.22	62.56	149.12	82.87	226.54	17.64	51.35	100.13	182.55	53.57	70.51	307.69	412.0
DXO	130.6	902.89	1277.29	1331.57	921.88	559.28	293.07	176.29	521.76	244.57	303.44	110.43	293.07	775.05	381.68	303.44	486.75	466.88	264.03	351.14	122.64	234.57	620.67	371.22	181.28	169.07	444.72	171.45	172.65	194.36	708.18	638.15	248.0	616.37	218.79	204.07	128.79	373.81	511.0	316.37	353.59	343.89	423.61	346.29	647.07	260.38	201.25	1044.52	612.11
FAM27E3	10.39	180.02	122.64	260.38	130.6	50.98	9.06	55.89	21.78	19.68	45.85	7.28	9.93	108.9	39.5	35.25	36.53	75.11	16.88	37.32	3.32	11.91	77.79	41.22	14.67	4.86	83.45	24.11	20.71	43.02	71.5	81.71	13.12	13.22	21.94	16.51	69.03	60.82	90.14	39.5	66.18	4.98	23.93	51.35	37.32	17.77	5.23	138.1	59.97
FNBP4	146.03	1757.34	2240.11	1286.18	1628.26	819.3	299.25	1023.0	1143.1	551.56	547.75	154.42	426.57	2061.24	1233.75	656.11	995.0	1059.11	281.09	1225.22	193.01	397.93	1870.53	753.83	555.41	189.02	1896.65	514.56	500.46	406.31	1977.24	988.12	406.31	1008.9	603.67	503.95	41.52	1159.07	836.53	1111.82	808.0	277.2	356.05	896.64	1208.34	251.48	316.37	1697.45	1781.89
GTF2H4	511.0	866.07	1001.93	633.73	819.3	547.75	343.89	356.05	547.75	343.89	314.17	387.02	334.46	1628.26	567.1	318.57	463.65	571.05	189.02	579.04	371.22	432.53	656.11	511.0	348.71	180.02	1081.39	379.04	403.5	403.5	718.08	728.11	363.56	476.71	341.51	346.29	115.97	563.18	497.0	450.94	361.04	351.14	361.04	483.38	785.88	291.04	325.29	878.17	866.07
GTPBP2	363.56	1417.35	1594.73	1583.71	1583.71	1135.2	679.29	866.07	860.08	543.96	769.69	325.29	403.5	2255.7	1159.07	480.04	1073.91	1081.39	476.71	674.59	371.22	426.57	1407.55	819.3	500.46	356.05	860.08	902.89	567.1	432.53	1977.24	1359.57	559.28	854.13	460.44	525.39	135.24	1044.52	1191.69	688.78	802.41	525.39	454.09	638.15	1417.35	327.56	334.46	2573.36	1175.27
KIAA0895L	27.05	2090.03	802.41	1437.15	1605.83	500.46	94.01	312.0	417.77	343.89	265.87	194.36	180.02	1583.71	463.65	406.31	511.0	693.58	48.87	708.18	68.55	146.03	1286.18	339.14	244.57	180.02	1001.93	139.07	102.97	165.57	1721.16	1127.35	232.94	536.45	214.27	153.34	15.68	529.06	1044.52	447.82	497.0	400.71	271.48	620.67	872.1	334.46	120.1	1286.18	665.29
LMBR1L	119.26	3103.19	1923.14	2133.97	2287.2	1242.34	384.34	928.3	1540.37	780.44	540.19	414.87	775.05	3146.52	1407.55	591.22	1143.1	1073.91	406.31	1143.1	379.04	688.78	1977.24	934.76	540.19	283.05	2627.46	579.04	444.72	486.75	1923.14	1447.15	480.04	1250.98	656.11	438.59	95.34	1250.98	1388.16	1023.0	866.07	551.56	381.68	1259.69	1936.53	373.81	373.81	1467.37	1628.26
MAPK8IP3	15.68	2104.58	3280.18	2417.67	2133.97	1467.37	281.09	743.43	1073.91	1008.9	397.93	102.25	348.71	3982.99	1096.5	547.75	1457.23	802.41	73.54	1199.98	55.1	80.57	1594.73	1135.2	409.15	135.24	2148.82	305.55	220.32	339.14	4836.35	1467.37	463.65	1594.73	392.44	441.64	18.84	1044.52	1936.53	1457.23	603.67	273.37	155.5	802.41	2935.74	173.85	189.02	1651.0	1322.37
MDC1	176.29	764.36	525.39	567.1	599.49	387.02	133.36	275.28	301.33	186.4	336.79	149.12	221.86	540.19	318.57	202.66	318.57	476.71	199.85	376.41	78.34	122.64	603.67	341.51	218.79	108.9	361.04	100.83	403.5	182.55	417.77	543.96	197.09	314.17	178.77	323.03	22.26	591.22	275.28	327.56	209.84	124.37	271.48	336.79	336.79	165.57	244.57	860.08	808.0
MED24	934.76	2485.67	2720.15	3124.78	2591.27	1277.29	540.19	890.44	884.29	1030.12	921.88	693.58	796.86	2104.58	1151.06	1167.14	1151.06	1044.52	503.95	1259.69	551.56	723.08	1277.29	1081.39	909.17	813.63	1304.15	733.19	902.89	934.76	1583.71	1529.73	988.12	1143.1	902.89	981.29	82.87	1104.13	1561.89	921.88	647.07	438.59	941.27	848.22	1286.18	656.11	693.58	1651.0	1397.83
NEURL4	67.59	1242.34	1135.2	1183.45	872.1	400.71	80.01	281.09	356.05	135.24	164.42	72.52	113.56	934.76	353.59	269.6	299.25	281.09	40.36	299.25	40.64	78.34	587.13	373.81	164.42	131.51	356.05	111.99	105.15	154.42	651.58	279.14	141.02	273.37	148.09	201.25	24.28	351.14	483.38	314.17	170.25	84.04	116.78	299.25	503.95	77.25	128.79	376.41	665.29
NFKBID	19.25	343.89	283.05	371.22	400.71	123.5	54.33	156.59	116.78	133.36	228.13	44.57	62.12	884.29	156.59	112.77	269.6	438.59	81.14	132.44	13.93	45.85	624.99	74.58	66.65	54.33	281.09	127.0	47.17	55.1	583.07	470.14	115.97	140.04	141.02	68.55	6.89	111.21	351.14	197.09	149.12	34.51	53.57	323.03	361.04	46.5	62.56	703.28	289.02
NPIPA1	59.13	6887.62	5366.37	7911.95	5711.87	1331.57	246.28	1167.14	1923.14	813.63	872.1	214.27	1059.11	3901.01	1233.75	1225.22	1540.37	1674.06	231.32	1662.49	66.65	279.14	2209.26	1359.57	620.67	314.17	1685.71	808.0	260.38	633.73	5255.91	1651.0	947.83	1233.75	591.22	376.41	77.79	1407.55	2004.85	1628.26	1167.14	260.38	423.61	1519.15	2209.26	223.41	389.72	2133.97	2520.38
NPIPB6	0.0	43.02	51.35	162.14	30.56	10.88	6.84	5.11	4.1	7.11	10.71	1.25	4.46	17.51	11.64	7.82	9.85	15.45	4.28	6.84	0.0	0.0	17.0	12.74	0.0	1.25	8.25	0.0	3.96	2.01	21.63	30.34	0.42	4.17	3.08	0.0	2.78	4.13	20.71	18.56	5.02	0.0	0.0	2.86	29.06	1.2	1.89	36.27	92.7
NSUN6	65.26	136.19	332.14	295.11	209.84	147.06	55.1	114.36	131.51	116.78	102.97	57.89	70.01	305.55	146.03	152.28	108.14	161.02	67.12	132.44	60.39	75.11	133.36	142.01	88.26	43.32	171.45	94.67	90.14	134.3	271.48	232.94	106.63	133.36	94.67	89.51	43.63	158.79	117.6	131.51	77.25	48.18	80.01	183.82	170.25	74.06	53.19	289.02	301.33
NXF1	379.04	4095.0	2915.45	5913.33	3235.01	1313.23	493.56	1388.16	1225.22	902.89	1001.93	414.87	660.68	2224.63	1340.84	1104.13	1151.06	1870.53	759.08	1457.23	441.64	656.11	2400.97	1286.18	802.41	414.87	1685.71	981.29	769.69	543.96	2240.11	1467.37	684.02	1015.93	1073.91	967.76	94.01	1378.57	1477.58	1096.5	981.29	406.31	769.69	1268.46	1135.2	514.56	624.99	2701.35	2351.53
PBX2	332.14	2976.74	1857.6	2148.82	1936.53	1806.78	497.0	1119.56	1397.83	928.3	1096.5	802.41	954.43	3018.3	1883.54	718.08	1467.37	1721.16	669.92	1781.89	563.18	896.64	2739.08	1388.16	718.08	480.04	2018.8	629.35	1044.52	616.37	2417.67	1909.85	802.41	1697.45	743.43	878.17	63.0	1685.71	1487.87	1617.0	583.07	551.56	1088.92	1350.18	1781.89	764.36	647.07	1870.53	2133.97
PHF12	152.28	693.58	616.37	642.59	547.75	470.14	154.42	409.15	358.54	251.48	447.82	206.94	251.48	642.59	532.74	291.04	457.25	480.04	147.06	381.68	152.28	204.07	521.76	329.84	295.11	244.57	460.44	249.73	414.87	279.14	525.39	595.34	312.0	371.22	262.2	339.14	21.16	438.59	358.54	457.25	356.05	202.66	253.23	327.56	511.0	221.86	285.03	591.22	620.67
PNISR	180.02	6337.83	4419.52	5112.16	6037.61	1378.57	339.14	842.36	1151.06	575.03	563.18	395.18	318.57	4152.18	1242.34	703.28	1359.57	1529.73	463.65	2287.2	368.65	583.07	2224.63	961.07	473.41	244.57	2720.15	476.71	536.45	395.18	3235.01	1628.26	713.11	1143.1	417.77	438.59	111.99	1721.16	1191.69	1447.15	400.71	329.84	406.31	1322.37	1617.0	351.14	392.44	4152.18	4802.93
PPP1R32	3.11	140.04	177.53	151.22	249.73	62.56	22.59	50.63	69.03	41.22	45.85	22.92	16.27	185.11	52.08	35.76	88.26	89.51	23.76	81.14	28.45	24.63	151.22	65.26	23.76	18.84	130.6	44.89	29.7	24.46	172.65	111.99	37.85	49.56	29.91	27.64	94.01	83.45	78.89	72.01	42.41	16.88	44.57	90.77	236.21	30.56	42.41	251.48	145.02
PRICKLE4	30.12	591.22	1721.16	1051.79	642.59	262.2	55.1	88.88	253.23	128.79	82.87	99.43	64.8	647.07	279.14	122.64	256.78	221.86	29.48	454.09	41.22	80.01	441.64	194.36	98.04	40.07	514.56	68.07	65.26	100.83	348.71	301.33	130.6	180.02	78.34	96.01	17.9	204.07	206.94	202.66	130.6	59.97	140.04	226.54	273.37	48.18	127.89	733.19	450.94
PRPF3	426.57	2224.63	2537.92	1757.34	1923.14	759.08	316.37	961.07	947.83	480.04	518.15	195.72	232.94	2591.27	1044.52	921.88	934.76	1059.11	297.17	1216.75	204.07	325.29	1674.06	753.83	665.29	201.25	1151.06	414.87	373.81	303.44	2520.38	928.3	457.25	759.08	457.25	412.0	59.97	1127.35	1857.6	1037.29	723.08	361.04	366.09	1250.98	3235.01	287.01	273.37	1963.57	1991.0
RBM6	303.44	4869.99	2720.15	4671.57	5479.15	612.11	363.56	872.1	1030.12	507.46	466.88	269.6	258.57	4181.07	1233.75	679.29	934.76	1350.18	253.23	1225.22	162.14	323.03	2417.67	915.51	536.45	191.67	1369.04	454.09	476.71	379.04	2855.44	836.53	379.04	981.29	346.29	339.14	147.06	1350.18	1909.85	1104.13	476.71	358.54	287.01	1487.87	3124.78	269.6	267.73	3212.66	3081.75
REV3L	62.56	358.54	389.72	470.14	521.76	253.23	96.68	191.67	187.71	99.43	221.86	105.89	102.97	262.2	163.28	125.24	204.07	226.54	171.45	228.13	142.01	253.23	279.14	128.79	176.29	78.89	171.45	122.64	183.82	183.82	279.14	318.57	134.3	194.36	132.44	132.44	17.64	212.78	149.12	190.34	109.66	130.6	157.68	211.31	234.57	115.97	119.26	432.53	301.33
RGL2	353.59	5006.93	3467.27	3564.78	2739.08	1331.57	395.18	1037.29	981.29	633.73	583.07	791.35	620.67	2178.83	1233.75	571.05	1015.93	1331.57	384.34	1806.78	460.44	571.05	2502.97	1159.07	500.46	412.0	1963.57	532.74	575.03	571.05	1794.29	1651.0	607.87	1059.11	587.13	669.92	246.28	1437.15	1135.2	1561.89	679.29	432.53	713.11	1322.37	1135.2	665.29	579.04	3372.43	2591.27
RIMKLB	111.99	1477.58	669.92	830.75	1651.0	603.67	195.72	579.04	599.49	454.09	373.81	287.01	339.14	1498.22	934.76	260.38	507.46	934.76	135.24	988.12	327.56	447.82	1427.22	373.81	447.82	186.4	1551.09	164.42	395.18	312.0	1268.46	780.44	395.18	723.08	318.57	150.17	141.02	791.35	684.02	1037.29	303.44	221.86	224.97	624.99	1397.83	198.47	332.14	1096.5	1605.83
RP11-1212A22.4	19.25	5403.7	4152.18	7433.4	4575.41	1923.14	318.57	1923.14	2645.74	1015.93	674.59	289.02	1794.29	4937.99	1923.14	1870.53	2240.11	2271.4	77.79	2178.83	195.72	234.57	3235.01	2133.97	769.69	305.55	1457.23	878.17	373.81	995.0	4358.66	4123.49	1199.98	1250.98	1508.65	802.41	31.45	2935.74	2075.59	1950.0	1447.15	607.87	909.17	1883.54	2303.12	373.81	688.78	1977.24	2104.58
SKIV2L	866.07	1427.22	1909.85	1883.54	1191.69	1208.34	579.04	624.99	902.89	633.73	743.43	511.0	480.04	1781.89	995.0	785.88	1167.14	759.08	287.01	981.29	289.02	435.55	1242.34	836.53	429.54	457.25	1175.27	563.18	514.56	633.73	1870.53	1135.2	679.29	988.12	493.56	651.58	285.03	802.41	1268.46	909.17	748.61	303.44	890.44	759.08	1540.37	454.09	473.41	1617.0	1617.0
SSBP3-AS1	0.0	49.91	44.57	39.22	80.57	8.25	1.53	3.53	8.92	5.92	4.43	0.0	2.97	21.16	17.64	7.4	22.59	12.83	2.14	14.24	4.43	3.03	19.11	16.39	15.0	2.05	8.25	1.81	0.0	1.2	22.75	35.0	0.8	9.63	3.44	3.41	0.0	10.71	13.32	3.06	4.66	0.0	3.44	16.03	6.36	2.76	0.0	11.55	4.98
SYNGAP1	13.93	1457.23	587.13	830.75	921.88	299.25	39.5	152.28	277.2	95.34	131.51	94.01	89.51	616.37	395.18	129.69	241.19	260.38	51.71	244.57	38.67	76.71	490.14	150.17	172.65	55.49	309.83	68.07	110.43	58.3	457.25	348.71	77.25	175.07	65.26	103.69	7.17	371.22	229.72	353.59	121.79	53.57	91.41	232.94	273.37	63.89	70.51	305.55	343.89
TENC1	80.01	11909.94	7695.57	14361.31	8901.53	2573.36	915.51	1781.89	2319.15	1832.01	1233.75	1617.0	1583.71	4736.79	3103.19	2032.85	2451.44	3419.52	1487.87	3928.15	521.76	1331.57	4671.57	1457.23	1685.71	708.18	4181.07	1950.0	1127.35	1561.89	3874.05	2573.36	1508.65	2417.67	1119.56	1250.98	267.73	3467.27	3794.3	2468.49	607.87	2090.03	2627.46	2591.27	3794.3	1081.39	1733.13	2193.99	3716.2
TGFBI	43236.64	1397.83	1127.35	2417.67	4010.71	160252.91	189257.69	343510.77	158046.64	419990.32	205673.01	338781.54	186652.11	106462.55	87075.75	267651.2	121448.75	58655.36	201440.3	93325.55	145432.49	242898.5	22692.63	248002.34	419990.32	5479.15	52863.07	301123.38	246289.25	411347.03	13306.94	134755.94	174152.51	154794.07	186652.11	275175.93	414.87	148488.36	258533.99	152662.96	236256.4	190574.09	186652.11	391864.76	110983.6	294926.33	174152.51	2997.45	688.78
TJAP1	204.07	1407.55	1143.1	1322.37	1208.34	555.41	211.31	406.31	507.46	293.07	341.51	299.25	267.73	909.17	579.04	329.84	463.65	536.45	187.71	651.58	163.28	229.72	698.41	563.18	277.2	241.19	679.29	267.73	293.07	366.09	791.35	563.18	320.8	454.09	256.78	246.28	46.84	547.75	500.46	547.75	366.09	218.79	414.87	450.94	612.11	255.0	258.57	860.08	764.36
TUBGCP6	59.13	1519.15	1467.37	1447.15	1242.34	647.07	120.94	379.04	679.29	351.14	323.03	142.01	205.5	1991.0	473.41	500.46	728.11	503.95	68.55	688.78	60.39	110.43	872.1	403.5	336.79	177.53	866.07	211.31	186.4	171.45	1233.75	660.68	258.57	503.95	423.61	281.09	147.06	583.07	718.08	403.5	647.07	224.97	201.25	547.75	1143.1	163.28	217.27	1427.22	1104.13
USP36	373.81	1331.57	1001.93	1674.06	1540.37	624.99	217.27	693.58	813.63	493.56	567.1	356.05	450.94	842.36	733.19	432.53	607.87	791.35	301.33	599.49	267.73	316.37	1369.04	563.18	497.0	392.44	780.44	656.11	400.71	470.14	830.75	967.76	414.87	493.56	532.74	346.29	57.08	587.13	638.15	629.35	403.5	297.17	444.72	543.96	1008.9	271.48	358.54	1143.1	961.07
WDR27	28.24	1135.2	1674.06	753.83	1268.46	603.67	49.21	285.03	397.93	128.79	124.37	50.63	63.45	1119.56	348.71	173.85	249.73	395.18	96.68	607.87	74.06	85.82	796.86	361.04	144.01	59.13	764.36	193.01	45.85	81.14	909.17	400.71	124.37	341.51	133.36	78.34	8.99	507.46	624.99	441.64	126.12	89.51	41.81	356.05	603.67	66.18	56.28	1135.2	1397.83
