	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11ZVC.0726.SM.5FQT9	GTEX.WVJS.0826.SM.4MVNR	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.13FTW.1226.SM.5LZZ1	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
DCAF7	376.41	287.01	341.51	198.47	163.28	215.77	256.78	197.09	236.21	199.85	241.19	583.07	738.29	1051.79	1111.82	708.18	819.3	698.41	693.58	819.3	909.17	642.59	624.99	1044.52	813.63	454.09	669.92	669.92	1015.93	679.29	941.27	941.27	603.67	1037.29	1066.48	830.75	947.83	629.35	1001.93	961.07	860.08	642.59	684.02
DDX21	320.8	120.1	231.32	166.73	189.02	161.02	251.48	182.55	178.77	190.34	348.71	316.37	384.34	1259.69	988.12	521.76	595.34	267.73	447.82	559.28	954.43	358.54	246.28	559.28	429.54	312.0	299.25	511.0	529.06	373.81	444.72	368.65	327.56	759.08	575.03	947.83	525.39	281.09	470.14	444.72	366.09	161.02	435.55
DHDDS	412.0	559.28	400.71	287.01	228.13	260.38	361.04	283.05	273.37	348.71	281.09	389.72	460.44	703.28	616.37	591.22	693.58	567.1	460.44	595.34	738.29	575.03	438.59	660.68	616.37	503.95	486.75	603.67	669.92	583.07	595.34	629.35	529.06	679.29	884.29	890.44	688.78	493.56	698.41	616.37	567.1	555.41	607.87
DHX9	1015.93	693.58	921.88	775.05	559.28	693.58	791.35	684.02	830.75	660.68	748.61	1216.75	2032.85	2018.8	2520.38	1950.0	1977.24	1794.29	1936.53	2047.0	2104.58	1977.24	2090.03	2287.2	1745.2	1407.55	1923.14	1447.15	2090.03	1628.26	1923.14	1844.76	1883.54	2367.9	2417.67	2816.11	2148.82	1721.16	2193.99	1806.78	1757.34	1340.84	1733.13
EIF2AK3	202.66	87.03	173.85	92.05	75.11	56.28	170.25	88.26	132.44	102.97	162.14	158.79	480.04	860.08	796.86	567.1	759.08	267.73	454.09	718.08	878.17	444.72	392.44	693.58	651.58	379.04	275.28	591.22	679.29	358.54	629.35	629.35	457.25	1037.29	967.76	791.35	612.11	373.81	665.29	543.96	400.71	271.48	591.22
EIF3A	995.0	441.64	872.1	620.67	591.22	607.87	620.67	567.1	633.73	579.04	842.36	525.39	1477.58	2520.38	2573.36	1674.06	1781.89	1487.87	1745.2	2018.8	2018.8	1757.34	1159.07	2004.85	1397.83	679.29	1427.22	1030.12	2047.0	1487.87	1769.57	1685.71	1498.22	2573.36	2384.37	2075.59	1540.37	1073.91	1923.14	1819.35	1407.55	836.53	1417.35
FAF2	379.04	234.57	307.69	275.28	297.17	249.73	301.33	262.2	264.03	269.6	283.05	193.01	571.05	638.15	708.18	616.37	629.35	536.45	607.87	748.61	748.61	567.1	571.05	624.99	616.37	423.61	551.56	624.99	624.99	559.28	624.99	587.13	575.03	629.35	791.35	830.75	791.35	483.38	669.92	733.19	669.92	490.14	551.56
GBF1	409.15	299.25	323.03	264.03	195.72	218.79	234.57	229.72	228.13	373.81	271.48	346.29	713.11	791.35	813.63	688.78	830.75	665.29	703.28	802.41	830.75	616.37	642.59	738.29	616.37	275.28	753.83	371.22	753.83	718.08	854.13	775.05	603.67	796.86	1111.82	866.07	1487.87	703.28	759.08	1044.52	733.19	651.58	674.59
GSPT1	896.64	759.08	825.0	521.76	647.07	607.87	698.41	620.67	679.29	651.58	629.35	1001.93	1216.75	2400.97	2417.67	1662.49	1583.71	1081.39	1359.57	2061.24	2148.82	1199.98	1066.48	1757.34	1477.58	1119.56	1216.75	1242.34	1709.26	1151.06	1651.0	1508.65	1304.15	2018.8	1769.57	2739.08	2061.24	1051.79	1697.45	1781.89	1519.15	954.43	1529.73
HDAC2	429.54	291.04	409.15	260.38	249.73	303.44	420.68	239.52	371.22	217.27	316.37	647.07	1498.22	1806.78	2032.85	1447.15	1427.22	1183.45	1447.15	1697.45	1477.58	1277.29	1340.84	1498.22	1277.29	1359.57	1259.69	1268.46	1583.71	1073.91	1427.22	1407.55	1350.18	2104.58	1781.89	1794.29	1369.04	842.36	1378.57	1111.82	1104.13	651.58	1037.29
HNRNPR	748.61	607.87	733.19	551.56	713.11	708.18	607.87	616.37	612.11	555.41	842.36	1167.14	1561.89	2178.83	2835.7	1769.57	1909.85	1369.04	2047.0	2119.22	1950.0	1745.2	1721.16	2047.0	1498.22	1277.29	1447.15	1832.01	1685.71	1447.15	1857.6	1685.71	1697.45	2224.63	2240.11	2367.9	1963.57	1467.37	1674.06	1781.89	1467.37	1225.22	1697.45
HSPA14	208.38	71.0	151.22	176.29	190.34	171.45	138.1	153.34	159.9	191.67	242.88	277.2	255.0	480.04	525.39	426.57	466.88	239.52	466.88	406.31	536.45	379.04	341.51	466.88	432.53	599.49	236.21	723.08	353.59	316.37	346.29	417.77	395.18	460.44	470.14	665.29	435.55	295.11	435.55	511.0	353.59	293.07	307.69
IARS	400.71	167.9	329.84	191.67	165.57	180.02	159.9	232.94	314.17	297.17	206.94	438.59	624.99	1457.23	1388.16	1066.48	915.51	612.11	1001.93	947.83	1051.79	808.0	563.18	974.5	1008.9	842.36	595.34	785.88	974.5	723.08	878.17	785.88	854.13	1081.39	1119.56	1044.52	1175.27	567.1	995.0	1023.0	775.05	497.0	836.53
IWS1	450.94	199.85	329.84	384.34	426.57	381.68	269.6	334.46	351.14	351.14	387.02	395.18	607.87	693.58	660.68	769.69	743.43	575.03	607.87	633.73	743.43	651.58	642.59	713.11	571.05	432.53	532.74	540.19	624.99	536.45	603.67	684.02	703.28	872.1	703.28	961.07	848.22	543.96	642.59	620.67	718.08	444.72	647.07
KPNB1	1216.75	423.61	934.76	748.61	890.44	934.76	607.87	830.75	674.59	915.51	1233.75	1015.93	2163.77	3768.09	3820.7	2061.24	2209.26	2047.0	2004.85	2739.08	2609.3	1909.85	2061.24	2384.37	2133.97	1208.34	1628.26	1806.78	2555.58	1896.65	2384.37	2018.8	1883.54	2855.44	2796.65	2664.15	2645.74	1605.83	2061.24	2609.3	2209.26	981.29	1781.89
L3MBTL2	361.04	353.59	299.25	305.55	373.81	291.04	309.83	293.07	343.89	450.94	267.73	392.44	511.0	587.13	518.15	521.76	563.18	551.56	457.25	486.75	536.45	521.76	441.64	532.74	470.14	356.05	497.0	420.68	551.56	486.75	493.56	536.45	497.0	514.56	599.49	529.06	723.08	423.61	547.75	540.19	497.0	638.15	457.25
LRRC41	620.67	595.34	500.46	447.82	379.04	412.0	490.14	409.15	435.55	473.41	384.34	769.69	1417.35	1397.83	1397.83	1216.75	1322.37	1388.16	1268.46	1159.07	1242.34	1331.57	954.43	1250.98	1397.83	1037.29	1388.16	1111.82	1529.73	1340.84	1268.46	1295.13	1199.98	1561.89	1427.22	1508.65	1709.26	1081.39	1331.57	1359.57	1388.16	1159.07	1259.69
LTV1	309.83	127.89	241.19	229.72	202.66	186.4	241.19	218.79	226.54	269.6	301.33	279.14	303.44	490.14	457.25	447.82	547.75	361.04	371.22	432.53	543.96	429.54	463.65	454.09	400.71	379.04	293.07	486.75	426.57	279.14	351.14	454.09	532.74	629.35	500.46	703.28	575.03	265.87	476.71	361.04	373.81	206.94	368.65
MED1	166.73	81.14	128.79	197.09	119.26	102.97	117.6	96.68	223.41	164.42	145.02	186.4	236.21	397.93	514.56	320.8	341.51	236.21	356.05	368.65	368.65	281.09	214.27	412.0	275.28	120.1	228.13	229.72	312.0	273.37	339.14	323.03	265.87	403.5	432.53	540.19	379.04	239.52	253.23	291.04	244.57	180.02	248.0
MIEF1	291.04	258.57	289.02	223.41	190.34	198.47	232.94	202.66	224.97	249.73	264.03	172.65	242.88	525.39	406.31	291.04	351.14	303.44	295.11	381.68	480.04	291.04	197.09	376.41	316.37	172.65	246.28	332.14	329.84	265.87	343.89	318.57	293.07	457.25	387.02	329.84	325.29	277.2	329.84	353.59	323.03	239.52	205.5
MKI67IP	473.41	223.41	409.15	579.04	297.17	256.78	656.11	363.56	414.87	329.84	470.14	483.38	967.76	1467.37	1277.29	1081.39	860.08	995.0	1175.27	842.36	981.29	836.53	854.13	884.29	941.27	934.76	830.75	974.5	1023.0	693.58	647.07	591.22	934.76	1001.93	954.43	1331.57	1081.39	603.67	684.02	679.29	941.27	497.0	480.04
MSI2	237.86	199.85	172.65	92.7	173.85	76.71	178.77	79.45	195.72	173.85	339.14	231.32	669.92	713.11	1104.13	780.44	878.17	599.49	791.35	884.29	981.29	674.59	825.0	902.89	679.29	629.35	638.15	802.41	819.3	587.13	665.29	791.35	684.02	819.3	1023.0	1378.57	1051.79	802.41	769.69	1030.12	860.08	708.18	718.08
MSMB	13.52	0.0	0.0	1.62	1.79	11.04	5.92	16.27	4.82	0.0	3.26	16.03	894051.48	159145.95	211455.3	783730.52	381149.17	711250.37	1019901.63	811368.76	778316.89	845824.19	1212874.47	554180.87	778316.89	1264380.15	1308968.45	1139523.1	397335.0	636586.81	1171559.48	919186.72	958220.73	919186.72	417089.23	211455.3	370726.6	550352.86	1645391.11	894051.48	619179.28	762299.34	654483.73
NACC1	329.84	236.21	205.5	201.25	157.68	126.12	295.11	166.73	150.17	285.03	212.78	271.48	647.07	693.58	612.11	384.34	450.94	718.08	406.31	447.82	633.73	559.28	400.71	583.07	536.45	198.47	599.49	463.65	718.08	571.05	665.29	764.36	348.71	703.28	813.63	728.11	759.08	563.18	599.49	406.31	624.99	447.82	389.72
NCL	4181.07	2537.92	3257.52	2485.67	2303.12	2148.82	3235.01	2537.92	2915.45	2468.49	2997.45	2835.7	5913.33	7695.57	7911.95	6037.61	6471.02	6516.03	6426.31	6037.61	6652.97	6207.38	5366.37	6207.38	4639.29	2335.28	5672.41	3168.41	7230.1	5751.61	5147.73	5219.6	6294.04	7966.99	7331.05	7331.05	6840.04	4575.41	6381.92	5995.9	4972.34	3325.99	4450.27
NOLC1	486.75	371.22	497.0	457.25	309.83	297.17	432.53	426.57	503.95	373.81	493.56	435.55	1313.23	2047.0	1909.85	1313.23	1350.18	1037.29	1242.34	1508.65	1733.13	1111.82	1044.52	1277.29	1127.35	633.73	1096.5	947.83	1427.22	1183.45	1183.45	1268.46	1225.22	1498.22	1397.83	1991.0	1498.22	961.07	1378.57	1143.1	1111.82	836.53	1111.82
NSF	241.19	211.31	224.97	119.26	107.38	107.38	178.77	135.24	171.45	146.03	175.07	237.86	813.63	1096.5	1127.35	624.99	981.29	397.93	353.59	723.08	713.11	486.75	403.5	629.35	563.18	403.5	473.41	521.76	599.49	395.18	620.67	555.41	460.44	819.3	981.29	775.05	802.41	409.15	660.68	607.87	532.74	460.44	688.78
NSUN4	201.25	165.57	162.14	185.11	119.26	139.07	154.42	138.1	208.38	115.97	127.89	170.25	277.2	444.72	412.0	441.64	346.29	249.73	301.33	343.89	329.84	316.37	234.57	381.68	429.54	277.2	251.48	392.44	339.14	303.44	406.31	403.5	273.37	361.04	547.75	651.58	587.13	281.09	323.03	470.14	356.05	332.14	438.59
NUFIP1	42.11	35.5	48.18	63.45	49.56	34.75	49.21	55.49	53.19	45.21	59.97	46.18	92.7	81.14	140.04	94.01	74.58	76.17	74.58	105.15	83.45	85.82	79.45	118.43	92.7	75.11	78.89	82.87	98.04	85.22	99.43	74.58	82.87	123.5	144.01	170.25	133.36	71.5	106.63	95.34	67.59	58.3	59.13
NUP35	178.77	109.66	190.34	145.02	165.57	132.44	163.28	138.1	154.42	124.37	190.34	150.17	209.84	316.37	281.09	231.32	241.19	173.85	256.78	244.57	271.48	201.25	204.07	289.02	244.57	371.22	215.77	323.03	217.27	181.28	244.57	241.19	248.0	273.37	275.28	384.34	291.04	201.25	236.21	229.72	197.09	150.17	178.77
PA2G4	1059.11	974.5	1199.98	878.17	808.0	665.29	947.83	748.61	896.64	896.64	928.3	1127.35	2032.85	2485.67	2400.97	1844.76	1923.14	1781.89	2018.8	1561.89	1551.09	1498.22	1721.16	1721.16	1806.78	1551.09	1617.0	1628.26	1769.57	1407.55	1594.73	1583.71	1417.35	2367.9	2178.83	2451.44	1794.29	1286.18	1721.16	1605.83	1639.59	1143.1	1331.57
PSME3	684.02	728.11	624.99	406.31	316.37	273.37	536.45	429.54	466.88	583.07	532.74	860.08	1127.35	1819.35	1605.83	1143.1	1397.83	1037.29	915.51	1457.23	1685.71	1159.07	780.44	1397.83	1359.57	1015.93	1088.92	1322.37	1467.37	1008.9	1529.73	1378.57	1073.91	1883.54	1769.57	1674.06	1457.23	967.76	1447.15	1216.75	1277.29	769.69	1135.2
RIOK1	138.1	46.18	98.04	98.04	156.59	83.45	66.65	67.12	173.85	98.73	130.6	206.94	189.02	295.11	341.51	256.78	281.09	176.29	249.73	215.77	224.97	237.86	199.85	271.48	218.79	255.0	190.34	237.86	199.85	175.07	206.94	190.34	202.66	307.69	260.38	409.15	249.73	177.53	177.53	218.79	158.79	128.79	193.01
SDAD1	220.32	124.37	232.94	209.84	156.59	125.24	183.82	198.47	220.32	153.34	191.67	262.2	521.76	796.86	819.3	633.73	563.18	490.14	529.06	684.02	571.05	563.18	480.04	808.0	599.49	463.65	466.88	571.05	620.67	438.59	669.92	529.06	612.11	819.3	693.58	708.18	764.36	384.34	669.92	660.68	547.75	403.5	532.74
SEC23IP	234.57	145.02	231.32	151.22	164.42	166.73	147.06	183.82	193.01	148.09	229.72	183.82	525.39	733.19	1044.52	567.1	669.92	387.02	493.56	764.36	848.22	493.56	470.14	674.59	540.19	466.88	379.04	547.75	684.02	463.65	612.11	575.03	525.39	753.83	743.43	808.0	802.41	381.68	684.02	656.11	559.28	348.71	507.46
SEC24C	866.07	665.29	642.59	603.67	432.53	507.46	703.28	529.06	587.13	813.63	753.83	961.07	1313.23	1674.06	1594.73	1551.09	1685.71	1175.27	1407.55	1477.58	1685.71	1183.45	1233.75	1447.15	1304.15	785.88	1191.69	988.12	1437.15	1143.1	1572.76	1417.35	1457.23	1467.37	1781.89	1697.45	2004.85	1388.16	1540.37	1199.98	1388.16	1268.46	1277.29
SENP1	48.87	22.59	37.59	50.98	42.71	32.59	38.95	35.0	43.94	42.41	36.53	80.01	76.17	155.5	218.79	126.12	141.02	84.04	130.6	124.37	132.44	117.6	72.01	171.45	123.5	110.43	83.45	146.03	126.12	108.14	122.64	115.16	125.24	163.28	181.28	202.66	164.42	80.01	115.97	133.36	105.15	72.01	84.04
SHROOM3	189.02	135.24	178.77	198.47	194.36	224.97	86.43	182.55	229.72	318.57	264.03	123.5	400.71	612.11	450.94	368.65	493.56	323.03	438.59	624.99	536.45	376.41	289.02	571.05	500.46	201.25	351.14	435.55	575.03	353.59	836.53	518.15	336.79	728.11	785.88	599.49	1044.52	379.04	591.22	490.14	511.0	341.51	583.07
SLC26A2	14.35	6.36	10.88	16.63	21.16	6.11	13.83	4.43	17.51	18.29	12.27	84.63	309.83	603.67	642.59	244.57	595.34	185.11	177.53	638.15	480.04	392.44	190.34	540.19	329.84	176.29	187.71	204.07	679.29	149.12	400.71	229.72	126.12	633.73	1216.75	412.0	348.71	211.31	417.77	185.11	279.14	121.79	441.64
SSRP1	753.83	698.41	902.89	698.41	414.87	559.28	547.75	660.68	679.29	595.34	769.69	1001.93	1628.26	1769.57	2224.63	1709.26	1709.26	1651.0	1697.45	1540.37	1447.15	1572.76	1151.06	1639.59	1583.71	1119.56	1605.83	1216.75	1844.76	1697.45	1508.65	1572.76	1498.22	2090.03	2163.77	1806.78	1662.49	1359.57	1572.76	1508.65	1359.57	1277.29	1233.75
TOP1	567.1	248.0	466.88	297.17	412.0	299.25	381.68	327.56	420.68	339.14	417.77	612.11	1008.9	1322.37	1519.15	928.3	1096.5	647.07	967.76	1088.92	1233.75	785.88	743.43	1051.79	819.3	571.05	896.64	679.29	995.0	738.29	995.0	775.05	669.92	1167.14	1233.75	1806.78	830.75	616.37	884.29	819.3	693.58	473.41	753.83
TSR1	195.72	104.42	177.53	150.17	120.1	134.3	98.04	89.51	165.57	156.59	154.42	156.59	255.0	507.46	483.38	323.03	323.03	309.83	275.28	395.18	466.88	318.57	256.78	376.41	346.29	249.73	281.09	348.71	318.57	267.73	341.51	316.37	332.14	435.55	438.59	511.0	376.41	267.73	444.72	450.94	277.2	205.5	264.03
TWISTNB	90.77	34.75	82.87	89.51	96.01	52.45	48.87	98.04	88.88	57.49	98.04	101.54	267.73	381.68	483.38	223.41	289.02	232.94	273.37	371.22	307.69	193.01	180.02	299.25	223.41	208.38	217.27	262.2	264.03	204.07	214.27	180.02	183.82	536.45	361.04	417.77	329.84	186.4	241.19	325.29	239.52	121.79	242.88
URB2	30.78	23.25	19.53	33.78	23.76	15.0	30.34	23.59	24.28	32.82	29.27	34.51	57.08	100.83	82.87	45.85	88.88	52.45	48.18	62.56	101.54	50.27	43.32	69.03	59.13	23.76	55.89	57.08	78.34	38.12	59.55	52.82	33.78	81.14	72.01	97.36	81.14	51.35	59.97	49.91	53.95	29.48	34.26
UTP14A	119.26	80.01	104.42	116.78	84.04	99.43	101.54	84.04	93.35	92.05	111.99	176.29	283.05	429.54	361.04	283.05	303.44	275.28	325.29	232.94	256.78	253.23	249.73	279.14	299.25	229.72	258.57	226.54	256.78	220.32	244.57	206.94	241.19	307.69	314.17	490.14	366.09	195.72	237.86	253.23	221.86	201.25	187.71
UTP15	75.11	54.33	59.13	80.57	56.28	38.67	68.07	45.85	75.11	76.17	56.68	62.56	115.16	159.9	178.77	147.06	186.4	94.01	149.12	182.55	166.73	123.5	139.07	170.25	145.02	115.16	105.89	131.51	146.03	95.34	123.5	100.83	114.36	220.32	180.02	195.72	152.28	90.14	127.0	141.02	99.43	78.34	103.69
UTP20	53.95	20.11	35.25	27.84	23.42	29.27	20.41	30.12	40.07	28.24	28.45	46.84	63.45	154.42	158.79	105.15	127.89	64.8	96.01	110.43	119.26	98.04	54.33	152.28	100.13	59.97	63.89	80.57	110.43	74.58	110.43	107.38	126.12	123.5	152.28	191.67	126.12	70.51	111.21	111.99	77.25	51.71	83.45
WDR43	214.27	115.97	171.45	176.29	149.12	165.57	154.42	154.42	215.77	127.89	205.5	150.17	279.14	603.67	612.11	361.04	339.14	241.19	368.65	414.87	409.15	289.02	201.25	400.71	368.65	339.14	217.27	414.87	316.37	277.2	318.57	262.2	231.32	490.14	463.65	518.15	334.46	212.78	363.56	366.09	253.23	183.82	232.94
XPR1	75.11	53.57	61.25	29.48	37.85	23.76	45.85	23.25	36.27	45.53	63.0	105.89	154.42	289.02	307.69	178.77	218.79	131.51	161.02	202.66	194.36	187.71	100.83	260.38	182.55	96.68	162.14	143.01	197.09	132.44	186.4	152.28	133.36	206.94	283.05	246.28	202.66	135.24	178.77	244.57	180.02	127.89	154.42
