	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.HQ.A2OE.01A.11R.A206.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.14753.1626.SM.5NQ9L
CENPI	82.29	147.06	63.89	122.64	66.65	68.55	39.5	79.45	115.97	52.82	35.25	36.01	40.64	18.7	54.33	62.56	55.89	147.06	128.79	228.13	139.07	1.04	0.0	0.55	1.14	6.31	7.11	1.73	3.5	3.69	0.62	1.55	1.95
COPZ1	5479.15	5594.3	5711.87	3589.58	3540.14	2895.31	2739.08	6121.9	2935.74	3443.31	4038.61	4181.07	3124.78	7911.95	3820.7	3794.3	3690.52	2701.35	4639.29	3039.3	8134.41	2609.3	2224.63	2816.11	2855.44	2835.7	2777.33	2400.97	2004.85	2997.45	2468.49	2224.63	1963.57
CSE1L	1781.89	2739.08	2075.59	1551.09	1721.16	1135.2	2209.26	2303.12	981.29	1378.57	1208.34	988.12	1111.82	848.22	1519.15	2224.63	1151.06	3190.46	1950.0	2468.49	1857.6	414.87	293.07	269.6	366.09	409.15	438.59	379.04	334.46	403.5	435.55	293.07	309.83
CSTF1	379.04	521.76	480.04	444.72	381.68	389.72	435.55	764.36	540.19	287.01	397.93	291.04	283.05	403.5	389.72	420.68	638.15	915.51	551.56	633.73	514.56	409.15	332.14	366.09	287.01	309.83	371.22	285.03	341.51	356.05	343.89	237.86	343.89
DDX10	591.22	265.87	575.03	543.96	599.49	429.54	543.96	536.45	429.54	1477.58	656.11	269.6	483.38	444.72	825.0	543.96	450.94	540.19	595.34	728.11	743.43	314.17	228.13	108.9	206.94	269.6	297.17	275.28	314.17	189.02	176.29	215.77	273.37
DFFB	159.9	74.58	99.43	120.1	98.73	92.05	88.88	133.36	91.41	132.44	154.42	60.39	107.38	84.04	117.6	109.66	214.27	82.87	113.56	163.28	67.59	33.3	28.04	13.42	62.56	62.12	50.98	21.32	27.44	92.7	48.87	62.12	50.98
DHX37	366.09	260.38	283.05	316.37	287.01	217.27	246.28	503.95	336.79	189.02	202.66	316.37	327.56	169.07	246.28	312.0	255.0	332.14	275.28	447.82	190.34	92.7	80.01	122.64	88.26	91.41	138.1	90.14	84.04	104.42	106.63	95.34	35.25
DKC1	1529.73	1617.0	1030.12	1651.0	1242.34	1250.98	1001.93	1806.78	1617.0	1313.23	1268.46	738.29	974.5	579.04	1583.71	1769.57	1991.0	2032.85	1350.18	1794.29	928.3	339.14	256.78	236.21	283.05	323.03	476.71	289.02	470.14	289.02	293.07	186.4	140.04
DLG3	368.65	954.43	351.14	684.02	221.86	595.34	223.41	1286.18	866.07	366.09	194.36	177.53	460.44	111.21	283.05	753.83	1151.06	693.58	389.72	267.73	1066.48	31.67	25.72	20.26	20.11	24.28	59.55	23.93	34.51	27.84	27.64	7.57	17.9
DNAJC2	909.17	607.87	890.44	967.76	878.17	587.13	571.05	1199.98	1073.91	674.59	620.67	599.49	591.22	525.39	808.0	1001.93	708.18	928.3	753.83	1388.16	583.07	320.8	305.55	55.1	229.72	256.78	403.5	297.17	409.15	205.5	198.47	226.54	164.42
DPM1	1199.98	2758.13	1498.22	1883.54	1359.57	1225.22	2032.85	1561.89	947.83	2209.26	954.43	1191.69	909.17	1044.52	1651.0	1369.04	988.12	3372.43	1628.26	2004.85	1417.35	791.35	708.18	450.94	647.07	866.07	854.13	733.19	808.0	764.36	878.17	921.88	791.35
DSCC1	155.5	361.04	281.09	221.86	77.79	128.79	70.51	180.02	143.01	171.45	58.3	127.89	135.24	32.82	107.38	197.09	138.1	309.83	136.19	117.6	279.14	17.9	9.27	9.93	13.03	4.58	21.16	6.78	10.55	9.63	18.03	15.34	1.68
DUS4L	202.66	159.9	251.48	175.07	237.86	181.28	150.17	214.27	189.02	206.94	132.44	221.86	161.02	178.77	172.65	285.03	101.54	108.9	205.5	361.04	190.34	64.34	75.64	42.71	78.89	72.52	78.89	55.49	70.01	72.52	64.8	105.15	53.95
EEF1E1	1529.73	1977.24	1605.83	1477.58	878.17	954.43	1268.46	1477.58	1697.45	1605.83	848.22	423.61	1073.91	909.17	1857.6	1709.26	1175.27	1233.75	878.17	1508.65	1059.11	368.65	199.85	155.5	202.66	191.67	356.05	267.73	305.55	157.68	231.32	169.07	120.1
EP400	155.5	155.5	182.55	201.25	173.85	170.25	111.21	476.71	140.04	100.83	158.79	180.02	173.85	100.83	118.43	132.44	163.28	115.16	139.07	246.28	149.12	47.84	47.5	36.53	52.08	58.71	98.73	43.32	49.21	58.3	56.28	42.41	12.55
FBXO21	341.51	373.81	373.81	483.38	327.56	457.25	307.69	1151.06	255.0	218.79	320.8	332.14	220.32	273.37	361.04	323.03	403.5	339.14	297.17	423.61	409.15	228.13	275.28	186.4	249.73	353.59	307.69	171.45	232.94	183.82	248.0	341.51	297.17
FOXO4	447.82	190.34	291.04	507.46	447.82	334.46	232.94	860.08	358.54	181.28	381.68	255.0	336.79	316.37	191.67	262.2	277.2	212.78	287.01	224.97	142.01	154.42	108.9	133.36	167.9	153.34	148.09	115.97	90.77	177.53	185.11	151.22	223.41
GABRA3	57.89	0.0	15.68	37.05	1.11	153.34	3.69	591.22	0.0	111.99	42.41	45.21	18.7	87.03	77.25	18.43	43.63	55.49	19.82	133.36	68.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0
GATC	191.67	256.78	242.88	303.44	226.54	234.57	194.36	698.41	309.83	117.6	202.66	205.5	202.66	182.55	154.42	221.86	236.21	251.48	279.14	336.79	256.78	137.14	138.1	139.07	138.1	165.57	162.14	125.24	151.22	183.82	171.45	140.04	163.28
GCN1L1	583.07	866.07	780.44	1111.82	934.76	860.08	575.03	1870.53	1143.1	343.89	551.56	1191.69	830.75	679.29	480.04	830.75	1037.29	878.17	486.75	1286.18	518.15	271.48	173.85	285.03	201.25	234.57	303.44	178.77	195.72	289.02	320.8	139.07	99.43
GPC4	209.84	77.79	122.64	143.01	117.6	130.6	232.94	2104.58	77.25	170.25	277.2	64.34	35.5	176.29	49.91	15.22	91.41	62.56	540.19	134.3	1199.98	39.22	7.94	19.82	13.93	38.95	78.34	15.91	26.86	16.03	46.5	16.03	49.56
GPKOW	595.34	629.35	363.56	708.18	518.15	599.49	567.1	1304.15	529.06	271.48	642.59	536.45	633.73	406.31	769.69	723.08	490.14	860.08	473.41	318.57	583.07	555.41	334.46	356.05	341.51	351.14	414.87	384.34	341.51	346.29	361.04	285.03	323.03
GRIPAP1	633.73	656.11	480.04	896.64	633.73	718.08	616.37	1572.76	775.05	642.59	921.88	307.69	612.11	457.25	791.35	638.15	915.51	563.18	633.73	521.76	802.41	466.88	473.41	397.93	381.68	470.14	624.99	493.56	521.76	409.15	327.56	429.54	256.78
HTATSF1	1167.14	1832.01	1059.11	1313.23	1015.93	1467.37	1183.45	2591.27	1104.13	1023.0	802.41	587.13	934.76	872.1	1605.83	1322.37	1073.91	769.69	1073.91	1639.59	1437.15	366.09	348.71	255.0	426.57	432.53	551.56	470.14	480.04	476.71	384.34	327.56	358.54
ISG20L2	563.18	638.15	775.05	656.11	500.46	693.58	297.17	954.43	665.29	460.44	769.69	507.46	466.88	358.54	493.56	1001.93	860.08	651.58	629.35	934.76	638.15	262.2	212.78	249.73	223.41	271.48	358.54	231.32	208.38	256.78	269.6	169.07	175.07
KIAA1549	68.07	16.51	100.83	105.89	32.59	100.83	3.03	106.63	136.19	38.67	25.54	96.01	120.1	10.31	77.79	96.68	88.26	32.13	52.08	81.14	63.89	4.86	0.82	2.86	3.66	3.32	8.0	3.79	5.36	4.62	4.9	0.0	5.96
KIF2C	536.45	420.68	733.19	738.29	255.0	708.18	265.87	921.88	283.05	356.05	155.5	521.76	323.03	89.51	507.46	967.76	583.07	967.76	896.64	753.83	336.79	10.71	4.46	2.81	5.28	11.38	16.15	9.41	7.34	5.15	2.01	8.25	1.25
LDOC1L	65.26	208.38	126.12	182.55	92.7	158.79	87.65	463.65	387.02	48.18	108.14	162.14	122.64	77.79	131.51	75.11	301.33	211.31	103.69	146.03	314.17	62.12	43.94	37.85	38.12	29.91	80.01	41.52	35.0	44.89	59.55	23.08	5.92
LUC7L2	336.79	314.17	236.21	466.88	277.2	229.72	285.03	872.1	521.76	59.55	283.05	575.03	246.28	229.72	283.05	417.77	368.65	305.55	206.94	356.05	343.89	170.25	88.26	108.9	133.36	212.78	115.97	221.86	130.6	273.37	204.07	133.36	332.14
MAPKAPK5	836.53	1030.12	583.07	769.69	909.17	902.89	842.36	1111.82	665.29	490.14	713.11	733.19	708.18	651.58	703.28	954.43	603.67	1073.91	713.11	961.07	1008.9	336.79	329.84	253.23	438.59	363.56	454.09	381.68	392.44	341.51	318.57	287.01	246.28
MCRS1	1322.37	1417.35	1208.34	1304.15	1088.92	1135.2	1628.26	1721.16	1023.0	947.83	1167.14	1417.35	1096.5	1191.69	848.22	1208.34	1191.69	2240.11	1369.04	1183.45	1088.92	595.34	441.64	483.38	511.0	420.68	819.3	454.09	444.72	463.65	389.72	339.14	177.53
MED12	420.68	289.02	353.59	423.61	320.8	400.71	221.86	860.08	470.14	361.04	555.41	248.0	412.0	301.33	460.44	441.64	599.49	392.44	420.68	470.14	373.81	108.14	78.34	105.89	115.97	121.79	185.11	108.14	103.69	115.16	120.94	102.25	63.45
MEX3A	656.11	417.77	1233.75	603.67	56.28	1151.06	107.38	660.68	1447.15	441.64	273.37	387.02	1037.29	25.91	624.99	2591.27	1295.13	334.46	209.84	1096.5	483.38	5.77	12.09	1.69	13.32	10.55	11.13	13.83	9.13	11.3	5.19	57.89	2.58
MKI67	237.86	759.08	454.09	718.08	197.09	743.43	181.28	872.1	397.93	543.96	134.3	497.0	351.14	40.93	289.02	624.99	384.34	575.03	728.11	567.1	303.44	2.36	4.39	1.89	2.58	19.97	15.8	10.79	9.48	4.06	3.23	5.5	2.01
MNS1	138.1	103.69	255.0	162.14	71.0	126.12	40.07	253.23	43.63	50.63	99.43	35.5	39.5	518.15	441.64	94.01	17.9	163.28	77.25	567.1	97.36	42.71	6.16	1.19	5.45	11.73	28.65	6.73	14.03	10.71	6.73	1.69	7.28
MOCS3	98.04	234.57	189.02	164.42	148.09	116.78	137.14	167.9	218.79	265.87	124.37	121.79	76.71	100.13	107.38	144.01	253.23	316.37	176.29	224.97	127.0	92.7	99.43	88.88	94.01	110.43	91.41	78.34	73.54	111.99	105.89	77.25	50.63
MTBP	69.03	167.9	137.14	177.53	76.17	108.9	40.93	146.03	50.27	84.63	74.58	49.56	59.97	36.53	53.57	94.01	77.25	90.14	92.05	127.89	180.02	3.38	6.11	3.86	5.87	8.13	15.11	3.79	8.0	6.31	7.28	7.57	2.27
MTIF2	444.72	612.11	603.67	684.02	1175.27	540.19	493.56	796.86	620.67	567.1	591.22	460.44	426.57	400.71	738.29	571.05	525.39	591.22	624.99	423.61	1111.82	387.02	403.5	273.37	493.56	454.09	414.87	387.02	432.53	500.46	457.25	412.0	346.29
NCAPD2	540.19	842.36	1044.52	961.07	371.22	896.64	583.07	2075.59	738.29	555.41	327.56	1111.82	414.87	221.86	674.59	909.17	836.53	1044.52	1015.93	890.44	1127.35	52.08	45.53	60.39	88.26	106.63	176.29	52.45	37.32	72.52	78.89	56.68	17.25
NCOA5	503.95	486.75	612.11	660.68	536.45	493.56	525.39	532.74	748.61	486.75	463.65	743.43	323.03	373.81	454.09	518.15	954.43	836.53	493.56	1096.5	547.75	273.37	175.07	100.83	148.09	175.07	312.0	143.01	161.02	149.12	151.22	67.59	31.45
NEDD1	148.09	269.6	154.42	267.73	156.59	165.57	83.45	444.72	118.43	127.0	110.43	172.65	138.1	123.5	147.06	107.38	157.68	165.57	193.01	256.78	353.59	40.93	21.94	17.9	34.75	68.55	97.36	40.36	38.67	40.93	41.52	37.05	24.46
NKRF	175.07	215.77	113.56	221.86	153.34	175.07	106.63	171.45	303.44	297.17	183.82	84.63	146.03	102.97	167.9	246.28	291.04	143.01	211.31	234.57	241.19	101.54	82.87	49.21	59.13	78.89	101.54	77.25	113.56	66.18	70.51	89.51	97.36
NUDT19	532.74	358.54	679.29	297.17	275.28	295.11	332.14	412.0	514.56	297.17	389.72	718.08	320.8	525.39	414.87	320.8	723.08	381.68	226.54	1313.23	432.53	110.43	126.12	76.71	126.12	120.1	155.5	77.25	201.25	117.6	57.08	190.34	112.77
NUP205	884.29	1051.79	866.07	902.89	688.78	780.44	813.63	1605.83	819.3	836.53	486.75	629.35	791.35	532.74	988.12	1044.52	514.56	813.63	532.74	1023.0	854.13	318.57	176.29	175.07	191.67	246.28	323.03	193.01	226.54	193.01	175.07	208.38	94.67
PABPC1	375901.76	365622.68	282912.21	194578.47	668235.84	348306.01	292889.12	107948.72	253213.41	397335.0	324980.94	447025.24	554180.87	431797.89	358098.26	280957.98	368165.8	632189.57	296977.71	726195.27	307450.64	9151.82	8658.09	3467.27	9279.58	9540.5	13306.94	7749.1	9088.59	9876.98	9151.82	10296.45	8479.89
PAPOLG	140.04	128.79	327.56	185.11	164.42	155.5	80.57	295.11	133.36	126.12	132.44	120.94	133.36	115.97	269.6	107.38	206.94	107.38	142.01	214.27	269.6	55.89	34.75	25.17	37.85	46.5	88.88	44.57	40.93	33.3	56.68	41.52	28.24
PAXIP1	181.28	198.47	170.25	209.84	201.25	133.36	169.07	269.6	262.2	120.94	90.14	256.78	173.85	123.5	267.73	221.86	120.94	183.82	101.54	297.17	167.9	54.72	69.52	49.91	73.03	92.05	90.14	64.34	62.12	75.64	57.89	55.49	22.26
POP7	2796.65	1268.46	1369.04	1572.76	1191.69	1529.73	1697.45	2133.97	1457.23	2835.7	1088.92	1119.56	1427.22	808.0	2271.4	2018.8	2451.44	6337.83	2384.37	1529.73	1081.39	1447.15	1008.9	941.27	842.36	1127.35	915.51	890.44	1051.79	915.51	1081.39	1378.57	759.08
PRKAG1	1073.91	1561.89	1066.48	1561.89	1242.34	1030.12	1233.75	2193.99	878.17	872.1	1359.57	1242.34	896.64	1081.39	1277.29	1044.52	1159.07	1883.54	1081.39	1073.91	1923.14	629.35	543.96	693.58	638.15	642.59	860.08	607.87	536.45	693.58	819.3	624.99	536.45
PRPF40B	334.46	312.0	406.31	397.93	514.56	285.03	603.67	808.0	208.38	228.13	441.64	269.6	368.65	387.02	334.46	232.94	518.15	525.39	316.37	775.05	277.2	69.03	69.52	93.35	84.04	89.51	113.56	96.01	124.37	87.65	59.97	63.0	38.4
PRR11	212.78	353.59	420.68	518.15	156.59	457.25	98.73	575.03	256.78	361.04	63.45	137.14	155.5	32.13	723.08	825.0	244.57	312.0	595.34	764.36	307.69	7.0	1.43	3.99	3.44	10.63	28.45	6.94	13.22	5.63	6.46	7.28	2.92
RACGAP1	603.67	941.27	693.58	854.13	435.55	796.86	312.0	1457.23	397.93	231.32	190.34	669.92	303.44	145.02	403.5	698.41	624.99	1151.06	607.87	708.18	1081.39	33.78	11.91	43.94	22.1	37.85	55.1	26.86	30.12	31.9	31.9	57.89	24.11
RAE1	651.58	1073.91	934.76	1015.93	961.07	603.67	1088.92	1233.75	802.41	490.14	563.18	928.3	555.41	267.73	633.73	1183.45	813.63	1909.85	547.75	1143.1	981.29	366.09	218.79	271.48	197.09	287.01	316.37	239.52	217.27	191.67	221.86	239.52	127.89
RBM10	1135.2	620.67	612.11	780.44	703.28	503.95	836.53	1397.83	660.68	733.19	688.78	191.67	220.32	579.04	1191.69	860.08	947.83	902.89	629.35	599.49	743.43	480.04	490.14	435.55	511.0	599.49	547.75	444.72	473.41	559.28	426.57	356.05	275.28
RBMX	2004.85	2739.08	2855.44	3303.0	1794.29	3018.3	2417.67	3467.27	2384.37	2835.7	2739.08	2417.67	2451.44	2400.97	2664.15	4239.45	2935.74	3665.02	2434.5	2895.31	3589.58	1208.34	775.05	665.29	902.89	842.36	1583.71	785.88	723.08	802.41	902.89	511.0	295.11
RBMX2	490.14	612.11	409.15	780.44	454.09	483.38	463.65	796.86	571.05	1350.18	1331.57	264.03	400.71	447.82	532.74	693.58	748.61	389.72	854.13	571.05	532.74	267.73	204.07	124.37	246.28	224.97	376.41	183.82	332.14	220.32	237.86	185.11	147.06
RFX7	75.64	86.43	84.63	136.19	105.89	111.99	46.84	209.84	117.6	98.04	72.52	66.18	66.65	81.71	108.14	38.67	150.17	124.37	85.82	220.32	119.26	19.25	17.0	17.51	24.99	45.85	59.13	19.82	18.7	37.85	35.5	27.84	16.15
RNF34	759.08	638.15	612.11	603.67	547.75	571.05	624.99	961.07	684.02	638.15	642.59	616.37	435.55	518.15	486.75	555.41	866.07	651.58	559.28	842.36	684.02	176.29	193.01	127.0	151.22	258.57	371.22	193.01	295.11	173.85	191.67	124.37	71.0
RNF8	387.02	231.32	241.19	199.85	264.03	511.0	320.8	202.66	314.17	447.82	334.46	299.25	239.52	281.09	417.77	299.25	426.57	248.0	336.79	450.94	246.28	157.68	107.38	109.66	138.1	155.5	193.01	127.0	145.02	99.43	126.12	78.89	68.55
SEMA6A	167.9	69.03	463.65	470.14	1081.39	271.48	122.64	878.17	376.41	353.59	249.73	497.0	1487.87	56.68	202.66	412.0	1477.58	454.09	239.52	616.37	37.59	66.65	21.78	46.18	51.35	66.65	112.77	67.12	52.82	75.64	82.29	62.56	39.22
SLC25A14	299.25	267.73	185.11	295.11	275.28	356.05	237.86	486.75	267.73	329.84	299.25	194.36	253.23	204.07	299.25	463.65	246.28	215.77	251.48	473.41	366.09	133.36	127.0	57.49	82.29	119.26	156.59	90.77	98.73	64.8	56.28	76.17	25.72
SLC37A3	660.68	567.1	679.29	591.22	579.04	665.29	454.09	571.05	679.29	435.55	348.71	825.0	842.36	497.0	866.07	1051.79	579.04	275.28	295.11	988.12	320.8	178.77	128.79	124.37	144.01	139.07	242.88	145.02	171.45	136.19	125.24	183.82	88.88
SLC38A1	703.28	791.35	575.03	1208.34	884.29	995.0	941.27	2351.53	1322.37	497.0	872.1	860.08	688.78	775.05	698.41	854.13	2835.7	1104.13	785.88	921.88	2271.4	47.5	14.89	22.43	18.7	32.36	190.34	63.89	91.41	20.71	125.24	61.68	37.32
SLC9A6	125.24	43.94	79.45	139.07	171.45	215.77	118.43	251.48	99.43	138.1	175.07	70.01	102.25	128.79	138.1	62.12	180.02	43.94	177.53	229.72	45.53	44.57	43.02	63.45	55.49	71.5	93.35	49.21	65.26	55.49	71.0	47.17	40.93
SMARCC2	808.0	1073.91	954.43	1143.1	866.07	802.41	441.64	2133.97	947.83	521.76	780.44	1143.1	684.02	708.18	486.75	638.15	4358.66	688.78	629.35	988.12	551.56	183.82	154.42	275.28	251.48	297.17	371.22	194.36	193.01	277.2	231.32	153.34	137.14
SMYD5	583.07	500.46	954.43	748.61	848.22	486.75	371.22	1143.1	616.37	447.82	563.18	529.06	543.96	559.28	890.44	928.3	848.22	775.05	620.67	796.86	420.68	212.78	145.02	204.07	194.36	151.22	249.73	180.02	204.07	118.43	165.57	260.38	35.25
SPATA17	111.99	6.57	353.59	358.54	69.52	53.57	128.79	563.18	120.1	66.18	158.79	119.26	138.1	1313.23	363.56	96.68	156.59	591.22	53.57	55.89	97.36	2.63	4.82	0.0	1.01	2.58	9.34	2.51	5.11	3.26	8.85	0.27	0.0
SPATS2	429.54	320.8	412.0	379.04	301.33	368.65	307.69	753.83	457.25	289.02	435.55	450.94	395.18	497.0	224.97	295.11	660.68	575.03	379.04	329.84	555.41	72.52	34.26	71.0	49.21	69.03	102.97	50.63	81.14	62.56	38.12	40.64	32.59
STIL	100.13	92.05	195.72	133.36	97.36	193.01	32.59	228.13	123.5	101.54	50.63	91.41	53.57	36.27	80.01	108.9	166.73	190.34	120.1	176.29	103.69	3.69	3.79	2.58	3.99	5.54	12.45	3.53	6.36	7.88	2.27	5.45	0.19
SUDS3	540.19	738.29	412.0	607.87	514.56	583.07	420.68	1322.37	423.61	299.25	435.55	624.99	476.71	518.15	255.0	285.03	525.39	356.05	441.64	884.29	503.95	122.64	142.01	120.1	173.85	205.5	194.36	161.02	182.55	155.5	151.22	221.86	128.79
TAF1	215.77	190.34	191.67	358.54	211.31	283.05	143.01	1081.39	262.2	140.04	271.48	178.77	180.02	164.42	156.59	164.42	351.14	221.86	163.28	237.86	356.05	45.53	63.45	39.79	81.14	86.43	133.36	67.59	73.54	97.36	76.71	72.01	28.65
TAF1A	57.89	92.05	132.44	152.28	36.01	84.04	88.26	244.57	110.43	42.11	35.76	88.26	69.52	55.49	102.97	105.89	114.36	121.79	94.01	126.12	105.89	29.27	17.38	15.68	24.46	25.17	49.91	26.67	20.56	19.53	26.67	32.13	11.91
TAF9B	403.5	559.28	251.48	271.48	334.46	146.03	241.19	759.08	351.14	384.34	323.03	223.41	142.01	303.44	368.65	151.22	177.53	432.53	173.85	728.11	379.04	173.85	136.19	81.14	161.02	165.57	190.34	150.17	133.36	161.02	159.9	128.79	110.43
