	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.ZG.A9LN.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7789.11A.01R.2118.07
BIN2	34.26	43.32	181.28	10.16	17.64	107.38	78.89	55.1	46.84	59.13	24.63	114.36	197.09	132.44	40.07	24.28	138.1	248.0	32.36	17.38	124.37	16.75	47.5	19.68	73.03	9.63	50.27	277.2	28.04	23.76	381.68	40.07	84.63	114.36	80.57	309.83	87.65	34.26	11.13	74.06	14.67	39.79	21.01	20.41	20.11	30.12	30.56	81.14	27.84	28.45	181.28	39.5	76.17
BTK	21.63	32.59	143.01	2.48	11.38	75.11	46.5	32.82	36.01	58.3	16.63	74.58	83.45	115.97	23.59	14.56	105.89	127.89	29.48	26.86	94.01	24.46	43.94	17.38	53.57	9.48	37.32	191.67	18.97	17.25	500.46	37.59	71.0	90.14	61.68	175.07	54.72	38.67	11.91	73.54	12.09	21.94	29.48	18.43	14.24	26.1	23.93	61.68	19.53	29.48	119.26	74.58	63.89
C1orf162	115.97	155.5	189.02	18.43	80.57	152.28	164.42	94.01	112.77	173.85	38.67	226.54	260.38	202.66	55.1	55.89	218.79	353.59	84.04	56.68	152.28	63.45	75.11	73.54	106.63	49.91	161.02	490.14	64.34	60.39	329.84	66.65	153.34	329.84	158.79	412.0	178.77	60.82	38.95	144.01	34.75	59.13	64.34	57.49	28.24	77.79	73.03	158.79	66.65	84.63	130.6	95.34	159.9
C5orf20	1.22	2.29	5.92	0.27	0.29	1.35	2.78	1.95	2.68	0.97	0.0	2.63	2.07	2.48	0.34	0.0	8.06	1.62	0.29	0.0	0.96	0.0	3.0	0.0	1.03	0.0	1.27	7.11	0.62	0.92	17.38	0.99	1.31	4.03	0.0	13.52	3.32	0.3	0.0	2.58	0.26	0.61	0.29	0.95	0.28	0.65	0.29	0.35	0.0	1.0	4.58	2.94	2.23
CARD11	10.31	16.75	90.77	7.06	11.73	70.01	34.02	18.03	25.91	26.28	13.93	45.85	76.17	90.77	9.34	10.96	84.04	77.25	12.45	7.28	36.79	11.47	16.63	5.41	26.28	3.96	22.43	126.12	12.09	9.27	267.73	16.51	60.82	43.63	46.18	140.04	27.44	21.47	3.69	46.84	5.23	13.83	9.56	6.57	2.89	16.88	10.39	27.05	12.74	8.25	67.12	16.27	62.12
CARD16	164.42	193.01	473.41	10.39	212.78	190.34	353.59	169.07	81.14	178.77	76.17	457.25	454.09	316.37	88.26	99.43	279.14	450.94	96.01	102.97	234.57	96.68	150.17	38.4	140.04	35.76	232.94	1757.34	163.28	46.5	718.08	260.38	285.03	283.05	159.9	595.34	249.73	85.82	44.25	226.54	65.26	117.6	171.45	48.18	75.64	115.16	128.79	193.01	86.43	134.3	409.15	122.64	361.04
CARD9	22.43	17.77	87.03	9.63	12.27	23.08	43.02	35.25	29.48	36.53	14.89	68.07	42.11	58.71	15.34	12.83	86.43	63.0	17.9	14.45	37.32	18.43	28.45	5.54	16.39	9.13	47.17	67.59	23.59	15.91	111.99	37.85	37.85	78.89	33.3	76.71	32.59	19.53	18.43	26.1	7.0	21.32	20.41	15.11	8.38	15.22	19.39	29.7	10.88	15.0	30.78	40.07	40.36
CCL5	236.21	417.77	1119.56	76.71	260.38	275.28	483.38	414.87	253.23	312.0	72.52	1225.22	1159.07	802.41	172.65	267.73	540.19	1191.69	87.65	146.03	463.65	97.36	211.31	73.54	438.59	24.99	265.87	2645.74	229.72	70.01	2133.97	129.69	830.75	743.43	518.15	3303.0	536.45	133.36	14.14	551.56	23.76	106.63	241.19	122.64	253.23	155.5	215.77	353.59	109.66	195.72	629.35	127.0	460.44
CCR5	10.08	26.47	94.67	4.35	11.38	29.06	45.53	28.45	31.67	33.54	9.93	62.56	92.7	59.97	8.13	20.86	88.88	131.51	15.11	15.8	57.89	10.88	31.67	12.83	52.45	1.71	17.13	171.45	12.09	10.24	129.69	10.55	38.95	56.68	57.49	202.66	51.35	25.54	1.71	55.89	3.56	11.91	12.45	10.47	11.3	11.91	18.43	42.11	16.51	9.7	50.63	15.11	40.36
CD180	3.26	10.71	51.71	1.81	12.64	30.12	38.4	15.56	10.0	31.45	8.45	21.63	18.7	70.01	5.28	9.78	65.26	59.97	8.32	5.82	43.94	10.31	12.74	4.74	18.7	3.92	11.13	52.08	14.24	4.78	249.73	7.88	23.25	17.38	26.1	85.22	19.53	10.55	4.13	30.56	4.82	9.27	7.06	7.28	2.43	19.11	2.51	29.27	8.0	15.45	53.57	7.0	32.59
CD1B	2.53	1.79	9.93	0.0	0.25	8.0	3.79	0.56	0.0	0.57	0.0	5.06	16.51	1.6	0.0	0.87	4.21	11.47	0.55	0.87	1.16	0.0	4.21	0.28	1.91	0.0	0.0	11.3	0.56	0.0	4.66	0.89	6.31	7.51	3.47	18.16	0.87	0.26	0.0	2.03	0.0	4.66	0.56	1.45	2.84	0.27	0.0	0.0	0.27	0.0	5.68	1.16	2.89
CD1D	8.65	23.25	53.19	3.44	13.12	28.86	36.01	14.45	12.0	15.68	10.79	52.82	58.71	33.06	12.36	8.71	62.56	64.8	11.04	8.71	33.3	7.69	14.67	8.13	21.63	8.99	34.51	80.01	18.84	5.06	125.24	17.13	18.16	53.95	31.45	84.63	20.56	20.41	4.9	24.99	10.96	21.16	10.96	9.7	6.11	14.78	13.42	19.68	13.03	9.41	40.93	22.1	52.45
CD2	79.45	111.21	500.46	14.89	84.04	209.84	158.79	80.01	94.01	100.83	21.32	269.6	341.51	246.28	34.51	80.57	191.67	500.46	16.51	35.5	177.53	19.25	82.29	28.45	165.57	2.03	87.65	836.53	58.71	24.46	738.29	35.76	154.42	212.78	150.17	928.3	190.34	72.52	4.54	202.66	6.62	44.57	61.25	39.5	46.18	37.85	82.29	166.73	48.52	36.79	285.03	52.08	156.59
CD244	2.41	7.82	12.27	1.14	3.79	8.78	12.83	3.86	4.94	9.85	2.71	12.09	30.34	11.64	2.51	3.86	15.34	21.78	5.63	0.92	11.04	4.94	6.57	3.11	8.38	0.0	7.63	31.22	3.82	3.38	27.25	5.63	6.89	12.55	13.22	42.41	5.5	4.24	0.3	7.34	1.07	2.81	2.53	1.87	1.81	1.95	2.18	6.36	2.66	2.29	7.57	2.18	18.7
CD247	30.34	34.26	244.57	9.7	19.39	144.01	78.34	47.84	37.59	38.4	12.55	116.78	163.28	146.03	19.39	28.86	104.42	176.29	10.88	21.63	55.49	13.52	41.22	10.55	63.0	6.36	49.56	460.44	25.17	9.78	460.44	17.0	90.77	100.83	64.34	327.56	62.12	28.86	6.84	92.7	8.58	28.45	25.72	13.03	15.91	21.63	27.25	45.85	16.27	22.1	149.12	29.06	50.98
CD27	70.51	59.55	444.72	17.13	43.63	246.28	96.68	74.06	67.59	67.12	10.63	133.36	154.42	361.04	16.03	49.91	103.69	190.34	8.19	25.72	62.56	21.94	46.18	18.56	110.43	5.87	57.89	665.29	26.67	12.83	1216.75	16.27	218.79	99.43	115.16	612.11	76.71	35.5	6.31	182.55	4.78	50.63	19.39	16.63	27.25	34.02	36.79	66.65	28.24	17.9	334.46	38.12	67.12
CD300A	67.59	75.11	137.14	11.21	34.51	64.34	94.01	53.57	45.53	78.34	24.46	117.6	130.6	102.97	23.08	30.56	212.78	158.79	40.36	25.17	128.79	16.39	61.68	24.46	44.89	38.95	95.34	154.42	45.53	21.94	215.77	68.07	50.27	164.42	88.88	244.57	73.03	45.53	19.39	75.64	40.36	45.85	44.89	18.29	18.03	32.36	34.26	91.41	38.95	43.63	96.01	61.68	92.7
CD300C	7.82	7.94	22.1	1.41	5.77	5.06	12.45	11.38	8.13	9.78	5.15	19.11	13.93	14.67	3.99	6.21	31.9	20.56	9.7	9.27	21.47	2.23	20.41	6.01	11.13	3.47	17.38	24.99	15.11	3.69	40.93	12.0	4.24	21.16	15.91	37.32	19.53	11.55	1.68	15.34	3.03	1.81	9.27	2.48	3.99	3.96	4.78	14.45	8.65	9.27	17.0	9.85	11.04
CD33	12.64	35.0	112.77	4.98	18.84	34.26	52.82	52.82	49.91	66.18	9.34	82.87	52.08	63.45	25.72	20.26	115.97	98.04	24.11	26.28	100.13	5.5	29.48	14.03	59.13	8.32	41.22	76.17	60.39	20.26	123.5	32.82	36.27	96.01	64.8	116.78	61.68	30.56	11.3	39.5	11.64	29.48	16.03	25.72	20.71	23.59	15.45	53.57	31.45	70.51	73.03	34.02	63.0
CD3D	100.13	100.83	684.02	28.24	46.18	334.46	157.68	126.12	103.69	120.94	21.63	332.14	409.15	417.77	48.18	84.63	191.67	802.41	21.94	44.89	191.67	50.27	84.04	29.06	198.47	14.14	126.12	1359.57	49.21	16.39	1175.27	60.39	361.04	253.23	108.9	967.76	251.48	43.63	17.0	281.09	6.89	43.63	77.25	33.78	40.93	48.18	79.45	191.67	47.17	34.75	486.75	52.45	182.55
CD3E	124.37	205.5	718.08	30.34	123.5	447.82	295.11	167.9	148.09	159.9	40.07	423.61	629.35	571.05	63.45	126.12	341.51	748.61	44.57	66.18	287.01	35.0	131.51	55.1	279.14	6.26	171.45	1447.15	78.89	35.5	1561.89	50.63	497.0	343.89	232.94	1378.57	258.57	106.63	9.27	334.46	13.22	92.7	88.88	48.52	77.25	86.43	101.54	214.27	69.52	118.43	543.96	88.88	223.41
CD4	120.94	157.68	500.46	24.46	69.03	275.28	262.2	178.77	172.65	258.57	82.29	281.09	483.38	420.68	115.16	90.77	540.19	674.59	85.82	92.7	366.09	70.51	208.38	85.22	264.03	40.36	186.4	688.78	105.89	59.97	954.43	145.02	228.13	363.56	412.0	954.43	327.56	164.42	47.5	289.02	69.52	134.3	89.51	70.01	51.71	122.64	68.07	281.09	137.14	114.36	466.88	109.66	223.41
CD48	127.0	166.73	665.29	26.28	103.69	511.0	241.19	139.07	156.59	187.71	46.18	387.02	507.46	536.45	71.5	85.82	409.15	642.59	59.97	87.65	307.69	72.01	112.77	61.25	389.72	14.67	159.9	1498.22	92.7	50.98	1950.0	53.57	417.77	341.51	209.84	974.5	323.03	120.94	20.56	293.07	32.13	87.65	95.34	51.71	56.68	86.43	59.55	232.94	80.57	109.66	500.46	96.68	297.17
CD5	15.0	24.11	112.77	8.45	12.18	123.5	40.36	19.82	22.59	28.04	5.92	65.26	103.69	94.67	9.56	23.42	84.04	137.14	7.0	11.04	52.08	6.36	29.7	13.93	60.39	3.32	21.94	208.38	14.14	6.94	343.89	8.38	86.43	62.12	38.95	241.19	43.02	31.0	3.29	65.26	2.34	12.74	8.78	7.46	9.93	13.32	17.13	34.26	16.75	6.78	110.43	22.59	27.44
CD52	395.18	612.11	2271.4	80.01	178.77	1709.26	967.76	381.68	457.25	571.05	77.25	1397.83	1407.55	1991.0	249.73	312.0	902.89	2104.58	171.45	265.87	902.89	165.57	486.75	194.36	813.63	88.88	571.05	5255.91	249.73	128.79	7081.29	173.85	1159.07	1561.89	460.44	3874.05	909.17	336.79	65.26	1066.48	48.18	246.28	323.03	180.02	289.02	198.47	244.57	595.34	356.05	283.05	2645.74	327.56	633.73
CD53	228.13	253.23	954.43	43.63	187.71	587.13	460.44	341.51	255.0	444.72	140.04	591.22	954.43	743.43	176.29	175.07	748.61	1359.57	182.55	140.04	595.34	148.09	251.48	110.43	420.68	58.71	281.09	1350.18	205.5	121.79	2777.33	208.38	595.34	518.15	555.41	1794.29	551.56	248.0	69.03	457.25	115.16	185.11	133.36	109.66	102.25	205.5	173.85	463.65	170.25	251.48	884.29	178.77	460.44
CD6	21.01	25.72	186.4	7.0	12.93	118.43	69.03	30.78	32.82	42.71	9.48	106.63	176.29	109.66	14.78	19.82	75.11	195.72	13.52	19.39	52.82	13.12	44.89	8.51	56.28	3.69	31.22	297.17	17.51	9.63	463.65	12.74	95.34	100.83	38.4	336.79	72.52	27.84	9.41	92.05	2.61	18.7	15.56	16.15	13.22	19.97	25.35	49.21	17.38	13.62	162.14	31.9	58.3
CD7	73.54	88.88	242.88	13.32	40.36	281.09	108.14	118.43	70.01	87.65	24.46	208.38	239.52	204.07	70.51	66.65	224.97	295.11	36.01	52.45	94.01	28.45	77.25	37.32	75.64	9.56	164.42	514.56	75.11	19.53	698.41	38.12	206.94	215.77	108.14	603.67	77.79	37.05	5.63	131.51	8.51	72.01	81.71	24.81	25.72	35.76	82.29	110.43	31.67	50.98	314.17	76.17	110.43
CD8A	56.28	100.83	269.6	19.82	78.34	114.36	138.1	96.01	66.18	77.25	18.29	242.88	295.11	98.73	47.5	61.68	128.79	305.55	34.51	31.9	120.94	37.05	53.19	21.78	106.63	0.92	59.13	616.37	59.97	31.45	351.14	36.79	189.02	164.42	158.79	698.41	151.22	31.45	5.41	127.89	3.44	28.24	44.25	20.26	43.94	34.26	76.71	84.04	27.64	59.13	113.56	38.12	130.6
CEACAM21	5.06	11.3	41.22	0.66	3.0	25.35	17.9	12.93	7.51	9.06	1.1	14.56	42.41	40.93	3.41	3.38	29.27	33.78	4.9	2.71	16.75	6.16	10.08	2.56	16.03	1.55	8.51	46.18	6.31	2.61	45.21	16.88	16.15	26.67	25.54	97.36	14.24	11.13	9.85	12.36	3.53	2.66	17.38	3.66	2.58	4.5	9.48	22.75	2.81	7.94	31.0	3.35	22.92
CIITA	17.13	46.5	242.88	13.42	15.11	106.63	117.6	47.84	89.51	80.01	32.59	161.02	305.55	206.94	28.86	22.75	211.31	521.76	43.32	44.25	147.06	42.41	84.63	41.52	49.21	3.0	70.51	312.0	22.59	17.38	384.34	66.65	79.45	161.02	137.14	423.61	117.6	62.12	29.91	127.0	14.78	59.55	53.19	34.51	19.11	25.35	33.06	105.89	44.25	20.71	156.59	96.01	129.69
CLEC10A	35.0	73.03	140.04	7.06	25.35	50.98	211.31	34.51	67.12	44.89	20.86	130.6	218.79	212.78	21.47	19.53	202.66	301.33	34.02	39.5	293.07	22.43	145.02	22.43	99.43	1.99	100.83	384.34	36.27	9.78	214.27	75.11	66.18	220.32	163.28	389.72	121.79	42.11	14.24	76.17	24.11	41.22	22.59	39.79	41.52	37.59	21.32	43.63	27.84	53.19	111.99	45.21	110.43
CLEC2B	41.81	72.52	152.28	7.28	43.02	60.39	102.25	80.01	81.14	81.71	38.12	208.38	206.94	124.37	53.19	35.0	150.17	224.97	38.95	45.85	138.1	48.18	62.12	39.79	102.25	19.82	84.63	348.71	73.54	17.25	336.79	81.71	109.66	134.3	79.45	239.52	133.36	57.08	12.45	92.05	32.82	52.82	45.85	34.51	16.39	42.41	52.45	105.15	39.5	62.12	163.28	83.45	136.19
CLEC4A	31.0	47.17	101.54	16.39	27.84	38.4	61.25	16.15	37.85	37.85	21.78	61.68	78.89	78.89	32.59	18.43	114.36	125.24	26.1	20.11	88.26	50.63	48.18	20.11	48.52	19.39	58.3	169.07	22.59	19.82	132.44	33.06	62.12	102.25	57.08	144.01	62.56	29.7	14.67	48.87	28.65	37.59	38.67	23.25	17.9	23.42	32.59	53.19	21.01	22.1	52.82	37.32	68.07
CLEC4F	4.17	7.22	24.28	1.14	5.11	7.51	35.25	8.38	4.9	6.46	6.36	30.56	20.41	11.38	2.27	0.85	27.44	48.52	7.0	3.96	20.41	3.26	10.63	1.75	4.74	0.78	11.04	34.02	13.22	1.19	28.86	9.06	10.24	32.36	12.45	105.15	14.24	5.68	3.06	10.31	3.14	5.45	5.15	3.14	2.29	4.5	5.92	8.32	1.69	3.72	4.24	14.89	29.06
CORO1A	206.94	348.71	1662.49	52.82	159.9	1208.34	587.13	414.87	363.56	361.04	120.1	819.3	693.58	1388.16	172.65	162.14	1030.12	1350.18	146.03	176.29	543.96	124.37	381.68	107.38	432.53	64.34	463.65	2271.4	232.94	78.89	5791.62	236.21	733.19	775.05	521.76	2271.4	476.71	295.11	53.19	651.58	61.25	205.5	226.54	170.25	121.79	201.25	212.78	429.54	223.41	155.5	1208.34	260.38	599.49
CSF3R	26.47	37.85	142.01	13.22	26.67	23.76	111.21	72.52	77.25	90.77	24.63	157.68	147.06	111.21	90.14	20.26	206.94	152.28	94.67	32.59	152.28	50.63	69.52	48.18	57.49	13.32	85.82	140.04	43.32	63.0	171.45	46.84	74.58	157.68	133.36	221.86	64.34	66.65	24.81	80.01	15.8	64.8	27.84	25.54	12.36	49.56	45.53	116.78	51.71	32.36	106.63	92.05	92.7
CST7	57.08	107.38	248.0	22.43	43.63	166.73	133.36	101.54	106.63	77.25	23.25	312.0	221.86	373.81	53.95	63.45	143.01	285.03	51.71	31.9	177.53	27.84	97.36	36.79	146.03	10.47	96.01	575.03	43.94	40.36	738.29	32.82	246.28	208.38	131.51	698.41	127.0	42.11	5.82	155.5	10.96	40.93	33.3	23.25	39.22	45.21	46.5	105.15	26.28	45.21	205.5	46.84	170.25
CTSW	87.03	84.04	31.0	8.13	39.5	68.07	120.1	82.29	41.22	41.81	6.06	131.51	221.86	176.29	40.36	56.28	134.3	201.25	18.84	7.22	102.97	29.27	47.5	16.27	97.36	8.85	76.71	514.56	43.32	5.5	178.77	18.29	193.01	105.89	45.53	79.45	118.43	43.32	10.0	127.0	4.17	44.57	7.88	9.93	40.64	34.51	40.93	31.45	42.41	28.04	183.82	30.78	57.49
