	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E9.A244.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.BR.4279.01A.01R.1131.13	GTEX.P4PP.2026.SM.3P61N	GTEX.XUJ4.1526.SM.4BONU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.13VXT.1626.SM.5IJES
CCAR2	2502.97	1769.57	2485.67	2319.15	2384.37	2417.67	2720.15	974.5	1378.57	1896.65	1088.92	1733.13	1175.27	1651.0	3146.52	2682.69	2193.99	2240.11	1605.83	1832.01	1407.55	2319.15	1963.57	1498.22	3168.41	2485.67	693.58	1583.71	2468.49	1769.57	2664.15	1427.22	1322.37	2468.49	1119.56	1467.37	1457.23	2855.44	1936.53	1477.58	1832.01	2367.9	1923.14	2090.03	2303.12	2061.24	2240.11	2004.85	2739.08	2835.7	2645.74	2627.46	2758.13	2956.17	2148.82	2335.28	2664.15	2255.7	2627.46	3039.3	5183.54	1498.22	3280.18	1104.13	1950.0	3349.13	2976.74	2796.65	1909.85	1183.45	3303.0	3982.99	1896.65	3874.05	1561.89	988.12	2997.45	1519.15	3467.27	1909.85	2335.28	412.0	305.55	518.15	693.58	836.53	728.11	780.44	813.63	536.45	208.38	0.0	563.18	743.43	1023.0	4575.41	1991.0	2816.11	1844.76	3325.99
CCNL2	6164.49	748.61	351.14	2319.15	2645.74	3467.27	3039.3	808.0	656.11	902.89	825.0	1378.57	2664.15	2451.44	3280.18	1397.83	2645.74	1250.98	669.92	587.13	444.72	1066.48	2032.85	947.83	1977.24	1127.35	651.58	403.5	2573.36	525.39	688.78	995.0	1313.23	1709.26	1662.49	1437.15	819.3	1844.76	1397.83	525.39	921.88	5183.54	579.04	571.05	1088.92	1769.57	1467.37	1225.22	3081.75	2502.97	2061.24	1583.71	1844.76	3257.52	1127.35	1923.14	2835.7	2255.7	2777.33	2451.44	2555.58	890.44	1651.0	1216.75	5006.93	3018.3	3257.52	1662.49	1594.73	1044.52	2976.74	3491.39	1277.29	3039.3	368.65	1191.69	2400.97	1477.58	4152.18	1167.14	1417.35	392.44	241.19	633.73	896.64	265.87	460.44	521.76	633.73	1225.22	460.44	0.0	1417.35	73.54	423.61	4769.75	2240.11	2520.38	3589.58	5711.87
CDAN1	208.38	242.88	90.14	244.57	163.28	309.83	279.14	223.41	180.02	142.01	95.34	218.79	389.72	226.54	316.37	271.48	301.33	221.86	166.73	100.13	138.1	115.16	241.19	108.9	277.2	173.85	144.01	73.03	244.57	157.68	135.24	171.45	183.82	242.88	63.89	166.73	214.27	226.54	181.28	143.01	115.97	336.79	84.63	132.44	143.01	187.71	154.42	119.26	309.83	244.57	177.53	197.09	183.82	329.84	96.01	205.5	271.48	295.11	175.07	269.6	237.86	130.6	165.57	140.04	336.79	289.02	256.78	156.59	178.77	81.71	253.23	236.21	77.79	234.57	144.01	124.37	329.84	157.68	323.03	152.28	169.07	60.39	30.56	96.68	68.07	44.57	71.5	65.72	72.52	76.17	68.55	0.0	92.05	39.79	81.71	417.77	273.37	432.53	389.72	426.57
CDRT4	543.96	41.52	102.97	189.02	118.43	264.03	201.25	14.78	25.35	13.32	8.0	96.01	85.22	61.25	463.65	20.56	381.68	96.01	36.27	24.46	14.24	88.26	33.54	26.47	165.57	209.84	25.54	10.55	51.71	37.32	85.22	61.25	63.0	54.33	16.63	37.59	36.01	281.09	115.16	26.1	16.15	271.48	8.92	37.32	18.84	118.43	32.82	178.77	57.08	122.64	59.55	46.84	133.36	507.46	39.22	137.14	264.03	417.77	157.68	253.23	256.78	80.01	314.17	173.85	429.54	220.32	141.02	94.67	148.09	154.42	265.87	356.05	59.55	329.84	24.11	228.13	81.71	52.82	406.31	75.11	267.73	39.22	8.99	28.45	65.72	7.51	3.76	36.79	11.64	29.06	19.53	0.0	162.14	0.73	132.44	417.77	275.28	521.76	366.09	149.12
CENPT	1119.56	486.75	115.16	460.44	511.0	860.08	915.51	173.85	253.23	325.29	182.55	547.75	848.22	571.05	764.36	525.39	693.58	320.8	208.38	181.28	127.0	271.48	387.02	493.56	665.29	275.28	318.57	116.78	842.36	217.27	563.18	363.56	432.53	529.06	341.51	902.89	277.2	514.56	312.0	529.06	320.8	1015.93	403.5	145.02	303.44	518.15	466.88	339.14	656.11	733.19	684.02	483.38	579.04	902.89	297.17	638.15	791.35	555.41	603.67	432.53	612.11	532.74	571.05	571.05	1340.84	1096.5	688.78	638.15	684.02	493.56	808.0	1037.29	583.07	665.29	348.71	346.29	842.36	759.08	1143.1	703.28	414.87	158.79	262.2	195.72	258.57	206.94	172.65	135.24	164.42	251.48	194.36	0.0	555.41	114.36	332.14	1561.89	1096.5	1081.39	1183.45	1794.29
CEP164	525.39	145.02	105.89	343.89	277.2	511.0	417.77	111.21	149.12	384.34	253.23	148.09	226.54	291.04	503.95	166.73	447.82	176.29	151.22	145.02	100.13	231.32	297.17	226.54	305.55	226.54	223.41	180.02	303.44	305.55	249.73	177.53	273.37	323.03	387.02	237.86	118.43	353.59	297.17	237.86	152.28	660.68	156.59	156.59	214.27	307.69	267.73	242.88	551.56	457.25	420.68	339.14	346.29	547.75	214.27	273.37	409.15	432.53	339.14	392.44	457.25	229.72	463.65	291.04	559.28	460.44	403.5	392.44	248.0	249.73	470.14	638.15	234.57	256.78	141.02	265.87	543.96	343.89	583.07	189.02	346.29	73.54	6.06	60.82	78.34	36.01	31.67	46.84	64.8	63.45	32.36	183.82	406.31	70.51	105.89	620.67	444.72	429.54	571.05	620.67
CMTR1	559.28	493.56	373.81	503.95	764.36	647.07	603.67	473.41	612.11	764.36	389.72	785.88	947.83	497.0	603.67	543.96	529.06	366.09	555.41	507.46	753.83	603.67	540.19	435.55	429.54	579.04	295.11	555.41	642.59	540.19	529.06	603.67	444.72	423.61	463.65	665.29	368.65	529.06	595.34	414.87	429.54	647.07	540.19	435.55	529.06	633.73	500.46	529.06	665.29	693.58	579.04	656.11	555.41	728.11	406.31	470.14	616.37	607.87	813.63	647.07	813.63	511.0	743.43	409.15	753.83	830.75	878.17	525.39	480.04	376.41	753.83	872.1	441.64	642.59	283.05	480.04	759.08	500.46	915.51	463.65	460.44	258.57	87.65	373.81	269.6	258.57	224.97	336.79	251.48	217.27	181.28	0.0	414.87	152.28	454.09	1551.09	921.88	693.58	848.22	1015.93
CSNK1E	3146.52	1721.16	1662.49	3103.19	3190.46	3372.43	3443.31	921.88	1457.23	1277.29	1199.98	1233.75	2434.5	2758.13	2627.46	1883.54	3665.02	2240.11	1594.73	1242.34	848.22	1242.34	3190.46	1340.84	1896.65	1467.37	1259.69	1119.56	2682.69	1936.53	1529.73	1191.69	1709.26	2255.7	2591.27	2573.36	2555.58	2303.12	2627.46	1757.34	1369.04	3716.2	2303.12	1733.13	1529.73	2319.15	1977.24	1551.09	2796.65	1417.35	2555.58	2255.7	2400.97	3018.3	1769.57	2032.85	2976.74	2417.67	2434.5	2032.85	1896.65	1233.75	4419.52	3257.52	4736.79	3018.3	2485.67	3039.3	1008.9	1721.16	1896.65	3325.99	2163.77	2240.11	1594.73	1447.15	3716.2	2303.12	3639.7	1427.22	2240.11	860.08	1143.1	392.44	450.94	500.46	397.93	232.94	220.32	470.14	346.29	1457.23	1909.85	693.58	995.0	3349.13	2351.53	3081.75	4937.99	3639.7
DGCR8	620.67	293.07	215.77	476.71	420.68	607.87	559.28	262.2	223.41	318.57	283.05	297.17	591.22	361.04	454.09	400.71	514.56	353.59	339.14	248.0	178.77	307.69	376.41	264.03	366.09	289.02	289.02	218.79	363.56	325.29	248.0	271.48	305.55	454.09	438.59	493.56	256.78	457.25	332.14	236.21	249.73	547.75	295.11	275.28	336.79	336.79	343.89	325.29	457.25	529.06	457.25	395.18	417.77	543.96	291.04	406.31	514.56	470.14	327.56	490.14	361.04	265.87	417.77	164.42	423.61	454.09	559.28	373.81	297.17	220.32	414.87	476.71	231.32	497.0	234.57	175.07	500.46	218.79	460.44	346.29	277.2	77.79	24.11	166.73	159.9	115.97	123.5	147.06	153.34	111.99	111.99	0.0	110.43	99.43	156.59	785.88	665.29	575.03	595.34	759.08
DPH7	1088.92	417.77	113.56	603.67	708.18	733.19	713.11	197.09	139.07	312.0	262.2	466.88	842.36	669.92	796.86	414.87	748.61	441.64	371.22	246.28	104.42	366.09	500.46	366.09	540.19	361.04	287.01	265.87	595.34	323.03	463.65	363.56	249.73	486.75	348.71	551.56	595.34	470.14	343.89	361.04	271.48	988.12	486.75	153.34	414.87	267.73	441.64	289.02	555.41	540.19	500.46	406.31	426.57	708.18	215.77	486.75	607.87	633.73	412.0	567.1	423.61	323.03	457.25	376.41	1023.0	703.28	575.03	412.0	476.71	293.07	521.76	633.73	403.5	595.34	301.33	414.87	583.07	420.68	878.17	397.93	368.65	144.01	209.84	111.21	146.03	54.33	100.83	111.99	101.54	183.82	103.69	0.0	334.46	67.12	293.07	1250.98	587.13	896.64	902.89	1111.82
DVL2	503.95	460.44	125.24	551.56	463.65	775.05	866.07	182.55	457.25	651.58	237.86	395.18	275.28	392.44	1037.29	242.88	728.11	406.31	366.09	191.67	74.06	228.13	514.56	221.86	414.87	303.44	417.77	258.57	497.0	246.28	320.8	264.03	406.31	536.45	381.68	764.36	275.28	483.38	432.53	231.32	271.48	813.63	287.01	248.0	476.71	236.21	334.46	281.09	748.61	629.35	567.1	559.28	447.82	769.69	242.88	500.46	723.08	642.59	738.29	633.73	679.29	318.57	551.56	529.06	947.83	896.64	638.15	514.56	325.29	297.17	753.83	733.19	417.77	660.68	420.68	529.06	698.41	571.05	743.43	400.71	480.04	97.36	40.36	110.43	82.87	78.89	64.8	124.37	131.51	73.54	108.14	0.0	307.69	201.25	255.0	1340.84	665.29	1143.1	902.89	1051.79
EXOC3	1437.15	651.58	327.56	1008.9	878.17	1295.13	1151.06	529.06	872.1	1001.93	555.41	1437.15	1208.34	947.83	1477.58	753.83	1135.2	775.05	866.07	470.14	450.94	988.12	860.08	830.75	974.5	791.35	490.14	432.53	974.5	669.92	915.51	775.05	713.11	825.0	808.0	915.51	529.06	1023.0	764.36	579.04	775.05	1191.69	723.08	603.67	802.41	947.83	854.13	769.69	995.0	1037.29	1008.9	988.12	1073.91	1369.04	511.0	1066.48	1066.48	1208.34	1225.22	1250.98	1806.78	836.53	860.08	656.11	1159.07	1594.73	1135.2	1159.07	1199.98	718.08	1216.75	1350.18	775.05	1639.59	607.87	579.04	1037.29	693.58	1540.37	813.63	1008.9	366.09	341.51	497.0	376.41	353.59	258.57	351.14	400.71	389.72	283.05	483.38	703.28	521.76	575.03	2240.11	1073.91	1519.15	1407.55	2956.17
