	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.X3Y1.2726.SM.4PQZH	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
HGSNAT	295.11	447.82	293.07	384.34	351.14	470.14	366.09	381.68	540.19	583.07	723.08	718.08	825.0	1159.07	679.29	860.08	1447.15	775.05	1023.0	693.58	1008.9	934.76	1151.06	1191.69	1059.11	896.64	1427.22	1111.82	808.0	1397.83	1572.76	1175.27	1073.91	1066.48	1250.98	1081.39	1447.15	1397.83	1044.52	1135.2	967.76	1023.0	1081.39	896.64	825.0	878.17	1268.46	941.27	1008.9	941.27	947.83	1167.14	1151.06	775.05	1051.79	1135.2	1066.48	1388.16	1008.9	1073.91	1104.13	1685.71	693.58	1096.5	813.63	872.1	1369.04	1127.35	1617.0	1059.11	738.29	1127.35	1104.13	836.53	967.76	796.86	1498.22	1081.39	961.07	1331.57	1151.06	718.08	1135.2	995.0	902.89	961.07
HPS4	172.65	189.02	201.25	141.02	167.9	181.28	211.31	101.54	191.67	454.09	379.04	371.22	277.2	432.53	423.61	384.34	785.88	457.25	483.38	599.49	595.34	532.74	400.71	529.06	387.02	435.55	579.04	536.45	444.72	723.08	743.43	497.0	486.75	511.0	791.35	738.29	651.58	633.73	599.49	547.75	373.81	620.67	555.41	490.14	318.57	536.45	738.29	748.61	532.74	529.06	536.45	620.67	698.41	361.04	620.67	679.29	397.93	450.94	612.11	563.18	624.99	624.99	348.71	616.37	346.29	336.79	713.11	460.44	728.11	490.14	346.29	616.37	493.56	417.77	559.28	353.59	1015.93	521.76	450.94	660.68	571.05	400.71	688.78	511.0	423.61	341.51
IKZF2	5.28	6.62	6.11	13.52	9.2	13.93	13.62	16.88	8.58	84.04	96.68	68.07	129.69	234.57	110.43	112.77	260.38	84.04	137.14	150.17	169.07	201.25	223.41	96.01	105.15	195.72	153.34	358.54	105.15	633.73	234.57	87.03	127.89	212.78	417.77	137.14	232.94	164.42	178.77	193.01	72.01	47.5	159.9	177.53	115.16	57.89	205.5	119.26	102.25	189.02	113.56	98.04	236.21	84.63	237.86	164.42	61.68	187.71	54.72	116.78	143.01	159.9	150.17	255.0	82.29	143.01	239.52	89.51	193.01	194.36	90.14	172.65	529.06	50.98	279.14	50.63	260.38	127.0	100.83	503.95	180.02	117.6	127.0	104.42	231.32	155.5
INO80D	22.75	8.19	20.26	28.24	19.82	19.82	20.41	15.8	19.82	47.17	53.95	63.45	53.57	74.58	61.25	67.59	155.5	67.12	92.05	72.52	102.25	94.01	92.05	108.9	98.04	87.65	108.9	103.69	68.55	126.12	154.42	94.01	104.42	95.34	138.1	90.14	145.02	105.89	98.04	77.25	67.59	83.45	86.43	98.04	94.01	63.45	118.43	97.36	83.45	80.01	74.06	111.21	114.36	75.64	98.73	107.38	76.71	122.64	73.03	95.34	114.36	131.51	63.45	115.16	87.03	70.01	150.17	94.67	136.19	96.01	70.01	100.13	100.13	80.01	105.15	48.52	211.31	95.34	99.43	98.73	115.16	69.03	105.15	80.01	84.63	81.14
KHNYN	201.25	156.59	214.27	154.42	154.42	242.88	332.14	231.32	293.07	301.33	361.04	287.01	371.22	454.09	314.17	423.61	836.53	329.84	403.5	332.14	647.07	511.0	620.67	679.29	587.13	371.22	620.67	603.67	316.37	665.29	819.3	361.04	703.28	583.07	785.88	395.18	769.69	656.11	660.68	693.58	536.45	366.09	532.74	525.39	591.22	470.14	665.29	397.93	486.75	518.15	358.54	457.25	941.27	536.45	718.08	698.41	400.71	693.58	379.04	591.22	438.59	647.07	490.14	612.11	323.03	500.46	733.19	698.41	769.69	656.11	371.22	698.41	559.28	343.89	497.0	420.68	1066.48	547.75	476.71	669.92	571.05	417.77	486.75	325.29	476.71	466.88
KIAA1731	40.07	5.02	42.71	45.21	29.48	40.64	21.78	23.59	33.54	118.43	77.25	75.64	84.04	115.16	116.78	155.5	323.03	195.72	208.38	215.77	205.5	221.86	120.94	169.07	155.5	193.01	202.66	175.07	204.07	281.09	299.25	275.28	138.1	166.73	301.33	209.84	182.55	162.14	211.31	190.34	127.0	223.41	173.85	167.9	109.66	191.67	208.38	215.77	169.07	142.01	204.07	214.27	224.97	145.02	204.07	178.77	127.89	175.07	242.88	172.65	262.2	171.45	125.24	231.32	158.79	146.03	183.82	187.71	236.21	164.42	128.79	193.01	220.32	170.25	182.55	104.42	226.54	197.09	140.04	202.66	162.14	223.41	231.32	182.55	169.07	127.89
KPNA5	16.27	14.14	36.79	32.82	28.65	22.26	28.04	13.32	24.28	124.37	78.89	81.14	120.1	178.77	123.5	158.79	305.55	180.02	273.37	170.25	163.28	212.78	177.53	253.23	166.73	204.07	248.0	277.2	195.72	307.69	289.02	228.13	214.27	236.21	376.41	229.72	429.54	208.38	189.02	194.36	137.14	211.31	234.57	198.47	139.07	205.5	255.0	134.3	171.45	167.9	236.21	246.28	209.84	182.55	217.27	248.0	186.4	246.28	212.78	221.86	234.57	275.28	165.57	217.27	204.07	181.28	309.83	209.84	303.44	246.28	155.5	237.86	323.03	285.03	228.13	126.12	323.03	246.28	226.54	242.88	215.77	208.38	224.97	231.32	201.25	143.01
LMLN	21.32	7.57	30.56	21.32	13.03	22.59	14.89	38.67	29.91	71.0	72.52	55.49	50.27	58.71	79.45	92.7	175.07	103.69	103.69	73.03	158.79	119.26	78.89	100.83	98.04	100.83	211.31	132.44	96.01	121.79	177.53	133.36	87.65	105.15	133.36	153.34	133.36	117.6	115.16	108.14	80.57	113.56	127.89	121.79	74.58	93.35	162.14	102.97	147.06	100.83	108.14	140.04	163.28	79.45	131.51	123.5	85.82	153.34	97.36	118.43	137.14	136.19	80.57	132.44	75.64	111.21	152.28	130.6	187.71	77.79	71.0	204.07	111.99	60.39	119.26	60.82	120.94	139.07	124.37	167.9	146.03	72.01	147.06	106.63	105.15	92.05
LRIG3	97.36	55.49	131.51	88.88	112.77	144.01	118.43	244.57	75.64	785.88	466.88	244.57	303.44	743.43	559.28	796.86	2502.97	848.22	967.76	842.36	1159.07	1295.13	808.0	1111.82	1151.06	1225.22	5517.27	1457.23	808.0	3349.13	1674.06	1529.73	753.83	1127.35	1936.53	1594.73	1350.18	1081.39	909.17	1242.34	674.59	607.87	954.43	1066.48	723.08	769.69	1066.48	1340.84	988.12	842.36	860.08	1388.16	1151.06	961.07	1242.34	915.51	532.74	1119.56	819.3	1044.52	1583.71	660.68	974.5	1769.57	674.59	633.73	2047.0	921.88	1757.34	1015.93	902.89	2758.13	1447.15	769.69	1001.93	507.46	1397.83	1216.75	775.05	1427.22	1844.76	514.56	1359.57	854.13	1135.2	954.43
MAP2K7	343.89	323.03	363.56	267.73	289.02	336.79	307.69	253.23	260.38	417.77	316.37	432.53	379.04	536.45	389.72	392.44	473.41	329.84	358.54	454.09	665.29	529.06	420.68	571.05	466.88	412.0	665.29	503.95	395.18	567.1	563.18	409.15	511.0	503.95	599.49	389.72	688.78	620.67	563.18	713.11	480.04	379.04	466.88	441.64	480.04	480.04	490.14	473.41	400.71	470.14	397.93	454.09	738.29	476.71	500.46	612.11	423.61	529.06	409.15	525.39	395.18	536.45	441.64	540.19	483.38	384.34	579.04	543.96	476.71	571.05	463.65	559.28	420.68	423.61	435.55	403.5	890.44	579.04	514.56	624.99	447.82	371.22	551.56	423.61	414.87	373.81
MASTL	33.06	12.0	44.89	52.45	42.71	32.13	23.42	74.06	49.21	71.5	48.52	71.0	62.12	78.89	66.18	78.89	182.55	94.01	127.89	80.57	127.0	122.64	107.38	123.5	111.21	100.83	90.14	152.28	98.73	135.24	145.02	63.89	109.66	92.7	117.6	114.36	136.19	135.24	127.89	111.99	91.41	95.34	119.26	117.6	94.67	82.87	106.63	76.71	99.43	64.34	110.43	81.71	76.71	122.64	107.38	112.77	66.18	153.34	138.1	96.01	120.1	105.15	85.82	105.15	82.87	99.43	107.38	117.6	127.89	123.5	75.11	98.04	94.67	69.03	109.66	90.77	132.44	125.24	65.72	114.36	98.73	96.01	90.77	93.35	75.64	94.67
MBTD1	100.13	59.13	90.14	106.63	82.87	107.38	81.14	80.57	91.41	103.69	98.04	91.41	86.43	164.42	108.9	131.51	334.46	133.36	220.32	143.01	206.94	228.13	148.09	205.5	166.73	144.01	283.05	221.86	161.02	299.25	447.82	205.5	182.55	186.4	339.14	218.79	204.07	205.5	202.66	161.02	119.26	186.4	175.07	197.09	127.0	141.02	260.38	229.72	173.85	173.85	198.47	215.77	285.03	138.1	248.0	211.31	115.16	246.28	164.42	169.07	283.05	194.36	131.51	256.78	186.4	165.57	287.01	177.53	305.55	167.9	146.03	260.38	244.57	133.36	208.38	108.14	303.44	215.77	163.28	283.05	226.54	167.9	198.47	169.07	147.06	130.6
MED23	72.52	74.06	108.14	122.64	98.73	102.25	98.73	105.15	101.54	215.77	249.73	189.02	215.77	332.14	285.03	387.02	647.07	256.78	395.18	265.87	441.64	426.57	351.14	466.88	400.71	363.56	540.19	441.64	285.03	447.82	583.07	358.54	343.89	426.57	624.99	438.59	583.07	463.65	387.02	409.15	363.56	356.05	381.68	447.82	318.57	297.17	486.75	417.77	351.14	363.56	353.59	441.64	543.96	356.05	476.71	409.15	332.14	536.45	277.2	392.44	423.61	483.38	312.0	470.14	412.0	397.93	486.75	323.03	551.56	366.09	371.22	447.82	521.76	336.79	409.15	305.55	633.73	406.31	409.15	493.56	490.14	303.44	435.55	318.57	450.94	366.09
MGEA5	532.74	470.14	579.04	547.75	435.55	642.59	728.11	486.75	507.46	1037.29	1023.0	854.13	896.64	1447.15	961.07	1088.92	2645.74	902.89	1242.34	1030.12	1936.53	1508.65	1605.83	1572.76	1208.34	1175.27	2384.37	1923.14	1199.98	2119.22	2682.69	1268.46	1963.57	1709.26	2303.12	1540.37	2502.97	1963.57	1745.2	1407.55	1175.27	1199.98	1417.35	1508.65	1331.57	1242.34	1757.34	1340.84	1487.87	1467.37	1242.34	1467.37	2018.8	1183.45	2018.8	1427.22	1119.56	2075.59	1066.48	1467.37	1498.22	1651.0	1331.57	1883.54	1030.12	1242.34	2224.63	1628.26	2163.77	1639.59	947.83	1769.57	1508.65	1059.11	1697.45	1096.5	2976.74	1662.49	1268.46	2255.7	1769.57	1277.29	1350.18	1051.79	1427.22	1208.34
MSL1	555.41	373.81	476.71	587.13	555.41	457.25	447.82	688.78	460.44	825.0	780.44	728.11	808.0	1191.69	679.29	1073.91	1857.6	1119.56	1508.65	1662.49	1135.2	1769.57	1447.15	1923.14	1350.18	1313.23	1457.23	1806.78	1477.58	1030.12	2384.37	1697.45	1359.57	1167.14	1794.29	1561.89	1794.29	1662.49	1870.53	1388.16	1359.57	1208.34	1313.23	1487.87	748.61	1259.69	1628.26	1733.13	1639.59	1304.15	1350.18	1628.26	2075.59	1369.04	1437.15	1340.84	1313.23	1685.71	1242.34	1467.37	1819.35	1477.58	1023.0	1806.78	1417.35	1594.73	1870.53	1651.0	1259.69	1322.37	1073.91	1378.57	1832.01	1359.57	1397.83	1242.34	1127.35	1498.22	1529.73	2004.85	1457.23	1745.2	1883.54	1199.98	1378.57	1037.29
MTERFD3	363.56	131.51	262.2	334.46	275.28	273.37	193.01	267.73	285.03	497.0	346.29	409.15	312.0	525.39	532.74	470.14	1051.79	514.56	490.14	656.11	629.35	738.29	426.57	463.65	323.03	470.14	612.11	660.68	595.34	775.05	1651.0	473.41	470.14	532.74	1242.34	854.13	571.05	518.15	808.0	547.75	303.44	543.96	490.14	559.28	351.14	813.63	633.73	848.22	656.11	571.05	551.56	579.04	988.12	490.14	693.58	532.74	460.44	607.87	444.72	633.73	738.29	420.68	348.71	748.61	503.95	444.72	921.88	595.34	813.63	698.41	480.04	723.08	583.07	633.73	612.11	318.57	1023.0	665.29	476.71	748.61	536.45	587.13	723.08	476.71	540.19	312.0
MTF2	48.52	29.7	80.57	92.05	60.39	99.43	91.41	58.3	50.27	112.77	134.3	109.66	169.07	205.5	151.22	211.31	651.58	165.57	258.57	215.77	251.48	329.84	206.94	329.84	262.2	201.25	470.14	320.8	163.28	497.0	647.07	343.89	232.94	318.57	447.82	353.59	332.14	346.29	260.38	262.2	275.28	220.32	258.57	312.0	218.79	201.25	348.71	363.56	262.2	241.19	211.31	289.02	406.31	231.32	348.71	325.29	287.01	379.04	204.07	264.03	295.11	327.56	223.41	366.09	258.57	264.03	438.59	262.2	463.65	289.02	182.55	444.72	307.69	215.77	267.73	155.5	351.14	332.14	299.25	457.25	371.22	246.28	260.38	187.71	217.27	221.86
MTR	42.41	17.51	61.25	54.72	47.5	51.71	49.21	78.34	39.5	271.48	236.21	178.77	314.17	204.07	275.28	309.83	813.63	271.48	406.31	241.19	406.31	486.75	303.44	325.29	323.03	343.89	511.0	476.71	320.8	624.99	941.27	409.15	414.87	381.68	587.13	397.93	470.14	551.56	406.31	312.0	361.04	376.41	403.5	371.22	297.17	277.2	429.54	447.82	397.93	356.05	373.81	463.65	543.96	323.03	460.44	438.59	249.73	376.41	336.79	470.14	316.37	473.41	281.09	409.15	217.27	279.14	591.22	392.44	511.0	358.54	255.0	575.03	384.34	260.38	412.0	201.25	1001.93	397.93	368.65	599.49	444.72	325.29	371.22	366.09	316.37	327.56
MYSM1	56.28	35.76	49.21	47.5	31.67	45.21	37.85	52.82	30.34	120.1	96.01	85.82	96.68	183.82	87.65	131.51	387.02	128.79	206.94	187.71	237.86	175.07	199.85	251.48	180.02	165.57	301.33	277.2	182.55	373.81	423.61	195.72	242.88	214.27	395.18	218.79	314.17	314.17	218.79	163.28	206.94	209.84	186.4	231.32	187.71	123.5	291.04	201.25	166.73	133.36	175.07	195.72	293.07	202.66	229.72	258.57	137.14	373.81	183.82	246.28	194.36	291.04	145.02	309.83	122.64	169.07	293.07	197.09	334.46	246.28	120.1	255.0	242.88	117.6	209.84	103.69	361.04	289.02	283.05	199.85	269.6	126.12	183.82	158.79	182.55	173.85
N4BP2L2	493.56	181.28	470.14	575.03	406.31	397.93	363.56	356.05	438.59	995.0	808.0	287.01	708.18	1135.2	896.64	1340.84	2573.36	1096.5	1407.55	974.5	1909.85	1540.37	1397.83	1605.83	1242.34	1427.22	2224.63	1794.29	1529.73	1477.58	2018.8	1350.18	1322.37	1721.16	1909.85	1447.15	1936.53	1350.18	2075.59	1427.22	1023.0	1331.57	1781.89	1529.73	1477.58	1216.75	1551.09	1685.71	1397.83	1447.15	1407.55	1662.49	1936.53	1143.1	1781.89	1769.57	995.0	2271.4	1208.34	1467.37	1572.76	1628.26	1183.45	2133.97	1051.79	1242.34	1883.54	1674.06	2271.4	1594.73	928.3	1963.57	1487.87	1143.1	1757.34	974.5	1733.13	1605.83	1457.23	1605.83	2004.85	1127.35	1437.15	1331.57	1427.22	1208.34
NAA25	43.94	29.06	56.28	50.98	44.57	46.18	42.71	66.18	46.5	115.97	90.77	72.52	81.71	119.26	115.16	154.42	287.01	123.5	134.3	96.01	156.59	172.65	141.02	163.28	143.01	123.5	273.37	202.66	115.16	346.29	336.79	199.85	175.07	156.59	217.27	164.42	224.97	197.09	171.45	159.9	157.68	125.24	153.34	169.07	177.53	120.94	171.45	164.42	163.28	141.02	111.99	163.28	189.02	144.01	152.28	162.14	118.43	214.27	112.77	157.68	150.17	194.36	137.14	173.85	131.51	146.03	209.84	165.57	275.28	153.34	111.21	221.86	181.28	129.69	131.51	92.7	351.14	172.65	149.12	171.45	191.67	95.34	162.14	134.3	150.17	148.09
NEK3	87.65	68.07	137.14	119.26	64.34	71.0	122.64	53.57	55.1	133.36	62.56	83.45	132.44	124.37	133.36	146.03	356.05	171.45	176.29	161.02	277.2	183.82	140.04	169.07	146.03	166.73	190.34	162.14	136.19	111.21	246.28	185.11	297.17	212.78	248.0	228.13	211.31	329.84	223.41	140.04	201.25	152.28	223.41	221.86	183.82	181.28	223.41	155.5	154.42	166.73	197.09	187.71	183.82	142.01	181.28	208.38	267.73	363.56	209.84	175.07	231.32	186.4	100.13	239.52	148.09	105.15	273.37	208.38	181.28	182.55	125.24	148.09	149.12	147.06	144.01	150.17	195.72	217.27	154.42	232.94	193.01	177.53	189.02	145.02	139.07	137.14
NHLRC3	267.73	217.27	293.07	271.48	356.05	251.48	229.72	400.71	291.04	356.05	373.81	136.19	301.33	356.05	476.71	423.61	1151.06	447.82	567.1	454.09	796.86	633.73	454.09	514.56	470.14	536.45	642.59	684.02	575.03	738.29	1030.12	466.88	483.38	571.05	860.08	571.05	647.07	651.58	698.41	607.87	423.61	497.0	587.13	603.67	406.31	426.57	728.11	624.99	521.76	480.04	547.75	616.37	1304.15	366.09	693.58	603.67	346.29	612.11	500.46	579.04	620.67	612.11	373.81	796.86	438.59	503.95	802.41	620.67	802.41	529.06	366.09	669.92	665.29	412.0	575.03	395.18	802.41	733.19	518.15	633.73	723.08	423.61	612.11	620.67	503.95	529.06
NKTR	94.01	21.63	107.38	141.02	91.41	94.01	72.52	158.79	127.0	279.14	348.71	187.71	287.01	521.76	312.0	616.37	1617.0	414.87	633.73	507.46	1199.98	928.3	842.36	1119.56	651.58	642.59	1605.83	947.83	665.29	2032.85	1674.06	1096.5	1001.93	780.44	1519.15	954.43	1427.22	1487.87	1104.13	967.76	796.86	713.11	813.63	1001.93	629.35	497.0	1350.18	830.75	769.69	470.14	713.11	854.13	1529.73	607.87	848.22	967.76	575.03	1233.75	525.39	1051.79	743.43	1030.12	493.56	1051.79	348.71	733.19	1225.22	1104.13	1551.09	954.43	460.44	1519.15	1119.56	417.77	928.3	351.14	1685.71	1135.2	947.83	995.0	1167.14	579.04	785.88	738.29	791.35	693.58
NR2C1	346.29	158.79	309.83	441.64	318.57	295.11	244.57	255.0	297.17	346.29	281.09	343.89	395.18	551.56	476.71	679.29	921.88	389.72	624.99	775.05	878.17	1119.56	518.15	629.35	620.67	486.75	915.51	651.58	571.05	1936.53	2255.7	599.49	551.56	607.87	1551.09	688.78	718.08	688.78	872.1	902.89	540.19	497.0	603.67	708.18	435.55	638.15	679.29	890.44	616.37	603.67	587.13	647.07	1639.59	507.46	974.5	616.37	629.35	866.07	595.34	708.18	791.35	575.03	473.41	954.43	915.51	525.39	780.44	842.36	1015.93	718.08	616.37	713.11	1199.98	713.11	599.49	441.64	1388.16	1104.13	679.29	915.51	616.37	679.29	748.61	603.67	679.29	414.87
NUP54	242.88	99.43	265.87	281.09	231.32	273.37	327.56	229.72	212.78	379.04	301.33	291.04	353.59	432.53	473.41	529.06	884.29	463.65	684.02	518.15	612.11	656.11	583.07	559.28	536.45	532.74	703.28	656.11	583.07	693.58	909.17	591.22	656.11	629.35	753.83	688.78	780.44	629.35	567.1	518.15	521.76	490.14	684.02	607.87	638.15	536.45	595.34	579.04	555.41	587.13	529.06	563.18	647.07	612.11	660.68	563.18	500.46	796.86	518.15	579.04	612.11	693.58	503.95	688.78	579.04	540.19	860.08	567.1	703.28	660.68	579.04	660.68	642.59	529.06	612.11	500.46	1030.12	674.59	591.22	612.11	688.78	583.07	629.35	551.56	583.07	665.29
ODF2L	9.63	10.55	48.87	51.71	81.14	49.91	33.54	156.59	56.68	426.57	353.59	246.28	395.18	525.39	351.14	387.02	1008.9	511.0	679.29	450.94	567.1	463.65	476.71	563.18	366.09	483.38	684.02	595.34	579.04	358.54	1088.92	540.19	571.05	679.29	769.69	896.64	854.13	651.58	529.06	406.31	514.56	753.83	454.09	563.18	466.88	629.35	813.63	802.41	708.18	438.59	656.11	620.67	536.45	521.76	483.38	679.29	511.0	954.43	703.28	454.09	780.44	808.0	414.87	575.03	470.14	802.41	796.86	563.18	860.08	587.13	363.56	674.59	612.11	348.71	616.37	341.51	547.75	642.59	514.56	616.37	551.56	860.08	791.35	503.95	486.75	463.65
PAN3	64.8	29.27	78.34	113.56	68.07	60.82	63.0	63.89	36.01	231.32	204.07	115.97	206.94	348.71	204.07	346.29	769.69	379.04	503.95	368.65	381.68	493.56	329.84	420.68	336.79	432.53	591.22	470.14	414.87	470.14	791.35	426.57	395.18	429.54	595.34	559.28	620.67	450.94	392.44	343.89	264.03	441.64	371.22	392.44	289.02	353.59	518.15	540.19	497.0	397.93	470.14	547.75	493.56	314.17	500.46	497.0	297.17	529.06	450.94	414.87	620.67	483.38	279.14	454.09	376.41	271.48	540.19	371.22	563.18	366.09	301.33	507.46	490.14	358.54	332.14	241.19	836.53	463.65	358.54	583.07	507.46	353.59	476.71	395.18	336.79	341.51
PAPD4	226.54	130.6	299.25	262.2	253.23	271.48	283.05	320.8	161.02	403.5	473.41	287.01	314.17	591.22	373.81	497.0	1059.11	480.04	612.11	555.41	819.3	785.88	525.39	743.43	599.49	563.18	860.08	748.61	536.45	1088.92	1277.29	679.29	728.11	764.36	1001.93	748.61	1001.93	909.17	660.68	624.99	587.13	540.19	698.41	703.28	567.1	547.75	780.44	808.0	642.59	551.56	579.04	728.11	791.35	638.15	848.22	698.41	518.15	915.51	567.1	802.41	698.41	769.69	406.31	733.19	669.92	463.65	928.3	651.58	1030.12	738.29	507.46	842.36	684.02	660.68	713.11	460.44	967.76	813.63	688.78	842.36	860.08	579.04	620.67	543.96	595.34	656.11
PAPD7	241.19	117.6	195.72	180.02	220.32	220.32	112.77	173.85	141.02	173.85	122.64	156.59	141.02	283.05	162.14	214.27	450.94	228.13	277.2	346.29	363.56	307.69	327.56	412.0	397.93	271.48	406.31	309.83	291.04	684.02	500.46	429.54	379.04	336.79	483.38	327.56	486.75	429.54	307.69	339.14	373.81	301.33	283.05	325.29	291.04	260.38	406.31	339.14	325.29	279.14	244.57	339.14	514.56	318.57	346.29	351.14	269.6	353.59	275.28	373.81	334.46	341.51	224.97	332.14	231.32	353.59	473.41	327.56	441.64	381.68	260.38	412.0	392.44	256.78	307.69	229.72	616.37	305.55	336.79	314.17	363.56	312.0	358.54	236.21	293.07	320.8
PAXBP1	127.0	39.22	109.66	153.34	100.13	90.14	90.77	115.16	118.43	165.57	201.25	135.24	163.28	348.71	199.85	239.52	759.08	182.55	346.29	241.19	414.87	426.57	346.29	376.41	373.81	334.46	521.76	642.59	293.07	620.67	808.0	389.72	348.71	336.79	642.59	417.77	450.94	493.56	423.61	457.25	314.17	283.05	325.29	540.19	373.81	275.28	426.57	547.75	366.09	279.14	255.0	417.77	693.58	318.57	656.11	483.38	325.29	567.1	239.52	356.05	457.25	400.71	214.27	500.46	289.02	348.71	567.1	429.54	591.22	409.15	273.37	500.46	503.95	325.29	426.57	246.28	441.64	463.65	500.46	429.54	470.14	361.04	379.04	260.38	384.34	281.09
PEX1	194.36	116.78	209.84	182.55	218.79	217.27	169.07	163.28	226.54	248.0	291.04	273.37	251.48	316.37	264.03	303.44	638.15	260.38	376.41	256.78	412.0	435.55	346.29	397.93	387.02	287.01	454.09	356.05	271.48	454.09	656.11	351.14	295.11	363.56	500.46	441.64	444.72	444.72	373.81	376.41	312.0	334.46	318.57	429.54	285.03	255.0	497.0	368.65	351.14	269.6	325.29	412.0	473.41	291.04	483.38	387.02	389.72	616.37	260.38	366.09	373.81	420.68	236.21	444.72	403.5	339.14	486.75	351.14	457.25	341.51	262.2	373.81	460.44	309.83	376.41	232.94	595.34	423.61	371.22	348.71	463.65	307.69	406.31	295.11	318.57	316.37
PGBD1	10.16	13.03	14.78	17.0	13.52	8.65	30.78	24.28	22.59	21.16	13.42	27.64	27.84	33.78	21.32	33.3	99.43	40.36	46.5	30.56	49.21	42.11	53.95	45.53	54.72	36.01	56.28	51.71	31.22	27.44	89.51	77.79	38.4	48.87	39.22	61.25	75.64	45.85	48.52	27.44	25.17	62.12	63.0	47.17	38.95	32.82	58.71	47.17	55.89	37.85	42.71	81.14	61.25	37.32	57.49	59.55	37.85	50.98	55.1	48.87	27.44	78.34	27.05	61.25	46.5	35.25	73.54	44.57	81.14	32.82	45.85	46.18	30.78	32.36	30.34	28.86	72.01	54.72	53.19	45.21	63.45	29.27	64.34	42.71	33.54	37.59
