	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.98.A539.01A.31R.A262.07
ALDH5A1	1286.18	29.7	50.63	65.72	76.17	23.25	43.63	129.69	19.82	43.63	50.27	295.11	209.84	460.44	848.22	579.04	323.03	206.94	591.22	441.64	332.14	656.11	954.43	1037.29	947.83	1457.23	543.96	295.11	1008.9	283.05	171.45	1806.78	708.18	1304.15	153.34	1896.65	1457.23	1388.16	1844.76	759.08	1721.16	1757.34	665.29	2758.13	368.65	423.61	454.09	753.83	2468.49	1044.52	1685.71	1639.59	684.02	228.13	954.43	239.52	2075.59	1883.54	2537.92	1963.57	961.07	854.13	1844.76	915.51	1111.82	1477.58	642.59	808.0	205.5	660.68	1832.01	43.02
ALDH6A1	4358.66	23.25	104.42	67.12	110.43	39.79	61.68	61.25	91.41	55.49	49.56	312.0	460.44	297.17	1594.73	470.14	358.54	186.4	1242.34	743.43	327.56	1104.13	2935.74	7589.61	4769.75	9151.82	1909.85	2224.63	1457.23	1529.73	457.25	6935.54	4298.64	10225.32	728.11	9673.69	9876.98	9215.48	22692.63	2384.37	14163.58	16727.26	3190.46	34396.12	1572.76	2627.46	1467.37	2240.11	25708.25	2915.45	5913.33	9151.82	1151.06	1073.91	4512.4	2240.11	25179.16	12244.81	26614.89	23169.48	6337.83	4481.23	13399.51	4937.99	4358.66	5594.3	3820.7	2240.11	483.38	3146.52	23009.42	47.84
ALDH7A1	4328.55	1594.73	2240.11	1685.71	703.28	1487.87	1313.23	2720.15	2163.77	1378.57	1457.23	1059.11	1015.93	3168.41	4704.07	1340.84	1628.26	759.08	1950.0	1781.89	1769.57	4210.15	4704.07	5292.48	3103.19	6699.25	3690.52	1088.92	3168.41	890.44	547.75	3768.09	3847.29	5517.27	1388.16	8538.88	3820.7	3103.19	8134.41	3639.7	4512.4	7180.15	2047.0	8191.0	1331.57	2384.37	1397.83	2434.5	9474.59	4298.64	4239.45	6337.83	1159.07	1457.23	3515.68	1551.09	6792.79	9215.48	13492.72	10084.54	4181.07	3982.99	9740.98	4937.99	5366.37	4543.8	2287.2	1896.65	1151.06	2915.45	10659.59	486.75
ALDH8A1	4010.71	4.06	15.11	7.22	12.64	1.33	7.4	0.0	0.92	1.11	2.78	13.83	532.74	256.78	2255.7	656.11	988.12	127.89	2224.63	674.59	137.14	1651.0	3395.89	4903.87	3349.13	7081.29	3018.3	236.21	4419.52	18.84	187.71	10154.69	8247.98	7749.1	287.01	19618.49	9740.98	8901.53	16045.82	4328.55	17558.94	14971.21	7857.29	26067.14	1769.57	1135.2	3419.52	3540.14	19754.96	8022.41	9876.98	13872.08	3146.52	285.03	9673.69	95.34	11189.6	6935.54	21617.82	16960.78	7642.41	5672.41	11112.3	9088.59	2956.17	9025.81	7695.57	4328.55	153.34	1073.91	11664.82	58.71
AR	497.0	1.28	12.83	6.06	5.63	0.45	7.0	1.48	0.43	2.53	1.46	4.5	57.89	41.22	341.51	16.39	232.94	4.13	332.14	98.73	1.03	16.63	497.0	713.11	417.77	836.53	132.44	62.12	287.01	59.13	28.45	603.67	525.39	460.44	25.72	1059.11	2400.97	1388.16	1407.55	483.38	521.76	2319.15	327.56	1757.34	25.17	70.01	629.35	466.88	1268.46	642.59	808.0	1467.37	371.22	20.11	1216.75	19.11	1540.37	1397.83	2520.38	1417.35	1378.57	896.64	656.11	679.29	379.04	884.29	638.15	400.71	7.82	121.79	2591.27	3.56
BCKDHB	1104.13	84.04	193.01	131.51	217.27	95.34	136.19	70.51	97.36	82.87	81.71	144.01	226.54	228.13	836.53	208.38	316.37	96.68	567.1	297.17	226.54	351.14	1143.1	1030.12	1104.13	1015.93	759.08	325.29	638.15	265.87	241.19	1159.07	974.5	1143.1	293.07	1844.76	1697.45	848.22	1388.16	830.75	1183.45	1225.22	316.37	1909.85	583.07	688.78	273.37	483.38	1295.13	934.76	1030.12	1127.35	273.37	447.82	884.29	348.71	1322.37	2796.65	1651.0	1551.09	1059.11	1225.22	2400.97	947.83	642.59	902.89	808.0	325.29	173.85	507.46	1498.22	38.67
BDH1	9409.14	1183.45	511.0	503.95	1073.91	1104.13	718.08	1331.57	426.57	1037.29	1769.57	128.79	1127.35	1001.93	9540.5	1508.65	3146.52	1167.14	6121.9	1369.04	2720.15	8247.98	7966.99	5479.15	4512.4	17317.18	3928.15	249.73	4038.61	102.25	46.84	7180.15	8421.31	3589.58	1733.13	14361.31	13586.57	5831.91	13586.57	5041.77	11267.44	28132.47	4836.35	14262.1	1044.52	7695.57	2351.53	2502.97	14361.31	7803.01	12415.75	11267.44	1529.73	1225.22	3280.18	1457.23	18950.18	19754.96	20451.65	18304.63	3540.14	7537.18	13033.07	5219.6	10512.82	17558.94	5913.33	11745.96	14.35	2502.97	35363.15	136.19
BHMT2	6207.38	17.64	42.71	21.01	8.45	4.5	21.63	6.67	2.97	7.06	11.13	3419.52	2133.97	1127.35	3325.99	1757.34	4419.52	2303.12	5403.7	961.07	2701.35	2796.65	6652.97	6294.04	5751.61	7695.57	4210.15	860.08	7749.1	836.53	236.21	2997.45	6516.03	8363.13	536.45	11189.6	7966.99	8421.31	15607.02	8840.04	5329.3	17317.18	2384.37	42641.37	363.56	1051.79	6164.49	4450.27	19482.97	23820.89	17317.18	9215.48	3564.78	1407.55	11345.82	454.09	17078.76	17197.56	23330.64	30785.28	11992.79	4543.8	12329.98	11664.82	18304.63	6250.56	12853.63	2835.7	152.28	1340.84	23169.48	6.26
C2orf47	830.75	255.0	363.56	507.46	341.51	450.94	397.93	438.59	384.34	414.87	351.14	748.61	497.0	660.68	947.83	476.71	518.15	591.22	728.11	432.53	624.99	872.1	934.76	915.51	842.36	934.76	1259.69	988.12	1498.22	733.19	493.56	1233.75	1135.2	1250.98	775.05	1096.5	1832.01	1304.15	1519.15	1104.13	1819.35	1540.37	1059.11	1313.23	759.08	1066.48	738.29	961.07	1159.07	1135.2	1023.0	1322.37	915.51	698.41	1159.07	629.35	1487.87	981.29	1378.57	1111.82	1286.18	981.29	1167.14	1250.98	967.76	1081.39	1030.12	1051.79	785.88	785.88	1781.89	457.25
CAT	9474.59	928.3	1030.12	460.44	791.35	441.64	660.68	493.56	351.14	878.17	447.82	2148.82	1806.78	5403.7	9540.5	3716.2	5441.3	1159.07	4575.41	2075.59	2148.82	4836.35	7230.1	12076.21	8191.0	11112.3	9606.86	2255.7	11992.79	1806.78	1191.69	7180.15	11424.74	12076.21	3325.99	21320.18	13586.57	7032.37	15499.21	9606.86	12076.21	16727.26	5006.93	20881.4	2303.12	4704.07	3467.27	4095.0	15285.81	13123.73	11664.82	10585.95	5517.27	4388.98	10440.2	2645.74	13033.07	14262.1	24832.5	18304.63	7230.1	7331.05	21320.18	10084.54	9876.98	10512.82	7280.4	8718.32	1340.84	3874.05	23492.92	651.58
CBR4	738.29	145.02	231.32	180.02	218.79	143.01	154.42	157.68	262.2	120.94	131.51	212.78	329.84	144.01	435.55	246.28	154.42	224.97	368.65	343.89	346.29	373.81	547.75	500.46	551.56	551.56	559.28	265.87	397.93	211.31	234.57	830.75	599.49	693.58	173.85	679.29	660.68	348.71	679.29	353.59	775.05	961.07	309.83	759.08	329.84	368.65	325.29	289.02	571.05	579.04	397.93	642.59	287.01	211.31	400.71	177.53	708.18	1119.56	884.29	620.67	612.11	842.36	748.61	363.56	660.68	708.18	417.77	567.1	138.1	376.41	607.87	182.55
CDC14B	327.56	52.45	138.1	73.03	161.02	36.53	98.04	15.34	40.07	59.55	30.78	127.89	181.28	120.1	256.78	20.11	279.14	46.18	258.57	356.05	77.25	155.5	348.71	579.04	371.22	297.17	182.55	189.02	251.48	137.14	78.89	450.94	283.05	450.94	62.12	414.87	656.11	638.15	854.13	285.03	896.64	603.67	264.03	607.87	124.37	271.48	497.0	547.75	738.29	267.73	381.68	376.41	392.44	152.28	514.56	144.01	718.08	660.68	665.29	559.28	368.65	323.03	426.57	301.33	197.09	540.19	293.07	356.05	68.55	143.01	1378.57	61.25
CLPX	842.36	403.5	616.37	665.29	441.64	381.68	679.29	713.11	583.07	878.17	500.46	842.36	698.41	656.11	775.05	490.14	571.05	629.35	684.02	599.49	318.57	743.43	633.73	1051.79	1135.2	995.0	1437.15	890.44	1447.15	934.76	674.59	967.76	1331.57	1936.53	981.29	890.44	1909.85	1733.13	1167.14	1467.37	1733.13	1350.18	848.22	1104.13	1769.57	785.88	1001.93	1037.29	1551.09	1674.06	1662.49	1119.56	1096.5	967.76	2271.4	536.45	1950.0	909.17	1250.98	1378.57	1388.16	974.5	1233.75	1277.29	1225.22	769.69	1519.15	1066.48	796.86	769.69	1030.12	476.71
COBLL1	902.89	175.07	351.14	283.05	323.03	215.77	426.57	318.57	197.09	435.55	239.52	134.3	170.25	269.6	476.71	140.04	248.0	132.44	371.22	346.29	101.54	368.65	679.29	1388.16	890.44	1008.9	591.22	241.19	733.19	423.61	199.85	878.17	995.0	1073.91	189.02	1350.18	3395.89	1844.76	1674.06	1781.89	1225.22	1477.58	503.95	2319.15	167.9	234.57	599.49	830.75	1378.57	995.0	1259.69	1378.57	348.71	381.68	1322.37	295.11	1519.15	1674.06	2224.63	1883.54	1407.55	836.53	1119.56	1143.1	791.35	1127.35	1427.22	603.67	37.05	368.65	2701.35	96.68
CRADD	660.68	348.71	239.52	220.32	323.03	234.57	262.2	181.28	195.72	293.07	190.34	381.68	497.0	429.54	583.07	466.88	497.0	629.35	532.74	246.28	457.25	567.1	629.35	1015.93	616.37	567.1	1225.22	764.36	1388.16	775.05	503.95	954.43	1340.84	1268.46	334.46	842.36	1030.12	934.76	954.43	902.89	1135.2	890.44	954.43	1073.91	551.56	579.04	603.67	780.44	1037.29	954.43	723.08	1159.07	1051.79	412.0	1216.75	358.54	1388.16	1583.71	941.27	775.05	1073.91	785.88	1151.06	1487.87	915.51	688.78	934.76	612.11	703.28	753.83	902.89	145.02
CYB5A	27938.14	921.88	753.83	1216.75	947.83	819.3	753.83	1233.75	94.67	1008.9	791.35	11745.96	9540.5	12764.83	30785.28	8305.36	20170.07	3395.89	25887.07	6792.79	14663.09	19082.0	33455.53	33688.23	25179.16	31650.8	42937.97	13586.57	95286.54	5112.16	5006.93	49666.0	50359.33	44452.21	16383.0	97288.74	174152.51	70727.3	51062.33	43840.21	70727.3	44145.15	44145.15	75803.72	12160.22	24832.5	32315.87	29736.59	68793.23	41763.8	40904.3	45386.27	20451.65	46019.85	60723.88	7433.4	48307.85	31215.04	78476.96	37901.36	38966.94	53230.77	40621.74	33922.56	37901.36	40621.74	12943.04	40341.14	1498.22	53230.77	186652.11	1806.78
CYB5D2	738.29	119.26	289.02	187.71	518.15	194.36	379.04	152.28	339.14	204.07	212.78	341.51	201.25	373.81	507.46	289.02	285.03	356.05	381.68	366.09	353.59	836.53	684.02	638.15	441.64	954.43	748.61	253.23	902.89	316.37	256.78	583.07	669.92	802.41	258.57	1369.04	540.19	607.87	1081.39	854.13	743.43	1183.45	507.46	1697.45	503.95	579.04	748.61	540.19	1233.75	612.11	819.3	813.63	511.0	277.2	780.44	198.47	854.13	1268.46	1233.75	1250.98	947.83	1081.39	1119.56	1208.34	1519.15	679.29	928.3	460.44	253.23	525.39	890.44	211.31
CYP4A11	23820.89	0.0	1.71	1.68	0.88	0.0	0.96	0.0	0.43	0.0	1.85	2240.11	2287.2	2591.27	13681.08	6607.01	2502.97	674.59	5791.62	1991.0	3372.43	4869.99	19482.97	17317.18	13399.51	57051.4	22850.48	23.42	9474.59	5.87	389.72	3742.05	22380.2	20310.37	4419.52	55877.28	33224.42	8658.09	47974.16	11112.3	19618.49	69753.56	5076.84	71714.63	2997.45	7911.95	438.59	3794.3	107203.06	42641.37	43236.64	23169.48	275.28	3794.3	18178.19	703.28	47642.77	97288.74	96616.71	68793.23	8022.41	13123.73	44761.41	13586.57	72213.45	42346.82	4419.52	19618.49	521.76	6207.38	56265.94	0.0
DBT	201.25	43.02	125.24	54.72	121.79	52.82	124.37	95.34	94.01	132.44	44.57	25.35	73.54	50.27	111.21	113.56	69.03	31.0	94.67	90.14	43.32	169.07	131.51	346.29	249.73	204.07	144.01	113.56	125.24	163.28	100.13	211.31	191.67	358.54	57.49	214.27	497.0	518.15	384.34	190.34	426.57	320.8	130.6	447.82	80.01	105.15	214.27	137.14	406.31	223.41	199.85	400.71	118.43	72.01	366.09	66.65	356.05	384.34	444.72	389.72	373.81	143.01	358.54	229.72	135.24	201.25	358.54	105.15	73.54	167.9	316.37	56.28
DDC	748.61	0.0	0.0	1.04	8.06	0.0	4.9	0.62	0.59	2.23	0.0	575.03	543.96	114.36	775.05	50.98	1208.34	76.71	1008.9	121.79	265.87	620.67	1268.46	909.17	514.56	1242.34	2075.59	39.22	2104.58	23.25	0.95	525.39	2739.08	1477.58	164.42	4388.98	3794.3	738.29	1081.39	3690.52	660.68	2335.28	293.07	2075.59	55.1	299.25	54.33	830.75	1127.35	1977.24	3349.13	2133.97	198.47	81.14	1605.83	40.07	1832.01	1745.2	1733.13	2287.2	2645.74	500.46	3190.46	3190.46	2875.3	1135.2	1233.75	473.41	1.28	232.94	3124.78	1.85
DHTKD1	1359.57	90.14	215.77	125.24	242.88	158.79	102.97	191.67	234.57	177.53	120.94	281.09	265.87	447.82	1119.56	1015.93	525.39	110.43	1159.07	392.44	447.82	607.87	1561.89	1977.24	1397.83	2367.9	896.64	457.25	1008.9	525.39	205.5	1313.23	1417.35	1417.35	395.18	2335.28	2591.27	2018.8	3168.41	1561.89	1175.27	3146.52	688.78	4358.66	217.27	764.36	511.0	1457.23	3060.45	2627.46	1857.6	3018.3	361.04	591.22	1467.37	237.86	2255.7	4123.49	2816.11	4328.55	1709.26	1331.57	3081.75	2417.67	1277.29	1369.04	2018.8	633.73	353.59	1023.0	3395.89	61.68
DMGDH	2351.53	4.9	5.28	5.96	12.55	9.06	5.23	4.98	3.47	5.92	3.23	178.77	163.28	167.9	1096.5	336.79	373.81	134.3	896.64	309.83	260.38	579.04	2018.8	2319.15	2148.82	3419.52	1794.29	55.89	1015.93	63.0	165.57	3589.58	2255.7	4095.0	389.72	13306.94	3103.19	1617.0	6337.83	1806.78	2997.45	7280.4	529.06	15499.21	454.09	532.74	392.44	808.0	7911.95	3716.2	3325.99	4298.64	320.8	228.13	3372.43	130.6	5872.48	10883.59	12764.83	10440.2	3742.05	1769.57	12943.04	2335.28	2777.33	1709.26	1697.45	607.87	123.5	536.45	5913.33	5.45
