	TCGA.KN.8434.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.A3.3382.01A.02R.1325.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.5006.01A.01R.1334.07	TCGA.AK.3425.01A.02R.1277.07.1	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.A3.A8OX.01A.11R.A37O.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.B0.4852.01A.01R.1503.07	TCGA.A3.A6NJ.01A.12R.A33J.07	TCGA.BP.4176.01A.02R.1289.07	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X
DNAJB14	273.37	221.86	265.87	334.46	303.44	285.03	412.0	417.77	420.68	409.15	299.25	363.56	392.44	239.52	271.48	473.41	314.17	255.0	403.5	120.1	104.42	47.84	175.07	148.09	108.9	139.07	75.64	171.45	77.25	57.89	69.03	145.02	133.36	81.71	98.04	109.66	59.13	81.14	107.38	62.56	52.45	120.1	81.14	69.03
EFCAB3	0.34	0.33	0.68	4.21	4.74	1.53	3.89	1.81	1.03	0.39	1.41	12.74	2.97	1.83	0.36	2.97	3.23	0.34	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO38	334.46	336.79	361.04	555.41	551.56	460.44	665.29	890.44	656.11	503.95	395.18	500.46	688.78	555.41	511.0	775.05	738.29	361.04	463.65	212.78	273.37	295.11	409.15	221.86	339.14	397.93	211.31	334.46	178.77	226.54	231.32	271.48	329.84	283.05	283.05	273.37	135.24	389.72	187.71	191.67	173.85	301.33	232.94	204.07
FKBP1A	3716.2	4972.34	5517.27	6207.38	5913.33	4639.29	7032.37	13306.94	6792.79	9540.5	6887.62	5995.9	6037.61	7331.05	6607.01	9279.58	6607.01	6037.61	6935.54	2664.15	1936.53	1909.85	3039.3	2816.11	2032.85	2367.9	1745.2	2193.99	2627.46	2133.97	2287.2	1991.0	2303.12	2255.7	2468.49	1923.14	1674.06	1628.26	2400.97	1685.71	1331.57	2004.85	2701.35	1769.57
FKBP9	1233.75	1216.75	1498.22	2335.28	2701.35	1605.83	2417.67	2303.12	2047.0	3564.78	1572.76	1437.15	2004.85	2915.45	1923.14	2895.31	2047.0	1233.75	2163.77	444.72	555.41	447.82	473.41	518.15	503.95	785.88	248.0	642.59	406.31	384.34	447.82	583.07	934.76	480.04	514.56	521.76	249.73	397.93	271.48	269.6	189.02	457.25	624.99	323.03
FTO	688.78	547.75	1127.35	2758.13	1250.98	769.69	1628.26	2271.4	2193.99	2047.0	1991.0	1662.49	2537.92	2468.49	1104.13	1628.26	2075.59	1259.69	1745.2	547.75	397.93	323.03	579.04	441.64	500.46	373.81	295.11	543.96	220.32	371.22	269.6	493.56	525.39	389.72	579.04	441.64	185.11	412.0	559.28	299.25	265.87	277.2	583.07	346.29
GLG1	1583.71	1359.57	1242.34	2319.15	1498.22	1015.93	2163.77	1769.57	2032.85	2240.11	1639.59	1896.65	2451.44	2303.12	2090.03	2018.8	1605.83	1457.23	1651.0	567.1	764.36	567.1	915.51	1143.1	830.75	802.41	358.54	1088.92	406.31	708.18	507.46	656.11	1008.9	878.17	934.76	884.29	392.44	571.05	947.83	540.19	438.59	435.55	1073.91	587.13
HMGXB3	277.2	312.0	281.09	738.29	713.11	669.92	514.56	555.41	599.49	607.87	567.1	547.75	616.37	457.25	612.11	872.1	688.78	555.41	521.76	137.14	153.34	141.02	140.04	145.02	119.26	88.88	158.79	104.42	153.34	341.51	128.79	102.97	140.04	152.28	122.64	197.09	119.26	106.63	217.27	127.89	78.89	95.34	186.4	187.71
HP	7.06	198.47	10.63	218.79	48.18	1208.34	1561.89	1259.69	14.03	22535.88	4.13	13.52	2240.11	135693.24	26.47	728.11	42.11	8.92	69.52	9635979.21	1.307221145E7	7560235.84	1.202888747E7	3.671840259E7	1.219680449E7	1.654623811E7	8744835.62	3.174442598E7	1.410789979E7	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	1.512047268E7	9307742.35	2.614442391E7	1.381756339E7	1.025624901E7	9053221.62
HS2ST1	264.03	214.27	323.03	466.88	371.22	299.25	559.28	612.11	316.37	518.15	361.04	444.72	460.44	660.68	283.05	381.68	376.41	269.6	507.46	209.84	151.22	237.86	269.6	241.19	228.13	323.03	155.5	392.44	152.28	146.03	166.73	226.54	258.57	244.57	198.47	236.21	113.56	214.27	255.0	186.4	228.13	215.77	211.31	229.72
ITGAV	1313.23	961.07	1030.12	1950.0	1304.15	791.35	2004.85	2875.3	2351.53	4512.4	1519.15	1733.13	2032.85	2384.37	1605.83	2935.74	1883.54	848.22	2224.63	155.5	287.01	67.59	536.45	334.46	185.11	334.46	90.14	206.94	256.78	172.65	105.89	269.6	476.71	202.66	202.66	177.53	112.77	142.01	142.01	59.55	59.97	234.57	320.8	189.02
KDM3B	514.56	591.22	503.95	928.3	860.08	559.28	1023.0	718.08	1143.1	813.63	518.15	759.08	1127.35	723.08	624.99	1417.35	866.07	665.29	651.58	232.94	318.57	287.01	371.22	269.6	289.02	297.17	190.34	323.03	165.57	262.2	173.85	283.05	483.38	260.38	220.32	346.29	75.64	269.6	171.45	98.73	82.87	236.21	277.2	152.28
KIF3B	961.07	902.89	583.07	1135.2	896.64	633.73	728.11	753.83	1023.0	947.83	660.68	713.11	1268.46	1051.79	612.11	909.17	583.07	567.1	902.89	379.04	332.14	281.09	417.77	432.53	361.04	336.79	373.81	521.76	255.0	309.83	303.44	429.54	361.04	283.05	318.57	397.93	244.57	325.29	332.14	301.33	244.57	293.07	490.14	303.44
LARP1	1066.48	954.43	785.88	2047.0	2075.59	1350.18	2061.24	1066.48	2537.92	1628.26	1397.83	1551.09	1794.29	1540.37	1674.06	2895.31	1457.23	1551.09	1322.37	555.41	656.11	476.71	896.64	638.15	555.41	728.11	620.67	764.36	480.04	1572.76	633.73	708.18	890.44	802.41	679.29	1277.29	291.04	624.99	1104.13	457.25	305.55	559.28	1015.93	435.55
LPPR5	0.34	0.66	68.07	195.72	152.28	0.41	91.41	258.57	43.32	18.43	37.85	10.63	64.34	150.17	10.16	46.18	146.03	15.11	253.23	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP1B	57.89	75.11	84.04	1427.22	307.69	157.68	253.23	660.68	575.03	339.14	186.4	336.79	212.78	316.37	273.37	603.67	157.68	83.45	303.44	9.7	29.27	3.17	22.26	36.53	10.31	34.26	6.94	4.9	24.11	12.36	4.46	16.39	43.32	9.7	27.25	27.64	56.28	5.82	24.81	7.06	26.47	8.45	40.36	8.13
MAPK9	438.59	414.87	583.07	1059.11	819.3	470.14	878.17	961.07	599.49	738.29	532.74	547.75	1030.12	728.11	629.35	791.35	738.29	536.45	743.43	287.01	209.84	214.27	379.04	348.71	237.86	293.07	186.4	376.41	167.9	156.59	187.71	260.38	332.14	206.94	195.72	293.07	131.51	253.23	356.05	139.07	173.85	277.2	287.01	343.89
MATR3	4481.23	4239.45	4095.0	5329.3	4704.07	3212.66	6745.86	5555.65	4704.07	4181.07	4152.18	5403.7	5441.3	4671.57	3820.7	5147.73	5219.6	4239.45	4836.35	1819.35	1388.16	1359.57	3820.7	2255.7	1936.53	2148.82	825.0	2335.28	1388.16	1572.76	1313.23	1769.57	1963.57	1594.73	1651.0	1806.78	1008.9	1909.85	2271.4	1313.23	941.27	1427.22	1427.22	1119.56
MED1	255.0	295.11	187.71	409.15	285.03	293.07	392.44	373.81	358.54	435.55	253.23	303.44	320.8	403.5	314.17	507.46	336.79	281.09	325.29	155.5	142.01	150.17	212.78	267.73	130.6	234.57	129.69	185.11	133.36	191.67	127.0	157.68	198.47	156.59	169.07	162.14	92.05	140.04	181.28	108.9	23.76	147.06	173.85	129.69
MIOS	314.17	518.15	642.59	1001.93	688.78	351.14	579.04	409.15	525.39	417.77	532.74	341.51	454.09	1096.5	346.29	684.02	854.13	447.82	775.05	197.09	166.73	212.78	323.03	269.6	358.54	234.57	166.73	299.25	155.5	209.84	187.71	181.28	231.32	244.57	540.19	242.88	102.25	198.47	320.8	124.37	116.78	265.87	212.78	109.66
MTPN	1242.34	1143.1	1397.83	2701.35	2032.85	1073.91	2758.13	2133.97	1551.09	1936.53	1250.98	1628.26	2090.03	2573.36	1350.18	2271.4	1529.73	1104.13	2303.12	555.41	406.31	277.2	791.35	1037.29	507.46	688.78	255.0	896.64	343.89	420.68	279.14	587.13	591.22	591.22	551.56	718.08	329.84	414.87	723.08	229.72	299.25	409.15	612.11	348.71
NBN	384.34	473.41	457.25	1242.34	753.83	616.37	1059.11	1519.15	878.17	947.83	693.58	915.51	738.29	934.76	532.74	981.29	884.29	567.1	854.13	246.28	253.23	236.21	733.19	361.04	248.0	218.79	159.9	339.14	166.73	351.14	193.01	262.2	366.09	231.32	273.37	356.05	212.78	156.59	454.09	191.67	171.45	171.45	273.37	150.17
NEDD1	158.79	162.14	185.11	327.56	281.09	229.72	348.71	336.79	297.17	281.09	178.77	253.23	269.6	264.03	178.77	271.48	346.29	178.77	253.23	45.53	72.01	45.21	114.36	116.78	73.54	90.77	26.1	76.71	36.27	44.89	61.68	84.04	87.65	69.03	52.08	52.82	40.64	45.21	74.06	31.9	24.46	84.63	47.17	48.18
OGFRL1	132.44	110.43	251.48	571.05	426.57	258.57	327.56	775.05	563.18	620.67	406.31	279.14	334.46	305.55	271.48	780.44	409.15	277.2	412.0	43.32	45.85	45.85	97.36	36.79	54.72	102.97	6.16	95.34	44.25	37.85	25.35	49.21	55.49	29.06	69.03	73.03	28.24	15.68	43.32	15.45	26.47	46.18	28.45	8.99
PDPR	314.17	209.84	205.5	660.68	346.29	181.28	312.0	392.44	483.38	381.68	166.73	318.57	379.04	463.65	361.04	497.0	414.87	209.84	336.79	17.9	87.65	24.99	55.89	52.08	111.99	150.17	59.55	78.89	26.28	75.11	69.52	152.28	199.85	166.73	58.71	40.36	17.51	49.21	61.25	23.08	28.04	41.81	103.69	37.59
PTER	656.11	361.04	358.54	713.11	1551.09	258.57	447.82	563.18	1605.83	947.83	579.04	334.46	1104.13	5112.16	295.11	3325.99	447.82	693.58	4419.52	110.43	90.14	167.9	368.65	214.27	318.57	119.26	60.82	332.14	50.63	51.35	75.64	275.28	199.85	107.38	170.25	307.69	47.17	241.19	255.0	75.11	189.02	108.9	211.31	139.07
PTPRA	1096.5	915.51	1008.9	1417.35	1304.15	884.29	1304.15	1832.01	1216.75	1295.13	988.12	1073.91	1477.58	1331.57	1268.46	1277.29	954.43	947.83	1250.98	457.25	409.15	389.72	738.29	353.59	414.87	463.65	173.85	669.92	218.79	234.57	295.11	470.14	551.56	466.88	429.54	384.34	194.36	289.02	363.56	249.73	435.55	289.02	463.65	318.57
QRFPR	25.17	37.05	595.34	555.41	244.57	130.6	59.13	379.04	275.28	167.9	381.68	429.54	414.87	454.09	77.79	136.19	244.57	237.86	206.94	0.0	0.0	0.0	1.48	7.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85	1.27	0.0	0.0	0.0	0.0
RAB11FIP2	237.86	193.01	116.78	281.09	177.53	154.42	224.97	303.44	327.56	293.07	164.42	223.41	209.84	232.94	202.66	262.2	265.87	181.28	224.97	37.32	50.98	36.01	151.22	60.82	70.51	76.71	29.27	78.89	42.71	54.33	29.27	52.08	53.19	67.12	73.54	75.11	41.52	59.97	92.7	34.51	22.1	52.45	61.25	26.28
RARS	759.08	836.53	1467.37	1583.71	1674.06	836.53	1844.76	1806.78	1519.15	1286.18	1498.22	1015.93	2104.58	1088.92	921.88	1923.14	1561.89	1175.27	1225.22	647.07	842.36	599.49	1081.39	525.39	603.67	551.56	579.04	511.0	688.78	743.43	583.07	525.39	866.07	587.13	444.72	642.59	503.95	490.14	738.29	447.82	287.01	543.96	616.37	397.93
RBM3	3124.78	3146.52	3018.3	20451.65	5366.37	7180.15	13492.72	8658.09	11424.74	8421.31	8718.32	7032.37	6887.62	11035.54	5633.22	13306.94	9740.98	8963.45	10512.82	1721.16	2303.12	2209.26	3103.19	1721.16	842.36	647.07	1561.89	603.67	1313.23	4671.57	769.69	703.28	2758.13	2609.3	2133.97	4639.29	1378.57	1030.12	4671.57	1487.87	743.43	878.17	2573.36	1044.52
RECQL	264.03	244.57	450.94	647.07	738.29	521.76	708.18	808.0	642.59	825.0	483.38	500.46	872.1	1199.98	684.02	775.05	612.11	483.38	728.11	202.66	146.03	130.6	285.03	293.07	173.85	202.66	129.69	228.13	146.03	180.02	155.5	183.82	234.57	198.47	185.11	255.0	75.64	177.53	172.65	117.6	55.89	120.94	244.57	173.85
RPGRIP1L	77.79	73.03	157.68	346.29	127.0	96.68	120.94	156.59	158.79	165.57	108.14	137.14	307.69	265.87	124.37	162.14	208.38	93.35	152.28	7.51	17.38	4.7	23.76	3.35	15.22	14.89	12.45	23.25	23.08	8.99	13.83	19.25	17.25	17.51	19.68	16.15	11.55	19.39	15.0	12.09	12.93	6.41	13.32	2.58
SNX13	363.56	332.14	334.46	587.13	460.44	289.02	607.87	507.46	575.03	738.29	341.51	429.54	476.71	500.46	329.84	540.19	503.95	287.01	454.09	164.42	189.02	80.57	267.73	208.38	204.07	208.38	91.41	166.73	80.57	161.02	65.26	171.45	143.01	135.24	108.14	202.66	113.56	151.22	185.11	127.0	107.38	107.38	251.48	132.44
TAOK1	195.72	193.01	135.24	334.46	236.21	209.84	320.8	351.14	334.46	358.54	185.11	236.21	239.52	291.04	226.54	397.93	275.28	199.85	285.03	111.99	73.03	71.0	194.36	104.42	153.34	84.63	54.33	92.7	45.85	65.72	64.34	111.21	120.94	91.41	75.64	124.37	66.18	54.72	81.14	49.91	46.18	81.71	80.57	82.87
TASP1	157.68	136.19	105.89	173.85	217.27	155.5	102.25	232.94	137.14	157.68	112.77	140.04	198.47	211.31	141.02	197.09	149.12	112.77	197.09	39.5	46.18	40.36	70.51	23.93	45.85	36.53	40.36	36.53	37.85	90.77	42.71	34.02	50.27	48.18	55.89	94.01	76.17	42.71	85.82	52.08	74.58	37.05	46.5	43.63
TRIM9	17.9	12.27	58.71	366.09	175.07	116.78	463.65	320.8	191.67	96.01	178.77	103.69	190.34	271.48	81.14	152.28	195.72	172.65	239.52	2.01	129.69	0.87	43.32	5.77	53.57	1.75	4.1	3.72	4.78	0.23	5.28	1.38	10.88	9.34	20.56	5.68	6.01	0.59	0.92	3.47	1.43	0.84	11.21	1.58
TRIP12	866.07	1135.2	1059.11	2400.97	1340.84	1073.91	1721.16	1936.53	1639.59	2240.11	915.51	1407.55	1662.49	2075.59	1277.29	1883.54	1233.75	1015.93	1551.09	688.78	656.11	356.05	1030.12	1199.98	854.13	698.41	476.71	836.53	567.1	743.43	536.45	860.08	967.76	813.63	830.75	830.75	426.57	551.56	669.92	507.46	441.64	435.55	825.0	718.08
VDAC1	6121.9	5633.22	7180.15	11664.82	8538.88	5995.9	11189.6	8598.28	8538.88	8363.13	8191.0	9606.86	13399.51	10225.32	7081.29	12076.21	8658.09	8479.89	8363.13	4095.0	4671.57	3168.41	5995.9	5041.77	3146.52	4419.52	4419.52	3235.01	3639.7	5954.47	4512.4	3982.99	6037.61	4671.57	2682.69	5366.37	3589.58	4123.49	5517.27	3614.55	3395.89	3235.01	5441.3	3639.7
WASF2	796.86	909.17	921.88	1977.24	1191.69	669.92	1359.57	2090.03	1304.15	2351.53	1242.34	1388.16	1259.69	1870.53	961.07	1417.35	1066.48	1167.14	1073.91	293.07	363.56	209.84	228.13	314.17	287.01	312.0	186.4	208.38	262.2	316.37	171.45	320.8	332.14	269.6	406.31	379.04	163.28	220.32	297.17	132.44	105.15	209.84	368.65	150.17
XPR1	361.04	299.25	353.59	884.29	665.29	575.03	688.78	529.06	470.14	525.39	432.53	684.02	612.11	860.08	389.72	532.74	447.82	353.59	884.29	69.03	98.04	47.17	163.28	132.44	105.15	74.58	50.63	105.15	52.45	46.5	46.84	82.87	108.9	92.7	69.52	106.63	44.89	73.54	100.13	69.52	45.53	59.97	96.01	91.41
ZNF148	229.72	197.09	199.85	368.65	264.03	138.1	473.41	379.04	366.09	423.61	209.84	358.54	466.88	466.88	220.32	325.29	329.84	223.41	392.44	102.97	63.89	63.89	171.45	145.02	78.89	129.69	48.18	120.1	50.63	70.51	63.89	90.77	119.26	123.5	105.89	112.77	60.82	83.45	115.97	53.57	36.79	82.29	77.25	110.43
