	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.LP.A5U2.01A.11R.A28H.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.TML8.1326.SM.4DXTO	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.UPIC.1726.SM.4IHKG	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.12BJ1.2126.SM.5BC5O	GTEX.13O21.2426.SM.5MR4A	GTEX.13PL7.2526.SM.5IFGR	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.XBED.1726.SM.47JYO	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.Q2AH.1226.SM.48TZL	GTEX.11VI4.1526.SM.5EQKC	TCGA.LN.A7HX.01A.11R.A336.31	GTEX.ZYFG.1126.SM.5GICY	GTEX.S4P3.0426.SM.4AD56	GTEX.13X6H.1326.SM.5LU42	GTEX.SUCS.0726.SM.4DM7J	GTEX.11TT1.0526.SM.5P9JO	TCGA.CV.6940.01A.11R.1915.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CN.6020.01A.11R.1686.07	TCGA.CQ.6219.01A.11R.1915.07	TCGA.CV.6956.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CES3	22.92	5.28	4298.64	4123.49	5255.91	3982.99	4388.98	4903.87	3564.78	5479.15	4123.49	3901.01	6561.36	3901.01	3280.18	5183.54	3060.45	4575.41	5441.3	2303.12	5076.84	3419.52	4181.07	6561.36	5329.3	5041.77	2417.67	4328.55	7382.04	5441.3	5791.62	6381.92	5112.16	2209.26	7911.95	8134.41	3639.7	6607.01	1259.69	4903.87	3124.78	4575.41	2400.97	3847.29	5112.16	65.72	81.71	81.71	58.3	64.8	56.68	39.79	2.34	24.99	1.91	15.68	5.54	9.78	155.5	53.95	21.01	0.0	0.03
CRYL1	293.07	155.5	3515.68	4010.71	4450.27	3768.09	3742.05	3467.27	3212.66	4481.23	2451.44	6699.25	5517.27	2609.3	3540.14	4869.99	2271.4	3349.13	4802.93	2133.97	4736.79	3060.45	4268.94	3303.0	3901.01	4328.55	2591.27	5672.41	4328.55	4388.98	5751.61	4298.64	3589.58	2384.37	4512.4	4388.98	2351.53	5292.48	1359.57	5006.93	3419.52	4512.4	3190.46	2835.7	3614.55	136.19	432.53	291.04	612.11	591.22	239.52	220.32	248.0	353.59	312.0	579.04	122.64	460.44	387.02	368.65	417.77	0.0	0.51
DQX1	193.01	37.59	1066.48	995.0	1487.87	1030.12	1111.82	1208.34	967.76	1277.29	1183.45	1340.84	1340.84	738.29	1088.92	1594.73	954.43	1096.5	1250.98	651.58	1529.73	884.29	967.76	1277.29	1378.57	1059.11	532.74	1359.57	1870.53	1322.37	1304.15	1151.06	1331.57	460.44	1662.49	1216.75	743.43	1313.23	285.03	1268.46	813.63	1127.35	536.45	947.83	1096.5	107.38	151.22	142.01	115.97	242.88	96.68	43.94	146.03	63.89	41.22	88.88	92.05	57.08	111.21	54.72	47.17	0.0	0.59
EFCAB4A	264.03	314.17	2609.3	2835.7	3103.19	2895.31	2816.11	3103.19	1923.14	2935.74	3190.46	2061.24	2997.45	2555.58	2271.4	3325.99	2627.46	2502.97	4419.52	2400.97	4607.24	1909.85	2664.15	3639.7	2777.33	2119.22	1883.54	2796.65	3847.29	3564.78	2451.44	3081.75	2976.74	1051.79	4239.45	3716.2	2555.58	3847.29	872.1	2956.17	1781.89	2758.13	1709.26	2209.26	3564.78	25.54	105.89	53.95	56.68	104.42	43.32	41.52	46.5	53.95	23.25	18.56	43.02	49.91	17.25	18.97	33.78	0.0	0.85
EFNA2	37.05	1.71	1183.45	1662.49	1447.15	1015.93	1857.6	1225.22	819.3	1651.0	1477.58	915.51	1073.91	1427.22	1508.65	1662.49	796.86	1073.91	1674.06	1551.09	1498.22	1551.09	1561.89	1697.45	1313.23	884.29	540.19	1225.22	1096.5	1551.09	830.75	1617.0	1594.73	571.05	1030.12	915.51	1697.45	1561.89	373.81	1583.71	616.37	796.86	1304.15	1540.37	775.05	21.01	4.35	3.56	2.89	21.32	7.11	3.2	0.66	4.21	5.36	2.07	0.0	0.62	2.66	1.58	0.45	0.0	0.0
ENTPD6	954.43	759.08	2720.15	3794.3	4481.23	3690.52	3515.68	4328.55	2976.74	4481.23	3349.13	3515.68	4152.18	3589.58	3690.52	3901.01	3491.39	3124.78	4450.27	3235.01	3349.13	3665.02	3639.7	4328.55	3515.68	2976.74	2720.15	3982.99	5006.93	3768.09	3540.14	4239.45	3467.27	1991.0	4736.79	4639.29	2997.45	4152.18	1883.54	4239.45	2520.38	3325.99	2796.65	3235.01	3235.01	1757.34	995.0	780.44	836.53	753.83	848.22	1331.57	1340.84	1127.35	571.05	1135.2	1096.5	947.83	551.56	802.41	301.33	0.0	1.1
EPHA10	8.32	38.95	921.88	583.07	1030.12	633.73	647.07	860.08	620.67	813.63	616.37	688.78	1183.45	665.29	591.22	1119.56	603.67	708.18	1037.29	579.04	890.44	703.28	647.07	1340.84	928.3	785.88	457.25	902.89	1191.69	947.83	860.08	872.1	909.17	332.14	1277.29	921.88	651.58	1051.79	224.97	860.08	587.13	688.78	432.53	769.69	878.17	0.0	4.17	5.28	0.46	17.64	2.94	2.01	0.0	3.0	0.0	2.16	3.86	3.32	2.39	3.79	5.28	0.0	0.26
FAHD2A	392.44	329.84	728.11	591.22	842.36	579.04	703.28	647.07	791.35	909.17	620.67	447.82	854.13	563.18	497.0	909.17	624.99	780.44	902.89	392.44	660.68	616.37	435.55	647.07	620.67	511.0	563.18	559.28	961.07	703.28	848.22	665.29	753.83	460.44	961.07	543.96	718.08	830.75	447.82	708.18	536.45	723.08	454.09	532.74	647.07	212.78	301.33	241.19	297.17	327.56	295.11	493.56	327.56	414.87	215.77	211.31	285.03	348.71	500.46	264.03	463.65	0.0	0.65
FAM160A2	358.54	351.14	1923.14	1963.57	2061.24	1819.35	2400.97	2351.53	1639.59	1844.76	2224.63	2367.9	2271.4	1857.6	1883.54	2400.97	1745.2	1963.57	2271.4	1427.22	3060.45	1819.35	2133.97	2004.85	2075.59	2148.82	1295.13	1757.34	2720.15	2351.53	2090.03	2434.5	2133.97	967.76	2417.67	2451.44	1551.09	2434.5	1081.39	1651.0	1286.18	2209.26	1388.16	1819.35	1697.45	486.75	595.34	620.67	460.44	688.78	503.95	332.14	373.81	511.0	426.57	341.51	417.77	351.14	595.34	532.74	293.07	0.0	0.77
FAM3A	1594.73	555.41	2209.26	1806.78	1806.78	1397.83	1594.73	1519.15	1340.84	1498.22	2018.8	1340.84	1709.26	1015.93	1639.59	1583.71	1388.16	1617.0	2520.38	1594.73	2400.97	1015.93	1250.98	1529.73	1551.09	1350.18	1159.07	3303.0	2384.37	1519.15	1844.76	1721.16	1733.13	769.69	2400.97	1225.22	1950.0	1963.57	1508.65	1936.53	954.43	2451.44	1001.93	2061.24	1233.75	1378.57	902.89	830.75	647.07	1529.73	633.73	1322.37	1175.27	947.83	647.07	1081.39	1081.39	1088.92	974.5	890.44	1015.93	0.0	0.77
FBXO18	909.17	1051.79	1407.55	1697.45	1806.78	1685.71	1594.73	1388.16	1175.27	1417.35	1407.55	1286.18	1685.71	1183.45	1369.04	1540.37	1757.34	1467.37	1950.0	1447.15	1313.23	1331.57	1447.15	1561.89	1359.57	1159.07	1277.29	1487.87	1304.15	1628.26	1322.37	1487.87	1313.23	1417.35	1617.0	1519.15	1487.87	1447.15	1359.57	1781.89	1143.1	1519.15	1427.22	1427.22	1242.34	1208.34	1023.0	802.41	872.1	1104.13	703.28	988.12	842.36	1340.84	555.41	902.89	830.75	1030.12	1066.48	988.12	967.76	733.19	138.1
HNMT	153.34	80.01	2018.8	1697.45	1870.53	1909.85	1572.76	2573.36	1832.01	1991.0	2004.85	2502.97	1936.53	1923.14	1519.15	1685.71	2287.2	2287.2	1733.13	1437.15	1508.65	2417.67	2075.59	1119.56	2303.12	2468.49	1583.71	2090.03	2485.67	2032.85	2720.15	2148.82	1794.29	1617.0	1662.49	1883.54	1936.53	2384.37	708.18	1407.55	1551.09	2163.77	1417.35	2090.03	2645.74	133.36	72.52	343.89	145.02	128.79	107.38	75.11	95.34	529.06	62.12	56.28	99.43	231.32	575.03	314.17	197.09	0.0	0.61
HTR4	0.0	0.0	108.9	36.01	153.34	73.03	65.26	92.7	132.44	114.36	130.6	129.69	114.36	133.36	76.71	157.68	157.68	211.31	117.6	217.27	119.26	166.73	135.24	124.37	87.65	151.22	89.51	130.6	159.9	163.28	167.9	127.89	127.89	66.18	124.37	119.26	114.36	82.29	31.9	105.15	98.73	132.44	63.0	124.37	201.25	0.0	0.0	0.0	0.79	0.84	1.27	0.0	1.45	0.4	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0
IHH	3.29	0.0	2287.2	4419.52	3847.29	3235.01	2915.45	3081.75	2287.2	3467.27	3467.27	3491.39	3372.43	3443.31	2537.92	3081.75	2796.65	3081.75	3467.27	3168.41	3257.52	2555.58	3491.39	2758.13	2835.7	2502.97	2163.77	3060.45	3614.55	2976.74	3467.27	3847.29	2591.27	1313.23	3768.09	3639.7	3303.0	3419.52	1119.56	3235.01	1909.85	4358.66	1977.24	2976.74	2384.37	0.0	18.03	4.13	0.79	4.17	4.21	0.0	0.0	0.38	0.68	0.0	1.36	0.97	0.39	1.64	0.0	0.0	0.0
IL17RE	381.68	99.43	1832.01	1259.69	1651.0	1388.16	1397.83	1709.26	1242.34	1561.89	1561.89	1199.98	1519.15	1498.22	1369.04	1936.53	1159.07	1628.26	1551.09	1242.34	1519.15	1519.15	1529.73	2104.58	1819.35	1268.46	718.08	1417.35	2032.85	1594.73	1769.57	1909.85	1709.26	647.07	1832.01	1628.26	1015.93	1794.29	529.06	1295.13	934.76	1477.58	890.44	1467.37	1583.71	148.09	417.77	480.04	457.25	708.18	153.34	189.02	181.28	262.2	215.77	215.77	211.31	211.31	215.77	363.56	208.38	0.0	0.23
IPMK	146.03	55.89	132.44	110.43	129.69	123.5	102.25	127.89	104.42	127.0	120.94	241.19	144.01	151.22	104.42	157.68	155.5	182.55	96.01	109.66	123.5	191.67	202.66	164.42	128.79	242.88	82.87	180.02	164.42	181.28	169.07	165.57	134.3	106.63	115.97	180.02	139.07	169.07	96.68	119.26	120.94	100.13	100.83	170.25	163.28	37.32	103.69	113.56	82.87	94.67	74.06	54.72	136.19	79.45	92.05	87.65	73.54	87.65	88.88	58.71	65.26	0.0	0.03
KLK15	0.0	23.76	180.02	79.45	221.86	138.1	157.68	80.01	103.69	103.69	62.12	98.73	206.94	361.04	291.04	358.54	223.41	287.01	287.01	108.9	226.54	384.34	117.6	336.79	127.89	167.9	149.12	127.89	264.03	154.42	450.94	131.51	173.85	50.63	587.13	175.07	332.14	87.03	135.24	158.79	94.01	220.32	202.66	138.1	209.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	1.04	0.0	0.04
MCF2L	66.65	329.84	587.13	356.05	563.18	493.56	684.02	551.56	543.96	567.1	409.15	483.38	688.78	543.96	493.56	981.29	486.75	728.11	830.75	379.04	1096.5	532.74	547.75	1015.93	540.19	620.67	579.04	447.82	988.12	525.39	511.0	647.07	571.05	417.77	872.1	616.37	521.76	684.02	373.81	638.15	392.44	500.46	312.0	599.49	848.22	138.1	171.45	376.41	255.0	211.31	221.86	251.48	80.01	162.14	29.7	92.7	157.68	49.56	180.02	189.02	248.0	0.0	0.97
MIA2	0.0	0.0	85.22	3.44	24.28	14.89	57.08	26.86	31.9	22.75	7.57	73.03	25.35	7.4	5.15	102.25	19.68	12.83	0.0	12.83	43.63	37.59	75.64	42.41	82.87	18.97	3.79	38.4	14.78	96.68	22.92	31.67	121.79	10.16	25.91	118.43	9.7	60.39	5.45	9.7	33.78	17.13	5.06	38.67	48.87	0.0	3.08	0.0	0.0	2.89	0.0	0.33	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MICAL1	142.01	110.43	981.29	947.83	1331.57	1015.93	1015.93	988.12	860.08	1259.69	1151.06	974.5	1135.2	1111.82	1059.11	1350.18	1183.45	1119.56	1662.49	796.86	1208.34	872.1	1001.93	1651.0	1030.12	954.43	769.69	890.44	1407.55	1331.57	921.88	1268.46	1183.45	579.04	1277.29	1487.87	967.76	1081.39	507.46	1119.56	753.83	967.76	733.19	1216.75	1081.39	307.69	256.78	447.82	271.48	708.18	420.68	241.19	348.71	753.83	248.0	113.56	161.02	232.94	180.02	248.0	400.71	0.0	1.14
MMEL1	79.45	35.0	327.56	708.18	642.59	571.05	532.74	466.88	241.19	329.84	323.03	486.75	559.28	348.71	379.04	483.38	246.28	309.83	703.28	262.2	693.58	285.03	559.28	420.68	480.04	353.59	226.54	366.09	450.94	476.71	423.61	514.56	555.41	157.68	547.75	536.45	389.72	532.74	131.51	341.51	248.0	656.11	260.38	497.0	373.81	4.43	18.43	39.5	35.0	93.35	71.0	7.34	0.84	24.99	53.19	23.42	0.47	4.74	11.82	40.93	6.11	0.0	0.46
MRPL41	928.3	934.76	1572.76	4607.24	2287.2	2255.7	2209.26	2502.97	2255.7	2434.5	2240.11	1832.01	2555.58	1757.34	2335.28	1794.29	1191.69	1991.0	3146.52	1369.04	3146.52	3540.14	1697.45	2502.97	1896.65	1950.0	1340.84	2240.11	2224.63	2520.38	2224.63	2451.44	2061.24	1437.15	3190.46	1427.22	3190.46	3491.39	1199.98	2976.74	1175.27	3467.27	2047.0	2032.85	1359.57	723.08	660.68	669.92	836.53	819.3	995.0	620.67	473.41	830.75	1233.75	595.34	555.41	1369.04	738.29	830.75	866.07	0.0	0.51
MYO7B	1.48	0.77	3540.14	3874.05	5006.93	3349.13	3901.01	4298.64	3280.18	4512.4	4607.24	4095.0	4704.07	4066.71	3515.68	5041.77	2664.15	4388.98	4802.93	2351.53	4903.87	3589.58	4095.0	5517.27	4388.98	4038.61	1950.0	4419.52	5329.3	5147.73	4736.79	4836.35	4358.66	1769.57	5403.7	4607.24	2777.33	5076.84	1498.22	3982.99	2520.38	3419.52	2367.9	3794.3	4210.15	52.08	35.5	1.64	8.13	14.24	5.87	41.22	20.11	21.78	10.39	6.41	4.5	7.46	1.53	1.11	5.82	0.0	0.43
MYRF	119.26	3.66	264.03	82.29	507.46	397.93	381.68	579.04	204.07	199.85	194.36	638.15	555.41	71.5	161.02	525.39	329.84	281.09	417.77	214.27	236.21	283.05	457.25	511.0	450.94	283.05	140.04	376.41	223.41	466.88	351.14	450.94	353.59	157.68	381.68	316.37	165.57	457.25	75.64	81.71	253.23	211.31	126.12	209.84	503.95	21.63	33.3	62.56	15.91	9.48	115.16	13.72	8.71	7.57	7.22	14.35	18.84	4.9	3.99	3.69	5.11	0.0	0.39
NAGS	9.13	26.47	55.1	291.04	255.0	156.59	211.31	255.0	201.25	181.28	204.07	258.57	206.94	107.38	166.73	336.79	149.12	205.5	193.01	215.77	133.36	305.55	221.86	218.79	287.01	94.67	106.63	295.11	297.17	255.0	231.32	269.6	273.37	68.07	145.02	368.65	277.2	287.01	35.0	141.02	124.37	170.25	67.59	98.73	223.41	41.22	14.03	59.13	28.24	38.95	96.68	118.43	90.14	83.45	115.97	63.89	75.64	68.55	21.47	18.43	25.91	0.0	0.0
NPIPB15	74.06	86.43	327.56	1.41	255.0	559.28	409.15	309.83	271.48	733.19	194.36	217.27	902.89	507.46	4.06	450.94	136.19	480.04	447.82	255.0	403.5	218.79	2.61	4.46	289.02	376.41	251.48	224.97	1008.9	343.89	2.39	264.03	4.98	191.67	497.0	571.05	165.57	373.81	128.79	463.65	2.86	132.44	305.55	131.51	341.51	38.67	178.77	2.71	2.16	258.57	156.59	48.18	33.3	2.05	1.04	21.94	40.64	1.0	36.01	0.0	0.0	0.0	0.19
OSBPL7	71.5	177.53	842.36	1242.34	1447.15	1340.84	1059.11	1127.35	775.05	995.0	1159.07	890.44	934.76	1081.39	1119.56	1088.92	1199.98	1175.27	1340.84	780.44	1250.98	921.88	1167.14	1081.39	988.12	866.07	624.99	884.29	1081.39	1059.11	921.88	1322.37	941.27	423.61	1487.87	1331.57	915.51	941.27	312.0	1030.12	595.34	1127.35	674.59	915.51	974.5	47.17	89.51	34.02	69.03	73.03	61.68	40.64	23.59	97.36	33.3	12.83	14.89	39.5	18.29	13.52	31.9	0.0	0.85
PDZD3	0.0	0.29	2485.67	2004.85	3103.19	1617.0	2178.83	2855.44	1757.34	2537.92	2591.27	2193.99	2075.59	1685.71	1674.06	2400.97	1477.58	1832.01	1950.0	1304.15	2271.4	2090.03	2609.3	3124.78	2935.74	1551.09	890.44	1857.6	3419.52	2758.13	1674.06	2835.7	2664.15	1001.93	2090.03	3614.55	1304.15	2400.97	368.65	1437.15	1427.22	1977.24	915.51	1870.53	1857.6	0.0	5.96	12.09	1.0	0.48	0.49	0.0	0.39	0.82	2.51	1.17	1.46	0.38	0.0	0.46	3.47	0.0	0.08
PNPLA7	17.77	10.08	106.63	125.24	153.34	199.85	293.07	339.14	101.54	164.42	134.3	132.44	249.73	107.38	79.45	297.17	95.34	198.47	205.5	59.97	353.59	82.87	90.14	277.2	392.44	146.03	277.2	148.09	299.25	307.69	180.02	332.14	258.57	178.77	318.57	303.44	73.54	414.87	164.42	156.59	157.68	117.6	105.15	103.69	191.67	4.31	78.89	54.72	57.89	106.63	22.26	20.41	8.13	82.29	13.62	18.97	4.82	14.89	47.17	15.45	76.17	0.0	0.42
