	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6378.01A.11R.1789.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
CCDC85A	18.84	11.38	5.54	16.03	4.06	2.14	4.7	1.25	11.91	15.68	10.79	13.12	4.66	10.55	29.91	5.92	8.06	24.28	4.06	5.82	19.25	18.43	19.25	17.0	1.6	8.25	5.87	3.92	3.72	10.71	9.85	4.7	7.28	5.02	19.53	13.12	1.23	1.93	15.8	1.87	3.72	84.63	17.51	1.31	4.06	8.71	10.47	10.79	4.94	6.46	38.12	1.75	3.14	21.63	2.89	3.53	1.35	2.27	2.23	8.99	31.0	30.12	6.31	10.31	1.07	3.69	0.17	0.73	39.79	8.13	24.11	5.15	3.86	0.4	8.92	3.29	3.72	2.84	1.73	3.86	4.03	35.5	40.64	31.0	62.12	39.22	106.63	23.42	12.93	94.01	26.1	4.28	37.85	70.01
CD200	194.36	50.98	28.24	143.01	43.63	59.13	48.18	34.51	52.08	153.34	209.84	130.6	241.19	269.6	106.63	80.57	104.42	228.13	44.57	55.1	320.8	165.57	133.36	253.23	37.85	176.29	49.91	262.2	63.89	223.41	92.7	132.44	52.82	99.43	237.86	50.63	54.33	48.18	135.24	20.71	46.5	371.22	68.07	24.81	59.55	140.04	232.94	194.36	54.72	119.26	142.01	58.3	23.08	40.93	49.91	29.7	63.45	43.63	74.06	40.07	368.65	283.05	98.04	27.64	49.56	35.25	82.87	17.9	217.27	96.01	68.07	108.14	59.97	15.56	129.69	102.25	98.73	156.59	11.55	48.87	38.12	221.86	438.59	234.57	181.28	197.09	305.55	121.79	285.03	470.14	366.09	148.09	234.57	384.34
CDH23	42.11	20.41	9.63	13.93	6.89	17.38	9.48	3.79	20.56	30.78	16.15	21.16	19.68	27.84	42.41	12.0	28.04	23.93	14.56	15.11	62.12	33.3	17.51	32.59	9.78	5.06	11.04	16.27	7.34	8.25	12.83	9.93	13.83	7.94	14.89	14.67	3.0	10.0	33.54	8.13	8.51	66.65	27.25	4.74	8.0	23.93	19.11	37.05	10.16	10.63	31.67	4.39	4.46	19.82	26.1	5.87	12.0	11.91	7.22	2.2	46.5	45.21	8.0	8.92	10.96	9.63	2.07	4.7	46.5	17.25	18.29	8.85	5.45	7.88	9.34	8.85	52.45	14.56	4.35	13.83	7.4	43.32	153.34	60.39	45.53	19.82	72.01	53.19	19.82	124.37	48.18	27.25	61.25	106.63
CLIP3	400.71	102.97	53.95	271.48	64.8	88.26	47.17	20.11	232.94	154.42	325.29	234.57	325.29	426.57	884.29	212.78	291.04	138.1	121.79	119.26	521.76	423.61	759.08	603.67	61.68	78.89	221.86	126.12	147.06	190.34	223.41	124.37	105.15	134.3	511.0	159.9	20.41	206.94	193.01	43.94	171.45	718.08	400.71	21.32	89.51	193.01	201.25	387.02	93.35	93.35	264.03	73.03	43.32	249.73	182.55	144.01	81.14	73.54	36.53	24.28	854.13	543.96	126.12	189.02	89.51	144.01	67.59	118.43	450.94	318.57	368.65	83.45	58.71	54.33	100.13	348.71	92.7	153.34	50.63	144.01	143.01	316.37	1259.69	400.71	1259.69	381.68	486.75	713.11	848.22	1096.5	480.04	258.57	796.86	1066.48
CNRIP1	267.73	44.25	74.58	165.57	49.56	57.08	41.52	25.17	129.69	102.25	145.02	172.65	145.02	202.66	379.04	169.07	181.28	183.82	66.65	87.03	320.8	295.11	234.57	371.22	42.71	85.82	105.15	110.43	92.7	220.32	180.02	83.45	82.29	102.25	269.6	131.51	28.24	129.69	101.54	53.19	156.59	454.09	249.73	33.06	63.45	180.02	258.57	205.5	71.0	123.5	167.9	32.36	37.05	111.99	111.21	79.45	72.52	56.68	59.55	41.81	497.0	341.51	85.22	97.36	59.55	97.36	43.32	53.57	191.67	152.28	155.5	73.54	73.54	21.32	75.64	241.19	86.43	132.44	27.44	64.8	76.17	301.33	612.11	318.57	507.46	177.53	551.56	236.21	303.44	441.64	403.5	143.01	387.02	571.05
COL4A4	55.49	19.11	2.51	40.07	11.21	21.01	5.82	2.81	23.08	27.84	29.48	76.17	30.12	41.81	90.77	22.1	42.11	27.84	35.0	16.51	32.36	34.75	31.45	44.25	7.82	12.55	11.21	21.63	17.25	64.34	19.68	16.03	18.29	28.04	48.18	23.25	2.05	13.22	18.97	7.0	15.68	73.54	21.94	4.82	21.16	24.63	36.27	45.85	16.03	26.86	44.25	7.94	5.02	24.99	15.56	14.24	14.03	11.21	8.0	4.74	74.58	80.01	8.32	24.81	8.06	27.84	10.96	5.87	61.68	26.67	28.45	8.71	6.62	1.99	26.67	24.28	10.31	32.59	9.27	15.8	13.62	23.42	146.03	26.86	92.05	43.32	70.51	46.18	49.56	87.03	41.81	13.22	60.39	102.25
COL6A3	1857.6	255.0	193.01	1008.9	223.41	392.44	197.09	69.52	728.11	540.19	848.22	1322.37	759.08	1104.13	1551.09	599.49	878.17	444.72	327.56	463.65	947.83	1208.34	921.88	1191.69	130.6	400.71	299.25	607.87	397.93	1143.1	684.02	339.14	417.77	493.56	1135.2	400.71	90.14	579.04	389.72	119.26	234.57	1487.87	708.18	132.44	612.11	647.07	642.59	1037.29	293.07	642.59	1340.84	228.13	173.85	825.0	281.09	379.04	341.51	371.22	169.07	74.58	2627.46	1745.2	255.0	480.04	211.31	607.87	241.19	130.6	974.5	961.07	665.29	366.09	346.29	39.5	142.01	974.5	264.03	483.38	205.5	341.51	297.17	463.65	4575.41	769.69	2351.53	616.37	1331.57	1388.16	1096.5	2417.67	860.08	381.68	2061.24	2591.27
CORO2B	38.12	16.51	12.64	32.13	18.03	12.64	5.82	6.11	20.71	25.54	20.71	37.05	31.67	43.63	58.3	23.25	36.79	26.47	12.27	11.73	39.79	42.71	35.0	33.06	9.41	11.38	19.53	22.43	12.09	20.11	17.51	18.56	17.13	21.47	23.42	18.03	4.54	12.27	20.41	3.17	14.78	66.65	28.65	5.19	9.56	26.67	46.84	37.59	13.62	9.41	38.12	6.31	2.23	14.78	15.0	9.2	5.68	8.65	5.68	2.2	53.57	52.82	15.34	14.89	7.34	13.93	5.63	12.36	28.04	32.13	29.27	8.85	9.7	4.74	11.82	22.26	10.47	16.75	5.15	17.64	10.39	32.13	80.57	34.75	58.3	33.06	43.94	40.64	21.32	45.85	32.59	21.63	41.22	71.0
CTC-786C10.1	20.26	2.46	1.62	4.13	4.98	1.6	0.82	0.0	4.94	10.88	5.54	12.64	1.71	12.55	14.89	4.46	4.82	12.64	4.46	2.61	8.99	4.13	11.82	15.56	0.0	0.0	4.13	6.36	0.8	7.51	3.06	4.5	5.28	7.06	11.91	10.71	0.45	0.49	5.96	0.0	0.0	31.22	10.79	0.0	2.43	6.06	4.82	3.89	4.98	4.43	22.26	0.0	2.86	3.72	4.46	3.29	3.47	2.03	0.0	2.78	16.27	20.86	7.28	9.85	0.0	2.86	1.38	0.0	17.0	5.5	5.28	1.68	0.0	1.48	3.99	3.66	0.51	2.89	2.03	4.24	0.0	14.78	65.72	20.56	24.63	7.17	38.95	8.13	16.51	49.21	3.0	1.69	20.26	45.21
CYGB	309.83	108.9	142.01	307.69	96.01	61.25	58.3	56.28	223.41	215.77	217.27	253.23	320.8	435.55	647.07	242.88	336.79	208.38	124.37	178.77	376.41	571.05	351.14	435.55	70.51	135.24	181.28	217.27	149.12	236.21	201.25	287.01	137.14	237.86	217.27	128.79	81.14	253.23	209.84	87.65	215.77	890.44	341.51	36.53	96.01	368.65	567.1	356.05	124.37	189.02	223.41	92.7	41.81	80.57	170.25	132.44	110.43	107.38	57.49	41.52	591.22	470.14	114.36	194.36	141.02	122.64	59.13	87.03	244.57	195.72	236.21	136.19	141.02	41.22	87.03	303.44	158.79	143.01	59.55	194.36	135.24	283.05	563.18	341.51	591.22	237.86	638.15	239.52	312.0	358.54	283.05	187.71	368.65	656.11
CYP11A1	18.56	2.41	3.41	5.28	2.41	2.76	1.55	3.63	6.16	10.96	12.93	8.13	12.45	13.42	56.68	5.32	10.71	1.85	38.95	11.47	28.04	16.63	28.86	37.32	2.46	3.63	4.24	3.82	7.88	13.22	13.03	2.61	3.23	4.94	22.26	7.46	0.0	10.96	23.76	0.46	7.17	63.45	23.59	1.14	0.45	8.78	5.32	21.32	4.9	3.26	11.3	1.07	0.89	11.04	7.34	6.06	5.5	1.53	0.0	0.0	30.78	34.51	2.51	9.85	5.23	8.78	0.82	7.88	19.39	9.78	14.56	4.5	1.13	0.43	5.82	33.78	4.54	7.51	1.36	6.06	9.85	30.12	41.22	24.81	58.3	16.63	72.01	14.89	39.79	42.11	31.0	21.16	22.75	84.63
DAAM2	260.38	36.27	25.91	114.36	26.28	57.08	29.27	18.56	110.43	96.68	85.82	202.66	88.88	165.57	275.28	98.04	171.45	131.51	46.84	53.19	201.25	153.34	223.41	248.0	26.67	44.25	87.03	51.71	48.18	107.38	144.01	63.45	59.55	95.34	224.97	111.21	7.88	46.18	81.14	17.38	37.85	341.51	182.55	9.7	45.85	131.51	111.21	137.14	61.68	44.57	191.67	37.85	15.68	178.77	82.87	61.68	38.67	32.82	18.7	16.63	400.71	301.33	47.5	90.14	40.07	94.67	40.36	36.53	267.73	164.42	151.22	44.57	34.26	8.58	49.91	121.79	37.32	71.0	23.76	74.06	37.85	309.83	684.02	297.17	543.96	186.4	406.31	299.25	221.86	514.56	234.57	96.68	521.76	529.06
DDR2	476.71	77.79	27.44	169.07	48.18	76.17	31.0	32.82	113.56	131.51	125.24	332.14	100.83	244.57	334.46	197.09	161.02	110.43	73.54	107.38	273.37	224.97	209.84	332.14	43.63	49.91	81.71	92.7	82.29	246.28	194.36	63.45	98.04	120.1	373.81	169.07	9.56	84.63	102.25	32.82	60.82	432.53	264.03	18.97	88.88	111.99	121.79	197.09	72.52	112.77	262.2	50.27	25.91	229.72	103.69	92.05	65.72	52.08	44.25	26.86	708.18	536.45	63.45	117.6	43.94	130.6	57.89	40.93	212.78	154.42	134.3	44.89	33.54	15.11	53.95	115.97	50.63	100.83	55.49	58.71	55.89	366.09	872.1	414.87	493.56	256.78	438.59	202.66	348.71	723.08	346.29	100.83	447.82	728.11
DIXDC1	432.53	94.67	100.83	159.9	102.25	84.04	54.72	183.82	154.42	152.28	220.32	373.81	151.22	555.41	353.59	202.66	237.86	156.59	172.65	260.38	389.72	299.25	289.02	423.61	113.56	178.77	244.57	224.97	242.88	295.11	249.73	149.12	264.03	323.03	486.75	429.54	61.68	141.02	251.48	255.0	147.06	473.41	297.17	153.34	80.57	153.34	148.09	236.21	204.07	181.28	293.07	114.36	64.8	228.13	348.71	162.14	125.24	177.53	204.07	40.36	669.92	511.0	189.02	226.54	106.63	169.07	149.12	92.7	341.51	163.28	305.55	56.28	147.06	59.55	237.86	172.65	194.36	279.14	232.94	141.02	141.02	463.65	780.44	450.94	432.53	327.56	525.39	253.23	470.14	620.67	363.56	236.21	441.64	567.1
