	GTEX.147JS.2526.SM.5S2Q8	GTEX.Y5LM.0426.SM.4VBRO	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4XY.1626.SM.46MVN	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.13PVR.0126.SM.5S2PY	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11P7K.0326.SM.59871	GTEX.X3Y1.0626.SM.3P5YS	GTEX.111YS.0626.SM.5GZXV	GTEX.ZAB4.0626.SM.5CVN3	GTEX.12696.1026.SM.5FQUV	GTEX.YEC3.0226.SM.5IFJO	GTEX.117YW.0526.SM.5H11C	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.14BMV.2226.SM.5RQHX
AQP6	2.66	1.66	0.0	0.17	0.0	2.32	14.45	0.28	0.0	0.13	0.85	1.79	6.89	0.0	0.19	3.44	0.0	0.59	1.31	0.55	0.18	0.85	1.71	4.06	0.0	0.58	4.24	0.2	0.19	1.62	1.66	13.32	0.82	12.93
ARC	59.13	0.34	3.23	0.32	0.85	7.4	0.42	1.19	0.0	0.04	38.12	332.14	156.59	172.65	125.24	125.24	169.07	25.91	18.84	123.5	27.25	12.09	155.5	44.89	24.99	21.32	102.97	36.53	21.32	127.89	66.18	1175.27	64.8	22.75
ARHGEF40	1127.35	246.28	656.11	242.88	114.36	376.41	423.61	171.45	0.0	0.8	450.94	403.5	432.53	571.05	323.03	432.53	466.88	507.46	981.29	595.34	1167.14	279.14	915.51	269.6	314.17	555.41	808.0	470.14	329.84	316.37	211.31	759.08	379.04	1143.1
ASIC1	151.22	1.55	0.0	7.0	3.11	0.65	0.65	0.95	0.0	0.22	13.52	1.97	2.97	24.99	5.06	24.46	2.29	38.95	28.24	45.21	46.18	10.0	45.85	17.51	2.39	26.67	36.27	17.0	1.51	9.13	22.75	78.89	7.46	368.65
ASPA	351.14	42.41	39.79	4.98	6.01	18.7	24.46	54.33	0.0	0.16	53.19	66.18	18.16	26.1	13.22	61.25	48.87	91.41	53.19	135.24	316.37	65.72	180.02	21.16	44.89	175.07	54.33	36.27	12.0	24.11	26.47	129.69	53.19	384.34
ATG7	351.14	242.88	127.89	291.04	242.88	239.52	260.38	112.77	0.0	0.44	529.06	429.54	591.22	325.29	387.02	525.39	432.53	743.43	656.11	529.06	435.55	647.07	967.76	463.65	414.87	974.5	426.57	518.15	713.11	389.72	947.83	1044.52	629.35	438.59
ATRNL1	50.27	10.39	3.44	1.39	3.11	32.13	2.66	0.0	0.0	0.17	4.66	3.92	1.97	1.77	0.0	37.59	2.92	31.67	6.57	0.19	51.71	5.41	17.38	2.07	10.79	14.35	11.47	13.32	0.0	0.0	4.94	22.26	0.0	15.22
BAI2	199.85	0.0	0.0	2.34	1.04	5.41	3.03	4.17	0.0	0.26	10.0	18.16	17.64	32.36	8.38	151.22	7.34	71.5	53.57	24.63	148.09	29.27	181.28	46.5	17.25	63.89	237.86	34.26	8.45	11.13	49.21	244.57	17.13	353.59
BCHE	567.1	1135.2	497.0	34.26	318.57	688.78	921.88	3235.01	0.0	0.19	341.51	205.5	114.36	84.63	73.54	139.07	84.63	780.44	283.05	665.29	1733.13	265.87	713.11	127.89	366.09	981.29	1008.9	121.79	34.51	52.82	12.0	426.57	48.18	497.0
BCL11A	693.58	2.32	8.85	10.88	4.78	6.57	0.0	3.53	0.0	0.44	14.45	46.18	149.12	70.01	126.12	400.71	28.24	65.72	81.71	90.14	208.38	45.85	70.01	236.21	147.06	269.6	101.54	102.97	8.0	117.6	75.64	395.18	38.4	414.87
BHLHE22	57.89	2.1	4.28	3.79	0.0	3.5	3.5	2.03	0.0	0.23	2.89	5.68	6.06	17.13	10.31	50.63	17.25	52.82	19.97	11.47	228.13	15.45	6.57	10.96	8.25	11.13	52.08	15.56	12.83	3.99	32.36	5.06	11.91	35.76
BMP2K	395.18	67.12	44.89	162.14	126.12	112.77	185.11	190.34	158.79	291.04	204.07	212.78	279.14	111.21	181.28	279.14	183.82	525.39	457.25	231.32	1407.55	249.73	353.59	198.47	567.1	764.36	281.09	297.17	190.34	161.02	186.4	336.79	199.85	665.29
BOC	603.67	2.14	4.66	10.39	1.36	5.5	10.24	9.2	0.0	0.48	108.14	180.02	164.42	92.05	22.26	748.61	52.08	796.86	775.05	358.54	995.0	61.25	332.14	84.04	371.22	325.29	769.69	320.8	35.25	63.0	141.02	318.57	28.24	1857.6
BRINP3	57.89	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.13	21.94	4.98	14.45	15.8	0.0	66.18	7.46	80.57	78.89	48.52	146.03	37.85	88.26	5.28	36.53	106.63	70.51	22.1	11.04	2.76	21.01	74.06	11.64	18.7
C1QTNF9	28.65	0.31	5.68	3.41	2.76	1.77	0.0	4.35	0.0	0.0	9.63	4.58	7.88	8.71	5.02	15.68	5.5	1.97	13.83	11.82	0.0	0.0	24.28	4.1	0.71	27.64	15.8	11.64	4.24	4.24	9.06	2.34	5.68	15.0
CALM3	6699.25	2739.08	2434.5	2209.26	2018.8	1896.65	3820.7	1199.98	0.0	0.89	3589.58	3060.45	2075.59	2956.17	3039.3	5751.61	2875.3	8479.89	4481.23	3467.27	5255.91	3039.3	9673.69	2739.08	2537.92	6426.31	8840.04	2935.74	2915.45	3103.19	3039.3	7485.11	3257.52	7911.95
CAMKK2	808.0	277.2	329.84	162.14	162.14	346.29	279.14	256.78	0.0	0.62	579.04	540.19	457.25	435.55	336.79	493.56	514.56	483.38	693.58	500.46	1242.34	435.55	854.13	438.59	620.67	603.67	718.08	559.28	633.73	414.87	353.59	819.3	555.41	669.92
CBLN3	249.73	13.12	24.46	11.38	11.04	25.54	15.45	30.78	0.0	0.22	58.3	59.13	62.56	25.17	31.0	139.07	19.39	283.05	61.68	65.72	301.33	45.21	150.17	42.71	50.98	194.36	148.09	80.57	26.47	29.91	98.73	125.24	52.82	295.11
CBLN4	0.39	0.08	1.95	0.0	1.81	3.06	49.91	0.13	0.0	0.0	9.41	27.25	4.1	5.23	0.0	25.35	12.45	96.01	12.83	43.02	131.51	3.35	84.63	4.21	10.39	44.57	13.72	6.57	0.0	5.96	9.7	28.65	3.29	13.72
CCDC178	49.21	2.61	0.0	0.0	0.0	2.61	5.28	13.32	0.0	0.0	7.51	6.73	92.7	16.03	0.0	26.28	2.46	90.77	199.85	169.07	25.72	11.3	100.83	10.08	22.92	29.91	58.71	132.44	4.43	3.11	40.07	33.06	19.25	44.89
CD248	2758.13	27.25	27.25	13.32	14.67	13.62	20.26	9.2	0.0	0.24	1135.2	152.28	107.38	620.67	128.79	460.44	85.82	1369.04	2209.26	4181.07	796.86	271.48	2271.4	165.57	698.41	743.43	2434.5	521.76	264.03	150.17	295.11	688.78	131.51	1286.18
CD34	1781.89	53.95	67.59	53.57	47.5	86.43	62.56	23.25	0.0	0.0	3124.78	1191.69	1697.45	1819.35	698.41	1857.6	470.14	3280.18	5076.84	4095.0	3639.7	2367.9	3665.02	1923.14	2319.15	3874.05	5672.41	3303.0	1457.23	848.22	1259.69	1832.01	1313.23	2193.99
CERKL	301.33	12.18	17.51	18.03	21.16	11.13	7.63	34.51	0.0	0.27	59.55	30.78	69.03	151.22	68.55	420.68	107.38	389.72	172.65	28.65	323.03	241.19	120.1	139.07	97.36	195.72	229.72	70.51	53.95	33.06	123.5	124.37	66.18	81.71
CHEK2	285.03	115.16	94.01	49.91	49.21	29.7	82.87	130.6	0.0	0.57	88.88	60.39	117.6	46.18	121.79	232.94	38.95	353.59	204.07	218.79	258.57	246.28	493.56	120.1	116.78	236.21	248.0	151.22	38.67	54.33	119.26	279.14	91.41	264.03
CIB2	866.07	3.35	3.99	23.25	228.13	23.93	39.5	10.08	0.0	0.38	32.13	38.67	66.65	29.27	29.7	74.58	37.05	156.59	88.88	64.34	220.32	41.81	293.07	14.89	67.59	242.88	85.82	23.93	4.98	33.78	35.25	178.77	20.41	830.75
CLCNKA	3.79	1.08	0.0	0.74	0.0	0.79	0.0	1.66	0.0	0.32	0.42	3.14	16.63	1.6	2.61	54.33	0.78	10.47	11.21	0.83	6.46	3.0	9.85	2.07	2.94	28.45	11.91	3.72	3.86	3.06	11.73	5.54	10.31	12.93
CLDN6	1.53	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.06	8.06	4.98	25.72	2.76	0.67	14.56	0.68	27.44	0.0	0.0	32.13	0.0	103.69	64.34	0.0	1.83	29.06	2.92	4.35	49.91	0.72	301.33	0.0	0.0
CMTM3	1628.26	111.99	77.79	117.6	95.34	218.79	96.68	69.03	0.0	0.85	1073.91	599.49	656.11	902.89	974.5	1617.0	967.76	2915.45	2520.38	860.08	3467.27	514.56	1909.85	536.45	591.22	2163.77	1806.78	624.99	718.08	470.14	438.59	1378.57	915.51	1313.23
CNTN1	152.28	0.45	0.13	0.39	2.18	9.34	13.42	1.25	258.57	141.02	102.97	215.77	86.43	45.21	24.99	140.04	109.66	289.02	115.97	79.45	320.8	90.14	161.02	242.88	48.18	275.28	167.9	132.44	131.51	124.37	228.13	323.03	202.66	403.5
CNTNAP1	246.28	1.19	9.2	7.57	6.26	4.54	1.64	1.79	0.0	0.65	30.78	49.91	82.87	52.82	35.76	120.1	51.35	236.21	135.24	143.01	392.44	46.5	208.38	111.99	100.13	118.43	275.28	55.89	43.32	56.68	68.55	150.17	95.34	249.73
COL10A1	0.44	0.48	0.0	0.45	0.0	44.25	0.0	0.0	0.0	0.0	5.19	12.0	25.72	15.45	6.06	480.04	10.39	146.03	47.17	16.15	447.82	41.22	72.52	8.25	98.04	47.17	36.53	24.11	6.06	27.64	37.59	45.53	17.77	14.14
COL14A1	2520.38	108.14	53.19	41.81	33.54	64.34	48.87	26.28	0.0	0.33	100.13	376.41	175.07	281.09	42.41	1519.15	208.38	4010.71	1322.37	521.76	3060.45	103.69	2287.2	163.28	327.56	830.75	3039.3	1066.48	43.63	66.18	426.57	921.88	105.15	3794.3
COL15A1	759.08	5.5	3.86	6.67	5.32	1.97	3.59	4.28	0.0	0.27	197.09	88.88	50.98	58.3	11.73	244.57	32.36	1685.71	633.73	514.56	785.88	173.85	954.43	91.41	579.04	318.57	1167.14	309.83	40.36	22.75	164.42	307.69	54.72	1583.71
COL16A1	1733.13	7.51	38.67	21.32	2.2	26.47	8.38	29.48	0.0	1.13	236.21	423.61	309.83	432.53	224.97	1991.0	68.55	1857.6	981.29	802.41	3146.52	275.28	753.83	289.02	279.14	967.76	2032.85	1073.91	96.68	454.09	454.09	518.15	150.17	2255.7
COL5A3	307.69	24.28	21.01	73.54	17.13	49.91	99.43	10.88	0.0	0.93	100.83	82.87	187.71	76.71	116.78	316.37	44.57	205.5	269.6	232.94	242.88	41.52	144.01	73.54	71.5	136.19	348.71	346.29	121.79	94.01	136.19	109.66	76.71	132.44
COL6A2	20310.37	620.67	575.03	460.44	379.04	529.06	429.54	381.68	0.0	1.53	3060.45	7032.37	3303.0	3081.75	1572.76	12415.75	934.76	30151.71	20030.74	9740.98	32540.65	2739.08	14361.31	2148.82	4450.27	12076.21	46019.85	9740.98	1216.75	2502.97	5255.91	7032.37	1844.76	19082.0
COL6A5	181.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	41.52	17.13	22.1	25.35	18.03	138.1	51.71	567.1	86.43	43.32	656.11	142.01	295.11	53.19	87.65	249.73	303.44	26.67	11.91	5.92	39.5	133.36	60.39	120.94
COL6A6	2.03	2.73	2.01	3.41	2.73	2.73	3.2	2.58	0.0	0.16	194.36	444.72	60.39	77.25	72.52	218.79	123.5	1175.27	403.5	177.53	896.64	220.32	518.15	93.35	205.5	884.29	381.68	208.38	27.64	49.56	285.03	420.68	165.57	1.04
CPA6	138.1	0.0	0.0	0.0	3.96	0.0	0.0	0.0	0.0	0.0	29.06	33.06	0.68	0.0	1.45	17.0	1.46	8.06	19.11	16.75	10.31	7.28	31.67	6.52	2.48	19.68	1.48	18.29	8.85	16.15	109.66	138.1	21.16	53.95
CPZ	536.45	4.94	24.46	7.69	7.94	2.94	16.75	1.62	0.0	0.23	93.35	39.5	134.3	84.04	41.81	332.14	15.91	723.08	312.0	265.87	860.08	38.4	583.07	136.19	242.88	450.94	1259.69	61.68	18.97	2.43	191.67	201.25	110.43	529.06
CTB-129P6.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	1.48	0.0	0.0	0.0	2.2	0.0	2.66	3.23	3.44	0.0	6.57	2.07	0.0	10.16	5.45	2.12	0.0	0.0	1.99	0.0	0.0	0.0
CXCL12	10585.95	896.64	2090.03	381.68	237.86	559.28	346.29	1037.29	0.0	0.32	620.67	417.77	332.14	189.02	197.09	3124.78	409.15	4575.41	2796.65	1583.71	13215.02	503.95	3614.55	521.76	1167.14	4481.23	1111.82	896.64	197.09	218.79	1044.52	1594.73	287.01	8901.53
CYB5R3	5594.3	7331.05	3982.99	6079.61	5006.93	5076.84	5791.62	3716.2	3103.19	629.35	10585.95	15824.9	11345.82	9088.59	4152.18	9409.14	4869.99	8078.22	10959.3	7485.11	10808.41	8247.98	11909.94	7749.1	8901.53	11909.94	16383.0	9740.98	6792.79	9540.5	8191.0	5831.91	5751.61	7911.95
CYSLTR2	23.59	2.12	0.52	3.14	0.0	1.28	1.27	1.79	0.0	0.0	6.78	18.7	39.5	10.71	15.34	99.43	14.78	10.47	43.02	27.64	51.35	9.48	8.71	31.9	7.17	46.18	13.52	45.53	5.63	20.56	24.46	59.97	10.47	10.79
DCLK1	239.52	0.56	1.66	1.43	2.16	5.45	2.92	0.75	0.0	0.25	108.14	71.5	44.57	89.51	17.9	218.79	13.22	332.14	231.32	503.95	490.14	89.51	289.02	32.13	26.1	138.1	454.09	148.09	7.34	21.16	54.72	140.04	5.87	246.28
DEFB124	59.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.31	3.23	0.0	7.46	17.38	0.36	17.13	13.83	8.51	35.5	1.23	10.96	12.18	0.49	11.64	19.82	9.63	1.71	2.89	1.95	4.98	2.58	18.29
DENND2A	575.03	24.99	50.98	22.43	15.34	35.25	66.65	24.28	0.0	0.32	163.28	379.04	182.55	92.7	246.28	327.56	100.13	486.75	500.46	336.79	1051.79	264.03	532.74	193.01	343.89	529.06	480.04	162.14	228.13	161.02	205.5	403.5	258.57	285.03
DEPDC5	273.37	244.57	297.17	251.48	111.21	170.25	145.02	97.36	0.0	0.31	159.9	154.42	183.82	124.37	147.06	273.37	142.01	258.57	409.15	271.48	228.13	119.26	299.25	130.6	152.28	303.44	177.53	214.27	89.51	258.57	224.97	348.71	161.02	373.81
DNM1	703.28	0.75	27.05	5.15	7.22	7.82	5.63	14.45	0.0	0.58	58.71	45.53	52.08	34.02	22.59	162.14	8.25	258.57	483.38	323.03	371.22	62.12	309.83	47.5	50.98	212.78	599.49	140.04	34.75	43.02	100.13	299.25	27.44	813.63
DOCK7	287.01	120.94	110.43	256.78	121.79	75.11	108.9	167.9	0.0	0.4	191.67	224.97	181.28	153.34	130.6	144.01	123.5	206.94	260.38	156.59	124.37	255.0	251.48	151.22	88.26	215.77	118.43	183.82	178.77	171.45	156.59	201.25	170.25	483.38
DYRK1B	358.54	63.0	138.1	93.35	34.75	59.97	36.27	25.54	0.0	0.1	353.59	607.87	486.75	514.56	543.96	1008.9	403.5	332.14	540.19	447.82	236.21	287.01	642.59	260.38	193.01	293.07	361.04	651.58	429.54	346.29	669.92	8901.53	460.44	507.46
EBF3	33.54	0.02	2.12	0.87	0.15	1.06	0.16	0.0	0.0	0.09	0.12	2.27	33.54	6.46	1.6	44.57	3.44	24.11	102.97	40.93	10.16	2.03	40.64	2.25	3.59	8.45	20.71	19.82	0.0	0.83	4.58	7.69	2.36	131.51
EMID1	1781.89	26.47	9.41	13.42	299.25	43.63	77.79	65.72	0.0	0.57	63.45	138.1	52.08	76.17	73.03	223.41	220.32	316.37	211.31	173.85	2075.59	131.51	872.1	80.01	251.48	450.94	518.15	162.14	45.21	72.01	146.03	316.37	118.43	808.0
EMX2	2.89	1.0	1.39	0.06	0.0	0.15	0.0	0.0	0.0	0.13	2.2	1.5	0.97	0.14	0.0	7.17	0.0	4.17	10.71	9.85	1.73	0.0	3.47	1.01	0.55	3.53	4.43	0.16	0.0	0.0	0.0	2.92	2.12	5.19
ENC1	291.04	138.1	164.42	28.65	226.54	221.86	105.89	40.93	0.0	0.15	351.14	255.0	237.86	312.0	170.25	915.51	95.34	1268.46	373.81	559.28	444.72	353.59	947.83	87.65	113.56	201.25	376.41	591.22	84.04	73.54	242.88	1066.48	209.84	361.04
FAM43B	32.82	5.82	1.91	12.64	1.85	1.87	1.87	9.63	0.0	0.01	5.96	2.14	2.63	8.06	0.89	10.16	0.61	5.41	18.84	36.27	61.68	1.45	14.89	1.55	10.08	13.22	36.27	4.86	1.46	2.01	3.11	13.52	1.14	50.98
FBLN2	2384.37	31.9	20.56	13.03	11.73	26.1	39.5	32.82	229.72	108.9	688.78	1081.39	529.06	981.29	71.0	1819.35	157.68	2573.36	4937.99	2502.97	1781.89	241.19	2434.5	299.25	854.13	1259.69	3103.19	1991.0	187.71	341.51	1304.15	1639.59	142.01	3212.66
FBLN7	221.86	43.94	74.58	16.51	37.32	76.17	36.27	80.01	0.0	0.25	46.18	82.87	90.14	137.14	80.57	327.56	50.63	180.02	336.79	81.71	195.72	72.52	202.66	66.18	56.68	177.53	264.03	107.38	43.94	28.45	98.73	155.5	81.71	503.95
FBXO39	6.57	0.0	6.84	33.3	8.13	0.96	1.97	8.51	0.0	0.13	0.0	2.32	7.94	2.07	15.22	25.72	4.21	12.36	13.93	2.73	20.41	0.13	6.06	4.82	0.39	10.47	4.54	0.88	0.13	3.17	2.97	11.47	1.06	7.17
FIGLA	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	0.0	0.0	0.0	0.0	0.0	7.11	6.57	3.89	0.0	6.06	1.77	0.0	10.31	10.63	3.76	0.0	0.0	0.0	1.75	0.0	0.0
FMOD	2468.49	172.65	35.5	44.57	124.37	59.13	55.1	17.0	0.0	0.91	301.33	1008.9	607.87	1225.22	141.02	738.29	332.14	3212.66	1745.2	1250.98	2555.58	733.19	2209.26	426.57	1295.13	1674.06	2209.26	1066.48	237.86	251.48	571.05	1159.07	435.55	1350.18
FREM1	229.72	2.1	9.93	3.76	1.31	0.0	0.0	1.46	0.0	0.17	75.11	181.28	32.82	11.47	20.86	140.04	16.27	189.02	90.14	58.71	339.14	171.45	143.01	40.36	24.63	199.85	246.28	91.41	29.48	69.03	63.45	209.84	127.0	954.43
GDF6	17.38	2.29	2.86	2.2	0.62	0.62	0.0	0.58	0.0	0.06	7.17	11.21	15.0	4.31	2.12	20.86	0.72	38.4	28.65	12.09	4.78	1.75	22.59	1.16	16.27	14.89	9.63	15.91	0.72	2.89	2.94	7.22	1.69	37.05
GLIS1	76.71	0.26	0.0	0.24	0.95	0.38	0.95	0.0	0.0	0.2	2.25	0.0	4.13	2.86	3.89	63.0	1.69	8.71	6.78	1.17	3.2	0.57	2.12	1.57	4.82	2.51	2.36	8.51	0.32	0.33	18.43	1.81	1.6	108.14
GLP2R	273.37	2.01	1.83	0.51	0.0	2.78	19.68	4.78	0.0	0.1	28.24	7.51	30.78	22.43	2.14	19.97	10.71	32.59	78.34	96.68	19.11	11.91	29.06	12.18	18.03	21.32	67.59	41.52	11.13	9.34	7.88	34.51	4.28	108.14
GLT8D2	842.36	23.08	8.38	13.03	5.36	19.11	6.52	19.53	0.0	0.28	291.04	218.79	217.27	98.04	110.43	656.11	67.12	693.58	813.63	591.22	1059.11	239.52	463.65	128.79	218.79	543.96	480.04	368.65	78.89	117.6	194.36	368.65	135.24	1268.46
GOLGA8S	10.88	1.46	4.35	2.12	0.8	2.81	3.69	1.33	0.0	0.32	5.77	4.39	12.45	8.45	13.72	19.25	3.44	9.34	10.55	11.04	8.51	8.0	14.45	8.99	2.48	5.36	11.73	26.47	4.35	8.19	8.99	9.34	6.31	11.3
GPR124	764.36	47.84	22.75	11.91	17.38	39.22	42.71	11.82	0.0	0.42	108.14	368.65	114.36	155.5	122.64	656.11	109.66	785.88	954.43	447.82	1233.75	151.22	941.27	182.55	305.55	915.51	1268.46	279.14	88.88	133.36	258.57	813.63	107.38	1457.23
GPR173	74.06	0.4	0.92	0.95	0.75	3.14	0.02	1.1	0.0	0.64	10.08	8.25	7.0	7.57	15.34	61.68	9.13	38.95	46.5	26.47	78.34	13.62	53.57	20.86	42.11	57.08	87.65	41.81	6.78	7.17	16.63	25.91	10.39	138.1
HOXA1	26.67	5.41	1.01	1.93	1.2	1.87	0.0	1.11	0.0	0.36	19.39	2.56	10.47	5.32	22.43	1.04	2.1	4.31	20.26	13.52	40.93	3.56	4.06	5.73	9.34	41.22	10.0	9.85	0.0	4.94	6.57	1.06	7.17	38.95
HOXC5	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	8.85	0.0	1.36	2.36	0.0	4.46	0.0	7.51	13.62	31.45	9.27	0.0	29.48	0.0	15.56	4.17	23.42	14.89	0.0	0.0	2.46	4.1	0.0	76.71
ICOSLG	356.05	62.56	166.73	80.57	81.71	389.72	139.07	134.3	0.0	0.39	119.26	223.41	253.23	109.66	24.46	209.84	157.68	318.57	199.85	171.45	153.34	37.05	201.25	142.01	138.1	158.79	358.54	185.11	124.37	197.09	204.07	651.58	78.89	511.0
IGDCC4	249.73	0.0	2.78	0.29	0.0	0.0	0.0	0.0	0.0	0.0	11.21	5.63	8.85	7.94	3.06	35.25	1.16	54.72	62.56	43.32	59.13	6.84	53.57	4.17	3.76	46.18	79.45	18.29	1.16	3.38	18.16	36.01	2.71	277.2
IL17RD	66.18	1.14	0.03	1.71	0.82	0.13	1.66	0.07	0.0	0.1	6.52	14.14	7.82	3.99	4.46	22.59	1.38	27.84	56.68	37.32	43.94	4.46	35.0	12.0	22.75	53.57	53.95	16.63	3.26	4.1	5.02	25.35	3.5	142.01
IL17REL	18.7	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.8	0.24	0.87	0.19	0.2	205.5	0.0	1.69	0.22	0.22	3.23	0.2	0.23	1.69	1.6	8.71	5.59	0.0	1.53	0.82	0.0	0.23	0.18	6.89
ISLR	2224.63	103.69	12.83	2.29	3.63	13.93	31.0	13.42	320.8	187.71	723.08	2319.15	679.29	629.35	486.75	1529.73	265.87	2520.38	2075.59	1651.0	3742.05	620.67	2451.44	529.06	713.11	1733.13	2777.33	1233.75	457.25	633.73	836.53	1208.34	713.11	4937.99
