	TCGA.ZF.AA5P.01A.11R.A39I.07	TCGA.4Z.AA87.01A.11R.A39I.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CV.5439.01A.01R.1686.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.IN.7806.11A.01R.2055.13
RNF130	1183.45	1467.37	2739.08	3103.19	381.68	387.02	0.0	0.8	454.09
RNF138	279.14	486.75	339.14	414.87	215.77	187.71	0.0	0.45	221.86
RNMTL1	414.87	915.51	314.17	392.44	161.02	127.0	0.0	0.31	373.81
RPAIN	775.05	1651.0	1015.93	878.17	258.57	119.26	0.0	0.85	447.82
SBK1	68.07	718.08	237.86	660.68	4.5	2.81	0.0	0.33	27.84
SMIM20	921.88	1832.01	1066.48	1030.12	327.56	258.57	0.0	0.46	279.14
TAF3	124.37	237.86	108.14	137.14	82.87	72.01	0.0	0.28	89.51
TEX12	2.56	7.4	5.41	1.6	0.0	0.0	0.0	0.04	1.17
TIMM22	269.6	473.41	162.14	241.19	140.04	147.06	0.0	0.09	214.27
TUSC1	409.15	429.54	400.71	232.94	129.69	246.28	0.0	0.56	205.5
TXK	25.54	151.22	60.82	96.68	7.22	4.03	0.0	0.41	22.75
UHRF2	417.77	1111.82	769.69	780.44	353.59	214.27	0.0	0.95	309.83
WDR73	376.41	688.78	483.38	651.58	209.84	187.71	0.0	0.54	223.41
WFDC2	7966.99	3280.18	1.736886224E7	2.009035788E7	258.57	14.56	0.0	0.65	94.67
ZBED3	63.45	165.57	161.02	191.67	4.98	5.11	0.0	0.14	51.35
ZNF184	111.21	301.33	151.22	169.07	88.26	76.71	0.0	0.06	80.57
ZNF232	500.46	356.05	231.32	279.14	37.85	70.01	0.0	0.04	82.29
ZSCAN16	312.0	476.71	246.28	371.22	35.0	36.53	0.0	0.37	73.54
