	GTEX.11P82.0426.SM.5HL5D	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.6803.01A.11R.1884.13	TCGA.BR.7703.01A.11R.2055.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.XBEW.1826.SM.4RTWX	GTEX.RU1J.0526.SM.46MUT	GTEX.TKQ2.0926.SM.4DXU5	GTEX.UPIC.1826.SM.4IHKC	GTEX.S7SF.0626.SM.4AD4V
CAND2	224.97	201.25	180.02	0.0	0.39	166.73	4.98	50.63	33.06	23.08	11.3	32.59	38.67	7.94	86.43	93.35	289.02	107.38	31.45	55.89	358.54	47.84	52.82	24.46	343.89	17.13	70.51	92.7	486.75	435.55	693.58	409.15
CAP2	1073.91	426.57	587.13	0.0	0.18	928.3	10.31	53.95	77.79	9.48	40.64	62.12	134.3	112.77	258.57	297.17	890.44	376.41	14.03	46.84	2367.9	42.11	15.68	12.83	2835.7	8.38	314.17	470.14	1832.01	1540.37	1617.0	1417.35
CCDC136	420.68	325.29	412.0	0.0	0.53	514.56	17.51	111.99	51.35	131.51	28.86	187.71	141.02	67.12	100.13	152.28	285.03	148.09	32.59	43.32	571.05	50.63	46.84	30.34	660.68	37.32	86.43	124.37	1794.29	497.0	2976.74	525.39
CFL2	3847.29	3146.52	4268.94	0.0	0.52	5112.16	134.3	947.83	353.59	224.97	260.38	878.17	921.88	638.15	1359.57	1540.37	3564.78	1313.23	381.68	547.75	10368.08	854.13	460.44	490.14	10585.95	409.15	1709.26	2935.74	9409.14	5112.16	7966.99	5872.48
CLIP3	1359.57	1721.16	1819.35	0.0	0.53	1295.13	59.13	435.55	255.0	120.1	108.14	253.23	429.54	173.85	483.38	473.41	1605.83	490.14	101.54	214.27	2976.74	212.78	178.77	78.34	3847.29	147.06	441.64	759.08	2090.03	2520.38	2032.85	2335.28
CNN1	55877.28	38164.99	37901.36	0.0	0.43	77396.54	262.2	1639.59	1781.89	460.44	1096.5	1806.78	6652.97	642.59	16269.83	18178.19	50359.33	19482.97	567.1	4066.71	95286.54	2287.2	961.07	988.12	88291.3	1073.91	14262.1	47642.77	167058.21	108699.57	411347.03	94628.34
CPEB1	105.15	124.37	70.01	0.0	0.18	108.14	3.66	38.67	18.03	13.52	4.86	43.94	28.04	22.59	58.71	42.11	251.48	52.08	11.47	18.16	224.97	43.63	18.56	15.11	241.19	34.26	69.03	96.68	99.43	808.0	291.04	256.78
DACT3	1104.13	909.17	808.0	0.0	0.32	1697.45	54.33	149.12	163.28	81.71	75.11	113.56	197.09	80.01	460.44	536.45	1340.84	642.59	98.04	215.77	2271.4	246.28	123.5	94.01	2520.38	99.43	366.09	728.11	4038.61	2468.49	2758.13	2075.59
DCAF12L2	20.56	17.25	13.83	0.0	0.11	27.05	0.49	2.66	3.11	0.6	0.0	3.99	1.87	1.79	9.34	12.18	28.04	20.26	0.0	2.18	63.45	0.74	3.23	0.0	38.95	2.25	11.73	16.63	35.0	36.79	27.44	55.49
DIP2C	521.76	376.41	638.15	0.0	0.44	414.87	69.03	126.12	97.36	104.42	87.03	194.36	171.45	117.6	229.72	148.09	447.82	258.57	120.1	116.78	775.05	69.52	76.71	75.11	988.12	56.28	106.63	226.54	669.92	860.08	796.86	656.11
DIXDC1	1073.91	764.36	1073.91	0.0	0.16	1119.56	75.11	264.03	173.85	91.41	53.57	229.72	307.69	148.09	381.68	348.71	967.76	414.87	236.21	158.79	1844.76	202.66	125.24	120.94	2004.85	209.84	303.44	603.67	1617.0	1286.18	1519.15	1369.04
DMD	872.1	791.35	1119.56	0.0	0.42	490.14	23.25	312.0	205.5	109.66	55.49	239.52	231.32	190.34	249.73	293.07	796.86	432.53	293.07	147.06	1857.6	171.45	141.02	101.54	2303.12	231.32	353.59	356.05	2209.26	2148.82	1111.82	1295.13
DPF2	1617.0	1388.16	1417.35	0.0	0.59	1295.13	728.11	941.27	595.34	620.67	802.41	718.08	775.05	718.08	1015.93	819.3	1340.84	836.53	521.76	555.41	1662.49	830.75	620.67	579.04	1745.2	599.49	872.1	890.44	1378.57	1467.37	1628.26	1572.76
DYNC1I1	84.04	185.11	85.22	0.0	0.57	281.09	3.99	22.59	77.79	10.63	6.16	28.86	36.01	115.97	100.13	81.71	289.02	62.12	10.24	32.82	579.04	18.03	5.59	10.08	466.88	23.42	116.78	204.07	289.02	267.73	285.03	441.64
EIF4E3	733.19	669.92	921.88	0.0	0.44	381.68	173.85	312.0	127.0	159.9	212.78	277.2	202.66	281.09	381.68	348.71	507.46	457.25	285.03	320.8	769.69	264.03	189.02	267.73	813.63	256.78	289.02	511.0	1001.93	1135.2	1175.27	1111.82
EML1	1427.22	1250.98	1819.35	0.0	0.36	764.36	38.4	356.05	224.97	99.43	77.25	287.01	232.94	224.97	346.29	490.14	1008.9	555.41	193.01	202.66	2148.82	153.34	163.28	148.09	2682.69	96.01	285.03	718.08	3146.52	2303.12	3372.43	2451.44
EPHA7	848.22	486.75	708.18	0.0	0.0	289.02	2.94	60.82	24.28	5.73	9.06	45.85	38.4	50.98	108.9	152.28	420.68	289.02	23.42	26.28	1583.71	16.39	30.56	12.74	2255.7	7.17	131.51	559.28	1073.91	435.55	878.17	1733.13
EPM2A	438.59	363.56	525.39	0.0	0.26	269.6	46.18	104.42	50.63	40.93	22.75	70.51	92.05	59.13	120.1	119.26	234.57	157.68	56.28	54.33	529.06	76.17	39.22	36.01	656.11	63.0	132.44	176.29	607.87	299.25	316.37	470.14
FAM13C	575.03	264.03	497.0	0.0	0.0	205.5	16.75	120.1	56.68	61.25	24.11	156.59	68.55	85.82	161.02	111.21	166.73	102.25	62.12	102.97	318.57	102.25	76.17	48.87	297.17	55.1	115.97	208.38	341.51	616.37	947.83	629.35
FAXC	684.02	532.74	432.53	0.0	0.39	395.18	5.82	51.71	30.34	16.63	24.28	34.26	65.72	61.25	136.19	155.5	358.54	159.9	30.56	55.1	1044.52	65.72	24.11	36.01	1259.69	43.63	185.11	314.17	1111.82	1508.65	1487.87	1498.22
FAXDC2	1066.48	967.76	830.75	0.0	0.46	1183.45	30.34	329.84	118.43	154.42	87.03	281.09	265.87	400.71	713.11	616.37	1350.18	703.28	353.59	373.81	1883.54	361.04	305.55	224.97	2537.92	441.64	447.82	1081.39	1073.91	4010.71	2417.67	2032.85
FBXL22	703.28	299.25	197.09	0.0	0.0	656.11	10.47	75.64	31.67	20.26	20.86	58.3	92.05	21.32	140.04	170.25	441.64	318.57	19.25	67.12	1651.0	46.18	27.84	11.55	1359.57	9.56	159.9	273.37	1059.11	1447.15	1936.53	813.63
FGL2	6079.61	2255.7	5995.9	0.0	0.31	529.06	36.27	579.04	190.34	92.7	88.26	616.37	253.23	264.03	915.51	599.49	961.07	616.37	220.32	769.69	4066.71	466.88	234.57	214.27	3589.58	224.97	607.87	1397.83	5633.22	5147.73	7642.41	5633.22
FLNC	3928.15	3257.52	3614.55	0.0	0.41	8840.04	23.08	157.68	221.86	75.64	426.57	204.07	1066.48	70.01	2032.85	1096.5	5006.93	2018.8	52.45	435.55	8778.97	146.03	57.89	35.5	11664.82	85.82	555.41	3257.52	14262.1	7130.55	15715.58	5751.61
FOXF2	2537.92	1844.76	2682.69	0.0	0.64	1023.0	117.6	346.29	251.48	220.32	91.41	239.52	194.36	218.79	420.68	785.88	1051.79	679.29	336.79	423.61	2816.11	379.04	444.72	314.17	2682.69	336.79	361.04	603.67	9673.69	2193.99	9808.75	3039.3
FOXP2	642.59	334.46	551.56	0.0	0.24	273.37	8.65	117.6	36.53	13.32	18.43	120.1	82.87	48.52	155.5	106.63	400.71	153.34	18.29	53.19	728.11	40.36	25.72	7.17	909.17	65.72	92.7	204.07	1259.69	1936.53	1806.78	1733.13
FRRS1L	27.44	40.36	14.03	0.0	0.09	43.94	0.12	8.58	2.51	0.91	1.23	9.85	11.64	4.24	20.71	20.56	88.26	23.59	1.3	4.78	239.52	5.36	0.38	0.27	201.25	0.96	22.59	59.97	92.7	258.57	167.9	96.68
FRZB	954.43	1088.92	1030.12	0.0	0.16	1233.75	97.36	463.65	253.23	82.87	63.89	555.41	161.02	255.0	713.11	381.68	2468.49	497.0	114.36	295.11	2835.7	228.13	135.24	74.58	2915.45	80.57	802.41	713.11	2335.28	3372.43	669.92	2178.83
FYCO1	981.29	1059.11	1551.09	201.25	48.52	1015.93	246.28	423.61	279.14	295.11	432.53	429.54	420.68	309.83	603.67	497.0	1119.56	743.43	447.82	334.46	1697.45	275.28	332.14	185.11	1870.53	299.25	303.44	547.75	1359.57	2319.15	1477.58	1427.22
FZD7	679.29	579.04	559.28	0.0	0.41	320.8	31.45	289.02	98.04	156.59	66.65	299.25	183.82	97.36	223.41	267.73	384.34	229.72	96.01	149.12	629.35	209.84	149.12	66.18	490.14	120.1	134.3	183.82	1313.23	1059.11	1844.76	1037.29
GNAO1	532.74	511.0	1143.1	0.0	0.32	954.43	11.3	220.32	78.34	52.82	55.89	156.59	318.57	55.49	435.55	323.03	1167.14	463.65	92.05	182.55	2104.58	103.69	103.69	47.5	2335.28	82.87	318.57	713.11	1594.73	3467.27	1594.73	1674.06
GPR135	69.52	48.18	48.87	0.0	0.29	57.08	4.7	25.72	5.87	4.31	9.2	19.39	27.44	10.63	22.1	22.59	62.12	36.27	7.69	15.91	169.07	15.56	10.88	9.34	176.29	7.34	19.25	37.59	73.54	102.25	94.01	96.01
GPRASP2	246.28	175.07	131.51	0.0	0.28	119.26	22.26	118.43	80.57	42.41	28.65	93.35	85.82	59.97	129.69	93.35	283.05	122.64	66.65	61.25	435.55	48.52	48.18	24.99	432.53	39.22	82.29	116.78	316.37	532.74	532.74	507.46
GRIK5	400.71	392.44	432.53	0.0	0.41	275.28	11.73	31.9	68.07	14.35	18.43	36.79	50.98	17.13	121.79	102.97	476.71	195.72	15.91	40.93	651.58	36.53	30.12	8.58	547.75	23.76	86.43	142.01	775.05	507.46	830.75	525.39
HOXA4	1605.83	1225.22	902.89	0.0	0.56	532.74	27.25	125.24	70.51	49.56	29.27	133.36	146.03	55.49	214.27	299.25	587.13	271.48	56.68	120.94	1175.27	111.99	82.87	40.64	1388.16	74.58	199.85	503.95	1572.76	1709.26	2303.12	2047.0
HOXB4	327.56	228.13	221.86	0.0	0.61	118.43	26.1	66.65	190.34	30.56	66.65	60.39	57.08	37.59	87.03	68.55	163.28	78.34	22.75	38.95	255.0	88.88	54.72	38.95	242.88	31.45	83.45	127.89	265.87	299.25	136.19	387.02
HSPB6	10733.74	14867.79	8022.41	0.0	0.69	25179.16	198.47	2935.74	1277.29	665.29	490.14	2148.82	4181.07	287.01	10368.08	8134.41	38697.77	8718.32	521.76	2434.5	65082.31	2367.9	743.43	265.87	97965.44	1151.06	13215.02	30572.63	90146.51	90146.51	56265.94	42937.97
IGSF11	172.65	68.07	107.38	0.0	0.34	48.87	0.07	4.82	49.56	5.02	0.09	7.63	5.45	6.26	20.26	23.93	85.22	39.22	4.7	12.93	147.06	7.17	7.63	0.82	209.84	7.94	17.64	100.83	242.88	131.51	158.79	109.66
ITPKB	1023.0	878.17	836.53	0.0	0.39	1369.04	96.68	376.41	206.94	173.85	162.14	273.37	567.1	172.65	656.11	412.0	2047.0	708.18	186.4	269.6	2796.65	318.57	186.4	96.68	2367.9	172.65	587.13	813.63	1870.53	1674.06	2148.82	1617.0
JAM3	1498.22	1199.98	1487.87	0.0	0.62	1199.98	85.22	493.56	353.59	142.01	131.51	476.71	403.5	309.83	591.22	414.87	1388.16	490.14	211.31	368.65	2061.24	343.89	183.82	151.22	2520.38	204.07	444.72	738.29	1617.0	1769.57	1721.16	1447.15
KIAA0408	753.83	320.8	400.71	0.0	0.07	307.69	4.98	152.28	16.03	11.04	8.38	57.49	27.84	38.4	85.82	122.64	162.14	132.44	25.17	21.63	728.11	76.71	20.41	0.84	836.53	27.64	57.89	206.94	947.83	1199.98	718.08	1242.34
KLHL42	713.11	563.18	974.5	156.59	68.55	540.19	135.24	281.09	189.02	152.28	142.01	285.03	351.14	262.2	215.77	256.78	500.46	351.14	137.14	167.9	1437.15	157.68	144.01	141.02	1561.89	116.78	198.47	400.71	1037.29	693.58	890.44	902.89
LDB3	1088.92	271.48	307.69	6.73	92.05	591.22	10.47	45.21	25.91	17.64	10.79	50.98	65.26	10.55	265.87	202.66	674.59	249.73	12.09	48.18	1674.06	38.4	25.54	16.51	1594.73	28.04	215.77	441.64	1662.49	1498.22	3018.3	842.36
LURAP1	127.89	120.94	96.68	0.0	0.25	52.08	4.86	22.1	30.12	15.68	11.21	22.75	18.43	26.28	39.79	40.07	120.94	50.27	35.0	32.59	148.09	38.95	22.92	23.76	123.5	44.25	31.67	35.0	95.34	151.22	114.36	181.28
MAGI2	139.07	111.21	128.79	0.0	0.26	65.26	4.5	29.27	30.78	11.21	8.99	37.32	29.48	27.64	40.36	30.56	87.03	47.84	20.26	17.51	232.94	22.1	16.75	7.06	251.48	23.42	26.47	52.82	193.01	166.73	166.73	183.82
MAPK4	124.37	121.79	177.53	0.0	0.03	97.36	0.16	14.14	2.97	3.5	1.6	12.55	23.93	1.87	77.79	63.45	244.57	55.1	3.82	18.29	301.33	15.11	3.92	0.75	343.89	9.56	62.12	120.1	460.44	320.8	476.71	269.6
MLTK	3419.52	2104.58	3039.3	713.11	753.83	2335.28	195.72	423.61	237.86	183.82	299.25	780.44	981.29	447.82	791.35	825.0	3589.58	878.17	142.01	181.28	6840.04	170.25	86.43	96.01	9606.86	109.66	866.07	1001.93	2367.9	2434.5	2555.58	3372.43
MPL	10.08	10.88	6.16	0.0	0.01	6.67	0.79	5.82	1.91	6.11	2.03	0.66	2.76	1.25	3.99	3.17	6.89	2.94	0.26	2.48	16.63	0.56	3.08	0.49	19.39	2.56	2.81	4.5	7.11	18.16	11.73	15.91
MPP2	136.19	199.85	150.17	0.0	0.35	159.9	4.39	48.18	41.81	10.55	19.97	47.5	25.54	17.38	103.69	63.89	251.48	115.16	28.24	40.93	255.0	29.91	21.01	8.0	285.03	13.22	59.97	127.0	332.14	271.48	348.71	262.2
MRGPRF	3190.46	2502.97	2935.74	0.0	0.6	2520.38	81.14	323.03	303.44	212.78	202.66	212.78	493.56	106.63	878.17	1088.92	2468.49	1331.57	132.44	309.83	5954.47	281.09	244.57	127.89	5913.33	164.42	656.11	1331.57	6607.01	5872.48	10659.59	5672.41
MSRB3	3039.3	1936.53	2855.44	0.0	0.55	1794.29	38.95	395.18	277.2	76.17	110.43	420.68	571.05	371.22	607.87	642.59	1857.6	660.68	139.07	244.57	3742.05	303.44	146.03	97.36	4268.94	125.24	660.68	1427.22	4419.52	2855.44	2627.46	2645.74
NBEA	341.51	281.09	316.37	0.0	0.27	132.44	3.2	85.22	31.45	35.5	8.99	75.64	79.45	122.64	67.59	80.01	214.27	94.01	36.53	43.02	547.75	50.63	31.22	12.36	603.67	38.12	70.01	132.44	902.89	536.45	511.0	587.13
NCS1	1250.98	1037.29	1572.76	176.29	89.51	1388.16	241.19	106.63	110.43	63.0	316.37	112.77	271.48	105.15	392.44	305.55	1551.09	403.5	49.91	98.73	1923.14	138.1	38.67	44.57	1857.6	47.84	283.05	693.58	1950.0	1259.69	1651.0	1259.69
NEGR1	607.87	713.11	872.1	0.0	0.27	414.87	32.36	176.29	262.2	51.35	20.56	189.02	122.64	80.57	229.72	251.48	693.58	283.05	150.17	134.3	1242.34	119.26	121.79	82.87	1540.37	82.29	217.27	738.29	1540.37	1304.15	1119.56	1359.57
NKAPL	53.19	43.02	43.94	0.0	0.0	34.26	4.13	12.27	2.86	7.75	4.24	8.38	16.15	7.46	20.56	19.68	31.9	38.4	7.4	7.17	107.38	11.55	7.63	5.45	136.19	3.63	20.86	32.13	68.07	51.35	114.36	87.65
NRG2	98.04	48.87	72.52	0.0	0.05	42.11	0.22	7.94	25.17	5.77	2.56	9.27	7.11	2.32	25.54	30.12	103.69	42.71	12.93	17.25	143.01	29.48	17.9	5.15	88.88	7.75	31.9	66.65	123.5	269.6	215.77	76.17
NRXN3	878.17	551.56	915.51	0.0	0.21	928.3	3.06	38.67	24.99	12.74	33.54	38.12	164.42	41.22	167.9	100.83	825.0	103.69	4.58	41.81	1008.9	20.26	18.7	3.99	1378.57	7.94	133.36	318.57	1159.07	1015.93	796.86	791.35
NTN1	2061.24	967.76	3665.02	0.0	0.42	981.29	50.63	195.72	135.24	79.45	43.32	187.71	234.57	57.08	463.65	348.71	1277.29	438.59	140.04	229.72	1340.84	197.09	171.45	91.41	1733.13	187.71	332.14	642.59	2335.28	2645.74	2434.5	2915.45
NUDT10	34.51	63.89	20.26	0.0	0.19	38.67	0.96	9.63	6.31	3.96	2.46	12.45	21.47	9.13	24.63	26.28	43.63	16.51	8.32	13.22	124.37	19.53	12.64	6.31	92.7	1.85	29.91	52.45	93.35	110.43	112.77	97.36
NXPH3	260.38	307.69	253.23	0.0	0.03	253.23	7.0	54.72	28.65	20.71	22.59	32.13	36.79	14.35	137.14	88.88	429.54	104.42	19.11	56.28	395.18	67.12	27.25	7.51	612.11	30.56	115.16	139.07	178.77	921.88	884.29	490.14
PARK2	81.14	90.14	92.7	0.0	0.12	65.26	6.78	26.28	18.7	15.56	8.51	26.1	28.04	18.16	47.84	34.51	107.38	49.21	33.78	54.72	143.01	29.91	22.1	15.8	162.14	28.04	46.84	64.8	161.02	301.33	176.29	159.9
PBX1	2209.26	1191.69	1487.87	514.56	191.67	1051.79	336.79	555.41	403.5	229.72	110.43	748.61	624.99	341.51	802.41	753.83	1685.71	995.0	547.75	607.87	2367.9	287.01	348.71	180.02	2682.69	387.02	426.57	854.13	2193.99	3794.3	2384.37	2855.44
PCDH7	1427.22	1286.18	2303.12	0.0	0.38	813.63	14.56	198.47	466.88	202.66	251.48	193.01	236.21	473.41	376.41	248.0	988.12	327.56	139.07	201.25	1088.92	217.27	242.88	186.4	1340.84	275.28	281.09	638.15	3372.43	3325.99	1159.07	2303.12
PDLIM3	11112.3	10014.87	10154.69	0.0	0.46	9151.82	285.03	1832.01	1322.37	426.57	438.59	1457.23	2163.77	1225.22	2520.38	3467.27	10368.08	3257.52	414.87	1127.35	17804.06	1651.0	591.22	665.29	18950.18	620.67	3768.09	7382.04	23986.58	15934.98	23820.89	16496.96
PDZRN3	2240.11	2997.45	3742.05	55.1	151.22	1183.45	35.0	379.04	212.78	115.97	72.01	373.81	368.65	249.73	785.88	529.06	2004.85	688.78	260.38	366.09	2591.27	343.89	220.32	129.69	2875.3	206.94	607.87	1037.29	2701.35	2502.97	2555.58	2502.97
PDZRN4	271.48	470.14	215.77	0.0	0.01	281.09	0.64	12.45	10.55	1.68	7.34	18.7	28.65	3.59	170.25	181.28	764.36	185.11	0.17	35.25	1519.15	13.12	1.53	2.53	1457.23	7.34	199.85	397.93	723.08	764.36	738.29	780.44
PGA4	4903.87	469249.9	746611.43	0.0	0.0	378516.38	10.71	2263304.65	5235876.81	4987895.16	1535204.12	2111737.85	6581567.44	9569418.63	687022.54	24153.43	353168.2	57448.23	1.835920079E7	5128124.01	112.77	3028138.0	6446120.72	1131651.83	81.71	1.138002091E7	9179599.9	69271.73	1.91	46.18	15.11	66.65
PGM5	6652.97	5366.37	4972.34	0.0	0.33	2777.33	36.53	265.87	156.59	84.04	60.82	283.05	460.44	89.51	1295.13	1487.87	3280.18	1963.57	181.28	490.14	7966.99	543.96	232.94	125.24	8363.13	242.88	1096.5	3349.13	13306.94	19082.0	16157.44	16496.96
PITPNM3	607.87	267.73	638.15	24.11	97.36	258.57	106.63	57.49	11.91	189.02	110.43	31.67	102.97	12.09	155.5	163.28	500.46	198.47	59.55	57.08	543.96	21.16	53.19	65.26	638.15	59.13	106.63	559.28	1909.85	1561.89	1857.6	764.36
PLIN4	1923.14	1008.9	1096.5	0.0	0.69	974.5	5.87	22.92	6.57	26.67	24.63	43.02	154.42	10.31	647.07	559.28	1896.65	954.43	80.57	228.13	3540.14	108.14	46.5	14.78	3372.43	76.17	242.88	813.63	3540.14	3419.52	5076.84	3982.99
PPM1L	536.45	392.44	423.61	0.0	0.48	249.73	50.63	130.6	100.83	90.77	129.69	111.21	107.38	246.28	125.24	183.82	358.54	291.04	189.02	106.63	753.83	67.12	104.42	122.64	860.08	89.51	90.14	223.41	624.99	629.35	723.08	1066.48
PPP1R12B	5112.16	4123.49	5831.91	0.0	0.38	6121.9	112.77	660.68	287.01	214.27	460.44	587.13	1242.34	339.14	1350.18	1015.93	3103.19	1191.69	316.37	511.0	8658.09	301.33	175.07	117.6	9876.98	134.3	780.44	1950.0	8840.04	7280.4	8658.09	6516.03
