	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.VJWN.0726.SM.3GIJ8	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FAT2	1.45	94.01	0.89	74.06	3.32	0.28	13.93	4.78	19.53	42.41	12.55	3.44	54.72	3.66	0.61	0.0	18.97	0.6	27.05	76.17	1.91	0.37	68.07	15.8	1.77	7.28	314.17	295.11	140.04	842.36	571.05	117.6	124.37	651.58	297.17	45.53	947.83	255.0	708.18	915.51	0.0	0.58
FGF1	57.08	289.02	49.21	271.48	49.21	25.35	111.99	162.14	150.17	118.43	147.06	181.28	140.04	258.57	58.71	53.19	127.89	12.27	141.02	363.56	83.45	53.57	143.01	115.97	25.35	77.79	988.12	743.43	660.68	2163.77	1001.93	656.11	967.76	1127.35	753.83	381.68	2133.97	890.44	1378.57	1175.27	0.0	0.0
GAS1	80.57	420.68	125.24	343.89	143.01	60.82	275.28	226.54	209.84	503.95	171.45	132.44	264.03	94.67	63.0	7.34	109.66	12.93	309.83	909.17	165.57	69.03	318.57	373.81	69.52	87.65	941.27	1066.48	896.64	1397.83	1685.71	551.56	547.75	1628.26	780.44	587.13	1008.9	1051.79	1096.5	703.28	0.0	0.16
HEY2	49.91	144.01	31.45	76.71	30.34	9.13	41.81	75.11	55.89	60.39	45.53	72.52	46.84	212.78	67.12	12.09	31.22	17.38	34.51	105.89	31.67	16.75	111.21	16.15	293.07	339.14	343.89	579.04	242.88	532.74	1963.57	348.71	186.4	267.73	441.64	571.05	540.19	273.37	860.08	629.35	0.0	0.24
HOXA4	17.77	175.07	24.28	69.52	27.64	11.47	31.67	32.13	37.32	66.65	21.32	27.64	50.27	54.33	26.67	3.59	18.43	16.75	29.06	77.25	39.79	81.14	154.42	22.1	19.82	20.11	450.94	265.87	281.09	525.39	603.67	532.74	265.87	620.67	346.29	76.71	514.56	305.55	571.05	381.68	0.0	0.56
HTR2A	0.83	44.89	1.14	4.35	0.0	0.25	3.99	2.89	2.53	7.34	1.57	0.91	1.99	1.99	0.58	0.0	0.27	0.57	2.86	8.99	3.5	0.32	1.85	0.0	0.26	1.25	28.65	55.1	14.45	19.25	295.11	9.93	36.79	23.76	22.92	45.85	109.66	26.47	33.78	31.67	0.0	0.0
ID4	52.82	629.35	177.53	368.65	102.97	11.82	90.77	40.64	178.77	363.56	76.71	44.89	450.94	102.25	43.63	13.03	50.98	13.62	72.52	232.94	76.17	185.11	669.92	36.79	21.94	50.27	2047.0	2004.85	1378.57	2976.74	3794.3	6164.49	1628.26	1674.06	1745.2	1001.93	5076.84	3018.3	5831.91	4543.8	0.0	0.47
IGF2BP2	11.47	54.72	12.74	29.91	9.85	2.94	9.41	34.51	8.0	14.78	13.42	13.52	23.42	7.69	29.48	1.89	5.92	4.74	11.13	28.04	77.25	6.06	221.86	35.0	4.31	2.58	170.25	140.04	88.88	59.13	551.56	114.36	84.63	77.25	72.01	74.06	206.94	171.45	120.94	190.34	0.0	1.06
ITPRIPL1	7.63	18.16	6.94	38.12	8.92	6.46	18.03	14.56	15.68	32.36	9.78	4.21	27.05	5.82	8.45	1.69	8.32	8.92	26.86	22.92	16.27	13.93	41.81	12.18	0.65	9.13	191.67	134.3	96.01	195.72	334.46	147.06	67.59	327.56	52.45	68.55	220.32	113.56	214.27	305.55	0.0	0.24
KIT	20.71	389.72	18.29	295.11	32.36	7.34	87.03	76.71	224.97	303.44	83.45	24.11	429.54	53.95	73.03	17.13	68.07	59.13	255.0	320.8	40.36	53.57	1104.13	53.95	7.28	85.22	4937.99	3372.43	1806.78	5076.84	3124.78	1697.45	503.95	1844.76	1529.73	1259.69	2090.03	1883.54	3168.41	3303.0	0.0	0.45
LUZP2	3.47	102.25	3.56	2.32	0.49	0.0	3.38	2.66	12.55	25.17	1.75	0.52	2.46	4.35	10.08	0.17	2.89	1.64	6.01	44.89	0.83	13.03	91.41	10.71	2.46	0.22	27.64	37.32	59.13	127.89	395.18	40.64	46.5	48.52	79.45	13.83	212.78	14.56	31.22	150.17	0.0	0.0
MAML2	32.82	119.26	35.76	185.11	39.79	29.06	67.59	94.01	94.67	189.02	100.13	50.27	106.63	69.52	35.5	6.67	63.89	46.5	71.0	148.09	82.87	70.51	323.03	68.55	13.52	53.95	842.36	490.14	412.0	1023.0	928.3	656.11	220.32	255.0	559.28	198.47	759.08	1208.34	796.86	1008.9	39.5	102.25
MCF2L2	1.83	10.08	1.87	6.73	2.53	0.62	4.86	1.71	5.32	17.51	2.36	1.33	3.5	2.46	1.95	2.25	3.29	1.91	1.36	5.54	3.99	2.29	8.51	4.28	0.34	1.36	23.08	27.64	17.13	17.25	78.89	9.78	3.63	18.03	35.0	6.78	24.81	21.63	28.24	24.63	0.0	0.36
MICU3	3.59	34.75	11.82	21.63	12.45	5.45	24.28	21.94	25.35	51.71	7.75	6.57	37.05	21.01	6.46	1.6	10.96	3.76	18.16	27.05	12.45	26.67	38.12	6.62	1.75	9.13	197.09	102.25	113.56	265.87	127.0	121.79	195.72	95.34	72.52	89.51	212.78	186.4	183.82	156.59	0.0	0.36
MOB3B	10.16	78.89	14.45	88.26	20.71	11.38	38.67	24.28	46.84	49.56	37.05	16.88	49.56	22.92	15.34	6.11	25.72	4.35	35.0	75.11	15.91	25.91	99.43	27.84	9.56	18.7	307.69	177.53	141.02	384.34	158.79	128.79	125.24	158.79	134.3	97.36	197.09	140.04	289.02	307.69	0.0	0.27
NRG1	4.54	435.55	0.84	36.53	3.89	1.97	14.89	54.72	20.41	35.0	53.19	51.35	24.81	11.04	12.27	0.23	9.06	1.17	24.63	74.58	21.01	1.77	49.91	51.71	3.82	8.0	255.0	248.0	182.55	417.77	1781.89	287.01	120.94	135.24	656.11	72.01	417.77	98.73	551.56	493.56	0.0	0.33
PAK3	1.53	18.7	1.27	26.1	1.3	1.23	6.57	3.06	13.62	13.52	8.65	1.01	12.55	3.17	2.92	0.59	4.62	1.3	3.72	11.04	2.68	1.55	454.09	5.28	0.34	6.06	170.25	120.1	77.25	121.79	94.01	50.27	65.72	115.97	132.44	58.3	100.13	136.19	114.36	111.21	0.0	0.28
PDE1C	11.55	111.99	1.87	76.17	4.1	3.0	12.93	22.92	21.47	29.7	11.21	27.05	38.12	25.91	7.0	2.25	13.52	5.02	23.25	27.64	13.03	8.65	57.89	11.38	5.82	8.58	361.04	215.77	158.79	318.57	255.0	117.6	176.29	223.41	165.57	147.06	379.04	429.54	409.15	295.11	0.0	0.39
PDLIM3	211.31	1733.13	1199.98	775.05	112.77	39.22	295.11	409.15	642.59	1135.2	403.5	954.43	249.73	567.1	314.17	854.13	470.14	1350.18	279.14	1304.15	547.75	29.27	848.22	536.45	157.68	148.09	2032.85	7180.15	2855.44	3467.27	11035.54	2701.35	1697.45	1806.78	2502.97	5995.9	3928.15	3901.01	6652.97	2739.08	0.0	0.46
PHYHIPL	2.97	11.21	2.46	7.4	1.28	0.33	14.45	2.01	7.82	6.31	1.03	0.35	2.78	1.07	0.67	0.58	9.27	0.66	3.32	5.82	0.68	0.4	2.73	1.01	0.34	0.0	39.79	35.25	32.82	22.26	167.9	42.41	24.63	22.92	12.0	21.47	39.79	43.63	29.7	82.29	0.0	0.21
PLA2R1	58.3	255.0	63.89	161.02	67.59	35.5	242.88	193.01	271.48	127.0	198.47	121.79	189.02	113.56	115.16	65.26	158.79	171.45	136.19	275.28	149.12	237.86	432.53	137.14	108.14	181.28	738.29	426.57	476.71	1119.56	1844.76	642.59	223.41	480.04	395.18	232.94	414.87	441.64	934.76	450.94	0.0	0.42
PLAGL1	54.33	189.02	87.65	120.94	37.85	50.27	92.05	137.14	119.26	336.79	159.9	57.49	143.01	83.45	59.13	5.63	54.33	41.81	48.18	199.85	124.37	143.01	205.5	82.87	16.39	35.0	651.58	473.41	476.71	941.27	454.09	358.54	1498.22	384.34	267.73	392.44	521.76	277.2	426.57	414.87	201.25	150.17
PTCHD1	0.32	1.6	0.0	3.76	0.33	0.0	1.04	1.01	2.32	4.5	1.01	0.67	4.86	4.5	3.2	0.0	0.67	0.0	3.0	1.85	0.68	0.0	116.78	8.45	0.0	0.35	154.42	88.26	30.34	125.24	281.09	22.43	5.11	45.85	8.99	25.35	71.5	45.21	82.29	69.52	0.0	0.0
RCAN1	173.85	1529.73	1388.16	1030.12	808.0	224.97	417.77	463.65	366.09	860.08	733.19	232.94	15180.22	351.14	120.1	63.89	397.93	1135.2	981.29	775.05	423.61	141.02	1119.56	703.28	133.36	244.57	5147.73	5995.9	2915.45	8778.97	26431.04	6745.86	7911.95	2997.45	1529.73	6164.49	5711.87	3690.52	10733.74	8538.88	0.0	0.11
SCGB2A2	517068.97	649962.87	964885.69	1800541.22	978355.0	1551.09	589853.66	938500.81	1318073.06	875652.15	919186.72	1163466.92	1238359.56	1788103.97	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	783730.52	1600397.78	8805660.77	1345768.59	912837.43	619179.28	1578364.61	41188.81	110983.6	161367.56	114897.47	531605.79	573724.06	1442359.14	180294.02	1019901.63	524287.0	13968.57	641014.63	136637.07	731246.37	0.0	0.0
SFRP1	40.36	5441.3	170.25	1936.53	59.13	15.11	400.71	23.42	507.46	785.88	327.56	33.3	1250.98	154.42	47.84	8.0	135.24	16.51	896.64	915.51	31.45	193.01	2555.58	51.71	48.87	209.84	12943.04	10959.3	6337.83	64632.75	35609.13	8421.31	1819.35	25887.07	16960.78	4095.0	17197.56	18560.17	27363.16	44761.41	0.0	0.24
SNCAIP	10.79	39.5	12.55	86.43	10.39	13.72	47.84	13.62	41.22	102.97	22.92	5.63	33.54	29.91	6.46	4.28	25.72	15.34	18.84	101.54	17.38	24.63	21.16	12.74	25.17	12.93	113.56	81.71	113.56	167.9	177.53	94.01	220.32	154.42	58.71	127.0	140.04	117.6	63.45	616.37	0.0	0.27
SOX10	2.53	1508.65	0.0	323.03	13.42	0.39	32.59	2.84	49.56	123.5	45.21	9.34	309.83	10.63	6.62	0.66	17.77	1.69	170.25	229.72	1.79	0.87	447.82	7.11	1.35	27.05	2090.03	1870.53	1111.82	5633.22	7331.05	1923.14	493.56	2163.77	1909.85	353.59	2627.46	1199.98	3982.99	2061.24	0.0	0.0
SYNM	63.89	3716.2	27.44	575.03	212.78	16.27	156.59	57.89	118.43	460.44	144.01	58.3	226.54	242.88	108.9	18.43	57.89	450.94	253.23	444.72	34.51	82.87	836.53	185.11	60.39	98.73	5633.22	6607.01	3820.7	6037.61	29736.59	6561.36	3103.19	11035.54	13306.94	4095.0	11112.3	7749.1	6079.61	10512.82	0.0	0.47
THSD7B	1.41	6.01	3.76	19.25	1.48	0.0	15.22	5.68	15.91	29.48	4.1	2.46	7.22	7.57	8.13	0.0	20.11	4.17	3.79	15.91	3.14	5.36	7.0	12.09	0.87	16.27	43.94	31.9	42.41	112.77	305.55	64.8	82.87	22.26	20.56	27.64	183.82	20.86	90.14	128.79	0.0	0.0
TPPP2	0.0	12.18	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.51	3.63	0.34	0.0	0.0	0.0	0.0	0.67	1.27	6.26	2.2	0.0	0.0	9.2	0.0	0.0	0.0	13.42	17.77	15.34	14.03	35.5	4.58	2.1	12.55	4.58	1.31	23.76	18.03	6.41	16.39	0.0	0.0
TSHZ2	10.39	118.43	17.77	82.87	12.36	6.62	43.32	27.25	55.1	90.14	23.59	10.96	77.79	30.34	17.25	1.19	32.13	11.82	52.08	81.71	33.78	44.89	438.59	21.78	4.98	27.84	454.09	339.14	329.84	612.11	651.58	150.17	218.79	387.02	454.09	450.94	612.11	312.0	334.46	703.28	0.0	0.32
TTC23	143.01	429.54	220.32	129.69	177.53	110.43	107.38	113.56	111.99	187.71	193.01	212.78	273.37	108.9	87.03	118.43	251.48	96.01	81.71	343.89	140.04	77.79	283.05	209.84	66.65	91.41	473.41	575.03	490.14	441.64	1340.84	241.19	283.05	748.61	438.59	346.29	463.65	368.65	723.08	591.22	0.0	0.61
UGT8	1.45	34.75	0.0	25.54	1.81	0.29	5.28	4.46	6.31	4.66	4.13	0.95	28.04	3.35	3.08	0.0	3.44	22.59	26.47	28.45	3.17	1.46	41.81	1.58	1.19	4.17	181.28	120.1	76.17	251.48	323.03	107.38	187.71	158.79	60.82	31.45	190.34	205.5	194.36	175.07	0.0	0.14
ZNF462	11.04	63.0	15.68	47.17	8.45	12.55	30.34	28.24	36.79	60.39	167.9	27.84	43.32	59.55	14.03	4.98	66.18	29.06	38.95	79.45	44.57	19.53	124.37	11.47	147.06	17.38	314.17	258.57	191.67	387.02	967.76	387.02	228.13	246.28	287.01	204.07	470.14	514.56	638.15	450.94	54.33	106.63
ZNF521	62.12	165.57	53.19	117.6	43.94	53.19	138.1	117.6	194.36	341.51	99.43	65.26	131.51	143.01	56.68	14.24	88.88	73.54	114.36	343.89	93.35	80.01	435.55	98.04	36.79	90.14	412.0	463.65	289.02	629.35	591.22	309.83	318.57	872.1	258.57	251.48	780.44	441.64	624.99	518.15	0.0	0.31
