	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.WXYG.2226.SM.4E3IM	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.Y111.1026.SM.4TT22	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.146FH.1226.SM.5NQB6	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
ARMC1	521.76	660.68	486.75	551.56	141.02	312.0	406.31	366.09	368.65	80.01	256.78	629.35	149.12	371.22	218.79	226.54	497.0	336.79	236.21	126.12	180.02	400.71	486.75	307.69	164.42	336.79	371.22	318.57	181.28	144.01	316.37	587.13	486.75	486.75	91.41	144.01	49.56	273.37	312.0	389.72	181.28	325.29	412.0	414.87	228.13	255.0	256.78	503.95	132.44	180.02	323.03	373.81	229.72	325.29	132.44	305.55	229.72	327.56	463.65	193.01	229.72	483.38	226.54	387.02	353.59	199.85	190.34	336.79	327.56	154.42	208.38	105.15	166.73	180.02	154.42	332.14
ATPAF1	1721.16	1991.0	1417.35	1757.34	403.5	775.05	974.5	1135.2	896.64	260.38	607.87	967.76	406.31	1073.91	463.65	713.11	1044.52	1059.11	708.18	454.09	603.67	941.27	890.44	921.88	414.87	1151.06	1359.57	1519.15	607.87	366.09	638.15	1135.2	1001.93	896.64	460.44	500.46	353.59	708.18	1104.13	1259.69	480.04	1001.93	1216.75	1359.57	525.39	723.08	872.1	1088.92	450.94	412.0	896.64	1073.91	698.41	616.37	429.54	1081.39	500.46	941.27	1151.06	791.35	454.09	1088.92	1143.1	1143.1	1081.39	718.08	414.87	1044.52	759.08	521.76	693.58	332.14	444.72	493.56	403.5	860.08
BCL9	511.0	229.72	444.72	400.71	36.27	72.01	287.01	226.54	63.45	52.45	41.22	119.26	105.89	190.34	66.65	131.51	258.57	70.01	46.84	53.57	55.89	325.29	148.09	43.02	105.15	116.78	234.57	271.48	89.51	83.45	115.16	211.31	291.04	166.73	72.52	50.63	28.24	120.1	104.42	212.78	108.14	164.42	151.22	366.09	147.06	56.28	109.66	164.42	52.82	76.17	138.1	202.66	170.25	154.42	30.34	116.78	61.68	144.01	155.5	73.03	50.63	253.23	82.29	105.15	332.14	78.89	67.59	343.89	94.67	57.89	144.01	66.18	108.14	55.49	84.63	220.32
C10orf35	318.57	251.48	480.04	226.54	76.71	120.1	169.07	244.57	199.85	101.54	220.32	124.37	156.59	334.46	187.71	148.09	181.28	329.84	175.07	56.28	120.1	363.56	147.06	125.24	82.87	275.28	283.05	242.88	105.15	162.14	111.99	190.34	312.0	173.85	90.14	102.97	75.64	84.63	181.28	236.21	63.0	267.73	208.38	348.71	201.25	91.41	97.36	283.05	58.71	100.13	417.77	262.2	189.02	395.18	69.03	148.09	74.06	343.89	281.09	122.64	58.3	218.79	320.8	262.2	246.28	171.45	96.01	269.6	363.56	141.02	212.78	127.89	141.02	86.43	117.6	339.14
C15orf38	426.57	500.46	444.72	753.83	158.79	214.27	651.58	525.39	463.65	182.55	271.48	435.55	146.03	796.86	180.02	256.78	738.29	307.69	167.9	138.1	246.28	536.45	642.59	457.25	133.36	583.07	551.56	591.22	267.73	373.81	218.79	819.3	616.37	579.04	120.94	190.34	43.32	215.77	397.93	511.0	454.09	400.71	409.15	540.19	341.51	187.71	371.22	320.8	101.54	112.77	457.25	733.19	830.75	511.0	128.79	283.05	248.0	473.41	764.36	249.73	249.73	559.28	353.59	329.84	591.22	423.61	381.68	713.11	392.44	460.44	148.09	67.59	232.94	283.05	86.43	387.02
C15orf52	368.65	351.14	476.71	334.46	114.36	450.94	353.59	928.3	480.04	16.27	961.07	412.0	195.72	1407.55	99.43	532.74	1073.91	1001.93	112.77	166.73	189.02	669.92	543.96	490.14	128.79	1378.57	381.68	1427.22	285.03	224.97	131.51	486.75	1023.0	423.61	153.34	68.55	25.91	114.36	988.12	1340.84	89.51	974.5	555.41	392.44	133.36	221.86	409.15	343.89	130.6	336.79	176.29	1081.39	813.63	253.23	336.79	460.44	146.03	665.29	743.43	260.38	94.01	258.57	775.05	450.94	660.68	703.28	255.0	1225.22	896.64	353.59	256.78	77.79	103.69	123.5	323.03	363.56
C16orf62	915.51	1183.45	728.11	775.05	226.54	450.94	595.34	599.49	493.56	165.57	314.17	591.22	253.23	457.25	432.53	454.09	607.87	603.67	329.84	285.03	251.48	684.02	497.0	830.75	205.5	738.29	660.68	728.11	480.04	291.04	423.61	1051.79	647.07	447.82	214.27	291.04	150.17	457.25	921.88	775.05	305.55	547.75	848.22	708.18	381.68	414.87	312.0	551.56	127.89	198.47	454.09	529.06	551.56	295.11	318.57	341.51	289.02	733.19	447.82	384.34	348.71	536.45	466.88	525.39	743.43	332.14	264.03	967.76	376.41	327.56	329.84	108.9	303.44	295.11	152.28	400.71
C17orf58	1477.58	665.29	583.07	417.77	90.77	102.97	656.11	113.56	112.77	503.95	87.03	211.31	194.36	128.79	102.97	94.67	253.23	148.09	94.67	36.79	131.51	226.54	158.79	256.78	169.07	157.68	193.01	246.28	100.83	44.89	88.88	202.66	147.06	177.53	69.03	63.45	78.89	136.19	127.89	212.78	96.01	131.51	181.28	155.5	115.16	120.1	80.57	217.27	75.11	38.12	137.14	116.78	110.43	100.13	31.0	172.65	128.79	129.69	164.42	61.68	53.19	208.38	114.36	143.01	186.4	62.12	81.71	86.43	114.36	34.26	119.26	51.35	57.08	80.57	64.34	82.87
C1orf109	616.37	540.19	748.61	571.05	209.84	167.9	379.04	228.13	253.23	98.04	208.38	236.21	175.07	265.87	130.6	251.48	429.54	281.09	164.42	195.72	186.4	412.0	371.22	221.86	180.02	312.0	237.86	224.97	159.9	111.21	220.32	397.93	327.56	432.53	80.01	204.07	102.25	193.01	221.86	301.33	121.79	287.01	351.14	269.6	185.11	212.78	152.28	256.78	166.73	149.12	297.17	312.0	173.85	490.14	140.04	153.34	180.02	265.87	358.54	172.65	309.83	343.89	134.3	307.69	299.25	153.34	98.04	256.78	389.72	127.0	142.01	271.48	137.14	143.01	201.25	543.96
C21orf119	267.73	177.53	92.7	170.25	55.89	126.12	429.54	181.28	108.9	51.35	79.45	155.5	76.71	173.85	70.51	154.42	190.34	218.79	100.83	49.56	124.37	217.27	137.14	98.73	30.78	260.38	172.65	109.66	113.56	107.38	177.53	205.5	146.03	88.88	74.06	53.57	45.21	112.77	189.02	291.04	104.42	154.42	214.27	121.79	161.02	122.64	166.73	379.04	78.89	34.02	57.08	170.25	198.47	119.26	27.64	137.14	33.06	205.5	144.01	61.68	144.01	147.06	232.94	130.6	115.16	159.9	78.34	191.67	341.51	63.45	112.77	43.02	92.05	114.36	55.89	86.43
C8orf37	99.43	52.82	101.54	97.36	16.15	40.64	94.01	33.54	36.53	13.52	16.63	42.11	19.39	43.94	43.94	25.35	55.49	33.78	28.45	13.22	26.28	60.39	55.1	30.78	29.48	51.71	37.05	41.22	25.17	7.28	24.11	65.72	30.78	71.5	26.47	9.93	5.15	36.53	27.05	64.8	16.39	35.25	35.0	49.21	15.91	21.63	40.36	69.03	35.5	33.06	18.29	40.36	41.22	13.93	20.71	41.22	28.45	26.47	59.97	55.49	18.56	75.64	18.97	42.71	37.05	63.0	16.15	32.82	34.51	15.8	40.36	6.84	23.59	8.58	24.28	23.76
CCDC25	1088.92	1369.04	1030.12	884.29	253.23	384.34	708.18	343.89	432.53	194.36	403.5	575.03	232.94	466.88	267.73	287.01	660.68	483.38	228.13	309.83	231.32	656.11	547.75	400.71	262.2	555.41	579.04	547.75	232.94	301.33	674.59	813.63	866.07	500.46	162.14	281.09	102.25	316.37	426.57	460.44	303.44	669.92	575.03	633.73	620.67	314.17	414.87	633.73	248.0	172.65	603.67	693.58	466.88	629.35	251.48	384.34	353.59	514.56	753.83	264.03	363.56	540.19	307.69	470.14	620.67	327.56	157.68	454.09	551.56	265.87	373.81	166.73	343.89	406.31	221.86	435.55
CEMP1	98.04	122.64	128.79	289.02	48.87	92.05	139.07	109.66	155.5	28.86	114.36	111.21	27.44	195.72	75.11	88.88	223.41	264.03	66.65	16.15	55.89	45.21	185.11	147.06	100.13	108.14	88.88	258.57	46.84	25.17	48.18	80.57	116.78	131.51	10.08	39.5	22.43	76.17	82.29	161.02	52.08	127.89	142.01	177.53	25.54	86.43	18.56	125.24	21.01	84.63	44.25	143.01	38.67	27.84	52.82	72.52	40.36	151.22	143.01	37.05	21.63	119.26	151.22	73.03	132.44	64.8	84.63	164.42	85.22	30.56	37.05	9.13	43.32	10.79	76.17	16.03
CEP89	392.44	441.64	575.03	320.8	108.14	229.72	651.58	295.11	221.86	90.14	223.41	316.37	60.82	320.8	217.27	395.18	341.51	201.25	212.78	82.87	234.57	289.02	414.87	341.51	128.79	314.17	297.17	303.44	307.69	70.01	116.78	332.14	262.2	420.68	182.55	220.32	59.13	295.11	289.02	229.72	80.01	314.17	336.79	376.41	93.35	223.41	217.27	620.67	85.82	137.14	234.57	260.38	170.25	108.9	199.85	215.77	228.13	185.11	406.31	183.82	125.24	470.14	220.32	287.01	395.18	191.67	155.5	293.07	186.4	148.09	162.14	136.19	138.1	166.73	64.8	229.72
COG8	417.77	346.29	511.0	483.38	119.26	137.14	289.02	323.03	242.88	90.77	165.57	237.86	178.77	376.41	120.94	241.19	265.87	301.33	189.02	77.25	157.68	299.25	248.0	193.01	197.09	343.89	412.0	366.09	172.65	137.14	193.01	283.05	343.89	253.23	115.16	143.01	102.25	228.13	297.17	395.18	137.14	332.14	246.28	392.44	191.67	125.24	220.32	271.48	129.69	141.02	271.48	384.34	209.84	232.94	149.12	175.07	131.51	351.14	267.73	172.65	183.82	265.87	281.09	289.02	318.57	236.21	138.1	381.68	256.78	120.94	172.65	128.79	163.28	152.28	145.02	265.87
COPS5	1447.15	1844.76	1378.57	1378.57	753.83	1159.07	1119.56	791.35	1023.0	397.93	954.43	1674.06	543.96	1233.75	848.22	825.0	1259.69	1709.26	896.64	387.02	559.28	1199.98	1104.13	1037.29	830.75	1151.06	1417.35	1313.23	607.87	412.0	830.75	1617.0	1457.23	1508.65	397.93	733.19	438.59	896.64	1096.5	1233.75	392.44	1340.84	1286.18	1639.59	406.31	698.41	848.22	1242.34	466.88	406.31	1268.46	1350.18	651.58	684.02	521.76	860.08	1127.35	1407.55	1417.35	1023.0	759.08	1437.15	728.11	1378.57	1477.58	836.53	688.78	1167.14	1242.34	775.05	476.71	490.14	629.35	587.13	444.72	1183.45
COPS7A	1359.57	1794.29	1662.49	1709.26	547.75	1030.12	1870.53	1617.0	1498.22	529.06	896.64	1447.15	559.28	1909.85	860.08	941.27	1388.16	1572.76	638.15	438.59	665.29	1594.73	1561.89	1806.78	429.54	1819.35	2209.26	2004.85	860.08	708.18	884.29	1540.37	1781.89	1709.26	551.56	1111.82	392.44	915.51	1397.83	1936.53	775.05	1963.57	1745.2	1819.35	934.76	1044.52	878.17	1697.45	500.46	514.56	1769.57	1594.73	1447.15	813.63	708.18	1127.35	947.83	1857.6	1883.54	547.75	607.87	1857.6	1437.15	1268.46	2271.4	967.76	808.0	1936.53	1208.34	688.78	928.3	403.5	780.44	791.35	366.09	1378.57
COQ6	1295.13	629.35	988.12	947.83	163.28	358.54	665.29	438.59	397.93	110.43	309.83	603.67	191.67	525.39	267.73	483.38	674.59	607.87	198.47	154.42	193.01	633.73	633.73	381.68	258.57	587.13	591.22	525.39	232.94	167.9	291.04	723.08	497.0	802.41	118.43	314.17	102.97	332.14	503.95	718.08	218.79	555.41	503.95	607.87	281.09	287.01	301.33	769.69	209.84	139.07	325.29	521.76	540.19	269.6	258.57	309.83	249.73	490.14	708.18	183.82	351.14	660.68	373.81	400.71	514.56	438.59	189.02	612.11	343.89	220.32	312.0	189.02	289.02	267.73	170.25	303.44
COQ9	915.51	1066.48	1037.29	1268.46	343.89	769.69	1225.22	638.15	802.41	231.32	518.15	791.35	435.55	988.12	444.72	825.0	878.17	934.76	587.13	198.47	483.38	620.67	1059.11	575.03	426.57	1081.39	860.08	1066.48	525.39	244.57	551.56	748.61	860.08	995.0	397.93	395.18	144.01	624.99	669.92	1233.75	358.54	808.0	854.13	974.5	483.38	559.28	567.1	1313.23	305.55	318.57	713.11	896.64	595.34	473.41	417.77	629.35	384.34	967.76	1059.11	507.46	473.41	1008.9	703.28	866.07	1143.1	633.73	409.15	1151.06	638.15	346.29	409.15	178.77	450.94	255.0	258.57	547.75
CTD-2192J16.20	80.01	52.08	42.41	41.81	12.18	18.03	32.36	25.72	24.46	6.52	13.03	34.51	11.73	35.76	16.27	32.82	33.78	34.75	7.75	6.78	10.39	22.92	35.0	18.97	23.93	29.48	22.1	44.89	16.51	4.58	20.56	30.56	36.53	37.05	10.47	5.63	3.32	10.88	20.26	29.7	12.45	33.54	21.01	27.25	6.67	20.11	8.85	30.34	10.79	7.82	23.93	29.91	26.1	10.08	15.11	7.63	6.16	33.06	31.45	9.7	13.22	36.27	15.91	41.22	35.25	15.91	13.22	32.13	24.99	12.09	16.03	7.46	9.2	11.47	12.18	21.16
CXorf56	612.11	616.37	432.53	497.0	178.77	224.97	426.57	423.61	287.01	125.24	285.03	318.57	104.42	379.04	423.61	211.31	371.22	473.41	267.73	145.02	154.42	392.44	323.03	339.14	155.5	363.56	412.0	248.0	187.71	318.57	406.31	503.95	417.77	381.68	155.5	305.55	141.02	178.77	450.94	466.88	265.87	536.45	303.44	366.09	358.54	244.57	265.87	323.03	191.67	191.67	293.07	358.54	395.18	329.84	212.78	205.5	260.38	403.5	423.61	185.11	260.38	341.51	299.25	291.04	293.07	299.25	209.84	339.14	379.04	285.03	228.13	131.51	275.28	281.09	94.67	226.54
DCLRE1A	208.38	201.25	186.4	178.77	25.91	50.27	102.97	84.63	88.26	17.51	62.56	114.36	38.95	119.26	39.5	48.87	117.6	109.66	48.18	36.79	29.91	97.36	85.22	66.18	37.85	113.56	109.66	130.6	45.85	26.86	76.71	96.68	126.12	105.89	17.64	40.64	17.25	41.22	75.64	111.99	45.21	111.99	75.64	127.0	41.81	35.5	52.82	101.54	29.7	27.44	100.83	123.5	45.21	69.52	36.01	49.91	42.11	102.25	104.42	38.67	62.56	85.82	69.03	107.38	130.6	55.89	31.0	101.54	84.04	34.51	38.4	20.26	41.22	32.82	40.64	79.45
DCLRE1B	130.6	170.25	120.94	146.03	71.0	84.63	92.7	104.42	100.13	42.11	74.58	119.26	55.89	150.17	309.83	79.45	150.17	94.01	39.79	50.63	64.8	253.23	255.0	140.04	43.02	102.25	134.3	117.6	44.25	33.06	65.72	149.12	136.19	146.03	60.39	68.07	45.21	100.83	77.79	94.67	56.68	116.78	83.45	109.66	48.18	69.03	96.01	93.35	40.64	69.03	87.65	118.43	81.14	94.67	59.97	60.39	64.8	122.64	157.68	75.64	90.14	108.14	48.87	185.11	118.43	76.17	42.71	87.65	82.87	64.8	71.5	56.68	92.7	70.51	64.34	79.45
