	GTEX.U3ZN.1926.SM.4DXSG	GTEX.132AR.0826.SM.5EGK6	GTEX.146FH.0826.SM.5SI8T	TCGA.BP.4988.01A.01R.1334.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.13N11.0326.SM.5LUA3
CCDC116	7.28	5.36	4.86	13.42	1.81	14.67	0.67	0.45	2.25	0.68	1.22	0.39	3.38	2.01	0.66	4.82	1.77	0.0	3.03	2.07	1.22	1.57	10.08
CCDC18	96.01	165.57	62.56	131.51	28.45	78.89	18.16	10.79	54.33	55.1	1.62	18.97	59.97	30.34	23.42	93.35	27.84	19.68	33.3	62.56	27.64	15.22	54.72
CCDC82	674.59	423.61	429.54	1313.23	595.34	848.22	283.05	154.42	373.81	559.28	81.71	189.02	723.08	454.09	314.17	688.78	295.11	178.77	309.83	583.07	173.85	91.41	769.69
CCNL1	1583.71	1151.06	1572.76	2777.33	1295.13	2451.44	361.04	341.51	1023.0	733.19	473.41	559.28	1447.15	563.18	563.18	1540.37	647.07	708.18	728.11	1151.06	1268.46	473.41	2018.8
CCNT2	460.44	287.01	381.68	688.78	249.73	551.56	122.64	67.59	193.01	234.57	52.45	81.71	236.21	147.06	112.77	307.69	137.14	85.82	201.25	325.29	121.79	45.21	409.15
CD1A	14.03	51.71	3.17	12.18	3.41	36.79	0.31	0.4	1.51	0.32	0.39	0.36	4.21	0.0	0.0	10.39	0.0	0.0	0.73	0.66	0.0	0.0	22.75
CPSF7	2032.85	1081.39	1081.39	1447.15	860.08	1313.23	733.19	327.56	723.08	878.17	426.57	579.04	941.27	521.76	599.49	967.76	529.06	483.38	890.44	616.37	518.15	384.34	1709.26
CRAMP1L	500.46	215.77	215.77	432.53	214.27	423.61	84.04	87.65	183.82	144.01	90.77	88.26	190.34	114.36	127.89	262.2	76.17	96.68	114.36	171.45	95.34	70.01	376.41
CRYAB	11035.54	1503610.06	233003.78	36357.37	383800.28	47642.77	301123.38	447025.24	217400.14	260332.24	456418.21	159145.95	113315.62	546551.29	301123.38	391864.76	513497.31	284880.02	338781.54	279017.26	299043.36	589853.66	543.96
CSAD	2090.03	1023.0	909.17	2777.33	713.11	2384.37	113.56	96.68	723.08	334.46	66.18	135.24	660.68	441.64	332.14	836.53	147.06	62.56	356.05	403.5	202.66	157.68	1340.84
DNASE1	511.0	299.25	220.32	503.95	249.73	373.81	67.59	111.21	301.33	190.34	89.51	138.1	353.59	332.14	181.28	441.64	135.24	118.43	169.07	208.38	116.78	271.48	193.01
EED	476.71	341.51	403.5	733.19	384.34	583.07	223.41	87.03	241.19	299.25	88.88	122.64	316.37	204.07	156.59	583.07	202.66	181.28	217.27	253.23	139.07	102.97	551.56
EFS	1250.98	450.94	325.29	54.72	4.03	141.02	2.25	6.31	4.13	49.21	2.41	1.85	71.0	3.0	1.91	224.97	1.77	1.55	46.84	4.78	0.43	1.95	198.47
F3	314.17	791.35	603.67	450.94	99.43	579.04	10.96	26.67	13.03	28.65	43.63	2.89	93.35	12.27	18.7	126.12	9.41	19.97	33.06	13.42	1.99	13.52	1051.79
FAM178A	373.81	273.37	262.2	423.61	305.55	376.41	88.88	85.82	232.94	236.21	70.01	208.38	293.07	134.3	167.9	291.04	145.02	89.51	237.86	178.77	147.06	170.25	381.68
FAM76B	444.72	169.07	256.78	791.35	312.0	521.76	74.06	35.76	178.77	199.85	49.21	98.04	269.6	173.85	135.24	339.14	85.82	65.26	156.59	231.32	88.88	52.82	260.38
FLG2	0.47	0.65	1.08	2.46	2.71	0.44	0.0	0.0	0.65	0.0	0.0	0.0	1.03	0.0	0.32	1.62	0.0	0.39	0.0	0.35	0.0	0.0	1.57
FRMPD3	23.25	1.38	40.07	9.7	0.87	1.69	0.0	0.0	0.62	0.32	0.39	0.0	0.99	0.33	0.31	1.25	0.0	0.0	0.38	0.67	0.39	0.38	48.18
GDI1	2816.11	2319.15	1745.2	4268.94	2855.44	4066.71	1639.59	1313.23	1923.14	2090.03	1733.13	974.5	2956.17	1651.0	1477.58	3280.18	1923.14	1340.84	1745.2	1857.6	1183.45	1819.35	3280.18
HOXB3	466.88	934.76	305.55	438.59	197.09	563.18	150.17	20.56	447.82	132.44	102.25	201.25	507.46	72.52	182.55	718.08	195.72	100.83	97.36	361.04	86.43	37.59	392.44
IL18BP	249.73	540.19	450.94	1639.59	476.71	1832.01	120.94	111.99	234.57	258.57	444.72	62.56	466.88	93.35	99.43	769.69	51.35	63.0	206.94	314.17	58.3	60.39	647.07
IMPG2	2.89	2.36	2.32	11.3	2.56	5.45	0.3	0.39	1.2	0.61	0.75	0.69	1.93	0.95	0.59	2.76	0.41	0.36	0.72	0.97	0.38	0.37	2.78
IRF7	1001.93	775.05	361.04	2417.67	277.2	1008.9	37.32	114.36	473.41	307.69	217.27	105.15	371.22	149.12	215.77	507.46	155.5	130.6	193.01	332.14	74.58	85.82	1159.07
KCNIP2	2720.15	3820.7	1896.65	121.79	39.5	83.45	5.5	5.54	29.48	25.91	4.06	5.54	46.84	11.91	5.11	86.43	13.62	4.24	15.91	16.75	10.79	12.36	106.63
KIAA1009	273.37	180.02	206.94	229.72	128.79	234.57	90.77	19.97	161.02	115.16	12.55	113.56	186.4	146.03	104.42	334.46	48.52	40.07	108.14	180.02	62.56	45.85	283.05
KIAA1462	312.0	587.13	376.41	463.65	84.04	647.07	22.75	59.97	75.64	301.33	29.48	25.91	289.02	29.06	66.65	603.67	19.97	29.7	41.81	72.01	33.3	56.68	2018.8
KLC1	2520.38	1340.84	1583.71	2351.53	748.61	2119.22	603.67	400.71	1096.5	728.11	583.07	607.87	1322.37	444.72	638.15	1487.87	941.27	429.54	909.17	934.76	441.64	884.29	2224.63
KRBOX4	441.64	387.02	426.57	551.56	215.77	426.57	161.02	85.22	190.34	173.85	78.34	100.13	251.48	113.56	135.24	242.88	170.25	138.1	164.42	217.27	97.36	96.68	543.96
LOXL2	265.87	1135.2	759.08	1594.73	223.41	836.53	84.04	58.3	78.34	403.5	23.59	31.45	366.09	165.57	86.43	503.95	158.79	61.68	55.49	287.01	140.04	80.57	248.0
LRRC32	1183.45	1259.69	2032.85	2018.8	497.0	6840.04	145.02	312.0	199.85	273.37	195.72	182.55	2075.59	698.41	271.48	3303.0	195.72	180.02	406.31	358.54	173.85	202.66	4181.07
MDM4	316.37	156.59	316.37	988.12	206.94	1313.23	68.07	39.79	153.34	68.55	35.5	53.95	190.34	36.01	98.04	140.04	142.01	46.5	190.34	137.14	92.05	42.41	231.32
MIR3654	47.84	113.56	63.45	135.24	21.32	83.45	12.74	6.78	31.45	25.35	7.57	13.03	37.05	16.39	25.17	32.59	13.03	18.84	28.86	23.08	15.0	25.54	39.5
MSL3	808.0	429.54	669.92	1322.37	525.39	759.08	295.11	189.02	346.29	400.71	178.77	181.28	470.14	363.56	260.38	493.56	198.47	232.94	381.68	480.04	206.94	181.28	934.76
NDST2	518.15	264.03	246.28	620.67	400.71	497.0	140.04	129.69	242.88	255.0	114.36	170.25	361.04	137.14	181.28	351.14	153.34	138.1	220.32	186.4	120.94	72.52	583.07
NFRKB	540.19	180.02	293.07	395.18	214.27	303.44	234.57	87.03	224.97	239.52	120.94	166.73	295.11	215.77	170.25	275.28	163.28	162.14	208.38	197.09	123.5	64.8	309.83
NISCH	2209.26	860.08	1127.35	1819.35	748.61	1378.57	441.64	511.0	769.69	974.5	733.19	514.56	1359.57	642.59	470.14	1104.13	450.94	769.69	785.88	896.64	571.05	297.17	2956.17
NKTR	1159.07	295.11	769.69	1781.89	620.67	1313.23	119.26	86.43	406.31	397.93	42.71	135.24	753.83	183.82	229.72	791.35	201.25	155.5	400.71	435.55	260.38	80.01	1030.12
NPHP3	693.58	152.28	395.18	713.11	198.47	616.37	68.07	42.71	149.12	148.09	36.01	91.41	287.01	78.89	110.43	275.28	72.01	46.84	106.63	231.32	70.51	48.52	293.07
OSBPL5	587.13	289.02	248.0	559.28	120.1	463.65	109.66	58.71	260.38	271.48	62.12	53.95	379.04	253.23	111.21	1135.2	95.34	37.85	143.01	165.57	70.01	96.01	525.39
PAPD7	466.88	271.48	343.89	603.67	287.01	547.75	126.12	58.71	198.47	212.78	85.82	98.73	199.85	132.44	102.97	242.88	104.42	103.69	178.77	147.06	98.04	68.55	435.55
PAQR8	209.84	61.25	121.79	109.66	63.45	114.36	10.31	15.22	52.08	23.76	57.49	6.57	85.22	11.3	37.05	155.5	27.25	10.79	20.11	62.56	13.93	16.88	371.22
PCF11	921.88	473.41	559.28	928.3	341.51	780.44	217.27	93.35	392.44	361.04	91.41	151.22	575.03	199.85	134.3	638.15	155.5	194.36	287.01	279.14	199.85	129.69	567.1
PLCB3	466.88	521.76	435.55	353.59	248.0	432.53	166.73	236.21	289.02	242.88	94.01	79.45	323.03	180.02	205.5	316.37	260.38	269.6	159.9	275.28	152.28	180.02	463.65
PLK2	2682.69	941.27	2255.7	5112.16	2224.63	5076.84	599.49	181.28	521.76	738.29	115.16	316.37	3124.78	591.22	547.75	4066.71	400.71	470.14	1378.57	819.3	55.89	483.38	1447.15
PLXNA1	599.49	941.27	265.87	269.6	275.28	473.41	98.73	249.73	198.47	332.14	239.52	31.22	400.71	193.01	194.36	384.34	166.73	201.25	246.28	248.0	262.2	92.05	339.14
PSMA8	1.97	4.62	3.29	2.34	1.3	0.84	0.0	0.4	0.0	0.0	0.0	0.0	0.65	0.0	0.0	1.23	0.0	0.0	0.0	0.66	0.0	0.0	1.83
RASA2	316.37	115.16	229.72	234.57	112.77	195.72	37.32	44.25	75.11	112.77	45.53	32.13	159.9	53.19	45.53	145.02	64.8	56.68	81.14	136.19	56.68	15.8	241.19
RBM5	3847.29	1191.69	1639.59	5791.62	1819.35	3081.75	708.18	397.93	1583.71	995.0	493.56	718.08	1857.6	785.88	728.11	1963.57	591.22	780.44	1313.23	2224.63	684.02	559.28	3690.52
RNF214	607.87	624.99	651.58	493.56	417.77	387.02	334.46	253.23	301.33	275.28	211.31	201.25	412.0	273.37	314.17	351.14	249.73	244.57	301.33	246.28	224.97	334.46	392.44
RP11-793H13.10	155.5	85.22	61.68	287.01	47.84	194.36	7.57	4.82	58.3	27.05	3.72	11.55	50.63	19.39	14.03	114.36	7.63	4.31	21.16	20.86	4.13	4.78	111.99
SGIP1	38.95	156.59	82.87	316.37	23.25	629.35	7.0	6.73	24.63	12.45	4.78	2.2	167.9	6.21	6.21	260.38	5.23	3.41	199.85	10.47	3.17	1.95	98.73
SIDT2	1477.58	1508.65	1167.14	1551.09	543.96	1277.29	297.17	318.57	444.72	384.34	297.17	336.79	551.56	373.81	275.28	718.08	287.01	246.28	301.33	409.15	239.52	285.03	1388.16
TCERG1	723.08	376.41	743.43	1950.0	775.05	1781.89	223.41	146.03	486.75	414.87	147.06	358.54	624.99	348.71	351.14	728.11	381.68	260.38	376.41	486.75	287.01	199.85	830.75
TCIRG1	1950.0	2090.03	1697.45	4869.99	1066.48	3955.48	409.15	368.65	1073.91	836.53	660.68	226.54	1519.15	457.25	603.67	3372.43	420.68	339.14	361.04	995.0	151.22	323.03	5255.91
TESK1	995.0	1331.57	842.36	1167.14	624.99	988.12	435.55	624.99	660.68	571.05	647.07	353.59	1030.12	769.69	473.41	988.12	612.11	473.41	830.75	595.34	409.15	571.05	1143.1
TRIM3	500.46	201.25	204.07	713.11	237.86	607.87	104.42	102.97	206.94	295.11	120.1	59.13	299.25	197.09	167.9	543.96	145.02	78.34	231.32	178.77	78.89	113.56	525.39
UPF3B	332.14	217.27	232.94	283.05	153.34	236.21	185.11	54.72	126.12	173.85	25.17	109.66	221.86	116.78	150.17	232.94	124.37	77.25	155.5	170.25	62.56	89.51	260.38
USP49	89.51	45.53	71.5	119.26	53.19	79.45	9.7	12.45	21.94	34.26	7.06	20.26	48.52	29.7	22.59	48.87	10.71	9.27	24.81	29.06	22.92	11.73	43.94
VN1R1	33.54	3.53	18.84	59.13	32.36	67.12	4.43	0.87	14.35	12.09	0.82	2.18	33.3	34.75	5.59	34.75	7.34	7.46	27.64	7.75	8.58	10.24	78.89
XAF1	3325.99	1651.0	860.08	2701.35	198.47	3467.27	29.48	19.68	98.73	237.86	26.86	8.51	325.29	15.68	156.59	780.44	17.25	25.17	145.02	228.13	58.3	16.03	3081.75
ZNF182	145.02	86.43	98.73	242.88	157.68	186.4	49.91	29.27	100.83	97.36	22.26	62.56	120.1	79.45	73.54	166.73	65.72	50.27	68.55	103.69	43.63	52.08	189.02
ZNF418	176.29	22.75	112.77	334.46	90.14	131.51	7.34	20.41	62.56	8.13	32.59	6.57	87.65	67.12	35.0	102.25	10.88	69.52	78.34	57.89	1.23	5.41	301.33
ZSCAN9	480.04	283.05	249.73	400.71	368.65	381.68	153.34	72.52	224.97	159.9	78.89	11.3	267.73	218.79	141.02	287.01	182.55	164.42	275.28	234.57	90.77	124.37	684.02
