	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07
DACT1	97.36	114.36	128.79	189.02	39.22	53.95	28.24	10.08	55.49	31.9	536.45	38.67	147.06	205.5	19.97	202.66	55.49	555.41	73.03	37.05	748.61	100.13	81.71	108.14	60.82	21.94	312.0	152.28	43.94	277.2	297.17	218.79	384.34	3.76	153.34	39.22	866.07	166.73	503.95	43.32	156.59	108.9	67.12	44.89	132.44	28.45	1.89	82.29	19.97	18.43	358.54	287.01
DPYSL3	151.22	454.09	450.94	860.08	264.03	297.17	167.9	43.94	447.82	253.23	2935.74	223.41	647.07	884.29	83.45	1340.84	255.0	2434.5	384.34	316.37	3303.0	785.88	339.14	684.02	547.75	92.7	1407.55	1051.79	325.29	2075.59	1437.15	1167.14	1191.69	38.95	759.08	176.29	4704.07	791.35	2627.46	121.79	921.88	497.0	277.2	283.05	753.83	28.45	20.86	476.71	61.25	112.77	1407.55	1322.37
EMILIN1	285.03	406.31	547.75	1233.75	351.14	175.07	177.53	116.78	293.07	205.5	1769.57	206.94	336.79	1304.15	99.43	785.88	299.25	813.63	397.93	151.22	2255.7	447.82	555.41	426.57	343.89	82.29	1437.15	607.87	162.14	1066.48	1457.23	647.07	703.28	38.95	836.53	158.79	1322.37	748.61	1286.18	201.25	603.67	426.57	497.0	412.0	616.37	208.38	47.84	248.0	82.87	115.16	842.36	961.07
ERMN	1.14	4.66	14.03	33.78	1.41	5.96	2.68	2.36	24.11	4.03	49.56	3.06	10.96	19.68	2.2	26.28	1.81	67.59	4.9	4.17	205.5	2.34	4.82	2.03	6.01	0.0	66.18	8.65	6.78	77.25	37.59	68.55	37.85	4.24	23.08	2.23	68.55	4.46	123.5	1.14	11.47	5.28	0.45	4.94	30.34	1.07	0.74	1.14	1.43	0.45	39.5	14.78
FAP	138.1	473.41	432.53	1001.93	432.53	389.72	172.65	66.65	356.05	221.86	2502.97	297.17	651.58	1662.49	105.89	1259.69	316.37	1477.58	612.11	299.25	3303.0	638.15	624.99	791.35	529.06	66.65	2400.97	1167.14	249.73	1857.6	1529.73	1111.82	1551.09	38.95	961.07	208.38	4038.61	785.88	1963.57	175.07	1208.34	417.77	279.14	332.14	928.3	19.82	29.7	409.15	37.05	86.43	1127.35	1135.2
FBN1	316.37	718.08	603.67	1781.89	353.59	403.5	186.4	52.82	540.19	325.29	5831.91	500.46	1015.93	1417.35	204.07	2303.12	463.65	3303.0	412.0	429.54	5183.54	981.29	808.0	967.76	995.0	166.73	2090.03	1896.65	389.72	3820.7	3742.05	2119.22	2319.15	49.56	1183.45	229.72	8305.36	1487.87	5255.91	246.28	1508.65	738.29	559.28	555.41	1233.75	223.41	11.91	595.34	122.64	164.42	2777.33	1963.57
FIBIN	24.81	88.26	98.04	264.03	33.3	88.88	17.13	6.01	119.26	80.57	848.22	92.7	152.28	297.17	13.83	279.14	61.25	825.0	56.68	90.14	1051.79	166.73	102.25	100.83	98.04	10.47	403.5	295.11	71.5	559.28	395.18	314.17	395.18	4.94	309.83	34.26	1857.6	241.19	941.27	11.82	246.28	85.82	87.65	86.43	187.71	0.45	1.99	64.8	13.03	15.56	325.29	432.53
GLIS3	6.31	16.15	27.64	56.68	8.71	11.38	3.23	1.48	22.43	10.71	130.6	10.71	40.64	57.08	5.15	80.57	12.64	118.43	12.27	10.55	201.25	35.76	15.91	20.71	18.7	8.58	101.54	42.71	19.97	114.36	111.21	43.94	47.17	2.46	36.79	8.13	215.77	43.32	181.28	3.72	48.52	35.76	6.36	9.06	49.56	1.93	0.71	24.46	2.01	9.63	107.38	62.12
GLT8D2	37.85	157.68	116.78	246.28	90.14	145.02	23.59	14.24	176.29	81.14	1199.98	138.1	208.38	500.46	26.67	500.46	114.36	954.43	185.11	143.01	1369.04	248.0	177.53	234.57	198.47	27.64	656.11	395.18	82.29	723.08	607.87	384.34	559.28	24.81	334.46	53.57	2537.92	312.0	1096.5	92.05	368.65	152.28	97.36	124.37	226.54	15.45	7.11	143.01	25.91	35.25	339.14	624.99
HTRA3	228.13	665.29	256.78	2032.85	226.54	429.54	161.02	125.24	656.11	555.41	1447.15	320.8	1304.15	2319.15	82.87	2178.83	796.86	2061.24	603.67	540.19	3794.3	651.58	547.75	2555.58	2855.44	53.57	2240.11	5255.91	591.22	3235.01	3955.48	1583.71	2682.69	57.49	1617.0	217.27	7331.05	3257.52	2075.59	234.57	915.51	2090.03	743.43	503.95	872.1	41.81	16.88	470.14	42.41	125.24	2875.3	1923.14
IGFL2	12.74	3.06	135.24	69.03	8.25	36.79	23.93	1.87	24.28	1.36	647.07	2.76	195.72	30.12	2.29	115.16	3.79	358.54	45.53	16.27	363.56	32.36	17.25	19.97	27.05	3.96	41.81	144.01	32.59	76.71	110.43	56.68	228.13	7.94	159.9	2.94	490.14	42.11	54.33	7.82	151.22	17.51	3.96	16.75	137.14	0.0	17.0	7.51	9.93	5.63	159.9	215.77
INHBA	107.38	170.25	232.94	447.82	45.53	92.05	64.8	32.59	595.34	106.63	1794.29	130.6	387.02	368.65	275.28	728.11	161.02	848.22	136.19	152.28	1508.65	571.05	195.72	267.73	229.72	42.41	1268.46	325.29	176.29	1277.29	1277.29	633.73	457.25	32.82	371.22	88.26	1883.54	376.41	1313.23	30.12	651.58	265.87	87.65	127.89	457.25	16.75	10.31	414.87	20.71	55.89	1159.07	521.76
ITGA11	71.5	285.03	273.37	483.38	63.0	85.22	51.71	35.25	92.05	72.52	2555.58	150.17	1008.9	511.0	40.64	967.76	112.77	1508.65	80.01	232.94	1447.15	457.25	157.68	395.18	536.45	26.1	1427.22	599.49	133.36	1191.69	738.29	500.46	497.0	10.63	579.04	69.52	4607.24	414.87	2645.74	49.21	563.18	348.71	224.97	316.37	336.79	33.3	5.5	248.0	18.7	68.07	1073.91	1073.91
ITGBL1	90.77	529.06	387.02	536.45	81.14	205.5	186.4	26.67	454.09	193.01	3901.01	460.44	769.69	599.49	87.03	1378.57	303.44	1745.2	161.02	314.17	2591.27	961.07	412.0	830.75	624.99	66.18	860.08	836.53	341.51	1844.76	1304.15	1561.89	738.29	40.36	738.29	163.28	6037.61	638.15	2133.97	58.3	688.78	503.95	497.0	341.51	457.25	2.81	4.5	285.03	17.38	124.37	1175.27	890.44
KANK4	10.31	6.94	17.64	74.58	55.89	16.75	0.25	1.19	29.48	12.36	152.28	19.53	71.0	37.05	4.74	73.03	13.42	185.11	29.06	8.51	309.83	10.96	18.03	19.68	11.82	0.83	181.28	42.11	59.55	122.64	158.79	72.01	66.65	6.46	45.85	3.56	215.77	85.22	124.37	0.56	64.34	7.46	6.11	29.7	74.58	0.52	2.07	15.22	2.23	17.25	73.54	76.71
KIAA1549L	5.63	16.88	27.64	47.5	7.51	10.24	5.59	0.99	10.79	14.89	28.86	5.41	29.7	40.07	6.36	47.84	11.47	53.19	19.25	9.56	57.49	26.47	19.11	18.16	18.16	3.72	96.68	23.42	7.82	62.56	64.8	52.82	22.59	0.6	43.63	8.85	72.01	19.39	88.26	7.4	25.72	15.11	15.22	13.42	39.5	0.83	1.07	23.08	0.28	2.25	69.03	62.12
LTBP1	108.9	215.77	486.75	332.14	279.14	182.55	67.12	105.89	514.56	161.02	1199.98	264.03	146.03	591.22	165.57	460.44	96.01	476.71	177.53	92.7	287.01	373.81	90.14	185.11	98.04	44.89	551.56	638.15	102.97	395.18	518.15	532.74	1175.27	19.97	316.37	52.45	599.49	269.6	743.43	111.99	599.49	103.69	102.25	193.01	260.38	34.02	323.03	80.01	33.06	159.9	423.61	299.25
MRC2	198.47	420.68	591.22	1388.16	432.53	199.85	221.86	198.47	406.31	305.55	2351.53	384.34	947.83	1225.22	161.02	1167.14	454.09	1757.34	521.76	295.11	4181.07	500.46	555.41	563.18	693.58	55.49	2451.44	921.88	190.34	1781.89	1832.01	842.36	1417.35	59.13	1044.52	195.72	3665.02	1030.12	2193.99	158.79	909.17	483.38	429.54	514.56	769.69	182.55	37.85	318.57	91.41	120.1	1331.57	1583.71
NOX4	26.86	106.63	126.12	255.0	40.36	94.67	47.17	11.47	87.03	54.33	708.18	63.45	157.68	320.8	35.0	279.14	100.13	454.09	120.1	110.43	466.88	186.4	142.01	205.5	146.03	23.59	356.05	258.57	84.04	432.53	255.0	318.57	348.71	17.25	187.71	38.67	1313.23	224.97	595.34	33.78	275.28	123.5	106.63	53.19	206.94	29.06	6.21	88.26	9.7	25.17	299.25	275.28
NTM	78.34	161.02	138.1	265.87	74.58	88.26	55.49	14.24	105.15	135.24	733.19	68.55	303.44	241.19	33.54	381.68	112.77	753.83	194.36	126.12	791.35	223.41	172.65	214.27	215.77	31.67	555.41	221.86	85.22	414.87	466.88	281.09	251.48	20.56	246.28	99.43	1030.12	277.2	651.58	65.26	214.27	178.77	116.78	167.9	277.2	2.61	6.41	214.27	73.03	32.13	366.09	432.53
PLAU	99.43	830.75	599.49	1467.37	224.97	332.14	392.44	191.67	334.46	70.01	3847.29	1104.13	1540.37	1733.13	128.79	1378.57	325.29	4010.71	497.0	738.29	3257.52	674.59	532.74	759.08	1059.11	112.77	4239.45	612.11	241.19	2255.7	2193.99	1397.83	2271.4	108.14	2537.92	175.07	5872.48	1015.93	2739.08	130.6	1417.35	409.15	208.38	785.88	1857.6	98.04	95.34	221.86	55.49	142.01	2224.63	2004.85
PPAPDC1A	6.62	86.43	134.3	305.55	76.71	85.22	6.84	45.85	47.84	1.73	1104.13	52.08	182.55	351.14	31.9	249.73	41.81	620.67	127.89	87.03	1388.16	113.56	71.5	101.54	95.34	0.97	785.88	273.37	26.28	470.14	395.18	318.57	368.65	5.15	249.73	18.56	1832.01	246.28	830.75	10.31	351.14	93.35	9.34	73.54	265.87	0.0	5.96	63.45	0.67	17.0	366.09	457.25
PRRX1	161.02	473.41	412.0	1037.29	289.02	334.46	98.04	102.25	277.2	248.0	3190.46	339.14	743.43	954.43	145.02	1250.98	163.28	2193.99	381.68	269.6	3039.3	656.11	379.04	669.92	392.44	113.56	1769.57	1051.79	212.78	1498.22	2367.9	1208.34	1447.15	44.57	688.78	195.72	5872.48	878.17	2061.24	191.67	808.0	764.36	155.5	249.73	612.11	153.34	17.77	536.45	115.16	81.71	1295.13	2075.59
PRRX2	24.99	82.87	320.8	92.05	87.65	55.49	38.95	29.7	62.56	34.26	503.95	27.25	69.03	115.16	21.94	172.65	59.97	255.0	162.14	153.34	387.02	144.01	58.3	105.15	111.99	17.9	212.78	297.17	18.56	209.84	206.94	108.14	423.61	7.0	84.63	14.24	435.55	111.99	358.54	88.26	150.17	56.68	78.89	295.11	94.67	34.75	6.84	190.34	8.58	10.31	102.97	128.79
SPHK1	85.82	265.87	273.37	587.13	215.77	108.9	85.82	100.13	217.27	51.35	583.07	134.3	387.02	460.44	156.59	473.41	148.09	444.72	295.11	150.17	802.41	255.0	211.31	231.32	220.32	39.79	1081.39	493.56	78.89	536.45	703.28	450.94	432.53	34.51	490.14	113.56	698.41	363.56	860.08	157.68	275.28	154.42	155.5	231.32	379.04	40.93	34.75	120.94	21.32	36.01	441.64	412.0
SPOCK1	25.17	111.99	163.28	301.33	57.89	88.26	40.93	104.42	98.73	141.02	1407.55	48.52	271.48	368.65	36.79	603.67	140.04	444.72	177.53	96.01	1096.5	293.07	162.14	131.51	112.77	21.78	1088.92	348.71	71.0	884.29	743.43	753.83	525.39	4.24	281.09	33.3	1191.69	156.59	1175.27	51.71	409.15	20.26	133.36	93.35	353.59	2.63	8.92	140.04	28.65	265.87	346.29	262.2
SRPX2	36.79	180.02	150.17	466.88	172.65	81.71	38.12	42.11	143.01	86.43	665.29	106.63	255.0	329.84	33.78	373.81	127.0	480.04	221.86	115.16	934.76	173.85	215.77	205.5	211.31	23.08	785.88	417.77	140.04	629.35	796.86	503.95	529.06	12.36	295.11	68.07	1096.5	346.29	525.39	87.65	297.17	178.77	175.07	135.24	426.57	16.75	9.56	181.28	12.09	21.16	466.88	307.69
ST6GAL2	4.24	31.9	27.05	49.56	13.72	13.83	3.72	9.78	21.16	8.0	113.56	16.63	46.18	60.39	7.17	73.54	18.43	153.34	20.56	15.34	226.54	38.95	32.36	59.55	33.06	1.75	94.01	69.52	17.77	187.71	139.07	63.45	77.25	1.53	85.82	9.7	195.72	59.97	131.51	3.92	45.53	41.22	18.29	25.91	48.87	0.0	0.54	43.63	2.05	2.29	105.89	58.3
SULF1	503.95	1030.12	1674.06	3955.48	139.07	486.75	547.75	104.42	684.02	363.56	5403.7	13123.73	1857.6	5913.33	307.69	3257.52	638.15	3540.14	995.0	909.17	5751.61	2287.2	775.05	2609.3	1674.06	141.02	5006.93	1487.87	728.11	4869.99	4268.94	3589.58	1551.09	139.07	3081.75	728.11	6207.38	1359.57	3467.27	152.28	2271.4	764.36	595.34	693.58	1832.01	353.59	22.1	642.59	117.6	198.47	4481.23	4512.4
THBS2	368.65	753.83	1151.06	2664.15	480.04	587.13	260.38	73.03	567.1	209.84	8901.53	400.71	1857.6	2664.15	185.11	2400.97	332.14	7433.4	629.35	703.28	10296.45	1733.13	493.56	1167.14	1001.93	100.83	4769.75	1151.06	536.45	3874.05	3212.66	2400.97	2835.7	43.63	2303.12	223.41	12415.75	1781.89	9344.14	217.27	2351.53	1030.12	376.41	819.3	2075.59	13.03	28.04	638.15	140.04	172.65	3690.52	3124.78
